"","JHP_RS00070","JHP_RS00075","JHP_RS00285","JHP_RS00410","JHP_RS00530","JHP_RS00560","JHP_RS00565","JHP_RS00570","JHP_RS01205","JHP_RS01210","JHP_RS01320","JHP_RS01700","JHP_RS02010","JHP_RS02455","JHP_RS02600","JHP_RS02780","JHP_RS02865","JHP_RS03010","JHP_RS03040","JHP_RS03050","JHP_RS03060","JHP_RS03065","JHP_RS03125","JHP_RS03270","JHP_RS03440","JHP_RS03445","JHP_RS04360","JHP_RS04665","JHP_RS04870","JHP_RS06015","JHP_RS06495","JHP_RS06955","JHP_RS06990","JHP_RS07100","JHP_RS07305","JHP_RS07580"
"HPJ99_As_1 (GE) - TPM",0.313432344444028,0.0313822942905697,-0.563383475681754,-0.0343474134141809,0.500480568480656,-0.0213319116496014,-0.177438807539586,-0.279064105347176,-0.628420611879361,-0.425406546143322,-0.0481341488090733,0.48996728865136,0.00454857537143719,-0.473323216390781,0.416658674376573,0.1014799284319,0.136948969995915,1.40050084708451,1.27584497947986,-0.316243506914977,-0.10693153889965,0.0934208315034749,0.502997052392171,0.725254873611346,1.20139775391008,-0.843988367965728,-0.131842439754837,-0.211107586069043,-0.123784999728094,0.270290361492957,0.205982380738613,-0.12566776742514,-0.377391964360815,0.630171966058592,1.12006133523341,0.0402347134211724
"HPJ99_As_2 (GE) - TPM",-0.0614405676399376,-0.15329025185087,-0.526979331885559,-0.167177516129046,0.0839093754579107,-0.328349929219271,-0.600060755514404,-0.499374590666487,-0.759626298994615,-0.703495384753706,-0.84361019422214,-0.000969319792009793,0.0961005289598804,-0.754198633624559,-0.115840045865186,-0.445839400102294,-0.438095149961344,0.585589983838782,0.258541992369122,-0.63113197778705,-0.537367912023169,-0.125071633553461,0.342931354590526,0.103607639831536,0.400879856180364,-0.951436443030369,-0.153474469706063,-0.767364506186,-0.503090253681767,0.659853187321831,-0.167581302468358,0.102782063806531,-0.872056425941805,0.644688192015453,0.805912768260652,-0.151598611944069
"HPJ99_As_3 (GE) - TPM",-0.136975167890888,-0.294136752900835,-0.366891005686455,0.362793694403855,-0.0737023971152255,-0.211225008589327,-0.744737993953669,-0.613760155499976,-0.476247695582928,-0.592737400269529,-0.861471239936503,-0.0937060627057492,-0.749566514575488,-0.219231965915127,-0.414879725204776,-0.737708015565426,-0.631746588595815,0.456823900249344,-0.078684643981542,-0.799354292060801,-0.483837396521199,-0.536906514091036,0.338957535074822,-0.119451191146483,0.311503590838018,-0.647806401043478,-0.924904357620216,-0.605011991792551,-0.453381571526404,-0.108247142668199,-0.023150110381355,-0.376109175686683,-0.703232455310291,0.716641452968808,0.316976109102449,-0.517243128403811
"HPJ99_Ctrl_1 (GE) - TPM",-0.335994886235392,-0.372006144775388,-0.399044001908423,-0.563611182670546,-0.22199538240402,0.0709287085806189,-0.0413446710041835,-0.0379413263832666,-0.20721515556408,-0.152727269284271,-0.974780806860463,-0.154611493710544,-0.674843523482704,-0.638480817744072,-1.11373731284493,-0.519646580307505,-0.635794133674532,-0.399455678146621,0.0671262375374764,-0.769213979213772,-0.641033541140209,-0.559908597098928,0.256159349712015,-1.19036492972839,-0.796060603433382,1.22581903127133,-1.32206613204811,-0.511322134970423,-0.461489096927593,-0.572075958373172,-0.346955823126617,-0.183840788972073,-0.849584966733417,0.0845918453397149,-0.264801812669581,0.487789278362479
"HPJ99_Ctrl_2 (GE) - TPM",-0.100210730462979,0.181895396905102,-0.498942741580253,-0.48951370189715,0.341864974636756,0.498291041545876,0.619292189250021,0.170523837579476,-0.346140107465635,-0.65209968377212,0.0152144030168469,-0.0561320024761939,1.40839156733566,-0.669011092276704,-0.675229611972171,0.217061684318272,-0.20803091398934,1.43969796428003,0.895539816108407,-0.487669554980012,-0.463188455993273,-0.265576958132174,0.165145476153826,-0.694557683492456,-0.590767787326352,0.398803418915691,-0.754680202053671,-0.193312771530215,-0.576793811989951,1.45756186707909,-0.326529281194841,1.05779823709684,-0.513763975856563,0.60046632470829,0.598392070249174,0.621266038915202
"HPJ99_Ctrl_3 (GE) - TPM",-0.272009613956716,-0.125400269120405,-0.673341218321588,-0.68598344662312,-0.0304665877590221,0.0695815310886993,0.275647991902126,-0.0680086930920232,-0.515027153422663,-0.739050481354005,-0.709954250102054,-0.609274284001006,0.483646583285414,-0.92768622368301,-0.65599854949711,-0.0528651969415752,-0.183473848510904,0.680061070196797,1.12282366514451,-0.443035970031047,-0.459794245523856,-0.312351612818887,0.0304500933587631,-0.509649555939152,-0.488998364494609,0.939778186735915,-0.881251686377541,-0.146820306979801,-0.366348352652584,0.357178473510345,-0.326722217598781,0.61091774094635,-0.665208720464545,0.0511492802652049,0.789920327349171,0.322158671766461
"HPJ99_Li_1 (GE) - TPM",0.213233241581123,0.202883041419337,0.140154763955058,-0.087114061009582,-1.12084192176251,0.0498653420700332,0.35717359427841,0.498354660553589,0.433218664170192,0.999269336165842,1.61321697995293,0.866193987104003,0.391709575908633,0.60529369585702,0.528079212470407,-0.504926849935885,0.732116355885374,-0.703341309922225,0.525839992404601,-0.426854183998471,-0.348856063139113,-0.776360956688404,-0.526405513625732,-0.940713787016009,-1.53042575611255,0.184625140253049,-0.501766359258571,-0.136858265126748,0.186492580579816,-1.00268792375969,-0.792694296090842,-0.610209062824613,-0.810955652571357,-1.11880144322483,-1.71178056294726,-0.115594694087215
"HPJ99_Li_2 (GE) - TPM",-0.0612709322889009,-0.178611421272923,0.192160925196598,0.0593522484789604,-1.17341670981261,-0.407524677882988,-0.216624885075307,0.241625232270794,0.357156591018766,0.608000229026487,1.00650199953136,0.954833206986306,0.327825512566694,0.785488340855468,-0.0640640806658196,-0.191238966144339,-0.00982841149972762,-0.67185989618138,0.354635915974691,-0.631764073668462,-0.61899028467837,-1.14718234279076,-0.63918757317111,-1.34667086336604,-1.4211254951417,-0.0375598098137388,0.32062335251434,-0.443513473716834,-0.0602789698545183,-1.34400277383362,-0.652545102884734,-0.736712186288044,-0.687763691877281,-0.987772852000467,-1.46626726421057,-0.527708029604884
"HPJ99_Li_3 (GE) - TPM",-0.117416242628349,-0.178136243126811,0.274556127612096,0.189165956042973,-1.23975256520493,-0.175234154032165,0.00897003097577491,0.352805837209445,0.410536378715143,0.590229445456398,1.67583380966133,1.47319053562503,0.0422537549944879,0.564423898235615,0.105439883251643,-0.452865842834881,0.294779680133946,-1.35250542994103,0.264070577907289,-0.451229512418553,-0.364290374330132,-0.888505005538439,-0.674549663198708,-1.06355610035922,-1.35280089069898,0.260134765981436,0.0353264367476659,-0.45877852893856,0.435253321838218,-1.24702937680281,-0.853293806719695,-1.11374320663567,-0.671013761623083,-1.26107328244108,-1.73356261201353,-0.50803898699855
"HPJ99_Mig_1 (GE) - TPM",-0.241883364123283,-0.381387004569703,-0.54514699592469,-0.938282077771317,-1.17717972429183,-0.348498736264939,-0.932377910527209,-0.977356082051988,-0.607772105071049,0.315948416650104,-0.918284018059444,0.208566324807348,-0.574706709154132,-0.373575483637517,-0.295946925640378,-1.26296541232888,-0.381473474906256,0.625533838628907,-0.778436802025264,-0.83244083281365,-0.945575635496795,-0.845025003138914,0.966835453762044,-0.4632707420577,0.262980956443741,0.953349149245112,-1.46026013441432,-0.725463464813614,-0.609403748573061,0.0801628542619939,-0.404053779945859,-0.0187666572394003,-0.983209471798926,-0.196046026860918,0.00014907340809742,-0.822497506366079
