"","KPN_RS02660","KPN_RS02665","KPN_RS02670","KPN_RS02675","KPN_RS02680","KPN_RS28600","KPN_RS04420","KPN_RS04425","KPN_RS04430","KPN_RS06010","KPN_RS10505","KPN_RS10510","KPN_RS10690","KPN_RS13150","KPN_RS14000","KPN_RS19070","KPN_RS21770","KPN_RS28145","KPN_RS28155","KPN_RS28160"
"KLEBS_As_1 (GE) - TPM",-0.365484701954597,-0.402594803886641,-0.419266668049951,-0.49663705714796,-0.484970432130088,-0.370922323798232,-0.673978612540537,-0.603645609262223,-0.948596521277373,-0.407912468949177,-0.745392986128035,-0.146792112027614,-0.618306571381116,-0.964028765417579,-0.653062069524297,-0.721556821915181,-0.639596412020903,-1.02475168336876,-0.902332303496706,-0.333598908026711
"KLEBS_As_2 (GE) - TPM",-0.32768397130697,-0.396903935426735,-0.42136472521788,-0.479763202627692,-0.262405822132041,1.96696893493269,-0.577589222346716,-0.386063621113246,-1.13281732528163,-0.536004371083112,-0.860784028353796,0.0882991289035993,-0.806803550316398,-0.907419177721069,-0.861354080035508,-0.874730795643375,-0.622033195505128,-1.19510352577597,-1.02222496915314,-0.3763321379798
"KLEBS_As_3 (GE) - TPM",-0.289432640820191,-0.391871610119496,-0.405881957156013,-0.474307040408716,-0.486281762004268,-0.333797096466939,-0.390402625762063,-0.682921159849578,-0.937572130996252,-0.536004371083112,-0.675835810300691,0.0939568292897777,-0.68777908273698,-0.90851978334654,-0.707937277325946,-0.536664655633983,-0.563050505445121,-1.25257310793491,-1.11835941377266,-0.26727206800425
"KLEBS_Bs_1 (GE) - TPM",2.84311516480637,3.9355877593557,3.77037080101785,3.56972806080599,2.23795122001853,1.72638624221922,2.45179508072542,2.50154184681092,2.6714492418749,1.48425487969648,2.2232988400232,3.13442134930194,2.74701459851959,1.96576761176583,2.53291827024028,2.024132005448,2.53002513748702,1.65326714814389,2.53393791188974,3.18277476549641
"KLEBS_Bs_2 (GE) - TPM",3.16952534029783,2.97144284638137,3.21106125676472,3.26489856572608,2.8445122882799,2.86867146670508,3.11678325967472,3.8090573128399,3.42662885922347,2.59447353460666,3.02360421219271,2.93364120255488,3.07656812118064,2.32684815769418,2.39803973779596,2.3179022952709,2.00914984812176,2.1232389342555,2.79243020431651,3.20106290335307
"KLEBS_Bs_3 (GE) - TPM",3.64563482573553,2.59132729042694,2.58140042726944,2.19435812392409,2.37948640696966,2.27091289691773,2.30149315931409,2.46860549605422,2.55454240337599,3.04443980192096,3.10463257481351,3.51149927424773,2.89002297468929,1.51555485154414,2.96009027139411,2.32901394409832,2.63501992594056,2.12164988688852,2.41436408854895,3.29618279892324
"KLEBS_Ctrl_1 (GE) - TPM",-0.250987334128998,-0.213297270354843,-0.306673655300478,0.495357975461263,-0.591835621112146,0.374780553394329,0.89350245475715,0.128675602278078,-0.373836211971079,-0.298409205307633,-0.492204910849789,-0.214234660922238,0.385636986483845,-0.10017307360388,0.521967581224936,0.338811998725041,0.18546527223453,-0.708469328614818,0.0179468691165199,-0.385240613777269
"KLEBS_Ctrl_2 (GE) - TPM",-0.270063453324198,-0.256742054805558,-0.258055395623723,0.379429403012236,-0.463401742043363,1.11359334204807,0.704496541327929,0.15533068572204,-0.12231683252746,0.00515471519973231,-0.463474004635772,-0.316727160023427,-0.0461687082986374,0.839668783387304,0.896609178312345,0.104903116838307,0.17882331294704,0.853433349482064,-0.423743043251025,-0.202381430302772
"KLEBS_Ctrl_3 (GE) - TPM",-0.302135025646144,-0.316888822329083,-0.294580199408138,0.3387983706741,0.251776861099673,-0.72746762247421,0.324631975110414,0.28673970056963,-0.00674227660155361,0.0922632540072495,-0.652129108048325,-0.156226522251898,-0.0019968928110626,-0.164625352161392,0.681976938926547,0.290243721937631,0.18911946704669,0.966167920029746,-0.535000140736419,-0.14559448450838
"KLEBS_Li_1 (GE) - TPM",-0.353450007797921,-0.348144625942371,-0.353334480935147,0.0672092380597247,-0.625587138915663,-0.534330580683958,-0.175508841384909,-0.161357408172032,0.129341061682182,-0.0156085514172078,1.16642299152528,0.0559170644829109,0.0916076555521304,-1.05249271606309,-0.581577048524766,0.0469313913571371,-0.387815984986418,0.114792316496706,0.0201676953401668,-0.171092841625652
