"","KPN_RS00070","KPN_RS00685","KPN_RS01190","KPN_RS02130","KPN_RS02135","KPN_RS02415","KPN_RS02500","KPN_RS03680","KPN_RS04185","KPN_RS04845","KPN_RS05185","KPN_RS05855","KPN_RS06810","KPN_RS11480","KPN_RS12020","KPN_RS14190","KPN_RS14530","KPN_RS14555","KPN_RS15040","KPN_RS15160","KPN_RS15640","KPN_RS15750","KPN_RS16260","KPN_RS16300","KPN_RS18085","KPN_RS18620","KPN_RS19050","KPN_RS19245","KPN_RS21150","KPN_RS21160","KPN_RS21875","KPN_RS22785","KPN_RS23540","KPN_RS24350","KPN_RS24445","KPN_RS24450","KPN_RS24865","KPN_RS25145","KPN_RS25665","KPN_RS25900","KPN_RS28370"
"KLEBS_As_1 (GE) - TPM",-0.640533178008865,1.29461002668432,-0.108161887533114,-1.03120489713919,-0.327395975793831,-0.57935405716858,-0.776515779914546,-1.12694644516616,-0.443025853027328,-0.731373983859116,-0.827512642289972,-1.29189027564238,-0.524948763480792,0.318948935785509,-0.801156239338615,-0.203514522986507,-0.306064624176223,-0.764243435933882,-0.634837523622106,-0.373039510497192,-0.710316937837797,-0.608286117774002,-0.875787971356212,-0.840465532120447,-1.16956001132009,-0.707092672538182,-1.08792209741632,-1.00913972427075,-0.695602230436853,-1.05210473292629,-0.474303554803712,-0.922125418958917,-0.272816488218851,-0.516108264978121,-0.514011234449366,-0.260966173863993,-0.745386155469729,0.739380220266334,-0.627217514507703,-0.236130850992204,-1.44910055957477
"KLEBS_As_2 (GE) - TPM",-0.711056092253447,1.23125614127714,-1.21057618260973,-1.2342572132727,-0.432346294766872,-0.48949213979567,-0.684756838772018,-1.03835197297457,-0.838628408361813,-0.924708740525638,0.0181994786673547,-1.12118687747645,-0.598496048646399,0.290673627646512,-0.500085000823645,-0.215847718547452,-0.707363257704906,-0.559768378203506,-0.380532688533077,-0.48162216928356,-0.629561060044669,-0.670845724113074,-1.03584247195237,-0.833072098153362,-1.27542834071865,-0.861472616899273,-1.14932822888881,-0.977623640153317,-0.801199252485888,-0.748947501265563,-0.533868956601794,-0.825138372721121,-0.324669521098714,-0.803830302089078,-0.677666777158417,-0.367384925764708,-0.712088014224854,0.675289622850674,-0.247309341797226,-0.400514482931715,-1.17282006536518
"KLEBS_As_3 (GE) - TPM",-0.767088438927243,1.42859306059351,0.19952064685741,-1.03877894302634,-0.543382327972351,-0.61981323275124,-0.920400572535389,-1.0880346145937,0.0649282111896675,-0.682535734759009,-0.550495747442674,-1.03716213346429,-1.24442810976711,1.01978143823276,-1.14432968953979,-0.302438377743233,-0.864811447284847,-1.08314393097859,0.113442686897856,-0.403140951612925,-0.72074728206791,-0.536437916619296,-0.934924581689282,-0.811652302755661,-1.27416064706503,-0.795758509626293,-0.81437647254027,-0.840269196609193,-0.851372884940868,-0.346468334699843,-0.219290780672502,-0.970660460681483,-0.9147444338811,-0.522855473929685,-0.661438240452334,-0.449294776952594,-0.716699874385293,0.246201458468096,-0.308903354099755,-0.0601836308359153,-1.26535460955349
"KLEBS_Bs_1 (GE) - TPM",-0.528704247572058,-1.16273272205125,0.15419839126329,0.269062429009511,-0.27288704148291,-0.466369616892461,-0.365672981770398,-0.165324436862444,0.792030939721355,-0.991014421167565,-0.45616222224079,-0.692028938883212,-0.0704839144399674,-0.290026562428165,-0.79278199128086,-0.577697166903358,-0.123707374440691,0.171749845616766,0.531568713853516,-0.267722366174977,-0.495459816600832,0.137279495980399,-0.457318082473162,0.271448989869053,0.0897695841064535,0.358259623392944,-0.978761470335366,-0.192052669976363,-0.15946197183359,-0.0645938190355954,-0.111093376291144,-0.34630148113081,-0.304100439702354,-0.828593007948087,-0.522966800840654,-0.551264410518364,-0.619360945031365,-0.606776338657296,0.0807742807686219,0.150017978833637,0.401965494569251
"KLEBS_Bs_2 (GE) - TPM",-0.532113782165134,-0.809207438972526,-0.412240560156391,0.516240688879843,0.000562272237230575,-0.446999043634158,-0.204954909303526,0.0393247450517431,0.608521236967462,-0.902268389588399,0.0149836398860377,-0.162589658344872,0.0415871471310643,-0.690155337982801,-0.636854143429707,-0.597791656181749,0.219573078383715,0.38306065554064,0.802606628513983,-0.187199384577995,-0.524970149005219,-0.424828758090228,-0.537077968544872,0.351337344902725,0.276160534743976,0.243513467972556,-0.283425552999673,-0.420380184040957,-0.135530404300924,0.801018569570936,0.0326207597339228,-0.441272728284837,-0.384248712373773,-0.84284028982558,-0.598751101973141,-0.653157583845082,-0.745475837321429,-0.599612472476093,-0.471716233788302,-0.405449508488707,0.0388627358553815
"KLEBS_Bs_3 (GE) - TPM",-0.52214311955559,-0.993856329386212,0.0437829467703819,0.285320159373365,-0.181662787664375,-0.423221839401379,-0.261016145778969,-0.271255394560337,0.628397234903248,-0.941190378234983,0.242483836651592,-0.439233273709942,0.0547207511274217,-0.743505948761703,-0.82803720328291,-0.748713684520509,0.0699495792723597,-0.0576989021401198,0.0370080822736918,-0.366010280293154,-0.522424828878106,0.270572315163427,-0.753076259222018,0.463656331275803,-0.261562112314581,0.0546651885088648,-0.756405583832028,0.176628819107958,-0.197423451824798,0.338369817635234,-0.0908697825015275,-0.367228122504077,-0.101120765428707,-0.716212919328584,-0.544804603799161,-0.541673918939259,-0.811532184405942,-0.175113492362111,0.133734210907059,0.245967117687145,-0.0345367436392717
"KLEBS_Ctrl_1 (GE) - TPM",-0.541795589900943,-0.947208061291692,0.0602861866242797,0.338847137846389,-0.613542043190772,-0.244061528370402,-0.425562331966803,-0.177003503851438,-0.606418935939971,-0.685032714563665,-0.428866119053779,0.437250147862017,-0.143909190776543,-0.191530192843872,-0.253384376372463,-0.251611527692619,0.0671132715266634,-0.946418566396567,0.192621496954659,-0.324253587870685,-0.560532006700546,0.832728019713628,-0.472419044893667,-0.426484407935992,-0.445036008721274,0.165784467360608,0.772023513999097,-0.195071807083004,0.0983263868484781,-0.375946414908753,0.436065286080306,-0.549659340038485,0.939739220281228,-0.511116012667855,-0.594924950184241,-0.548941389551083,-0.473477064905644,-0.214268072602558,-0.769560830494947,-0.149324515518674,1.07861234027296
"KLEBS_Ctrl_2 (GE) - TPM",-0.638068627698535,-0.947290729784593,-0.615673849655652,-0.034783488382697,-0.548081019674069,-0.315790624236239,-0.535896530819404,0.0140008523999175,-0.386263900560308,-1.00404640599536,0.509660505285801,-0.460400970911251,-0.405549115051401,-0.713945825424637,-0.871862175629692,-0.338031677221566,-0.21669030486946,-0.743591036653743,-0.0609701148632143,-0.588518792657572,-0.559141942973639,-0.0426795418557927,-0.305032289191314,0.646209360979693,-0.324620267327571,-0.184301295172775,1.19604357158455,-0.458798670453604,0.149886657576532,-0.886799663529737,-0.52591717463529,-0.591305273635926,-0.376255881308445,0.242594625724866,-0.711412020389406,-0.688594217635728,-0.53123088866989,-0.47871309300384,-0.635712677914652,0.406049044389852,0.569001669732054
"KLEBS_Ctrl_3 (GE) - TPM",-0.638668164549539,-1.02972940546996,-0.0130072523975776,-0.0399096899269631,-0.565647300602585,-0.413326955451809,-0.477547950749429,0.0247037991698452,0.28407975204762,-1.10785027466329,0.209900973004215,-0.164704564590927,-0.199882030418928,-0.889183192233352,-1.0379210618398,-0.279916796899033,0.32052252706335,-0.369647366129107,-0.10335786617219,-0.384516969520931,-0.58089297047215,-0.471911953764044,-0.186531962732079,0.817977838510933,-0.189829113869672,-0.135742446315305,-0.145296548214162,0.183393119307259,0.139171837394223,-0.265834508667945,-0.677791754131974,-0.527226312092931,-0.801271783458514,-0.353107046546217,-0.626790886418807,-0.644833109694966,-0.667357982878838,-0.327384922871127,-0.510826773227845,-0.354704129798708,0.198943038470582
"KLEBS_Li_1 (GE) - TPM",0.92711045963956,1.02547579052735,0.873413300653299,0.759556443944246,1.02172617975795,1.7650240035133,1.21278051391413,1.05730876714225,0.0570782664102718,1.08369568790187,1.12394008700594,-0.619209535397484,0.700570237033067,0.62755304466935,1.07823114540891,1.17195984888086,1.15027604860733,0.51401025234367,0.612325389325935,0.777663573393388,0.714055195515871,0.572539315842442,0.517169368454397,1.09845968091922,1.31801032842603,0.544072062455166,1.3400108071763,0.815152442195161,0.62352981977425,-0.240497213806845,0.509097813234717,1.50551157254348,-0.405703220815698,1.07893544129359,1.31765892384546,2.21630106576038,0.113297875894562,0.350752555288744,1.35565385204186,0.49162244133048,0.688935357972999
