"","KPN_RS00410","KPN_RS28535","KPN_RS01540","KPN_RS01560","KPN_RS28570","KPN_RS02985","KPN_RS03090","KPN_RS03095","KPN_RS03100","KPN_RS03120","KPN_RS05545","KPN_RS06500","KPN_RS07535","KPN_RS08260","KPN_RS08345","KPN_RS08380","KPN_RS09145","KPN_RS09175","KPN_RS09465","KPN_RS09935","KPN_RS10090","KPN_RS10145","KPN_RS10415","KPN_RS10590","KPN_RS10840","KPN_RS11970","KPN_RS12105","KPN_RS12330","KPN_RS13770","KPN_RS14080","KPN_RS14245","KPN_RS14685","KPN_RS16175","KPN_RS16350","KPN_RS16395","KPN_RS16595","KPN_RS16600","KPN_RS16885","KPN_RS17020","KPN_RS17175","KPN_RS17185","KPN_RS29175","KPN_RS19865","KPN_RS20335","KPN_RS21035","KPN_RS21960","KPN_RS22200","KPN_RS22210","KPN_RS25930","KPN_RS26890","KPN_RS26900","KPN_RS26940","KPN_RS27630","KPN_RS27890","KPN_RS27930"
"KLEBS_As_1 (GE) - TPM",-0.326766619914429,0.369244148386094,-0.137390369648299,-0.446317075150125,-0.248462378418963,1.78654634137866,-0.0293299440790045,-0.163421876011867,0.30216696966607,-0.769880866983537,-0.66450025832317,-1.21472811879542,-0.193181709676277,0.157075912237324,-0.30975236425731,0.400629941831117,-0.725761068033287,-0.326870229543358,-0.396699738240386,-0.210912957617671,0.0816574191600806,-0.537067609115271,0.53418759206164,0.426098390613582,-0.381412824880295,-0.414638694429442,-0.223701686686665,-0.404107330250746,-0.340956011809067,0.139179656830637,0.159275637927358,0.0534500256409779,-0.755560229079554,-0.492433804199689,-0.684599886045136,0.00212006007373758,-0.330031815125796,-0.798042156374278,-0.156694520364364,-0.0524835067379386,-0.694654304502627,1.1894588110873,0.0182322004894749,-0.20252783975737,0.175675909244068,-0.541629657546547,-0.649097083964745,-0.315153813505167,-0.116150170498801,-0.137753900614764,-0.336400910375305,-0.632821890708946,-0.724577846194133,0.484930925324238,-0.786684631554676
"KLEBS_As_2 (GE) - TPM",0.733501437397381,-0.17684650028812,1.29411986007932,-0.446317075150125,-0.248462378418963,0.930171652162948,-0.33964083929949,1.57514345115893,0.587515037771096,0.647260535349436,0.469201025790447,-0.603194935356774,0.254642336813857,-0.433516557845936,-0.30975236425731,-0.508543529595276,-0.785725903723195,-0.326870229543358,-0.532225585389289,-0.525895460631705,-0.325762124810778,-0.595132185795578,0.571455297002771,-0.154631155911944,-0.180359186114804,-0.0992313768949625,-0.438845296542145,-0.546189914185305,0.580609525571038,-0.819258004282524,0.804101374491257,0.428224242577905,-0.96288108073404,-0.84448888038894,0.877707466116732,0.0228011927059699,0.843144962509438,-0.789383792551191,0.491503880973342,0.0129904608037937,-0.553505000704267,1.00392063927723,0.209092913852989,0.121411645378618,1.27472040265888,-0.23064884600427,0.133351906711303,-1.04658025311175,0.233238248559514,-0.92710651573038,0.0163018738467341,-0.632821890708946,0.0424331291037773,1.20987629242307,-0.43337032278696
"KLEBS_As_3 (GE) - TPM",0.251884255369232,0.465981066519162,-0.241111303415426,-0.0409644430958137,-0.248462378418963,0.653743599234962,-0.374473873239123,-0.421797909843225,-0.761299321722834,0.0435352602405669,-0.467134133578867,-0.933453072208985,-0.336171057711064,0.00120865902061907,-0.00658997964880891,-0.508543529595276,-0.189847914748363,-0.326870229543358,-0.286078116055926,0.169664559818218,-0.36383483689243,-0.654304366500219,0.773772378827487,0.338576995539837,0.00965031693112127,-0.262466279789074,-0.439852207592856,0.159756189835235,0.937587703061995,-0.0921918972252825,0.609739552370954,0.750908727064531,-0.505064871034206,-0.455776120938654,0.0287886547599685,-0.301522554807455,-0.511989778439506,-0.122214623304906,-0.362549389628624,0.474957112747126,-0.497984304793851,0.644167161684179,0.680374485824728,-0.772649005238156,-0.00689151355308665,-0.0700605364640966,-0.0643595007160459,-0.493082026634075,-0.285884655042918,-0.491334595070236,0.525841360169104,-0.632821890708946,-0.932886687387516,0.646733416436211,-0.779586731879755
"KLEBS_Bs_1 (GE) - TPM",0.315054763376108,-0.240103780479746,-0.56772717492928,-0.156802625092578,-0.248462378418963,-0.00716831391287191,0.37394763422286,-0.421797909843225,0.130129583925577,-0.769880866983537,-0.461348559119985,-0.0452858429215315,-0.464609883021882,0.469736358833043,-0.30975236425731,-0.471298231431986,0.366384743228498,-0.326870229543358,0.613569925525135,-0.45363526112371,0.0119139361472796,0.164057929388416,-0.395433427491522,-0.371480459743999,-0.471571459508473,-0.0530228775849072,-0.242297389110144,-0.17949397973357,0.924025188501359,-0.405231071502573,-0.395694444618798,0.258973238428625,-0.269275605070944,-0.743532597889415,-0.1366527964341,-0.296692785565149,-0.581365804522914,-0.705445740441249,0.335067901139409,-0.307725886213841,0.249661445743084,-0.646703404146027,-0.17728098913502,-0.122472743719005,-0.267872960630274,-0.677460160332917,-0.038822609545897,0.657004858646357,-0.448202339308637,-0.345045843049231,-0.569120767229703,-0.421037131806731,-0.518945897104735,-0.0634191812292522,-0.131582721374175
"KLEBS_Bs_2 (GE) - TPM",0.861550085154619,-0.451682816751239,-0.134325367955914,-0.446317075150125,-0.248462378418963,0.404685433450123,0.217861542874514,-0.421797909843225,-0.285284962525688,-0.0839912125247473,-0.311571159390761,-0.741785152094218,-0.329231970905494,-0.433516557845936,-0.30975236425731,-0.508543529595276,0.121487949376453,-0.326870229543358,0.0352734626891068,0.353870885273965,-0.397944470374456,0.428865357649852,-0.450409741775601,-0.426301358195365,0.748376100299032,-0.117476474567419,0.0574894714700815,-0.546189914185305,0.268377378899507,0.0372714725441646,0.538526096919803,-0.150604693660192,-0.399905649702925,0.691936778320226,0.90767575882273,0.251194355308169,0.588620799896426,-0.483214039222493,-0.472933726001991,1.16460654163648,0.917598182571192,0.728945293400933,-0.185022627261894,0.587303681471088,0.000631027981218646,-0.472518960495144,0.327784535202178,0.871078344345342,-0.536325045729636,-0.270942077335643,-0.697065456821574,-0.632821890708946,0.713910050144014,-0.161717923783373,0.731776198469658
"KLEBS_Bs_3 (GE) - TPM",0.659831062076718,0.239239006402514,-0.221820442467573,-0.314753568659403,-0.07489520867907,-0.531141358635907,-0.680035878330899,0.0226430666762141,-0.409510324999171,-0.150344755389284,-0.0922170253741369,-0.675758891519238,-0.397910970947974,0.243748255189065,-0.0473628415535551,0.087227407458938,0.520808518101134,-0.326870229543358,-0.768458274783626,0.557727732749764,0.0610562209975764,-0.368016993639777,-0.16204316856865,-0.275326401484485,-0.623083041114865,-0.371118655310955,0.112023800832516,-0.301789064335793,1.15135053893287,-0.432046482292957,-0.102450537795167,0.209986703447675,-0.427952122166212,-0.440767994373065,0.0157405574644249,-0.335658066646031,-0.293147318809046,0.148749732693731,-0.159117191050993,0.287676301030001,0.279182180113039,0.665002766106764,-0.242314357182819,-0.335551504675402,-0.0425677842709612,-0.295829467347328,0.105711975688031,0.196116739017927,-0.236736994215583,-0.0542408873089362,-0.42603229736707,-0.632821890708946,0.153395864639125,0.179285606534516,0.552227442335916
"KLEBS_Ctrl_1 (GE) - TPM",-0.404112510666647,-0.559803184466222,-0.486394032983448,-0.446317075150125,-0.248462378418963,0.445479385289952,0.0964323833692601,-0.182169582748702,-0.306083282473979,0.141120981562128,-0.35260488951508,-0.534988069032365,-0.033066900013742,-0.433516557845936,-0.30975236425731,-0.508543529595276,1.21637092523146,-0.326870229543358,-0.663989649441195,-0.175342527555609,-0.805553882162492,-0.722581023595201,-0.687340796142979,-0.0465117638118104,-0.373828407470867,-0.596635105540806,-0.348236812069899,-0.546189914185305,0.908389827358742,-0.0187615116692929,0.180699386495076,0.979790544082627,-0.834695949161918,-0.354723820613687,-0.45707480081788,-0.612879873448862,1.05031496132655,-0.193524576441465,-0.490109414367871,0.222596937841846,1.09743378649766,-0.925031195231407,0.736876963792942,-0.915643435368648,-0.64688071014862,-0.744514231803858,0.0144425889745581,0.298281181108007,0.216313854266781,-0.717941553297684,-0.288904418915783,-0.632821890708946,-0.512560218687298,-0.893266472334284,0.915336257564361
"KLEBS_Ctrl_2 (GE) - TPM",0.45757386765395,-0.0364680922805991,-0.238662622407111,-0.446317075150125,-0.248462378418963,-0.378790399783137,-0.986147512489715,-0.148902949683161,-0.761299321722834,-0.769880866983537,-0.528373495521825,0.154455642685342,-0.464609883021882,0.952660415333643,-0.30975236425731,-0.508543529595276,0.143179219258812,0.213252386881275,-0.660626591351227,-0.0823190369555692,-0.396895817802641,0.235337945885162,-0.400636408646989,-0.496703364633356,-0.365804392212523,-0.333405104554882,0.563542535968109,-0.546189914185305,0.0574131808642045,-0.380749880783822,0.374006898725098,0.317271445778732,-0.232978300942853,-0.472650769996646,-0.076202207677234,-0.532556172085611,-0.581365804522914,-0.157628785966555,-0.247647497012287,1.48839907637673,2.38593552039863,-0.632138137803206,-0.353716278181358,-1.0686481651844,-0.27648535801109,0.27142267509562,-0.467334912643875,1.05989107259147,0.551444085076566,0.184505102513985,-0.648040684257789,0.0172090152502145,-0.687521863382362,0.656757003968674,-0.374867032933916
"KLEBS_Ctrl_3 (GE) - TPM",1.13702437545836,-0.559803184466222,-0.364101993820935,-0.446317075150125,-0.248462378418963,-0.00932854890677005,-1.03373296096475,-0.421797909843225,-0.761299321722834,-0.38445015068532,-0.564687365801309,-0.547780565367901,-0.464609883021882,-0.433516557845936,-0.30975236425731,0.510732248162808,-0.197492545671277,-0.326870229543358,-0.841157171142833,-0.525895460631705,-0.110475307337794,0.490631990821175,-0.687340796142979,-0.770954870086544,-0.336148620027748,-0.774623894672681,-0.253136210937268,-0.546189914185305,-0.0817441188597615,-0.37638926640224,-0.188593865135324,-0.280109331416149,-0.556132561195648,0.0188943734438954,-0.428584347149694,-0.0107839423889828,-0.581365804522914,-0.455452144422965,0.128018926078465,1.2543536688188,2.26039935414626,-0.108937457827181,-0.26260329233995,0.50924118210669,-0.365384616788341,-0.0254333701395884,-0.579733020614746,0.16601305327717,-0.520844166860407,-0.705870407892721,-0.980025664015233,-0.451702489535593,-0.243403379356762,0.460623288876537,1.28497403691751
"KLEBS_Li_1 (GE) - TPM",0.0935426825451624,-0.2578497651225,0.0837619162935808,-0.446317075150125,-0.248462378418963,0.423928376118391,-0.328587642244196,-0.421797909843225,0.0363348331039889,-0.131374201011593,-0.216779407019978,-0.502384644508148,-0.244064970506476,-0.433516557845936,-0.30975236425731,-0.508543529595276,-0.493384708620111,-0.326870229543358,-0.298319873605191,1.52157920557232,-0.494903088028905,-0.320617938997954,-0.191073462905523,1.89025406286419,0.403298081270445,-0.626614364802781,-0.86090973249761,0.261939670110539,0.393830277164734,-0.724967360895799,-0.743712620463828,-0.429081581841107,1.3954954229791,-0.415403231313674,0.202611319344108,-0.400352265768047,0.439722610906965,0.546734898643351,0.176910064085197,-0.222868735569077,-0.189089786025629,-0.249058484753217,0.44199076885828,-0.130310634888779,-0.112146849364051,0.00912525324336027,-0.545432181011483,0.389074215325774,0.849220556154719,0.767960450902846,-0.36870781837818,-0.332778484219577,-0.489586052595733,-0.931853581561658,-0.30096942097495
