"","KPN_RS00160","KPN_RS00810","KPN_RS05560","KPN_RS06245","KPN_RS07160","KPN_RS07165","KPN_RS07250","KPN_RS07330","KPN_RS07375","KPN_RS07475","KPN_RS28790","KPN_RS07595","KPN_RS07665","KPN_RS07695","KPN_RS08930","KPN_RS09035","KPN_RS09550","KPN_RS09825","KPN_RS10085","KPN_RS11140","KPN_RS11185","KPN_RS11200","KPN_RS11850","KPN_RS12185","KPN_RS12190","KPN_RS12230","KPN_RS29040","KPN_RS13560","KPN_RS13580","KPN_RS30130","KPN_RS15810","KPN_RS16415","KPN_RS17220","KPN_RS24115","KPN_RS24250","KPN_RS25320","KPN_RS25470","KPN_RS25545","KPN_RS25880","KPN_RS26055","KPN_RS26420","KPN_RS27015","KPN_RS27465","KPN_RS27470","KPN_RS27575","KPN_RS27680","KPN_RS27945","KPN_RS28255"
"KLEBS_As_1 (GE) - TPM",-0.456697666153588,-0.40752279133652,-0.245422423734118,-0.458671894546977,-0.27762410645822,-0.581897878418377,-0.698254897922661,-0.449496645860381,-0.358878217859341,-0.533360362377923,0.117942724768768,-0.365905771573873,-0.251426952380247,-0.597561318623682,-0.642851139534102,-0.373990028722702,-0.85891270941457,-0.353904356684427,-0.438349810405485,-0.303305496849129,-0.54881097419375,-0.675670471393646,-0.483301372451365,-0.444618715187285,-0.493093120150108,-1.1123840658425,-0.195573715495406,0.284219641190532,-0.679221230543125,0.0735505482563917,-0.284057299324504,-0.465189517138816,-0.495713521840272,-0.486301400945476,-0.194765981048801,-0.481999916316442,-0.530078049754121,-0.516053076740143,-0.0401210273019847,-0.231933361685471,-0.0692765237677188,0.378301379377707,-0.574629792800607,0.243669361789918,-0.241790408308824,0.129642893867145,-0.301561878069105,-0.673224717781263
"KLEBS_As_2 (GE) - TPM",-0.60190802641878,-0.578390920082317,0.215864162438225,0.730135574260888,-0.27762410645822,-0.72934590746473,-0.518952109115245,-0.374287405064301,0.281429664512601,0.404382080462461,0.334049292095524,-0.302014992605925,0.172011878983962,0.645274745267127,-0.642851139534102,-0.235637455170566,-0.990031119901843,-0.0188904132650301,-0.80658902842452,-0.598402950562635,-0.545309006166831,-0.314160586343917,-0.139088348859825,0.217175838915667,-0.493093120150108,0.115273403754537,-0.480597440866818,0.761213005499202,-0.0189088073798172,0.647112219468665,-0.719435818458147,-0.465189517138816,-0.243687710122702,0.707658140047966,-0.435098358414627,-0.168017215371802,-0.161116021522993,-0.516053076740143,-0.724937439232518,-0.566639957803032,-0.330303846522199,-0.963089560792636,-0.286753250672628,-0.668315743670032,-0.241790408308824,-0.358056354911046,-0.60973232121039,-0.240709004722923
"KLEBS_As_3 (GE) - TPM",-0.388134202073933,-0.525807081803161,-0.558536572198498,0.247002085460564,-0.27762410645822,-0.599105080477828,-0.219622629787945,-0.191730738745854,-0.358878217859341,-0.386837046060141,-0.127373042660522,-0.405093492926608,-0.286230146323752,-0.098227477528564,-0.642851139534102,0.206577305362752,-0.219464242437325,0.175269458540115,-0.654120751174396,-0.293037054134296,0.0334546398939301,-0.191501945072578,-0.439723167838078,-0.444618715187285,-0.186339329919226,-0.721954872905338,-0.424233323403758,-0.330481562007078,0.356597799770475,0.487956504513621,-0.527150920429307,0.574276552285055,-0.383558854349397,-0.486301400945476,-0.191854486548599,-0.132755948709139,-1.10440920668751,0.139653383670309,-0.304869205280071,-0.430985693677114,0.318560485584713,0.56093266712355,-0.297600313403733,0.109708213389215,-0.241790408308824,-0.673253196762438,0.567948692240137,-0.135256507376096
"KLEBS_Bs_1 (GE) - TPM",-0.490865566526085,-0.241008413704974,0.249568702789729,-0.680837612040311,-0.27762410645822,-0.458737250964513,-0.618573331185747,-0.0431853063179022,-0.180697884968377,-0.381140514181963,-0.55560211127214,-0.634659428356586,-0.366796764705156,-0.542160264427671,-0.310978032973429,-0.295772224335068,0.262284682191665,-0.382562874420833,-0.133406294515402,-0.539187887495078,-0.334436353831591,-0.675670471393646,-0.378314198293128,0.199939504716107,-0.015073479107416,-0.497751723789051,-0.141420339473145,-0.0512926661795557,-0.373994813428392,-0.467026130967138,-0.31991472274623,-0.465189517138816,-0.483489309408323,-0.154054814064665,-0.38915277576921,-0.215212225555724,0.144762078717652,-0.402519908654617,0.737001361529924,0.587296598955369,-0.202401864473993,0.592536687131785,-0.0993702130173795,-0.325682244571425,-0.241790408308824,-0.212771811657733,-0.0979225862645098,-0.23026235746481
"KLEBS_Bs_2 (GE) - TPM",1.20067800069261,-0.470837729924466,-0.558536572198498,-0.784600497699711,-0.134583568095612,-0.454791368751691,-0.0182078587231973,-0.21374477306623,-0.358878217859341,-0.356858141760945,-0.391759188927317,-0.252725708602108,-0.39497840167456,-0.31656784400212,0.367285810183027,-0.237772075917894,0.585288512311615,-0.623901385520227,-0.538746380253575,-0.384373116559074,-0.262844974842986,-0.267409345724694,-0.433780835031661,-0.444618715187285,0.546170925325376,0.242139582793578,-0.111970268000818,-0.0438529386813308,-0.353930972476513,-0.467026130967138,-0.314089102795722,-0.465189517138816,-0.226449407299794,-0.486301400945476,-0.435098358414627,0.383575122310744,-0.350750018924989,0.0982864053046908,0.0720359726229316,0.301169720264892,-0.537840022354505,-0.0678091143795902,-0.531677071922028,0.465325837404917,0.253917577377017,-0.406284112424191,0.116752536236683,0.683848718326559
"KLEBS_Bs_3 (GE) - TPM",-0.268866639370834,-0.309401670374599,-0.450817016366882,-0.602708045365614,-0.230641315025716,-0.492624456456426,-0.340992328811295,-0.373866370706513,-0.358878217859341,-0.305089531332031,0.0809930707694668,-0.483891571964849,-0.221715779750344,-0.604829222116496,-0.414747277301004,-0.345262398708479,0.13978497205876,-0.0965719498801356,-0.595448963034198,-0.528809111420653,-0.301613912103249,-0.323666943763067,-0.340279741198693,0.291829093926178,0.00756008834126443,-0.21515702579609,0.287020320638817,-0.422283636239361,-0.505937236928364,-0.281053443098581,-0.569654082635044,0.25454358883501,-0.642448553589666,-0.486301400945476,-0.366197775088991,0.299627081670808,0.173665631965238,-0.326879975775701,-0.11413565416068,0.773480581842756,0.375391822045188,0.929454441931196,0.1455420026553,-0.546679018847617,-0.241790408308824,0.0501736140907972,0.182271146973636,-0.041796110906484
"KLEBS_Ctrl_1 (GE) - TPM",-0.332560166970969,0.0221401032491939,0.0222527420793497,-0.579147496902992,-0.27762410645822,-0.18234897317575,-0.410823382925276,-0.252724440432562,0.649587186286484,-0.111384426959906,-0.199921467900889,-0.404081329681529,-0.359999159507857,0.150121626370337,-0.642851139534102,0.0392996046415089,0.882252522966594,-0.28336898520334,-0.0808593171432965,-0.590821018289403,-0.131316798261421,0.707078088012129,-0.549712602677292,0.746588436371895,-0.198617308483092,0.446403749832276,0.0379192961706864,-0.304860840136695,0.504505037737346,-0.467026130967138,-0.719435818458147,-0.465189517138816,-0.219219761956231,-0.486301400945476,-0.212204443754977,0.448966528966234,0.150621212511122,-0.148867218392583,-0.724937439232518,0.211745324586986,-0.419930110891624,-0.402992730265536,-0.499472406581452,0.304274148121124,-0.241790408308824,-0.531417361971355,-0.408181899749539,0.174207832347606
"KLEBS_Ctrl_2 (GE) - TPM",-0.60190802641878,1.52571802728082,-0.293969392486754,-0.826678220555597,-0.27762410645822,-0.72934590746473,-0.255246160652035,-0.537311061665702,-0.358878217859341,-0.106198450630062,-0.323895855069815,-0.456195945487966,-0.453881323700135,-0.569134392850755,-0.0316803158756506,0.130895601377175,0.218453108678946,0.136936907291965,0.165740191549036,-0.356408721489338,-0.663595436295723,-0.0581371544858018,-0.549712602677292,0.459766371862925,-0.269521987091561,0.349879295624336,0.320919961414049,0.305586505443943,-0.136286896238336,0.903261811889946,0.690751677936104,-0.465189517138816,-0.175735155722472,-0.486301400945476,-0.209465134504017,-0.661621399700444,0.246289857243702,0.0414946412604284,0.560926217201653,-0.0104417477968501,-0.581525889257578,0.0656180059101224,-0.257438070777344,-0.021618407807135,-0.241790408308824,-0.13483209338587,-0.715890016220979,-0.300617401212551
"KLEBS_Ctrl_3 (GE) - TPM",-0.60190802641878,0.557502640445995,-0.558536572198498,-0.359911630250781,-0.27762410645822,-0.0350682160639432,0.659654241382598,-0.177160888209887,-0.358878217859341,-0.384584148615567,-0.170207117145222,-0.163405196446314,-0.354581114226943,-0.654239664124231,-0.359031573642826,-0.0957736487098747,-0.450641465774863,0.404932289152375,-0.445359668570298,-0.46052281781309,0.574998045204822,-0.675670471393646,-0.354271555163426,2.07528739765136,-0.493093120150108,0.306220149424312,-0.133754765813243,0.724078040016523,-0.532630844580842,-0.467026130967138,-0.206927113925971,-0.465189517138816,0.315300999233904,0.650254470919146,-0.435098358414627,-0.426685158175406,0.425288261307543,-0.516053076740143,-0.575652963492226,0.315140298019818,-0.859863296784054,-0.309036968163699,-0.467907057296528,-0.767561726083082,-0.241790408308824,-0.673253196762438,-0.770978273590987,-0.662710481878447
"KLEBS_Li_1 (GE) - TPM",-0.60190802641878,-0.387142365495705,-0.253237096640309,-0.580736660009842,-0.27762410645822,-0.681423229026295,-0.40055502532584,-0.432729930377389,-0.358878217859341,-0.163665108403353,-0.714802276939286,-0.665710253175364,-0.453881323700135,-0.184626851776269,-0.172674069897261,-0.0974614612637313,0.258973351267623,-0.514285734324912,-0.731787207965139,-0.13229415156233,-0.663595436295723,-0.461888174779707,-0.549712602677292,-0.444618715187285,-0.299599307751431,0.851844178868481,-0.646791980953679,-0.744984639209125,-0.484893987579786,0.235753893229799,-0.719435818458147,-0.465189517138816,-0.218570583166934,-0.486301400945476,-0.370005529282787,0.116771966870733,0.266679377516309,-0.516053076740143,0.140631784088374,-0.279097387757433,-0.313840733260172,0.697069996663368,0.295303737382672,-0.767561726083082,-0.241790408308824,-0.424727010380123,-0.325991437119504,-0.929716915224299
