"","KPN_RS00290","KPN_RS00300","KPN_RS00305","KPN_RS00370","KPN_RS01870","KPN_RS01875","KPN_RS01880","KPN_RS02735","KPN_RS03245","KPN_RS28585","KPN_RS04625","KPN_RS06695","KPN_RS07700","KPN_RS07855","KPN_RS08200","KPN_RS28830","KPN_RS09560","KPN_RS09835","KPN_RS28985","KPN_RS11870","KPN_RS13505","KPN_RS14205","KPN_RS14725","KPN_RS14980","KPN_RS14995","KPN_RS15000","KPN_RS15005","KPN_RS15120","KPN_RS15790","KPN_RS15795","KPN_RS16400","KPN_RS16420","KPN_RS16425","KPN_RS16555","KPN_RS16560","KPN_RS16565","KPN_RS29155","KPN_RS16575","KPN_RS17250","KPN_RS18865","KPN_RS18875","KPN_RS18880","KPN_RS18985","KPN_RS18995","KPN_RS19000","KPN_RS19065","KPN_RS19385","KPN_RS19450","KPN_RS19475","KPN_RS19480","KPN_RS19825","KPN_RS20450","KPN_RS20535","KPN_RS20540","KPN_RS21455","KPN_RS21460","KPN_RS21630","KPN_RS22040","KPN_RS22420","KPN_RS22610","KPN_RS22615","KPN_RS22620","KPN_RS22625","KPN_RS23300","KPN_RS26185","KPN_RS27020","KPN_RS27275","KPN_RS27640","KPN_RS27645","KPN_RS27650","KPN_RS29930","KPN_RS29970","KPN_RS28265","KPN_RS28270","KPN_RS28275","KPN_RS28280","KPN_RS28285"
"KLEBS_As_1 (GE) - TPM",-0.458644512079692,-0.603241924168957,-0.638403614590329,-0.444411369248994,-0.802557590280554,-0.746417419107071,-0.680288600428947,-0.583969584707305,-0.418203264576498,-0.497763668344918,-0.607124022841027,-0.520102370041916,-0.139888916230055,-0.662307302055845,0.0575038546194191,-0.296203553555251,-0.468686793032145,-0.640101603979871,-0.496722370697301,1.18678504358608,0.293460819130743,-0.0490399752256079,0.552127080040729,-0.668799293122306,-0.388806391626311,-0.455652729216233,-0.402765518249303,-0.38049138198102,-0.806195976975995,-0.85637490743309,-0.652040585878324,-0.618891572340146,-0.499796426796803,-0.533031182978169,-0.6044636153757,-0.731296219266202,-0.885599627055273,-0.72148445164099,0.0488847293713023,-0.353525880819504,-0.416552342565862,0.245303619266524,-0.786090524939194,-0.579285188974587,-0.548817251025263,-0.80986694584829,0.0297401203023846,0.251711109497344,0.243100490035144,0.224634413310178,0.223890174526454,-0.375910797715943,-0.209997698287822,0.236651049958682,1.12942346231598,0.769005608212735,-0.268309597483878,-0.495536088194697,-0.368850199881022,-0.721251325097403,-0.697421555374293,-0.88691383450035,-0.649168437160291,-0.690923587938205,-1.03143126824226,-0.0836662997124866,-0.804141224786769,-0.664149973935101,-0.66403282133328,-0.603655160999695,-0.642999009600961,0.030209339580916,-0.362723243859995,-0.226173249317309,-0.327103781996163,-0.354930796782913,0.0591226754049539
"KLEBS_As_2 (GE) - TPM",-0.466332580348156,-0.730510893205985,0.021861369666733,-0.353879050158357,-0.812375106444522,-0.830291338909579,-0.774700291737882,-0.525732426411893,-0.68810004816991,-0.60306151365795,-0.579224058947762,-0.520102370041916,0.480200099522741,-0.662307302055845,-0.381569812587972,-0.296203553555251,-0.333344902923326,-0.519359869388627,-0.496722370697301,0.889510906185522,0.499143827609156,-0.390578604843232,0.0422185280336832,-0.668799293122306,-0.380228966527936,-0.455652729216233,-0.603345854770158,0.0232903554198199,-0.90346642508436,-0.670225052915307,-0.165879586605348,0.623911921248918,-0.280168244871175,-0.669428742104676,-0.548435811399745,-0.437904903433149,-0.330921356442872,0.0676191942363407,-0.866582834015576,-0.384431187308714,-0.345284277979694,-0.157276910295605,-0.76812495381378,-0.549296095852043,-0.692169868637217,-0.728641763261525,0.0444634461039235,0.48993741676823,0.308591804231428,0.332543792881245,0.209726889751567,-0.400465530452507,0.116965929245704,-0.149739467203773,1.9120122960809,0.797649108385016,-0.450194759515607,1.0167024546444,-0.990777323796142,-0.687459026667316,-0.719408039710513,-0.908869391558732,-0.633656549244604,-0.288831800298537,-0.143711331381111,2.27354681832921,-0.848871662299758,-0.225152262215711,-0.539921637813068,0.636997346431724,-0.749015435286227,-0.60906684986409,-0.0929724427744743,-0.666835536822946,-0.169104470767646,-0.33551784157034,0.311233844760193
"KLEBS_As_3 (GE) - TPM",-0.448810941874256,-0.569278923077881,-0.812422482877235,-0.453380103181954,-0.901295578467519,-0.623502139132897,-0.421922662234859,0.101553469698442,-0.635040874255827,-0.608105179826209,-0.544127151533961,-0.520102370041916,-0.0215837078533389,-0.467854967503932,0.0328669092514731,-0.296203553555251,-0.730665758281132,-0.495539820817844,-0.496722370697301,0.303273469506788,0.0130316841992707,-0.377102538360339,0.289383994193462,-0.668799293122306,-0.425057575950245,-0.455652729216233,-0.526404173421769,0.467357857358798,-0.688291788774003,-0.820759244028414,-0.160355131605297,-0.618891572340146,-0.604804948077238,-0.642046935676294,-0.589456059384586,-0.790927119222618,-0.628147774472523,-0.51477813340616,-0.669456015559569,-0.291406360330345,-0.560701774158285,-0.642682431026729,-0.784480210951271,-0.603593516497329,-0.604993708410995,-0.595927040861433,0.206865934996539,0.390629761267964,0.0218647252670185,0.192652192292166,0.358182815348165,-0.405823777170913,-0.0674332379426381,0.371101460945856,0.581910922383211,0.612845906169843,-0.409467246869024,0.159795990983305,-0.693161427147094,-0.433362993293999,-0.490832756472408,-0.593464960610239,-0.547107309540205,-0.528625165964574,0.295230614797344,-0.750630953033908,-0.949701259011239,-0.385061173102168,-0.588770321735783,0.188741370674399,-0.105210896449138,-0.282119823461052,-0.393746512041787,-0.463532462855815,-0.377039228738446,-0.332176024447587,0.0315081038248225
"KLEBS_Bs_1 (GE) - TPM",-0.356011316302706,-0.583466972322542,-0.268193428033783,-0.380943425514909,0.62605797060453,0.453882010967757,0.607005090854664,0.265915351798315,-0.572096512881684,-0.619200204438815,-0.183493961573923,-0.341945273046578,0.092351558639892,-0.207779738527321,-0.59781307317671,0.146215080038129,0.0860779365519797,-0.592307700447797,0.0214496850201212,-0.134039585491357,-0.194361292134642,1.01801705234446,-0.620549958071096,-0.554413845899048,-0.296153507684909,-0.217887923627625,-0.353155978238788,0.741788750915281,0.944832399544177,0.636588359005312,-0.39860548331468,0.591543301032044,0.117895832750153,-0.52008537339331,-0.534304027061914,-0.687785423568904,-0.241807344690067,0.240609119633045,0.256866568977806,-0.265028303752613,-0.318010045868335,1.13997131909533,-0.382893613577633,-0.380137411094415,-0.422550066679618,1.31846173404809,0.228088037787037,-0.18918473163976,-0.0209674691181092,-0.120542743054344,0.537152696622415,-0.298827460135243,0.409039295242645,0.136379268847028,-0.141906590998801,-0.136054593937237,-0.139696044876134,0.254718074449555,0.173762921873631,0.461008968685905,0.54180905879992,0.925369716196677,1.42306109927381,-0.354206398578712,0.408624729545636,-0.521118209600898,-0.687992374204758,0.11502755012148,1.17163105606949,1.2579453186305,-0.080181070803683,-0.245018959495828,0.0720853290656494,-0.558600434571332,-0.297227999896484,-0.34684890244088,0.193441449211692
"KLEBS_Bs_2 (GE) - TPM",-0.364438409876525,-0.0113225381937921,-0.368373647699696,-0.443240029327765,1.10493693375359,0.403860229888096,0.440404044331674,0.575636330613406,-0.764568914191032,-0.626803508079453,-0.270987395076075,0.293294662312164,0.475928682766133,-0.252391514568881,-0.406352613588049,0.0404487695439297,0.1520850385357,-0.545268880481779,-0.0761401422603619,-0.0237976784814445,0.334748851110315,1.23198867019763,-0.672538013256758,-0.237743957865118,-0.332243348697016,-0.252510181972381,-0.482675872433665,1.08478474639934,0.715195411887803,0.311114407555478,-0.413051516696464,2.01271879564427,-0.543701710726165,-0.496261861910452,-0.557008534696936,-0.504988608788569,0.435802363452176,0.273652651547283,-0.941671670561558,-0.278428336940931,-0.452398253557938,-0.258720647583782,-0.342055876076234,-0.4412354843043,-0.186925497770537,2.41510132709783,0.995034428166035,0.733908750622094,-0.297102133960078,-0.353454473966146,1.23402469710765,-0.184105562233191,-0.287462673902075,-0.360053698107615,-0.188904096656902,-0.167196612235481,-0.11741829673512,-0.12290225556736,0.56699010351806,0.77046438417382,0.474272752689978,0.973894817829574,1.3349537651842,-0.0635279535058479,0.00476888766644134,0.180806587631006,-0.261771468497657,0.0579188276519923,0.65614166389062,-0.164307525106381,0.238020168455323,-0.329768109434044,-0.112332931480112,-0.593356331740698,-0.308900465333568,-0.295686594275964,0.0608133588922899
"KLEBS_Bs_3 (GE) - TPM",-0.443291349014653,-0.217024325167616,-0.232537195240553,-0.422103995057869,0.430270625859558,0.312816857049484,0.279576798874456,-0.126035643682155,-0.625734191520691,-0.622023483382429,-0.273030582479251,-0.431046816395801,0.596882503697755,-0.0564269932138287,0.377979854370578,-0.185627446663553,0.345197857519035,-0.502400728159358,0.228531241404196,0.169797032470519,0.717204041441779,1.15289372430785,-0.430888842048796,-0.619789613215367,-0.279558293685626,-0.0928422327324466,-0.410335413078206,0.668141280113915,0.474691958479837,-0.0481264195801465,0.145340640465468,0.648855715164312,0.147814033320032,-0.640989729302751,-0.464180660747843,-0.743275975962098,-0.29604087792199,0.48732616977359,-0.367274648167228,-0.29842382390064,-0.175879717734998,0.816685109774971,-0.481153955220412,-0.459707157282079,-0.549054225199734,2.14484098168463,0.804867780679326,0.868707476224165,-0.11941840084602,0.0234605935925245,0.784078001150487,-0.355297424809086,0.138635737333934,-0.30766294096845,0.0133877275652589,0.0248863543151978,-0.0190453476810668,0.630036003000243,-0.0944079490930694,0.629322629469248,0.663507117845265,0.998176842991635,1.75400490309394,-0.264509490155716,0.550148912012045,0.320152031802178,-0.412788185070363,0.910629602576716,0.684830957828469,0.971199774000501,0.284370845193542,-0.377830626900927,0.268889899695721,-0.195015226411222,-0.291812966847888,-0.315638854839914,0.309032886569029
"KLEBS_Ctrl_1 (GE) - TPM",-0.401254380463151,-0.133674580001767,-0.239090287030975,-0.422363665007204,-0.228246136915603,0.435323269564109,0.318416302865231,-0.672470858620213,-0.414509311499599,-0.6837689276733,-0.201049406037211,0.344183825051098,-0.643828183916862,-0.662307302055845,-0.264972334445566,-0.296203553555251,-0.830551793469835,-0.622880516325478,-0.496722370697301,-0.0055287737291501,-0.341834383387534,1.05655260637047,-0.591764665020611,-0.615950396569074,-0.371264285363659,-0.455652729216233,0.162618475171711,1.0744888297062,1.50395993464631,0.304379942927185,-0.382106133399959,-0.246057737207895,-0.604804948077238,-0.577428317899138,-0.6044636153757,-0.696981581836607,-0.424056093341267,-0.613085736294675,-0.883834200497292,-0.294425774797131,-0.0469108862825838,1.23082847838888,-0.434334674280217,-0.406971371108448,-0.229966019554936,0.353069607391823,0.495292762333221,-0.137099764866834,-0.067699611556783,-0.107624328204509,-0.515656833154354,-0.403740317746439,-0.399401825412414,0.836755425522439,-0.714177446451291,0.119621855724458,-0.0245170936048272,-0.79515727587132,0.203146604368862,-0.0751825360740751,0.605734052111139,0.524427394409402,0.292391801784825,-0.396101307395181,1.19252800485594,-0.503203013355587,-0.513547054162261,1.34194225222274,0.782294692927149,-0.803323595784791,-0.0607481491250824,-0.294396226595958,-0.0527062635450094,-0.650371802235962,-0.584541425889552,-0.344874596226059,0.565500153782595
"KLEBS_Ctrl_2 (GE) - TPM",-0.336186852641929,-0.606939205531302,-0.488901924164618,-0.403950215498328,0.195689165226434,0.535490384051033,0.305329230602832,-0.381924003542093,-0.6649708143874,-0.6837689276733,-0.312600847693251,-0.520102370041916,-0.556055913923075,-0.662307302055845,0.235715561857103,-0.296203553555251,-0.0661532260798654,-0.716617654417482,-0.496722370697301,1.0021543417501,0.109664267835644,0.601575870081163,-0.687426504958553,0.133676646907389,-0.20043319099103,-0.455652729216233,-0.296188358349518,0.789978832405608,0.384502040137885,0.0339754734239338,-0.48682620098887,-0.618891572340146,-0.235107394712053,-0.459883799006,-0.413049565138815,-0.64484859488355,-0.254691055169838,-0.313220314826112,0.257338755497593,-0.311054699352317,0.0425470273973752,0.199006677949873,-0.424971394533875,-0.457660703118652,-0.291661611029023,-0.373547541997202,-0.276481320933414,-0.302556315556644,0.210680957035773,-0.111067370561915,-0.262902367308797,-0.484603255566546,-1.00017743254166,0.391169651343885,-0.310954469490982,0.252445955447893,-0.289188227543285,-0.386446550410708,0.101786192801458,-0.146587305531309,0.51748910387132,0.208117759223573,0.730866308664994,-0.17504553842686,-0.0127046724758933,0.564330067921955,0.377697042311202,1.4247357868757,1.75608050662213,-0.240954515877132,0.7439686683991,-0.373888705003174,-0.0972121656864674,-0.367506694215725,-0.54071732920179,-0.297496472219834,0.700285696054244
"KLEBS_Ctrl_3 (GE) - TPM",-0.404144546933264,0.00653188174542152,-0.234796329663136,-0.448762309876109,0.439425509227979,-0.155707890536435,0.428233803709802,-0.0444010544601623,-0.531589093512763,-0.6837689276733,-0.0932846707611383,0.394062753716306,-0.495884764703338,0.374264111158148,-0.392503354071681,-0.296203553555251,-0.593900805071521,-0.430019830206669,0.566821724602225,0.844832838935398,0.0669970581885874,0.996779448792761,-0.727637109826165,0.756621786577681,-0.169017647451513,-0.0703813564982102,-0.566520077010297,0.932469270153299,-0.0965611516479126,0.0992397375500962,1.14680076207307,-0.618891572340146,-0.604804948077238,-0.499136465859568,-0.6044636153757,-0.534866265644725,-0.0248185170808066,-0.146950353662872,0.931224218850092,-0.210938428458716,-0.245172504165566,-0.268042502379227,-0.476717883403097,-0.247592041702247,-0.496917882608207,0.474259814087797,0.739428840606829,0.225735736061214,0.447401397378496,0.224951385598079,-0.235521133422637,-0.402600547423481,-0.210970529953396,-0.0461501590575707,-0.376917977854352,0.609340238689818,0.0156921832621411,-0.0573933440011855,0.488566158208555,-0.091026307294599,0.0126052460637251,0.712490079053999,0.189038977170142,-0.334040101521922,0.383759749075501,1.34302732390502,-0.295550148222592,-0.784843569700807,1.10192821222663,0.176013982873128,-0.333022312058246,-0.168952950603011,0.0222664127296913,-0.132458204583002,-0.347267645969469,-0.334820851372109,0.870777074900983
"KLEBS_Li_1 (GE) - TPM",-0.408848451413261,-0.529090646671056,0.23775755572336,-0.453850085012074,-0.626368676334266,-0.843510824279936,-0.552894577827631,0.21451633967726,1.14405079227429,1.65485868704005,-0.350290744974803,-0.520102370041916,-0.168245739409162,-0.0899106470112348,-0.7841243569116,0.0171919774597584,-0.634533122174971,-0.330998578934457,-0.496722370697301,-0.121170711036459,-0.190809243718087,-0.0333203769800253,0.773761550301127,-0.298389805664765,-0.425057575950245,-0.455652729216233,-0.236827658207488,-0.901215160411786,-0.802219574992813,-0.730567500904105,-0.83309847812887,-0.618891572340146,-0.604804948077238,1.15419235626612,1.06320922032692,0.773567790025531,-1.01736650025633,-0.226045921762058,-0.155067954093528,-0.293872378637148,-0.384208777860029,-0.55889278668418,-0.639802412697002,-0.500148417067279,-0.580308042666917,-0.768950726654541,-0.333768808750196,-1.02930861480579,-0.700894086580983,-0.819357432295154,-0.656181384553866,0.294039215361342,-0.522120693597032,0.474234280835546,-0.840378772086235,-0.685903656868281,-0.387619105061608,0.860069992409946,-0.413720443249185,-0.734850509867816,-0.639502660611971,-0.857874305484434,-0.444969177164332,-0.313957523921685,-0.773359826707691,0.766779144559203,0.594829830965484,-0.686775789166185,-0.546487693745608,0.00786444188562569,-0.404447175415206,-0.293637526920763,-0.369854662926517,-0.316045234910357,-0.231964916289083,-0.325185882871855,-0.0426102499090934
