"","lmo0026","lmo0047","lmo0095","lmo0113","lmo0114","lmo0193","lmo0194","lmo0195","lmo0229","lmo0230","lmo0231","lmo0232","lmo0447","lmo0481","lmo0612","lmo0613","lmo0804","lmo0817","lmo0849","lmo0909","lmo0932","lmo0954","lmo0955","lmo1020","lmo1021","lmo1022","lmo1023","lmo1223","lmo1471","lmo1472","lmo1473","lmo1474","lmo1475","lmo1518","lmo1617","lmo1636","lmo1637","lmo1746","lmo1747","lmo1919","lmo1966","lmo1967","lmo2068","lmo2069","lmo2078","lmo2094","lmo2147","lmo2224","lmo2247","lmo2257","lmo2258","lmo2360","lmo2361","lmo2444","lmo2484","lmo2485","lmo2486","lmo2487","lmo2567","lmo2568","lmo2577","lmo2588","lmo2589","lmo2601","lmo2733","lmo2734","lmo2745","lmo2784","lmo2818","lmo2819","lmo2833","lmo2837"
"Listeria_As_1 (GE) - TPM",-0.557839783831821,-0.151479219635109,-0.324058658313333,-0.984823693974494,-0.942049999021916,-0.311860439163439,-0.0709536510030552,-0.152768052630123,-0.562054288674457,-0.610013377944323,3.99987334430229,-0.660121642807634,0.445211997126789,-0.361623928706456,-0.441326554091381,-0.224164076809879,-1.18455118107808,-0.614726826057549,-1.13293337097875,-0.246554378533077,-0.741986903649558,-0.445056754076669,-0.411843841499017,0.230615881757311,-0.471739031187873,-0.68667045401249,-0.510676373326747,-0.634522631216972,0.173238683566735,-0.059087619875466,-0.618540218416832,-0.653410354323778,-0.518447506754934,-0.481084986233788,0.582103392456435,-0.78329267590085,-0.452610898916252,-0.387340595456033,-0.539250097038218,-0.256577659614613,-0.625013915307363,-0.556447557702087,-0.646878420317756,-0.610738675171514,-0.698889539055786,-1.15704497895724,-0.372570650817983,-0.501360984333596,-0.893173524424894,-0.294200765346471,0.223814017963081,-0.321849562291566,-0.334995583280848,-0.699243209406984,-0.781728919973594,-0.511930683356218,-0.345816328733874,-0.30533456833735,-0.415766112407268,-0.399715671397403,-0.201468505261618,-0.259816877648007,0.00928611282322714,-0.197597917239281,-0.992059019782713,-0.845248868963948,-0.426904054011221,0.422882690168268,-0.446019427084531,-0.542958287384354,-1.11375970716147,-0.243742959083695
"Listeria_As_2 (GE) - TPM",-0.918608370007825,0.0259292509292575,-0.617485470730802,-0.694748141125089,-0.539981245369662,-0.0959746354838784,0.0150350922811035,0.00257051189196843,-0.415076478829902,-0.490661734931743,-0.506049793896784,-0.576464875525316,-0.45154098208104,-0.240964029370638,-0.636174547986563,-0.234114982104489,-0.713573837361573,0.252736839373097,0.662866011278605,0.0769876445174389,-0.578927740289079,-0.292978665375415,-0.249407015962561,0.0635277065481152,-0.127658358247299,-0.494209956899283,-0.323375045930666,-0.752799123413723,-0.0743983227365215,0.382333656651659,-0.172374650258095,-0.461269233728815,-0.504695921308516,-0.346563765023126,0.0297519687920133,-0.564266044024753,-0.515465066649104,-0.144230384167953,-0.296476636214314,-0.432009774375084,-0.52264763272457,-0.52099536072339,-0.776916027152484,-0.403345178377078,-0.0930446125828599,-0.064799885847344,-0.54058378241285,-0.485189539795269,0.701582529820399,-0.598349207587765,0.671851641152101,-0.241839082658712,-0.216658869750672,0.368711094273245,-0.651130312292219,-0.23058690711885,-0.286456893018596,-0.192055979951106,-0.331215735391636,-0.264827698911976,-0.0777420886288853,-0.256239987706918,0.23403077067108,-0.175160952358218,-0.868340590531135,-0.772549580353985,-0.434177595673279,-0.681428719140137,-0.265466374052311,-0.511704172428822,-0.404695072147784,-0.249778245499511
"Listeria_As_3 (GE) - TPM",-0.680761821627314,-0.362023936779558,-0.440758307550424,-0.748021930023618,-0.915813924914579,-0.185331553551538,-0.260365877395099,-0.214092585474679,-0.606838577125129,-0.659463394624459,-0.615096614855319,-0.706212547806174,-0.53307607796849,-0.364339562758166,-0.547696353915531,-0.476841159264971,-1.433001575994,-0.558652829644599,-0.607540513859903,-0.343330066970258,-0.754274873200619,-0.471380801845734,-0.437440138694193,-0.130295390567171,-0.404969297916012,-0.433319573326459,-0.491612785000482,-0.547725158337379,0.191963495299286,-0.056533066601695,-0.629758466244019,-0.555880239393178,-0.575825964447448,-0.426900574526904,0.909883898689515,-0.727475833093894,-0.569668482783358,-0.428951710052642,-0.43367653443564,-0.515499426352051,-0.673816031569101,-0.549453933950559,1.34809300180272,-0.805821755667797,-1.2371227710939,-1.17705882162207,-0.0865350193864284,-0.284280068879889,-0.633266163815873,-0.497066889004934,0.754966649425443,-0.333000386887052,-0.354422080944652,-1.15015607981735,-0.779850777243548,-0.576055679761839,-0.35522864173433,-0.331204129844161,-0.447715568615758,-0.398548357626549,-0.157817922727565,-0.290771436813082,-0.169018412111096,-0.189270992505209,-0.958084648992596,-0.827080214482734,-0.463591052610403,-0.732964233508211,-0.795066997140336,-0.476363974014937,-1.09861844015535,-1.14438920155804
"Listeria_Bs_1 (GE) - TPM",1.75245400398075,2.76117701133648,2.1121698464323,2.28927738508888,0.947357511238623,2.65892182262357,2.66328206379176,3.12986255616952,1.84405242066891,2.87586796894809,1.70600359630484,3.1612621334438,2.91526681039359,3.17280030924698,2.17894121376475,2.1518636723348,2.92880356840523,3.37589051504923,2.166744132922,-0.347061930511199,2.66777422922022,2.90907915036834,2.39400005778911,2.39062972835661,2.35768249132523,1.88530635172629,2.26530783046344,2.38221183210785,2.94080441554582,2.12011527123494,2.73213775527602,3.2237964355886,3.29433081204487,2.89080976014112,1.43489733195746,2.73787258763646,1.56101229810768,2.01836060154418,1.93977757489834,2.37343698138842,3.43872938240955,2.64224489693312,1.39300384250708,1.83235146388202,2.06553199148788,2.62480797064531,-1.93870966858532,1.70750449554505,2.62329581880765,2.66631756486216,1.07370284744555,3.48769125301108,3.3994623885825,2.01284646248007,2.54574839953698,3.29647784869759,2.63430656462861,2.41822579929288,2.53378830540928,2.70440021985983,-0.175562567462777,3.27664199520718,3.10983263467769,-0.136481166013886,1.71938668348574,2.58073995837015,3.1654793118447,2.12091796283375,3.22713595808859,3.02937995789699,1.70780055309726,1.90393739243207
"Listeria_Bs_2 (GE) - TPM",2.420350231321,3.37937998447719,2.81392916627169,2.5904388972283,1.65311421413729,2.59163394442889,2.38036967522583,3.13838190497591,1.97424404384055,2.86980028691308,2.49036213408655,2.97809722295997,2.84938382462021,2.75202014069508,1.77910887599357,2.21468404840648,2.14608120110701,0.993137854429619,1.84578628217586,-0.297305578094561,2.68646054913562,2.84002835049827,3.68474383180888,2.79409019226088,3.13565802566887,1.57280995676185,2.29409943310252,1.75390131836117,2.0316734314644,1.65167425109147,2.53270655551607,2.91930122220392,2.77967876414603,3.47818314141067,2.86195910373984,1.96805268639432,2.24506176652842,1.98887357843351,2.44944290877754,2.08194605466086,2.73015048102023,3.47136569292519,1.48893551795079,1.28490388182952,1.52565156398967,0.575931777818259,-1.95637950461341,2.73034387027391,1.83404474197642,3.70971620453013,1.36263094233431,3.17066854934084,3.14298849692532,1.9461793102928,3.36598992918836,2.98792821277876,3.1004971097072,3.11801534506396,2.69268092140571,2.83001826238044,-0.0393404555446493,2.84903606428342,3.55189282308982,-0.175697556983826,2.45199395224701,2.93698969296637,3.23711331184918,2.89688853451436,2.82790671081068,2.2282348091295,3.24512275239753,2.42800829318422
"Listeria_Bs_3 (GE) - TPM",3.75352454612578,3.25250070137175,2.85683101098393,1.9389180622919,2.24499088383846,3.78844912736654,4.00071081879509,3.15006784145247,2.28536388301206,2.17205602094966,1.60809223982175,2.86963334032781,2.50755385248005,3.79844296927481,1.9132877246972,2.33622038362302,1.10046260047116,1.76772811726457,2.49886037411136,5.7338499485087,1.78026733077725,3.83547842947958,3.52323897798745,1.87382516921805,2.57607512662917,3.86403367847514,2.92175942201396,1.29492417452246,1.61215147273644,2.89164382082081,2.08751106606505,2.81095969808228,2.64759415407343,1.9866205656842,1.81252995731949,1.93016316582319,3.01164792574187,2.34250148931221,2.78945040721512,1.92932828637242,3.06197440295683,3.27525606900421,0.849467946993267,1.11789348942876,2.09014881717457,3.00206198061143,-2.05545535020247,2.11861825847537,1.6388745168415,2.43342233599287,2.90419400756156,3.11478809469209,3.23262170596244,1.6651864520803,2.68287306665086,3.3412366354338,3.81994193646212,3.94115023846263,3.81958711169166,3.98964963189095,5.49072822151391,3.59753810658011,2.96361129171793,5.82830269369257,3.55900489206521,3.00373251611537,2.82664330198743,2.61350072083605,2.73224322682184,3.31492776469321,1.55327273068921,2.22248595790523
"Listeria_Ctrl_1 (GE) - TPM",-0.696833762426417,-0.439646144258519,-0.278866179560057,-0.296167682891205,0.0866107724033303,-0.32387858970638,-0.432827649440662,-0.359857848555068,-0.56643119426403,-0.591405108717947,-0.579146054978596,-0.709780883947195,0.0459673955786978,-0.309053614807827,-1.07071464494575,-1.01814487449397,0.138793951584612,0.673702426131924,-0.133142332048499,-0.131853197621728,-0.649003253971101,-0.417416212697357,-0.359278173403281,0.491034213465978,0.0280409712695649,0.229671809411219,0.263640082526485,0.32126121996104,-0.376157104052414,-0.602698606565282,-0.721457003428593,-0.56537154274133,-0.622967971303585,-0.453928270985041,-0.38609219641649,-0.0904681980250201,-0.212599910076563,0.196723660484823,0.0628052818362732,-0.495228979639318,-0.37588082150744,-0.366831843477544,-0.828009624681483,-0.653465073286152,-0.636992396796849,-0.213554466001159,0.473779116852454,-0.753139729546204,0.0398197612513636,-0.686465546624904,-0.682881787724595,-0.339646875187071,-0.351899318888882,-0.394108781346159,-0.71506589494542,-0.428553659281473,-0.392292320097842,-0.422831743935726,-0.391005721969867,-0.375214672779828,0.20315456107971,-0.365022481095522,-0.215637263293678,-0.143867347194118,-0.647395980067834,-0.54362664244902,-0.166082446188802,-0.0202203702891055,-0.109096949014147,0.185187393937068,-0.167985530829669,-0.221634862687058
"Listeria_Ctrl_2 (GE) - TPM",-0.678692004331622,-0.414810906370029,-0.635265100739037,-0.547734299757056,0.126546048453693,-0.25108204612499,0.313979804999897,-0.316529424525849,-0.583991074222155,-0.613216882815299,-0.565210602249449,-0.68874139262601,0.381915824170251,-0.319115668865964,-0.80723863952914,-1.06162202539819,-0.275855680841858,0.292188660694616,-0.520591307799229,-0.158811498086886,-0.671198084275308,-0.351837704974264,-0.401097217769673,-0.15306290590237,0.224160154501075,0.159296474476561,0.22082339130693,0.0582070625591886,-0.439199262251961,-0.660514440079038,-0.769941572917962,-0.568317549963448,-0.671686775311438,-0.404946752917121,-0.613938676676719,-0.243376969440239,-0.345268394336068,0.0666286794898903,0.120895617195077,-0.502550434692239,-0.463862599606564,-0.428881426592257,-0.863174182664767,-0.253227701397647,0.7979258716736,-0.597352324990753,0.306080022153021,-0.613228951757334,-0.00705706310375213,-0.674760854070556,-1.1352130803233,-0.338522122032797,-0.340821891903319,-0.0667533882860774,-0.727770657017219,-0.402862365987645,-0.407811207649863,-0.403706311930051,-0.396953277143089,-0.372243889826029,0.0309390224943217,-0.346119868293014,-0.253180549973951,-0.153367599256084,-0.74366110717064,-0.441149955281659,-0.150275175243352,-0.0449842931816433,-0.333439040884273,0.15802809022555,-0.265715553794511,-1.14438920155804
"Listeria_Ctrl_3 (GE) - TPM",-0.720672319833952,-0.422514470332454,-0.461606016226716,-0.753776120061258,-0.129819999558391,-0.448635229391893,-0.350701941193271,-0.37376126855923,-0.560346743620016,-0.609883902599425,-0.577316867960425,-0.719129320992528,0.4056827214299,-0.327056170178589,-0.795618260480135,-1.12331818653466,-0.420829714228085,-0.204841891158111,-0.947100029138362,-0.270541592928307,-0.693955181963535,-0.276928234264558,-0.356451634031189,0.456274458888127,0.26330227384397,0.256356047355625,0.00430387284783837,0.349274484880959,-0.353165352675597,-0.674975281518845,-0.783233074594409,-0.651672771362415,-0.675091537373403,-0.469473407834709,-0.438683791241892,0.0665037254277405,-0.360249188879962,-0.161757232088626,0.0142162578255973,-0.539166215638958,-0.41984300149391,-0.455843341524618,-0.873406970175299,-0.686095759135686,-0.359463265221781,-0.252098100000775,-0.272715829141863,-0.761576139920603,0.122460523462974,-0.701845697953956,-0.95360782109837,-0.334940420251355,-0.343233809140566,0.0048342997185384,-0.756309296043728,-0.398876064429663,-0.399308140591161,-0.412150124528911,-0.378944490568966,-0.411531121244368,0.0621197478865108,-0.361792848906695,-0.219699227420525,-0.131500625977155,-0.745161014905828,-0.654818069363553,-0.24333544137625,-0.129979387163507,-0.105278777353931,-0.017384193608397,-0.54455270885799,-1.14438920155804
"Listeria_Li_1 (GE) - TPM",0.48031895844976,-0.561522653369639,0.143365387603881,1.6742668493074,-0.148814217517174,-0.439008397839188,-0.565498716602981,-0.497182335027397,0.800593468319117,0.98680000040937,0.611929566464195,0.700901239428256,-1.00661470341682,-0.274835364456757,-0.413112222438075,0.161683304317303,-0.191794369352586,-1.36277249331029,1.06213971243533,-0.371217822106393,1.32227095829978,0.0864557393941106,-0.377205961645489,-0.078653907863322,0.0186004161252805,0.168507273811659,0.133103144943369,0.0641050118774806,-0.0980518652254557,0.434266294362265,0.906230424324799,0.448355159797706,0.486851896583977,0.927364352960795,-0.228291911738507,0.357164303020753,-0.0459729729528123,-0.850716187735989,-0.637147287008464,1.34343077837651,-0.41771408484609,-0.452246129979041,0.431236580349681,0.523208330133759,0.152151623958495,-0.557864038188885,0.644688258076704,-1.07745066877784,0.150017764468846,-0.127559360227973,-0.147584364221957,-0.0323786747832064,-0.159323325825785,-0.316627376895681,-0.0818791185417717,-0.22322653017494,-0.312371676915566,-0.2910450741874,-0.178051342520679,-0.411531121244368,-0.0480032093186419,-0.361847290971289,-0.518240040298477,-0.103619914412029,0.0167555821433479,-0.133586849663631,0.0939215413701684,-0.267797398004301,-0.430513576086008,-0.339295889707084,-1.17098046823291,-0.368306206452857
