"","lmo0030","lmo0032","lmo0048","lmo0049","lmo0130","lmo0517","lmo0873","lmo1188","lmo1190","lmo1191","lmo1192","lmo1194","lmo1389","lmo1390","lmo1391","lmo1594","lmo1612","lmo1718","lmo1719","lmo1955","lmo1972","lmo1973","lmo1993","lmo2099","lmo2773","lmo2786","lmo2787","lmo2788","lmo2831","lmo2832","lmo2851"
"Listeria_As_1 (GE) - TPM",0.0046265090689297,-0.814902245302041,0.102296631317088,-0.859124674051314,-0.651566999048835,-1.01991191114939,-1.03422946628973,0.0177706524501881,-0.76997397170039,-0.619876643320246,-0.650683916655813,-0.722436523631901,-0.296356136542922,-0.251332212395492,-0.256861427687036,-0.751920514893268,-0.107902891854873,-0.0931500123426813,0.18377277538631,-0.445447436249963,-0.971998612479756,-1.00648311172611,-0.855686281566578,-1.06128326643735,-0.470203108128469,-0.489047818308407,-0.643843224002867,-0.58958234777654,-0.703792231240052,-0.743643798332721,-1.17036579372436
"Listeria_As_2 (GE) - TPM",-0.755766190197776,-0.44538265922143,-0.512890511920761,-0.548966510419663,-0.692230362173545,-0.973693975160134,-1.06819880667778,-0.13594481869831,-0.521405806114137,-1.24006805949868,-0.295610354726371,-0.697563876658607,-0.319457313807637,-0.0876793452393405,-0.220593041476234,-0.615338933628177,-1.03251080683836,-0.480574648057366,0.417508527016451,-0.261146906452492,-0.616941365735276,-1.43060181181239,-0.820707214499293,-1.26830523542185,-0.187208042588805,-0.447931745469336,-0.774882409162844,-0.454858380708975,-0.532992379651195,-0.609363324180171,-1.0912139039167
"Listeria_As_3 (GE) - TPM",0.143978895175795,-0.876008385131279,-0.525982999191268,-0.12413043022687,-0.643671162302685,-0.999461245135463,-0.999631672666281,0.0346341566323902,-0.549999434948623,-0.900999740120916,-0.894768387549914,-0.717252632456141,-0.352089973400742,-0.211000780396958,-0.244012505181896,-0.812553600609776,-0.544444651215155,-0.491587888243028,-0.395857847962679,-0.287548171847452,-0.971998612479756,-1.43060181181239,-0.841504127569954,-1.26245003768447,-0.393970727049004,-0.744598660016811,-0.438916773644863,-0.586353501230341,-0.656346583093154,-0.676235676072871,-1.24463695225402
"Listeria_Bs_1 (GE) - TPM",-1.12728290008141,-0.328969602229786,-0.653503929443487,-0.844277910836059,-0.719471145372571,-0.613076940411004,-0.845665012049685,-0.397108799714263,-0.487647542742765,0.0676819112209578,0.717408849869049,0.1616383997301,-1.03131236082983,-1.03698589632107,-1.07556243550271,-0.395441692854699,-0.638109680496511,-1.00290571125681,-0.137960386394707,-0.615364640092763,-0.871179140712144,-1.18138795181984,-0.977221137113706,-0.595044097559243,-0.104744083419925,-0.603687662488561,-0.667083593496283,-0.688452128328508,-0.659798130199522,-0.45252474332685,-0.645872506415486
"Listeria_Bs_2 (GE) - TPM",-0.862211296441712,-0.726389502555353,-0.860932759877061,-0.764806705560869,-0.726448256931981,-0.527753578327781,-0.910886996862815,-0.284915518146827,-0.604541857371059,0.191374955514095,-0.147918339774545,-0.748196917918332,-1.05125787474244,-1.07188603926518,-1.06702750757767,-0.607010531929961,-1.13737767600605,-0.899364931929178,-0.80214549663769,-0.441897528368021,-0.971998612479756,-1.08013110937993,-1.02917473182569,-0.888459902635929,-0.341281454945392,-0.520512438236514,-0.702692877810568,-0.699067055221785,-0.847822496786758,-0.746466135066266,-0.786996049907024
"Listeria_Bs_3 (GE) - TPM",-0.972378549645556,-0.226299300531005,-0.705979209255015,-0.758095742599026,-0.717530754935135,-0.572633627447851,-0.746860507834244,-0.749293605225042,-0.76997397170039,-0.563703353606038,-0.830766309913335,-0.48214355990242,-1.00495132247427,-1.0302266118766,-1.0199157046662,-0.785598129387615,-0.892942076513474,-1.11523829041976,-0.998931511454951,-0.724767763674554,-0.781104232873872,-0.86435970340173,-0.96088744661358,-0.915302124007078,-0.101978498577884,-0.498314132998981,-0.629090078689583,-0.758729000592035,-0.988334090500784,-0.830490557378418,-0.91726359453263
"Listeria_Ctrl_1 (GE) - TPM",1.14972353985663,3.2176501326913,1.75471012275303,1.9953048782087,0.450100864122206,0.944170227668996,0.213830495931705,1.69001755488462,0.870908080328759,0.921974234944024,0.750067051797457,1.25429626838167,1.07774740880281,1.07699652887171,0.649379204571399,1.48492045161835,0.637790231871714,1.94706290590938,1.75726752239493,1.14813836599004,1.51834444386153,1.24899683541703,1.34778499307117,0.374611662824499,1.05068043965279,2.04707934343199,1.75360171675659,1.5991643522094,1.16566629654686,1.95878299644212,0.443834778430778
"Listeria_Ctrl_2 (GE) - TPM",0.76795606750241,1.75496532465818,1.43738250156836,1.32843466555326,0.310967622947931,0.898551075325929,0.415143440801279,1.49006282891533,0.561358984262309,1.29849194565493,1.209153877976,1.34219467925353,0.793128936797164,0.73901665347097,0.481503096674164,1.4770308152268,0.748941549730376,1.06276662902153,0.896724082750766,0.837607363449873,1.40511297837353,0.919774141707334,1.10449508709047,0.443254027083416,2.06704892816789,1.70146561601697,1.11321521180796,1.06498553145044,1.64424579681125,1.46571651063296,0.0789422698976364
"Listeria_Ctrl_3 (GE) - TPM",0.843759922892422,1.46757001394105,1.51737053587118,1.15357198671028,0.389409935171145,0.8692034544152,0.536927982699143,1.07683774555033,0.0538093058190403,0.592106168710553,-0.201715499936246,1.18330709682492,0.715686165047516,0.717239944407234,0.499532959093326,1.47072732189225,0.9604808456652,1.18242972102632,0.87681827831428,0.884484496940703,1.38140188668239,0.508507807036965,1.15866851906542,0.278256923517484,0.384473888955943,1.02336623665464,0.543188586915029,1.22208546000656,1.71990206001003,1.19859066394239,0.0895487886166513
"Listeria_Li_1 (GE) - TPM",-0.743278570963103,-0.95051218214162,-0.92484498138362,-1.21509968384282,-0.52909374771726,1.22537853734331,-1.38442536563761,-0.521134646652452,-0.76997397170039,-0.378505126248923,1.14146927911643,-0.66713618691417,-0.604202715325251,-0.489384157030152,-0.716920286375411,-0.712362974466454,0.421893507388994,1.24869155596616,0.655122991121489,-0.518235514440155,-0.355967946472279,-1.43060181181239,-0.512005905548337,-0.770611151335645,-1.21942298793191,-0.808398951074497,-0.58668923842135,-0.653621379935492,-0.381300916435823,-0.107385694654362,-0.356450174270625
"Listeria_Li_2 (GE) - TPM",-0.668447816106082,-0.819873620324411,-0.821513117725066,-0.876047955929855,-0.654924045579747,-0.109088559522939,-1.09000389238216,-0.678529816399384,-0.692831172736531,-0.745503362873673,-0.740118704774171,-0.909907045436918,-0.764855951246039,-0.857480226499492,-0.839894925401765,-0.574566370205934,-0.16464872412751,0.291052545682488,0.00562910273567628,-0.486007385525973,-0.531232439337391,-0.994792984587287,-0.799663387007856,-0.98685095787267,-1.26470334109219,-0.506348555711265,-0.69072549519626,-0.812173668796073,-0.41426187204868,-0.354983947459364,-0.0994579545446302
"Listeria_Li_3 (GE) - TPM",-0.746064437288988,-0.409395952251993,-0.685852504697991,-0.694263254059981,-0.577688199733514,0.539672582822577,-0.812775728771921,-0.27997483475952,-0.370558784432361,0.695015470122373,-1.19236892183703,-0.485745281268239,-0.655038625757046,-0.725358109891531,-0.89213113226666,-0.611990695063723,-0.0555695142243889,0.496709669895421,0.790219765723565,-0.214388350123387,0.169058661600677,-0.302378135218378,-0.635658646241178,-0.241016675384598,-1.00085061092319,-0.808398951074497,-0.557016645505515,-0.621923221899853,-0.267660701341947,-0.576908929476835,0.0254878638646462
"Listeria_Mig_1 (GE) - TPM",-1.41953845133422,-0.252628883948437,0.570255495233136,-0.759709170201614,-0.854326389861372,-1.01991191114939,-0.729080872808675,-0.669499972619222,-0.76997397170039,-0.595742280453774,-0.263152555554267,-1.43950868472068,-0.902317390523049,-1.023216592097,-1.21661631491626,0.667154339350834,-0.773148733005095,-1.99415022068687,-1.19353858247932,-1.02675323380492,-0.971998612479756,0.752021117015582,-1.21923736992066,-0.701063093720626,-1.36211394368282,-0.509587619459898,-0.774882409162844,-0.713084113761304,-0.942537235116651,-1.40020654963641,-1.17771057096728
"Listeria_Mig_2 (GE) - TPM",-0.69023986491684,-0.95051218214162,0.114457434838846,-0.732567795954994,-0.876639977909929,-1.01991191114939,-0.157244197821553,-0.985383002937938,-0.76997397170039,-1.44495556325966,-0.612360067148749,-0.671704151139876,-0.908955850421631,-1.07684190187418,-1.08029520104694,-0.298674529315474,-1.1406198683703,-1.79795152615964,-1.7103917835844,-1.02458896718973,-0.971998612479756,-1.43060181181239,-1.22491941558055,0.0290651963036504,-0.614260553472071,-0.621883490936118,-0.634572289870081,-0.872232176793748,-1.43497652333381,-1.4878963517964,-0.750996922868332
"Listeria_Mig_3 (GE) - TPM",0.475739824668211,-0.95051218214162,0.433804215989224,-0.447903516481803,-0.844612280200198,-1.01991191114939,0.373904832508381,-0.489423879064754,-0.76997397170039,-0.938623948061542,-1.19236892183703,0.027325968910555,-0.900295244610782,-1.12724546415208,-1.19850880187597,0.00780070087590579,-1.24616543663019,-1.67373219777385,-1.09283156435704,-1.06092760938277,-0.971998612479756,-0.996815618019992,-1.20428787706847,-0.705753027145312,-1.42104328245312,-0.630236848232377,-0.774882409162844,-0.954601365161178,-1.5355891813059,-1.39695702840844,-1.01380044286044
"Listeria_Nd_1 (GE) - TPM",-1.64929833990472,-0.291474276226476,-1.62174473141157,-1.26235973420223,-0.529916400857528,-0.802831472718344,0.967268794274455,-1.64256953097354,-0.380808414924859,-1.44495556325966,-1.01687000668507,-0.626381410174623,-0.931366119478855,-0.706112968173163,-0.261937130361837,-2.46361700298256,-1.33674671906004,0.344073045641324,-1.01033919346841,-0.363822587993135,-0.138166668694179,-0.0565122384277673,-0.415006963730837,-1.40161415708156,-0.97175999853216,-0.244040999429758,1.13559241784353,-1.24545065616195,-1.20769770677356,-1.50512041459443,-0.583281135063872
"Listeria_Nd_2 (GE) - TPM",-1.40197207162376,-0.95051218214162,-1.72282264505629,-1.41936743691546,-0.535232376608559,-1.01991191114939,1.10013538908616,-1.67458446989095,-0.76997397170039,-1.44495556325966,-1.19236892183703,-1.12860805135044,-0.831514178712651,-0.735581120355111,-0.192435067808208,-2.35226946667476,-1.05754953030229,-0.00604480007847027,-1.73459010929143,-0.537737542683203,-0.228092046533588,0.408247605035346,-0.388010546617068,-1.25972172573365,-0.897785434641797,0.248938965248929,1.49770145967511,-1.21156609002551,-1.03379097500609,-1.51555976206841,-0.177295629132611
"Listeria_Nd_3 (GE) - TPM",-1.75820618303883,-0.95051218214162,-1.60224233897912,-1.45875009611589,-0.540807010574125,-0.480772750938061,0.275548257878647,-1.68813491864843,-0.76997397170039,-0.966946866856605,-1.19236892183703,-0.747116881038298,-0.827584380716739,-0.594596734881358,1.00232340661846,-1.87154050224728,-1.2317684844209,-0.655920666120864,-1.48505222414351,-0.384687195966559,-0.971998612479756,0.207483322884298,-0.319078044792733,-1.37854405540942,-1.17421883040723,0.0325818603340231,0.616937116892178,-1.15214991763501,-1.32003502910277,-1.25661744902378,-0.653040809764344
"Listeria_Ns_1 (GE) - TPM",1.70632145928992,0.333052253148781,1.04133424200544,1.27080154646331,2.5680505627622,2.62080711805745,1.99718368838508,1.63157365352385,1.33544812040279,1.15820165723521,2.51054675858272,0.13159655587349,2.2586457269312,1.80223356919536,1.68991295095832,1.32433867890698,2.27689841019352,1.24565748332619,1.73130842338303,1.94868154241566,2.33614789330282,0.873923686405268,1.34409007036636,1.69608120868654,1.74205389049937,2.85547626731075,2.02728073388076,2.39288935100511,1.98799044799499,2.15593840826762,2.14095075145358
"Listeria_Ns_2 (GE) - TPM",2.70276313455268,1.40228019383483,1.24608277793918,1.68562439869185,3.24566840194341,2.56670519544428,2.40308351384126,2.32375373638822,0.780625371685068,1.46914413889038,0.709622438540997,1.78181917217642,2.53465742969447,2.34929490920949,2.23809403402986,0.71376798400252,2.54608484678461,1.49440300119445,2.31615965481985,3.38180495172691,1.77446693097746,1.54777158187776,1.6843272949681,1.75440899545976,1.95028009096464,2.55556584173279,2.48649482560434,2.1624138875472,1.65250681037986,0.946684155860455,2.5091137447668
"Listeria_Ns_3 (GE) - TPM",1.96279328869344,0.890594918234115,0.825518223956372,1.48578203949354,2.61568320986663,2.09652669673522,1.64112196310101,1.97546092853013,1.34399492583687,1.85331588597909,1.39521351291171,0.994322270022095,2.05920998348144,1.74394483882543,1.96322739928211,1.33999422765195,1.31114771115593,1.87170237246291,1.58347782752624,2.68855100348878,0.322121783347525,0.968583089589729,1.78962402705178,1.30890573529629,1.79473007181835,2.32291669244415,2.73380413414079,2.04087368564883,2.31171187591488,1.97537082183498,2.51504586008673
"Listeria_Oss_1 (GE) - TPM",-0.0483825606617178,-0.609627230839434,-1.2038332334495,-0.582713547714589,-0.643489192684778,-0.844468060555999,-0.894262078002998,-0.862418001299789,-0.423999112264762,-0.615349727053181,-0.738488055763908,-0.744788897156238,-0.718559444764963,-0.757018237584395,-0.813797016451812,-0.332528229454341,-0.510682895123552,-0.969079821457344,-0.713062636463883,-0.733067262474843,-0.612584838095852,-1.11965182995732,-0.780577201752255,-0.528127859424002,-0.736412807502529,-0.59858713614544,-0.479799050608242,-0.400804954678063,-0.467464697758334,-0.24722060502906,-0.730021087495826
"Listeria_Oss_2 (GE) - TPM",-0.0155489623834677,-0.603741250059492,-1.03579555012882,-0.7310334522528,-0.662251685371409,-0.84313845735965,-0.84945548014775,-0.911785953222942,-0.550577362912948,-0.902428847937322,-0.466812189197805,-0.610004951248484,-0.728251255104542,-0.805250117391523,-0.864348997340631,-0.119771613994691,-0.735956518758617,-1.00143550740508,-1.163044075888,-0.690264699853691,-0.971998612479756,-1.32731394816872,-0.796175164736887,-0.113109138506525,-1.00922844003354,-0.532657373471753,-0.599362758259013,-0.450845425801028,-0.398694280036699,-0.195971705655086,-0.704328367937019
"Listeria_Oss_3 (GE) - TPM",-0.314459877861169,-0.765083175576697,-1.26975331076138,-0.673486040784781,-0.643466291919137,-0.739969041213345,-0.992641056028173,-0.890419724264521,-0.496231816734236,-0.429585956837511,-1.19236892183703,-0.867548477662216,-0.72472339087072,-0.759915842549529,-0.838875437188479,-0.297536643557507,-0.495353630915688,-0.89744313647802,-0.778277688827699,-0.739342601774041,-0.776490600379856,-1.04398358807227,-0.813275060715532,-0.174051201202033,-0.706455187076824,-0.451122457227689,-0.476250581712863,-0.451086410619763,-0.398492935883003,-0.119658517571307,-0.755787155362757
