"","lmo0200","lmo0206","lmo0207","lmo0279","lmo0280","lmo0425","lmo0426","lmo0427","lmo0428","lmo0785","lmo0838","lmo1917","lmo2151","lmo2152","lmo2153","lmo2154","lmo2644a","lmo2646","lmo2647","lmo2648","lmo2649","lmo2650","lmo2651"
"Listeria_As_1 (GE) - TPM",-0.53103368985512,-0.676865229023077,0.134556021144795,-0.647729966171275,-0.583960274186679,-0.863331642649977,-0.933542276953721,-0.741074389056921,-0.850209224256652,-0.266428013125974,-0.635978338300309,-0.811800643083254,-0.537242912718915,-0.277437628920934,-0.436441610307875,-0.428751052897404,-0.696705587748984,-0.635749416910112,-0.661362649294109,-0.718851534802779,-0.811248422262039,-0.842636042344497,-0.931769386168418
"Listeria_As_2 (GE) - TPM",-0.861553525645579,-0.251401445725721,-0.533293472331854,-0.654010245843254,-0.544114346584853,-0.907921414325341,-0.756402194038397,-0.601866420360435,-0.805338458983838,-0.464453279631996,-0.661699422888291,-0.790709445514324,-0.0636137063906738,-0.276195216870758,-0.472905578960787,-0.495843218172518,-0.644156400569464,-0.620087043310879,-0.652593798690804,-0.737675524611234,-0.827570969174667,-0.769924961251265,-0.892916685038799
"Listeria_As_3 (GE) - TPM",-0.660441822272986,0.0343752995855997,0.0291567118915471,-0.6554082537409,-0.577268013602295,-0.864188596124662,-0.804789764883176,-0.787109750158764,-0.899940925635418,-0.298743203320181,-0.438919336658931,-0.794057350224796,-0.311133173392025,-0.380230469389094,-0.600116460062323,-0.265651960374758,-0.680516864534303,-0.66227783005407,-0.66746073266183,-0.724741372509391,-0.847565869063839,-0.810462601430445,-0.900399265332227
"Listeria_Bs_1 (GE) - TPM",0.111589767614781,-0.694028250030089,-0.619495669548382,-0.439085256230436,-0.482115730988732,-0.7164699501482,-0.624623687823519,-0.571527253170307,-0.671525035762951,-0.0802716460865299,-0.633213815621313,0.591546926122663,-0.357975693861655,-0.76899852190135,-0.860854823119824,-0.888706538165115,-0.46632708457312,-0.442030481212119,-0.479864614477447,-0.526683886614129,-0.673576717060812,-0.56390816539853,-0.68460348284687
"Listeria_Bs_2 (GE) - TPM",0.075399822440333,-0.963711374215573,-0.900032569967025,-0.53467497338162,-0.529127878092811,-0.717033930294379,-0.669627769496341,-0.870057738146481,-0.922493147010663,-0.148262636604398,-0.648197884415248,0.479425072962699,-0.272881708188988,-0.77416559084628,-0.980232531383993,-0.919268970228821,-0.43274558049784,-0.454235303377695,-0.436710601062193,-0.523052102218795,-0.699763437562469,-0.745851742907665,-0.637607155467795
"Listeria_Bs_3 (GE) - TPM",-0.34818863437278,-0.836055000350217,-0.52424527588094,-0.597585984292583,-0.566477241644448,-0.702133806048899,-0.922618127797956,-0.765974449208597,-0.878403589933026,-0.213167658531693,-0.696696350706621,0.456194577955751,-0.368845119680346,-0.849552842294519,-1.06742583498493,-1.004908485224,-0.246523160044031,-0.406445032183713,-0.425973131545991,-0.497558131180185,-0.569365946629062,-0.588533670109173,-0.517314600150513
"Listeria_Ctrl_1 (GE) - TPM",-0.589442073398007,0.309800415926892,0.805441463519756,0.209893378614568,0.132737588019579,0.424414833760233,0.135422050234575,0.515992274493463,0.553384824360249,1.51752615595213,1.50953044945771,0.326014428414143,-0.0671183675949053,0.0290622113509751,-0.0109839433903425,-0.259410592707372,-0.293078217121903,-0.330146165168678,-0.12182062186376,0.170760929414473,0.52300444430822,0.912328485872077,0.716686371824227
"Listeria_Ctrl_2 (GE) - TPM",-0.673700853454954,-0.00992704656835975,0.962553708030918,0.0818194767684717,-0.0250121296930001,0.184585838413309,0.30145563599054,-0.0460309903271333,0.303048351134935,1.26274936619024,1.25591066238317,0.270658347809756,-0.269909903750324,-0.170384044162528,0.0680373122362971,-0.280604878730706,-0.264937729362442,-0.372760741125158,-0.215078369360174,-0.0455291078247518,0.106425735337906,0.228326968096621,0.348508125513177
"Listeria_Ctrl_3 (GE) - TPM",-0.670375505238235,0.0854781457086886,0.670417511518654,0.00431921541416005,0.0770674264619018,0.226154404182249,0.071792367272495,0.0789608465647455,0.26262697754645,1.02544905535972,1.26285888957044,0.350645205727952,-0.403858205014973,-0.189837411285851,-0.241356238867584,-0.177828222685629,-0.302037395380629,-0.327343943085952,-0.158827687693753,-0.0790083485086802,0.187411671318705,0.241741663391484,0.450448853059425
"Listeria_Li_1 (GE) - TPM",-0.907641668667058,-0.963711374215573,-0.890830013092836,-0.381815541088349,-0.484773425442017,-0.738567130058112,-0.812133170538417,-0.875693489591512,-0.880074530539636,-0.572711733857464,-0.642333591084694,-0.688112419600002,-0.410633965618702,-0.690540549202806,-0.756547381574133,-0.797856416608475,-0.721680734673714,-0.662626077446347,-0.632993556136383,-0.468778633301942,-0.362371958769089,-0.211860919216656,-0.0776729206443825
