"","SAR_RS00310","SAR_RS00455","SAR_RS00460","SAR_RS00505","SAR_RS00535","SAR_RS00870","SAR_RS00875","SAR_RS01155","SAR_RS01160","SAR_RS01185","SAR_RS01255","SAR_RS01260","SAR_RS01265","SAR_RS14860","SAR_RS02030","SAR_RS02320","SAR_RS02525","SAR_RS02705","SAR_RS02885","SAR_RS03180","SAR_RS03185","SAR_RS03365","SAR_RS03430","SAR_RS14700","SAR_RS14975","SAR_RS03715","SAR_RS03785","SAR_RS04040","SAR_RS04620","SAR_RS04940","SAR_RS04945","SAR_RS05045","SAR_RS05690","SAR_RS05695","SAR_RS05790","SAR_RS05975","SAR_RS06110","SAR_RS06175","SAR_RS06380","SAR_RS07120","SAR_RS07570","SAR_RS07655","SAR_RS08040","SAR_RS08045","SAR_RS08100","SAR_RS08245","SAR_RS08305","SAR_RS08345","SAR_RS08585","SAR_RS08630","SAR_RS08635","SAR_RS09025","SAR_RS09030","SAR_RS09120","SAR_RS09555","SAR_RS09685","SAR_RS15250","SAR_RS09770","SAR_RS09775","SAR_RS15265","SAR_RS09905","SAR_RS10540","SAR_RS10545","SAR_RS10550","SAR_RS10600","SAR_RS11060","SAR_RS12565","SAR_RS12645","SAR_RS12690","SAR_RS12695","SAR_RS12780","SAR_RS12790","SAR_RS12805","SAR_RS12850","SAR_RS12860","SAR_RS12885","SAR_RS13060","SAR_RS13535","SAR_RS13690","SAR_RS14205","SAR_RS14210","SAR_RS14340","SAR_RS14440"
"MRSA_As_1 (GE) - TPM",0.0304027466293506,0.540133249197726,1.47918316367928,0.375367594893922,2.09768488929476,0.580931263611054,0.609682004858297,-0.933565661285855,-0.896314968614008,0.317038507052111,0.425531079745881,0.56048392678481,0.417179496126641,0.481730504513058,1.66788035826788,1.47368648506489,1.66228929597711,1.10601720217408,1.17312764397916,1.24357172322803,2.1515440680206,0.375917359202374,1.62595469430654,1.76689823745211,1.29405489332409,0.535501693294255,0.917865770579271,0.916151197477089,0.759224217327733,0.74707914021962,0.343774256583637,0.501739526197079,1.46233978735076,0.887201727049857,1.34780785263553,-0.214706854674991,1.73231279237493,1.79250936491782,1.33236732201754,0.785438602319367,0.884357456208498,0.714239646661715,1.8111735287591,2.0244661278138,1.47270702110739,0.899947946404574,0.449872075725269,1.13583100649794,1.12487456050718,-0.184653042801575,-0.284793288259783,0.673452354610476,0.658779092555291,0.0925702617517217,1.353646483723,0.843602261334042,0.155047942792543,1.15213663078678,0.906074603242661,1.52593612301774,-0.264492439243408,0.853798106339109,0.347295722056254,0.18392970067598,0.150489597914196,2.40322673439141,0.381794674190939,0.502388742119761,0.708635126900803,0.928184394619836,0.583998407355412,1.47328200571391,1.35178568824574,0.20547752946191,0.799724158047541,-1.0799919450099,1.21576532254693,1.13937048275566,0.732289030579348,1.09440742787936,0.533650219015614,-1.66718527054286,1.52666933631253
"MRSA_As_2 (GE) - TPM",0.953472872154972,1.43693912827916,2.45765750963325,1.12749053292341,2.21863890174023,0.62252752047326,0.331130140494039,-0.917609746057946,-0.895993422427538,-0.0702508384781658,0.708054779553632,0.683254952397853,0.48507510445437,2.43900880470626,1.91237479389008,0.650026702853358,1.44689545132222,1.12009198253246,1.3187743944557,2.10273947935141,1.96966451206641,0.556385913474966,0.575602653615171,2.12363919654587,0.838548577664381,0.806740075652664,1.04451277935581,1.0357673554681,2.25730674793402,1.16843650046616,0.354075766807962,0.210085799672956,2.73146404150931,1.02464801813707,1.96696162022048,1.13579268991871,1.41971144920645,1.74283090112459,1.63540085087201,0.72251899374219,1.49651684067484,1.10743839209457,1.91767789876878,1.65049421595088,1.5846585100234,0.0392597376694405,0.062968241677345,1.70436626088394,0.844832780381188,-0.335662830242538,-0.315834238181377,1.07809280690746,0.216860961914026,0.598365304796457,2.14331226989724,1.84618982832708,1.6087584827654,1.16150325063166,1.46185500709977,0.423193524219091,0.72677104125478,0.766945414437289,0.947798790707965,1.13332424337792,2.48968220346647,1.88212463288607,0.818347082959167,1.13920981701905,0.858465112630895,1.18746845583578,1.9831773125896,1.76995056696475,1.70448095426929,0.769550709455335,0.181462298800359,-1.13856311373599,0.861317054851418,1.0224131278485,1.76936906215855,1.77545074849317,-0.124586860945556,-1.64382840857429,2.27978594627895
"MRSA_As_3 (GE) - TPM",1.35112817710696,0.986848693303702,2.47781848718987,1.62432482527401,2.28721283456687,0.817268069760552,1.07947502746785,-0.919711415152821,-0.894899874136666,0.219774203420204,1.01909108275131,0.375588990378968,0.769653607822592,1.45551048010516,1.57365431175961,0.416611177963672,1.7964742000519,1.62204715656813,1.14010314615968,2.61504717423381,1.82907644500855,1.16255632146764,1.46808209111651,2.01458361056086,0.592962469380146,1.52586239597415,1.12413438973142,1.12657309081035,1.13851894838715,1.07500595236881,0.538388317616393,0.247867072594346,1.73625293994528,1.30697197535976,1.66023684127971,1.15337955580129,1.82489738702393,2.45245981635312,1.41629382188154,0.22990246940425,2.13788587604782,1.56635729899779,2.66263530216138,2.00090195364149,1.67665102026513,0.140912299811414,1.26607549192578,1.43580154138337,1.72535729598221,0.181316400945384,0.672319875570524,1.09445424850067,-0.15774743872325,0.317561301375158,2.28705732872437,0.701141699480041,1.06639252996429,1.2600320438313,1.64069434937933,2.2753638287611,0.283048209829961,1.10678881704504,1.28277463077317,-0.00115377025601826,1.59501692855798,2.8077146793928,0.912732043009849,1.66811542839725,0.426761874041047,0.859793541973784,2.53487526816233,1.40872139152642,1.79005652661613,0.611892364071154,0.451119035235735,-1.02797941648043,2.00172666740886,1.19712841059146,1.07220685155846,1.80287234675263,1.78349744580913,-1.6201537831832,2.08329685257446
"MRSA_Bs_1 (GE) - TPM",0.158932893591116,1.02247093903165,1.04171656201419,0.603052984603418,1.43878449308889,1.78856827613279,1.39746117030914,-0.877772462804048,-0.857849816642917,-0.391802400792395,1.27433408012804,0.666550060962491,0.61151030778841,-0.1021486870439,1.15312636257162,0.355108940221528,0.680011586095503,0.769317182670369,0.563097269961246,1.5487881923397,1.59034526345571,0.0885835294468303,0.837098245179768,0.997911774711826,0.791977792580956,0.611309857520968,0.32065124322936,1.12427575398454,0.173148180619542,0.623513549255737,0.785308179055733,1.30874681924784,0.594557989463867,0.649390185410172,0.677586338877502,1.56828956151677,0.519934037514386,1.30275841621413,0.797057586501092,0.661373034837102,0.946030461823477,-0.0996093566685032,1.02448196299632,0.864935542027034,0.341503853307905,1.55046268207298,-0.188474774244048,-0.11150689593804,1.21476951786292,0.815796712552705,1.11513223005037,2.46603795093067,2.47342746102413,-0.0129587070672604,0.430780614943211,1.09543700423238,0.474093689796399,1.00351856691814,0.594242892280142,1.28250983806343,-0.310708844122803,-0.108500243086536,-0.0683102569286821,0.243182466077145,-0.0201147633536326,0.87555100409544,1.72294737132353,0.108184016196767,-0.104262500912754,0.160034242727231,-0.619159445336866,0.797348589844929,2.11094652596522,0.835660806457047,1.14291036585987,-1.22243193416499,0.961781001797993,1.21918371823686,1.3040771460381,1.34755978407382,2.27064751584106,0.326022734705828,0.82933389826087
"MRSA_Bs_2 (GE) - TPM",1.92497228560956,2.0661897060291,1.50372297434733,1.2985492820131,1.52660482345147,2.4511663388632,1.45862657175129,-0.800065738176997,-0.804966650933014,-0.260571986233394,1.32979076237183,0.13752430662435,0.469888503490881,0.559596617071906,1.74088378124589,0.875368994702653,0.178592076808915,1.64834001987516,0.03887916276055,1.34063004345921,1.85835757699117,-0.236457954015265,1.56324989777069,1.18007280415174,1.1951171381379,0.318729971030842,0.928710813594874,1.14969375970361,0.587945954150146,0.46416052568667,0.72290973904391,1.6520784039874,0.626553526945151,0.954803970732734,1.07009268415457,2.382568159281,0.68371268286009,0.935075539772236,0.66263512586491,0.861698105884975,0.949281908907166,0.149384242871103,0.354999355856914,0.683496951566035,0.526448592740423,1.73556012494133,0.647941518035981,-0.161385782767967,2.28965236299724,1.46377984346801,2.18671017462808,1.97399879252169,1.31808879824612,-0.875099699780722,0.787229227455549,2.40919342503837,0.967669589583949,1.9240121267774,0.743329764905117,0.842189500675815,0.0564437831315068,0.0917805156080346,0.378953309512465,-0.15496528412036,0.794518766656107,1.07703789867054,2.21802119842498,0.339855177895611,-0.0377895659160513,-0.0192562656014308,-0.41409574463591,1.9273701937414,1.57282867767895,2.64085463832045,2.63276084966674,-1.22071387847563,0.901524501083819,1.07826639118583,1.56456723666305,1.90387443597266,1.7072107140441,1.22057336180331,1.22426452820643
"MRSA_Bs_3 (GE) - TPM",0.271536473617136,0.956074324633642,1.24467694284755,0.0277341364837116,2.13814994064746,1.74407478691588,1.4983915304764,-0.883593285966241,-0.881562364108909,-0.605835436681903,1.01374834420577,0.485105765952726,0.766397585464124,0.892017807096265,0.814177303082827,0.621843644413526,0.416532232441454,1.07785109702219,0.28327726162946,0.761725467201042,1.31516181566318,0.434214482866228,0.350990724394137,0.663634082169385,0.737338486688323,0.40451290705573,0.166021187944275,1.25638984765435,0.339286710515414,0.861772837916343,0.674349510799324,1.03114345547522,0.623833705709632,0.960657525341861,0.743496794543626,0.971765541488446,1.17571177372385,2.12952421045746,0.882230891662996,1.53812357757423,1.20948754866469,0.348883292372526,0.732119576052768,0.565837933849043,0.529732552522877,1.04220636416944,0.302995711590556,0.108391510853387,1.44470432151137,0.679005630514658,1.48162031151911,1.78933325882092,1.62332997469042,-0.779587150609621,0.299610731214448,0.705098971861957,0.779360648082463,0.614780239543487,0.279827048381362,1.21845125725839,0.0350500375085924,0.281669486173496,0.297543530133852,0.772360358094908,-0.14443383871794,1.3150950109447,1.23720545561413,0.203269840413178,0.146451594596463,0.272320880160963,-0.580311875721092,0.90164953410297,1.86566806203947,0.822365225034529,1.11023611136055,-1.11860864964642,1.36153275282031,1.36734458854326,1.44899021934639,0.94166994997671,1.57811703191492,-0.0972436493161916,1.38075854914396
"MRSA_Ctrl_1 (GE) - TPM",-0.530564616548602,-0.939704375121534,-0.68743140195509,-0.747375818954971,-0.504399169220464,-0.942911792550151,-1.16359243611578,0.530557487798791,0.47909751087284,-0.973292956892548,-0.610103436253953,-0.49973757804015,-0.221369454206261,-0.219199529495431,-0.968467616030625,-0.958507333207588,-0.743535635494504,-0.992803795524235,-1.33994909692475,-0.819354767903037,-0.70145198665125,-0.988762488703982,-1.29666541630447,-0.363383552963104,-0.643084846807417,-0.735606442610419,-0.82563651275366,-0.857031578056765,-1.17201902217929,-1.07371550301413,-0.738176160243307,-0.73113766643796,-0.937318617678774,-0.976539156081241,-1.26791241615146,-1.23669290361883,-0.892180034771438,-0.950471982841322,-1.03165594992,-0.0768944978853587,-0.944821360634299,-1.24100343690442,-0.109595420863595,-1.85603302227466,-1.52962790477953,-0.783490545151275,-0.419749470750348,-0.721148163170059,-0.241107914932053,-0.817636657870647,-0.769457291776727,-0.651719738076149,0.0913376054130252,-0.386820079018108,-1.65962874941605,-0.220616889169317,-1.32482970042797,-1.04820803118296,-1.21231232948608,-1.18289842078399,-0.839235863986519,0.236900808033628,-1.13246643704247,-0.357376848706239,-0.861523758144636,-0.874627697801341,-0.576872769513688,-0.243146477417151,-0.509327245425567,-0.845981610945026,-0.210763748346586,-0.964285073604427,-0.831365334254238,-1.10128602250177,-0.389349322092772,0.587391898328427,-0.929134410610673,-1.20090755704144,-0.675666532493817,-0.708830647513028,-0.558330350188899,1.10772293773176,-1.24593923606945
"MRSA_Ctrl_2 (GE) - TPM",-1.72553795945143,-0.943061625757123,-1.28780987057767,-1.3657474708997,-0.622892392942792,-0.876432660089085,-0.816274986509051,0.432897695788101,0.358603979629231,-0.722367806018678,-0.732298833679472,-0.487012714752117,-0.403064970471117,-1.46143700605032,-1.01115351085119,-1.22862148504728,-0.678802481475102,-1.09923421818592,-0.734047417232525,-0.905407014552487,-0.264245015689977,-0.619554897559678,-0.663390340404257,-0.333057462808569,-0.0555499718346095,-0.371940372374025,-0.892418159242783,-0.726002677091457,-0.823978851185818,-0.946294234119112,-0.774058380047945,-0.254823344565456,-0.879053063958745,-1.11244290678738,-1.33687848200452,-1.2630353012791,-0.753893469003544,-0.737014685380355,-0.258970638426946,-0.27291776977463,-1.14836494657738,-1.24859259871191,-0.648926501861266,-0.86217301378949,-1.35299373928943,-0.226800207663339,-1.11451138951902,-0.732283538231118,-1.0225606393798,-0.959626796823162,-0.672772137144728,-0.799755201987538,-0.436476453233252,-0.892151939980586,-1.12636978019016,-0.979259700429773,-0.397480140195572,-0.801529485296762,-0.95800300804318,-0.690347550146451,-1.10785435735288,-0.252459689390326,-0.605137587322716,0.268901892814583,-0.910200326044139,-0.831098442796044,-0.808124696654632,-0.811738645596077,-0.749848114696555,-0.505418766049122,-0.905787449291302,-0.337272944837794,-0.804551529879583,-1.19212912925771,-0.810236432087238,0.990710435610021,-0.587811290375349,-0.632374891414165,0.224469037647692,-0.85699594324458,-0.128304569577073,0.874257376978504,-1.03144679926309
"MRSA_Ctrl_3 (GE) - TPM",-1.36213028261657,-0.754067419717664,-0.770205584083736,-0.600563027852622,-0.538882636748208,-0.850862247081384,-0.789580664504627,-0.0472146902868915,0.210922685404561,-0.991916642109845,-0.536071664134349,-0.603901892614081,-0.548801299413177,-0.672391863114034,-0.750913009556664,-1.03881789216349,-0.615504293994404,-0.877584892020517,-0.90947378023903,-1.05892470452996,-0.746941166516106,-1.01720907048808,-0.941247539107357,-0.474501973528327,-0.130861152103935,-0.397263472543894,-0.948518079598129,-0.698825274622301,-0.654895908452642,-0.731636257109164,-0.736052925784049,-0.39713453884219,-0.859104211822602,-1.20040441618221,-1.0720395488399,-0.899894641188591,-0.868746367709511,-0.670121144465569,-0.538718819923842,-0.683209874356957,-0.610088668939755,-1.14059105681929,-0.560791773269942,-1.20921573785824,-1.34087204348934,-0.209965305353703,-1.19775919586959,-0.716330480976769,-0.731054588387098,-1.03220412884248,-0.933040178864011,-0.890498783732552,-0.44961884878543,-0.754694122672598,-0.0785898581765322,-0.0242853135579069,-0.52299262377009,-0.996469959443019,-1.28805804603834,-0.70005379186034,-0.711864038752419,-0.0725620711783595,-0.650837724928696,-0.37440232827715,-1.03393519154572,-0.592540668966089,-0.712267401846166,0.203676032910691,-0.545804035206396,-0.426149077548478,-1.32051348292054,-0.706703167969628,-1.0416677842965,-0.610147453094297,-0.796427741005575,1.0371678921928,-1.35525451433674,-0.473392915638743,0.597888987779328,-0.928633139610265,-0.5132632741008,0.736742488943508,-0.93584576576671
"MRSA_Li_1 (GE) - TPM",0.00302741819132456,-0.445262544208015,-0.628186647372669,-0.803441485875728,-0.262234494911344,-0.354651478874256,-0.135542735508069,0.146445216971179,0.170746166781054,-0.83516395178222,-0.859898330104741,-0.52188727615729,-0.44657737403312,0.599416346962639,-0.408866307354045,0.966838452558398,-0.713860701439705,-0.866718423165273,-1.37615024347249,-0.975759942788656,-0.589973213676959,-1.10692197339801,-1.3428450291878,-0.958415205740338,-1.37585452468865,-0.815007997596013,-0.906719380219452,-0.836976904497367,-0.911831706304621,0.00993569184192345,-0.587152232726147,-0.568934877440941,-0.705739791618925,-0.335225993632645,-0.942347503523923,-0.414621977212036,-0.0279068045614257,-0.466470087372971,-0.886731044678021,-0.0647031783528427,-1.35887204716127,-0.815477925108447,-0.396171820043528,-0.93735236184596,-1.20400996480103,0.31751073676721,-0.903298181857799,-0.974017033469207,-0.408016819144551,-0.879804698488432,-0.90281069247101,-0.01470066844735,0.843458159326376,-0.915718871673025,-0.270958565940483,-0.933898343363363,-0.587211113285692,0.0198071290298478,-1.33566031047248,-0.158685083481228,-0.805232310879916,0.115890390784829,-0.22998995087742,-0.314500391226291,-1.03393519154572,-1.04461892769643,-0.656716290905855,-0.267578834331759,-0.093652929050834,-0.39811614481934,-0.559330980254348,-1.17226374535709,-0.460214408863118,-0.468312780618079,-0.539714534407286,2.40268521444832,-0.580417428814714,0.0991756970384842,0.117853730435715,-0.505684251907835,-0.871644054626326,0.811711163026055,-1.11208293340513
