"","SAR_RS00015","SAR_RS00035","SAR_RS00065","SAR_RS00470","SAR_RS01005","SAR_RS01510","SAR_RS14810","SAR_RS01570","SAR_RS01655","SAR_RS01660","SAR_RS01665","SAR_RS01790","SAR_RS14830","SAR_RS01855","SAR_RS01860","SAR_RS01865","SAR_RS01870","SAR_RS01885","SAR_RS01970","SAR_RS02090","SAR_RS02095","SAR_RS02140","SAR_RS02240","SAR_RS02275","SAR_RS02330","SAR_RS02340","SAR_RS02420","SAR_RS02545","SAR_RS02985","SAR_RS03040","SAR_RS03045","SAR_RS03310","SAR_RS03870","SAR_RS03875","SAR_RS03880","SAR_RS04080","SAR_RS04610","SAR_RS04675","SAR_RS04725","SAR_RS04980","SAR_RS05010","SAR_RS05030","SAR_RS05195","SAR_RS05200","SAR_RS05435","SAR_RS05500","SAR_RS05740","SAR_RS06140","SAR_RS06850","SAR_RS06965","SAR_RS06990","SAR_RS07220","SAR_RS07225","SAR_RS08095","SAR_RS08295","SAR_RS08600","SAR_RS08845","SAR_RS15220","SAR_RS09220","SAR_RS09315","SAR_RS09615","SAR_RS09670","SAR_RS10315","SAR_RS10320","SAR_RS10845","SAR_RS11065","SAR_RS15355","SAR_RS11575","SAR_RS11580","SAR_RS11645","SAR_RS11650","SAR_RS11975","SAR_RS12270","SAR_RS12365","SAR_RS12395","SAR_RS12405","SAR_RS12580","SAR_RS15455","SAR_RS15460","SAR_RS12590","SAR_RS12725","SAR_RS12730","SAR_RS12825","SAR_RS13075","SAR_RS13175","SAR_RS13235","SAR_RS13240","SAR_RS13260","SAR_RS13285","SAR_RS13290","SAR_RS13325","SAR_RS13330","SAR_RS13525","SAR_RS13595","SAR_RS13610","SAR_RS13645","SAR_RS13720","SAR_RS13735","SAR_RS13740","SAR_RS13815","SAR_RS13840","SAR_RS13845","SAR_RS13905","SAR_RS15515","SAR_RS13925","SAR_RS13930","SAR_RS13935","SAR_RS13940","SAR_RS13945","SAR_RS13950","SAR_RS14020","SAR_RS14030","SAR_RS14065","SAR_RS14070","SAR_RS14075","SAR_RS14235","SAR_RS14250","SAR_RS14285","SAR_RS14495","SAR_RS14500","SAR_RS14505","SAR_RS14510","SAR_RS14515","SAR_RS14545","SAR_RS14585","SAR_RS14610","SAR_RS14615","SAR_RS14645"
"MRSA_As_1 (GE) - TPM",-0.176538143951821,0.504193938098152,1.0656121339188,0.267264880737801,0.0368062718360746,-0.127378448075316,0.246884928243278,-0.118584952546054,0.00143523454489085,-0.117182693361508,0.429079262718126,-0.856769880979595,-0.583011047330163,-0.330890579769587,-0.272610131014455,-0.150576813166876,-0.179286629729527,1.00132548147957,-0.186097936130372,-1.25147605119696,-0.857408907160293,-0.641664736732067,0.437273204317556,1.32800588601869,0.936318258589894,0.0236916522697123,-0.663162479298923,1.12669218802241,0.740135186114759,0.73629901899806,1.21186253269955,-0.122661992905291,0.805507792130339,0.285674159800028,0.439008637098889,0.859552912172303,0.738682753304854,-0.3952811049157,0.179955574045023,-0.682178192033827,1.69964463468356,0.713759309086823,1.40223021117928,0.0836719010688162,0.752700130100608,0.220051425434886,0.0143709896327769,0.211502692725736,0.282870095461025,1.2202817595826,1.2703017026772,-0.0394745918612552,0.493673810294244,-0.757653246837489,-0.413669390447019,0.897791385135893,-1.02673527943693,-0.611943368321581,-1.35238990440311,0.26707010124026,-1.13752937200146,1.23275260089659,0.216112828450238,0.358864461424178,-0.248379588331241,-0.231824154352364,2.68419046001583,0.191343001864515,0.254996076121143,-0.336684951214872,-0.379371154065781,0.051974662246713,-0.240180755168241,0.78637033247504,0.204620470738179,-0.587289232895303,0.595675231301113,0.178699288981802,-0.0255854620071933,0.165545058167006,0.280799491340512,-0.437044915010796,0.804687325207605,0.56758968106374,0.334065795875733,-0.775124056364303,-0.605808347125939,0.797928002959889,0.950874243458065,0.421271111967271,0.580059561674606,0.30082972609533,-0.074269813080046,-0.100101708973033,-0.426730747754476,0.771863627829138,0.0749794291854463,-0.406192251595652,0.328640657553279,-0.107057408163895,-0.86653687291602,-0.591855569461805,-0.347455409280666,0.22083053827554,-0.206393549810752,0.112809515135841,0.829143065212928,0.729567201399961,0.144704912614329,0.0661978840693215,0.631631488173086,-0.115202250130846,-0.226321653548709,-0.842386978155265,-0.997145862226735,-0.224802286563845,0.157755853714248,-0.166666666666667,-0.070957934789659,-0.368957143506236,-0.24767082501012,-0.314216932912097,-0.284166184247138,-1.04803438539349,0.500444758947001,-0.156349180674246,-0.195669923219515,1.49080522563152
"MRSA_As_2 (GE) - TPM",-0.116562682584599,0.549855813223819,1.23300134635269,1.89483648288485,0.080027107226672,-0.145031322556013,-0.670419907639647,0.526375569537084,-0.0878179960531047,-0.135809698874894,0.49834270907061,-0.490516052297688,-0.558949508784088,-0.094310099526584,-0.245201667840524,-0.0372401874448402,-0.195413783296031,0.316782998844391,-0.135203471535186,-0.816464695464902,-0.771810242789185,-0.452586592171952,0.589024454945807,1.38257464614057,0.431204052481775,1.77628042672963,0.872446567751344,1.10657941672971,0.269825663427498,1.24425096619492,1.37525885801396,-0.140221904548049,1.10836856169002,1.23005591139283,0.363983835921553,0.942159072226851,0.656167689221892,-0.39467023325076,0.516402433022682,-0.527619493327297,1.21813233229375,0.579275470043591,0.799675096289645,0.228791693998602,0.485072749375822,0.352536972723864,0.405457993974764,0.323429850789342,0.537866417513694,1.29292298380213,1.12501643196972,-0.570035182687603,1.18147322758899,-0.633008818481483,-0.286856633403984,0.430143699047755,-1.06081467104785,-0.759771517209451,-1.60202117920469,0.142743210898546,-0.34973928209903,0.0466936002505173,0.410283825900051,0.253000822603895,-0.248379588331241,-0.226675958724978,1.23334995809606,0.260289589255542,-0.243357461853415,-0.319482304767714,-0.320669393720559,-0.601807023909583,0.492086372516062,1.87808943087115,0.593937853897118,-0.51174717308765,1.0511564291701,0.298683492306473,0.0256443373023664,0.349793583311664,0.551980324039641,0.0245513675492387,1.07261421946369,0.467579234541063,0.451723862984498,-0.504167224809376,0.12594936847796,0.679563608679041,0.813143456276119,0.115407367342268,0.140527762203221,0.251242414923469,0.519086024247345,0.48210761952864,-0.462332513267748,0.563823524908518,-0.0963379524894107,-0.509411629547284,0.263135858662128,-0.121551476349378,-0.861626587603277,-0.451582801345918,-0.346521715274239,0.690732031650605,0.343499901881916,0.0350117497098949,0.551449835099094,0.141907771533822,1.066179179546,0.254666239468906,0.460484997907458,0.694476403101526,-0.422776661915783,-0.829104424252808,-1.01986891104387,-0.224802286563845,0.350341341489657,-0.166666666666667,-0.239096418272384,-0.397127956339788,-0.376728685010577,-0.363670046713027,-0.306579170817618,-1.14503460833428,0.57442500068449,-0.121887528041453,-0.220852031776189,1.01742446432982
"MRSA_As_3 (GE) - TPM",-0.194537061079588,0.666605908426249,1.19191867660541,0.856593130176033,-0.264402000476568,-0.0175675329694079,0.790697143152529,0.350759870031644,-0.0045128153418462,-0.111107536807371,0.385458902805495,-0.455209426378879,-0.537887685365647,-0.383017456022252,-0.38731447126152,-0.303416767323844,-0.240849006674367,1.17955051407589,0.0296706350236924,-0.993062218439903,-0.775091287512485,1.53150453224361,0.633807383884802,1.38448485002651,0.976213943032097,0.627488156591629,-0.31924459891421,0.920933903635423,1.26323989811132,0.771466769800225,1.34662245172013,-0.151895993949378,1.28004945853058,0.466160868460704,0.914711415320324,1.0789879099891,1.01579001077342,-0.397470024390002,0.552879568658918,-0.299216617432114,1.51595159191858,0.798893824711612,0.426063336086408,0.107981713471182,0.529140784176933,0.386785298013105,0.553179817321303,0.229667371217535,0.785277769457409,1.03268099861803,1.66864231951392,-0.243891226223478,0.293630791327339,-0.657805060746106,0.904292695208129,0.3693496293324,-0.982865246891412,-0.624287884305171,-1.40710569267887,-0.0215814516735617,-0.501244432417765,0.845570846118443,0.253749419669088,0.104300598282736,-0.248379588331241,0.0437023072243231,-0.103466425298652,0.0974649869134171,0.667838436022911,-0.285240735077441,-0.340490741511364,-0.180909986769966,-0.0238639303535179,1.16979179812014,0.222291352400943,1.02540734667413,0.672583981998853,0.580094275985986,-0.0383291480972264,0.677689218667107,0.56949253692409,-0.224356884113747,1.02585340829627,0.693800518651594,0.441896785552538,-0.442573657005754,-0.512391564293346,0.885819570728269,1.55522014198047,0.308996842544753,-0.0254271089678722,0.345426860583633,0.492054105526228,0.195911217467499,-0.213507021130431,0.816469435925202,1.04224726443082,0.104583025377997,0.11182841688123,-0.0772380726060878,-0.823113085623733,-0.528215504383853,-0.33078546859421,0.375157925830583,0.348286082394621,0.627835344840808,0.336015923369904,0.589128713246212,0.504926826637556,0.368720090149151,0.648500554065825,-0.287113041736779,-0.302012672219098,-0.821240692025698,-0.999130455714973,-0.224802286563845,0.132741254318993,-0.166666666666667,-0.564426109841113,-0.460742339667995,-0.284424848953226,-0.286482413417195,-0.349618248421914,-0.776240333319626,0.66699659926237,-0.0801568498244199,0.00579319508931621,0.558885372567137
"MRSA_Bs_1 (GE) - TPM",2.14927863753124,2.750267083004,2.07436912839673,0.835059129095864,1.97783909858114,1.71046735324263,1.66853706765783,1.02784031303821,2.92901749277456,2.80750605223437,2.66036855081394,1.78848758254104,2.37094674553282,2.98462849421722,3.03336389250206,3.81013793737295,3.78393178788172,1.94366732479619,2.7821440425377,0.685898568410559,1.58684460271249,1.05947793992427,2.69398992211449,2.16675691677688,1.86804618255656,1.64661642400136,1.77743026913066,2.84462932775411,0.980098936337225,2.20243597164013,2.47593438979364,2.77057205116963,2.03508910448815,2.42997302901135,2.46515564758866,2.0952467825985,1.81747419513779,1.60559493758423,2.38339696485011,1.35817243096269,2.45727087398469,2.85679551919237,0.745343500886625,1.98864469265171,2.35497646763043,2.64006026053958,1.67932783428114,2.01140087140488,1.81546176112094,2.11216117983149,2.13649354942093,1.68023589180559,3.00727433048643,1.51673490401511,0.849312786540938,2.79117119022783,2.03084991828246,0.517089557945522,1.00479739593729,2.00874726293793,0.343872337045673,1.38156353734545,2.09791210299407,2.35869434860705,-0.248379588331241,2.60960832077818,1.0959021348455,2.0580068098099,2.165948086904,3.10234459401736,2.83735226747172,2.46579845529381,1.62513623960286,1.81616678402818,2.21559539923609,1.84649023213919,2.00944405927505,2.6191995896217,1.9751280053202,1.85798232366877,1.28348778341723,0.252609407637293,2.2783163835237,3.1209636045907,1.07131298150358,0.944982263702367,1.41874439601039,2.58870899158284,2.68268197139565,2.46982006626966,2.11316716881058,2.66626613290143,1.9599610713601,1.79314849132204,1.87773160312884,2.63817074773058,2.87064921317875,1.6975871599645,2.61212625140232,2.87260771520603,2.21764934363085,2.72839415163947,2.72272492602807,2.9629361590219,2.43543987910311,2.13961118345534,2.57538175017718,3.05680637997528,2.87927195966428,2.01482919755039,1.43568799473329,2.18716665518097,2.66276437340091,1.18386257408645,1.78120417599493,-0.224802286563845,2.00713898762649,-0.166666666666667,0.735399195107567,0.996040323660196,1.8593224693534,2.1576893527493,2.29082244210091,1.01085208057154,1.94727441601066,2.97320274103956,2.21122658199758,1.88952175355213
"MRSA_Bs_2 (GE) - TPM",1.58072580664349,3.69668274872309,2.99291877299247,4.21200254054913,4.92951097760452,4.16958419976778,3.77343293002929,3.34230453985699,3.82491034683123,4.28033905130939,4.09339207059456,3.63446751228025,4.27164055911738,3.30375132886195,3.81976014901029,3.36347952518227,3.36752671050597,3.19509937327119,3.1622403451315,2.41151163945668,4.16678199285394,3.09267154927568,3.23681951245111,3.35637468574573,3.45206428912977,4.14892548092125,3.08866416682022,3.29205819034891,2.52022752710615,3.54616023866473,3.09984977241162,3.89957308394578,2.76472365680166,2.23223858180487,2.50521718920495,3.2687319779867,3.49346431365396,3.8303573250469,3.48362447979355,4.31547506421725,3.12411712399463,3.48151055076738,3.0992993114694,4.13672349679112,3.24061958918887,4.12281409367375,3.82251271956494,3.3397428011094,3.46103048744427,2.75101485727108,3.08665893608709,4.88243124238003,3.19430339322917,3.01110871627741,3.00507685354639,2.78845973124297,2.4131929326253,2.83979380449112,2.91449389082167,3.58601510359942,3.45344472307779,2.33751624265423,3.10339228433862,3.38426506667253,4.05059705200756,2.60438220133313,4.22283894449995,3.4774455045143,3.82398979619004,3.99250778657632,4.18152084960842,4.57644933713568,4.18521194301755,2.98518613545198,3.90179567618262,2.28434605716149,3.83326549836408,4.72031543501584,5.21801418882484,3.58437861853818,3.55008475689368,2.41073456679465,3.4552750971006,3.27125898268418,3.56334165430226,2.89819466655807,3.31984139885432,2.41305311727069,3.26288527191812,3.66278430288163,3.39928096445034,4.39161313665802,3.40779210552602,4.22626786073802,4.6992793139547,2.06926886522425,2.10071491026953,3.57697961550394,3.93246671911826,4.50913463310342,4.15458350845627,4.04597474976493,4.64441314210692,3.31436379270934,3.78983416821268,3.98758926352361,4.21062984546369,2.92267658357508,3.85607678813556,4.27534707997054,2.92905053278552,3.19518388191368,4.58973753328447,3.27493762280698,3.52992318192857,5.24851068728363,2.95871692583291,5.83333333333333,4.14129683680973,4.98031778082437,5.24461426331339,5.16729868763272,5.07271985309205,2.39346515927949,3.52801818527385,4.42573069273676,5.02354504025147,2.20802016178509
"MRSA_Bs_3 (GE) - TPM",2.88507960019597,2.70831234056071,2.08566506216628,0.984622710364318,1.48487002168636,1.32678243868426,2.33531655984712,0.424178323172221,2.84449770521571,2.42501845012244,2.35162759747314,0.293710686763053,2.14405407801451,3.44385896282643,2.77757194144823,2.42801481539507,2.36300931167006,1.54824908308573,3.00146641297143,-0.0391483376078417,0.634637777239082,2.40606740149053,2.2588293134802,1.9145440505834,1.75742890612142,0.887966982912687,0.767324681381207,2.1679849212865,1.1243551689866,2.15674366841876,2.33085118959367,2.37277077633102,2.77398985862285,2.22546066050219,2.14622644978207,2.15569199232747,1.161200910052,0.74466999527036,2.07517840889816,0.962019260047365,1.65286609725779,2.56669540254531,1.58655685401661,1.36938878979736,1.76024051098676,2.38006397006044,0.820023470912103,1.83866773911053,1.55532835798459,1.65531236216987,2.29166151726841,1.45281708874416,2.13187199134361,0.941250922165716,1.00804801759853,2.37130820464193,1.63916314497227,3.16695925008636,0.180635618987598,1.44344859351022,0.317003782603594,1.56625734321689,1.98612167295973,2.07653147598571,-0.248379588331241,2.19735866235779,0.463317117916144,0.776978791621104,1.41482534600907,2.44523209341778,2.30590738408802,1.64992718540565,1.0774518744587,1.97552027956145,2.08552004290982,1.80917148001318,1.4565676008308,1.01479355543873,1.14525255009295,1.58668721902406,0.796812058561723,0.353303867249997,2.18929392251264,2.66757566412679,0.51923787343679,0.545044104655065,1.04424267786005,3.45614569538201,2.03526506951439,1.88113646113148,1.85976351152605,1.98819935025432,2.57988668874889,1.65250957212176,1.39343771194054,3.03806355619225,3.33705337451245,0.698405544288138,1.4992294253125,1.90623721504898,2.20338359953342,1.9198944586148,1.73669764662489,2.92862506126688,2.04588351363431,2.31564762183169,1.98377338838771,2.41575568012251,1.81424593953143,2.10514291127106,1.66258103941373,1.16765287934452,1.72572248676927,0.460352344496764,0.86441743978712,-0.224802286563845,1.6865084649125,-0.166666666666667,-0.372265505920523,0.0538359588032599,0.486097762423035,0.875332065899256,1.12125426944565,0.118945997351176,1.23094921815107,1.78613782764654,1.25024261737988,1.95009827146613
"MRSA_Ctrl_1 (GE) - TPM",0.347303830340229,-0.418329980483144,-0.471271678068815,0.402226133140503,-0.0907686408773092,-0.438403613162034,-0.897217373404322,0.0321331318777563,-0.306606009615121,-0.283934946500591,-0.148420761914538,0.0152138013182761,-0.20240703566834,-0.317409585167188,-0.24055663647802,-0.42305896009225,-0.47355868604938,-1.04102141712721,-0.592349406910475,-0.718913551953708,-0.642425681031514,-1.0627191092274,-0.0352469392939555,-0.0676852915058079,-0.70667506071653,-0.460150377402539,-0.46380066234645,-0.560031958644919,-0.501556523457405,-0.563749501662194,-0.62047069624034,-0.425381840838969,-0.772449607411598,-0.950558584712399,-0.573919435785011,-0.655869771468736,0.307365453296982,-1.03169526151446,-0.796614352168228,-0.0477982357912323,-0.837423147330304,-0.404329081659317,-0.66110792172224,-0.369246278078575,-0.589468956432409,-0.467020656678927,-0.586995803923488,-1.40548206178788,0.00124404902620693,-0.447727527337026,-0.778752728029265,-0.570035182687603,-0.716724140009409,-0.63414290259151,2.22435761254731,-0.73345987562722,-0.125103953544406,-0.760043382749388,-0.428163282268558,-0.945420072918752,-0.801074690726967,-1.11375166241495,-0.930031021051383,-0.625889908493001,-0.248379588331241,-0.451118076118933,-0.544519515679583,0.387406887220403,-0.370632546679749,-0.430178321143604,-0.489868178432161,-0.390273917581331,-0.55743621902107,-0.837420234247073,-0.0862227697097111,-0.492088921801382,-0.539339224064382,-0.342225854693591,-0.274932124598937,-0.85385915662139,-0.478437223980776,-1.16959228930326,-0.970070816626496,-0.139757648307163,0.493537772979594,-0.636443859297647,-1.05635287085116,-0.412578390796669,-0.236583282645224,-0.269041972280432,-0.517451436618566,-0.392971336274809,-0.729921719003955,-0.79841242281138,-0.276479135692615,-0.477485287838219,-0.900748758536136,-1.00506871765531,-0.709866166888223,-0.336453225811475,0.0957023647335587,-0.690249318155546,-0.211315974755173,-0.0833495513120011,-0.487984183902385,-0.422529013991914,-0.489106658404666,-0.238816296972676,-0.449666662952974,-0.074964076895429,-1.70244590723215,-1.27736367887697,-0.422776661915783,0.328876095422572,0.476597015348379,-0.224802286563845,-0.667887436756069,-0.166666666666667,1.21054276300694,0.561299009139661,0.122295108326148,-0.312362932538872,0.141785444437424,1.27181010795852,-0.73546376776265,-0.401791537567659,-0.391431817319837,-0.454553626544555
"MRSA_Ctrl_2 (GE) - TPM",1.32449189211702,-0.464754687515825,-0.430245169603438,-0.642983134602475,-0.450406650259463,-0.37512471497357,-0.805970525398961,-0.112244363071866,-0.274240516396949,-0.27840858486791,-0.451441009430602,-0.273903930627432,-0.144187860950256,-0.275011388054275,-0.272962705330115,-0.209623916758875,-0.275805224449752,-0.954056290179476,-0.731050780599783,-0.559894874791853,-0.509953903587547,-1.34478027767325,0.0572846927075673,-0.0625227976396782,-0.895802824420137,-0.436519639983866,-0.780093346660334,-0.636806632923771,-0.33096401618338,-0.233406874820343,-0.702838778003921,-0.515160600665659,-0.772512858669268,-0.81269929834066,-1.08885027747855,-0.909407205184772,0.638486931861143,-0.749637524670252,-0.697349133131399,0.234818322455912,-0.619842883942365,-0.390173742028299,-0.66110792172224,-0.171472664903875,-0.52158162875581,-0.516922778480055,-0.677666006552435,-1.07155411867506,-0.119833057644465,-0.560549616806342,-0.762022552345875,-0.570035182687603,-0.690532197404762,-0.63756932609168,-0.0625808422895236,-0.817340437134669,0.0467298326219632,-0.515238316194581,-0.978589889904836,-0.871845961776196,-0.311484769704378,0.124406900369703,-0.846985264412514,-0.58993245912483,-0.248379588331241,0.316201907888816,-0.544519515679583,0.0698169773912366,-0.593226017149615,-0.433847773496293,-0.511670051584706,-0.259533605997122,-0.824989135953143,-0.720926812807435,-0.263140484353862,-0.790550902018775,-0.102858695086639,-0.189142156542097,-0.331770167346484,-0.902747678820226,-1.53586279689814,-1.44213157327487,-0.810728200645846,-0.0719177699521531,0.716512113650998,-0.535780877478384,-1.25990876497163,-0.471115946960647,0.047682223821721,-0.28373892459947,-0.117778842437388,-0.370725835571395,-0.86227711143675,-0.535844249290799,-0.31946611337076,-0.457138825894551,-0.555470507692584,-1.11057983648273,-0.971925528306028,-0.313400316775639,0.13522177700561,-0.705032496036882,-0.128036133623993,-0.490966399234725,-0.513167361876811,-0.731555622035488,-0.425160671681746,-0.451830387021006,-0.46795756592636,-0.417539651304971,-0.717751882870457,-1.335099951202,-0.324851086046416,0.380251308805686,0.366059886077821,-0.224802286563845,-0.611582031613871,-0.166666666666667,1.10746483602984,0.36642641967293,0.0591619754016273,0.0347128077126542,-0.0213642938933702,1.12201215180361,-0.832396403581425,-0.429734452637241,-0.476054086121503,-0.216153738572432
"MRSA_Ctrl_3 (GE) - TPM",0.873285333756911,-0.437313432368624,-0.307097675403014,-0.580719123642228,-0.424560069811825,-0.361245218368743,-0.354800442478828,-0.0653662457129715,-0.277319273265784,-0.262724354939073,-0.443949082040878,-0.345782987802001,-0.0940745926929427,-0.393553871523452,-0.115408820462726,-0.123169117991425,-0.339264621996162,-0.961475036726113,-0.603192958903851,-0.64194353383286,-0.484821995272451,-1.21970312700272,0.073997375333121,-0.118961982159913,-0.726010671566949,0.0662217130440317,-0.700161466086334,-0.767104846498701,-0.678567847517889,-0.544995624702484,-0.737331525011573,-0.419172006218142,-0.767409079141769,-0.838607875426619,-0.951943086642572,-0.308550369741788,0.691580991050348,-0.781145842385226,-0.535213088267821,0.591124568658589,-0.797784982248161,-0.313958808054054,-0.66110792172224,-0.238753824460413,-0.334072128913185,-0.574560963245798,-0.985511101790664,-0.766345683549319,0.0755257977353192,-0.241813781728002,-0.893129443196256,-0.570035182687603,-0.786228114855145,-0.627482639323935,-0.944380416636253,-0.732961392252675,0.194242390480151,-0.31017818973503,-1.05211016458032,-0.850981322326222,-0.678653145826986,-0.148041356255952,-0.86925379671071,-0.825813578552471,-0.248379588331241,1.40134251054523,-0.544519515679583,0.455647385703122,-0.533845707076404,-0.42768683231479,-0.519171005842136,0.0139150616093872,-0.493324413725906,-0.768696726438305,-0.727911246570184,-0.393975241414166,-0.456973587879574,-0.417542114302028,-0.274052092058563,-0.617302891093655,-0.915676196876496,-0.638226588750019,-0.636381472280936,-0.198054880035608,-0.215641370935292,-0.527709327196398,-0.748067581901575,-0.415688045401791,0.128775825041681,-0.208717851835394,-0.165094145690956,-0.402529306860707,-0.829252997017844,-0.502659740473432,-0.387540464534981,-0.453179854730003,-0.49533772688799,-0.882053952133137,-0.938754247006884,-0.310816733355331,0.256718799658784,-0.748221264349215,-0.162445892133621,-0.00123301994964398,-0.351100509772613,-0.641475959891312,-0.571414552363951,-0.725557724302991,-0.495398082339649,-0.363845268308598,-0.884996112808996,-1.08966790217229,-0.422776661915783,0.433654361590652,-0.026536630170826,-0.224802286563845,-0.346318034817105,-0.166666666666667,0.572490783435421,0.636695852150189,0.155551845230206,0.176130517638526,-0.0491547369738339,0.797583369190605,-0.509118033909753,-0.402903038929553,-0.462385187369342,-0.294250848244871
"MRSA_Li_1 (GE) - TPM",-0.206905248508598,-0.352720983993745,-0.268620931833778,-0.612104275292162,-0.328429616062229,-0.784158984531401,0.799298283329812,-0.317166337958428,-0.149707666792996,-0.320508153756484,-0.426114952266237,-0.0358072750235765,-0.376037015578296,-0.443689112022066,-0.262249998762764,-0.338175297099184,-0.445486956245314,-1.11106173274969,0.212038208825872,-0.439289098998388,-0.0150744101390124,0.246040269229688,0.0351419118923824,-0.379929665068594,-0.666379735039165,-0.0067457017408871,-0.521132481444405,-0.674023431625857,-0.26590314532075,-0.545797728160667,-0.670841310593409,-0.408260064985718,-0.366391193035456,-0.825831895200141,-0.780834602591891,-0.867351432458886,-0.14483210802923,-0.759070475346724,-0.329420826204595,0.610549636598834,-0.706969303294267,-0.318200879981976,-0.66110792172224,-0.328764340008925,-0.734735569075386,-0.493487310603268,-0.0913080427577238,-0.536603623416605,0.638587831429954,-0.0341578097369209,-0.857123885016579,-0.184381188725936,-0.810048509536162,-0.268699435319169,-0.944380416636253,-0.591374709653369,-0.449070110434389,-0.787172943104338,-0.277853963070583,-0.376207960060715,-0.167771398520844,-0.619232199843445,-0.993566064884134,-0.958235824150769,-0.248379588331241,0.27718208691332,-0.544519515679583,0.0696260933582999,-0.591312992710126,0.0774676148548034,0.13938981358717,-0.184286619197502,-0.507628312856989,-0.598709945345773,-0.100421534705125,0.651102602774036,0.0139950650724264,0.258645766808871,-0.247865001364336,-0.256031310690937,0.135906727421993,-0.539237692937635,-0.385954674173551,-0.250465541549031,-0.827555360785226,-0.437058987702727,-0.313514644570296,-0.246252283256163,-0.558765470637546,0.256171326887596,0.235259601362628,-0.320870984426817,-0.807774077447212,-0.829513997473371,-0.398627398711236,-0.708548610750468,-0.00393171776490614,-0.783738387299358,-0.681305298796826,-0.353335037863307,-0.550547274092885,-0.521087833601468,-0.083811253506835,0.286827774421855,-0.348846534261056,-0.475172422573807,-0.58012751839699,-0.688280100113274,-0.298406036924215,-0.241899532542012,-0.351730752391567,-1.09926507441431,-0.422776661915783,0.440899641540937,0.391456556555105,2.39476705588711,-0.355272156258988,-0.166666666666667,0.250433415548968,0.0118444760770982,0.105825981020815,-0.118312066757318,-0.235089775604741,0.415561186805407,-0.451904397005164,-0.416569812902632,-0.406969841402692,-0.257864261609043
