"","SAR_RS00045","SAR_RS00305","SAR_RS01180","SAR_RS01555","SAR_RS01560","SAR_RS01565","SAR_RS01575","SAR_RS02355","SAR_RS02970","SAR_RS02975","SAR_RS03945","SAR_RS04380","SAR_RS04430","SAR_RS04435","SAR_RS04440","SAR_RS05300","SAR_RS05305","SAR_RS05310","SAR_RS05315","SAR_RS05320","SAR_RS06525","SAR_RS06540","SAR_RS07045","SAR_RS07050","SAR_RS07055","SAR_RS07060","SAR_RS07065","SAR_RS07070","SAR_RS07075","SAR_RS07295","SAR_RS10290","SAR_RS10300","SAR_RS10355","SAR_RS10465","SAR_RS10470","SAR_RS11385","SAR_RS12835","SAR_RS12960","SAR_RS12975","SAR_RS12980","SAR_RS12985","SAR_RS12990","SAR_RS12995","SAR_RS13000","SAR_RS13005","SAR_RS13010","SAR_RS13015","SAR_RS13020","SAR_RS13025","SAR_RS13190","SAR_RS13195","SAR_RS13555","SAR_RS13560","SAR_RS13565","SAR_RS14315","SAR_RS14320"
"MRSA_As_1 (GE) - TPM",-0.531226174939347,0.15391128904614,-1.17246318769876,-1.09388852375369,-1.02703720065528,-0.735603939008015,-0.100927466938417,0.0951973963303819,-0.854367806487435,-1.03206793411046,-0.702170472919913,-1.08282478736783,-0.425683781231981,-0.992253461858112,-0.0765105322616032,-0.201720151276519,-0.640054278359306,-0.499992900164365,-0.565776968806436,-0.541748642655471,-0.484320771602972,-0.763472852459735,-0.110778519256906,-0.234968043818074,-0.313951710674019,-0.677922648570163,-0.641576514949244,-0.175030069129054,-0.115655219405276,0.117972835322453,-1.10961280186512,-0.53620894031547,-0.799970952055347,-0.757435108286826,-0.418778423417397,-0.282167169959222,-0.421032918182932,-0.713508396755528,-0.870247914598331,-0.917805054774346,-0.887795086664883,-0.818246243752498,-0.73549996929804,-0.717847231937589,-0.685560813196589,-0.840914717454829,-0.798734513251377,-0.770065291930086,-0.704252960805472,0.503815533052007,-0.117831148478126,-0.718218520738383,-0.340478354803555,0.965845276316558,-0.605670152031355,-0.7169717539118
"MRSA_As_2 (GE) - TPM",-0.571994713850851,-0.768744398296188,-1.04572955700322,-1.0844021403118,-0.974881173222488,-0.775314834226733,-0.341383660485344,0.164782028700929,-0.808064349914965,-0.972097952199363,-0.73049267336243,-1.08136025087215,-0.643850447101341,-1.12858877307774,0.0839163217569959,-0.800150436076868,-0.958182119134237,-0.675757833506127,0.406225228602665,-0.394639532411571,-0.474323948272172,0.875232062331793,0.185467761012066,-0.223110257222877,-0.431936644224494,-0.587849443526611,-0.538769676984425,0.130412542039096,-0.110321760086818,0.52465806721449,-0.819011456430527,-0.394751392530803,-0.845901002669702,-0.141313171085493,-0.275853386358146,-0.248579589335231,-0.380677914051511,-0.712391214293004,-0.876481112732641,-0.91194055059311,-0.853822899158174,-0.79568602315759,-0.730959490789638,-0.72993397283448,-0.691397292386576,-0.834343777340467,-0.798061665766219,-0.770468102953339,-0.686702204284336,0.432622257032585,-0.743017047883602,-0.692939205003237,-0.251226296464277,1.159953212037,-0.568067426852736,-0.658396987548184
"MRSA_As_3 (GE) - TPM",-0.666555410805753,0.624999361434045,-1.00850319109242,-1.08841504426556,-0.920546845173206,-0.542535465312548,-0.156717445884763,0.143997817316081,-0.716425167449373,-0.960685024495492,-0.594165121660798,-1.07083498663111,-0.445317972992462,-0.769207356428082,-0.308410582053658,-0.0865542371700086,-0.670443829061211,-0.409005795742837,-0.00171565665721751,0.0520946192057605,-0.581926703251655,1.25325429591786,-0.0354767441817371,-0.336417871624851,-0.502389097512311,-0.64921767583874,-0.645916439945665,0.131404814213226,-0.131845492599542,0.450933897754831,-1.00525736383054,-0.250684164747522,-0.754956676151143,-0.81907168650307,0.0453722644561015,-0.276828383340112,-0.0893387333369548,-0.716433940781742,-0.840363618537984,-0.934394638685244,-0.875264354658447,-0.79947495904741,-0.727981323399976,-0.723146652325052,-0.686710914459442,-0.844843455508291,-0.799739747711932,-0.773765345840717,-0.71941337822728,0.687983697643301,0.406581156650397,-0.691500681685359,-0.279250616862422,0.43695868142254,-0.589697104458925,-0.606818201731827
"MRSA_Bs_1 (GE) - TPM",-0.41384729551376,0.368494639749372,-0.496084274585338,-1.08328446841406,-0.94548550277871,-0.0128048448025558,0.91597864884129,-0.101782674775078,-0.52916630745302,-0.878435210903812,-0.399174132998599,-1.02663191840652,1.89411349834575,0.169207567333185,-0.000828830393702323,-1.17326165491832,-0.755166978208877,-0.881323784968483,-0.61714847565572,-0.621161387696969,-0.277685357036457,0.40898263430551,-0.322431024107404,-0.503925722443809,-0.468412625638623,-0.639258322758088,-0.604009341679905,-0.39430024648321,-0.517868423163831,-0.358760740911868,-0.50254086633408,-0.450264138128955,0.0475984524610812,-0.110451964353499,-0.299604722418961,-0.303913491228654,-0.403001619767695,-0.716578199260386,-1.01132478628626,-0.94353742815146,-0.903786236174122,-0.82523480079815,-0.741751658526696,-0.727256479646954,-0.687840920430779,-0.845247655415884,-0.795097736496241,-0.770191657816852,-0.70077153529389,0.202348585599805,-0.553095939538817,-0.633487185743442,-0.513693404427819,0.140519342229748,-0.486983803953264,-0.647880719529507
"MRSA_Bs_2 (GE) - TPM",-0.581578077097674,0.162238219433369,-0.386711396451853,-1.04930775168345,-0.883482398362897,0.202134522901234,1.15874923387908,-0.170886441900977,-0.373533927029679,-0.764918745969151,0.150641108685956,-0.776883935138476,2.72796328616826,1.45082224114269,0.943904128199008,-1.26949137534569,-1.50279236809768,-0.970476416252297,-0.783166956406672,-0.80853160404554,-0.25496456785865,-0.921212317739516,0.0223572085328424,-0.315283677325264,-0.507321293021047,-0.603484265436601,-0.579899075406154,-0.172812731108673,-0.342875326738386,0.0542750155219529,0.355391201583575,0.477892361453762,0.0910819721513161,-0.244848414636262,-0.458489267899897,-0.300557221674747,-0.174531127131304,-0.711424705812037,-0.986064213082804,-0.947137288176695,-0.877510825350838,-0.820848693357302,-0.734067480657581,-0.728321171476222,-0.689863605130383,-0.841277972596589,-0.799698414020689,-0.773436328770084,-0.714929235324972,0.774325781806818,-0.517713212109562,-0.703433827534284,-0.671051889622177,-0.0422270022097084,-0.546874322405665,-0.718616318917172
"MRSA_Bs_3 (GE) - TPM",-0.452666678501996,0.572783176345111,-0.735900450710376,-1.07708747636269,-0.930516603911049,-0.343666145558245,0.283280052748357,0.0262094605458592,-0.715215172223773,-0.916918849418449,-0.461063787283573,-1.06857827125008,1.02457008593264,-0.219904548057343,-0.243515405385226,-0.711299705177489,-0.963135026496493,-0.890066707708252,-0.851906239225501,-0.71298283622536,-0.406543976535492,0.0365180417767553,-0.325160400900608,-0.438271310405426,-0.424970884772834,-0.595475516387165,-0.670142831981959,-0.642762930189338,-0.300400296867469,-0.0674209274250086,-0.709709509692301,-0.506119407753477,-0.126656568172901,-0.428001690255753,-0.927755924403019,-0.30452526641439,-0.24764921040867,-0.715078599492433,-0.96552518654329,-0.928248165950467,-0.916631976661863,-0.822536025932197,-0.739416680492739,-0.732470846004779,-0.689244364258117,-0.843163749937123,-0.795481308577843,-0.772215828054527,-0.708375412032605,-0.0998539271029693,-0.750699870325818,-0.631079969029104,-0.474599425915651,0.0546602863443833,-0.537440347069895,-0.705252574095141
"MRSA_Ctrl_1 (GE) - TPM",1.83449294425754,-0.731789220328866,0.705117672394394,1.19265292668104,1.36462442853001,1.54234962892276,0.445528996343435,1.38235606455044,0.60654653405529,0.20472834443648,0.299344576267612,0.551005053468577,0.521642375981532,0.796376188486773,1.11421359097888,0.74286957039445,1.82060597572668,2.22646731145059,1.04875626985763,0.94186674868054,1.14648286943175,-0.734214105885984,1.33856883814559,1.45669736591559,1.9027006234899,1.61764319435927,1.9278225272734,1.45599594566602,1.07488929236859,0.883252998826076,1.09530323030086,1.00552874097476,1.17544320649171,1.28862011363314,0.332662947587979,-0.304541303310516,0.0661032001640813,2.15837004137023,2.16009055879202,2.88838152003949,2.6014237649052,2.93276791201903,2.66221869220517,2.45717330303969,2.32368089818475,2.10799766524997,1.95349627286644,1.99484439953092,1.87636290765298,-0.973008087041237,-1.20971649579203,1.00404429595607,0.999916732819008,0.68607222687248,1.36002394992072,1.41513350585096
"MRSA_Ctrl_2 (GE) - TPM",2.18481343755055,-0.762165673444156,0.673413408459739,1.13549966964427,1.25374251123611,1.5648553212423,0.850529197345178,1.50060152843018,0.863532218697584,0.527400687862704,0.410462503903587,0.426102708966032,1.12881265144947,0.326388581108956,0.744709870592372,0.617584627924968,0.810960047285628,1.2484487867168,1.88991179382546,1.69829546171299,1.45796749437536,-0.726732667433585,1.32504538945939,0.742926329695299,2.19859046586627,1.92970581988183,1.22669283035403,1.56809820480612,1.29883747887835,2.00004307400146,1.59757724464927,0.822909501619492,1.17149685575453,1.3776989762905,0.945018241285695,-0.347147558783007,0.0693061741072322,2.27929713685618,2.02942181889825,2.34492040418339,2.57091541121424,2.32806861468559,2.35229221934768,2.24893097743531,2.17517554879282,2.16872836904873,2.14454408860331,2.1643441119887,1.66812171451165,-1.0650721355092,-0.737402413926378,1.20420332866842,1.29931813143087,0.845212632442821,1.34480435928388,0.999884853427529
"MRSA_Ctrl_3 (GE) - TPM",1.42194383964833,-1.08815738438669,0.528762193763491,0.867416350489069,1.30463901357992,1.50808031693112,0.883657851248093,1.79832948443823,0.651755596152232,0.506850246194552,0.452145047887251,0.725559425108463,0.827600014305396,0.448730318988365,0.618170114675849,0.851543725004184,1.50118786567901,1.49954849447784,1.20542864438148,0.755833148852913,1.12805740668304,-1.7460139073745,1.86374265665296,1.97968199681123,1.8500531130848,1.98871901173033,1.41726251257726,1.56672638529584,1.08565483977611,1.23091198879234,1.14731956215761,0.93749988655908,1.22047266759143,1.22376066931594,0.866751156977577,-0.337177712551477,0.0673794377085465,1.93988750067817,1.78027664049225,2.23894419271736,2.20910479962422,2.07840532699454,2.24974528888763,2.01185436083306,2.1249805316244,1.93440092802136,1.87449225793625,1.86006263313896,1.65451580876089,-1.08890541526678,-1.05408411488114,1.1944870365768,1.42297143988914,1.37210064897431,1.14935727932015,0.999164640248723
"MRSA_Li_1 (GE) - TPM",0.535612243896686,-1.40187555939147,0.353175769484101,0.145883606463805,0.267780117588989,-0.310213376256383,0.2130286962799,-0.167589420681187,-0.231163488868871,-0.282385806206587,-0.298431119530464,0.0416572668615815,-0.719004713723846,-0.749994059231035,-0.581017987178202,1.05149706668134,0.279202678504051,-0.0658795644378579,0.23413967349891,-0.941519401452266,0.968805568859704,1.56237118513726,-0.542807142408916,-0.264186469674051,-0.362655972588712,-0.303826456182598,-0.324730963701919,-0.157429054097672,-0.477453977528344,-0.30168490077054,-0.127807665373323,-0.169276655949979,-0.840569238203293,0.0540255022261445,-0.118552217212457,-0.283545313917583,0.522043251164074,-0.69647648821581,-0.862537499869054,-0.871529930175163,-0.781841642548539,-0.792704691757464,-0.735664102267081,-0.714232735661829,-0.67227415306789,-0.77912017403731,-0.731782608801869,-0.691266392647927,-0.63745899778955,0.132332574024164,0.238084668687509,-0.189601948892004,0.236587140178885,-0.331178574581821,1.59267786103679,0.956596401636848
