"","SAR_RS00660","SAR_RS14770","SAR_RS01305","SAR_RS01310","SAR_RS01315","SAR_RS01375","SAR_RS01680","SAR_RS01685","SAR_RS02210","SAR_RS02215","SAR_RS02220","SAR_RS02360","SAR_RS02365","SAR_RS02810","SAR_RS02820","SAR_RS02825","SAR_RS02845","SAR_RS02850","SAR_RS02855","SAR_RS02860","SAR_RS02935","SAR_RS03015","SAR_RS03035","SAR_RS03055","SAR_RS03060","SAR_RS03230","SAR_RS04600","SAR_RS04615","SAR_RS04625","SAR_RS04630","SAR_RS04635","SAR_RS04640","SAR_RS04645","SAR_RS04650","SAR_RS04655","SAR_RS04810","SAR_RS04815","SAR_RS04900","SAR_RS04905","SAR_RS05175","SAR_RS05460","SAR_RS05525","SAR_RS05530","SAR_RS05585","SAR_RS05675","SAR_RS05680","SAR_RS05910","SAR_RS05970","SAR_RS06215","SAR_RS06390","SAR_RS06570","SAR_RS06905","SAR_RS07265","SAR_RS07300","SAR_RS07305","SAR_RS07420","SAR_RS08010","SAR_RS08225","SAR_RS08250","SAR_RS08255","SAR_RS08310","SAR_RS08315","SAR_RS08320","SAR_RS08680","SAR_RS08900","SAR_RS08905","SAR_RS09130","SAR_RS09210","SAR_RS09260","SAR_RS09450","SAR_RS09455","SAR_RS09620","SAR_RS09930","SAR_RS10275","SAR_RS10280","SAR_RS10500","SAR_RS11200","SAR_RS11305","SAR_RS11590","SAR_RS11595","SAR_RS11655","SAR_RS11820","SAR_RS12070","SAR_RS12075","SAR_RS12080","SAR_RS12085","SAR_RS12095","SAR_RS12100","SAR_RS12105","SAR_RS12110","SAR_RS12115","SAR_RS12120","SAR_RS12125","SAR_RS12130","SAR_RS12135","SAR_RS12140","SAR_RS12145","SAR_RS12150","SAR_RS12155","SAR_RS12160","SAR_RS12165","SAR_RS12170","SAR_RS12175","SAR_RS12180","SAR_RS12185","SAR_RS12190","SAR_RS12785","SAR_RS12815","SAR_RS12830","SAR_RS12910","SAR_RS13085","SAR_RS13090","SAR_RS13095","SAR_RS13625","SAR_RS13670","SAR_RS13745","SAR_RS13785","SAR_RS14090","SAR_RS14395","SAR_RS14400","SAR_RS14450"
"MRSA_As_1 (GE) - TPM",-1.16378508469893,-1.06498932132858,0.816914775677504,2.53839642949425,1.75882967082551,-0.135423972772849,-1.48091291937591,-0.890732419459008,-1.16754222416493,-1.28718664945813,-1.26031707778917,0.623039250513884,0.0855352013042463,2.02709563774773,2.01610478249535,1.92149264583191,1.56086973580231,1.81122680218901,1.59677460509794,0.85740669125014,-0.219247842014936,-0.177732378406014,0.53644694182105,-0.276549967790157,-0.651306385238188,-0.680549926219502,0.949853561764664,0.00150170228449294,-0.109279965799651,0.208803798422714,0.0436278304581732,0.227876814948093,0.10175872804067,0.238048771192713,0.192198282559603,1.57696031519332,1.36255261887358,0.800873914703786,-1.63432531624625,0.190572744615915,1.20308536155022,-0.446035615251151,-0.173513235378663,0.0770754831363162,1.95558806757618,1.07988828726114,1.24257645750239,1.08736182734626,1.38496361648739,1.65376391626788,1.6795683110179,2.10000380256715,-2.14323325766181,0.734357425542348,0.404992604352754,-0.274688080891526,0.419641989063299,0.369750518804415,-0.0233628837528721,-0.11032650291598,-1.06537141665768,-0.292001764745658,-1.16729255120331,1.23173569843006,0.191667577449962,0.683736017233759,-1.00102772164177,-0.772685894327143,1.42610361963171,0.603844007716047,1.46852538475716,-0.82995107464535,-0.0436062855256696,-0.00674907697425904,0.522569154308393,0.366538448142538,0.109252567453328,0.404337435337462,-1.0829018760922,-0.999015736776953,-0.129579796985424,-0.656955449330743,1.15289958413153,1.41747928215168,1.40971663347701,1.57506704634816,1.07282824160284,1.37135358214596,1.18316760093409,1.3127574174472,1.27906910521018,1.48473303978435,1.15753646837421,1.27882851849848,1.38979413577314,1.26398845674354,1.29758896195279,1.24184167221585,1.25764612519573,1.59120100733682,1.78728920252163,1.51491245443936,1.61191185381951,1.59204022173055,2.19415861005612,1.5833389715281,1.1746458469659,1.12736439845518,-0.0580387333571711,0.347310251028656,0.254295916102425,0.2351055991071,0.597476615753855,-0.850800570750935,1.00761490570071,1.76489647296515,0.401939701311148,0.249077667863621,0.0811771272802635,-0.495385184026899,-0.717903713899677
"MRSA_As_2 (GE) - TPM",-1.16817379366842,-1.13440237036889,0.525400872112879,2.19886662766397,1.70262871890614,-0.0867967739656323,-1.5258458727938,-0.608544124092762,-1.38757746913292,-1.29800112294411,-1.34375895600856,0.616170872040433,0.321279268503757,1.85139459819516,1.85276526693652,1.81768065292472,1.86472353030722,1.75734654026684,1.67464223552612,0.964428686519806,-0.154698324126957,0.0804714342260808,0.67956874627019,-0.467499179173499,-0.668589011419056,-0.685568216236575,0.255725732045317,0.224391964934116,0.133397873141535,0.21049441183755,0.605864452376817,0.625780362424532,0.297549947089257,0.398504727995135,0.644425562703049,1.66928612614338,1.59602924032284,0.62746673804489,-1.72928078106557,0.0588866081940232,0.970324135599406,-0.638089677415949,0.105881078311558,1.52683920271606,1.92944368100521,1.01248974965357,1.4560785961457,1.00679589357933,1.22807824035033,1.12795860857687,1.72861335911939,1.20343702930628,-2.03778423545261,0.677998987467776,0.769777976377226,-0.188671103981282,-0.18955160301164,0.067114930136951,-0.277113891881828,0.128320748603809,-1.17528120869737,-1.14276802566177,-1.06216059044411,1.30589212957929,0.19847310922315,0.769408421383271,-1.10825220501554,-1.61461947644632,1.43449349052388,0.415483487946868,1.4185823275553,-0.919176347269526,0.354363416597936,-0.341705433726933,0.555236801391643,0.768168802985012,0.06365189098948,0.581739735734547,-1.03584294991818,-1.0124529290565,0.0583742466707654,-0.729893922690794,1.19212442453617,1.54731944881393,1.2516705992946,1.35027591198316,1.99960178979617,1.48059589739053,1.43455524113665,1.45150298367609,1.42522869173635,1.48015300019226,1.22862796398434,1.26042800562428,1.28022432976595,1.06590259656534,1.47544114528986,1.50881817850273,1.45189043538716,1.62915796625981,1.52618766024876,1.58945713855515,1.54073556818402,1.80549513530695,1.71711905774696,1.38266038297782,1.1810767967612,1.49475850513313,-0.203735191572115,0.441501203706408,0.070035998439795,0.484706884847343,0.671236590298331,-0.796162741020054,0.452797926174656,1.76438763863671,0.591868954410473,0.390206263989555,-0.340510065897521,0.200453594565329,-0.636617883813612
"MRSA_As_3 (GE) - TPM",-1.109690855952,-0.952516744002236,0.973675046994097,2.62610964322288,1.94561793796988,-0.0926116433989827,-1.25403674938078,-0.452990089681634,-1.24507749772812,-1.45388571260095,-1.32608397074517,0.460718930274501,0.292710506383286,2.23324972026145,1.64866844677706,1.62562272800994,2.11537684677864,1.82716176271276,1.55391819511309,0.96933840316701,-0.188858570277775,-0.264148790784016,0.672269432763325,-0.29318209547564,-0.690496915593217,-0.251660025450609,0.517489282802645,0.688387787385213,0.231056481484667,-0.0591343125147908,0.561139187214415,0.637119101165253,0.565352997155241,0.970715857056106,0.534132665384032,2.08491226524003,1.66444025560639,0.850151851518519,-1.55782379232322,0.231183432443953,0.497253889865535,-0.192034826915987,-0.000565412868714979,0.647347541617144,1.62767940303666,0.865820276138435,1.33557072859812,1.23442305523224,1.04714922080644,1.31865249441581,1.535265087914,1.50088377795654,-1.92510906031334,1.0356592385611,0.789314742066893,0.403123812146054,0.180079776147355,0.345250475294275,-0.301039510143207,0.0447679071803019,-1.07257241735935,-0.934805593335346,-0.848152941565114,1.12820366432284,0.279459341035057,0.709887624740005,-1.15481564785578,-0.77835351782375,1.16461966675467,0.752497295628231,1.47687552067447,-0.0494600560436393,0.249963932543096,-0.106525991113402,0.37587466286273,0.780480059242255,0.351196275722775,0.559442136930729,-1.12824347319568,-0.99229253765966,-0.00855432705294501,-0.789332970323521,1.42168407693627,1.30776644829715,1.63431981732905,1.24569249787573,1.86368796541758,1.39133792992423,1.63681498226643,1.08437840445691,1.20452906498694,1.1088672937584,1.22670229257459,1.06154228624529,1.22896650829875,1.02877223467337,1.34157924572745,1.15680789382798,1.18866577427291,1.67304355102893,1.26037355946564,1.3228899352746,1.62717270997696,2.03351472340661,2.13159201238903,1.78300103758129,0.807791093522617,1.04947210899494,0.0849955785611149,0.592549395617445,0.184994969855628,0.563098562392998,0.735655370469193,-0.782447598375973,0.761395833132455,1.78731484207542,0.532854259023409,0.275725063715723,0.305254187520777,-0.321180135913236,-0.326183576432916
"MRSA_Bs_1 (GE) - TPM",-0.55019024067594,-0.545666968008641,0.440847298403772,1.09634004714998,0.908190535303211,-0.198596292593692,-1.199101233327,-0.935706196802456,-1.23829062759338,-1.4222877555629,-1.51858684957763,0.84657576337467,0.639473818256183,1.23789776432212,2.06398951703996,1.64304354335717,1.26220654594824,1.37109282380187,1.39382665882912,0.945610137839163,-0.0612601583425887,0.4846465628808,0.927939424168039,0.198040097992047,-0.388583900767905,-0.948116672390879,0.613439926088016,0.572604922122845,-0.200154308223636,0.260588679087873,-0.0348252490995234,0.203501960745762,0.268977638497421,0.618854186739971,0.448939952473245,1.38352131571617,0.805037418596937,0.821268030811181,-0.680453605372489,-0.0996047349686312,0.867679459301782,-1.11650197823177,0.486594860978966,-0.594715842550889,1.56592424770536,1.0295420061561,1.1001993231968,0.761822554166808,1.47445562141718,0.795513708339831,1.30061497778941,1.41680964022597,-0.291276070865879,0.620859000627652,1.35069836411282,0.126350457294422,-0.377703895436092,0.522768654742243,1.14508680768635,0.0989723903347102,-1.39505078293935,-1.15977684831607,-1.50431872790469,1.43345873639135,0.261675380734013,0.550792349615772,-0.897890253678144,-1.22071147941376,1.02208546857741,0.082056212792669,1.17495710741806,-0.771539341858654,-0.04362542633819,0.213335998805484,1.08289832010208,1.83568627321184,0.495686654224616,0.5706060257994,-1.09229904755401,-0.869055104899365,-0.133804637109678,-0.922463123676181,1.18770533185088,1.58275358305093,1.68508661077601,1.75091072009451,1.53926513237473,1.43057429107502,1.1510731792643,1.56020841474542,1.32285490969851,1.5107042199102,1.69323414634296,1.55503369729661,1.62355005748935,1.43010691122239,1.21319197349048,1.22342257694791,1.46562921575674,1.21344741804761,1.27682460722897,1.82886408872441,1.64515411458776,1.2150985985392,1.36686376594343,1.16105420340147,0.99961495678958,1.36104662556458,0.107661329143259,0.192249295313987,0.091323550412313,0.648012481343177,0.86396914984534,-0.740526728947965,0.220443773957187,1.62648872408046,0.335352969321492,0.516944140889305,-0.513857625957277,-0.617569603404298,-0.3310425044624
"MRSA_Bs_2 (GE) - TPM",-0.261109379057826,-0.401212357159613,0.627633624609859,0.481724663049365,0.0796334942910064,-0.0875663076864938,-1.07065226465122,-0.631858619367855,-0.97956220500153,-1.52201685693774,-1.30768942247874,0.163966267733567,0.138934883993985,0.428957528529237,1.76222232750105,1.48020032120696,1.42914451011826,1.2458723219346,0.962046565067566,0.51464159789429,0.299227572366462,0.850082090084407,1.06910542867348,0.124870460459368,-0.391755670235923,-0.982415397759256,0.0859507193802248,2.33442697901609,-0.187072584059127,0.179747864893949,-0.0451294384367151,0.433621409196682,0.402713907178544,0.598030925612488,0.781031915691799,0.872555651898268,0.766588462201812,0.782765741787903,-0.166072857215046,-0.165288220592537,0.578823680561288,-0.615329243188563,0.744085895334001,0.244171780684273,0.863639936060982,0.496641833314013,0.872035021200886,0.281953243663882,1.37502321762492,1.05532534176566,0.279382335495207,1.20936047206475,-0.392010258786451,0.645926681033234,1.467093922405,0.0296681586357553,-0.0740553742782212,0.335155081952863,1.36445088673321,-0.242359583072057,-1.57625965098241,-1.76661708134883,-1.51007476881114,1.22595049278651,0.144539512520563,0.176382981154896,-0.838290016383573,-1.12050592582257,0.651532717908616,0.100745830049822,0.707466510805902,-0.722400919995849,-0.146591842157733,0.266966159083366,1.28182920682706,3.06847573220049,0.941212304181845,0.0271886852478649,-1.01511994460677,-0.939204615140932,0.0947318661579641,-0.716528144472305,1.34635733620525,0.840681829523838,1.23860184019749,1.08688912512082,0.786775781209833,0.776362414715325,0.970520877639489,0.940461454809586,0.50710607374415,0.622327363859519,0.988283347514966,0.817357412668048,0.816250685577253,0.880752332340103,1.06782407233475,0.961337694028494,0.69830712131162,0.569740017914992,0.339544709256923,0.844415127331118,0.934535290118166,0.764932748056845,0.738852657472135,0.607774958177048,1.01362889085651,1.77360841131101,-0.143970980778885,0.0419930300998943,-0.00867323188941853,0.531860223745044,0.782645010558195,-0.998480001126685,1.63682333651014,1.16378142795596,0.351023742165133,0.683186669968779,-0.306785256710791,-0.576133280671971,0.117285424464694
"MRSA_Bs_3 (GE) - TPM",-0.654308913323327,-0.773546716280657,1.11859527438176,1.1037772420399,0.791118870169987,-0.193120361505049,-1.33782506901991,-1.1068476367244,-1.32805580936449,-1.55144994139613,-1.40465203244045,0.788008925583577,0.563483275536449,0.986512851494971,1.43340467939307,1.75339690086499,1.59125816563401,1.19862165447741,1.408957045109,0.760127638379763,-0.275580646330551,0.31671924296824,1.17916049126308,0.213462949523166,-0.305486195680326,-0.883967851642348,0.64162580462199,0.362483851181786,0.116440261566992,0.0784849149123585,-0.113248794491639,0.404918645147138,0.220308569189284,0.972980220448146,0.585224260637065,1.26214399397945,1.0347420333344,1.00334247802808,-0.838164332647152,-0.379122951110202,0.699382039214241,0.0514913527442012,0.24182675977644,0.0753448796246634,1.25463378415116,1.03287988561125,1.40920188392284,0.589442261274806,1.93769989198145,1.23829982730759,1.90470111563019,1.26007774673322,-1.06553355321261,0.767272507180257,1.13496666604223,0.120214530279691,-0.100264518157085,1.19218734822722,1.47915888345246,0.0344613714659567,-1.11046708080917,-0.873541887218913,-1.25770994522291,1.28377495356089,0.238819089719057,0.444826287583061,-0.888136210979106,-0.905640592049624,1.14951996749086,0.993930417647739,0.955184514238637,-0.724841148816239,0.0574542814972972,0.0854125560764141,0.682202933831277,1.25178999473206,0.765511136851258,0.597930538031924,-0.990668736869925,-0.972441610574398,0.00788004820907603,-0.854157746111974,1.10203141096397,1.39855571081433,1.40583203280602,1.52009014481859,1.27831475782975,1.5777019665695,1.45584922612675,1.47336156735064,1.47222946701168,1.24166954694,1.22449571784487,1.76747852669935,1.39595256281647,1.19300129269944,1.22807664281509,1.10794599566294,1.51644312852757,1.25560738941795,1.55596222491946,1.45429912174911,1.18635102140503,1.24495325162839,1.12965555205687,1.20331549744181,1.64035836829802,0.571096042146103,-0.0411478213987001,0.389937417422209,0.237378503533337,0.586760189098856,1.02354068457286,-0.879737790408755,1.20546186259121,1.83900044640342,0.534095652423428,0.307485227058638,-0.409134659457254,-0.196574733711733,-0.580243440027482
"MRSA_Ctrl_1 (GE) - TPM",-0.276357696434652,-0.512154687680721,0.519814220922517,0.074095363118721,0.628687803270222,-0.552899755719548,0.00858135240390523,-0.632661223231424,-0.168223808657806,0.369187918575823,0.436423544739882,1.2779410727696,1.22451870908358,-0.191828312119517,-0.0648729721072863,0.00149765596250369,0.34308573146198,0.340759077229694,0.665437030933002,1.033304313697,0.532354753422619,0.669403612629122,0.552509913126564,0.190289830085152,0.35935374311987,-0.49086663518326,-0.107952068902535,0.206223030631516,0.273409498878264,0.7080615200012,0.152305101952915,-0.00960785702141363,-0.495350215179508,-0.0884360355387826,-0.0472099099036358,-0.180855960134006,0.157813644642241,0.305711619375853,-0.322279002892883,0.175726716786058,0.370343666985334,-0.218167082929115,-0.285094564477722,-0.137922688502248,0.0118691552094183,0.488918960149612,0.306335661005746,0.648866805555323,0.0222658490097061,0.722782489508309,0.216248239937761,-0.0819162903057086,-0.154261699091287,0.913113847663502,0.909847783006985,0.93070708413279,-0.926282598341868,1.01495863700766,0.144276294269563,0.0810163872699049,-0.315997614536934,-0.984540162343513,-0.153970047651705,0.207473189298023,1.01009176096378,0.684463390638909,-0.442949484509166,-0.075177939783323,-0.0547942100628686,0.777305673850015,0.204367780414459,-1.03505606643991,1.18990079752913,0.949798945250704,0.20308764056362,0.264784891898562,0.157699056130919,0.686124224618657,-0.354746884165257,-0.474369339196891,0.235784128070936,-0.468583631652383,0.801228196887229,0.801791796355662,0.745921588720075,0.794483984491142,0.682145699109882,0.793189389620709,0.637765782253759,0.676321997513143,0.755119824445903,0.541776493722908,0.850812075068633,0.913703992677633,0.472603569455471,0.896847718204849,0.604651335910355,0.747747131757539,0.640683482858163,0.539120838270454,0.642078092353302,0.441481838323372,0.354627181359634,0.26815576713063,-0.0322974074030209,0.28702685234279,1.32208827307838,-0.537893731211489,-0.162304134970221,1.2172383087199,0.100297253797356,0.230973274733861,0.0345229312936119,-1.23383565166214,-0.0774002621660048,-0.0791567185087872,-0.0174609706660995,0.507657121987727,-0.330597660062593,-0.690346108897179,-0.949274015456326
"MRSA_Ctrl_2 (GE) - TPM",-0.530644998431671,-0.819601543601112,0.800760225627514,0.0883791956493411,0.59153665666784,-0.563336254656056,-0.240283754497343,-0.393633884989276,0.263013690305974,0.506138171700567,0.275964738050474,1.47400409960769,1.33724942875505,-0.0532839759833118,0.0784694401406939,0.201796140729094,0.307030224259812,0.0680194617374545,0.504346187796708,0.853953801209461,0.410188476486566,0.518561203567418,0.83359022504204,0.183042282796549,0.3688688291616,-0.167283882602302,0.336477273843347,0.915709787859555,0.156674552327896,0.434410573054286,0.0435552642511912,0.0877673522431783,-0.170385932410082,-0.162815320762817,0.00614312369911822,0.0268286267204177,0.169765273762879,0.383860018016148,-0.489908611001433,-0.246906580504148,0.269321460526089,0.10755548667958,0.0947476897331399,0.833403951918543,0.286399737305154,0.750975128341879,0.704925080110597,0.54929254787591,0.313219208666519,-0.314030160764407,0.78595852913425,0.557702870564937,-0.362268765191377,1.02994800938864,1.31724229890661,0.596012597946534,-1.13978213070283,0.696186854069043,0.675951293506618,-0.23950680837199,0.229683230011761,0.656611800068399,-0.0934820944913581,0.260208717110107,1.05847346446938,1.07320564328612,-0.466571674814997,-0.124393882942548,0.371286543736329,0.286305054897934,0.332778892457909,-0.868940465337573,0.941061423081487,0.748468200617053,0.676661688574664,-0.257883766881442,0.289323954261003,0.725297219147668,-0.551273469773622,-0.373653787830443,0.17876917496858,-0.576216909160371,0.531590333853855,0.741802754395292,0.0129791549801061,0.493187740005951,0.243982728964705,0.746425196875883,0.279182383936341,0.737152315416396,0.651448584240878,0.967626267405535,0.783077144040339,0.871558538374403,0.91382232477343,0.855437750064581,0.70306941212422,0.44203515853753,0.846905710652767,0.396097558755004,0.642796548581576,0.45412502881782,0.147898101707664,-0.0380009537263424,-0.035441142497454,-0.0372414614828605,0.922227642414467,-1.12158507271726,0.724191307858904,1.37928298947382,0.648415900565899,0.24767333220985,0.44511396776261,-1.12693521836376,-0.596953442920251,0.110828884117949,0.0427802330282614,0.206456135958026,-1.24738259404088,-0.998599533951914,-0.718949350493663
"MRSA_Ctrl_3 (GE) - TPM",-0.327008196240468,-0.586214043071277,0.715912805417669,0.200811912250425,0.676106396945664,-0.526077169731203,-0.169070331780047,-0.743194841716465,-0.0530168319304409,0.252547355519014,0.248905419172149,1.46821970885778,1.39325680966531,0.0125999403809928,-0.00465265502886415,0.231309034269525,0.272272652646333,0.2979074960548,0.487657918510141,0.919937864061883,0.580045633312961,0.97324137519152,0.970114454262381,0.100721340920975,0.11068938383857,-0.627209903332589,0.684806291541805,0.768810558154614,0.653771115113561,0.411580549097835,-0.0985732592567055,-0.224395188589402,-0.243462946041325,-0.217123931792905,-0.0273621706434695,0.0693789421518393,0.181938290519116,0.368618141103408,-0.158079173604674,0.100714985159435,0.283859323317872,1.58351235525585,-0.0732696782135721,-0.206086291328687,0.134009135022315,0.798251752817855,0.0924261280533542,0.585245449260867,0.472102455979012,0.349218171811583,1.08426429562257,0.808649110051109,-0.190932460304503,1.19602176516729,1.48926217822655,1.05640606509708,-1.15830803053548,0.754416677025634,0.793505769428859,-0.117786426790612,0.389785669967469,0.0902377137772457,-0.256887433774836,0.366029113184787,0.94391972962158,0.954700805877019,-0.580335922269725,-0.450360956976887,0.218729953888797,0.384228457671502,0.324593024694646,-0.74506347759151,0.834644532140729,1.26047817501651,0.623675377004789,-0.0443600825578653,0.418927393072194,0.902802262267459,-0.58347739592927,-0.523378218389978,0.721890080434768,-0.359925854512264,0.772312406753002,0.630442024460824,0.617587056744702,0.913971783525185,0.538301774080534,0.951436947573998,0.203349281622616,0.977078496704783,0.765279038069914,1.01638305584442,0.800020230077743,0.939974917602444,0.795278701843262,0.819684674690724,0.65624772719599,0.716350404285584,0.66600256865712,0.489690075051569,0.539432890286895,0.577896629206072,0.35159589500954,0.0674911619776723,-0.0524277113514376,0.372548398816951,0.263594921038866,-0.0994767289262206,0.501779432450332,1.46215031291191,0.724060570321428,0.284816299516318,0.40836579506013,-1.11228558858391,0.185211382166281,0.0156509464428349,0.0693618632479431,0.647089370857078,-0.845081714024422,-0.950687784647532,-1.05808468032225
"MRSA_Li_1 (GE) - TPM",-0.506898915794178,-0.508875935992591,1.70423867478998,0.0643284118695314,0.216981351861648,0.0661930609450315,-0.192830190479729,-0.612431092517052,0.192803284462101,0.0569429680557967,0.245280379072552,-0.123013418715141,-0.248874396481766,0.548209087938325,-0.171105019244107,-0.299658490281842,-0.13358395088261,0.115051825817877,0.320213093782206,0.528274012855857,2.05759882492995,0.518044633415727,-0.306879710083101,1.27192377949075,1.43443816307,-0.677440161069667,2.00744544534143,0.297373378424173,1.03136125706097,1.15007425854078,0.668891328445811,0.693029768602563,0.456847614619193,1.26472956530166,0.714251912337621,-0.276150946882612,-0.182961189764545,1.70427700396543,0.826657287081094,1.2313666820828,-0.161649681004572,1.71623356033248,0.666231448452062,0.64392941841621,0.155728182381143,0.802134234104232,-0.406979961006198,0.87744868321426,0.687531623793873,0.922491691618427,-0.375189092371512,0.807126668470397,0.352163638099142,-0.324719557272854,-0.161095305242053,0.77489555398262,-0.1992104327235,1.6222034989615,1.15021596019304,-0.274093116449778,-0.365524862356516,-0.0310555055433404,0.419559003189661,0.173154396963298,0.936576776684843,0.80938535426918,-0.251324606015408,-0.106793090670949,-0.433191260229363,0.517908715460096,0.113245204851886,0.142920653055809,0.779809453693443,0.129418190489951,-0.464350253348765,0.886748959819931,1.102039842057,1.30335420829555,-0.493352167244614,-0.597641297634788,1.03652933020653,-0.246917185601498,0.0755643114034621,0.0378472164157331,0.20969341609291,0.0281401591130548,-0.0735105501181642,0.00071222894848088,0.147049462568886,0.0622637853064718,0.00226695719759159,0.158762828373093,-0.0375317815659956,0.0694586789592591,0.150079516006839,0.054505675471852,-0.0643173575732499,0.235801289023032,0.23697944728795,0.219556193674373,0.138920543077451,0.11202056682548,0.0390243393254702,-0.0171107979100005,-0.136021285504062,0.0973678193635826,0.628810349779324,0.353770650507897,0.929869517931905,0.47355600794926,1.700124468874,1.44808816353512,1.48580610590308,-1.2797460517039,1.10445978971363,0.640187688089219,1.56250908079469,2.01586679837382,-0.839609202639487,-0.132456352676516,-0.687178461538399
