"","SAR_RS14715","SAR_RS00075","SAR_RS00550","SAR_RS00655","SAR_RS00720","SAR_RS00835","SAR_RS00855","SAR_RS01020","SAR_RS01025","SAR_RS01030","SAR_RS01035","SAR_RS01040","SAR_RS01740","SAR_RS01745","SAR_RS01750","SAR_RS02195","SAR_RS02200","SAR_RS02510","SAR_RS02515","SAR_RS03195","SAR_RS03205","SAR_RS03210","SAR_RS03710","SAR_RS03770","SAR_RS03775","SAR_RS03790","SAR_RS03795","SAR_RS03970","SAR_RS03990","SAR_RS03995","SAR_RS04345","SAR_RS04355","SAR_RS04360","SAR_RS04420","SAR_RS04425","SAR_RS04490","SAR_RS04495","SAR_RS04670","SAR_RS15045","SAR_RS05775","SAR_RS15075","SAR_RS06075","SAR_RS06225","SAR_RS06280","SAR_RS06285","SAR_RS06290","SAR_RS06395","SAR_RS06695","SAR_RS06700","SAR_RS07095","SAR_RS07445","SAR_RS07450","SAR_RS08110","SAR_RS08440","SAR_RS09005","SAR_RS09065","SAR_RS09155","SAR_RS09935","SAR_RS10370","SAR_RS10530","SAR_RS10815","SAR_RS11325","SAR_RS11420","SAR_RS11425","SAR_RS11430","SAR_RS11435","SAR_RS11440","SAR_RS11445","SAR_RS11450","SAR_RS11455","SAR_RS11460","SAR_RS11785","SAR_RS11895","SAR_RS11945","SAR_RS11990","SAR_RS12020","SAR_RS12440","SAR_RS12520","SAR_RS12525","SAR_RS12640","SAR_RS12655","SAR_RS13335","SAR_RS13420","SAR_RS13570","SAR_RS13765","SAR_RS14345","SAR_RS14350","SAR_RS14355","SAR_RS14595","SAR_RS14605"
"MRSA_As_1 (GE) - TPM",-0.0318856772441929,0.922058967987899,-1.12836077285785,0.587926010170529,-0.632147503304321,-0.834245654406761,0.218363786225493,-0.910033715251065,-1.05161794615232,-0.868525590161728,-0.956258278375732,-0.839564642495068,0.390612540052651,0.370364276227146,-0.0822714461384599,-1.16221913746486,-1.21441860657639,-0.550008690478681,-0.578186046942901,-1.0429209376613,-0.68396997446071,-0.284076317274952,-0.423512759679035,-0.886147751788097,-0.78514230808243,-0.565256649363,0.0355724265917675,-0.136832062162079,-0.163566389893664,0.258884471815465,0.287666318881566,-0.81210786544602,-0.78206837160571,-1.07958746237475,-1.06787103293343,-0.492731223424907,-0.807147435903049,-0.503908320895233,1.42308242715436,0.0800382157013804,0.32744604203318,-1.01109236969981,-0.152853756570028,-0.881656233603988,-1.1352465898355,-1.1804590397997,0.773100450912666,-0.623644007177365,-0.719641578183646,-0.206690757377386,0.307099521387948,-0.518727138590372,-0.635364696425139,-0.0843780152304182,-0.491988704338635,-0.933640662926211,-1.06365247054481,0.281393767228956,-0.281875900733808,-0.940843083033202,-0.00389002145377172,-0.596370479693445,-0.0623642180735938,0.584457344556459,0.76748470333292,0.973296732053122,0.970115800991485,1.55669901305792,1.20779940424669,0.896780718204397,0.842536245618841,-0.625005956619708,-1.10466023513204,-0.149800437075291,-0.669983930770798,-0.637565769008764,-0.422383048605409,-0.857915402546694,-0.918854800024457,-0.487089805006129,-0.924108292134764,-0.991088096449717,-0.995736352874801,-0.832599616883199,-0.0985506857907181,-0.475357506355063,-0.486267965984943,-0.860760829088901,-0.765616581367233,-0.835444944538122
"MRSA_As_2 (GE) - TPM",-0.0889735580346097,0.313144086139252,-1.00954811111281,0.351547267422094,-1.06191186536892,-0.7340734384075,0.414919174004112,-0.941088849507611,-0.95782706185292,-0.90733747452532,-0.812718997841359,-0.889965077705012,1.22208058391761,1.05328416078377,-0.149222405555854,-1.0706468451384,-0.942557504953391,-0.569856051330315,-0.552411117082649,-1.11786766687388,-0.733913285073381,-0.343398575576224,-0.355475948280882,-0.916924948501393,-0.756107293530114,-0.628413110526978,0.487435932127532,-0.0495813102188033,-0.211435138662063,0.436521325273141,0.960735165567315,-0.759901691843787,-0.727240265155565,-1.16976912446423,-0.469021368930848,-0.610295866155368,-0.909400877120934,-0.473067189374007,2.03176815468828,-0.235667521099818,0.438027663168097,-1.03159781913878,0.117428812534693,-0.87314974136545,-1.16914256350581,-1.19272266664806,0.784093053466232,-0.628440228008568,-0.691368903573959,-0.044055603563504,0.0912968101204775,-0.40158515673965,-0.638903436465843,-0.450904086151557,0.278538603843735,-0.85501854562958,-1.06612621747524,0.0431328670149314,-0.207674396635041,-1.01693143633582,-1.31594217746589,-0.650340332395963,0.0723139436082179,0.774469109207675,1.15897788449254,1.14409707656715,1.05618495948415,1.31952971613428,1.048536863575,1.12953703823095,0.940862357274729,-1.03302753123931,-1.12202976122599,0.234376913068504,-0.718663901176798,0.140756889755822,-0.167428981649508,-0.87331468162993,-0.882415293144392,-0.480021516104497,-0.953899181744584,-1.02988397296394,-1.05174888583451,-0.971788647015807,0.481665714629328,-0.496883163239661,-0.445052380966498,-0.782228282972746,-0.539175557662385,-0.848890038596952
"MRSA_As_3 (GE) - TPM",0.0249618604014374,0.492441414112546,-1.07221823433678,0.321428646520077,-0.626033277370108,-0.756328764977406,1.01424529088392,-0.703370786986963,-0.806078065533777,-0.769241313528576,-0.869149269562976,-0.859060384201968,0.631015832513186,0.96074309521343,0.254255884402843,-0.902145367844334,-1.10997298351526,-0.545615927992607,-0.599650936350456,-1.02062343327213,-0.696210958787391,-0.255082074602829,-0.229712459465806,-0.852655590119606,-0.773193890359082,-0.308613849422558,0.471393988889455,0.0689431907606771,-0.210311915226256,0.432062920918985,0.475127046466995,-0.75591922968001,-0.73311584442244,-0.758109929471043,-0.775636405406378,-0.0630470995501269,-0.749704324066541,-0.575599679418352,1.38323509518682,0.106807693183801,0.693117972147321,-1.02292938237698,0.140274474261809,-1.0504068296695,-1.19306991425812,-1.2248067610909,0.533303585769233,-0.615896570444951,-0.837962640662837,-0.000971033534341824,-0.0511560921178461,-0.226029553899985,-0.670614745829388,-0.271807154707634,0.196548277487134,-0.997863931593875,-1.06368028647968,0.396179666124738,0.00583800802772442,-1.00720896106839,-0.790662506623551,-0.906481200546287,-0.385228321339797,0.702346954999576,1.29364417888836,0.950574226322224,1.48406545371771,1.27088801861509,1.08412168675349,1.64887229043798,1.58884764616839,-0.356643261120888,-1.01053670566706,-0.274754541662715,-0.568641151148337,-0.633760955104727,-0.487565318525514,-0.866116078110729,-0.882826349621519,-0.501616369319336,-0.910217730266674,-0.994260728416431,-0.958423392896562,-0.632176098640764,0.0779762720287726,-0.442494099742136,-0.406947216377131,-0.756547395217204,-0.498839172751855,-0.841787489131997
"MRSA_Bs_1 (GE) - TPM",-0.330531101454061,1.06203107062545,-0.901671322092322,0.550909285028094,-0.357464026949361,-0.787767322481267,-0.408953735972169,-0.830925672402224,-0.90535863927925,-0.955374603957786,-0.927076402112609,-0.830584718145018,0.272852202812219,0.165882913208753,-0.9639158325432,-0.662375055141581,-1.16602988295343,-0.246402825472397,-0.465174189264271,-0.810484285223342,-0.623094786249652,-0.155864312877295,-0.779222863537483,-0.905522543154311,-0.764913376366254,-0.659493822689568,-0.471064739679427,0.701194777173014,-0.131795750757902,-0.180589083816163,-0.142964205902488,-0.774723195654587,-0.740673438374542,-0.726470161260708,-0.811025471717668,-0.399807795073877,-0.817934946784024,-0.320325930588037,-0.25606247968216,-0.508050571479703,-0.40360084586569,-0.93418832003761,-0.473385495264251,-0.670599734876335,-0.969210134355651,-1.02145488438066,0.626746979142483,0.62425022367134,0.0441711512763853,-1.04909559030526,-0.350530217759267,-0.204916291476314,-0.704307754197184,-0.00154372715710883,0.224488680915851,-0.0657134276248327,-0.973682791413609,0.649243027239643,-0.262583605019258,-0.888735349828428,-0.576824081175806,-0.742071800989119,-0.187005524455647,1.29272075520358,0.935642468700565,1.54878589040807,0.935452439477218,0.781473415415868,0.158355863327968,0.385646058459918,0.0832266202178534,-0.142573723999967,-0.837399568337665,-0.371390869924646,-0.710965952991205,-0.970473675518593,-0.197822951115522,-0.811325833031253,-0.719975454278406,-0.515337037010002,-0.924463886833585,-1.00385734240703,-0.969992453546901,-0.722825542521695,-0.401235106898056,-0.725581256765799,-0.603163309273009,-0.787285957577318,-0.558990041996259,-0.768612956940224
"MRSA_Bs_2 (GE) - TPM",-0.668287183188406,0.987072478345695,-0.247082543853262,0.734911410733062,-0.317258955458999,-0.581934112725481,0.109897308322077,-1.05918622941221,-1.1779642267159,-1.0639631228323,-0.978571407350249,-0.861295475230713,0.0443388901326321,-0.26725449735984,-0.484716018742578,-0.551101438386503,-0.951356454705296,0.0183055753585822,-0.251068688706025,-0.657481140003168,-0.543877068551691,-0.137265913043661,-0.382034901560141,-0.928733280655741,-0.722132973615505,-0.229015538385575,-0.223301791838132,1.8227043249117,0.0101471477009355,-0.225282313760846,0.578665301376199,-0.653397161010716,-0.678469128904718,-0.944410429581687,-0.337384138409835,-0.164621588375935,-0.504428433609078,-0.0777471548931111,0.143218123879865,-0.527104924799453,-0.0535092128061675,-0.756106383340668,-0.172303836447605,-0.704378849388617,-1.09239570177585,-1.11566356142152,0.313576417079782,0.333382311615143,-0.27191127388977,-0.407592333088116,0.10250829092173,0.260753782866987,-0.68785062426771,0.109160602033816,0.397498439971608,0.396718124698924,-0.929771383052323,0.55551887353217,-0.101934167309005,-0.84860816995438,-0.357277320237934,-0.68669177683732,-0.357899957138796,0.750506855779842,0.131330879987706,0.435369452922744,-0.0598584369118446,-0.154017046223332,-0.813577138464824,-0.199058221861104,-0.449437061308289,0.280427328945531,-0.33558609186065,-0.163006571947958,-0.667377036448559,-0.568856619485726,0.371151547115256,-0.682836945551566,-0.631033294728147,-0.53025977442389,-0.897491656870364,-0.86841904075114,-0.793234675227212,-0.359900364561642,0.441579723446731,-0.638789516587619,-0.526195944472696,-0.738144556320651,0.203191032292347,-0.64761909668952
"MRSA_Bs_3 (GE) - TPM",-0.416460822894608,0.895380909420673,-0.993525114551567,0.633996412342322,-0.0577301115734752,-0.834199290699967,-0.235285319946072,-0.852664886300467,-0.728128461107487,-0.98753594367009,-0.881908901856427,-0.85399434030994,0.56251278186492,-0.103494876789017,-0.629872686537422,-0.772639638944395,-1.22699275534907,-0.384169196465143,-0.513737051370806,-0.852387054688188,-0.649743182405348,-0.0814691148233069,-0.807461060155293,-0.930559549805841,-0.765872534090505,-0.712781586042314,-0.249052391374041,0.662596236795962,-0.349278766956153,0.0576483539388613,0.867389452135866,-0.805693900176736,-0.709375286666545,-0.854114266486744,-0.816673650770718,-0.559022219763271,-0.917876364976358,-0.242846317641945,0.770650320174115,0.110358041613185,-0.159144650554007,-0.874090545112708,-0.597428804413557,-0.794254220004232,-1.10530858208032,-1.1497373382732,0.813088589669288,0.18918402796471,0.254220506468896,-0.517804268866967,0.181717093394718,-0.362729281614592,-0.66031145636524,-0.0845902162106656,0.587758557841622,-0.043773548334905,-0.992270247034453,0.489285849852047,-0.286088147071111,-0.571633734271723,-0.859809616358837,-0.782023333175909,0.366388450892328,0.885783597998282,0.742654923145815,1.40481858950625,1.14411681791315,0.688809437116721,0.908051953773023,0.437228541904412,0.0613480826463788,-0.0258236748513658,-0.888539398145715,-0.443634215492014,-0.628329004498791,-0.537649236587747,-0.188425745410731,-0.8385766901176,-0.813220804772113,-0.518056363102016,-0.935275203941723,-1.03425272195896,-0.982228606747303,-0.871714152107689,-0.556652709346763,-0.667928137297564,-0.611981995612576,-0.832280281370832,-0.64491375285665,-0.790033367123539
"MRSA_Ctrl_1 (GE) - TPM",-0.143600490212667,0.112125687399655,-0.602206308488076,-0.916137486745644,-0.530908145056664,-0.13564869667191,1.02748518890246,0.719991009425392,0.417620234540776,0.11426418951494,0.0235742812911245,-0.161752914468663,-1.03790597077316,-0.92085716900155,-0.705738936362959,-0.203067546323189,0.16560718081422,-0.45176648451622,-0.380695645017727,0.0357931771636333,-0.422526295247024,-0.432694816435945,-0.072505939592985,-0.0541019700450084,-0.219160758175294,-0.66184761632295,-0.83587558155137,0.238704891822048,0.211354005779227,0.226947949652621,-0.964363679927606,-0.335609186298361,-0.0858659614469186,-0.129450537096099,-0.0780114054070524,-0.493814970408982,-0.47000266827683,-0.758076303991763,-0.48826478771629,-0.699450120810978,-0.954110710722066,-0.278709172936999,-0.921098617869376,-0.300988601331156,-0.124301265053379,-0.33333741413783,0.857994393612443,-0.43734062535651,0.0703487397091105,-0.848317950959577,-1.28959845763473,-0.985884475160415,-0.408366887111604,-0.448822435577906,0.0751131817896356,-0.555596322749965,-0.286119399598282,1.01056397837512,-1.00546434989375,-0.199065002689079,-0.646474021070158,0.680596597396069,0.808754635194577,0.608287387433408,0.504554079186815,0.721167538806912,0.460234515682002,0.101299217664245,0.603729759246549,-0.107441755665676,0.527930861378956,-1.09781538553272,-0.712186160236189,-0.969462290544119,-0.69863103076189,0.0681123969519962,-0.660336565091641,0.0847131491619206,0.0971987052767254,-0.43743966331953,-0.151611210587499,-0.379238553301708,0.110546175258484,-0.482339417594735,-0.0111182937557652,-0.229465521483858,-0.326543870398454,-0.146155424193418,-0.553737211936347,-0.350542331179524
"MRSA_Ctrl_2 (GE) - TPM",-0.0674546217237004,-0.534934278431311,-0.364667700049802,-0.994320244875773,-0.459039731159697,-0.41423194227647,0.331014793257205,0.343429420158446,-0.00687329392871034,0.107057888528262,0.0160612320369598,-0.294122296811192,-0.795942147449419,-0.649171613096824,-1.15187882952177,-0.202074476876994,0.35153363013815,-0.442353073561483,-0.329299207788404,0.0523656289134259,-0.439377941933146,-0.361799418852376,-0.505457440134402,-0.244891078536957,-0.28935733793776,-0.824900068544676,-0.74034044221405,0.26274686112941,0.332995939967646,0.279085263501152,-0.989530131975699,-0.230911054415235,-0.252750040316389,-0.398786626182639,-0.599056008896746,-0.390812759775905,-0.587695730669404,-0.821172549173728,0.0885846636926642,-0.610840711697503,-1.22162456183969,-0.48504825736503,-0.866517795332816,-0.143140287638625,0.189512541617924,0.0789858920061473,0.68797242236169,-0.300812346370755,-0.60204789820459,-0.465992342586306,-1.23766750638252,-0.793441906554953,-0.585937797233055,-0.587115984917839,0.442057072438016,-0.628110226101908,-0.353411252131728,0.776833421755572,-1.02951785631151,0.15191376124109,-0.394039364418826,-0.391218678554782,1.86835208833744,0.0694462808314889,0.0388574816043072,0.333416003936754,-0.0382826197067827,0.135198585990966,0.643538076255716,-0.265475537696791,-0.245040279111589,-0.876377958663868,-0.609184209896477,-0.923867759688257,-0.640638122060043,-0.776167607865464,-0.547933127704011,0.251789300761815,0.133321325067591,-0.499973833879173,-0.260115115999019,-0.497652933901278,0.22457422187386,-0.547839002400141,-0.0138587588462692,-0.208203374898858,-0.274196634112419,-0.0619904070997063,-0.332867850872498,-0.304589705087423
"MRSA_Ctrl_3 (GE) - TPM",-0.0500327151150531,-0.00426208733515466,-0.583705759678998,-0.637602638887737,-0.299441115501497,-0.398251222204898,-1.07751247987804,0.505489654405356,0.502375770365916,0.216025482970488,-0.25042452512542,-0.294474277803874,-0.98516483504584,-0.942798343816607,-1.07036521165204,-0.230687182072375,-0.281927422921435,-0.463897209804165,-0.405944658296416,0.065801269447715,-0.480475910805601,-0.337961070206252,-0.255930643912575,-0.238740101813048,-0.304681870704485,-0.729469645433565,-0.753268911918222,0.514692543647531,0.381125114421824,0.449288343358096,-0.98923846899879,-0.294821906836469,-0.146191568176359,-0.56911987976598,-0.224383150553696,-0.381027586835066,-0.250146531550677,-0.66875555951156,0.116788835939415,-0.757528280698754,-1.06234946452813,-0.275692017928021,-0.956908188196274,-0.251654216466153,-0.218625956491078,-0.127780857447038,0.958666410297723,-0.780346382826054,0.354073363027496,-1.15363868177157,-1.30540714235149,-1.05329560110219,-0.490651518016061,-0.598272339339567,-0.297083901996034,-0.386316043525519,-0.362142792201161,0.512340387591501,-0.982023654247121,-0.24134682734987,-0.719256346112193,0.196190989841415,2.05419063086012,0.443615968088126,0.274076378398141,0.375475426830709,0.202264521675973,0.212871945645039,0.19833693323624,-0.214188889893804,0.106172971387534,-1.00750313877108,-0.81785250454678,-0.942642618308449,-0.636094320592799,-0.959280600968165,-1.05016723655789,0.0594576911918879,0.054980368136061,-0.463131907221796,-0.341038162304408,-0.454618392491831,0.192930790272142,-0.673811931352261,0.023674708317333,-0.25181238231962,-0.395573487277434,-0.208180212828918,-0.49428982920119,-0.353445974546086
"MRSA_Li_1 (GE) - TPM",-0.838810550447818,0.773225112780639,-0.611109631872277,0.640835043371961,0.287457671016915,-0.377252482810809,1.56578413510216,-0.589674994556763,-0.493257792921037,-0.728327056631041,-0.788514780115853,-0.778268524248856,-0.775083012438056,-0.564388711105922,-0.178706351883487,-0.343817343979248,0.0148920115379391,-0.614294513248145,-0.494848406676621,-0.284301010504161,-0.649228827699385,-0.539361378518515,-0.788538311752399,-0.230474315651649,-0.31793734141563,-0.112205342032943,-0.752050644287406,1.56865795257174,-0.605584470101155,-0.695581088634713,-0.257150989088909,-0.454632651357246,-0.498089117401403,-0.209768348140305,-0.252095008769329,-0.96883387188724,-0.85087693925029,-0.791283576076161,0.722621533354255,0.0446613661237891,-0.563821340330305,-0.570914856793261,-0.779006021482346,-0.435785743959188,-0.294557830858424,-0.623213695488304,0.459079832195625,-0.692944923380152,-0.837962640662837,-0.427831196740643,-1.13598282177208,-1.02334539512445,-0.701871445498156,-0.37264130566886,-0.12270204950731,0.0198718928519772,-0.0925831452129331,0.604680480927517,-0.834555131579257,-0.161923387532425,-1.54142830766132,-0.455654508267713,1.2510713727347,0.713717617493285,0.79085733701768,0.701043638433295,0.634037180783079,0.821782310257496,0.911223056690876,0.489825159895981,0.66334648313359,-0.209191141768701,-0.609300980517482,-0.532831212362687,-0.49892995887194,-0.598631567759853,-0.351723161184811,-0.540414766754975,-0.505680853260797,-0.536489288382339,-0.557885464182942,-0.331898796100465,-0.497784718483554,0.159036128905432,-0.530229864721436,-0.675223295695275,-0.555929233956032,-0.498599303693223,-0.272437103197146,-0.550458221328905
