"","SAR_RS02290","SAR_RS02295","SAR_RS02775","SAR_RS02780","SAR_RS03065","SAR_RS03070","SAR_RS03520","SAR_RS14965","SAR_RS05485","SAR_RS06115","SAR_RS06400","SAR_RS07080","SAR_RS07085","SAR_RS07175","SAR_RS07180","SAR_RS07185","SAR_RS07190","SAR_RS07475","SAR_RS07480","SAR_RS07510","SAR_RS09870","SAR_RS12345","SAR_RS14540"
"MRSA_As_1 (GE) - TPM",-1.07709667109957,-0.897327313879793,-0.743087264495033,-0.81061745157039,1.33299328290525,1.17082694881949,1.08312326131613,1.49209432246165,1.61869626457204,0.452595270893692,1.56667471327518,1.07527315597019,0.225451464157734,-1.22426678084994,-1.13965599299095,-1.01051483779357,-1.05730797195636,0.436249907886367,1.15462064660724,0.885751117887303,1.61545381604508,1.130571317764,-0.898064462061433
"MRSA_As_2 (GE) - TPM",-1.06287771140813,-1.07960238602548,-0.586834777626232,-0.905521042471307,1.37689332502548,1.29532362621552,1.44507031132421,-0.188955493534859,1.33705587971369,1.32625777018736,1.35964873321403,1.27757094133848,0.430050547209231,-1.22207362312746,-1.10265805476442,-0.997040298956158,-1.15172234009539,0.495478580921076,1.88874873472328,1.66480417212659,1.14663465429843,1.71261860198841,-0.760745445869148
"MRSA_As_3 (GE) - TPM",-0.611690521668664,-0.871979994088495,-0.363558926066729,0.0157310566963867,1.16942597601687,2.039348743108,1.25024756190884,1.39362843906879,1.86868757106054,0.105798316102422,1.32932543180752,1.1494660721792,0.347013383092163,-1.18573590424987,-1.11490056419219,-1.02555279146328,-0.973397711876245,0.657296067258749,1.17600586330051,0.988329103594267,0.796116221840882,1.13729871028058,-0.872806958494669
"MRSA_Bs_1 (GE) - TPM",0.58983344687049,-0.219323152468572,-0.717813321112779,-0.753767686772793,0.0390191982855485,0.583932557488297,0.338313307550738,-0.0711113959626975,1.20807742439881,0.355175918157367,0.890051352528872,0.774795554770891,0.40938897998393,-0.0811781320002859,-0.462532636813593,-0.684429978659842,-0.910141750708636,0.758152553394251,1.05618417770521,1.5889770418741,0.516510066604483,1.16538565928837,-0.0633131420506045
"MRSA_Bs_2 (GE) - TPM",1.48255902270522,0.125381059793368,-1.078978121397,-1.63608511562539,0.216894761082151,0.0596142700941202,0.184993414041862,2.10215293413568,0.508113203639764,0.941248191503891,0.562630899184455,0.903435261136648,-0.0279599334153559,1.07338041272217,0.566067252383664,0.314516745000254,-0.364932000314342,0.669693408803281,0.91642105371641,1.3259697689421,0.240800885215308,1.26284823907843,1.00929822657781
"MRSA_Bs_3 (GE) - TPM",-0.214727675568929,-0.666761998662887,-0.975496971693481,-0.763253272865715,0.088241826453527,0.545761448941896,1.10119985023013,2.17859665524376,1.8517682329267,0.3938245527384,1.28236186386667,0.747709832161914,0.462786004195226,-0.639177258112734,-0.877878410376783,-0.971135306827864,-1.09703734817743,0.858005774272031,1.09743759556672,1.18545587326232,0.439987070085729,0.831027616384957,-0.21235467846209
"MRSA_Ctrl_1 (GE) - TPM",0.479664719328386,1.28521751416517,0.153948705368705,0.189544937829654,-0.531182749854354,-0.409896027401805,-1.20517107088915,-0.12962623673872,-0.820942073054265,-1.48579643646489,-1.31095951164493,-0.70445606103139,-0.51303210259463,0.482365453355781,0.877121970250224,0.815225533170603,0.861140959281336,-0.991497877698781,-0.719165068946737,-0.633965438095246,-0.261075886045617,-1.03836279039028,0.162345203634866
"MRSA_Ctrl_2 (GE) - TPM",0.645958750643457,0.112707109829564,0.68380489360592,0.790774070097013,-0.405797500085352,-0.669740540238942,-0.935321527881712,-0.54353690084189,-0.733738333386657,-1.0759335414037,-0.993874317620971,-0.785322613704298,-0.42706607691536,1.02336456422148,0.44504000353779,0.794590436917549,0.518753855856678,-1.18229931031265,-0.949419365345353,-1.15992686672454,-0.182723165320945,-1.11474768369083,1.36205233977828
"MRSA_Ctrl_3 (GE) - TPM",1.1512859183871,0.40298631446079,0.00823492994341266,0.245243685777177,-0.452314194903952,-0.108992680011472,-1.05160893711471,-0.504426631829242,-0.826874138584775,-1.527506773931,-1.01290905320511,-0.770080710262781,-0.465377118982242,0.796394732605878,0.318618102069983,0.569049126440799,0.444060098490777,-1.10774069923164,-1.11013763755488,-1.09624408778684,-0.544711146163471,-1.40294784352802,1.27909882237791
"MRSA_Li_1 (GE) - TPM",0.873391143172749,1.52091971432526,-0.507851676972508,-0.317158039453821,-0.791811174165496,-0.582712537145543,-1.24750780830892,-0.98758093815246,-1.30861860356161,0.197899715327151,-1.6975199250127,-0.821111691847184,-0.718940135239225,0.795210692413426,0.415751717343709,0.19477141337633,-0.18448571817855,-0.871860006561765,-0.871294764334246,-0.937087525991423,-0.250153800446687,-0.30000254887292,1.34047028788383
