"","SAR_RS00560","SAR_RS00565","SAR_RS00570","SAR_RS00575","SAR_RS00580","SAR_RS00585","SAR_RS00590","SAR_RS00595","SAR_RS00600","SAR_RS00605","SAR_RS00610","SAR_RS00820","SAR_RS00825","SAR_RS02160","SAR_RS02165","SAR_RS04005","SAR_RS04010","SAR_RS04015","SAR_RS04020","SAR_RS05625","SAR_RS05630","SAR_RS05635","SAR_RS05640","SAR_RS05645","SAR_RS05650","SAR_RS05655","SAR_RS05660","SAR_RS05995","SAR_RS06000","SAR_RS06005","SAR_RS06010","SAR_RS06015","SAR_RS07020","SAR_RS07575","SAR_RS08150","SAR_RS09275","SAR_RS11840","SAR_RS11860","SAR_RS13375","SAR_RS13380","SAR_RS13385","SAR_RS13390","SAR_RS13395","SAR_RS13400","SAR_RS14000","SAR_RS14005","SAR_RS14085"
"MRSA_As_1 (GE) - TPM",-0.192366782833879,-0.264523336681292,-0.381079173009425,-0.483327265077466,-0.158475687214878,-0.288059114612644,-0.123681757253518,-0.0943356535076056,0.155869201791742,-0.0341693166669824,0.0799859017901382,-0.45521655849751,-0.411162098708617,0.148215567046541,0.223976459580502,-0.178220794564891,-0.0656581968778203,-0.139084152547406,-0.408421463702451,-0.40154362981946,0.101007548593338,-0.390794092935532,-0.119839766428494,-0.119209381476248,-0.064859583883306,0.0124572163706279,0.0580504398882471,1.37705731652133,-0.126468428456313,-0.662829803580703,-0.152509183753365,-0.061353462306951,-0.0609104156856235,-0.833692946897565,-0.457870230895119,0.234953895720584,-0.143379637707686,0.672864959820683,0.218839926983892,0.315751904975235,-0.0227154411462705,0.0404296419502683,-0.368887541582829,-0.0849124663792996,0.57452386119054,0.808043623279733,-0.99797297921787
"MRSA_As_2 (GE) - TPM",-0.188741678289302,-0.391685709971341,-0.156607455141606,-0.405188836058052,-0.329135430522641,-0.180043535117065,0.0263364769632047,0.579855232278224,0.179663870215841,0.26445539466752,-0.221369446701675,-0.395604901804713,-0.2943491778387,0.285058212860045,0.221608747763313,0.366692311244403,-0.156539599216146,-0.156756810740405,-0.395365256882539,-0.308059850954581,0.0898666792208853,-0.465591377034348,-0.0949541181338855,-0.0785438423946054,0.0252199664401397,0.138631372336059,-0.0256786409184073,1.28950567503944,0.314320009921338,-0.357473355796493,-0.254988990809039,-0.330320698264097,-0.207531604534034,-0.615940467815725,0.0165760937625491,0.415436825456,-0.119484771825302,1.41445015651964,0.2235012455829,0.167321250987319,0.198792639542315,0.150689543134097,-0.376187874625406,-0.144532947443973,0.877896505963607,0.474917342626668,-0.944917223978965
"MRSA_As_3 (GE) - TPM",-0.213746114153831,-0.299789398149307,-0.422131133347171,-0.353656770324526,0.0101339145383287,0.0960185710769041,-0.0599193811640843,0.298383646903337,-0.145662326513076,0.273417576902338,-0.149574844001333,-0.582559802421822,-0.251392257167164,0.397116420682398,0.179222111820206,0.346820600265538,0.0699225964007841,0.0656136369677814,-0.418506126558365,-0.348308986288994,0.111102872333366,-0.358403142840803,-0.261238292815837,-0.194567548693176,-0.187567209095645,-0.167874091180357,-0.0633722513045432,1.10512992528965,0.0342320375282919,-0.259588151658134,-0.24076177903283,-0.0863174342464452,-0.118162161687401,-0.981032303619865,-0.223340121212696,0.828576554586812,-0.181527122758079,1.21471409099361,0.0957470061362813,0.276139677943148,0.0477961284180412,0.261744014275545,-0.17754302795781,0.0262366432413189,0.879022046166276,0.350270856994375,-1.03168113670261
"MRSA_Bs_1 (GE) - TPM",-0.364301856837773,-0.375728570805368,-0.313832280763536,-0.364477959028161,-0.114566700225843,-0.289396748745692,-0.167086672220487,-0.174247221224012,-0.217361585011744,-0.115009943370917,-0.151027773634516,-0.571491517826671,-0.405752832087177,-0.0273322797003813,0.049995162822282,-0.284300569203902,-0.32414060360144,-0.312505681568195,-0.437645167677272,-0.520418195780852,-0.185731450092843,-0.641836490367811,-0.440616161863758,-0.33327677968788,-0.308519530642833,-0.395242269673878,-0.227567430631434,-0.343928624243502,-0.522607557523282,-0.680911806914656,-0.46810455918539,-0.304434825239478,0.027615529115496,0.776531706811795,-0.453393769654698,0.118886725638684,-0.29089139129591,0.228973026418329,0.0858004605304694,-0.0461782097431628,-0.181078873607905,-0.0709521750902838,-0.258687233191785,-0.130812965110427,-0.335299817119481,0.0591676221578567,-0.745570347538075
"MRSA_Bs_2 (GE) - TPM",-0.394981674251502,-0.398570444690252,-0.348432143902156,-0.331248760340315,-0.154660351874073,-0.241939440950562,0.030036267577761,-0.243961980846455,-0.481540039665147,-0.0662482225421418,-0.203571347733571,-0.414874472091898,-0.379973034481751,-0.064907932877603,0.0695911100729071,-0.501300948850413,-0.26855509144162,-0.437840427578204,-0.438223431239374,-0.446684868419855,-0.135238793315864,-0.513822802703004,-0.325044512752845,-0.268595971074517,-0.456661997711007,-0.38056496144371,-0.0397700060013116,-0.417222310793283,-0.426089095535791,-0.818064495947504,-0.611085759024895,-0.447069823392725,0.978377535313486,-0.197837056141637,-0.338106851262631,0.0713447966135629,-0.394092626215352,0.0573075410690369,0.140473604854306,-0.229457197386401,-0.20580966981629,-0.0850581711159726,-0.329913029248899,-0.343676455433525,-0.122546853070941,0.159837070089932,-0.599824320009201
"MRSA_Bs_3 (GE) - TPM",-0.337618911047208,-0.34519243674999,-0.333846948580981,-0.311570644238494,-0.167743898310559,-0.236094944904108,-0.277031719496785,-0.174485062713303,-0.341229482968032,-0.117048151182245,-0.123521427376609,-0.492886680879152,-0.302831489793858,0.00233487671713355,0.112620321942448,-0.273924362140836,-0.174990611164533,-0.212089724117642,-0.269994594936018,-0.484083727747619,-0.289982669581281,-0.576304991597354,-0.381157850027268,-0.208371021630854,-0.325821328386048,-0.348529978790937,-0.201217121069942,-0.0717145000844155,-0.290647903765849,-0.783588876446036,-0.514929313397777,-0.365413638883841,0.777247603911415,-0.153180917541859,-0.365474929194954,-0.146805210038192,-0.186966120169178,0.228403844580931,0.267127239666216,0.0126059538065009,0.00927511612169907,0.0606411630880729,-0.211319712599788,-0.135332575560183,-0.365576280204159,0.029002211664486,-0.790863407844794
"MRSA_Ctrl_1 (GE) - TPM",-0.578041511658875,-0.559732648951939,-0.48740029863142,-0.575198113888488,-0.730594008092302,-0.60787777269418,-0.782734167520472,-0.601299964994856,-0.543451172132189,-0.903528636736554,-0.804283615888381,-1.0980994484986,-1.00512441272216,-0.626485694407972,-0.605805433155554,-1.06416212003051,-0.876551007167636,-0.736164854934201,-0.571168295449936,-0.660771496984216,-0.719085660837349,-0.756470489063206,-0.734876560990494,-0.803969874111799,-0.811358018767933,-0.746053990930842,-0.742464488941623,-0.482789699932086,1.06425447305969,1.15280316838054,1.70375711175446,2.04330666263984,0.141370091852295,-0.981032303619865,-0.163720384911037,-1.7180388162615,-0.840555456988348,-1.1820734391315,-0.461335149375816,-0.520718668617105,-0.47160956163503,-0.675247325921332,-0.376600576340053,-0.58001025570065,0.101990475611991,-0.0658682484622272,-0.537269108122233
"MRSA_Ctrl_2 (GE) - TPM",-0.598371878083833,-0.543824437738283,-0.560775594220491,-0.539928056788821,-0.649835103611307,-0.578866378449886,-0.785199269370352,-0.6467804023496,-0.644509198306524,-0.89064057270332,-0.382898495607616,-0.969169195356347,-0.96789037154836,-0.562075911473359,-0.570483771632237,-0.954163386309289,-0.86132431527607,-0.764842252444435,-0.614568262182874,-0.70789637746145,-0.825328233937104,-0.741845588416208,-0.747805908121033,-0.757185561969569,-0.809536017056669,-0.717549842630116,-0.645727078585485,-0.520452460646186,0.531151100373559,0.704230204660558,0.974561363556536,1.44476217643447,-0.361072134361448,0.78160534018762,-0.220556155812555,-1.4382709422178,-0.826315059460545,-1.04307077065168,-0.528084957560872,-0.591384122348952,-0.584287874386489,-0.609203689883553,-0.469186193424592,-0.605464123596457,-0.14547166204786,-0.350668919514118,-0.424307689395618
"MRSA_Ctrl_3 (GE) - TPM",-0.607690269610674,-0.559732648951939,-0.529934351224571,-0.54846946003527,-0.586572604188119,-0.642282959501195,-0.696295185814389,-0.680497942304291,-0.732315199311409,-0.914604517611012,-0.407887529724764,-0.852606224163969,-0.96048561540618,-0.600091615954761,-0.601916028643357,-1.09827234863509,-0.87328475937533,-0.797746690332488,-0.572301052897346,-0.686271587618226,-0.780819467630526,-0.642881906339004,-0.772998688953168,-0.757263505861812,-0.73768792930334,-0.679341632543031,-0.738121010241934,-0.714148491488828,0.644662824684111,0.777322556488567,1.34852424431683,1.27500137642357,0.638777246751731,-0.806398965338178,-0.153045215985223,-1.52904793751633,-0.846707056881506,-0.963343882509246,-0.616965046587637,-0.582521194702326,-0.56815725233316,-0.687326709495497,-0.379328609332132,-0.571779359967626,0.0490382900309677,-0.0532414956866826,-0.625389558612878
"MRSA_Li_1 (GE) - TPM",0.395027865539169,-0.159566576282195,0.0451965992310818,0.00234691458083319,0.0974487729456624,0.209028166385938,-0.167618539551138,-0.688294069054713,-0.596837197681995,-0.0180908954073291,-0.251261845471993,1.98085501144156,1.63281641572633,1.21336031209365,1.38162723229359,1.20092394115643,1.10093394442084,0.91409411993932,1.64268902375799,-0.169419497886514,0.429128821524474,-0.0542625481942112,0.0256657732443671,-0.0897519398302252,0.156927305036268,-0.0362156463319933,0.0521643143183983,-1.06548305665635,-0.914318991282263,-1.18579560762013,-0.899233743802415,-0.948247054781506,0.281296615925201,-0.981032303619865,0.37832024355927,-0.799491951273448,1.35800131772799,-0.519985722249231,-0.732271382856449,-0.601463299353171,-0.635198573485582,-0.631279509266736,-0.775975045700419,-0.676372081669397,-0.740003818289516,-0.698413921893018,0.559830091532253
