"","SAR_RS00290","SAR_RS00555","SAR_RS01365","SAR_RS01370","SAR_RS01605","SAR_RS01610","SAR_RS01615","SAR_RS01620","SAR_RS01625","SAR_RS01630","SAR_RS01720","SAR_RS01725","SAR_RS01730","SAR_RS01815","SAR_RS01900","SAR_RS01910","SAR_RS14840","SAR_RS01920","SAR_RS02005","SAR_RS02010","SAR_RS02015","SAR_RS02310","SAR_RS02595","SAR_RS02795","SAR_RS02870","SAR_RS02925","SAR_RS03050","SAR_RS03155","SAR_RS03380","SAR_RS04140","SAR_RS04145","SAR_RS04175","SAR_RS04390","SAR_RS04395","SAR_RS04595","SAR_RS04730","SAR_RS04750","SAR_RS04755","SAR_RS05070","SAR_RS05145","SAR_RS05395","SAR_RS05400","SAR_RS05405","SAR_RS05410","SAR_RS05505","SAR_RS05710","SAR_RS05880","SAR_RS06450","SAR_RS06470","SAR_RS06475","SAR_RS06885","SAR_RS06890","SAR_RS06920","SAR_RS06925","SAR_RS06955","SAR_RS15150","SAR_RS07030","SAR_RS07035","SAR_RS07130","SAR_RS07495","SAR_RS07610","SAR_RS07625","SAR_RS07950","SAR_RS08055","SAR_RS08060","SAR_RS08070","SAR_RS08120","SAR_RS08350","SAR_RS08705","SAR_RS09040","SAR_RS09045","SAR_RS09115","SAR_RS09165","SAR_RS09170","SAR_RS09565","SAR_RS09875","SAR_RS09880","SAR_RS10195","SAR_RS10525","SAR_RS11510","SAR_RS11530","SAR_RS11615","SAR_RS11795","SAR_RS11800","SAR_RS11805","SAR_RS11810","SAR_RS11815","SAR_RS11830","SAR_RS11835","SAR_RS11850","SAR_RS11855","SAR_RS12240","SAR_RS12385","SAR_RS12800","SAR_RS13275","SAR_RS13405","SAR_RS13410","SAR_RS13490","SAR_RS13660","SAR_RS13890","SAR_RS14170","SAR_RS14255","SAR_RS14560","SAR_RS14600"
"MRSA_As_1 (GE) - TPM",0.907439453752448,0.23202263636417,-0.0972057460036185,0.294385551283457,-0.84747613553524,-0.770055020898438,-0.782805076962223,-0.54468842911969,0.0965321788285182,0.0187576411605897,0.166739035387038,0.162480154957326,-0.00205184637785385,-0.460738974590149,-1.02439856925997,-0.39887132309667,-0.296353276478821,-0.960047069994794,-0.818148853353076,-0.687361167175193,-0.762874704258272,0.76854201852827,0.705098260173875,0.36797626216958,0.141575996136919,0.708230747713469,-0.251801215784614,-0.166666666666667,0.702408138826532,-0.628482629696525,-0.704253882423518,-0.0509915167639414,0.446564477014315,-0.057948179767405,1.19240997964953,0.30749266502613,-0.140095420204163,0.412033248961071,-0.485343485982077,-0.521174884713883,-0.253953806536779,-0.34864594427779,0.0542615731595455,-0.197391243585857,-0.00243546076957403,-0.146110934821925,0.0258576267494076,-0.335461231535832,0.750947500774558,0.231763932745669,-0.644890283817017,-0.294816505313146,0.50304089560332,0.291036854243671,-0.0387668808698688,-0.0196282417335311,-0.352151887682925,-0.307343889402679,-0.00818472262070908,0.145382087759093,-0.33172930591339,-0.341958965174749,-0.247183764292025,0.539798202160156,0.255690578311994,-0.937732848872719,0.118629863015891,-0.60999755176382,-0.663702980412967,-0.785082743698157,-1.22876356391736,0.419785070317901,0.259040484267455,-0.249299944109495,-0.653067485299675,0.239180200474326,0.18262793003868,-0.289699126501182,-0.379124209675787,-0.328996417299863,-0.512200586717811,-0.37787052354069,0.791808972434757,0.364617746516357,-0.711085751225054,-0.740495943949933,-1.04810366849458,0.342679331324736,0.602767313930848,-0.729529278872047,-1.03413811491703,0.809998092133213,0.484112949216057,-0.127103070185971,-0.0608901290860279,0.0199572397553786,0.423162472536052,-0.166666666666667,-0.409730650795572,0.079246204855414,0.655948748956568,0.673754661644477,0.282403874354592,-0.381546139984848
"MRSA_As_2 (GE) - TPM",0.831319471614187,0.366997750202903,0.00644385956623173,-0.244968261109565,-0.777895699789254,-0.444700301558558,-0.857453005188438,-0.163003600814981,-0.159840161694092,0.367956759084943,0.127408706559096,0.42407295976661,0.06513685149816,-0.144574834185539,-0.99603944342452,-0.338458750600102,-0.518255529834442,-0.782352393902193,-0.850570269454854,-0.673502812235142,-0.520137118446607,-0.124471455962274,0.467821082119664,0.714103326931799,0.271162636119139,0.906736618619811,-0.489484379144786,-0.166666666666667,0.639017498075337,-0.617307842907403,-0.704154892649671,-0.15203714361595,0.571884260106232,-0.38626729585049,0.122512317529441,0.705380330998486,0.0479914630915897,0.398650120789874,-0.686268944814129,-0.0880604103424058,-0.231410700171361,-0.260642328618067,-0.1771425239008,1.02807301137962,0.0767396363388961,-0.297453390221966,0.338563447370357,-0.299207427094989,0.92110104721449,0.397453142515223,-0.621980434311864,-0.294073027604967,-0.0604223011923048,0.310897690356605,0.191830861537707,-0.0335127029893634,-0.225905602921574,-0.218319044425598,0.252893639839112,0.11941610308954,-0.33172930591339,-0.302543610889956,-0.247183764292025,0.48529082612445,0.266672713171274,-1.02249981151402,-0.181965544728054,-0.573486382034995,-0.638896574087363,-0.991833186823238,-0.753896383695865,1.20603825982797,0.347943455014066,-0.517821839172583,-0.775291619875221,0.364568874810697,0.0164708407649115,-0.0557800906339761,-0.315667167766153,-0.328996417299863,-0.215621424680702,-0.390377892918262,0.501399786864081,0.475810131685376,-0.815512946973337,-0.592314317605336,-0.930156058412877,0.350669304020347,0.827071400578455,-0.611050847218915,-1.07308848640501,0.914953436022066,0.387806542567348,0.731756031828364,-0.137753013054737,0.574613732990249,0.173118480180274,-0.166666666666667,-0.216159481511322,0.140656583932778,0.676874097093852,0.685652172851014,0.351395219922964,-0.0984086698619044
"MRSA_As_3 (GE) - TPM",1.04675056485784,0.429184294730944,-0.145076513674543,0.315995448603998,-0.330007396337967,-0.757623585926261,-0.179412351434182,0.321929218521377,-0.00958101289002294,0.135332967898184,0.373020629697751,0.365250097523512,0.247413371309731,-0.0923815713705032,-1.12267355535685,-0.808960973514717,-0.602754362815045,-0.473209031145103,-0.763635376193937,-0.483376122370884,-0.62650868135366,0.767390434487821,0.652488986317537,0.0911899322862006,0.584796367168315,0.681122839761488,-0.325828060131985,-0.166666666666667,1.36986993000749,-0.5986856358624,-0.71765837387612,-0.152474487448629,0.373345919525286,-0.28868809819946,0.13471549963055,0.294307536375241,-0.1444787662866,0.582429770950023,-0.5488498370816,-0.562280298612259,-0.151910106577594,-0.305018778524125,0.0176656594075952,-0.469860415866989,0.00854547883118196,0.206538069961346,0.0369628651737348,-0.343011313002222,1.09494213237234,0.48851321115991,-0.74586320952804,-0.323337475429565,0.878347132493551,0.451745230173846,0.110045231293139,-0.133232836268055,-0.271034138208224,-0.25754334053346,0.395637568126664,0.581059433867423,-0.33172930591339,-0.361906793295874,-0.247183764292025,0.779368178411664,-0.102424265118625,-0.728679218821866,0.0864387408916319,-0.47635768122451,-0.434065703870663,-0.918994570744673,-0.999034891554305,0.833776997366504,0.412713790164835,-0.314521447682025,-0.851816087423317,0.523311797556612,0.677521506915886,0.195807648662677,-0.342387590797876,-0.328996417299863,-0.359410065623923,-0.378342498235748,1.38132390062911,0.862200635792756,-0.0776546990719288,-0.570055551726739,-0.91305581907328,0.566210653490501,0.528092748729853,-0.882320957261974,-1.18736168281773,0.975042720285931,0.526315909403634,-0.156999860501756,-0.147587692140881,0.0876138003055641,0.805120905434181,-0.166666666666667,-0.509624020226132,0.326471923979944,0.680897805787218,0.748456983688609,0.362473379865686,-0.0776408204914967
"MRSA_Bs_1 (GE) - TPM",-0.0341600265125587,0.0711019669403924,-0.131637894616105,0.305086177424504,-0.18101312238497,-0.468191788011252,0.0805870158467786,-0.905889233826844,-0.150466152394465,0.249135354576421,0.494373198819804,0.755774897357411,1.19542188335194,-0.412865913097473,0.0614007603143888,0.257595088226796,-0.188852510009098,-0.177620199335626,-0.622000508474832,-0.113652950781559,-0.0638361211241785,0.272255275181227,0.523820032129247,-0.278923449337127,1.39044660798167,0.18495662035081,-0.588642375956154,-0.166666666666667,0.531191713153562,-0.614215783242205,-0.643969695142082,0.591594627778625,0.43779970518753,0.554610028228772,0.761129019108319,0.521340051888654,-0.0840737880848433,0.131532387720658,-0.451427609719416,-0.434951155333107,-0.374628939300512,-0.464330508369762,-0.293732293622697,-0.442802445659847,0.189307254827262,0.321388775782434,0.457993416478326,0.00929152657674004,0.568050089823135,0.231516680417603,0.350744342229179,-0.29538485717196,0.330832861061534,0.0138188207797466,0.933312369009506,-0.363896395846197,-0.281134120491523,0.255790880477764,-0.0598765942140389,-0.0768606006930862,-0.33172930591339,-0.20830109566938,-0.247183764292025,-0.264883145429985,0.306414384979763,0.201213727848799,0.954224076341512,-0.374889748419855,0.952282583233178,-0.814482829982321,0.0838310928480682,-0.759438996334616,0.264442859706727,0.254869147219628,0.488119403857683,-0.137293663681143,0.262589232411943,-0.0637750733569208,-0.325676649381358,1.60668006000712,-0.192266679277726,-0.364679772631272,-0.163883299357818,0.119530579727169,-0.645494958422845,0.512128427952265,0.550045890165945,0.123802058549906,0.289203378890409,-0.694462694394756,-0.900518844113841,0.383108917183045,0.513861197059963,0.241559762046843,0.353121295273982,0.0979034031520381,0.0709961867778773,-0.166666666666667,0.328929333496348,-0.497017092539405,0.280218273923757,0.844309250436101,0.310280704127942,0.587941557204628
"MRSA_Bs_2 (GE) - TPM",0.327086407437624,-0.0546696267925565,-0.0482258877848355,0.392700102547688,-0.404519232765917,-0.0468626071002288,-0.632954236597894,-1.02019215544449,-0.679113781263078,0.739857226236695,1.55411821358347,2.07416636750371,3.35124434995937,-0.39750966181418,-0.188845040110857,0.118789384848144,-0.483563518745341,-0.0687140994327905,-0.502633934291239,0.234937570109035,0.361422429802165,0.779482616996968,0.2004190624577,-1.65929811559608,2.45301185997939,0.0249937788723046,-0.340032219979604,-0.166666666666667,0.705940258028383,-0.688745889388219,-0.768030434466902,0.640769184120858,0.284271681137843,1.28832187495792,1.37777404817294,0.369979233900628,-0.0373783505217354,0.0941922910608719,-0.0686242177137027,-0.121197459319757,-0.39504798474487,-0.360561322891657,-0.341932868583843,-0.698545951882285,1.13077346645403,0.322781641470002,1.24558284770243,0.0704653322003631,0.297144122714856,0.232770714108846,0.695527848407132,-0.255946743818289,-0.126593296237636,0.0265283690844967,1.12432217751379,0.732154640709156,-0.243121759164731,1.04681034872258,0.131074812009846,-0.147899881654423,-0.33172930591339,-0.0324657640720772,-0.247183764292025,0.405276945498038,0.24211060979607,0.322723349376573,2.03423067022291,0.0737707529445793,2.76430265682641,-0.661311943772674,-0.336917462952711,-1.20044225528728,0.316568905221048,0.91859559499598,1.22636032061611,-0.267175894290441,0.264949888799699,0.209856492205232,-0.237454932613639,-0.328996417299863,-0.237723339058601,-0.350219208411423,0.139754350894041,-0.0111291181081085,-0.722483791230462,0.489399888206641,0.682416295093937,-0.0353449557022517,0.171277149694524,-0.603503354220722,-0.478448799109757,0.323651029602824,0.6160342195853,0.827385493117564,0.762730549857777,-0.0131448440247997,-0.355551992747419,-0.166666666666667,0.954384632904983,-0.303298576234495,0.108148348260765,0.987098806995611,0.301859239776877,1.39127123081482
"MRSA_Bs_3 (GE) - TPM",0.0416864382242782,0.171074919566689,-0.0792466335909076,0.00628799878650702,-0.806618646417041,-0.639957772730819,-0.500051963422107,-0.912808968658999,-0.505841189268524,0.177930813520173,-0.00381592015550185,0.455047287823776,0.616842271367641,-0.37714872261851,-0.182886187844783,-0.0510838866409511,-0.363009330264819,-0.142239355532223,-0.658540011973953,-0.393379562044123,-0.0925992182418883,0.759432202548933,0.364993616750474,0.109350043517027,0.79025195495398,0.540177071985317,-0.474551230955184,-0.166666666666667,0.856383779405024,-0.736535509901473,-0.682225957134673,0.29928606872479,0.442195385415777,0.490723966770272,0.65653842324795,0.0867178964494655,-0.24859413426358,-0.0724050947318893,-0.228886967375791,-0.200381847228265,-0.293410813962625,-0.414524630972266,-0.291621054922666,0.326215148117315,0.155994762573989,0.30680994889613,1.0982635165444,-0.077222388611594,0.586620022369241,0.435567801231952,0.135510605326292,-0.245083030368588,0.0946925124864293,0.155006838830451,0.979344428588933,0.438264815310071,-0.289770466129725,-0.0104317685171902,0.0278051414247199,0.0333295266951749,1.31215489345601,-0.132465330332615,-0.247183764292025,0.228040600514253,0.401457773724903,-0.284512895954229,0.991764314682638,-0.539093776844733,0.401645246624078,-0.923095499332059,-0.187788005359223,-0.546597571778468,0.378042803522869,0.252447693395657,0.257154878431787,-0.00401701466012113,0.177996797846879,-0.00752580821317105,-0.336192709988153,-0.328996417299863,-0.0500832558144059,-0.369988392247964,0.153300105331877,0.357228420495774,-0.426878602276593,0.472795743750523,0.443753268108449,0.169366179666063,0.422386014071516,-0.679400230475315,-0.883185751545736,0.543719991933535,0.504913626291601,0.0534572398623813,0.322043536495604,0.241371275549634,0.275203843977612,-0.166666666666667,0.206919735852818,-0.370576150987822,0.0816520300915263,0.587735244023707,0.239357992097181,0.437382325240105
"MRSA_Ctrl_1 (GE) - TPM",-0.525379113817119,-0.662018930797761,-0.473436663546121,-1.11664403389156,-1.67956390306418,-1.59186043654914,-1.00271069350415,-0.45055078677145,-0.710372383168162,0.0804939015929786,-0.290394287603015,-0.734965888362103,-0.430859448174876,-0.455337517150796,0.837967722845722,-0.0110655456487468,0.891311397548908,-0.119849483482738,-0.464729827217179,-0.357109680249942,-0.682790083530397,-0.263187305845037,-0.543427223032757,0.159057196271749,-0.155907445713865,-0.41583127410272,-0.504237443121792,-0.166666666666667,-0.626488022580854,-0.762750225251448,-0.36528005172061,-0.819251948204299,-1.16536223909722,-0.249046797369778,-1.61999598207265,-0.852148817091178,0.0850640506546045,-0.154552803592202,-0.764034349197868,-0.301573482561637,-0.401025039264933,-0.251455507415156,-0.707517292695198,-0.675330223478668,-0.961318740623873,-0.602918251988538,-0.924937049347531,-0.347874622340869,-0.567460510473824,-0.37345583922721,-0.295371016585541,-0.304910797007605,-0.583261625536365,-0.708847584381135,-0.121592470755574,-0.201834258835393,-0.435346599857119,-0.550186761087718,-0.813961097243994,-0.246118011050799,-0.33172930591339,-0.407829750262576,-0.247183764292025,-0.457105174837116,-0.332024358174089,-0.755291277368441,-0.0843225901009444,-0.777785643190122,-0.519293706790044,0.568265568564251,-0.209668689130238,-0.646655700344828,-0.309993793150748,-0.627448958757116,-0.994243601401996,-0.361202980446871,-0.230394990416649,0.184064658085149,-0.392183197862931,-0.328996417299863,0.299166594579259,-0.230431405878989,-0.669290834055179,-0.447960173733037,-0.566538465054655,-0.398709661044838,-0.101014465194046,-0.675843009263963,-0.704547609354111,0.126790731069471,-0.194259823393406,0.0264252782677326,-0.544003547155207,0.919527572289566,-0.408428158030098,-0.524204184596333,-0.558367792200171,-0.166666666666667,-0.146857819856138,-0.172655164846767,-0.84053758926362,-0.0261186111342958,-0.440895253367721,-0.491553558324983
"MRSA_Ctrl_2 (GE) - TPM",-0.635971710448478,-0.604593631873856,-0.469692866633204,-1.07764025734672,-1.11730918750003,-0.870060803675077,-1.50093042522374,-1.02048069996593,-0.767953440911808,0.584886643532258,-0.478900850365832,-0.507510576302833,-0.457728370010323,-0.370002987866608,1.03643045628169,0.282929192000078,0.492523326656237,-0.135714689513365,-0.40824522525474,-0.626099390881779,-0.610600863282459,-0.821912031035396,-0.308162294943303,0.646228107211133,0.145940053459924,-0.473829711839329,-0.4326900010716,-0.166666666666667,-0.749273267228202,-0.759518435594908,-0.377627825982262,-0.688377171882447,-1.07969195081594,-0.634872834472419,-1.06890989354682,-1.09685140150695,0.0989455366358325,-0.376099543161486,-0.527601055869625,-0.229287114015746,-0.348230573375275,-0.299000090192664,-0.358792155508556,-0.5668074191633,-0.961241773079651,0.160368396638091,-0.555476574062989,-0.208561570438811,-0.623216021301655,-0.816477812884985,-0.226425618790363,-0.312831496076511,-0.758393539720555,-0.63058401289424,-0.253534827765976,-0.608012626205233,-0.393971104075329,-0.533647483536947,-0.783926004446977,-0.207076457814735,-0.33172930591339,-0.261464900681115,-0.247183764292025,-0.615644629614739,-0.470964003052441,-1.03191867259827,-0.146289937014902,-0.683663216731906,-0.613307397271448,-0.367078991919057,-0.305596544715203,-0.856109916650327,-0.285779638564364,-0.694540754616398,-1.01020709896374,-0.39871568205796,-0.593428294760371,-0.208002175780707,-0.34691415088236,-0.328996417299863,0.351207511315559,-0.24163312465022,-1.09758030946857,-0.805290012890734,-0.718201626771278,-0.309209254954302,-0.226705122620536,-0.503480675040579,-0.691351274002635,0.0610951249518851,-0.000593352981069505,-0.254173117702322,-0.5411341231039,1.15769555796029,-0.270014314555368,-0.498969849157902,-0.524708094447827,-0.166666666666667,-0.38540015819497,-0.544126562524744,-0.827183587921726,-0.0589390815873984,-0.481913481871884,-0.599964010201072
"MRSA_Ctrl_3 (GE) - TPM",-0.439133227546339,-0.654819751198179,-0.453559901811896,-0.921871887785782,-1.80234808258999,-0.558029850082087,-1.12635262808836,-1.17291777723346,-0.941440148611378,0.278815457154605,-0.353236546279519,-0.392051890002039,-0.489996989966991,-0.472617861412169,1.07301020437647,-0.0262105392786178,0.0297736551127415,-0.220060999186441,-0.417540811041603,-0.572256346123353,-0.667990890730389,-0.520918016122497,-0.451663430304391,0.506851916587713,0.0761330520888837,-0.260593624276237,-0.316987929515221,-0.166666666666667,-0.722351570389988,-0.75487628823837,-0.444650007694014,-0.737584514965532,-0.993887505802951,-0.808078008058726,-1.28441418916264,-1.30625578442141,-0.00176464770330016,0.162225369223054,-0.535016167319317,-0.46638288626056,-0.359827550144333,-0.250386924238742,-0.448109338228914,-0.665397981044289,-0.69961910299065,-0.529749340316494,-0.693791032214389,-0.281387290931252,-0.618104792539965,-0.706629887727638,-0.148096768968674,-0.316947858672908,-0.547323594767528,-0.615657394979248,-0.39339569334885,-0.540949018397438,-0.366974032603486,-0.46302134396733,-0.714929133382987,-0.0523128045739284,-0.33172930591339,-0.531713294781314,-0.247183764292025,-0.509671271492001,-0.218854223842333,-0.975300325926607,-0.285056180889308,-0.770198684889707,-0.71687977691008,-0.131729355580886,-0.059604923131676,-0.524396977366209,-0.256462847275409,-0.552947078917677,-1.06042093620966,-0.236875171344818,-0.212722653463697,-0.256964731072342,-0.282196046468973,-0.328996417299863,0.464679522118869,-0.189932110746492,-0.920346592362543,-0.642533343458898,-0.62900849310953,-0.376209442301168,-0.0811802313457638,-0.553818282437233,-0.782232265010942,0.0131683612021224,0.00953275738583792,-0.171830415335447,-0.534001506282424,0.968689008859027,-0.373536835430828,-0.381499716156028,-0.534334590382736,-0.166666666666667,-0.156582455776465,-0.531499808361746,-0.900604611230218,0.166490000002985,-0.456486605580773,-0.638839786659329
"MRSA_Li_1 (GE) - TPM",-0.467706318071956,0.25132348702249,0.119533828996318,-0.534327376152956,-0.257351603830907,-0.977472411698008,-0.791112556026251,-0.439750259112248,-0.511284359880174,-0.979251926518659,-0.239289944449203,0.0224846832001389,-0.354345312809887,-0.0499998819721356,1.08998469178614,0.233153487415207,0.0409399910329737,0.00758966810976279,0.926999849256754,0.874819192433656,-0.180366372872914,1.2309160687815,-0.212365681454268,-0.447741301012889,-0.213449702197257,0.236136580344641,0.321386552857953,-0.166666666666667,-0.0372983524719399,-0.821132241675425,-0.604732186568936,-0.565840452078415,0.262738971034993,-0.239454735870431,-0.747374667832415,-0.398095098972126,0.236141124196489,0.0658231124459607,-0.451650343476992,-0.562361476305254,-0.629564164239758,-0.492303039284079,-1.2449211770859,-1.01965712607872,-0.335439796665612,-0.217563782372368,-0.670654759572182,-0.279802260357907,-0.429979671023288,-0.519038342952571,-0.110122534412292,-0.295294562426386,-0.410526361466923,-0.516712192905093,0.163425923062987,-0.59384143298082,-0.417026211919372,-0.473956810515023,-0.14364000106866,0.278527834974261,-0.33172930591339,0.335765037725325,-0.247183764292025,-0.708825187209388,-0.685981391627719,-0.562980552791593,-0.0116764613312007,0.0175400177007048,0.0851431411338897,-0.0157654388974494,0.284086507947157,-0.623673064595805,-0.144648393470674,-0.0297455377492535,-0.75462381706451,-0.407292623291577,-0.0718743116300968,0.385279123356095,-0.246816335158077,-0.328996417299863,0.423850308737546,-0.226550901120549,-0.102059259055468,-0.110209967585059,-0.500346281071021,-0.148759078655867,-0.376740156933835,0.211043671612795,-0.145218237577291,0.166800800890745,0.0462331406264565,0.281012777965629,0.213320626008528,-0.411265180652913,0.139025845784748,-0.50805732435829,-0.723095337335327,-0.166666666666667,0.0647396277200324,0.24810572433226,-0.508970058039979,-0.103086753393486,-0.242530663700376,-0.0851344836220069
