"","SAS_RS01975","SAS_RS05325","SAS_RS05330","SAS_RS05335","SAS_RS05340","SAS_RS06020","SAS_RS06025","SAS_RS06030","SAS_RS06035","SAS_RS06040","SAS_RS06045","SAS_RS06050","SAS_RS06055","SAS_RS09010","SAS_RS10880","SAS_RS13930","SAS_RS14035"
"MSSA_As_1 (GE) - TPM",-1.11816171106584,-0.586724811558649,-0.669777412588444,-0.881765749085136,-0.133810277163015,-0.923927291149801,-1.079426591649,-0.979381860707428,-0.980436253018231,-0.913260624437315,-0.739120099482099,-0.797538316638742,-0.187753122480355,0.602676524062165,0.534926545971613,0.266634678557269,-1.33137277326567
"MSSA_As_2 (GE) - TPM",-0.524781676022681,-0.696895958655751,-0.372678309684071,-0.932721864444673,-0.738842694334513,-0.824438974230004,-0.861266175532338,-0.898584880446391,-0.918674790716137,-0.894693502201668,-0.891229318138693,-0.518957586513298,-0.477589555718252,0.508647191733548,0.945029630568803,-1.05424965608659,-0.981351196870106
"MSSA_As_3 (GE) - TPM",-0.715415807290229,-0.392328428404582,0.0858620300188685,-0.852782012793879,-0.0681549615607899,-0.00157395985229435,-0.449183885604158,-0.538817379801125,-0.565840955062449,-0.365272963676167,-0.67928806700689,-0.461438582107367,0.663764734896716,0.246259560071288,0.57815800200426,-1.08466160434261,-0.869435407123084
"MSSA_Bs_1 (GE) - TPM",1.67804599393271,-0.514206686042089,-0.711640866912225,-0.803160578165442,-0.379702999712868,-0.889007679865297,-0.96305677212461,-0.9435792437947,-0.896487612356994,-0.76027228576255,-0.628663023406511,-0.643575662002956,-0.748897133137381,0.312546330637886,-0.0738791255900957,-0.351794632272196,-1.12076186947986
"MSSA_Bs_2 (GE) - TPM",3.1264555706716,-0.389235201472203,-0.645065584498726,-0.827056321624656,-0.660320513790757,-0.597706549178045,-0.749637877134672,-0.831322567788964,-0.821744965949304,-0.865768147472062,-0.623706116123115,-0.821364796556641,-0.67284554417925,0.63875508612648,-0.141244300763919,-0.34648807328618,-0.455546862255413
"MSSA_Bs_3 (GE) - TPM",0.578441675663016,-0.693991524908927,-0.346802450405177,-0.448709276876238,-0.557588452042097,-0.125510030068777,-0.524052881530884,-0.576586717003555,-0.261791474117884,-0.29470092762707,-0.128818506528962,-0.169355601208733,-0.724614279062676,1.58616194010517,-0.0463042033879075,-0.730918812335779,-0.240647754549692
"MSSA_Ctrl_1 (GE) - TPM",-1.34405237293418,0.989230457886347,0.754838818712945,0.38015431884172,0.319711346560401,1.94049609545678,1.49892400554188,1.8360990887109,1.88097690618813,2.00600701517141,1.93936551971492,1.10004757478076,0.560026111113882,0.086607359021905,0.570566003445419,0.551637536414902,0.968397538202989
"MSSA_Ctrl_2 (GE) - TPM",-1.60676071244472,1.04041193824169,0.464313601405881,0.144389240228884,0.250318506895016,1.22542676815349,1.07000436051245,1.6918656988351,1.62013638878698,1.6397501861521,1.04468325908676,1.2206799199958,1.86405075812987,0.78403408678517,0.407094507705433,-1.14019146225164,0.956025474728262
"MSSA_Ctrl_3 (GE) - TPM",-1.28812928868093,0.628456786139476,0.391104286289611,0.574072149657202,-0.208293385226967,1.48200226054946,1.40079564896959,1.61632404765059,1.8295918744138,1.68360049082055,1.96518086926414,1.26381679361641,0.769344299176822,0.468771233759988,0.245729863352638,-0.512855763662554,1.27850689316711
"MSSA_Li_1 (GE) - TPM",0.753356025043755,0.0285862733604844,-0.342793426146517,-0.353706819754703,-0.496789543943851,-0.95847304271172,-0.63301299015723,-0.834627022463812,-0.717175606466807,-0.797299856866466,-0.714072128211412,-0.859119381214833,-0.489085797709371,-1.11491745195319,-0.865978065318398,0.23562265634528,-1.4968013094377
"MSSA_Li_2 (GE) - TPM",0.371419769020603,-0.411081720815376,-0.842703666435583,-0.768807085829918,-0.807592835615586,-0.654086215969887,-0.448500171649244,-0.817801964421357,-0.719270348431977,-0.508964863660084,-0.556776226971052,-0.666850752736732,-1.04302722281183,-1.40616185390392,-0.746989140062305,-0.711389211284371,-1.51421761461509
"MSSA_Li_3 (GE) - TPM",-0.486965292535453,-0.134294615612937,-1.38516095594181,-0.721935035664403,-1.29603214796128,-0.671537400182297,-0.843730421603145,-0.620051140604087,-0.920488948524261,-0.769216004291275,-1.02721684613648,-0.792234905542508,-0.569485512171808,-1.11163767519565,-0.77393182161868,-0.0320396163741994,-1.37990822261145
"MSSA_Mig_1 (GE) - TPM",1.16342311001132,-1.20539252093633,-1.22433976606238,-0.887406470349937,-0.859469856490503,-0.863938739824855,-0.774790419865993,-0.965237869986384,-1.1490983446653,-0.988255267042367,-1.17168642041176,-1.13087378922541,-1.0246306243463,-1.07107630305113,-1.2642412082857,-1.17789203632136,-0.630092270176543
"MSSA_Mig_2 (GE) - TPM",0.993123258543207,-1.35493489471964,-0.946208007799121,-0.798319012548466,-1.04911497344981,-1.17334919933847,-1.11462750738083,-1.03318532994205,-1.1425622968203,-1.15376165914073,-1.08361219830233,-1.05831414281403,-1.04058194293286,-1.26496743888107,-1.68947172683973,-1.00398999115326,-0.895111703616246
"MSSA_Mig_3 (GE) - TPM",1.84446977238372,-1.00479656268594,-0.744619190518483,-0.908819255965049,-0.928092624626933,-0.424784843099094,-0.469627023448753,-0.711082111025884,-0.688766702377066,-0.632026229380926,-0.932255951242395,-0.911463081163767,-1.00471647001084,-1.16467229808576,-1.49415973204824,-0.449022845659254,-1.13336949704527
"MSSA_Nd_1 (GE) - TPM",-0.466216791946455,-0.452938529459667,-1.33565307539847,-0.0213300187922201,-0.00293357619413141,-0.311071174856755,-0.24768704235728,0.101793006434929,0.0832144505618441,-0.0358917905041271,-0.167200997844769,-0.276513568938024,-0.570523035492264,-1.28765533608116,-0.648119476256281,-0.617151596610268,0.0612532860108529
"MSSA_Nd_2 (GE) - TPM",-0.565355763092606,-0.0243854505761311,-0.299082757913548,0.961871478902021,0.948373512081847,0.371812170780471,0.997765438997596,1.45491014487513,1.67126874127615,1.26839592342653,0.702357951656477,0.855464203625268,0.974963377793387,-1.46898490932975,-1.17302057734543,0.446647785028862,1.59813780925522
"MSSA_Nd_3 (GE) - TPM",-0.883322867793176,0.0556578680881269,0.285138246781756,-0.47217971092454,-0.166450454085772,-0.107141829214978,0.232541261200834,0.308144508923483,0.26713107863355,0.292853318012951,0.110424853171032,-0.32281843755134,0.00360590562495831,-1.01849538548377,-0.875662500488688,-0.254385494505235,1.757677819294
"MSSA_Ns_1 (GE) - TPM",1.58152288576997,0.413012554929831,0.384444438671731,0.493291469001064,0.513205809392847,-1.29757363847663,-1.11928150472733,-1.25104086617498,-1.28052137589192,-1.32218122505215,-1.07133288929739,-1.05331903681627,-1.38616020234492,-1.27792341518396,0.323441790087452,0.605802668846913,-0.380465709965583
"MSSA_Ns_2 (GE) - TPM",0.315751573108375,0.268026860736126,0.318083145368839,0.875338245689809,0.010388931602149,-1.26827963628457,-1.10832153299243,-1.08995616960659,-1.02647195492114,-1.11819851688337,0.0144063810997083,-0.680549823275824,-0.860641966990002,-0.273640808619488,0.939739362555129,0.404016721890353,0.0858504971858775
"MSSA_Ns_3 (GE) - TPM",-0.27276543733174,0.217349430708742,2.16142343948174,0.537785817715702,0.556854139355512,-1.16222254719141,-1.01479865837614,-0.921467101781572,-0.927747933700382,-0.830331548165272,-0.297980873249521,0.266814162892493,-0.168278692555556,0.0797744560337027,1.09507570775752,-0.594342459004844,0.0179081274538588
