"","SAS_RS00045","SAS_RS01030","SAS_RS01300","SAS_RS01455","SAS_RS02655","SAS_RS02660","SAS_RS02665","SAS_RS02670","SAS_RS04125","SAS_RS04175","SAS_RS04180","SAS_RS06945","SAS_RS06950","SAS_RS09760","SAS_RS09790","SAS_RS11465","SAS_RS11470","SAS_RS12375","SAS_RS14885","SAS_RS12390","SAS_RS12395","SAS_RS12400","SAS_RS12405","SAS_RS12410","SAS_RS12415","SAS_RS12420","SAS_RS12425","SAS_RS12430","SAS_RS12435","SAS_RS12440","SAS_RS14905","SAS_RS14055"
"MSSA_As_1 (GE) - TPM",-0.566272342815166,-0.404626096091856,0.427084053058057,-1.19227481504414,-1.18443055306471,-1.07956928200808,-1.78580119309094,-1.18967814998681,-1.03839557096543,0.261494382969828,-0.847874014735688,-0.262786490403648,-0.660389282633544,-0.311148893014921,-0.313416726770438,-0.74251942978568,-0.733125436567334,-0.815062320078807,-0.194672243174046,-0.891279011677954,-1.09396838233854,-1.0218296758037,-0.999012078889509,-0.872708374326411,-0.897212827126304,-0.774824431141787,-0.870917531168047,-0.861358094339729,-0.800415127337796,-0.751273519835126,-0.314258304552552,-0.225255080288636
"MSSA_As_2 (GE) - TPM",-0.44079890559156,-1.14380153732801,1.02917793091352,-1.24927661202795,-0.91729395757649,-0.49206456240325,-1.06043459965994,-1.0432385192868,-0.899358290642822,0.163917740241906,-1.01756544223163,-0.863022943412954,0.677286166921283,-0.275097796484806,-0.698220330321155,-0.841679993940326,-0.428803502452239,-0.818057684816421,0.0117166619577202,-0.803697837273674,-1.06163209834754,-1.02566386552076,-0.94879132182298,-0.869461698363862,-0.895068195534859,-0.76896328772651,-0.868816949080449,-0.8637193186135,-0.797591657527899,-0.748900945566515,-0.314258304552552,-0.614432373296203
"MSSA_As_3 (GE) - TPM",-0.670657464592465,0.50664452432725,0.522357066484289,-0.889496584893747,-1.59983527270906,-1.44516077333967,-0.953661289350581,-1.44398719948414,-1.11724087984134,0.589546101618855,-0.695643152386032,-0.548640304957219,-0.51944126034904,-0.338309646013269,-1.01681256230102,-0.771193965023255,-0.717620928521158,-0.806836772919724,-0.254740820809744,-0.92192587008895,-1.10232914062912,-1.05545966511675,-0.966134032644322,-0.863030434374866,-0.890230543188383,-0.766853480986548,-0.868495899369782,-0.844185614967174,-0.79897265530755,-0.753760201987044,-0.314258304552552,0.44282707883289
"MSSA_Bs_1 (GE) - TPM",-0.575735862879317,-0.964238100686663,1.10670884275639,-1.24561938952321,-0.820219525731114,-0.326956556713907,-0.945332599192433,-0.842855917006563,-1.05482062012811,0.90574919604236,-0.451200795358418,-0.360791773407659,0.142098765272004,-0.705273696513338,-0.505283739020544,-0.623522975084447,-0.515992749663102,-0.820668757666168,-0.621162568665605,-1.06869493367069,-1.13627289959661,-1.13666148260116,-1.01239140762068,-0.868558524944026,-0.888365594174873,-0.774004779758058,-0.868635334388852,-0.860475314036277,-0.797623511406513,-0.759394432971106,-0.314258304552552,-0.492693440272052
"MSSA_Bs_2 (GE) - TPM",-0.565733318989667,-0.887588487815241,0.751462437849775,-1.13836922982282,-0.312359638256039,-0.825616488730385,-1.0485030463718,-0.605052135228646,-0.920556943790295,0.492546513218442,-0.435556551926203,-0.470543433922486,-0.508293617027554,-0.808159234448229,-0.275041420666476,-0.689421685491537,-0.623346958294393,-0.817914939513572,0.111744637541338,-1.0380192029114,-1.14145021463159,-1.07635247697554,-1.00279795906155,-0.841534003995585,-0.904761109843266,-0.777051334228052,-0.87270594739921,-0.849559337440126,-0.798604364228258,-0.765912626054675,-0.314258304552552,-0.891905429878951
"MSSA_Bs_3 (GE) - TPM",-0.326888839969794,-0.377970613033646,0.0119130826041841,-1.14592689312467,-0.181851791146706,-0.440369073027822,-0.432895458662149,-0.319576120433327,-1.12021726219562,0.561401301818942,-0.523902427405223,-0.567967135884015,-0.869677908388064,-0.762788839819764,-0.737782491370064,-0.791561815280893,-0.615699954158021,-0.814449674747089,0.0388412262046349,-1.02028486883952,-1.10854905399252,-1.12249542039832,-0.981869155475266,-0.858397202392775,-0.901536467856371,-0.772825640388376,-0.871845188177598,-0.868061820354071,-0.798326758921141,-0.762536886388992,-0.314258304552552,-0.710139781093737
"MSSA_Ctrl_1 (GE) - TPM",0.914020937762756,0.318349532123708,-1.39032446628421,1.19035621190513,0.489247020908817,-0.465777678287095,-0.255156019280925,0.754515587076673,0.735997358247678,1.699211871029,1.22678494060581,0.692205306455397,0.836922810382192,0.304341100688996,1.66360523795035,0.314522230163701,0.23874678739497,1.97676883919477,-0.420620802910017,0.965618695584412,1.63484239366126,1.44440472108608,2.0177333580338,1.56929059676672,1.60039874707741,1.90274750874023,1.46105519019875,0.915931334647779,1.51754936528284,1.67713569559689,-0.314258304552552,1.30470590535135
"MSSA_Ctrl_2 (GE) - TPM",1.12848846279414,1.70071875631089,-1.68362281023496,0.394564522937546,0.214990284876854,1.09412027841669,-0.136743334958709,1.55033716204725,0.370314680969297,1.76371930182536,1.21362973089259,0.0617389467174917,0.685298237907923,1.20246253064476,1.60125184403638,0.538973049684129,0.412468734048548,1.854423540862,-0.0547679236184738,1.53948267433676,1.28951957037347,1.42800014806345,1.34605994612658,1.67456626006978,1.59657493692981,1.80896089140387,1.78908791068899,1.54267924628577,1.61602264127795,1.36279487830027,-0.314258304552552,0.76168865608748
"MSSA_Ctrl_3 (GE) - TPM",0.914377900599709,0.672755250877684,-1.28159815206978,0.815493729334125,0.41754625376327,1.09669270174158,0.300535705428722,1.29696699178909,0.792779851605201,2.01273625413919,2.15442481721674,1.20778370971288,2.26992749861284,0.859616920536314,1.809363691001,0.492539845939419,0.33281730658014,1.80238244557807,0.339509449161287,1.61905924348128,1.42003835781445,1.74043258237927,1.73533902111456,1.61406667720532,1.63645078918402,1.94496751377817,1.61671079325662,1.47080782572632,1.67966130628326,1.56501383831428,1.48910360081618,0.847230614425488
"MSSA_Li_1 (GE) - TPM",-0.0694929316044975,0.38169413797987,0.607841360722495,-0.201881441335191,0.298774707653916,0.596692171239284,0.755208036953854,0.766294467886844,0.146724340685805,-0.983928728439525,-0.829190949231493,-0.317210664825478,1.09754274244844,0.419232924376846,1.01815493316133,-0.557556718427865,-0.741294809713422,-0.791975411743934,-0.2496793737112,-0.734768899807798,-0.88907627387573,-0.941716103374614,-0.931295492215009,-0.864363916078029,-0.891286011359971,-0.754782850541669,-0.833867995920516,-0.826186512856151,-0.747998831488128,-0.713493176471118,-0.314258304552552,0.780204171290003
