"","SAS_RS00425","SAS_RS00605","SAS_RS00685","SAS_RS00980","SAS_RS00985","SAS_RS00990","SAS_RS01240","SAS_RS01255","SAS_RS02130","SAS_RS02270","SAS_RS02690","SAS_RS02695","SAS_RS02700","SAS_RS02705","SAS_RS02720","SAS_RS02730","SAS_RS02735","SAS_RS02740","SAS_RS02745","SAS_RS02825","SAS_RS02850","SAS_RS03040","SAS_RS03200","SAS_RS03500","SAS_RS03505","SAS_RS03510","SAS_RS03935","SAS_RS04010","SAS_RS04090","SAS_RS04235","SAS_RS04245","SAS_RS04250","SAS_RS04280","SAS_RS04640","SAS_RS04645","SAS_RS04650","SAS_RS04780","SAS_RS04875","SAS_RS05085","SAS_RS14550","SAS_RS05165","SAS_RS05385","SAS_RS05390","SAS_RS05495","SAS_RS05625","SAS_RS05685","SAS_RS05800","SAS_RS05925","SAS_RS06180","SAS_RS06190","SAS_RS06210","SAS_RS06235","SAS_RS06245","SAS_RS06320","SAS_RS06410","SAS_RS06550","SAS_RS06670","SAS_RS06985","SAS_RS07115","SAS_RS07560","SAS_RS07575","SAS_RS07595","SAS_RS07690","SAS_RS07695","SAS_RS07715","SAS_RS07800","SAS_RS08355","SAS_RS08600","SAS_RS08660","SAS_RS14690","SAS_RS08670","SAS_RS08750","SAS_RS08995","SAS_RS09095","SAS_RS10285","SAS_RS10295","SAS_RS10365","SAS_RS10505","SAS_RS10715","SAS_RS11000","SAS_RS11080","SAS_RS11260","SAS_RS11510","SAS_RS11515","SAS_RS11520","SAS_RS11525","SAS_RS11535","SAS_RS11540","SAS_RS11545","SAS_RS11550","SAS_RS11555","SAS_RS11560","SAS_RS11565","SAS_RS11570","SAS_RS11575","SAS_RS11580","SAS_RS11585","SAS_RS11590","SAS_RS11595","SAS_RS11600","SAS_RS11605","SAS_RS11610","SAS_RS11615","SAS_RS11620","SAS_RS11625","SAS_RS11630","SAS_RS11635","SAS_RS11640","SAS_RS11645","SAS_RS11675","SAS_RS12215","SAS_RS12255","SAS_RS12330","SAS_RS12570","SAS_RS12660","SAS_RS12690","SAS_RS12900","SAS_RS13070","SAS_RS13085","SAS_RS13185","SAS_RS13240","SAS_RS13295","SAS_RS13675","SAS_RS13760","SAS_RS13775","SAS_RS13780","SAS_RS14205","SAS_RS14210","SAS_RS14215"
"MSSA_As_1 (GE) - TPM",0.108528622462017,-0.600160718500065,-0.196869900321782,-0.625884693474787,-0.756374493233116,-0.862442781920753,1.55524061220186,1.13359881911014,0.371624140712504,0.726303380354869,1.3103332259651,1.00976304183498,1.34953714942443,1.04896358554726,0.859159307655074,1.17810308364994,1.06224894285821,0.374159672541505,-0.479432795566322,0.214300365659573,-0.190391415977365,-0.483936157178111,-0.0163801262547974,-0.929725465113632,0.308195215849475,0.543274179504198,0.268130917227034,0.40137024516677,1.04770077117236,-0.119710663399216,0.438630866573417,-0.278098034632491,0.120828871732358,0.418302125358773,0.589630636562654,0.809305237663924,-1.21536094408702,-0.727099862209103,-0.0174570775675712,2.8403209678434,0.884631735020158,-0.646655145737457,-0.337663578684856,1.00276503133209,1.78495457164043,0.509853017457099,0.483788898329311,0.00863821437058121,0.312348731211441,1.06262371040656,0.860715754615868,1.43401095882175,0.322382059143132,1.45203164086981,1.3108040688829,0.561455817245356,-0.477085475159362,0.993749527203865,0.00963656865192574,-0.572334190299867,1.09938864750866,-1.03174324156309,-0.600350711982468,0.176518447910724,-0.915460075790808,0.573105127603681,1.77402283947587,-0.849571149379169,-0.834815392932416,0.882134657760921,0.627807718864711,0.822909365256214,0.327596476091671,-0.732377787845599,-1.07094308319337,-0.915831576365496,-0.53393317626852,0.27830245611142,-1.03996264196737,0.981374943853956,-0.797722900382862,-0.387222864624068,0.35536062214757,0.351440980044538,0.286574558080891,0.485417248278059,0.229345457324686,0.659753009768429,0.30169599919836,0.477956742815121,0.218369122562493,0.572932314654992,0.339041072556014,0.631270893844018,0.536477803991413,-0.169842467809414,0.459761903775783,0.258614634063892,0.450868826636539,0.57579130074365,0.790434582716164,0.666875651998524,0.714055390475229,0.672810077622838,1.06212702846572,1.08436239970707,1.27414874608887,1.26313551708743,1.56261714032685,0.64181755277747,1.41801036235863,-0.453681610244074,1.81901935807327,0.490190215618236,0.577034277270733,0.677144311857787,-0.977157138608337,-0.21803868044778,-0.403651004080128,-0.0599677264060249,0.107196364127464,-0.843517226173018,0.920276973903498,-1.37831333397981,-0.43576657629105,-0.631981529709688,-0.495314834266914,-0.526390513950905,-0.235136540215871
"MSSA_As_2 (GE) - TPM",1.05322767514352,-0.18351630247594,0.35864777129132,-0.428057648526987,-0.136924737652811,-0.332478577216108,1.65466373532812,1.78569947893789,0.41854352666362,0.484525455308179,0.862534011885748,1.07248122501524,0.994224798353932,0.634522680293366,0.629420848236032,1.04523326580539,0.836728175999563,0.330206966309673,-0.122531263289607,0.856023008671057,-0.0380958500172592,-0.814579623140414,0.544544439137103,-0.519131114816391,0.372100827224116,1.65497513410687,1.35641808812281,-0.119722735789317,0.894736806438878,-0.00587289673421083,0.423700415135474,-0.811723667862377,0.375253911866382,0.827522048456088,0.945138875361742,1.57714012674987,-0.842806985263348,-0.928036482122913,0.459786247409703,1.92816713950543,1.42193384036239,-0.336934430646552,-0.212127328013114,0.381772716074472,1.55034001957121,0.279248351527752,1.10175985809494,0.103899683097934,0.0703543585380664,0.154628753936577,-0.0230812883864751,1.03172569713452,0.345143591271411,1.4454891865724,0.65560616272924,0.262387992979643,-0.052556773941493,1.84255530256353,0.106276470203598,-0.684939050077698,1.44334047195411,-0.943386257002299,-0.587085394080894,-0.350099866591432,-1.0774868696626,0.411795527775986,0.926995831269489,0.390179909534661,-0.534465246982104,2.08083720946046,0.755002680941108,0.584880299318521,0.162347589294188,-0.396561415707754,-0.713512900249561,-1.39884826038542,-0.18473571523719,0.24488827296218,-0.934256491215527,0.956916568978526,-0.653034008152717,-0.358913557207331,0.0980879266201579,0.107854498836363,-0.163455544177898,0.062421261711478,0.513629897701083,0.175086543799958,0.145484774143517,0.286259827605366,0.190320155857544,0.212738271500321,0.165089846312705,0.296575235262672,0.204373907932778,-0.27182795679895,0.419343985113397,0.0999269513209979,0.300601439653259,0.411639056690883,0.435198948803962,0.501525850063147,0.447046327978317,0.594615625852391,0.258854003777291,0.706026710743646,0.499343959537155,0.96624117265072,1.24629583525195,0.998570728605961,1.28988684914314,-0.706474194855699,1.45275183853975,-0.105972733878598,-0.29698794428423,1.42062052508613,-0.484370474500084,-0.258709876823596,-0.167435006759435,0.0128977821759295,0.507737594317442,-0.649533434114786,0.209396955786375,-1.16761098126003,0.0768047685745332,0.110145090228364,-0.511152702807487,-0.490085274109786,-0.141158307701567
"MSSA_As_3 (GE) - TPM",0.52192953324322,-0.6036347975483,1.75053184613888,-0.915745747106904,-0.788352350409102,-0.771849599562436,1.21337338952042,1.13679338323795,-0.264726228398566,0.198594676913145,1.05223668610724,1.06473712664315,1.05507641967505,0.776506886926869,0.781494561831225,1.50660108989437,0.852802289939644,0.439771153619556,-0.133596077527268,0.917002059171089,-0.606262750089153,0.236220197245733,0.363465428039468,-0.653940078093516,0.421045277305548,1.03153761958095,-0.155697940134873,0.681537878446796,1.37689706677928,0.157397666169185,-0.0326947589622671,0.696631309250405,0.0417251822930497,-0.497664653747741,0.51757727479962,1.76170505226773,-0.893325873257848,-0.287704944584462,0.199903235519799,1.13870709257436,0.850756562778658,-0.314135314471038,-0.408921458069207,0.414177968214985,0.897576343382712,0.269728328877119,0.921948421254767,-0.29125027595898,0.363200541195977,0.221911251221576,-0.386472942475433,1.00820793302531,0.296471144003682,1.22775373383983,0.885342498247441,0.933617821243904,-0.551212334484174,1.72359724514606,0.299315928105507,-0.0113074846418268,1.60028460845749,-0.890381451348929,-0.786353928781584,-0.832917423723246,-0.433083601716432,0.420144406202312,0.626691550460796,-0.0679637960304098,-0.374859834168566,-0.14805259697385,0.466927994782035,0.965318722365582,0.309239931378012,-0.586950019677807,-1.02093189789708,-1.07714316396238,-0.555286743632875,0.719484711712221,-1.16973841734272,1.67188128790811,-0.755962055237394,-0.450752613313005,0.530943159477666,0.0790029454601713,0.405226064423652,0.0499793928149596,0.754676374385025,0.304243438326528,0.594421893905898,0.0974372678022028,0.245321944219617,0.323339290569539,0.392410328723999,0.166827269462178,0.420305956577959,0.197619816942442,0.546597463164057,0.290826873740776,0.32884224192895,0.53230055747803,0.23218376591366,0.456739711900134,0.545603337499672,0.886529428831257,1.09772162134824,0.865239055453598,1.04445877283875,0.998254436835195,1.26793869085437,0.900085955976728,0.380729125951857,-0.936951201023068,0.159981840152978,0.15468289673725,-0.195274022843293,1.48820059810198,-0.710670656735582,-0.726085251082563,1.30164708113265,0.324779237949608,-0.522644520144036,-0.525891277713887,1.08529534065916,-0.922933429414336,-0.169529928378995,-0.147247940989402,0.00845740429433778,-0.296883494568739,-0.244561524210943
"MSSA_Bs_1 (GE) - TPM",0.539045712949236,-0.409205634713107,-0.76330371122815,-0.262100017088946,-0.384660979476563,-0.728022018624348,0.811772803502225,0.912193567188646,1.68027542430481,0.143547889985275,1.94644380544598,1.54238747739829,1.12010714566728,0.731797099569873,1.32753209682159,0.822358781340944,1.09472442252255,0.634111335929932,0.109967757154943,0.125645246631142,-0.446082940710042,-0.662748868270673,-0.587073037986192,-0.627265935629217,-0.674471312831856,-0.653948550347627,1.12152935772717,1.82496298060269,0.324905066404983,0.0922134276903097,0.169165079695484,-0.0632015283566671,0.146592739310749,-0.623604217469872,0.571311611045597,0.532015159958012,-0.713850046296961,-0.662222019708358,-0.397244336893626,0.579420130499006,0.580622256571215,-0.0351661262317882,-0.432521381668755,-0.0576962061597797,0.24225510639354,0.652704452697115,1.88271851918928,-1.53685493134815,1.26223697825447,0.659490987168555,1.33215297676243,1.19411461701847,-0.219712214980332,1.07262308005489,0.608134203048169,0.475067554812933,-0.786748754984699,-0.548664142679405,0.190994811012991,-0.751820937104196,0.333035287761978,-1.15654412616698,-0.253995544351233,0.125864734165951,-0.739457658081563,0.386534445994665,1.63476722117787,-1.34677683874739,0.159601424140659,0.947909690776225,0.188643654929488,0.664063520218504,0.361903086899429,-0.644996212217057,-0.88756021512456,-0.534525078326774,0.0299472738050378,-0.0129154234378733,-0.856506053116726,0.708578193328833,-0.702074107088127,0.487902786814992,0.499772235592138,1.02312366414062,1.31885174728658,1.09484833211842,1.21956533506957,1.33385213295099,0.984643284719881,1.52342172348405,1.22316187038254,1.17574402588917,0.924443881653232,0.855529417476224,0.872424527595072,0.740726378735974,0.38910656890922,0.606178569596905,0.745550517198178,0.835107623441846,0.871916516484348,1.07170587668601,0.816875298389225,0.752911832467413,1.06995727194655,1.07966096719813,1.43085899638009,1.48526895182629,1.4997673216608,-0.222982328797296,0.765725448315812,-0.691337103852156,1.80722652187692,-0.410193565564754,0.974882993798593,-0.23852889688871,-0.334085847659995,-0.194979118380126,-0.0143350753166903,0.0124286180975064,-0.640969594865823,1.67172078274188,1.17485700688996,-1.04426132473517,0.0461224095099155,-0.364107309728683,-0.568341689598171,-0.6635678728735,-0.174989254574336
"MSSA_Bs_2 (GE) - TPM",0.893199632330274,-0.0674121166417157,-0.670214265463352,-0.0512805612789237,0.111253683630357,0.105625699982182,0.845249931028792,1.8829920460815,1.08676240726361,0.253338385292659,0.814365750426346,1.38770745399423,0.885212683715888,0.799993469286098,1.05647630716742,1.22331361056714,1.04565812615846,0.572871221743562,0.0403715491712083,0.820878785690368,0.108431927046247,0.0473557925209612,-0.0212339687727072,-0.555429031532985,-0.604330814573706,0.159805922171243,0.682835157829837,1.39871484289005,0.522662353670069,0.0821951754226544,0.494400330113403,0.221255674779606,0.238866657627563,-0.0269702950141468,1.22570984162317,0.859743051712072,-0.69305558605111,-0.34863194754339,0.0406178528769989,-0.0230837277440916,0.674695863555337,0.410448126628846,-0.207963758535744,-0.426183615361055,0.552355383247586,0.527800519268942,1.4980904895566,-1.07449994294618,1.17662272998617,0.00992597963580117,1.95384978088333,0.797311539073098,-0.331056419160717,1.13942027741423,0.507306373970925,1.25691265486636,-0.265217418651271,-0.0396049178670374,-0.380899609861992,-0.69646568055671,0.147614052695574,-1.0872452003321,-0.430659232942532,-0.361952835761779,-0.671599000575622,0.123055788077523,0.523109656380476,-0.792207567089234,0.323776465846848,0.982213422695176,0.505407724128077,0.727253146274181,0.48828918057795,-0.636571660557154,-1.05969101535871,-0.756804299228162,-1.08818736544936,0.215648296725775,-0.901809750092951,0.267763602074029,-0.540869770511439,0.475136483298528,0.554809461041764,0.452360658945809,1.08582820824866,0.770323036345622,0.698048314821697,0.494331508124581,0.862352770590619,1.04436925985582,0.765851766805634,0.571808619743271,0.86008427919481,0.700424183169139,0.546798307199611,0.890430616070156,0.748191356313013,0.875609599306007,0.6050420148931,0.777513620637528,0.479066998795948,0.850564642515529,0.886500993945151,0.961979175568602,1.07626455212556,0.690379182842743,1.57144004060134,1.68738573212776,1.52936296408332,0.010243010378948,0.0243707605584391,-1.04175102251152,0.807049707029321,-0.509759221677699,1.01335452936528,0.179367490181762,-0.325573680122409,-0.373338206323235,-0.537318345887554,1.22093060451497,-0.387201480122468,1.82029921541846,0.602073509297916,-1.07219499399403,0.629211202109285,0.124476861960001,-0.746132128601677,-0.60516828287564,-0.344812446232434
"MSSA_Bs_3 (GE) - TPM",1.40807534742086,-0.44851961622336,-0.175032478961882,-0.936239623628624,-0.93418662305307,-0.811487577122042,0.614405134762168,1.07079725199753,-0.180684680641782,0.585920677879558,-0.24862609117316,1.68353794511691,0.770938733384873,1.08745246341133,1.00632124258299,1.34840774115104,1.10186877163805,0.364563667131896,-0.0607108273230398,0.948962847020374,-0.590616155054775,0.0411648981500375,0.041197038161893,-0.912255716870028,-0.719406160874577,0.157029899085325,0.729596543952393,1.03227510201156,1.43401356108567,-0.684156880784693,-0.0709657919342259,0.190772350215524,0.502988519955132,0.144409291799357,0.339637077891448,1.21859925702157,-0.937082112895786,-0.364948070212469,0.240499623664064,0.373770554853036,0.342127598646091,0.282754425449293,0.122716933166906,0.24221732271786,0.951273108202581,1.04452482962285,0.12649508706658,-0.954050095727333,1.10338331820703,-0.536352301200512,1.05456878388707,1.12102950608844,-0.309344513130274,1.4200375164638,0.493064857166382,0.817447688684622,-0.409515525818794,-0.0821598459041428,-0.160642928032703,-0.942928233715535,0.365267439367986,-0.686847004106616,-0.804903023925112,-0.778697511064136,-0.674135005315645,0.562564720187884,0.558938551379648,-1.11868690560847,-0.159286167009437,0.586684778271752,0.317161413942435,0.960068393974439,0.152168079511397,-0.524658130623386,-1.28314526910252,-0.961621823826029,-0.323512038708055,0.317385016827737,-0.526638514989403,0.756482692994862,-0.698427277768915,-0.251407440258428,0.932066715304194,0.723634013513079,1.25099601347803,1.09285367125257,0.889381523040538,0.407540443126593,0.85375758714232,0.776807111031485,0.729560104366452,0.748718017056394,0.978125890402352,1.1246807324467,1.49434222399057,1.04908006144263,1.05539721106299,0.898871908970559,1.12358022221297,0.891230722440821,1.00574123831195,0.980953336555563,0.716537705067088,0.617439834454633,0.386168183266546,0.289978455652043,1.3469684103876,1.04720704918401,1.50098405950573,0.127090655863879,0.315906901601945,-1.20231931120799,-0.0103708567193281,0.0961488541565325,0.389917094357174,0.170247702515932,-1.02446461475285,-0.726308666970866,-0.786998569363875,0.409388217007397,-0.429297279801115,0.798484941909734,0.828078663293192,-0.733710610953836,0.0669637424547492,-0.383557640409105,-0.596133026569233,-0.649718565928495,-0.221553928176021
"MSSA_Ctrl_1 (GE) - TPM",1.8902240319696,-0.337979842975513,-0.201777573295588,-0.412601608360109,-0.616077654705691,-0.344381766089715,1.07348478632078,-0.226159488072836,0.603965374825388,-0.511563548202077,0.242132085970368,0.424453787519748,0.663638881915977,0.662918133957168,0.3997841579575,0.550704327220665,0.943825229427629,1.02664276360896,1.34577435747956,-0.647365174652753,-1.05057356310039,-1.19607187250082,-0.935881195257434,0.0919702547292488,-0.426133205890089,-0.656373504101671,-0.972803378187463,1.56615208891128,-1.25287378495498,-1.29568784901281,-0.890969593677941,-0.985989087778604,-1.01046797828105,-1.24068197852118,-1.13107237599343,-0.817689409452969,-1.21360879554254,-0.295509964344108,-1.19637273225661,0.796030878103887,-1.18924948176857,-0.771774190769088,0.730658012576291,0.519483871589214,0.330547701960772,0.984730177313196,0.195041990588294,-0.212374737265355,-0.341011406984422,1.02276236027218,-0.671367970938975,0.613087905800558,-1.00631270535282,0.77629366146751,1.82806035122693,-0.829809169996231,-0.390219384089215,-0.927957303212551,1.82083618687153,-1.08588070543186,-0.790418247345761,-0.297137159160023,-0.45712680517683,-0.70534032957484,-0.98969617490526,1.58425737829538,1.12601421705771,-0.714199063540019,-1.59755116209788,0.380130776298823,-0.951427564621131,1.01687546771249,-1.21806931846013,-0.63984600682396,-0.479922896916057,-0.985180646530428,-1.29082785817643,-1.00301597360477,0.13005799658545,0.436490483632928,-0.636979223278724,-1.19891653155485,1.03108555119192,0.76087999931326,0.715914233026745,0.882940366927861,0.851350081801222,1.14876759162904,0.813948340692605,0.969947825989597,0.36130004319978,0.643224425505039,0.927103044231602,1.21330653199538,0.912444814145459,0.897467555354527,1.00933785043926,0.884787837397303,0.941233546140006,0.830904632111466,0.760571583324209,1.16704653152713,0.787369181558488,0.810339698976497,0.45832801673807,0.895876205924396,0.172033915154157,0.340093809393941,0.442897046997803,-1.23336368446441,2.09393866057989,-0.700171124692001,0.413961125015596,-0.482367642585549,-1.31588841905008,-1.08784023478432,-0.619442069111667,-0.873886533963403,-0.0858732399959973,-0.99416007008989,-0.482603555793195,-1.17085468220395,-1.06230298883813,-0.309685035299768,0.746120089027515,0.920070345781362,-0.910030879176663,-0.885569124221689,-0.646724808947623
"MSSA_Ctrl_2 (GE) - TPM",0.811906694445326,-0.513332713222534,-1.2332162494674,-0.375076920972362,-0.425171048530364,-0.611156659172582,1.5178340470407,0.0421687252628037,0.666120252994008,-0.14795311976334,0.25582035664665,0.722983081325422,0.674240931965377,0.824557921128091,0.138271246230979,0.125071713408461,0.921250342703171,0.725062672535738,1.10720313155557,-0.614870941397732,-0.783056994474085,-0.416420530063273,-1.07560663402314,-0.323684294014911,-0.570361960852665,-0.867404175424486,-0.936734395596838,0.778669320585917,-0.888594017512989,-0.827684637482464,-1.40931472577973,-0.985724981062355,-0.876648985887312,-1.09040832770829,-1.10448071542813,-1.01432643431371,-1.13240615500296,-0.443820851058832,-0.562078148214966,1.70968228310099,-1.37123732569276,0.909979586876285,0.751071625530906,0.724578055695019,1.29146232215973,0.93855158129723,0.309428844947578,0.643826067659192,-0.481798166316715,1.95637814125375,-0.560351292595548,1.02816628875525,-0.938201159830567,0.532108045612117,0.966719899165856,-0.943151968284314,-0.310505864992029,-0.992468261836717,2.40457019373859,-1.09976928521536,-1.34586638095416,-0.551012180275673,-0.615929044342858,-0.662172256951551,-1.00141032438332,1.17185649524944,0.540541276914373,-0.888042607681065,-0.610768589870422,1.09305614773483,-0.911968273933658,0.86946206277839,-1.2871745145277,-0.804723847006829,-0.465941907206217,-0.351569457082791,-1.12962420855443,-0.904307616382841,0.0990943660401916,0.282796294912771,-0.637552845250858,-1.07674398672128,0.507901954758459,0.471845515668202,-0.204581095456679,0.700826408551766,0.631732631563334,0.923005230984795,0.354891587769875,0.785232244983243,0.58961759443276,1.00466088118757,0.943486689402944,1.13893589812016,0.975560927652991,0.974543472246988,0.863463053876353,0.631389066748232,1.04664838295155,0.654372377713646,0.997461785006258,0.784369795590559,0.654712878380119,0.455591075602241,0.657031208251338,0.709728493214165,0.456044922323082,0.334925767409772,0.415591768441513,-1.24437900886619,1.01834028457567,-0.683168912251313,0.253518546879151,-0.0801922522200364,-0.930579338331607,-1.17404056280413,-0.0643576804128926,-0.778605326943872,-0.944389377964666,-1.23806273566619,-1.13385552235677,-1.2343056789466,-0.902708911494015,-0.218339842913472,0.568665308933759,0.962084746170474,-0.913252254714711,-0.869633908342502,-0.936968651741139
"MSSA_Ctrl_3 (GE) - TPM",1.56554714186467,-0.736754442779124,-0.0699116536779201,-0.324457216110505,-0.415839397761277,-0.500663947375517,0.877122446609565,-0.369306542930241,0.603599416631869,-0.380283361356744,0.318600925813021,0.467411417799653,0.64894663594072,0.85121897232903,0.273669771082034,0.245022719094657,0.75989317650927,0.845526405672903,1.16534584630602,-1.07419052505431,-1.14389243190628,-0.510517454985685,-1.29473300452613,-0.177299473789323,-0.437474435390748,-0.871785630822943,-1.09271807513095,1.17874178077646,-0.977876442503048,-0.497310758424046,-1.42869770298058,-1.71059741093841,-1.28939423382437,-0.756132333457037,-1.01381237526793,-0.859100493815616,-1.34730774473679,-0.856057390837588,-0.864068767723572,1.42270410913713,-1.01641559722621,0.39454530162363,0.64576111571674,0.96419637300027,0.993329544533,1.2562324096268,0.225824632729707,0.26380589020881,-0.528883750136319,1.35052687515868,-0.898407403160688,1.12436667636768,-1.16641435966727,0.670428999957729,1.26765124031501,-0.989704600840807,-0.336874628246575,-0.419628385203303,1.24200455972738,-0.95154299121466,-1.08558393586186,-0.653437301268031,-0.66426181435456,-0.718083800711713,-1.32605780529215,1.37535942975771,0.854585996293013,-1.00253900345165,-0.67199566387774,1.59496213438739,-1.16005789700183,1.10822126012919,-0.837896844251579,-1.1074723664183,-0.35488067457692,-0.290904389153127,0.733098516848505,-0.917389505001418,0.278805403746381,0.390698825971118,-0.658727916590337,-1.03402391447627,0.477497496227427,0.460344639617822,0.4574100343417,1.16868687092562,0.598605851038939,1.12595315454976,0.217232633511818,1.08308042069277,0.647260528823204,1.09377007465813,1.02032009729747,1.1797065307015,1.12906477606117,0.49380810255498,1.02219909811036,0.731459498656326,0.993704754200583,0.949894640603691,1.03076671301398,1.0255533220815,0.910345605773638,0.713274401921374,0.739919552972575,0.964398832908492,0.34666949684295,0.432594197469049,0.382878867652146,-1.16740003976946,0.775825312990203,-0.529157106492322,0.292702482061472,-0.952596638632381,-0.986738033208367,-1.35617782178981,-0.771601949188948,-0.815195951221075,-0.705439764453981,-1.11413530551428,-1.13043755054536,-1.26778243757142,-1.49829496752035,-0.223482133509657,0.74908314849961,0.834790543903099,-0.831861553949865,-0.834046263652121,-0.699890718879747
"MSSA_Li_1 (GE) - TPM",-0.937987906023621,-0.568278853724311,-1.14828865050799,-0.801861019982797,-0.854367202694707,-0.742850695084134,0.836389128006479,-0.755492177533721,1.73560817948837,0.696652007412977,1.09715887990247,0.59727960205413,-0.0227056273007307,-0.210451366065569,-0.599292643983208,0.234766957299983,0.398322427041055,0.540495153873071,0.724494288402083,0.349471285348668,-0.532468787984588,-0.684099718956128,-0.923115181583857,-0.764943451330041,-0.679548768965652,-0.755002305437955,-0.321154547292341,-0.162445772940114,-0.0743306609438395,0.368207569583992,-0.357383089568789,0.656312424710363,0.881594413871329,0.0189686867034153,-0.487363140505266,-0.62775703834764,-0.34274675040488,-0.173276927176221,0.44436942130284,0.443713997588859,-0.298556441208147,0.552492007403185,0.363942672152401,0.0456033037798124,1.08812412583826,1.10708011045029,-0.33733502357977,-0.398014242130328,0.517146820661059,1.32314431474079,0.00644792677983153,0.531474344992154,-0.925810493680366,-0.155362472256311,0.789298062876459,-0.610980467291197,0.126977268032063,-0.675959678366398,1.51464745303183,0.47939895561773,-0.689054012218879,-0.318170389670432,-0.790444511006297,-0.851766631587953,-0.209973101726735,1.47237492231411,0.704964718754496,0.939181734630487,-0.123640254487136,-0.0814008104982929,-0.720140554818231,0.107222860895423,0.00543387934569004,0.609833198967008,-0.0415067999414209,0.186928897205156,-0.629492047240582,-0.836159097572914,0.456102754019492,0.66235329077553,-0.500145817718076,0.233789508025505,-0.515107646931366,-0.308067390046565,-0.124185187538799,-0.241564784445774,-0.0746882418392207,0.10560602100374,0.0175656286461976,0.104305598988299,0.158173607221311,0.092912274203614,0.0977217637044119,0.151331244252115,0.0961471214066963,0.255797607515413,-0.106437706672286,0.227599141771373,0.295567376463567,0.422951874001834,0.493384825028167,0.275222093031632,0.369642678359565,0.439265938310485,0.339090598083285,0.239877091099812,0.336154138809921,0.314086965630523,0.414368126182141,-0.948806081259121,1.12885988699711,0.233771616583472,-0.127990169411014,-0.973813715178559,-0.672125410559855,-0.901269449651641,-0.741339748869976,-0.728601566793332,0.403670908131639,-0.939627706947793,-0.106576166106292,-0.866395134648595,-0.267890001607095,0.0822588013150223,0.528869514314542,0.227562195254082,-0.838898591367103,-0.838355370438214,-0.714071375897618
