"","SAS_RS00435","SAS_RS00440","SAS_RS00445","SAS_RS00450","SAS_RS00455","SAS_RS00460","SAS_RS00465","SAS_RS00470","SAS_RS00475","SAS_RS00480","SAS_RS00485","SAS_RS00490","SAS_RS00720","SAS_RS00725","SAS_RS01295","SAS_RS01555","SAS_RS01560","SAS_RS01565","SAS_RS01570","SAS_RS01575","SAS_RS01760","SAS_RS01840","SAS_RS01845","SAS_RS01850","SAS_RS02810","SAS_RS03295","SAS_RS03760","SAS_RS03765","SAS_RS03770","SAS_RS03775","SAS_RS03900","SAS_RS04290","SAS_RS05160","SAS_RS05400","SAS_RS05405","SAS_RS05410","SAS_RS05630","SAS_RS05640","SAS_RS05645","SAS_RS05650","SAS_RS05655","SAS_RS05660","SAS_RS05665","SAS_RS06470","SAS_RS06790","SAS_RS06820","SAS_RS06825","SAS_RS06915","SAS_RS06920","SAS_RS06925","SAS_RS07640","SAS_RS10030","SAS_RS11015","SAS_RS11100","SAS_RS11275","SAS_RS11280","SAS_RS11285","SAS_RS11290","SAS_RS11305","SAS_RS11310","SAS_RS11315","SAS_RS11325","SAS_RS11330","SAS_RS11830","SAS_RS12895","SAS_RS13340","SAS_RS13550"
"MSSA_As_1 (GE) - TPM",0.0477306867964299,-0.210864768484253,0.538323230817429,-0.280403020265413,-0.015869863534957,0.425632694674589,0.226943954201795,0.313180160988111,-0.0323949239788172,-0.137201657720194,0.256360013597559,1.08578159656461,-0.365288710977665,-0.0065228013831032,-0.032615193151252,-0.0884442461732297,-0.535620621117207,-0.542697870051067,-0.45876946302719,-0.17085909964047,-0.405640203305391,-0.706816905668906,-0.679660133128503,-0.653862146058366,-0.537447124735173,0.642271913765779,-0.0495020939236043,-0.140369752621291,-0.340486260881266,-0.529899700131517,-0.696239380069938,-0.166666666666667,-0.0286534778272891,-0.287437085052651,-0.344353227088944,-0.100873630996013,-0.0781348167469101,-0.326678274182318,-0.0293408481260213,0.0461728237978301,-0.102568393509512,0.216250034956251,0.0658762604337951,-0.226171218651028,-0.302026909655651,0.520188823590645,-0.134199851130023,-0.389613356765026,-0.372698153780485,-0.564087838937529,-0.0149916874457335,-0.336260289536396,-0.397000230050523,-0.384178050495168,0.5878778465748,-0.620362080087717,-0.841844260649294,-0.836417888035699,0.185557895533427,0.287105451275565,-0.191518869573698,-0.540457921032706,-0.96538573155602,0.333963829575019,-0.535095647213268,-0.0647561370124819,-1.13837333163947
"MSSA_As_2 (GE) - TPM",0.0339299911328151,-0.201007228826613,0.01949919344249,-0.145985244171422,-0.402388785426109,0.809907269235925,0.352022886194826,0.771028198179408,0.356770687599627,0.226351390572558,-0.291760999975417,0.0250291990353362,-0.114980071505244,-0.202030728332457,-0.214657066746444,-0.497202883304795,-0.0178736466650013,-1.05811853368083,-0.186348623246166,-0.407564202551733,-0.195050531318991,-0.789773639525853,-0.539320260386347,0.0150924084876438,-0.520454743870311,0.601631165452326,0.397634278527257,-0.0831509722677258,-0.20810672081343,-0.429257753574684,-0.67167560168895,-0.166666666666667,-0.0241528897664265,0.280216126461355,-0.205128660520638,-0.00230503014145778,-0.158357658156644,-0.352189788956134,-0.0296118334312089,0.205554512811236,-0.195780754757397,0.217940382733882,-0.266196904292013,-0.167692235454063,-0.284621079803204,0.329524255428178,-0.119316655735332,-0.401116057053739,-0.298836690913522,-0.543377434377489,0.682285365713894,-0.318905828119955,-0.121713741043659,-0.397070268128604,0.334944853184531,-0.749968254802512,-0.584933451047647,-0.752543662956175,0.0842906758110045,0.243394018295477,-0.163522369393629,-0.608953887394711,-0.716466592884184,0.238199464715825,0.0438640552692853,0.315692332888122,-1.04483936733196
"MSSA_As_3 (GE) - TPM",-0.0517762265053982,-0.224602391007501,-0.239740669092607,0.305148380212395,-0.146495753259585,0.856927396945614,-0.498520519560349,0.0983694208448909,-0.174828302004216,-0.435118269540959,-0.0600373096978379,0.625479969588584,-0.108988193587802,-0.0956359234453801,0.0229000360413964,-0.424581098996283,0.0241096315563392,-0.217595686001434,0.404595404364789,-0.420330076216813,-0.220544491063554,-0.813697087337623,-0.433101657092563,-0.608802106553267,-0.440445911865268,0.930484410217422,0.323344808793766,-0.0925896121206646,-0.25291337825559,-0.549507399058124,-0.80446116209536,-0.166666666666667,1.51868460073041,0.326418723279973,-0.0612131531714638,0.0818682944058053,0.0183915399401666,-0.477499690872221,-0.22375515519925,-0.161423136854201,-0.0969495653040739,-0.107664157202894,-0.0360061421737164,-0.269953175378944,-0.425591156279156,0.0742767437472473,-0.0868177692448927,-0.463151682793658,-0.349548897122845,-0.532929471664557,0.289522523412478,-0.372249583011409,-0.198062840055674,-0.373825611933239,0.810697214495766,-0.524194738976079,-0.54017551865326,-0.728239670272256,0.160609977701134,0.126020563897278,-0.261174946995866,-0.647080169240163,-0.755269897105013,0.344390971696641,0.766603978034385,0.0454130278532761,-1.03190422198982
"MSSA_Bs_1 (GE) - TPM",0.168679678331767,-0.235489929911061,0.280956571090111,-0.131059775199106,-0.285606603874164,0.328661819346775,0.281969735219595,0.401414578820459,0.112695768905878,0.295254041460344,-0.0840823163506532,-0.124551305638934,-0.0622551717238151,-0.318550143200953,0.0557545474632347,-0.460154692510947,-0.449553155718151,0.0109425269065037,-0.448908630849854,0.00399759730646997,-0.350784182093683,-0.624915147207065,-0.465261222584399,-0.534221468557728,-0.0192284323163137,0.850480598602319,0.0996369537475129,-0.226398864159958,-0.378905899825705,-0.491545124734902,-0.700255477953066,-0.166666666666667,-0.520379040077065,-0.0859621015821404,-0.404966058835472,-0.144408281674265,-0.230928490492624,-0.419282422048112,-0.325749612221372,-0.151971597462629,-0.277182208175805,-0.349771496645452,-0.256302034593959,-0.0828724869987098,-0.24518180738941,0.229634275028625,-0.26168941949384,-0.353574878755206,-0.395195462283312,-0.544310138227906,-0.00644264606932335,-0.325467056271853,-0.00788362902435046,-0.412765749955872,0.490368670678335,-0.572903588186998,0.0372746856325799,0.201654293896452,0.0837479313148443,0.129243299857647,-0.184112782210314,-0.713803057337676,-0.991821087546596,0.36308909608213,-0.885004237490028,-0.367456175176766,-1.07974950886128
"MSSA_Bs_2 (GE) - TPM",0.263708255028545,-0.245816013531547,0.0333190277430095,-0.197712602106971,-0.0304198308548712,0.0713336404332325,-0.107347919428219,0.13318634716801,0.015697561359493,-0.330359513383081,-0.179572709655828,-0.632066372435148,0.109140736512285,0.140893755708743,-0.0416832727139583,-0.156603910406201,-0.366579454370625,0.0865698593479963,-0.23711078167974,-0.034283485043113,-0.38817286086098,-0.579791495878432,-0.277888030362124,-0.183748772021334,-0.15331514424495,0.630606707518,0.111650088482626,-0.134081152667303,-0.277405363078748,-0.29254110825474,-0.702699245660704,-0.166666666666667,-0.181065312251047,0.453449434604358,-0.0796124438904734,-1.19115000541119,-0.337509194581718,-0.522739386480512,-0.340969197689293,-0.336661085198623,-0.333352715268338,-0.514539878510606,-0.463933687101811,-0.130160979282566,-0.255303993573305,0.108845489862055,-0.198482565981222,-0.375690621127949,-0.392375178569426,-0.519163663189976,-0.2543063731888,-0.381281315419244,-0.278556765907238,-0.41953484939223,0.125960873546813,-0.548839303337922,0.410435373296324,0.389540356483985,-0.143317207353846,0.116218960254846,-0.181046903295554,-0.874597330498428,-0.786485608648028,0.264986389055618,-0.171122789444943,-0.353114282511706,-0.914285563788317
"MSSA_Bs_3 (GE) - TPM",0.148526736511938,-0.294892257324685,-0.251762999847016,-0.250873145846422,-0.0971240040853693,-0.879925699857741,-0.189341319730129,-0.0729986761910375,-0.256810382640762,-0.578111395339773,0.0626332449110731,-1.03151168083948,-0.423485243823733,0.0733488308942862,-0.0256286953414381,-0.653354786630194,-0.35779576230872,-0.411854901677108,-0.368236636177208,0.0174176449984723,-0.347233882804333,-0.79062894529519,-0.471467016363364,-0.231328244327119,-0.210370906510207,0.268814580299419,-0.153116056972661,-0.176781284711305,-0.279036596273365,-0.32122824873945,-0.745789712787929,-0.166666666666667,-0.435680827105807,0.344082135409174,-0.128497579570246,-0.216563585177757,-0.29644111785781,-0.503267529799679,-0.219036408574062,-0.300105520761796,-0.422579679176279,-0.418390065716878,-0.401199226822218,-0.254282300063166,-0.40315638949999,-0.182372482471057,-0.126806403125867,-0.46086261268502,-0.42676305033689,-0.616632285815917,-0.162838816304146,-0.390528825537695,-0.0190529886397497,-0.384559561811546,0.209339018320636,-0.84736896018507,0.27962735332766,-0.141574833833672,-0.0430221948737321,-0.125168709971031,-0.14986492034699,-0.66873982757565,-0.854490625574026,0.388206568896185,-0.127690637378425,-0.362396889255259,-0.805320513840515
"MSSA_Ctrl_1 (GE) - TPM",-0.602533256731666,-0.562107401584311,-0.631838266552862,-0.739853649030712,-0.389381647043465,-0.591555993833566,-0.760171016277363,-0.528277725684115,-1.2613012250282,-1.23122099324503,-0.0867351785848639,-1.62508381034644,-1.05126499935773,-0.987004925225197,-0.240769734824889,-1.18277341369831,-1.29310299515387,-1.13001138652825,-0.967100193634357,-0.617617075132514,-0.366202793843526,-0.803449866223026,-0.728820919315437,-1.31408074038938,-0.209424738550274,-0.496363077862007,-0.658255023057487,-0.685414030761554,-0.571515281010609,-0.464118714856551,-0.465790246964392,-0.166666666666667,-1.16380971712091,-0.417923087360871,-0.171233746345184,-0.293933868400909,-0.726583267660322,-0.60806498369707,-0.892577641824252,-0.766805089169559,-0.652425364105246,-0.717451104824879,-0.556114980665694,-0.418376710345163,-0.314091826533117,-0.63031711747683,-0.525675046221807,-0.427794875548978,-0.504171707233977,-0.671735957861972,-0.384931310533117,-0.417015068175714,-0.458398205356196,-0.25962978980862,-0.261506658547735,-0.33307030615125,-0.55988244567407,-0.266199825951708,-0.379512170605826,-0.428925330348044,-0.682041261754363,0.441979442626155,0.145389585511016,-0.51756341386662,-0.414408961792932,-0.190421248302773,-0.732135644609243
"MSSA_Ctrl_2 (GE) - TPM",-0.548366910635471,-0.543927645552818,-0.668992273805733,-0.431556015670417,-0.388637563506039,-0.360782168102846,-0.368547429146349,-1.23722383876957,-0.480697673812126,-1.18741996172109,-0.886991867859259,-0.423316489307733,-0.524450853047004,-0.842071365796506,-0.362009805660332,-0.560570070005325,-1.42679118755736,-1.2718520177701,-1.08966338199859,-0.702810046987995,-0.441886506907008,-0.717191313277646,-0.808675846219726,-0.959127887410319,-0.248889462241019,-0.602527634384867,-0.689761339489328,-0.694899277770022,-0.55185100878876,-0.480986560944115,-0.385608017524513,-0.166666666666667,-0.26807598128544,-0.527213022612188,-0.252463990995897,-0.153595802444628,-1.00724163216253,-0.70793712173772,-0.794630645185168,-0.79533515283491,-0.824200694683249,-0.591933386726563,-0.851761629429889,-0.310467476533407,-0.364467403587546,-0.812526742419361,-0.516179427507949,-0.438159620595786,-0.444928071753052,-0.661050863375259,-0.36100547033492,-0.390882561269907,-0.392230499758766,-0.219014425379854,-0.414245636095099,-0.344827614581472,-0.592678010443688,-0.621733883082214,-0.520049293902518,-0.603746445954392,-0.68211179491499,0.18476461428937,-0.0220331337893709,-0.534142766642427,-0.583029605914175,-0.557629189536945,-0.559344277008383
"MSSA_Ctrl_3 (GE) - TPM",-0.652323958216796,-0.550572755263469,-0.54049579922592,-0.633096580946384,-0.425213344697238,-0.331580022635472,-0.541990743907493,-0.793506687565617,-0.626875233275789,-0.311446636386327,-1.1157037743544,-0.912282741721317,-1.06296611231591,-0.857554582176249,-0.438670577891128,-1.27636613214156,-1.04896169441212,-0.935109555045156,-1.1167899437985,-0.826855700901627,-0.343704432777528,-0.774559552687134,-0.784491029991487,-1.14025782969449,-0.276732519440084,-0.6111647892086,-0.779948991194156,-0.579553615591508,-0.620374582702467,-0.432911735367928,-0.38431832774237,-0.166666666666667,-0.28190291012284,-0.423094722237016,-0.179842824833778,-0.327136574517287,-0.872627688679622,-0.657047437294254,-0.854236379671968,-0.721530341805252,-0.71935261212196,-0.557705092209809,-0.677828914665642,-0.305157147225826,-0.397533250827984,-0.574774851786224,-0.465791284833498,-0.488659300064864,-0.379834433442006,-0.65461801074066,-0.44085772039095,-0.39916730159059,-0.465381808187997,-0.189549406539141,-0.37415459862632,-0.4675990702809,-0.472148979906588,-0.652269005625623,-0.494177319871895,-0.580603492388364,-0.676359752147002,0.163755522173669,0.0553938698605269,-0.473207980143974,-0.0720352510947009,-0.493596585033522,-0.698585465674302
"MSSA_Li_1 (GE) - TPM",0.295570456776865,0.484036946819342,1.80398131923849,1.96498647777245,1.95332919244685,1.54347798440996,0.77579974947727,0.220813632002522,-0.200477780942715,-0.175871291121946,-0.00223001828778992,-0.0652915670723558,1.75108883076348,2.36756346002194,1.10171460268632,2.09247850891951,1.61009867608095,1.54105455918131,1.21185675862803,1.43840835473985,-0.392096755015966,0.414904619348978,0.278764480715215,1.33459635444753,3.79419930958567,0.847332166318926,2.17728806941522,1.46499513835582,1.8689797101849,2.23454282048073,-0.384253007146059,-0.166666666666667,-0.100229577980599,-0.769816146292338,-0.634915167055072,-0.760245618802574,0.426302789388393,0.0251937192688704,0.101374327233024,0.21309012934808,0.0511139496035677,0.393866554621026,0.179173555188892,-0.169922042521198,-0.226201158831215,-0.498934477785378,-0.390226565656968,-0.29921318083599,-0.342673291226063,-0.336308067122487,-0.228946175548125,-0.284610340529064,0.517221422156302,-0.214825093662404,-0.246910942275959,-0.226674711790518,-0.320088978780084,-0.473790691546438,0.479057042056997,0.0491888345992395,1.63347899226739,0.987136933027596,1.24959663133394,0.617546120385317,-0.775125327622549,0.327265919144631,1.2930310230281
