"","SAS_RS00645","SAS_RS00650","SAS_RS00755","SAS_RS00765","SAS_RS01060","SAS_RS01065","SAS_RS01470","SAS_RS14440","SAS_RS04565","SAS_RS04570","SAS_RS04575","SAS_RS04580","SAS_RS04585","SAS_RS05150","SAS_RS05305","SAS_RS05310","SAS_RS05315","SAS_RS05320","SAS_RS06720","SAS_RS06725","SAS_RS06730","SAS_RS06885","SAS_RS07085","SAS_RS07090","SAS_RS07095","SAS_RS07100","SAS_RS14670","SAS_RS08175","SAS_RS08180","SAS_RS08185","SAS_RS08190","SAS_RS08195","SAS_RS08200","SAS_RS08775","SAS_RS08785","SAS_RS09495","SAS_RS09995","SAS_RS10260","SAS_RS11085","SAS_RS14890","SAS_RS12865","SAS_RS13275","SAS_RS13905","SAS_RS13920","SAS_RS13940","SAS_RS13945","SAS_RS13950","SAS_RS13985"
"MSSA_As_1 (GE) - TPM",-0.834520114812673,-0.808351179060895,-0.329652195631583,0.452982462588962,-0.35830021625384,-0.345157195401211,-0.340766888526769,0.290601432290838,-0.618632345326206,-0.520023561058598,-0.43586104357249,-0.558806193822659,-0.564709597379895,-0.396626755623964,-0.574423636953048,-0.695041748678752,-0.749018573814843,-0.636455569550116,-0.517912025516866,-0.507398211729813,-0.484866886045849,0.124593655064804,-1.02719336597496,-0.816549018674586,-0.57056912560244,-0.531690417674819,-0.238621748390996,-0.649679960392087,-0.458005178817148,-0.43663071663786,-0.26729868485004,-0.515146970356756,-0.480136409308226,-0.847152841286831,-0.251463561368412,-0.482402172907168,1.12102094294319,-0.51305996247886,-0.269210434733566,0.292418300299143,-0.672261228589591,-0.332142111796608,-0.148128504363387,-0.201355924969388,-0.390306896181145,-0.0467974452137212,-0.323803821557311,0.249875688416413
"MSSA_As_2 (GE) - TPM",-0.446311635004374,-0.0558966974508633,1.03458947557781,-0.264284094939819,-0.3842775793083,-0.420228167704917,-0.340766888526769,0.0974469487561877,-0.628109732423096,-0.491759403402979,-0.494295979272076,-0.47762371234906,-0.555558421786421,-0.115051191900339,-0.557184344431775,-0.854246951979009,-0.620849040661333,-0.843525856639097,-0.489798658885994,-0.511221869244987,-0.399232707328429,-0.0104607743732798,-0.702345173796072,-0.726320933419381,0.0149851201099972,-0.0650097248213374,-0.504871366106375,-0.395003718524748,-0.318778870348587,-0.387772249046151,-0.470950141683315,-0.214937628471502,-0.131022623870156,-0.477685117919269,-0.834944618931469,-1.28586716977368,0.918443979832562,-0.51305996247886,-0.456371303136525,0.0804657000438327,-0.413540535948119,-0.430654973742542,0.658367197612594,-0.351456070865076,-0.934359782181431,-0.246365137069347,-0.700834741799696,1.17815865297211
"MSSA_As_3 (GE) - TPM",-0.398866847856432,-0.459653913457664,0.377167798635229,-0.629141662636909,-0.209077469629532,-0.383855193108838,-0.340766888526769,-0.365414971203913,-0.546023082794398,-0.37308081214546,-0.455795550101323,-0.428466227076674,-0.551589959718934,-0.422758184421148,-0.0678078514202845,-0.368638122101127,-0.544935055218117,-0.276819950922896,-0.457566004527556,-0.449240715731956,-0.302163659127775,-0.545808852451662,-0.384560926029421,-0.924216821384656,0.304570181301375,-0.0859421513292566,-0.504871366106375,-0.378939756945079,-0.364239508116487,-0.329123250326386,-0.480791984564252,-0.271524170995207,-0.194649675911806,-0.622341499240601,-0.482014951976221,-0.0800683882181518,0.0120045560297199,-0.51305996247886,-0.456371303136525,-0.20160383242417,-0.82450594685572,-0.402818771588869,-0.302543882222856,-0.393738376572083,-0.181001859657146,-0.881607368339296,-0.877229190229833,0.620086012639631
"MSSA_Bs_1 (GE) - TPM",-0.944399976581389,-0.884075457146871,0.209046810890499,-0.225663708081346,-0.354093782172211,-0.370079326246307,0.446613236149589,-0.0184692510406997,-0.376301584208083,-0.486010515237562,-0.446044267598784,-0.547406039242328,-0.59174538901268,-0.339424077320651,-0.18156211337602,-1.06406494417955,-0.736456224552109,-0.625486733066802,-0.373037799058462,-0.527317932504444,-0.488373439980307,-0.193276819896397,-0.682107689494065,-0.676159754407872,-0.137762699448369,-0.302137520956889,0.823530503899593,-0.529798923441932,-0.375724742939647,-0.43948559563573,-0.303028271650566,-0.253751973410367,-0.249551103580846,-0.490976910681911,-0.173777650927302,0.101772184188339,-0.0710444777896929,-0.51305996247886,-0.189570278726776,0.251049741812556,-0.51089263371289,-0.33585211790875,-0.395409943078726,-0.265455804165134,-0.53979576633658,0.785781494722921,-0.4485878805224,0.700702892099497
"MSSA_Bs_2 (GE) - TPM",-0.645386746956667,-0.857204399125969,-0.697448678060926,-0.824235027201395,-0.527613105585487,-0.343279456754537,-0.340766888526769,-0.098283262745766,-0.455754650150797,-0.454253484385524,-0.459956856712977,-0.529394297479348,-0.570784579422025,-0.213180509682351,-0.362215677800099,-1.05380396702281,-0.578974954288558,-0.649652246058566,-0.397975465268517,-0.552379704397137,-0.463114756737279,-0.416416848084705,-0.875200344843228,-0.872868710863359,-0.0634573895090517,0.0241474512293826,0.187039080330126,-0.404118177817601,-0.280235337133833,-0.253121726361966,-0.195823011934686,-0.14368954258428,-0.0367109211995405,-0.377605683740895,-0.458569436276784,-0.181643109085047,-0.350370890291147,-0.51305996247886,-0.456371303136525,-0.121605137714846,-0.902777760690466,-0.360579776885909,-0.474282041686578,-0.372014373985041,-0.359764835743527,-0.21788467367215,-0.439948853682426,0.735435912498587
"MSSA_Bs_3 (GE) - TPM",-0.714660573524341,-0.749085833234415,-0.208444823463394,-0.50834997158424,-0.593392999571222,-0.42554464539729,-0.340766888526769,-0.182624054445664,-0.479931913493442,-0.442200364330762,-0.482961574273748,-0.497493450689586,-0.568188012423346,-0.347156419771111,-0.265209950993595,-0.871667916273615,-0.635461141325412,-0.828667945313808,-0.457872330521282,-0.546311669058272,-0.373275837048673,0.150406687182322,-0.880694972876903,-0.955752477031739,-0.17935843351806,-0.338168699733262,0.0431309470148127,-0.344451500456815,-0.405999106103776,-0.475811038064796,-0.125297286477667,-0.313549645436582,-0.110895269779536,-0.300363820136028,-0.219396069756333,-0.649823386442002,-0.693290525244996,-0.51305996247886,-0.263761470129501,-0.647630804097128,-1.03710037980614,-0.346312448276448,-0.427428136262132,-0.40313605636136,-0.982241604180704,0.487986319352082,-0.0661612186282265,0.239124425891355
"MSSA_Ctrl_1 (GE) - TPM",-0.403820902089106,0.525697512660419,-0.270908216058785,0.0800160459513007,-0.530984703780413,-0.503839659014782,-0.340766888526769,-0.386210358458779,-0.0454269069540295,-0.156197636930246,-0.184914728333831,-0.237389101972115,-0.069500947106999,-0.547279849330763,0.00441300924367533,1.15076633407409,0.378233206058724,0.659524480052029,-0.447115299426787,-0.521613406465341,-0.291468751899651,-0.394573425352272,0.0021584619651885,0.821763594005335,-0.662820873644349,-0.388950443357541,-0.504871366106375,-0.535866601084982,-0.367651505521868,-0.443367704600866,-0.473697648252653,-0.502134769037761,-0.424243248395747,0.326615275158044,0.974309359176146,-0.64549652490259,-0.127924018690064,1.61410708336046,-0.456371303136525,-0.317567756396802,1.25797845931681,-0.344482773901071,-0.643994600043075,-0.416123849462449,-0.947186055379562,-0.416452632943817,0.077379923974826,-0.211899199794685
"MSSA_Ctrl_2 (GE) - TPM",0.135230847817376,-0.852969013850122,-0.734356205804121,-0.478316072998003,-0.322372750639144,-0.462019915407518,0.0304781049221219,-0.465655932317599,-0.0172168943328618,-0.26297122516289,-0.25581512741049,-0.148474436557556,-0.11396297678299,-0.380710853045714,0.404488362529388,-0.00108955560652987,0.441293305556811,0.284292727549258,-0.420888509894426,-0.391965204150291,-0.387005265231065,-0.0469263841140004,0.496393918384595,0.300916130772779,-0.725671261565046,-0.624590857234646,-0.504871366106375,-0.426998631985716,-0.370016222885566,-0.434767982880287,-0.201699126070024,-0.489637102493049,-0.417712112616475,0.0203975966303114,0.965507571184841,-0.122731862272523,-0.0212828244473848,-0.340574538203264,0.0468090107520644,-0.608680513566907,0.23878573457948,-0.381059117315746,-0.104749189564127,-0.416589203400975,0.71014414873348,-0.630206533195576,-0.514685692469444,-0.56856728576455
"MSSA_Ctrl_3 (GE) - TPM",0.351087601134206,-0.564538092521194,-0.995494515886652,0.242240276835395,-0.529044702023317,-0.459544111937197,-0.340766888526769,-0.416138832860307,-0.193971313066119,-0.188708073985701,-0.0911875314376339,-0.101864679765008,-0.0563189732296058,-0.423047353335435,0.0472796854137087,0.751761517336386,0.585580746604214,0.598562400155399,-0.401443395813889,-0.35394485721715,-0.412798824113628,-0.762031574141624,0.0315208292908185,0.564450130519624,-0.371942017885755,-0.544185692919372,1.14032310634328,-0.361060270771324,-0.22910318150005,-0.364435796965982,-0.341871584222042,-0.40311162412115,-0.495670693792881,-0.126641254732926,0.837467274516337,-0.665276526929879,-0.494700962599239,0.676245230196064,-0.456371303136525,-0.763776963455711,0.162910353077402,-0.447051050493252,0.165313921275147,-0.405362518492633,0.197974396095296,0.0330888824341427,0.508032020795631,-0.408292598387717
"MSSA_Li_1 (GE) - TPM",0.529776485941744,-0.721850828436619,1.35706988833066,1.20711706116905,-0.380283799693562,-0.466988085114127,-0.340766888526769,-0.204380342157203,-0.339260667842844,-0.176723683537993,-0.221949473996821,-0.341727709614713,-0.257633352993022,0.0337615439961111,-0.295611233300658,0.144209054573515,-0.0845038137579799,-0.21026310803067,-0.355694303148189,-0.434329276460376,-0.28333219285868,-0.762031574141624,0.898501068542384,0.472178995009341,0.251724434801957,-0.0773000040088081,-0.504871366106375,-0.332261365886579,-0.200120687797456,-0.161980774935882,-0.193596589854158,-0.268867291319139,-0.188110695561346,0.0755972808391714,0.491055362000713,-0.225955292677649,-1.00537325599512,-0.51305996247886,0.0374250120259807,-0.31732668734518,-0.0585203148346283,-0.385427051106995,-0.166887293612743,-0.450622962946487,-0.372203834694062,0.656754170394142,0.368403021435082,0.728879694829383
