"","SAS_RS14265","SAS_RS14275","SAS_RS00160","SAS_RS00170","SAS_RS00180","SAS_RS00635","SAS_RS00695","SAS_RS01140","SAS_RS01145","SAS_RS01160","SAS_RS01405","SAS_RS01410","SAS_RS01430","SAS_RS14360","SAS_RS14365","SAS_RS14370","SAS_RS01650","SAS_RS01680","SAS_RS14380","SAS_RS01855","SAS_RS02030","SAS_RS02225","SAS_RS02230","SAS_RS02415","SAS_RS14430","SAS_RS03015","SAS_RS14455","SAS_RS03485","SAS_RS14470","SAS_RS14475","SAS_RS03755","SAS_RS04030","SAS_RS14525","SAS_RS04545","SAS_RS04745","SAS_RS04890","SAS_RS05040","SAS_RS05110","SAS_RS05125","SAS_RS05155","SAS_RS14555","SAS_RS05195","SAS_RS14560","SAS_RS05760","SAS_RS05845","SAS_RS14585","SAS_RS06145","SAS_RS06270","SAS_RS06595","SAS_RS14605","SAS_RS06695","SAS_RS07385","SAS_RS07600","SAS_RS07700","SAS_RS07850","SAS_RS07855","SAS_RS08240","SAS_RS08410","SAS_RS08735","SAS_RS14705","SAS_RS09175","SAS_RS09235","SAS_RS09240","SAS_RS09490","SAS_RS14750","SAS_RS14755","SAS_RS10015","SAS_RS10090","SAS_RS10155","SAS_RS10185","SAS_RS10370","SAS_RS10380","SAS_RS10385","SAS_RS10705","SAS_RS14825","SAS_RS11045","SAS_RS11095","SAS_RS11145","SAS_RS11450","SAS_RS11530","SAS_RS11735","SAS_RS11745","SAS_RS11885","SAS_RS14860","SAS_RS14870","SAS_RS12385","SAS_RS12470","SAS_RS12520","SAS_RS12595","SAS_RS12600","SAS_RS12655","SAS_RS14900","SAS_RS12785","SAS_RS12880","SAS_RS13010","SAS_RS13020","SAS_RS14935","SAS_RS13250","SAS_RS13260","SAS_RS13365","SAS_RS14960","SAS_RS14965","SAS_RS13890","SAS_RS13925","SAS_RS13955","SAS_RS13960","SAS_RS13965","SAS_RS13970","SAS_RS14975","SAS_RS14185","SAS_RS14980","SAS_RS14190","SAS_RS14195"
"MSSA_As_1 (GE) - TPM",-0.541978350464782,1.9390862597981,-0.166666666666667,-0.228268319051905,-0.166666666666667,-0.488922092771943,0.452556928493693,0.16457818579543,-0.909623515940365,-0.239036065722425,-0.611892065434568,0.431281001121738,0.825163163578695,-0.235441381225797,2.49282752388201,-0.234579185157611,-0.353642740709505,0.945525002264288,-0.246941377824804,-0.515006349993914,1.03262783047761,-0.440153307845045,1.26911643387432,-0.285435338425708,0.540037204591208,-0.35667758636416,0.472048581144923,-1.06288979613865,1.54480693564484,-0.408802420430102,-0.167379592992293,-0.217845665442167,-0.238953528651477,0.640016930064066,0.513297670081424,-1.23152238210388,-0.166666666666667,-0.125615868081666,0.25020271310405,-0.422241259344082,-0.166666666666667,-0.600795438180941,-0.234858621753472,0.23847823471658,1.04466939626469,1.06390790311259,1.39356981178755,-0.0671424859349244,0.485826223188485,-0.25942566151338,0.835628891609039,-0.37354413230532,-0.515357046335385,-0.213871882045162,-0.236942046373272,1.19801226272199,-0.579956843770953,0.0254349368096033,-0.639776036193437,0.163387431766496,-0.45203445545351,0.45049403991422,-0.369947339946825,-0.7531722817349,0.0538987983984629,0.976164897193653,1.01790693470105,-0.227717913431076,-0.484718310221583,-0.252553819811296,0.29007395722433,0.508472272064732,0.168255995369427,-0.575026386483388,0.951890631496758,-0.0628491921379153,0.221057135082257,-0.166666666666667,-0.338612029226308,0.397145105508797,0.187421180213395,-0.23385516491427,0.522350486647492,0.734270439977755,3.71837100620766,-0.576085762912488,-0.166666666666667,-0.381359294115571,1.12800761166714,-0.264355646260752,-0.0776338756053994,0.385381513720152,-0.281102889007174,0.58432981080879,3.22172812576779,1.66778997439589,1.3968654460443,-0.0264120321083866,0.560057931368629,-0.166666666666667,0.929005931603673,-0.219004829463181,0.866523387422928,0.213922478000129,0.161101707099225,-0.185423395578673,-0.610678870948051,0.429749207276011,0.813449666740238,-0.312998753373949,0.341578378521037,-0.324090571221041,-0.166666666666667
"MSSA_As_2 (GE) - TPM",-0.234405132117192,-1.16220202821723,-0.166666666666667,-0.228268319051905,-0.166666666666667,-0.501115215149099,1.48397814418016,-1.58627263173492,-0.249189105704999,-0.239036065722425,0.931271335457659,-0.0430088599316453,-0.592541946361504,-0.235441381225797,-0.210255039111907,-0.234579185157611,0.815525728058267,-1.02598311515711,2.13478650173439,-0.558749788674854,-0.152257714959186,0.174437148677386,1.60602551264214,-0.285435338425708,-0.980757578744763,1.12167198570709,-0.749868771676638,-0.887388757584911,1.66182493023462,-0.408802420430102,-0.691211077681149,-0.217845665442167,-0.238953528651477,0.636738300129286,-0.565463164461681,0.561324855074092,-0.166666666666667,0.964850458221413,1.35934777189404,-0.422241259344082,-0.166666666666667,-1.46391483762924,-0.81677438677921,2.37566283905683,1.57300110813997,1.4126063884914,-0.33763734697004,0.313354084295197,-1.01095154432084,-0.25942566151338,0.703385605918194,3.39752900729965,2.22078802371164,-0.434777032628676,-0.236942046373272,-0.572207269199056,-0.989800797358166,-0.980528700246021,0.595491288547272,-0.0593601442199863,1.66265305262892,-0.17817401952091,-0.349028489099383,-1.26737598724201,0.0957334673079792,2.22972493588931,-0.465112119075461,0.27874219050994,0.515908807563169,0.141136910531876,1.12246775441755,-0.49668530680512,-0.0428320043536604,-0.0907293433310333,-0.356157102211305,0.961648649009937,0.254991896756778,-0.166666666666667,-0.338612029226308,-0.759461542073933,0.469739090623027,-0.23385516491427,0.988232245927733,-0.270503723961266,-0.588769245798617,0.000768406325778264,-0.166666666666667,-0.381359294115571,-0.306846539402564,-0.264355646260752,0.729397925748546,0.0549351687982184,-0.281102889007174,-0.748318465738426,-0.451960775990341,0.0512168217767212,-0.383493928266083,1.16676831199354,-0.224085619634031,-0.166666666666667,0.393224559704465,-0.219004829463181,1.17706256570133,-0.984162056886844,0.0867007128339203,-0.465593865492185,0.968567183862965,-0.549325482982744,0.700336019168493,-0.312998753373949,-0.426947588995239,-0.324090571221041,-0.166666666666667
"MSSA_As_3 (GE) - TPM",0.188507700068173,1.35885186139149,-0.166666666666667,-0.228268319051905,-0.166666666666667,-0.475282288882092,0.768251642931548,0.92539093957916,-0.909623515940365,-0.239036065722425,-0.507362828919568,0.652545834768555,-0.592541946361504,-0.235441381225797,-0.855280023166936,-0.234579185157611,0.362525211158169,0.72236182324252,0.950485072837564,-0.49765481444378,0.6130063889528,1.41250275804593,0.871588369267008,-0.285435338425708,-0.156582752413472,-0.447980635045254,-0.749868771676638,-0.527258997740913,-0.418752905297637,2.42660588252582,0.586265196054744,-0.217845665442167,-0.238953528651477,0.301117985052161,-0.565463164461681,-0.199938106969602,-0.166666666666667,1.89671912487292,1.1740153859131,-0.422241259344082,-0.166666666666667,-0.0676546731229208,-0.81677438677921,-0.421476767496491,0.313666725520643,0.241794966451246,-0.749328739335534,1.10596634112847,1.07488618955763,-0.25942566151338,0.371743682982774,-0.37354413230532,-1.42370689643403,0.25698366189768,-0.236942046373272,1.85628832643369,-0.33985756416007,-0.673871235966581,-0.639776036193437,-0.595280674411282,2.09921824778356,2.80786973773822,0.135067823991401,-0.326878346819264,0.468534951098794,0.614373547091196,-0.465112119075461,1.52855481132916,-0.540179127359754,2.82709312862278,0.961793544843259,-0.49668530680512,-0.699001064065309,-0.315866267514892,1.23882143010665,0.565022525919468,0.0881088199069463,-0.166666666666667,-0.338612029226308,-0.759461542073933,-0.000546538282946782,-0.23385516491427,0.473496086195797,2.48282460177112,-0.588769245798617,1.44225638775389,-0.166666666666667,-0.381359294115571,-1.20625458809103,5.31215155160821,0.643771039396119,0.632265753155973,-0.281102889007174,0.292573279606228,-0.451960775990341,-1.22527568346276,-0.383493928266083,-1.09252299500294,-0.652281984656091,-0.166666666666667,-0.586806189856129,-0.219004829463181,-0.55178762416971,-0.249272969692831,0.000484736497597855,0.912060822199923,0.754188650417243,-0.222637982724553,-1.07012057191667,-0.312998753373949,-0.426947588995239,-0.324090571221041,-0.166666666666667
"MSSA_Bs_1 (GE) - TPM",-0.180190260941052,-0.241172947817599,5.83333333333333,2.63339110581488,-0.166666666666667,-0.496036327289582,0.0366495160749428,1.93730549006706,0.201013952205683,-0.239036065722425,-0.522338579220007,-0.577411573399771,-0.592541946361504,-0.235441381225797,0.988750416895403,-0.234579185157611,0.56449590062213,0.187606733676459,-0.340108807475927,-0.397723734935372,0.84180375842231,-0.220034181108088,0.391190414874647,-0.285435338425708,-0.258117905935091,-0.758643648974437,0.55652932001657,-0.175636827175298,-0.418752905297637,-0.408802420430102,-0.193390573959416,-0.217845665442167,4.2288551501382,-0.44700736232208,1.99752358251097,-0.779273842540968,5.83333333333333,0.985496373850942,1.82943692695971,-0.422241259344082,5.83333333333333,-1.15607810666626,0.01275650533795,-0.421476767496491,-0.20950399796904,0.08359443779576,-0.732264439059499,0.30606719236118,0.513107277261076,-0.25942566151338,-1.10353078882244,-0.37354413230532,-0.139982445066665,-0.0724739764849615,-0.236942046373272,-0.468489877274477,0.905152260774061,0.991246598160152,1.02208064862614,0.486213708517716,0.0888607247345572,-0.318867467808108,0.279798898457162,-0.0762409257960854,0.187301572051643,0.267573354813947,-0.465112119075461,-0.165401840912981,0.214347092871521,0.398573572707028,0.515664744427222,-0.377279527819488,-0.951528169835909,-1.0504363993991,-0.356157102211305,0.0593889947638695,-0.807309340961689,-0.166666666666667,-0.338612029226308,0.374062739394955,1.23130687968136,-0.23385516491427,1.04888738366146,1.10398787358564,0.562462419952943,0.532058835446551,-0.166666666666667,0.616150203890034,-0.22312050055534,-0.264355646260752,0.913001729201443,-0.0716043430182941,-0.281102889007174,-0.56554246552233,0.857265841650296,2.58939115482874,2.15443885972377,-0.237658308728795,0.211823675420371,-0.166666666666667,2.8138835938746,-0.219004829463181,0.260881064150173,0.0177887995552751,-0.390106684128229,-0.471008413097595,0.193540503717547,-0.429230389118824,-0.497582576949947,-0.312998753373949,-0.426947588995239,1.5956342893916,-0.166666666666667
"MSSA_Bs_2 (GE) - TPM",-0.638251939159676,-0.43461676511676,-0.166666666666667,-0.228268319051905,-0.166666666666667,-0.505410791171235,-1.11891541742301,1.49165891536256,0.710136824754808,-0.239036065722425,0.253135616961751,-0.413579195646903,1.06536180059759,4.73572305094399,0.528941691838305,-0.234579185157611,0.360229356875445,0.31309104028491,-0.283739066693299,-0.692687557519603,0.457722127733119,-0.217080344758169,-0.0256898477518967,1.86213645221784,1.65399749647741,-0.817594315249303,-0.352939853062069,0.225571837894494,0.219091938224986,0.34655980899376,0.216319430902218,-0.217845665442167,-0.238953528651477,-0.493873681577931,-0.565463164461681,-0.956704890270553,-0.166666666666667,-0.624756342782356,0.052385524571299,-0.422241259344082,-0.166666666666667,-1.02762101817983,-0.438714129174259,0.436045139802633,-0.312897470172374,0.668149362927659,-0.931155055659604,0.00265803116681773,1.42012277511243,-0.25942566151338,-0.664875318646542,0.493532136733309,-0.214922359741292,0.581653178196347,-0.236942046373272,0.0591117311081924,-0.134856633468736,1.14353015657373,2.01110400314036,-0.102387583737499,0.0353050919448678,-0.153595588871119,-0.492915207074953,0.444727355255477,0.276224123440218,-0.259618107605568,-0.465112119075461,-0.056153029202734,-0.485155571903375,-0.375783077816181,0.0894169582888683,-0.49668530680512,0.276068906755128,-1.05207513689306,-0.356157102211305,1.17321325495267,0.0854417113208522,5.83333333333333,-0.338612029226308,1.21303338617427,0.612230584854998,-0.23385516491427,0.62128642262781,-0.35498184208076,-0.238985254018317,-0.00397672644690586,-0.166666666666667,0.755182761199981,0.999604866252927,-0.264355646260752,2.03395212225431,-0.0698300648826726,-0.281102889007174,-0.0575723599304894,0.14472170725038,-0.158788154424613,-0.383493928266083,0.119585126927122,0.397898743898874,-0.166666666666667,0.509285456416235,-0.219004829463181,0.757802890693555,-0.987240286242828,-0.422103222290354,0.373121445719451,1.08292012221338,-0.164212940583455,-1.13382189889272,-0.312998753373949,0.0723499778844622,1.42574583689338,-0.166666666666667
"MSSA_Bs_3 (GE) - TPM",0.455888358251952,-0.807582185381217,-0.166666666666667,-0.228268319051905,-0.166666666666667,-0.510899816006399,-0.847656440554444,-0.950334486680436,-0.107828628334625,-0.239036065722425,0.21930930125657,0.201133015108453,-0.592541946361504,-0.235441381225797,-0.542045142054398,-0.234579185157611,0.0917666427620143,0.0806930027521328,-0.0190895057619895,-0.679709299564679,-0.0862670889039855,-1.41378521017974,0.365241429981175,-0.285435338425708,0.584313324352101,-0.188181029046895,-0.749868771676638,-0.00244154071547344,-0.418752905297637,-0.408802420430102,-0.691211077681149,-0.217845665442167,-0.238953528651477,-0.56611729516126,0.914760387424954,0.292091483275418,-0.166666666666667,1.76474451811009,1.00434783593143,0.393255512694999,-0.166666666666667,-0.766153617560644,-0.217916841512906,0.257692034364642,0.563164003943469,-0.500448182713343,-0.879152212965486,-0.14655821710024,0.529403116359487,-0.25942566151338,-0.00772648842431387,-0.37354413230532,-0.28124583489261,1.35662895105631,3.46171910754233,0.997248252630236,0.34482706727056,-0.204090402024463,-0.639776036193437,-0.595280674411282,0.173295424370187,0.0274888660996871,-0.720965281306185,-0.407468024366464,-0.975975476348551,-0.736454843925959,-0.465112119075461,-0.538689847473337,-1.30800583962581,0.481697941952073,-0.634318351255247,-0.49668530680512,-0.953069334418707,-1.06423725883356,-0.356157102211305,0.131944924546706,0.227279705589891,-0.166666666666667,-0.338612029226308,0.72838829013438,1.20544894275926,-0.23385516491427,-0.0684507555620594,-0.373767334732133,0.519365125296,-0.446722950980726,5.83333333333333,-0.381359294115571,-0.332719515992554,-0.264355646260752,1.19001852259279,-0.547061636227664,2.7089523472304,-0.447627432264385,-0.451960775990341,-1.01041959615004,-0.383493928266083,0.96463233090142,0.387414466869316,-0.166666666666667,0.347488215797134,-0.219004829463181,0.052469678957459,-1.08537225789513,-0.0344071940549306,0.360956879176398,0.418728291044997,-0.709574683481404,-0.0737188687726662,-0.312998753373949,-0.426947588995239,-0.324090571221041,-0.166666666666667
"MSSA_Ctrl_1 (GE) - TPM",-0.816796136180382,2.05108814201901,-0.166666666666667,-0.228268319051905,-0.166666666666667,-0.312980852373666,-0.716532267985481,-1.15942977333705,-0.586723789447563,-0.239036065722425,1.05109351166354,-0.577411573399771,-0.592541946361504,-0.235441381225797,-0.855280023166936,-0.234579185157611,-0.233806724724582,-0.840282351166816,1.6758718446037,-0.0993166305534408,-1.73631832237219,1.02499143546304,-0.710781116995469,-0.285435338425708,-0.980757578744763,1.61858244484074,1.78222412329067,-0.258937289034868,-0.418752905297637,-0.408802420430102,0.0324548761573096,-0.217845665442167,-0.238953528651477,0.732319789438484,-0.565463164461681,1.39815532896031,-0.166666666666667,-1.07847010089984,0.0578591656614516,-0.422241259344082,-0.166666666666667,-0.272837249599098,-0.81677438677921,-0.421476767496491,0.53301676852573,-0.824109032341129,0.961645977832155,-0.874759154443185,-1.01095154432084,-0.25942566151338,0.960091505538999,-0.37354413230532,-1.18622587985104,2.41185144324634,-0.236942046373272,0.246173404664814,-0.9737127378497,-0.980528700246021,-0.639776036193437,0.452808825039088,-0.423838461343082,-0.668078212859748,0.733814018002981,-0.468215013360428,-0.563490294721218,0.378144134171235,-0.465112119075461,-0.800815433557396,-0.808719038533412,0.124617935664375,-0.390904259387905,1.58623164055407,-1.02921617730041,0.985915804334089,-0.356157102211305,-0.45829547189399,0.215561478443917,-0.166666666666667,-0.338612029226308,1.03810406245841,-0.820903843393098,-0.23385516491427,-0.102681612963551,-1.17572206357254,1.64257626958755,0.900583874294544,-0.166666666666667,-0.381359294115571,0.552700479519185,-0.264355646260752,-0.775719286649916,-0.74010369727708,-0.281102889007174,-0.405484217808562,3.35440204375433,0.549463550868782,3.30581886217441,-1.09252299500294,-0.652281984656091,-0.166666666666667,1.13533070200106,-0.219004829463181,-0.620531546783828,-0.331780252928562,-1.09177371253333,-0.532666964327134,0.908720015100524,-1.0211466904978,-1.31186341291517,-0.312998753373949,-0.426947588995239,-0.324090571221041,-0.166666666666667
"MSSA_Ctrl_2 (GE) - TPM",-0.26266227466493,2.08027019321108,-0.166666666666667,-0.228268319051905,-0.166666666666667,-0.352885604386145,-0.908406738928476,-1.03249066719207,-0.70015996101066,3.93832009717651,1.36708142496503,-0.577411573399771,-0.592541946361504,-0.235441381225797,-0.855280023166936,-0.234579185157611,-0.760978211056267,-0.785056666644259,0.978361912145735,-0.318509610158107,-0.639654199620803,-0.61780405594649,0.00723667300948506,4.15806668257361,-0.0721702192446405,0.369960564586133,-0.749868771676638,-0.41808818727961,-0.418752905297637,1.15410393185983,-0.221772330253536,-0.217845665442167,-0.238953528651477,-0.515368510011361,-0.565463164461681,-0.662902471164526,-0.166666666666667,-0.681265416753491,0.559361842083135,-0.422241259344082,-0.166666666666667,-1.21530956369887,1.52993857399085,-0.421476767496491,-1.37302574817447,0.231751226623549,1.8452696720645,-0.737946202538925,0.138783766237342,-0.25942566151338,0.259906471805249,-0.37354413230532,-0.381661761817379,-0.123430801672287,4.59431046914893,-0.0705664603056916,-1.05236842494393,-0.642463174582322,0.143779396327894,-0.595280674411282,-0.839207656856423,-1.45439303589536,-0.720965281306185,-0.316953956369897,0.23716408915121,0.486549239995233,-0.465112119075461,-0.0304316652919955,-1.10143423804132,-0.604317915142061,-1.18453321903589,-0.49668530680512,-1.28954663791107,1.0311041240442,-0.356157102211305,-0.658582113371075,0.253686325494213,-0.166666666666667,-0.338612029226308,-0.176425307268584,0.380192582281517,-0.23385516491427,-0.301243961646045,-0.17853428795794,0.858694240000483,-0.160485657066162,-0.166666666666667,-0.381359294115571,-0.920998090341665,-0.264355646260752,-1.03643348838618,-0.23579421679898,-0.281102889007174,-1.1954468741877,-0.451960775990341,0.614590777856263,-0.383493928266083,0.698870598868201,-0.652281984656091,-0.166666666666667,-1.02859767230257,-0.219004829463181,0.503653682191125,0.515285699487658,0.407140364590224,-0.382442686099705,-0.772813581984884,-0.895425526896252,0.909634651369251,-0.312998753373949,3.70540273316129,-0.324090571221041,5.83333333333333
"MSSA_Ctrl_3 (GE) - TPM",-0.392261534214421,-0.097574031279266,-0.166666666666667,-0.228268319051905,5.83333333333333,-0.338935364116026,-0.625623668534086,-0.31347761484145,1.25678643637309,-0.239036065722425,-0.474976671940103,0.201695389521659,-0.154531812902777,-0.235441381225797,0.790390978504246,-0.234579185157611,-0.765832390671121,-0.195376479171199,-0.296784588374577,-0.059210679050002,-1.09303454655331,0.341597962172068,-0.245716412099867,-0.285435338425708,1.62957811613464,1.66895213752153,1.13773175626349,-0.292147393516868,1.09788673676649,-0.408802420430102,-0.151739465459349,-0.217845665442167,-0.238953528651477,-0.228884417106459,-0.565463164461681,-0.251348817806303,-0.166666666666667,0.157831137166018,1.88034791496815,-0.422241259344082,-0.166666666666667,-0.902206813378045,0.0821608003519355,-0.421476767496491,-1.70006175809857,-0.391600000135953,1.13980620780361,-1.60640045026352,0.310306159311379,-0.25942566151338,0.961601370320762,1.00091995047169,0.176747943737925,-0.966264770555137,-0.236942046373272,0.236059227359377,0.0880302574425639,-0.592029124921458,2.96202219477558,2.33466854351932,-1.08201176391491,1.06239842909532,0.905777272581253,1.51279498123581,-1.17522469075645,-0.293746157022246,1.82583459773399,-0.604079236166634,-0.847575625131942,-0.604317915142061,-0.69628296353854,-0.49668530680512,-0.591660608770956,0.970484583164372,1.6644964106189,-0.545478352143123,0.230374995798491,-0.166666666666667,0.856983921538001,0.803909252373839,-0.442846063830436,-0.23385516491427,-1.10747049500727,-0.336557884073266,0.242931870024265,0.433302672104368,-0.166666666666667,-0.381359294115571,1.08843132480302,-0.264355646260752,-1.11079001071043,-0.74010369727708,1.96305841569923,-0.993917058950525,-0.451960775990341,0.62677055140488,-0.383493928266083,-0.269066477912841,-0.184080624948856,-0.166666666666667,-0.61720040211405,-0.219004829463181,-0.42970314440245,-1.21311342868519,0.127125038936684,-0.876279142363872,0.315284456481496,0.652254172562866,1.30827429671205,3.22356551037658,-0.426947588995239,3.83659407983315,-0.166666666666667
"MSSA_Li_1 (GE) - TPM",-0.816796136180382,-0.93491616123054,-0.166666666666667,-0.228268319051905,-0.166666666666667,-0.447510929634128,-1.04094023710385,-0.363500508645366,0.0153838405060225,-0.239036065722425,3.31191246782568,-0.577411573399771,1.27766085144823,-0.235441381225797,0.750808591711844,-0.234579185157611,-0.154569338347528,-0.0802498322766712,-0.738618100501957,2.20836534028186,0.625267340351859,0.265542934089047,-1.66376787656558,-0.285435338425708,0.133795886872653,-0.544145654913552,0.0560933554510955,-0.125504110168032,0.87638777072879,1.12495670476835,-0.46086907362529,-0.217845665442167,3.89556482401203,0.857318025145325,-0.565463164461681,-0.673506877197594,-0.166666666666667,-0.772595127023034,-0.529852671327771,-0.422241259344082,-0.166666666666667,0.979681919627876,-0.81677438677921,-0.421476767496491,1.79054204802387,0.485841483011943,-0.748107545426734,1.67613860174794,0.11734192019447,-0.25942566151338,-0.415888567606431,-0.37354413230532,-1.58682711156146,-0.635418514151584,-0.236942046373272,-0.895480671364762,0.898242535434124,-0.317007071071253,-0.639776036193437,-0.595280674411282,-0.331583162156748,-0.0451508643091325,-0.0263835249201378,-0.419469393346736,-0.837667194742051,0.743054711474296,-0.465112119075461,-0.380806215770682,0.617172583922761,0.323759708667172,0.51512386931672,-0.0546919982189178,0.410842447009397,0.208001989225482,-0.356157102211305,1.05984471342417,1.05545452154657,-0.166666666666667,-0.338612029226308,-0.759461542073933,-0.3349366504177,-0.23385516491427,-0.415889847268876,-0.387011263421136,0.121465352045344,-0.407933182461291,-0.166666666666667,3.31102918586142,-0.786349623579495,0.741145488324671,-0.565174416394048,0.373431255571832,-0.281102889007174,0.269593558910132,-0.451960775990341,-0.253933283964271,-0.383493928266083,2.77504449316583,1.21355626409704,-0.166666666666667,0.452821853606887,-0.219004829463181,0.537300586891914,-0.974407918623961,0.869287329296942,-0.0161541673493772,0.890477435037544,0.589361252652867,0.122267853829224,-0.312998753373949,-0.426947588995239,-0.324090571221041,-0.166666666666667
