"","NGO0055","NGO0099","NGO0100","NGO0101","NGO0123","NGO0125","NGO0142","NGO0156","NGO0198","NGO0202","NGO0237","NGO0312","NGO0313","NGO0329a","NGO0338","NGO0367","NGO0384","NGO0397","NGO0444","NGO0524","NGO0539","NGO0561","NGO0565","NGO0574","NGO0580","NGO0609","NGO0613","NGO0614","NGO0664","NGO0665","NGO0690","NGO0758","NGO0759","NGO0768","NGO0801","NGO0857","NGO0868","NGO0891","NGO0918","NGO0921","NGO0932","NGO0937","NGO0938","NGO0949","NGO0958","NGO0974","NGO0988","NGO1064","NGO1152","NGO1156","NGO1204","NGO1206","NGO1237","NGO1238","NGO1240","NGO1247","NGO1248","NGO1259","NGO1263","NGO1283","NGO1289","NGO1292","NGO1328","NGO1347","NGO1376","NGO1380","NGO1381","NGO1406","NGO1434","NGO1449","NGO1484","NGO1546","NGO1552","NGO1574","NGO1575","NGO1583","NGO1608","NGO1612","NGO1643","NGO1652","NGO1692","NGO1716","NGO1797","NGO1807","NGO1847","NGO1880","NGO1896","NGO1900","NGO1911a","NGO1914","NGO1924","NGO1997","NGO2011","NGO2012","NGO2016","NGO2021","NGO2029","NGO2075","NGO2096","NGO2098","NGO2100","NGO2102","NGO2104","NGO2113","NGO2168"
"NGON_As_1 (GE) - TPM",-1.55478398178844,-0.0289222408696304,-1.02448951114463,1.06362610499886,-0.920461649365715,-0.410505667154749,-0.301999076070036,-1.02779565254084,-0.426162751174598,-0.604451188218603,-0.551079422648445,-0.420500267316043,-1.3557363315921,1.36601136437367,-1.04441883586657,-0.555898828620358,-0.542707488782109,-1.66528658857281,-0.594190324279003,-0.348210488995651,-0.0850043006498433,-1.05322078685856,-1.63203883900266,-0.417554828794675,-0.535105001106257,-0.550087734919401,-0.708255329519897,-0.436820493339583,-0.861589684980875,-1.571307396864,-0.579841411564009,-0.537538519550405,-0.605811992861812,-1.20689675137252,-0.892037563419845,-0.517427035282611,0.0760641816324188,-0.0416226432604148,-0.205946941014015,0.174440978300234,-1.28275395523793,-1.91104431980197,0.466686689405685,-0.182907825102755,0.00379154950835279,-0.201154304955311,-0.106890786899389,-0.555120685927903,-0.313125770271101,-1.16888952963682,-0.699161286111711,-0.310632284544095,-1.07716741225902,-0.610430660180157,-1.02500438279388,-0.402777230532067,0.146248541823068,-0.729230192326313,-0.772492974213807,-0.923756450031058,-0.61666544863316,0.0086735752391146,0.243982114245061,-0.956330334785968,-0.991245004094524,-0.0552276115004273,-0.870790924923305,-1.44201202967056,-1.13645656857771,0.0348208660545805,-0.959149701460811,-0.858599879667789,-0.664186404898495,-0.768360528377216,0.0351607411477651,-0.490244442841355,-0.559862668798004,-0.980680119417237,-0.896174427536466,-0.216145829410474,-0.122336054713818,-1.1181621152362,0.215371448875552,-1.05782446856041,-0.401839980222365,-0.619001827164467,-0.77499637302291,0.214921989755917,-1.44500039996187,-0.85097249874727,-0.651172906500793,-0.953559548573714,-0.0397978778603482,0.236119776167609,-1.44297449379447,-1.38155280770144,-0.69540278096237,-0.339257462187294,-0.481986248706504,-0.754736212141823,-0.378846473150879,-0.694862341344386,-0.61514450898751,-0.0528324635332804,-0.577444510209133
"NGON_As_2 (GE) - TPM",-1.68087929961191,0.835690980286064,-0.464078706514615,1.76719585431476,-0.73806026568669,0.111404758000205,0.234080521788264,-0.615318078460703,0.432099318043873,0.131734316500985,-0.371206610179331,-0.387128764116857,-1.43441060570362,-0.123110803498921,-0.31982477319731,-0.267255930594149,0.716440782262723,-0.779569542540261,-0.360417749255469,0.544259672053364,-0.0625003554484071,-0.644268853952069,-1.29620132033631,-0.332810766652526,-0.430792459426543,-0.0799289500934488,0.0299719501640381,-0.0179049592921408,-0.647539370873004,-1.31783760697969,0.263955519709386,-0.228071407610125,-0.441299246700376,-0.760866277142686,-0.940478979046505,0.312791334937283,-0.117559648526909,-0.465341603118133,0.530421700315878,-0.587928136654863,-0.24936144931688,-0.993461130231582,-0.00176862790457974,-0.111598837206893,-0.898119084609868,0.157495924176946,0.136052592359429,-0.668050326797169,-0.104227753392425,-1.49793724642903,-0.102083386569181,0.0829894103682719,-0.592553503536638,-0.592158655710804,-0.642234174803591,-0.770625324088967,0.613647191550505,-1.3336380738149,-0.741813405346018,-0.132829479864982,-0.468889035226604,0.134370214976018,0.234040279641603,-0.591086211355776,-0.343364113860851,-0.0960845723225793,-0.389682515265552,-1.67502633768931,-0.477010643740931,-0.200981079863982,-0.630885984277145,-0.199931779905975,-0.363193244929115,-0.22818436544688,0.0786859404757408,-0.389960266406606,-0.39577599723774,-0.390563551169363,-0.823373867832866,-0.264517616858488,-0.203589242206197,-0.721604743222814,0.253021291050564,-0.465782579461892,-0.583639077524394,-0.0771073535297579,-0.338113792174732,0.308321195364873,-1.1895327384214,-0.586705069352105,0.107549208150235,-0.695315128310938,-0.371201777716784,-0.269036188056286,-0.687381541066679,-1.08540323853881,-0.00998840426461315,-0.0197520198238266,-0.201957784966116,-0.57900197823488,-0.532216241098579,0.644463374959001,-0.636489075129417,-0.728193260483568,0.69409086808435
"NGON_As_3 (GE) - TPM",-0.304995685899272,0.0228153598155532,-0.90835600558649,-0.572635531827169,-0.492508325034326,-0.00534198177306918,-0.779834429480466,-0.81171857546765,0.222955941818183,0.13199591979695,-0.602277592321967,-0.18191510858536,-2.16608727388054,-0.0579457115245363,-1.06062392734066,-0.410460555761542,-0.919751934592975,-2.14173684328573,-1.16093652489069,-0.670932756921147,-0.539993804659312,-1.17384707744848,-0.96479893711265,-0.504532707550703,-0.924888174158643,-0.940096095640351,-0.381388322911418,-1.01371372131279,-0.941031052205063,-1.8679390862705,-0.837960655145552,-0.646402851742163,-0.842769154625015,-1.50242534832745,-1.81055424604135,-0.295966939554661,-0.413131401507311,-0.594097668861213,0.139497772721965,-0.0752911590225546,-0.86146684720298,-1.25284270442641,0.323325840914722,-0.444601433306762,-0.477270710490308,0.763907064896285,-0.023314628267118,-0.482426499600879,-0.117708497270948,-1.09530745248468,-0.888229711440444,-0.900275361948519,-1.28652230180031,-1.12092654944527,-1.10686220599629,-0.819097593414393,-0.881774938712735,-0.937287854310783,-0.0662685771867398,-0.720866401413686,-0.226053836054934,-0.243857517095754,-0.579474759272721,-0.731680349835269,-0.617184230027987,-0.449862427595438,-0.544528272917584,-0.811575929978776,-0.804811638867012,-0.202638227860758,-0.785107647020472,-0.418860990916983,-0.384592303488173,-1.32660502893194,-0.525165102239901,-1.10620978293694,-1.13552457351891,-0.0873602528898154,0.141868300081108,1.01948091673856,-0.083503506896616,-0.715534824346923,-0.575290717006216,-0.782456093842197,-0.0911564143281742,-0.908331277105069,-0.886301942867334,-0.0359068383926757,-0.546659619024546,-0.95500744403005,-1.51842341620522,-1.20360501582054,-0.531960671053334,-0.213022697660234,-1.17740628685344,-1.08505700112921,0.103090801526964,-1.02983046344537,-0.828584703514038,-0.880858306703458,-0.565787942448263,0.420754683618011,-0.579584571834105,-1.02210737474535,0.212399703290848
"NGON_Bs_1 (GE) - TPM",-0.452581613880934,0.638034126597778,0.234193705808649,0.371871299859578,0.155120998772193,0.735184710263097,0.055281871108695,0.0230446256618472,0.0833836388107484,-0.87350606978087,-0.5883711133028,-0.478738188387538,1.0904299493904,0.0266048363895079,-0.389514623915848,-1.79652480068723,-0.046335863636986,0.834336416306254,-0.881531990437594,-0.306875771050282,-1.09593516255847,-0.0274468287224965,-1.22693709559482,-0.778302672429242,-1.84542970595177,-0.793682092336125,-0.49985361457874,-0.913238354322335,0.0798007708425182,-0.717008532150914,-1.56009826842146,-0.184684066045051,-0.174103096503201,0.0706608147122252,-0.865464803840884,-0.471842645759039,1.54875388747439,0.00639327014107915,-0.993770696200767,-1.07484476740064,-0.151609856939116,0.0190194462388254,-0.155736731846303,0.0992120462479813,-0.710494596325035,-1.62771939684991,-1.46108012015108,-0.842210616596283,-1.53177674153472,-0.445573911983268,-0.36829880813823,-0.696895478307811,-0.0312463686808385,-1.00385640183919,-1.59040962811281,0.245567736200967,0.341024823005146,-0.539183610864113,-0.698753447106761,0.144481990003157,-0.898883849274134,-0.452528154825641,0.00718259536269183,-0.557897060739217,-0.378190810856159,-1.45176194821879,-0.27422178274668,-0.212643232026631,0.362234630725672,-0.515188797161189,-1.22361062067544,-0.326389301147513,-0.5616023691971,0.358801841888669,0.104087482306663,-0.709517152586829,-0.652591490115492,-1.06759774002033,-0.914038249189546,1.41756188861867,-0.962231241817041,-0.725344443950773,-0.505824460189103,-0.302800837899805,-0.730754269841071,0.249697975383437,-0.0607587310461017,-0.679452084546861,-0.014692068018955,-0.41076926208031,0.208697799841927,-0.622607713600064,-0.229499625396347,-0.401319006485266,-0.376697785311036,-0.607015841761603,-1.1243392286058,-0.686569338696323,-0.765903454289798,-0.937931502056935,0.31578914205766,-0.698470523028289,0.350383466697003,-0.204181014493074,-0.842737573851007
"NGON_Bs_2 (GE) - TPM",0.00617932485180777,0.369286532229912,-0.0225627323755932,0.346122659416788,-0.697867203950842,0.89768308324443,0.0343424500419954,0.093401999960467,0.0443463259248956,-0.617564448720265,-0.535538786413949,-0.485564629086736,0.596066945859868,0.314803739189297,-0.109942065369845,-0.912594265599411,-0.348597731047741,-0.319482638624893,-1.03316245464257,0.313635736196528,-0.271443671667596,-0.0947913749395059,-1.11196135112344,-0.372446248510741,-1.10280171593941,-0.38395914560669,0.618611479389786,-0.0947358327943439,-0.397147696827983,-0.962377552449218,0.159770318819836,-0.398540473288901,-0.916725038054644,0.238452547524504,-1.33563035480978,0.502577903198136,-0.0864148716920472,0.446457769730554,-0.964504358535944,-1.3584612986094,0.834046544172112,0.285879309520343,-0.934059696415357,0.0970198380891519,-0.322936410971112,-0.907034647200581,-0.621046641095516,-0.788790428619848,-0.995286677017493,-0.51702068503405,0.104916988670923,-0.919326826912115,0.14076423685294,-0.883322903478362,-1.51526614232114,-0.58506699609004,-0.286933299870658,-1.49274938399167,-0.456657916349697,0.572723809341761,-0.605446851314979,-0.29929666298206,0.0688267106504638,-0.0116584374089753,-0.279198796666834,-0.992423850917591,-0.410118125742907,-0.589445938667779,-0.886246744490668,-0.516423904274467,-0.854447693109424,-0.143408560602905,-0.342053635395296,-0.0384454663552953,0.144763064341331,-0.582526583755279,-0.206196262698101,-0.101452412551491,-0.437882310800695,1.16876921268125,-1.18213860777697,-0.444575729290958,-0.991609903881232,-0.426590222667272,-0.186967192736842,0.367772260335281,-0.00865242837015953,-0.727589734327851,-0.268824495709871,-0.870326725665887,-0.343602914488347,-0.843144294755947,-0.402644232019067,-0.479365871904138,-0.945165233199969,-0.294348634058626,-0.234140486406874,-0.678692638666697,-0.809043694545918,-0.602062265103737,0.11453076289775,0.249987809428259,0.821887016577264,-0.866161734980356,0.539715287892204
"NGON_Bs_3 (GE) - TPM",0.118218518119951,0.419099430525001,0.0817509810334035,-0.436541501428994,0.727511050565123,0.763865767617793,-0.466804439523566,0.111074337389407,-0.0879432952350513,-0.751771193037518,-0.720726246473199,-0.913146688438668,0.458474678198418,-0.251800751776842,0.0881568237405194,-1.59725109146094,-0.432203473214555,0.25045016990586,-0.750296823091636,-1.10461058386008,-1.05596652606157,-0.105603034100792,-1.55318676805859,-0.526084946018518,-1.3282222850881,-0.812766671475381,0.144502550756908,-1.03985580093082,-0.586529228975307,-0.169543060283827,-1.25051592370548,-0.738303772409305,-0.593608657348914,0.606663229646183,-0.376588007845571,-0.51777995986085,0.916236144651523,-0.242140343888443,-1.25428007036865,-0.807930995266404,0.300692080991078,0.489862559557493,-0.793264705980746,-0.374234955835876,-0.49563974495378,-1.58271988413828,-1.2402207264542,-0.763483043286126,-1.36026128452576,0.0687941519118157,-0.280601316095271,-0.350489118200476,-0.309393767015956,-1.5157382361882,-1.040739777123,0.185937929851748,-0.373722357886165,-0.767709160629415,-0.586086284135108,0.0270500302876434,-1.05584577213283,-0.118844193022185,-0.111376092584907,-1.00667257939145,-1.04706803261269,-1.24722096410939,0.137924734830314,-0.164052930473182,0.0687626211426448,-0.450898181531785,-1.16089255925015,-0.787035121038529,-1.3112165556685,1.03157807977187,0.0223626980424886,-0.578635015731418,-0.427895286855266,-0.512895293069865,-0.511895435292935,0.951705993345454,-0.816642249693232,-0.401658894438228,-0.759832689919038,0.151152205818395,-0.453976902342873,0.268871952263282,-0.581149965225834,-0.761853079322769,-0.526032689154017,-0.404621480606281,0.428805398413912,-1.38938765382023,-0.26690616780031,-0.510584042665792,-0.285156467068192,-0.678041288905455,-1.28844527018176,-0.605128045008536,-0.460065271346059,-0.472706011414678,-0.0429501021880659,-0.745339579458446,-0.538423566203481,-1.07326912696414,-0.715445346992447
"NGON_Ctrl_1 (GE) - TPM",-0.522275575076285,-0.812593803849579,-0.113213683159446,-0.129688364684281,-0.452710863211418,0.313167069293201,0.466309963556873,-0.112724253553144,-0.43186009908176,-0.513462847732815,-1.11462245732852,-1.25862833046669,0.37114078484718,-0.301612971610475,-0.96243006645298,-0.0988719362842323,-0.0518830362739992,-1.18078661948737,0.755673830626611,-0.828861695947338,-0.891810826597888,-0.157870868369983,0.151017009490224,-0.22235042987329,-0.145600721381388,-0.986677472467331,-0.730275169071983,0.0834272346608888,-0.691219382696686,-0.222215338094123,-0.984274673531316,-0.100469996478874,0.440431520876574,-0.710858062021697,-0.605011602109285,-0.917164112777812,-0.0512615441840419,0.926463955530742,-0.124509809257031,0.3930419359794,-0.881829905376009,-0.167104134970724,-0.972803918229806,0.0400156942082809,-0.971856507305919,-1.65683684134485,-1.25692420473121,-0.316187549215963,0.299096885758185,-0.319587105990684,-0.134928639654209,0.161034312037662,-0.18749514682391,0.210829092359566,-0.267915149095933,0.830376317042716,-0.0568804743512374,0.521129698516113,-0.719949370720523,0.0190140793206485,-0.225697750991482,-0.68389414292138,0.431157712053796,-0.551652962989502,0.193715715934361,-0.295105010468657,0.322540390966845,-0.315534590182215,-0.770711899271256,-0.139320045307758,0.620011990103987,-0.26432267581189,-0.0918613741487444,-0.768319583669741,-0.600386350160444,-0.535597637342903,-0.465166472558654,-0.994738381471277,-0.917287515509828,-0.728837506803413,-0.67961103545844,-0.298376088810033,-0.284726957421113,-1.25451009718901,-0.0932031709405163,-1.1455097097345,0.0106561455762751,-0.0865902450100775,0.236537185293979,-0.0872003987876542,-1.29924256580734,0.332765356292281,1.50419452372939,0.83171990523209,0.0733657738074349,-0.260573875987407,-0.112344221542969,-0.805314072746302,-0.389229289220561,0.947937917627278,0.689365194464456,1.55405460489777,-0.479196090731369,-0.460348071159122,-0.308402032339759
"NGON_Ctrl_2 (GE) - TPM",-0.773672706070514,0.45282786471068,-0.501250219488228,1.20456186795857,0.668809911945353,-0.290407424745648,0.72493788194842,-0.123024699598877,0.219741310632738,0.961393930850145,-0.918102532721131,0.949399472918109,0.146113879496599,-0.0581086507763999,0.675471100691854,-1.0701929610435,0.961780033172744,-0.256400940443563,2.00455255838426,-0.930110603384349,-0.573901647892805,-0.323505004332625,-0.811793418988278,-0.742381063764925,-0.00183696690855455,-0.423146128497972,1.18114854572352,0.187511087782786,0.455964734748029,-0.00675306699535605,-0.488917540611688,-0.206927778120458,0.705375631163899,0.247012204997803,2.04592193344156,0.0375749127577715,0.280229314751953,0.239676325529136,0.483608589835278,0.367003982288228,-0.130838723951644,-0.248221569400554,-0.874178840219044,0.406109877108376,0.367066993799486,-0.364887679799057,0.0295543000261619,-0.204258658012818,-0.27635747133501,-0.180199273411089,0.50621056131507,0.822045834989368,0.0152277492076021,0.868122414505066,-0.0800093167483247,0.468307846020632,0.307303583975213,-0.951136091749797,-0.488424155609398,1.13450564236301,0.69844797294831,-0.0944465028232656,0.659809899906666,-0.237657934640085,-0.837315580130242,-0.15495227189139,-0.0153891809439509,-0.471024773038838,0.580940513264023,-0.429614485338831,0.614522613243784,-0.862849162032401,0.260031363466175,0.743872096616357,0.791654288640205,-0.529711761074229,0.241002200225746,-0.663408883883417,-0.219792620911817,-1.18888320878646,0.162785040019542,0.338300940255193,0.533721782284169,-0.701963239970229,1.33950773273411,-0.492549174930687,0.511201593252782,0.446827155770949,1.14070613526209,0.779495572129425,-0.219781109902113,0.204659547087131,1.43127004391033,1.67343157905157,-0.110475852978428,-0.590230811100605,-0.208602099752649,1.96598774242883,0.0508920376068457,0.723723478177536,0.490041532680772,0.883625483874596,-1.1122180764518,0.122616692617294,-0.322389141046963
"NGON_Ctrl_3 (GE) - TPM",0.0165319741670609,0.176255018114004,-0.124514818848932,-0.230801354418509,0.344251380952963,0.595266118266377,-0.84351737271728,-1.15075832303734,-0.392280316165781,-0.906985068707512,-0.516590141806868,-0.993908238654001,-1.3653348797436,-0.72092753817115,-0.27311609283842,-1.03177830191957,-0.310472922066545,-0.632827102716631,0.296165282126673,-1.0899658572202,-0.9485875974068,-0.309239155391003,-0.49080315140014,-0.426040352934334,-1.26612466620647,0.179881350344857,-1.20499087771288,-0.858723055502014,-0.558535640966305,-0.497896657407469,-1.10597014542565,-0.124109270503894,-0.820539606923709,-0.583471052836863,-0.53046183938664,-0.796135257160801,-0.193087586411317,-0.518222351544281,-0.293269071972912,0.357939904467151,-2.00906465413314,-0.398807000395644,-0.812017052999231,-0.518237587206681,0.0411660314399193,-0.572711130924639,-0.328824201051951,-0.594518517502008,-0.268445229735547,0.526818048612793,-0.4020896593725,-0.534162522894772,-0.62922471584769,-0.413533050549397,-0.43643619645869,-0.396344996364681,-0.669118271323512,-0.78842404341683,-0.420524918093404,-0.866409256442506,-0.0242104054161963,-0.607329106043936,-0.238158650592585,-0.973214481004186,-0.719829994519385,-1.16384489452082,-0.632797916342865,-0.80128722945509,-1.1776882628289,-0.520351576682147,0.192006508162996,0.148056669870731,-1.20485070640627,-0.108901844805939,0.398453017726902,-0.871263043599781,-1.2924272295744,-1.08130982980979,-0.218042625313008,-0.766308470072924,0.655694926121702,-0.235521796378137,-0.61097110325038,-0.794259394141305,0.709313237681087,-0.438814954508971,-0.889832959620566,-0.589499039662025,-0.434494144185309,-1.1524087223701,-0.548367170716809,-1.17214519638448,0.311017973300409,0.585345471142371,-1.05262572622226,-0.901679984723391,-1.05515792170318,-0.683609255490871,-0.481997074084189,-0.024071989973185,0.335630132747712,0.196089414395207,-0.516316671945631,-1.36325804341679,-1.47932145889651
"NGON_Li_1 (GE) - TPM",1.97855377589101,1.52333562602179,1.58170449089104,-0.160668949403069,2.08803527880919,0.192623934590591,0.912257520921631,1.25151680726274,-0.663965356579482,0.991656668085014,0.657666490105788,1.10909463997033,0.846323207684166,2.78257727746416,0.100337121079227,0.822235092114408,1.14571722267121,1.03086952531143,0.494884147163957,2.11127247491168,-0.738881499869718,1.84570992653811,0.903101245943109,0.271042795861911,1.27423563564824,-0.0958292280581197,3.56994858497173,1.56402921220487,1.66259580495769,1.80107286846639,-0.0554074268869128,0.515005708321812,-0.0508741677377684,1.18174946610278,2.47404506106696,1.92433146777055,1.16567957054243,0.36467938183216,0.781845318423126,-0.0825791661296437,0.858377132440377,0.732731000295636,1.68403315522911,1.23978288475123,0.0494798733917358,-0.0947816234115391,0.254003758875693,-0.264458448776653,1.54964453707826,1.54329581518319,1.13800806712582,0.989515177184301,2.42923775400332,2.00965773495087,1.59643107867817,0.391529103648798,1.15577482174607,0.82543643008373,1.49154744890003,1.01966085083092,1.74721727501862,0.704030747888517,-0.199417473849073,1.15656592700295,0.732716268979175,0.827097900681712,2.78087045082434,1.32494522202469,0.617706970378338,-0.507214371450616,1.27452265958848,0.00794178249579693,0.981411753820369,1.16496947376767,0.325858757961596,-0.235495845687784,0.818038710970516,1.13430046699121,1.85604682109763,-1.715896546444,0.160834922010916,1.02998368716257,1.18394847052913,1.00084585775026,0.378351615703998,1.2960707790328,0.435859412175283,1.51311205287003,1.86941895523512,0.859074265872043,1.26286613417684,1.57242543118375,0.865305108343079,0.179074778076877,0.177564130242947,0.997598476320754,0.144859020726112,0.200836932054224,0.237453280813132,0.828116509502079,1.43264404912333,0.502983350677522,1.50962758012058,0.709998192994462,0.744543178060906
