"","NGO0071","NGO0166","NGO0176","NGO0178","NGO0187","NGO0205","NGO0209","NGO0231","NGO0255","NGO0264","NGO0315","NGO0316","NGO0317","NGO0319","NGO0403","NGO0448","NGO0493","NGO0506","NGO0515","NGO0534","NGO0647","NGO0648","NGO0653","NGO0668","NGO0669","NGO0683","NGO0738","NGO0785","NGO0797","NGO0835","NGO0919","NGO0929","NGO0930","NGO0934","NGO0941","NGO0962","NGO0981","NGO1005","NGO1049","NGO1088","NGO1118","NGO1241","NGO1275","NGO1276","NGO1312","NGO1321","NGO1404","NGO1408","NGO1420","NGO1463a","NGO1499","NGO1543","NGO1578","NGO1580","NGO1598","NGO1600","NGO1605","NGO1625","NGO1649","NGO1670","NGO1736","NGO1801","NGO1858","NGO1863","NGO1930","NGO1996","NGO2022","NGO2033","NGO2083","NGO2178"
"NGON_As_1 (GE) - TPM",-0.303891699818587,-0.261428645689202,-0.488763796624388,-0.759018521192022,-0.691892245273662,-0.795295372408138,1.29834137668128,-0.276541329498372,-0.30351799168417,-0.180767710385104,0.12212940291646,-0.86227132967331,0.200912124614731,-0.890220018597896,-0.252497550770916,0.691532007147256,0.767582484052097,0.184453060943386,-0.629736081967205,-0.248643876157312,-0.624688440277849,0.0360614542949351,0.0242713866052731,-0.0115884169740038,1.23185379741303,-0.31913089533743,0.657072768500244,0.0908401690264544,-0.109638946099908,-0.120285659637877,-0.485646419983947,0.0242560601890612,-0.491354186794166,-0.0395777210576386,-0.473142791738602,-0.0295474916942924,-0.5686800774736,-0.397761763330419,-0.309086675741241,-0.69964416151105,-0.228089665323338,-1.02138007136054,-0.494878746071736,0.180756713349241,-0.29952256994533,0.358489710609414,0.26977049360316,-0.530936333440386,-0.0571792229522095,-0.145176024727945,-0.416570710543266,0.501507124223169,-0.786777488880494,-0.155849096445469,0.893793350001853,-0.129893839018325,0.327608833549306,0.161818851615455,0.126287010991219,-0.358616787623326,-0.509324908975859,0.0161957831220905,0.625799682479822,-0.717761439994228,-0.691088927843706,0.263548357593045,-0.414986699823814,-0.0713189629735484,0.178602018400458,0.259302719310851
"NGON_As_2 (GE) - TPM",0.461337483995333,-0.202526647594001,-0.597581849098645,-0.919901932820244,-1.06417239564706,0.0367892140988293,1.01257793738587,-0.0891234216864027,-0.482049644648363,-0.206586302979331,-0.955421396329581,-1.35215080535477,0.0596825156905249,-1.06312084961009,-0.192034391369154,-0.0666870607092176,0.582953974831201,-0.680700219866408,-1.12015291225175,-0.594319982710437,-0.595898428768731,-0.211954972933534,0.517559144071383,-0.287790647383635,-0.276947768806101,-0.344586647521168,-0.388673638251588,-0.267499974215716,-0.371055383675583,-0.61096480085758,-0.0590191371181292,0.0886506786722315,-0.677233500539347,-0.229464724550794,-1.3149154937972,-0.735948397635119,-0.332341805121828,-0.761429262432084,-0.111241231986181,-1.15602374955924,-0.566444590499826,-0.935444069724469,-0.290574641836158,-0.388574242969383,-0.268347199154736,-1.18539090601387,0.512067740509028,-0.488127719593844,-0.240120627499012,-0.607038977308241,-0.840191284190265,-0.365399723650638,0.631281681920378,-0.063319434233405,-0.292499350221759,-0.195269832876279,0.0677699808231679,0.150278113133785,-0.249643879029037,-0.285196039656523,-0.339454156863707,-0.909123083148769,0.436023060870244,-1.13456633891975,-0.575399922072899,0.127947695816056,-1.07827850408398,-0.341575446246122,0.081812255520053,-0.305537036398665
"NGON_As_3 (GE) - TPM",-0.632220499533255,0.201572872802881,1.91228526673672,0.507240502671136,0.407951253025771,0.566745799485024,1.61767252158553,0.837178352923138,0.335785697310532,1.44793650959623,1.01427052744485,-0.26906473944257,0.457231632549121,-0.57413674828306,0.618918782132713,1.79747513593374,1.46912902685581,1.18382022193555,0.71969780676965,0.337068970909406,0.0360959267248424,0.95741182311464,-0.173025452731104,0.871483599444817,1.1755620622685,0.483984478893285,0.538746525084101,-0.25490187114403,-0.447310017234771,-0.205273320376203,0.585250335214803,1.29543480516738,-0.205974421383049,0.367959209547863,1.28979825306488,0.0473234600045862,-1.12173792390403,-0.145853767894839,0.36706752221629,0.150786397760516,0.442611708550811,0.593487804321505,0.0293316810080918,0.636216038650047,0.885181541941954,0.460843101597277,-0.517719264451238,1.20042247602735,1.04048136437584,0.777391639826861,0.129584586306889,-0.237521111944167,0.143725493376658,0.154266918482439,0.296498081868155,0.544482938564104,1.05169632745546,1.12895512552984,-0.0816695947091166,1.75208300778304,1.47471697852853,1.03643173590208,0.129947417625516,-0.109712054640956,0.0559714366769901,-0.0831124359382655,-0.307892968547458,0.515248040790559,-0.585769782747233,1.04058082851993
"NGON_Bs_1 (GE) - TPM",1.34750064122226,-1.21718333622688,-1.0797422714069,-0.613459664043499,-1.68765989308788,-1.44088562165837,-1.47036216213814,-1.61764708435748,-0.760008742490145,-1.84328207736716,-2.0483388440504,-1.08387976355169,-1.23503836308233,-1.0913730698647,-1.05040576911793,-1.06916033946787,-0.102004427292783,-1.76701456435286,-1.12425535756893,-1.20362232680753,-0.56536703940025,-1.38090603503919,-0.444608817199768,-1.89371406635542,-1.38481157216668,-1.41556847106134,-1.54158097323286,-1.30590197446213,-1.12723446220816,-1.0550802132401,2.21353036522323,-2.35058981906136,-0.784430058618667,-1.7469594206199,-0.897219116449711,-1.41498478740888,2.50832238504716,-0.438780704818498,-1.20035268646253,-0.209950094133663,-1.1596170772068,-1.86563515581583,-1.68914896050081,-1.65774572433255,-0.681559307633083,-1.27641217938631,-0.816346468482432,-1.22647177437017,-1.14590811722459,-0.986424356925014,-1.7034359611485,-0.636214602100013,-1.27259742882298,-1.01279048763414,-1.30388117500553,-0.683214912406831,-1.85759583443715,-1.4044744556595,-0.324269085718357,-1.65419716503203,-0.939719237273027,-1.6310760173839,-1.70456044669475,-1.4240248136879,-1.41044999822196,-1.16497571765644,-1.36867018942124,-1.5131416896732,3.70286966536976,-1.7852211305747
"NGON_Bs_2 (GE) - TPM",0.807127235775015,-0.408630861557762,-0.467725910690389,-0.985899399718836,-0.612659681547037,0.398992039191679,-0.713837845325901,-0.632220794003623,-0.896060479765951,-0.0527658960280603,-1.56146984084898,-1.04022826305302,-0.962746865873236,-1.01476866086909,-0.508722392862985,-0.856718500856968,0.460290618867145,-0.9840995276816,0.291693033436638,-0.963240089769976,-0.779071730215138,-0.810438067537697,0.250820164567786,-1.12835308399979,-0.686640830981085,-0.743380179496014,-0.627156636527313,-0.477536344266599,0.0371690850502976,-0.755242524132687,0.695518105371809,-0.939278702812568,-0.357950756125302,-1.68246877611224,-0.671120489573736,-1.22038666280834,1.33935620638021,-1.45277419928444,-0.0686586474164294,-1.06909272744973,-0.544703967297834,-1.17363104740091,-1.09274438875983,-1.56252372626023,-0.99882000881783,-0.978122160074806,-0.304732273126966,-0.594656271386792,-1.64103584461744,-0.307111062550545,-0.206792756950714,-0.10141131954344,-1.44032391999273,-0.714732556969125,-0.364041669813095,-0.196881730763146,-0.97722007443,-1.56302864037395,-2.0263940467608,-1.13474715090562,-1.46523799248375,-1.28632196398224,-1.37586077819039,-1.42675950038911,-0.974330046004401,-0.947135538608269,-0.495205539609792,-1.03784054022906,2.31692383270056,-1.12575751543244
"NGON_Bs_3 (GE) - TPM",0.732709336202304,-1.41967391683734,-1.1335837530553,-0.845640568089132,-1.38271549656577,-1.94598454309978,-1.41326408581791,-1.26497794916408,-0.844269554491915,-1.82871912982644,0.10551407035993,-0.587301115144772,-0.692124132996261,-1.05566893419949,-1.72036705539239,-1.38308141122394,-0.0238437705277872,-0.643757737305394,-1.33893617521942,-0.517915688615632,-1.02047063388523,-1.21871113475526,-0.785442606003005,-2.15650331489377,-1.84644435986977,-1.48112935801507,-1.10865879230125,-1.06064165095353,0.0610359210189814,-1.05504111793126,2.52904426392619,-1.50426316701784,-0.997339178618295,-0.999653365667221,-0.873534811305121,-1.60071849429389,1.7670195081418,-0.678227999154419,-1.26886200568687,0.0678922329084121,-0.906732047461006,-1.62067746006878,-1.3236170454518,-0.351662436030106,-1.06908721184579,-1.62501270614095,-0.887218249730708,-1.49687936751703,-0.756529878702132,-0.795643736944967,-1.11756806038278,-0.323825609779543,-1.52059970449313,-1.5628518600681,-0.869785878072297,-1.3732304282404,-1.48853278564435,-1.04803143913296,-0.334558964801847,-0.939707380844607,-0.596770474527812,-1.71856268053875,-1.75184453955733,-1.24701355153128,-0.816051938932045,-1.65062877509269,-1.54590239273366,-1.27610016299432,1.25026548800703,-1.43926085734754
"NGON_Ctrl_1 (GE) - TPM",0.19051453292933,-0.575848585103644,0.780893391512958,-0.531509907064302,-0.661098286481358,0.0295469731190995,-0.652295016070371,-0.429082743159747,0.142642918067995,1.24659068994555,-0.762621426326003,0.466318708969671,-0.490106405919149,-0.782848823447687,0.244532396857119,-0.817962672046108,-0.705180433239964,-0.654271318629873,0.0667824363017116,-0.805038426930017,-0.66010029763766,-0.901324021757126,-0.224423860671337,0.750596317952147,1.18436373983982,-0.370535488669522,-0.933275647265845,-0.406772623342777,-1.98097590999049,-1.02205572594396,0.120905285004156,-0.0285628368511849,-0.337046415709619,-0.423922349551475,-0.109423263909204,-0.641276426627368,0.111966640149991,-0.235910662013179,-0.490018511296434,-0.512600625471413,-0.865411373400462,-0.500518461453578,-0.0573796497224989,-1.19416967027321,-0.234022388019998,-0.0924660852549198,-0.120481399757933,0.397690303026787,-0.999422755674558,-0.267665124653065,-0.571674605572157,-0.834316080364354,-0.363975419515013,0.516387435484947,-0.15777587197161,-0.240430634097178,-0.886988622374934,0.563150057143711,-0.616928405687305,-0.856016265603501,-0.786155985149592,-0.353199387592952,0.52329366369292,-0.571157834214783,-0.612500489554679,-0.534685748166487,0.0682287663117498,0.239922601409786,0.162720681381011,-0.0224566527921121
"NGON_Ctrl_2 (GE) - TPM",1.07367456588546,-0.995563083032328,-1.45623440917281,-1.44867598316442,-0.976120205983946,-1.48187025125889,-1.03976668256124,-1.79358341549447,-0.611075118224859,-0.235098312689902,0.555586666628864,-1.08796088665985,-0.431300913805101,-0.762820170598495,-1.41899251434381,-1.37203551941778,-0.967074705874119,-1.2359438265479,-1.81506941698056,-1.10396301060768,-0.895539235383044,-1.49195355562557,0.187242983803246,-1.22224547976104,-0.995756151782855,-0.791726276553586,-0.665936890841956,-1.38614188033656,-0.417646925260919,-1.04582224470748,0.124403136738205,-0.959382879254162,-0.561226338011993,-0.864575505904996,-1.33026237265752,-0.526755679616625,0.989377707971275,-0.444047934464183,-1.53271330164601,-0.363695658643082,-1.24954886202294,-0.84716185422972,-0.477576628171167,-0.69845701658809,-0.914365195929542,-1.32208555619895,0.236737759785989,-0.564862222601653,-0.167561054478766,-1.3012800791779,-1.52593844911403,-0.0805492994201579,-0.890922919321118,-0.484748717240557,-0.628663087240305,-1.22430993771402,-0.00395680199475554,-1.46122501830706,-0.237041612967959,-0.233212611957174,0.821872170026256,-1.52534084172034,0.0420239867189399,-1.03890070638649,-1.01939009290003,-0.850757127361988,-0.744177356298261,-0.488918900673074,0.579827166101117,-1.77977526989764
"NGON_Ctrl_3 (GE) - TPM",0.400280000863492,-0.365167072792234,-0.184985361005103,0.0345764120380411,-0.488935972084705,-0.777938464922653,0.193369016329243,0.100841160109638,0.13841524992958,0.143138245120415,0.0701252231008708,1.14743788117962,-0.058785566644795,0.306117939300723,-0.00940900804443117,-0.619312956203031,-0.196962253470068,-0.51924252314187,-0.585632216648525,-0.622538537369064,-0.5783438571185,-0.770519280831038,-0.363850201406114,-1.23698723423826,0.50689658478563,-0.099973806927003,-0.51227468952579,-0.276126202506698,0.267354850086327,-0.585801245882334,-0.321455860899333,-0.485253768864192,-0.630813941943604,-0.383863678371016,0.467671623117734,-0.411831976515614,0.000219958535206842,-0.2426609871267,-0.524132356067084,1.09862724956857,-0.0151579315330586,-0.338691052099405,-0.804467850018008,0.0583698254201642,0.364213853230675,-0.15127590263233,-1.44407844812996,0.127430970048526,0.461047500390602,-0.326976159346954,0.464794535134771,0.0668991567868325,-0.0492555493717222,-0.353331084267729,1.46534011555384,-0.358489417759379,-0.00219561487856376,-0.423633834408171,-0.674849986958715,-0.274227704349076,-0.721198990926187,-0.619313217977393,-0.199859120522845,-0.306727008393297,-0.590472839609348,0.16695806613504,-0.0340428568341323,0.218147512312569,-0.676959413063568,0.165393161809221
"NGON_Li_1 (GE) - TPM",1.47911797141182,-0.423122951936636,0.157917526352602,-0.723053783795971,-0.890823201863562,-1.57250077988249,-1.54093033009711,-1.04240488828864,-1.46312238849926,-1.24564519648754,-0.32882926940348,0.115645469922437,-1.08439972054799,-0.970674644323054,-0.594762921726147,-0.976502394354861,-1.22170302910271,-1.08225825486371,-0.506542994330811,-0.93567473970519,-1.45156054613989,-1.30330073018364,-0.16955956155309,-1.62988016436811,-1.73355884631661,-1.16607323054024,-1.37703732631894,-0.395704406894233,-1.07650494573738,-0.476391033369025,0.987814579919638,-0.901947614774606,-0.375010117656614,-1.27601902943266,-0.539039787464842,-0.907532761956899,1.9520763946614,-1.24462705178701,-0.694856480413218,-1.2683200664034,-0.66628487630384,0.54007295963234,-1.2805825076117,-0.929355864185058,-1.32507876112229,-1.19846620617728,0.108781716966041,-0.154439005146368,-1.15256030726139,-1.1494262185395,-1.2141383124207,0.0369104214119408,-0.137263336513755,0.166293668489834,-1.02791499474378,-1.72036909321877,-0.516833342940647,-0.214491195205273,-1.61994629181423,-0.901497082798033,-0.079710644514986,-0.665375530525463,-1.13290329463764,-1.10040116684037,-0.341367025620986,-0.199455756645529,-0.354118058503481,-1.06241257150668,1.21268827306129,-0.972511344099187
