"","NGO0011","NGO0027","NGO0028","NGO0033","NGO0058","NGO0083","NGO0113","NGO0127","NGO0168","NGO0169","NGO0170","NGO0184","NGO0186","NGO0200","NGO0222","NGO0240","NGO0277","NGO0291","NGO0308","NGO0310","NGO0318","NGO0332","NGO0346","NGO0385","NGO0386","NGO0400","NGO0401","NGO0408","NGO0412","NGO0425","NGO0441","NGO0446","NGO0452","NGO0509","NGO0598","NGO0607","NGO0608","NGO0619","NGO0642","NGO0658","NGO0662","NGO0663","NGO0676","NGO0688","NGO0732","NGO0754","NGO0766","NGO0769","NGO0787","NGO0788","NGO0834","NGO0841","NGO0862","NGO0866","NGO0890","NGO0905","NGO0912","NGO0917","NGO0948","NGO0994","NGO1047","NGO1052","NGO1117","NGO1149","NGO1207","NGO1218","NGO1227","NGO1231","NGO1236","NGO1258","NGO1322","NGO1335","NGO1344","NGO1345","NGO1346","NGO1358","NGO1374","NGO1382","NGO1403","NGO1407","NGO1411","NGO1442","NGO1519","NGO1520","NGO1528","NGO1579","NGO1630","NGO1662","NGO1665","NGO1678","NGO1701","NGO1706","NGO1711","NGO1717","NGO1758","NGO1772","NGO1908","NGO1922","NGO1923","NGO1961","NGO1980","NGO1993","NGO2020","NGO2023","NGO2044","NGO2139","NGO2153","NGO2175"
"NGON_As_1 (GE) - TPM",-1.11683250999159,-0.752172403115794,-0.963935124605363,-0.370604934561817,-0.0766010066437099,-0.274268873864256,-1.12254071873258,-0.342944205574692,-0.459079655559869,0.0388174245459579,-0.361529124136682,0.133741912896863,-1.28229612719384,-0.864959012586263,-0.757419779014767,-0.0342293866513058,-1.0298874907133,0.226839659288331,-1.04748114752251,-0.921532860257148,-1.2230086832146,-1.03502018106835,-1.28300615872752,-0.567179788391506,-0.564936907361641,0.25706302705014,-0.628232084767045,-0.347350560728163,-1.27056999908637,1.54056648873129,-0.0484257966579461,-0.379427951960929,-1.56060473077361,-1.01710017635503,-0.618846414731745,-0.662305450956255,-1.55850734786446,-0.0950990612266611,-1.0377971925196,-0.261962738780122,-1.13634571371625,-0.516026208537449,0.817646008650404,-0.948098080446318,-1.15328111756473,-0.956176964719338,-1.02373080109474,-0.884613310882273,-0.320389946994659,-0.522598941788093,-0.866751133867755,-0.659954340735708,-1.42401730139918,-0.550928452688375,-1.17124679213601,-0.863762003289412,0.159736005289606,-0.518044349949619,-1.1935090041784,0.530130196786969,-0.743841461682963,-1.12453694705116,-0.491793504267423,-0.647835033386348,-0.894401439035068,-1.38335011901469,-0.733572797806262,-1.12576041943361,-0.591770921975226,-0.73301244090705,-0.0257034925090265,-0.576310837601655,-1.81549873757456,-0.606386618103791,-0.829300721362854,-1.10599715077959,-0.893382737867642,-1.15010496018581,-0.637837151091073,-0.179733124875547,-0.402466674980284,-0.760243971413492,-1.71503549610394,-1.21271700832887,-0.667217420424258,-0.294263129896271,-1.01854525847269,-1.22743319249476,0.364287779257458,-1.4556438922225,0.0223014597471437,-0.79708745846841,-0.398742884802703,-1.1337294035411,-1.46544922967913,-1.21249631405939,-1.07829241623117,-0.895371217599264,-0.807224375487206,-0.655468400021799,-0.373929018327416,-0.506873124550454,-0.761930933110723,-0.148872070097415,-0.209631538224961,0.542895498792059,-1.08275729059808,-0.843526782922983
"NGON_As_2 (GE) - TPM",-1.00060881628224,-0.961998023169536,-0.877848261834641,0.0742207280014334,0.150792132867236,-0.846481918991144,-0.954415160632293,-0.610628991375543,-0.631429895122133,0.148723454286225,-0.373149483679311,1.0571103649377,-1.22165443132541,-0.724639687245859,-0.357864793067896,0.144534788461361,0.0496635586593368,0.0868972162553826,-1.72389081722548,-0.415482739753897,-1.13404175967996,-0.201121211165008,-0.858812731694215,-0.262208530402836,-0.163403545640573,-0.875355818523191,-0.781368968151637,-0.933654955382119,-0.800710249429094,0.533011054165498,0.807799675576704,0.307295278137412,-0.954554868310027,-0.680884809140864,-0.231034811717972,0.231789532676873,-0.649475074131445,0.453263242235736,-1.42116936219986,-0.299913790620597,-0.977436685798229,-0.148611696591048,0.214072290203514,-0.900964448839225,-0.517318879270057,-0.445522774106704,-1.09242027503344,-0.244924104715974,-0.541943955231028,-0.66802220587161,-0.847211982127936,-0.906795510908568,-0.201061933580108,-0.818549733744029,-0.694636160845673,-0.988090018461943,-0.499405730385363,-0.77389822985259,-0.753569820707558,0.999289209895273,0.158403657136026,-0.865289969055533,-0.105361313940524,-0.175346166193074,-0.233195503650879,-1.42736377050399,-1.01042144495221,-1.2690099529263,-1.10575168434334,-0.50013965103825,-0.0692869056227344,-0.664244988277069,-1.29278450249399,-0.715089556109301,-0.810925180650081,-0.726818770990121,-0.450863561380814,-1.38399328233139,-0.566365433211806,0.220892575162337,-0.63675485073258,-1.04819514230017,-0.659825620386598,-0.425314102295267,0.482499703237428,-0.940438030903791,-0.777338516280576,-0.404962541018201,0.454696233606839,-0.863513659399965,0.265443894415969,-0.775900407992906,-0.642705943175418,-0.978629752966735,-1.18929133928129,-1.06735292559062,-0.996306471475061,-0.851002087651261,-0.385124794360351,-0.196812037768804,-0.803473808868653,-0.382217116642463,-0.797508492393778,-0.288232830238768,-1.11237096686958,0.582042920233661,-0.870662700274305,-0.927726484002863
"NGON_As_3 (GE) - TPM",-0.284871183457991,-0.109148059849765,-0.744672985974378,0.309431208923316,-0.204384041139149,-0.0573930205154176,-0.778213682557787,-0.0292070167899449,-0.185558543398038,0.00788514264769386,0.275266231611328,1.02206125541859,-0.768936027735327,-0.279288225248202,0.599684750388739,-1.00915864685237,-0.039097229874583,-0.17403108425514,-0.566905323908063,-0.167300502212834,-1.11883858251064,-0.694446658824752,-0.814372968684848,-0.530782718820423,-0.160042865137845,0.225287548536628,-0.774451876363158,-0.875707237120524,-1.22665461613606,1.66331668812608,0.578979107845142,-0.76644601961969,-0.154249335033597,-1.2032416949835,0.198564627458057,-0.427622437000972,-0.480864298498715,1.26976211343146,-0.847709719904643,-0.291856459512411,-0.783146261189159,-0.892221592592335,0.580107299877387,0.903518481996851,-1.22662887588242,-1.16033477334444,-0.793188351304612,-1.15532964011934,-0.801566918135902,-0.322422237853624,-0.492467683434371,-0.380410957523149,-0.168158971635631,-0.056144376497109,-0.21645720600405,-1.1691205835691,-1.11479612079888,-0.487850187994552,-0.200625384705591,0.160422597920012,-0.915063841126355,-0.350308937635386,-0.599006393015324,-0.730910868173516,-0.540842481922743,-1.00131876093331,-1.08509974206373,-1.23612269446421,-1.12298399682867,-1.05333823063226,0.609440845869466,-0.804036141326425,-0.650340178419899,-0.70766144805458,-0.0356516162570332,-1.16742672097705,-0.992264513465641,-0.90565621678053,-0.674025269634034,0.349051661749964,0.466332975016521,-1.41627921862595,-0.5936333143006,-1.75153382849956,-0.758597596817233,-0.602971133304261,0.376687617137546,-0.25535447426026,0.196358984960823,-0.0368097045189022,-0.61812953794186,-0.41138598093389,-0.617044907126642,-1.18994927304776,-0.62940823054174,-0.767816576048011,-0.233400476263963,-0.2049486940752,-0.366850208405143,0.0812675261830519,-0.900087272284147,-1.17279734236376,-1.05615920519745,-0.097161078352393,0.549416054788507,-0.31937628609439,-0.659945935922095,-0.112648947125132
"NGON_Bs_1 (GE) - TPM",-0.489825524312284,-1.17112951711426,-0.870933260511609,-1.14263433791248,-0.375263775738733,-0.610667653291888,-1.24668157952461,-1.39447566716339,-0.756669366066157,-0.985000841291406,-0.838351870501879,-1.3713424767367,-1.22884340886474,-1.66533605750131,-1.70458669059117,-1.42533765382949,-1.22233721507309,-1.33463546982369,-0.741857498799366,-1.35026861152093,-0.609440408042702,-1.09839804614122,-0.774446225026567,-0.860164732044737,-1.89066795762524,-1.43328209279036,-1.60729862015919,-1.89444758742196,-0.0704909963549479,0.611992175774703,1.1101183801477,-1.36650211046544,-0.842123137781779,-0.288640686339684,-1.25813946434557,-0.653458810927339,-0.858501467178863,-2.22782196128038,-0.773714909712507,-0.172457244404442,-1.29894080128982,0.330460473390025,1.71211224115366,-0.960634048172278,-0.0562665313995065,-0.248740267684081,-1.54531627320612,-0.289116985089452,-0.905768370248129,-1.63331705485592,-0.896402579102904,-1.53610808307101,-1.93453206282738,-1.26139898398937,-1.20932466997305,-0.414538897967853,-1.21441593604162,-1.19990478564578,-1.53409416364943,-1.89452273628245,-1.91213925100679,-0.858740331028567,-0.799262470384141,-0.672679546960612,-1.40121872767594,-1.66750268233986,-1.76014842023598,-1.35455638335262,-0.941463969909163,-0.85683518292449,1.02376405085276,-1.17453479185682,-0.973745733870259,-1.53036640016968,-1.23002118088962,-1.35107491181713,-0.726785925542001,-1.03643903769115,-1.01588519597797,-1.32607103297581,-1.41847925022451,0.026773905422554,-1.19302246486975,-1.06958730538718,-0.926245733069686,0.791213352950475,-0.00456156341612192,-1.23005209719872,-1.92106670299934,-1.56718939334307,-1.85551931944345,-1.02376514293652,-1.39788353207703,-1.2904896789435,-0.601743136498515,-0.895503420116465,-1.40087659465977,-0.836721264235265,-1.48440271187964,-0.908836822922847,-1.66527201167741,-1.23947657759403,-1.45476773282399,-1.04216319951484,-1.16370598477115,-2.12542786742544,-1.07583962002331,-0.905296472658917
"NGON_Bs_2 (GE) - TPM",-0.0525061818195463,-0.589563898998405,-0.456292447410753,-0.386841328558785,0.196931070185414,-0.52498668755401,-0.647892068484897,-0.968995135642711,-0.445737215104632,-0.797330907483839,0.0299285390181912,-0.348272233958185,-1.01740474123903,-1.16199894921773,-1.20263291132612,-0.544468301001908,-0.896156552130724,-1.23572045848117,-0.530075105129795,-1.00709971928345,-0.750618269903464,-0.321076396412479,-0.181579919221347,-1.2404578575377,-1.55264024110664,-1.29405545601003,-1.26955011023048,-1.36085991807506,0.523896413207174,1.31645124355576,0.535266022039321,-0.901216742219647,-1.05737017310187,0.730291365610255,0.294009242735433,-0.135090453633971,-0.000314247104996098,-1.02891008725002,-0.898288087593667,-0.504222265731944,-0.800123824711435,0.955296208122327,0.634736384094785,-1.19822481790063,1.11693548892643,-0.150202924509675,-1.06314852106382,-0.663209575416277,-0.118528233339665,-0.998636447821388,-0.726424643082104,-0.785060480548,-0.915798308847099,-0.787450193942403,-1.2485900375068,-0.678140502700387,-0.911227596217718,-0.865219159137245,-1.32183073399668,-1.81524916100633,-0.714221209236208,-0.519562510715919,-0.0539361674167348,-0.270932977286089,-1.19371927386684,-0.72581248871397,-0.951645797614121,-1.81116035344515,-1.41642226486038,-0.627340059005997,0.980493062726041,-0.185172445640701,-0.152976374226431,-1.48887998453051,-0.62974374414527,-0.613325258431027,-1.15441030207558,-0.63756571051327,-1.2121055545693,-1.34840180134751,-0.412501114261216,-0.188064568877388,-0.479786246885902,-0.953851525810381,-1.07904794414468,0.217918162806955,0.677877805885436,-1.15885058323239,-1.55080457048059,-0.00863531219693949,-0.515569439199428,-0.160022390124392,-0.609697466808577,-0.530807159254209,-1.30227030004471,-0.593034547930512,-0.288816765286812,-0.550557117324358,-0.610319302428698,-0.250221231473058,-0.706846745585326,-1.16532520448983,-0.829618830546023,-0.070897635688933,-0.363770896349383,-0.752458169852145,-0.423254774104495,-0.477393442259435
"NGON_Bs_3 (GE) - TPM",0.214175570845857,-0.996474627677786,-0.77727083341618,-1.38955667805652,0.248099698138239,-0.888992969624513,-0.994230210301419,-0.525479817602472,-0.845482928740598,-1.14549496142853,-0.868121465149839,-1.6097059711831,-1.14174476363854,-1.07320898744765,-1.61689389755356,-1.56643018871937,-0.966495341619408,-1.33950865701738,-0.0908542136955292,-0.680909229468572,-0.383248138430512,-1.2964364299622,-0.929920616227767,-0.280773673635496,-1.04900611318118,-1.5524227390452,-1.60834919399459,-1.57168269227782,-0.324466570874773,-0.458798242219365,1.84807430295572,-1.67832549392673,-0.502991950835691,-0.689192220245764,-1.47709456257238,-0.591208391172314,-1.06942214703119,-1.60039774749567,-0.790467577813113,-0.533014258784439,-1.39064333317653,-0.653968627992799,1.02449494437558,-0.462489651825223,0.173359388541272,-0.144124316612167,-1.09266673425813,-0.364588216690859,-0.781641411575725,-1.35788165521861,-1.09091588600873,-0.974370675566326,-1.90024755657512,-0.809229976610835,-1.73555377972078,-0.560772157513609,-1.47227344920407,-1.33369340081829,-1.82124675662493,-2.10396112331187,-1.08675555232744,-1.22757844222602,-0.943415331341288,-0.521781209988853,-1.36476018268433,-2.31078565859165,-1.94659182386865,-1.4891222061098,-1.15857097670149,-0.827874589577454,1.76852367825874,-1.00251822906396,-1.11283516126273,-1.55925514540035,-0.692843327080976,-0.869983916872053,-0.96727934334697,-1.09724848052115,-1.15707558963138,-1.13128566624378,-1.28552181711787,0.00101101160686712,0.0146390392900223,-0.259920670816936,-1.2956295763837,0.0297773384717409,-0.270895035570388,-1.33225655665642,-1.62848150147772,-2.06680149806789,-2.32323151912443,-1.40113576513294,-1.42680548386523,-0.721051721382605,0.677762970511842,-0.8707298481925,-1.42986152108752,-1.16611625571956,-1.23369987497639,-1.43539986071187,-1.45439022466131,-1.64377966626061,-1.91585059906951,-1.46689220185725,-1.61908334343259,-1.83244335171292,-1.01681022212568,-0.511098185354821
"NGON_Ctrl_1 (GE) - TPM",-1.73138279831744,-0.436806367979952,0.0408408680574328,-0.664577147391932,-0.887165809837537,-0.346177882109406,-0.973694298576579,-0.915912310726283,-0.689456438250369,-0.998980684456519,-0.317372351362547,0.373736631861463,-0.750147416290216,-0.400537605019373,-0.15623608138542,0.902163335248735,-0.375513301889583,-0.74247856145472,-0.62938665242236,-1.09368587747627,-0.746117887715226,-0.588503127710756,-0.64054702418341,-0.853339074789381,-0.548374185339163,-0.460164815220482,-0.135876801262831,-0.0712426964028444,-0.738544585378544,1.14525988468493,0.754920996886675,-0.418042010438965,0.142635587913407,-0.994997433871038,0.158694061923427,-0.446730167049417,-0.629499981695276,-0.0926646127277701,-0.396190002159171,-1.24658747029332,-0.333975931007629,-0.29147338249973,0.770504026946119,0.0553460785870607,-1.37323835240653,-0.988913252508993,-0.624070139354543,-0.493555092071894,-0.705979863825653,-0.209833165225925,-0.460006109403715,-0.993716368542965,-0.742507995803511,-1.12157686286666,0.872383840343246,0.193030720893517,-0.604097178431728,0.0461078769047677,-0.240418951548073,0.191116302027123,-0.74222404103906,-0.916006157296716,-1.07033474322216,-0.887162840825957,-0.934726375077892,0.669856501942853,0.168800741565833,-0.143508994032982,0.39288404180642,-0.0746505712520695,0.63683461087615,-1.40652183406704,-1.04784179575054,-0.794445939245257,-0.839932467553858,-0.24827411179828,-0.152769035731843,-0.235516713964816,-0.835791915879545,-0.452486778913403,0.27657543057342,-1.40365525895608,-1.44896739899254,-1.40633600061118,-0.115361000473221,-0.830682065329962,-1.22528028821743,-0.483336383893368,-0.232694861184285,-0.533644939312452,0.309577031201141,-0.721090151205479,-0.535495245527618,-0.450795184164696,-0.789247181525997,-0.787528817977648,-0.456493386427288,-1.00435643445138,-0.226804723405615,-0.360887466512409,-0.406316335612931,-0.721017811268148,0.0668193961162666,-0.283169075077463,-0.773598787255257,-0.272212169566989,-1.02434242831657,-1.80439117049135
"NGON_Ctrl_2 (GE) - TPM",-1.51946512664564,-1.30202205936985,-1.56399038800263,-1.37146837607535,0.119685664906309,-0.814666654803496,-1.04196986035406,-0.503351157984026,-0.938646865836548,-0.721715843960709,-1.49771512525487,-0.637280268506661,-1.00815263841289,-0.865169428195209,-0.63961281098343,1.05632422613218,-0.2537636443953,1.08493226484899,-0.374643718593774,-0.565804011026769,-0.729173262713511,-1.09764850013089,-0.718437327868575,1.27296374530146,0.203409729568812,-0.057513732059798,0.335327203703144,-0.279977927119849,-0.872911117343663,0.76254017577814,1.42588722918141,-0.253894868863826,-1.14843714817723,-1.1015158148919,-0.918801090616812,-0.134750887339981,-0.436886027399101,-0.572237783735668,-0.102567081311221,-0.162389137856643,-0.833362049158448,-1.85419548311042,1.03777258935284,0.471235770353928,-1.00837217398407,-0.497256075837508,-1.05587804035113,0.322310720360097,-0.788777781176398,-0.505932209262016,-1.06565399633573,-0.768298832299759,-0.0619718173511086,-1.31335203454419,-0.370012262610043,0.369040832478389,-0.103803369827515,-0.479982438150711,-0.222410896026505,0.0566842317243135,-0.466716451880478,-1.13457238911273,-1.21604184416342,-0.443774731353687,-0.650214536963192,-1.30388770145406,-0.756996094294308,-0.709506405561307,-0.125399926118551,0.0520395488583933,-0.284085578521944,-0.400340115305541,-0.995761285851518,0.554419181197193,-0.303674094758574,-0.34097836375352,0.0388664471558099,-0.987687456805854,0.0018755750456309,-0.554448080549197,-0.331437386749713,-0.525613720527005,-1.01205503550612,-0.632119891342303,0.359559743215532,-0.528022386321012,-1.74231235081976,-1.02634017869822,0.721186800573623,-1.69997223009472,0.0755669142964686,-0.905802467492963,-0.707359146883378,-0.671599098639857,-0.322174456256972,-1.01369035088825,-1.46171733613015,-1.02348268482271,-0.237791789372436,-1.19853147609122,0.00849876946420992,0.193589061938212,-0.627508064060779,-1.10759858137938,-0.883076881969166,-0.405806559760051,-1.59915488874584,-0.399364668573614
"NGON_Ctrl_3 (GE) - TPM",-0.942378809772383,-0.689101549829722,-0.248369353686602,-0.451102217925175,-0.384879579855596,-0.996153909718719,-0.692085829652372,-0.779336038552349,-0.599517759658032,0.00698074728064458,-0.649736277405394,0.271912774117123,-0.939344790364922,-1.01250278727575,0.00186408421227312,-0.833627506671969,-1.24421493666268,0.16822773248123,-0.779607145339046,-0.800254985318452,-0.600821321583972,-1.04237313922183,-1.45806278815732,-0.502781484429045,-0.685654730479733,-0.494156364287913,-0.309450555514411,0.0709459259998326,-0.644854137979677,0.701257454495587,0.202344638284482,-0.438365548580974,-0.669448507721494,-0.885950348063603,-0.757940664861068,-1.07049314987791,-0.61323679029495,-1.13719523190309,0.246779495458902,-0.340686346385415,-0.903520369044289,-0.823286686168549,1.30816027795888,-0.476144592831315,-0.991429834278978,-0.480944029476285,-0.322694503433332,-0.856930944455709,-1.64396784934899,-1.12812429002035,-0.425273169584765,-0.885375182960527,-0.501087666716306,-0.876237516713816,-0.648015182595541,-0.158197497011519,-0.442358170435521,-0.324486807118603,-0.548000584491137,-0.313359331741835,-1.13500851047196,-0.508936843641526,-0.921178827011001,-0.938569283399119,-0.757239230290859,-1.09868718542411,-1.19663135884622,-1.35697622238334,-0.144884148648313,-0.743822719581359,1.12676916824853,-0.62445966326062,-0.451289604916042,-0.395577346072637,-0.73301541443525,-1.10022738228019,-1.00308107688536,-0.953638258726463,-0.303826814247123,-0.459397015424197,-0.698876668586856,-0.930145479122031,-0.944723477969477,-1.49047603314527,-0.248909464214712,-1.4848527173655,-1.46439960267665,-0.52840159900463,-0.574724309894454,-1.10154494261726,-1.23044861429927,-0.754229563159593,-0.995337662613932,-0.637016237779541,-0.83125280201545,-0.748088705821134,-0.836483900511837,-0.89227780258663,-1.04255028074022,-0.129330884793274,-0.178491100663011,-0.686422902881606,-0.0695152639224348,-0.297522980285106,-1.04320365527715,-0.967486443242328,-1.134904193417,-0.595506962134884
"NGON_Li_1 (GE) - TPM",0.528616985165294,-0.801551101278742,-0.121590779836744,-0.206551356138363,-0.895493255897755,-0.998167238853413,0.0702128036764036,0.644281537771812,-0.749843715498576,-0.593026934953108,-1.34602206692485,-0.948750824572997,-0.533292429476572,-0.268859366025798,-0.6663819625003,-0.948438441430233,1.49835268873589,1.02433477184582,1.14663310596604,-1.00722042631187,0.264290584607833,0.695370132538026,0.433741378215874,0.532476598230436,1.0523116343881,1.09171473512907,-0.141654246096891,-0.410770262121123,0.247295062316512,-1.85020928951862,-1.46875258012444,-0.432361305755305,0.705180996436517,0.480283356953926,-0.178163633175653,0.015138908387331,0.0410518248631065,6.28565388580786e-05,-0.973295017548337,1.51135357380079,-0.70569306938771,-0.0197250642967777,-0.564179472260652,-0.880035806257452,-0.544184844881803,0.0489177227363718,0.247155002093285,0.860474985397931,1.4713382742074,0.0267587156125912,-0.200565508691847,-0.548175575379504,-0.372027170024884,-0.352520782045874,0.504820200672901,-0.884783484476329,-0.396163186305416,-0.386773194774587,0.1823789179542,-0.856906508070456,0.835145187627277,-0.602382874883417,0.144998878148251,0.0265443736696822,0.014521567933688,-0.626273656809683,0.918334832218036,1.59637185409402,0.69307696007243,0.701441376459828,-0.572365856071431,0.62655279186536,0.673465999887109,-0.342405235517219,-0.811424692989145,0.202318070895873,0.880412509029878,0.772249134651862,-0.889871792774134,0.0259629921030893,1.05044331506009,0.726931331739553,-0.260781960989835,0.789168059594219,0.99483768179204,-0.14518407802052,-0.542474192063996,-0.460553181793628,0.147806849971383,0.176312302067133,0.230405805126545,-0.367156873211159,-0.491589802530623,-0.297643639691949,0.276586188008677,-0.409841393779089,-0.635851429041675,-0.440040486754263,-0.193187601410948,-0.66452487162355,0.535212574763926,-0.508971887980099,0.181768847679841,1.18319981537524,-0.644795831063306,0.437027509293501,0.0990510474264069,-0.75136621045742
