"","NGO0093","NGO0095","NGO0097","NGO0106","NGO0114","NGO0122","NGO0151","NGO0153","NGO0160","NGO0173","NGO0217","NGO0269","NGO0272","NGO0274","NGO0359","NGO0360","NGO0365","NGO0382","NGO0387","NGO0436","NGO0437","NGO0456","NGO0494","NGO0516","NGO0542","NGO0571","NGO0584","NGO0645","NGO0679","NGO0740","NGO0795","NGO0799","NGO0810","NGO0815","NGO0816","NGO0847","NGO0848","NGO0859","NGO0893","NGO0963","NGO0977","NGO0978","NGO0986","NGO1029","NGO1033","NGO1046","NGO1055","NGO1056","NGO1085","NGO1161","NGO1219","NGO1220","NGO1233","NGO1234","NGO1277","NGO1300","NGO1317","NGO1319","NGO1329","NGO1333","NGO1339","NGO1363","NGO1365","NGO1379","NGO1405","NGO1422","NGO1423","NGO1455","NGO1467","NGO1470","NGO1471","NGO1495","NGO1602","NGO1609","NGO1626","NGO1634","NGO1640","NGO1688","NGO1779","NGO1782","NGO1792","NGO1798","NGO1852","NGO1869","NGO1877","NGO1879","NGO1881","NGO1889","NGO1894","NGO1901","NGO1931","NGO1942","NGO1948","NGO2002","NGO2065","NGO2071","NGO2095","NGO2107","NGO2135","NGO2137"
"NGON_As_1 (GE) - TPM",-0.924704156797876,0.100719823909135,0.091265547703178,-0.680189279764203,-1.1176536143832,-0.125032559939642,-0.662653156872808,-0.543290727705629,0.177362135873075,-0.164386335229695,-0.719102375235585,-1.26779681722759,-0.923340000934137,-0.836414035544803,-0.632500674103278,-1.30178075805123,-0.405446708588885,-0.694486032904289,-0.235979078640691,-1.25308312014839,-0.766971390037877,0.974147990989675,-0.692088351085376,-1.28215125133698,-1.04164941642553,-1.85273755020848,-0.320876209883862,-0.861562287454041,-0.358606899233624,-0.65805901918814,0.996602480621469,-1.45622679487902,-0.409794658245049,-1.33104494485569,1.74595751487819,-0.18858884344802,-0.696713802275355,-1.72129277919398,-1.18349946105403,-0.740298471068217,-1.25022527490837,-0.555737668681546,-0.229093868002513,-0.747810454119792,-0.939575747591148,-0.673755809713767,-0.683091654191772,-1.15313230392036,-0.598362837872841,-1.15726538596069,-0.568627991187659,-0.0722779132228831,0.177795934583986,0.348623861361011,-0.19061292192957,-0.427447540601445,-0.738535314004246,-0.13815962327962,-1.06569229285301,-0.785607239847038,-0.787228453027387,-0.333791479002315,-1.04543064172216,-0.677377451202818,-0.174239168937194,-0.112988035578725,0.631083042323117,-0.856272905792115,-0.505837792325273,-0.635356510433666,-0.152690845219671,-0.740100744087791,-0.783491286924231,-1.04633253867595,-0.023704348745198,0.120113906689123,-0.991106555432115,-0.150319088308462,-0.409219253594646,-0.523201740415514,-0.16780543186341,-0.593285119863304,0.574025281335556,-1.23407455243285,-1.94561464241061,-0.495630234702008,-1.14833272721408,-0.520858947957023,0.576978918100416,-0.613577407389453,-1.47007709070704,0.0482449635243997,-0.829154776317323,-0.893266031513333,-0.992123094207106,-0.542090383401168,-0.547411262831994,-1.3038713153696,-0.961211124140005,-0.592978778172258
"NGON_As_2 (GE) - TPM",-0.734794472524206,0.706930150781175,-0.280216669762081,0.120412155799199,-1.07530327355998,-0.348944674334508,-0.24614845961736,-0.315349294145563,0.091313169828118,-0.893614309118116,-0.908052355560662,-1.18572227173566,-0.643821679645427,-0.476797763409311,-0.612220393000227,-0.664137436391208,-0.0178305192305857,-0.595601848550018,-0.190236764939998,0.226605325128748,-0.606525747726933,0.549590076398612,-0.73794439985699,-0.934303459637381,-0.588856540763521,-1.35807735407931,-0.103986862428156,-0.568045119850073,0.0252500677667382,-0.663805474063162,1.64339601989299,-1.33625576142092,-0.32486574081921,-0.446560211031465,0.49097384500884,-0.332957404383522,-0.519676803828449,-1.44839388011799,-1.34905601704715,-0.631239251516208,-0.212016184673518,0.00589287603125735,-0.0919060036959893,-0.782508105920549,-0.471790678044256,-0.0161284721041242,-0.374464777578977,-0.923021181673562,-0.702422661537631,-1.11477201698105,-0.721154121239823,0.190457582654199,0.116575953894385,-0.280423262127387,-0.164867272004427,-1.10708988193185,-0.858058398775004,0.25223009517859,-0.822461077755973,-0.798743270482679,0.197986289441667,-0.65896261867506,-0.806525412176523,-0.764329833179729,0.147540506519971,0.119901640835845,0.456837025623279,-1.85336203736972,-0.279447487841977,-0.805772210370532,-0.334376804593846,-0.936515356144796,-1.117586606176,-0.437711177304565,-0.40601549388137,-0.73911260809444,-0.701677594852999,-0.726243544475573,-0.507859060010351,-0.515032015300216,-0.530504204834136,0.366034058407546,-0.871987896260963,-1.03671884858327,-1.04889705150249,-0.413472723024894,-0.875970903278844,-0.187653965402827,1.12231692274892,0.490328430571235,-1.20526456050134,-0.021294913364115,-0.196396279219169,-0.817727213380547,-0.51118211334846,0.0528378829822634,-0.0914089860849002,-1.347067912038,-0.855044504186393,-1.03658037869997
"NGON_As_3 (GE) - TPM",-0.589233722470927,-0.585782557008999,0.113433558985346,-0.262238345785936,-0.623435552804144,-0.370011445670274,0.217050313046989,0.265386449524464,0.0620270958748144,0.306367730447915,-0.705105515906213,0.452796674994611,-1.19268289816758,-0.686430514792656,-0.668432021976599,-1.35700360073298,0.106213865595205,-0.439744121053511,-0.278635714501928,-1.05509697399792,-1.11958158689441,0.354971697296872,-0.564673233324157,-0.0889240186496785,-1.10135545720733,-2.05689858683972,-0.282251911333992,-1.70560917756065,-0.013714604813021,-0.78665622948953,1.50346577846277,-1.48630699741556,-0.32356585370385,-1.27163741848139,0.844111061272093,1.13880460529253,-0.127568400442557,-1.06275503482493,-0.44790296822736,-1.089163840304,-0.384926890422406,-0.452235493962625,0.258182125381175,-0.55209233448084,-1.04711526047998,-0.690287737455815,-0.184565447673444,-0.975135495499324,0.00202643417314301,-1.34758785349833,-0.961751426219045,-1.04913979388575,-0.969386434479934,-0.155099577308232,-0.399277951541647,-0.557639284291635,-0.774511365540368,0.131630652973313,-0.837827502390515,0.214903303836255,-0.756811815723172,-0.403498899249978,-1.07016073322427,-0.717724463091058,-0.339214255438427,-0.304852333324211,-0.270981559287562,-0.0926304923608839,-0.00629839355765253,-0.0718697279219493,-0.552793227218634,-0.322815158433552,0.239444443046139,-0.135313054929651,0.488043114652593,-0.267819001904035,-0.279772448367977,0.216704376077626,-0.167156522840529,-0.167593281353642,-0.0882634700894515,-0.725155557544311,-0.629841111784618,-1.25139281031602,-1.06769492760164,-0.620698723485979,-1.2629092595788,-0.745423835661182,-0.686368063200012,-0.209421514459515,-1.06957553387983,0.316420153027088,-0.178282780922351,-0.773958369328892,-0.087776963023333,-1.19835029558052,-0.484340108649477,-1.09874598173146,-0.928241775789975,0.172404352011012
"NGON_Bs_1 (GE) - TPM",-0.550606343854577,0.822736024676461,-0.48683724882632,-0.94221497215841,-0.339491177503697,1.87461751963202,-0.3023853792156,-0.585796556469018,0.437509793507861,-0.814398687583539,-0.771009216771675,-1.18162736286646,-0.499549239905029,-0.254817030184564,-0.740552176321087,-1.28119914814625,0.868259172909291,-1.23456107260812,-0.616283759397252,0.692042704831802,-0.341201142315817,-1.06625571502342,0.688958302789727,-0.921396180635516,0.194770989118851,0.331575449774656,-0.447902871435595,0.514938979783727,-0.613586173179521,-0.0784635934058161,-1.05404232994668,-0.40404667425392,-0.222134463850777,-1.33790800532887,-0.132584138505802,-0.279254750852512,-0.579897917794711,-0.206686112600061,-0.627270060996423,-0.867038520321967,-0.243411194162167,-1.39213627853568,0.992353668708759,-0.753698181047915,-0.426172748335414,0.0805074495497065,-0.928603545425763,-0.212422862159306,-0.518848503727883,-0.144759068966345,-0.194895455675592,-0.849116176050789,-0.262535467821335,0.474609420549469,-0.673055236286868,1.44917459249437,-0.676470978611583,-0.163616759290248,-1.06112991485376,-1.08618898654533,-0.9602149085584,-0.408441936180426,-0.447681313791651,-0.539502734900935,0.138711709097371,-0.555948887706341,-0.973333027660807,-0.898274244715309,-0.917080393177213,-1.10252057309369,-0.752779653490854,-0.559398301493687,-1.09589696102998,-0.570694456737394,0.603701358261788,0.402278465258661,-0.139491704689657,-0.626110770857132,-0.224375968153926,-0.440410485615194,-0.260770791721424,-0.695695381931903,0.713999426127591,-1.1142112300077,0.6658408806997,1.09179427160091,-0.875702841417534,-0.909279257223861,0.441039045819088,0.255756226768691,-1.6501718537515,1.55231607980101,-0.00828256327847269,-0.558275271776201,-1.0915616141854,-0.0742124699380181,0.224041110189766,0.35632039492011,-0.611686453706721,-0.0793594610645751
"NGON_Bs_2 (GE) - TPM",-0.529346287121411,1.60155113348081,1.01219163379913,-0.848329510443601,-0.573078269935723,1.00198074430898,-0.794133617571606,-0.339010843548501,0.356122166007956,-1.25621282164403,-0.773739301680282,-1.61774070458264,-0.807333923958726,0.122133663963621,-0.992365611608466,-0.81772589060288,0.272812742272205,-1.01620608725437,-0.633775057075795,-0.438376055138795,-0.451354631072705,0.162368431773205,-0.980323760178059,-1.29507694451773,0.10511583599985,-0.201415384257128,-1.10840776132621,0.320519675060877,-0.270637695862511,-0.622328247011169,0.937984299658877,-0.513897990182734,-0.782118319344951,-1.40113138219442,0.221262341217277,-0.337751190891146,-0.659297717024539,-1.06798134184096,-1.13372910531322,-0.410357580013095,-0.411249103155243,-1.410650659954,-0.599551781749054,-0.622792116856994,-0.710338674428089,0.114739378426222,-0.554950103921428,-0.627074171921993,-0.0369504735671762,-0.430186590976011,-0.946185270338646,-1.37404100044458,0.127504634357379,-0.00648922596517015,-1.21908858490173,0.042410909333159,-0.721306324560856,-0.26325246417751,-1.11549586738416,-1.26320653803544,-1.5522896440683,-0.55370421281141,-1.74497160380538,-0.745710513952822,-0.0335186912598882,-0.374679613911824,-0.699414552284213,-0.50190684190028,-0.907352163369054,-1.20501085485316,-0.951357936482665,-0.792033017422545,-1.33282935655477,-0.370940252386914,-0.20136135983619,1.49590877368734,-0.526805822089942,-0.835029718761308,-0.0156250249803123,-0.477255436469725,-0.198984161055213,-1.32587029634596,0.659393776684083,-1.03176305818315,-0.205239851049719,0.617385256262786,-0.499478538641899,-1.28064210091507,0.822075118210178,0.126781243091577,-0.933136998263486,1.14971578506457,-0.297011896349137,-1.21221210697878,-0.813866127469524,-0.49972005302203,0.270204536101098,-0.251282311865821,-0.806396242693024,-0.853752445857299
"NGON_Bs_3 (GE) - TPM",-0.513202054632328,0.396037003119858,-0.763294927144698,-0.274049226190085,-0.0927045904799921,0.0615354722694891,-0.344952042365656,-0.229449050721305,0.955559137208855,-0.0723613234763458,-0.824040271059451,-1.30647226137718,-0.349772047204554,-0.445459326930041,-0.797941334849152,-0.00381319158864832,0.537851154566987,-0.725591111631785,-0.642853406485903,0.441479445513123,0.334789615820121,-0.425520659295963,0.44063464976186,-0.553188512678383,0.213322052168216,0.636752209738503,0.0172614332262581,1.01215991064317,-0.800030104698191,-0.521502930638,-0.66206137248533,0.152784203128052,-0.834717406656813,-0.743079012768471,-0.0943078287326854,0.255567753058441,0.205878314748468,0.403046001712836,0.161253269846058,-0.716850174958822,0.0209005305804611,-1.05289893555365,0.534614214078022,-0.638606989645949,0.445938606589725,-0.561976477776494,-0.888333269242332,0.412244534879598,-0.416394958119222,-0.0142136788580187,-0.223346396193736,-0.0672266703284708,-0.791604587869271,-0.0771555678258047,0.592822897064996,0.659917606899959,-0.570669586989056,-0.779354817802197,0.253449100991551,-0.512032234110524,-0.858535961023388,0.669125719137369,0.242773676846572,-0.496430453688112,-0.448555306151296,0.150390483126561,-0.118451709908436,-0.390936562471262,-0.342284705185275,-0.68795881650277,0.134174326480022,-0.379836497745598,-1.21914753598251,-0.346150986804402,0.286036906947787,-0.0380038749945269,1.06716352427155,-0.327132324109665,0.392359177169023,-1.09738585379692,-0.0656080904227296,-0.62396814561715,0.0214661715502315,-0.289158834052773,0.989425222686908,0.810741440253838,-0.527757760407161,-0.244919918668763,-0.217039958653595,0.450644430483632,-1.56359625626849,-0.154922375618114,-0.443849542558167,0.333997823468968,-0.506676377882208,-0.122660817735606,-0.149189706576156,1.1407566099464,0.482408465663002,0.251786790646225
"NGON_Ctrl_1 (GE) - TPM",-0.385867575879508,2.05102056896705,1.44358886763961,-1.15998224674047,-0.993422053495831,-0.10291301921021,-0.442155110482099,-0.689487475453061,-0.063860466491107,-0.0566154987630424,-0.248210941340164,-0.763305427905407,-0.608812220283569,-1.27441148904509,-1.0323015268386,-0.975527489767976,0.161539010390633,-0.631094721520063,-0.393277220844589,-0.52615790765147,-1.01246168737167,0.0344798901045207,-0.411435489877017,-1.44242123259221,-0.324845457686209,-1.1773882289877,-0.322137307852077,-1.01627332329114,-0.795244948301545,-0.0864866028314989,0.598791992202006,-0.936539531328621,-0.303037374246473,-0.824020312214648,0.525327016830564,-0.66614050517341,-0.971404571209108,-0.183898947739855,-1.12609668054941,-0.877873460600221,-0.834002558456031,-0.867093784635511,0.814268610220147,-0.744823833993591,-1.25231457533925,-1.36933254792427,-0.788647270765468,-1.18901254699466,-1.13120889126578,-1.4159153064617,-1.20947143445789,-1.29790895576238,1.30255080532433,1.08800052982528,-1.5843485683084,0.0529162049666605,-0.643893782673654,-0.786551629918601,-1.33637629867764,-1.11522441475435,-1.24792607248447,-0.468308355129093,-0.878865795717727,-0.51631326182533,0.359117571795204,-1.57363324932517,-1.97925443745669,-0.904051008029145,-0.947334635759365,-0.981349273374485,-0.603511171473483,-0.678669480734643,-0.993604266113909,-1.46856425142223,-0.219667923114449,-0.802344234545408,-1.11022033028614,-0.749129408795979,-0.202000584532064,-1.10716318422135,-1.06227417655257,-1.06400812987198,0.800247774587049,-1.14482740313027,-1.04812982065,0.0693853746275914,-0.793309506193373,-0.579924807981095,0.322387349211546,-1.09912718217249,0.00794311478459011,0.780852111390924,-0.468585870709595,-0.785964148729611,-0.728168332248117,-0.475683192880616,-1.24224167961339,-0.890924480034336,-0.896234894789811,-1.05011326684908
"NGON_Ctrl_2 (GE) - TPM",-0.953212376610065,0.212191441591883,-0.697598017252495,-0.810878948293802,-1.09097847117087,0.291048281103975,-0.633796253404091,-0.241701162873862,0.328666050889961,0.12027588483144,-0.751869047303629,-0.784275880881348,-0.204131000295575,-0.50182096974074,-0.443126632279333,-0.728130365045109,0.245952731665548,-0.620648973070853,-0.408157038489435,0.735995725899059,0.409356649446417,0.252268853914563,-1.45111404412838,-1.35763895520332,-0.410020759988194,-0.404254476464365,0.3038336062414,-0.4835713427467,-0.925195276231248,-0.0574444204721689,0.426891844432112,-0.632440279416102,-0.557700487217333,-0.140073671925969,1.59751074525313,-0.722384294899978,-0.711510559741888,-1.13210311661064,-0.317395693466376,-1.29052632479136,0.0471694357337035,1.23157367213863,1.31523357607415,-0.859403709998349,-0.789168955958137,-0.999691269008766,-0.799849884601258,-0.53149505957522,-0.768574055925627,-0.13711547284201,-0.37417039748094,-0.141530027528149,0.675016815452264,0.113232359932503,0.0201359704241663,1.14787000119302,-0.215713823460044,0.667987761500378,-0.358109214317041,-0.718532277611856,-0.718277638493389,-0.602974908295253,0.227505614962365,-0.700581388635753,0.593696692287847,-0.909668896738359,-0.947562392162744,-0.277817871879373,-0.0820842732255787,-0.647711068163041,-0.632319681879991,-0.851179069807512,-0.757322396432543,-0.639182313489361,0.343192797153265,-0.483175700801282,-0.413570218162233,-0.741034205506001,0.149310989542129,-1.08800484649071,-0.821404818432366,0.987683953728876,1.35684671704586,-0.504094324846132,-0.756978010396619,-0.319889419739517,-0.345975292961623,0.748491755864681,-0.481650842981317,-0.0408525449277514,-1.2431688104485,-0.825289216788482,0.546812888509101,-0.538385053250877,-0.536795847787181,-0.800998514340835,-0.819804631130418,0.0463777911821807,-1.26545327448158,-1.08418366399382
"NGON_Ctrl_3 (GE) - TPM",-0.775653501020477,-0.145540474845567,0.576863802916994,-1.02746349854329,-0.89816629933338,-0.0487122362647658,-0.538768304169984,0.586688477977676,-0.111949939958776,0.363615785907683,-0.592269727007059,-0.684980860986893,-1.03393050967024,-1.00473787209708,-1.09071623100823,-1.07666208817912,-0.179318001556345,-0.605826446642742,-0.400645012278345,-0.771134783017901,0.212860132448977,0.014594242730185,0.350661724017858,-1.18782439456783,-0.450576804891854,-0.589790271487715,0.195882915162472,-0.693272634581683,-0.611806079934144,-0.249502350767955,0.459691708319434,-0.776422168469265,-0.604958279316967,-1.30732922443149,1.01092672897576,6.08687103438762e-05,-0.36882234850036,-1.03096125574869,-0.352798567914891,-1.07983908672774,-0.826601943976165,-0.36015917636907,1.07778837444782,-0.961493884450876,-1.16589233027808,-1.2547237287942,-0.62437198135227,-1.024159951149,-0.990942262343402,-0.50312011222448,-0.62091351946343,-0.588536814602496,-0.806222383973366,0.483359146601868,-0.891764245130881,0.141058688287206,-0.937921792185567,-0.390042216230674,-1.00883157569287,-0.537226203154171,-1.1883331225084,-0.85288595155441,0.437700440171274,-0.534798992706461,0.275462394569858,-0.357304294257993,-0.191042016927232,0.107115720010327,-0.600328488415435,-0.774110887808749,-1.15482095758423,-0.550390222547972,-0.636645293013205,-0.603549810475694,0.765943072629487,-0.900384059965499,-1.07262876227682,0.435054901458228,0.0969604412122516,-0.171030738388543,-0.10616773122179,-0.288876365325521,0.631860175516673,-0.832881143568765,-1.08088541249329,-0.701470611425568,-0.75307052515961,0.31572569269943,-0.66668054485636,-0.636680998048723,-0.630906638831375,0.972224188705574,0.566199435126945,-0.814312669167876,-0.61044352212103,-0.597198424769257,-0.67724774758838,-0.330578947288196,0.340060940612618,0.19283590196974
"NGON_Li_1 (GE) - TPM",0.0502957695728734,0.52231352682962,-0.304309628861251,2.05730513925109,1.72796588413862,1.2912421875686,-0.329258710469768,-0.552238562801012,0.788593708367379,0.725088183222024,1.99789605717608,0.224193004680064,1.05562028869313,0.180213270531228,0.0749490333542633,-0.616980171404281,0.404811556462319,1.02087327218498,0.821247763326631,1.41850271364115,0.584440017783272,-0.302792556957017,0.445867289904491,0.456287944530905,-0.749059781392475,1.56938749527801,0.118971662786799,0.685047589041229,-0.405879495578123,-0.189720977092859,-1.64661684070171,0.45924576146441,-0.285618305169983,0.323055686986601,-0.105686191292339,-0.409256110464475,-0.390612228430856,0.708852589778036,-0.326799601370786,-0.192022272866439,1.18102518420971,1.05935503238787,0.0983098340225708,1.76121178113022,-0.313774198052022,0.316779657980375,-0.121841580528874,0.998152635949157,-0.29036357403634,1.79795236622278,-0.243970842411458,-1.01295599727912,1.97182247725064,0.985119856280878,-0.691032595805551,0.376345984634682,2.30518866484339,-0.0854792186082516,0.614073359243284,-1.05140417368479,-0.407365601030826,-0.313008066329007,1.41097835884922,1.49728011410955,1.24271978333295,0.722006329652521,0.542896663515314,0.396104549707639,-0.457282281909069,1.08585088353086,0.35166708345313,1.97967274884357,0.192993265740379,0.319370176812267,-0.804263355976528,-0.303811940514262,0.386246212033835,1.9674913372442,0.907052814134654,0.309779406112954,-0.872929616768269,0.0295767030798715,-0.436527507159715,-0.346163630197805,-0.886920032374542,0.00834303975757266,0.890891456921361,1.14037870448964,-0.0818910162329492,0.0201400022332821,0.942428448972337,0.71853851403054,0.66353674175903,0.0614330212812167,0.169081585273517,1.48197664415853,1.15338213964702,0.962877779161793,-0.350889028401393,-0.471400410475131
