"","NMC_RS00065","NMC_RS00070","NMC_RS11475","NMC_RS00705","NMC_RS00725","NMC_RS00880","NMC_RS11575","NMC_RS01325","NMC_RS01625","NMC_RS01840","NMC_RS02135","NMC_RS02260","NMC_RS02290","NMC_RS02310","NMC_RS02380","NMC_RS02630","NMC_RS02715","NMC_RS02770","NMC_RS11945","NMC_RS02835","NMC_RS02840","NMC_RS02865","NMC_RS02890","NMC_RS02950","NMC_RS12080","NMC_RS12085","NMC_RS03650","NMC_RS03735","NMC_RS03895","NMC_RS04180","NMC_RS04250","NMC_RS04270","NMC_RS04290","NMC_RS12200","NMC_RS04910","NMC_RS05120","NMC_RS05870","NMC_RS12380","NMC_RS06010","NMC_RS06340","NMC_RS06410","NMC_RS12495","NMC_RS12535","NMC_RS06865","NMC_RS06895","NMC_RS07010","NMC_RS07015","NMC_RS07045","NMC_RS07230","NMC_RS12640","NMC_RS12670","NMC_RS07450","NMC_RS07475","NMC_RS12725","NMC_RS07935","NMC_RS08180","NMC_RS08230","NMC_RS08420","NMC_RS08735","NMC_RS08740","NMC_RS08945","NMC_RS09310","NMC_RS09395","NMC_RS09620","NMC_RS09625","NMC_RS09645","NMC_RS09760","NMC_RS09945","NMC_RS13175","NMC_RS13185","NMC_RS10505","NMC_RS10590","NMC_RS10765","NMC_RS10825","NMC_RS10920","NMC_RS13415"
"NMEN_As_1 (GE) - TPM",-0.535091780950688,-0.983574849677694,-0.539169101466465,0.499868045748329,-1.01179130186689,-0.526955580218053,-0.647306032933333,0.555771095182959,0.0960357158969581,-0.60878152152524,0.147332758271743,0.853988560037284,2.41296326774601,0.0500336753861085,-0.246747932310676,-0.453615945630923,0.248376892783492,-0.949070293948041,-0.238579279608454,-0.262573343270194,-0.434476129887872,-0.199604330362967,-0.112061037673284,0.414178356179197,0.0480851995836711,0.43238638874371,0.323686394511895,-0.499532279726297,-0.450417347648701,-0.0378559393319124,-0.119805198026696,-0.166931802360366,-0.56139504636954,-0.472060324766442,-0.615703291352835,0.419544745900832,-0.261071147961676,-0.169025539239309,-0.685423196369247,1.43365440965089,-0.206786732951117,0.0794215367892517,-0.237941644044445,-0.645570651055854,-0.603582502240428,-0.257615390297646,-0.303169002457082,-0.515431024362439,1.67844759135441,0.363911187439866,-0.340184193260094,-1.21792574915375,-0.870943981803428,-0.151641581936254,-0.0484286647725628,-0.300613412539278,0.205418466365904,-0.931507776411814,-0.235209850993585,-0.460326066054355,-0.264073598656294,0.0975140759647064,0.651616034933602,-1.37238562431137,-1.10554983775676,0.249570515022339,-0.288777342374673,-0.121952096305568,-0.473969929843999,0.0215341092860286,0.279974237245516,1.00439903471212,0.292645583718462,0.58249540420136,-0.36116389846644,-1.0970533220903
"NMEN_As_2 (GE) - TPM",-0.569995199752908,-0.870431252212987,-0.441139965369506,0.453897289277811,-0.0219422610144784,-0.527025970934361,0.0750505424337783,1.11678882449441,-0.364597189767116,-0.75313283710796,-0.0730895450258956,1.92792045215032,-0.387957337863623,0.0364405517360105,-0.197829824595938,-0.155297223293677,1.67749118401538,-0.863031667161078,-0.238579279608454,-0.318878585735907,-0.429604563840227,0.210307764463913,0.399692644412836,0.465974183659302,0.482913661662117,1.21599459171639,-0.684133898053181,-0.489815703684594,0.195220814734044,0.373339251868632,-0.139885061221285,-0.308995963556034,-0.669349109406353,-0.225241028471714,-0.0638069342215364,-0.379231618403779,0.2223313638169,-1.35851428501295,-0.328700643622885,0.633860606238507,-0.0916729015390856,0.197381743906148,-0.237941644044445,-0.630663285419703,-0.217418339806002,-0.295219000142105,-0.299309400580333,-0.110954111197357,1.09353524581783,0.646766670103565,-0.774061321895079,-1.12495185079796,-0.544665197037743,-0.0344344202783707,0.030630617316279,-0.563337575506725,-0.612511954987062,-1.07627779409559,-0.373730425027921,-0.517689511153749,-0.25102285135183,0.656132705252043,-0.403836784642305,-1.05554255390025,-0.762950733985128,0.0338179248502538,-0.707410525077711,0.320700544718593,-0.490447089890769,-0.20136479326756,0.180454076806824,-0.0653637648811494,0.574098364744065,-0.544048588691595,-0.407817474224132,-0.51749115334729
"NMEN_As_3 (GE) - TPM",-0.622942840644138,-0.882692146962106,-0.421879121764674,0.776566839579391,-0.201844736541034,-0.532269623732151,1.40673338880414,0.673495619447464,-0.370522588243828,-0.555101111214188,1.06323865978643,1.00039223969752,-0.792786157873648,0.0772893561199553,-0.0684401812413416,-0.453615945630923,1.23404993163449,-1.07313622242391,-0.238579279608454,-0.420523739903221,-0.456965818696612,0.408998725985279,0.743968363940524,-0.651629211642741,1.80467106917873,-0.2505147730546,0.0378857786195106,-0.49229414456554,0.438662196806417,-0.580279585684419,-0.151578454574863,-0.264536442447584,-0.449082195386451,-0.511290062674173,0.0620941052886423,-0.199979432255833,0.509162143079892,0.294107264173997,-0.0394568749120794,0.0471752079352609,-0.197505875901296,0.00837202229817739,-0.237941644044445,-0.646157011619954,-0.218315206556082,-0.464289326739905,-0.312277709435839,-0.212923253663537,1.95942694291387,-0.281264350431761,-0.404968713477883,-1.28285209424913,-0.676188308284445,-0.206271599696946,-0.0387082978736438,-0.494260010120298,-0.225361080313504,-1.0954169824155,-0.533967600991763,-0.587461681155317,-0.331485179728119,0.999257091526354,0.937776835888368,-0.997949877936377,-0.962688941366228,0.494948811984238,-0.0190408420083594,1.06461141651623,-0.450435604101343,-0.494025628989677,-0.0428113438258485,0.0860501683500339,0.101702632028255,-0.789839738152518,-0.604115908042488,0.198125515922889
"NMEN_Bs_1 (GE) - TPM",-0.339562005277847,-0.228199864393315,0.423468835466576,-0.354044498819383,0.973321411069056,-0.544615317064644,-0.0468629859717426,0.715485000355724,-0.744938129460635,-0.57637306228967,-1.2257149781126,-0.0591967544348224,2.23710562748747,-1.27889192150049,-1.41894631291958,0.0425462736265876,-0.20519464512644,-0.0155609669859683,-0.238579279608454,-0.710555577745128,-0.4343186478741,0.119164388630172,-0.21547072508222,-0.914318070994878,-0.193861197701954,0.368140486067954,-0.300790256732829,-0.553469172247787,0.621671462237478,0.553390696913088,-0.899380936256115,-0.302143957762308,-0.393152752285638,-0.588857704052023,-0.984669234988175,-0.0124820801022535,-0.148455775609121,-0.558646623751891,-1.24287442255339,1.16981273959691,1.78290273337771,-0.713388531307988,0.144965366897616,-0.568241908181571,-0.408664605142612,-0.702136930486175,-0.640872059773788,-0.0883450087011116,0.345397311501539,1.99068386604305,0.170247710618989,-0.698437525257622,-0.998198661437444,-1.23013749011724,0.854362999099644,-0.556311005809315,1.3449709786578,0.0623888597027558,-0.380289006814162,0.0458404067396659,-0.136399944069419,0.054725759377184,0.209527717195619,-0.729273085211738,-0.367986828899658,-0.5399962426526,-0.0808166480349771,-0.578531680979699,-0.639619819226526,-0.773134993494815,-0.941796181751669,0.784285983835513,0.42741027907079,1.49836687908854,-0.495045829614068,-0.113620989498096
"NMEN_Bs_2 (GE) - TPM",-0.404143763886581,-0.153981233524588,0.0545870196477296,0.202104176197786,0.252157832878147,-0.549780708518634,0.16844286132857,0.182541813719521,-0.597549008645324,-0.664433457537634,-0.3125621965126,0.168046508913065,0.740598198305289,-1.08308430871161,-1.24225580579244,-0.453615945630923,1.04327418946449,0.171627040678541,1.05818135738503,-0.688878142259997,-0.355469615049874,0.40723872133104,0.00113072159220395,0.557492151246193,-0.139816950582457,-0.215335919808828,0.0521047461625224,-0.548865293951239,1.60534070727124,0.566166293769705,-0.789659977355068,-0.509689545623947,-0.366185679587497,0.652528194078131,-0.487346417445652,0.40745012462018,-0.223199275873059,-0.27163182706099,-0.901334869304664,0.809970955971542,0.795503597025573,-0.552241119393619,-0.237941644044445,-0.582619375104215,-0.243408317656303,-0.688034658914961,-0.637727544514764,0.676878470637564,0.341943111091239,-0.221349763013011,-0.484887323423356,-1.02985057104854,-0.969634423680904,-1.33225143839252,0.649362266172574,-0.529718491873975,0.585245209995535,-0.220592990487127,-0.589542484987646,0.00810379041783196,-0.202950776814279,0.206853585629521,0.177080471738193,-0.654441503874625,-0.526625907583074,-0.411473493630793,-0.70368841937464,-0.36521635241228,-0.514328896276386,-0.548250935242709,-0.797428218825543,0.724297164001216,0.729610161365895,-0.881729920568084,-0.648549958322671,-0.204506734404732
"NMEN_Bs_3 (GE) - TPM",-0.46367604724672,0.076058900525294,0.449718779175313,-0.283153006543163,0.9177231882447,-0.54895341993798,-0.763183857785787,0.505082995231981,-1.01735219169951,-0.664927811158898,-0.446093943365593,0.271406658395396,0.435980471131597,-0.95819005394416,-1.5491960865179,-0.453615945630923,0.943208297723379,-0.409568948106984,-0.238579279608454,-0.697419640555965,-0.423068733752625,0.162605393119508,-0.445685107801072,0.552058684173208,-0.0630843627319661,0.437786107396299,-0.40847405123823,-0.56554610886022,1.86251067785132,0.785100131461106,-0.726041790086472,-0.366137385838802,-0.595997597126359,-0.216707851176615,-0.304167573633124,0.210063191346576,-0.296664945805103,-0.0642032007773881,-1.0819026093226,0.175763557212088,0.979170923639916,-0.0686474789936452,-0.237941644044445,-0.596983997125775,-0.412278149127415,-0.688835551708663,-0.685181861369099,-0.129029193623355,0.610891078851124,0.602264600875319,0.0534790721676399,-1.04965261856759,-0.984675568473318,-1.22393451615014,0.702176564515783,-0.525452845223196,0.997935386316407,-0.411027002994056,-0.353882761201541,0.0615636055553611,-0.151871557197377,-0.112413110774063,1.36018554861784,-0.724633376345215,-0.466874870286413,-0.130354045228729,-0.537770656120855,0.338925514955484,-0.703274576400827,-0.587807306180146,-0.901343875596596,0.707704671451947,0.792452059069761,-0.130849018120525,-0.576343997592507,-0.340715922747898
"NMEN_Ctrl_1 (GE) - TPM",-0.678616955498919,-0.785943718068504,-0.423737378811315,-0.583888010223023,-0.509743779826188,-0.537882186908753,-0.153672819176494,0.430380762398671,0.254751458091074,-0.655496832965116,-0.200607343995224,0.0180791385897341,-0.339337318680594,-0.634814223184318,0.0583008225275943,-0.119469087379897,-1.00574826110565,0.949338257038812,-0.238579279608454,-0.421157255104721,-0.454573483566378,1.47725401740793,0.168587912780156,-0.244806907105422,0.624616770933815,0.460408062855851,-0.703483587214824,-0.533512808283967,-0.516575141353891,0.485911123500833,-0.307071274612867,-0.177077275227455,-0.657144594593906,0.403838956196108,-0.386292984141013,1.35301911239941,1.92835489611703,0.561223776313726,-0.237441229682582,-0.641385476677091,0.877444624750278,-0.387074643481009,-0.237941644044445,-0.609623315320605,-0.308691966304446,-0.437415727141986,-0.362079304681063,-0.00730739789000582,-1.039809531295,0.343485859984718,0.0233484760264952,0.909491549703966,-0.136693626106724,1.20254369224335,-0.0691618361498651,-0.191874580575287,0.148811286510114,-0.440746232398014,-0.803263776684827,-0.675598418344245,-0.667919890422324,0.959030320366152,-0.600626240138499,0.816081290644834,-0.224966380843709,0.766801306558851,-0.501408416454828,-0.899727198679211,-0.462134013565501,0.166486423408518,-0.00254575010364469,-0.0352832138954361,-0.202994604325193,-0.893185104936739,-0.827516269523124,1.11872836556113
"NMEN_Ctrl_2 (GE) - TPM",-0.618272530290399,-0.746173634609774,-0.733080715981392,0.505148411318177,-0.938780891575976,-0.566724678938865,-1.35514216300056,0.757451492217091,0.196103882391902,-0.349506625941131,-0.207967368600675,-0.271274813941209,-0.792786157873648,-0.415517215113081,-0.0725584794395747,-0.453615945630923,-0.182139365739555,-0.252012033748105,-0.238579279608454,-0.542674696713611,-0.621792450708675,0.436129861454756,-0.690155869439722,1.3322454510937,1.81010546368345,0.289552916922093,-0.426251239336341,-0.512924969019451,0.318931599898154,-0.696494682925598,-0.284434763724108,-0.613434777191172,-0.830006950882796,-0.95096271869765,-0.0252372116859696,1.21733928433823,0.475580523791327,0.47999629746225,-0.937020676738403,2.41961435038711,1.39753062228289,-0.280156002075827,-0.237941644044445,-0.657699142844793,-1.291380585294,-0.564514447497216,-0.495828546971309,-0.882668108758718,0.343255203196911,0.638547689214447,0.901318997011975,0.897825327215159,0.893991271718784,0.623783432969561,1.32265726454009,-0.0666287055440777,-1.24106531941103,-0.697996633389195,-0.50675615432483,-0.443652791441235,-0.560401050269733,0.327805053176749,3.13721685286471,-0.941151219355558,0.632077306049992,1.62334948579194,-0.913270652527755,-0.650050831134789,-0.662925369347412,-0.735709220956542,-0.113243174893503,-0.24869602252717,-0.0171784168007154,3.23808876042061,-0.639639381989056,-1.26637404773727
"NMEN_Ctrl_3 (GE) - TPM",-0.595387195037663,-0.942822149812446,-0.640677499421463,0.034645416290556,-0.706012626647141,-0.55985535296496,-0.91053996899421,0.0264613185656326,-0.229604519273134,-0.548546592750183,-0.497994711434608,-0.200706464635488,-0.792786157873648,-0.311784342471207,-0.775901646331594,-0.453615945630923,-0.725647416742751,-0.617364990954706,-0.238579279608454,-0.520978499828164,-0.663492490714089,0.675458080890479,-0.117070812827046,0.07405867619034,2.04796282210109,2.34997364395692,-0.85209576480086,-0.504509233965601,-0.797145260479499,-0.136446500013117,-0.486106723000913,-0.462496124591825,-0.759591265384176,-0.95096271869765,-0.350064585819253,0.350113284277347,1.18961729273867,-0.55892739644607,0.45241607676641,0.419226775249582,1.3892588494213,-0.920009857510232,-0.237941644044445,-0.585438673124715,-0.725016859292048,-0.672170415602995,-0.54113389791166,0.201393622126633,0.357157414754165,2.1959254849276,0.326544399452306,0.27322055256734,0.387040945928796,1.01024980732647,2.00013429764709,0.014655765681579,0.435473227036351,-0.865030303455997,-0.481144768354973,-0.428163313504907,-0.580091978947071,1.80196861102561,-0.602099897856002,0.5176443136631,0.52929139569549,1.23832032983684,-0.659148033981064,-0.424896566005231,-0.538727730599853,-0.471316878263448,-0.168354030915664,0.615027122672065,-0.441901918384752,0.716064105982408,-0.560426317094281,-0.632335858472441
"NMEN_Li_1 (GE) - TPM",2.09186662724635,1.51414297516235,0.513714111120436,1.62906739546715,-0.454344147121653,2.25218998631014,0.904363114177942,-0.72422767218949,2.60523796337023,1.85500120076649,2.59087127705066,-1.83920370413662,-0.792786157873648,1.72008491451672,0.960406231745048,5.20200843187089,-0.514327812024943,-0.10541328629187,-0.238579279608454,1.71852231735262,2.19744519179293,-1.13816557790857,0.600995153142761,1.5698850717316,-1.68826209287841,-1.08804515658702,3.11491441626644,0.921588724309526,-1.85164803679363,0.244921467582203,1.46157899773515,0.428794742707252,1.31051843551539,2.8708345884085,2.54155007074145,-1.72028314456546,-1.26473710694176,1.25028766593985,2.03456345789953,-1.38024117829632,-2.08170254470697,1.49143955578995,-0.237941644044445,2.25192392670078,0.909950188006449,1.79420963095577,1.71262151093113,-1.79884740813542,-2.35498417187513,-1.70769763653951,1.27368103266552,1.4203979388289,2.82214922146322,1.87426043096676,-2.44867662013089,-0.766194331990037,-1.98089948970676,0.943548452994364,2.05235714820278,2.23299448917575,2.50065057414614,-2.36669315521681,-0.622134781245667,1.62300524379002,2.4396296512851,-1.08150942785231,1.78032080830033,1.61216520726313,1.79395559393368,1.39193036003891,1.93467817869005,0.139145471584337,-1.95374693210547,-0.787411109576373,2.49504590611698,-0.20241360441101
