"","NMC_RS00380","NMC_RS11550","NMC_RS00575","NMC_RS00605","NMC_RS01295","NMC_RS01475","NMC_RS01880","NMC_RS01905","NMC_RS01980","NMC_RS02255","NMC_RS02270","NMC_RS02275","NMC_RS02410","NMC_RS02710","NMC_RS02775","NMC_RS11950","NMC_RS02800","NMC_RS02825","NMC_RS02945","NMC_RS03010","NMC_RS03295","NMC_RS03370","NMC_RS03510","NMC_RS03525","NMC_RS03560","NMC_RS12090","NMC_RS03615","NMC_RS03620","NMC_RS03675","NMC_RS03680","NMC_RS03745","NMC_RS03810","NMC_RS12125","NMC_RS12130","NMC_RS03975","NMC_RS12145","NMC_RS04025","NMC_RS04150","NMC_RS04170","NMC_RS04395","NMC_RS04515","NMC_RS12245","NMC_RS04925","NMC_RS04930","NMC_RS05185","NMC_RS05190","NMC_RS05325","NMC_RS05380","NMC_RS05405","NMC_RS05415","NMC_RS05560","NMC_RS05670","NMC_RS12360","NMC_RS05905","NMC_RS12395","NMC_RS06165","NMC_RS06275","NMC_RS06335","NMC_RS06445","NMC_RS12485","NMC_RS06645","NMC_RS06650","NMC_RS07180","NMC_RS07240","NMC_RS07280","NMC_RS07290","NMC_RS12645","NMC_RS12705","NMC_RS07690","NMC_RS07770","NMC_RS07800","NMC_RS07880","NMC_RS07985","NMC_RS08035","NMC_RS08135","NMC_RS08195","NMC_RS08305","NMC_RS08580","NMC_RS08585","NMC_RS12900","NMC_RS08600","NMC_RS08605","NMC_RS08750","NMC_RS08795","NMC_RS08860","NMC_RS08970","NMC_RS09025","NMC_RS09105","NMC_RS09145","NMC_RS09170","NMC_RS09270","NMC_RS09295","NMC_RS09335","NMC_RS09405","NMC_RS09510","NMC_RS09575","NMC_RS09720","NMC_RS09930","NMC_RS10220","NMC_RS13180","NMC_RS10260","NMC_RS10350","NMC_RS10460","NMC_RS13255","NMC_RS10600","NMC_RS10655","NMC_RS10685","NMC_RS10745","NMC_RS11145","NMC_RS11210","NMC_RS11240"
"NMEN_As_1 (GE) - TPM",-0.761890566866541,-0.823422763917091,-1.06495798650628,1.16789788672629,0.165613085338888,-0.354759643954423,-0.654489790402255,-0.722737173098934,-0.442913411838687,-0.705159474656953,0.729666997514906,-0.0325521479838454,-0.7452772974005,-1.44927195537232,-1.54895760538793,-0.384854321430752,-0.617764727281316,-0.544397855329453,-0.641591331312757,-1.04758033186614,-0.276506730399153,-0.193724989833403,-0.82365814383688,0.565760123918949,-0.779590678443742,0.189845779539482,-0.14857873680512,-0.118693719682207,-0.450109952584737,-0.770253377489187,-0.322509959127196,-0.215385128980162,-1.38126630476904,-0.630033061378398,-0.57437643152095,1.10219495071743,-0.524933033765943,-1.06468071228429,0.186444744447746,-0.651929770032643,-0.346132872836761,0.109067204071156,-0.247472454198083,-0.22775267078937,-0.923353219930642,-1.13220458344431,-0.823557108581304,-1.65977669762484,-0.426566323949299,-0.865406069011186,-0.543748784497547,-1.58216314615316,-1.43704992207262,-0.899552652728072,-0.905733387768917,0.713263749995102,-0.392838824470121,-0.038933840040958,-0.697462809635543,-0.377049391592786,-0.349360389190174,-0.914116351584721,-0.563503323712742,-0.393343901823766,-0.385037756651328,-0.126643959984227,0.0078709173168059,0.202244679003313,-1.18576937497068,-1.15309265568228,-0.325486472412922,-1.01534080648678,-1.4205256828449,-1.2015576002799,-0.0180344283547783,-0.645010827345673,-0.602273711991875,-0.694734731604681,-0.850325702363343,-0.960355320893723,-0.327206635181815,-0.806671155829117,-0.6695446131501,-0.816561360312188,-1.07645516654748,-1.17554693515955,-0.465818252373543,-0.833530579192532,-0.377167652938072,-0.46039270942425,-0.681338977652694,-0.742846356755942,-0.545127591444745,-1.05519361219842,-0.780476142680161,-0.0307929922906272,-0.154870009789864,-0.68767418490316,-0.444801069059795,-0.327100804371446,-0.98745521996778,-0.553192172370887,-0.627384037787361,-0.71632551342807,0.176125542944447,-0.717259690379644,-0.571285340918913,-0.412246057852043,-0.797029440727857,-0.51717809361287,-0.596344746240873
"NMEN_As_2 (GE) - TPM",-0.619659931565311,-0.428365830120406,-1.01256218190693,0.710638758768529,0.182254203138507,-0.284240633614175,-0.495555479832974,-0.845207457452624,-0.351980951821705,-0.393708893815139,0.845259368829355,-0.34302516590712,-0.510128598308451,-0.90663285464381,-0.765357727782907,-0.513120212966555,-0.496374302290599,-0.223065156110198,-0.693956600985803,-0.566952614198283,-0.670087764690672,-0.783652837439115,-0.705845002769654,0.340640058075138,-0.316843301742341,-0.584074792878072,-0.0660675423024582,0.106854753945591,0.641485639212505,-0.572516245215692,0.0229611470048182,0.0826988066291949,-1.39561094910965,-0.530496754993521,-0.724599634311656,1.12682815093379,-0.341395403240566,-0.70469206767996,0.059934824621209,-0.546082529369674,1.1500664666366,-1.42390074147011,-0.0235962199674187,-0.227279251018786,-1.03723219543468,-1.01113349833925,-0.65149803359043,-0.881372742125122,-0.295211393952029,-0.209455118178417,-0.690880565194285,-0.956823536514438,-0.982976960113738,-0.262010812520481,-0.180175372441734,0.9154106012278,-0.691565577315097,0.0857284391136786,-0.489874397323615,-0.377049391592786,-0.150165398009555,0.268998515722899,-0.319095046713008,-0.149150477584697,0.589136415819908,-0.571455777873739,-0.0647441811824184,-0.719138448402565,-0.0199401343648956,-1.00106659229267,0.722908033005853,-1.20324823542425,-1.03132273880687,-1.12009081657035,-0.0401913969819207,-0.612143963053402,-0.458653464007573,-0.914658648410513,-0.65458476116571,-0.771250336169515,0.374417220674141,-0.860857283345803,-0.105938513957413,0.643213156898797,-0.338472885014657,-0.773977386957126,-0.482404672991093,-0.549111491749191,-0.590120701299814,-0.333578440663289,-0.228410887154805,-0.970107715598371,-0.489586212336496,-1.22439179656936,-0.378215761652535,-0.0565804044562225,-0.501098045604682,-0.778679772027954,-0.3573347647599,-1.11735980257707,-1.01749905536141,-0.513796651975291,-0.480515611358167,-0.515963174253728,-0.104849674242578,-0.654772838191974,-0.799788319743657,-1.10869818330373,-0.706135323843962,-0.633186197022909,-0.80383225341737
"NMEN_As_3 (GE) - TPM",-0.390605959361685,0.24042130062062,-1.09388960583121,1.08883042099115,0.191079397474344,0.589881268324697,-0.637143397251396,-0.718190643213347,0.335343938076134,-0.760686215714293,0.528347639889189,-0.376103834829474,-0.574465472996353,-1.20647200168122,-1.26634164986189,-0.62083677664516,-0.601948566394617,-0.540320133457437,-0.559366712827299,-1.17823108544967,0.0519079508867444,0.15059992659206,-0.569248264665402,0.464629029742282,-0.337942078262999,0.444430409250198,-0.189148120229078,-0.140324796325074,0.543869735795349,-0.475050032177661,-0.133412752223039,-0.166390335069392,-1.18386176996164,-1.23036846570393,-0.330630677568772,1.45668571953239,-0.375568859042974,-0.675323709471799,0.586934299198149,-0.595484966825271,-0.346132872836761,1.31492911475301,-0.100752320852693,-0.478137401069161,-0.912298964875022,-0.887916365575919,-0.00803431691763228,-1.17634942480949,-0.52591885795213,-0.61263779549222,-0.314753484929741,-1.38751798403296,-0.678508521608545,-0.739306287262127,-0.91823351801322,-0.0866185237960563,-0.586155571981919,0.0234669823980339,-0.618860880713749,-0.377049391592786,0.295091920453781,-0.00637926375940055,-0.514121401504855,-0.491148035382926,-0.432365745278663,-0.151356900776253,-0.632281305357075,2.36475607999476,1.01160206716254,-1.05305732047921,0.208488761298523,-1.08077686797006,-0.862156447809809,-0.0883293018086054,-0.147581321816244,-0.661004715882585,-0.753945973618127,-0.56998049546407,-0.21453271968711,-0.791113391185143,0.46207306789601,0.0470414697380779,-0.148425179919054,0.552107409337488,-0.414965918902127,-0.677211701532603,-0.657513585933339,-0.519947409326476,-0.567949995799049,-0.487836699189775,-0.736784543021943,-0.922572796853205,-0.417072337999037,-0.822934270217959,-1.23396546625357,-0.247311273832886,0.491471286474472,-0.625541827286959,-0.557470809321271,-0.888840317744398,-1.05049210474162,-0.505707935559738,-0.33162444874031,-0.0745202831039858,0.337325385835035,-0.582789677899635,-0.899147442539299,-0.661078735686997,-0.364150218686117,-1.05396052271027,0.463035227892216
"NMEN_Bs_1 (GE) - TPM",-0.88241830092524,-0.830795322191555,-0.300599872283539,0.589350056129078,-0.270789632234319,-0.204475745954963,-0.556445664516238,-0.431640400265938,1.17173813481495,-0.770700592488653,1.25520091577556,0.260992889488005,-0.595382972585932,-0.679923010468859,-1.76024343091991,-0.592653437635413,-0.704451503551955,-0.319845119874329,-0.96445677526726,-0.718213382800847,-0.495720287898562,1.08429091057294,-0.4630539020627,-0.607764042580261,-0.696838524943694,-0.552085470384478,0.591948222788807,1.03504148361266,-0.348364292847015,-0.212162652619005,-0.149902846501215,-0.323622735853218,-0.062099390023084,-0.203860254545072,-0.447290834839435,0.0625012152331889,0.514378996967533,-0.00489018436179112,0.404924790160538,-0.975377734797534,-0.097285740972325,-0.246849043073681,0.484497489268555,0.229754635674797,-0.190627155565359,0.0131969834114899,0.0205825176971975,-0.327254982120914,-0.898778892316818,-1.79081623118234,-0.615318670851775,0.388923382976026,-0.289035353683226,-0.436070602749788,0.45029515527567,0.510019395101706,-0.591560740797105,1.33990875387477,-0.910198507811362,2.7874794177555,0.173244977921338,-0.120147112230642,-0.513696940099276,0.119173860897099,-0.739718417210088,-0.569928266899111,-0.557765998529881,1.97289305151209,0.489184955016777,-1.0437551905126,-0.727171292054336,-1.28230721777427,-1.02359349481533,0.301696874679119,-0.541551916655983,-0.572453969181705,-0.947712680637054,-0.328588831069081,-1.18348287999101,-0.356709596064362,0.701016054935979,0.233755641450059,-1.5070323760613,-1.19676715322979,0.0962673968540645,-0.386484203115201,-0.794345497352366,-0.809171403562461,-0.756956788289219,-0.0307129600515041,0.867437208078115,-0.910982451064661,-0.675281571889554,-0.769148262437066,-1.16439489736497,0.555938912468957,0.513109998403403,-0.82017464419359,0.0606421381777254,-1.1698203222622,-0.000341877971369796,-0.9874121650377,-0.741936933157957,-0.117088964430112,-0.514854080661603,-0.808540959374841,-0.961794378778891,0.192776761181216,-0.607311061852504,-0.696085172123862,0.047234870580154
"NMEN_Bs_2 (GE) - TPM",-0.853859144258976,-0.964538165396911,-0.0457674053114287,1.46092045743502,-0.0508335990253378,-0.446713244960617,-0.342763647695522,-0.460854233029573,0.736774077476796,-0.467092966098723,1.32914870222414,-0.0112911753823569,-0.251023469092098,-0.721326955441197,-1.52761018829601,-0.561420115913974,-0.717565844305026,-0.529977599842865,-0.818963698140362,-0.623274048391046,-0.801105591226763,1.78974933797736,-0.410885407252164,-0.514935335119517,-0.872200224329649,-0.887616610648496,0.39371204130446,1.03898421843032,-0.537430608006089,-0.25866521923428,-0.599628475290264,-0.522808866535515,-0.174368469180153,-0.481674895175895,-0.68489840442393,0.423701873783631,0.611891451331127,-0.324282077386338,1.13105481157489,-0.84595903495387,3.19587140765051,-0.189625008181389,0.416914181861178,-0.0988528092668814,0.0138384793177559,-0.180245677302772,-0.319050891726115,0.0498629209524416,-0.737681777263381,-1.19785451889598,-0.8242115079407,0.115628393760389,-0.314792823568956,-0.599761816240489,0.0543954096730029,0.866008496688799,-0.430134069837929,0.804042089267925,-0.989942888923296,1.2608710452172,0.206772377336617,1.35275358073084,0.216122085044875,0.052208586182039,0.088842241103142,-0.484739687150213,-0.894631497857856,0.148801615571116,0.104919704946904,-0.927515243613212,0.0254377527172261,-0.866711489005662,-0.990944044620853,0.191978011257837,-0.917411115116929,-0.723773518957685,-0.829787012216553,-0.437759020630096,-0.894755763271292,-0.258018356609122,1.48899272951379,0.0703168339184011,-1.51796729020702,-0.651945256733462,-0.0945809453543658,-0.521552482205636,-0.94870747383392,-0.861885800272123,-0.927712006382569,-0.516764413408763,0.97392994185676,-1.24153212258083,-0.612274413604669,-0.71590182829936,-1.10442318574335,0.233171097266563,0.673374214511647,-1.06196265630725,-0.00770369268597169,-1.03684160846453,0.0796974781763275,-0.667550948841554,-0.705572348329003,-0.302016516715736,-0.0401428736758061,-0.700241938753831,-0.730714934380308,-0.336799500992954,-0.486002399183424,-0.968625798230402,0.128066940096433
"NMEN_Bs_3 (GE) - TPM",-0.965462984299003,-1.09506917453879,0.0197231957549377,0.637861463584472,-0.282428560002037,-0.13567799265617,-0.647512316834464,-0.72055126485082,1.08586490305186,-0.881883961621983,0.868172981210129,-0.604501920020796,-0.521522126685964,-0.683801909381442,-1.78207081761598,-0.762002480499525,-0.949682321098106,-0.727607791616203,-0.986005382020993,-0.634096227104369,-0.783420867125257,1.25573295430133,-0.557808669844482,-0.64971779507951,-1.02043780215892,-0.0811233849704526,0.889305437750478,0.819019533094674,-0.884940446292796,-0.615304999179047,-0.562805853724253,-0.170554836613611,0.0932515327544339,-0.911870856713593,-0.638948393631113,0.0395483623338335,0.352518445063938,-0.25437148933293,0.338538590550833,-0.948124406680135,-0.346132872836761,0.0482527156319155,0.114478198281537,0.191750403159415,-0.969217586516781,-0.613170718732303,-0.599017412384556,-0.104723157038077,-0.811376069702325,-1.32927968898602,-0.770105297838561,0.798707109252977,-0.333807589526735,-0.784016046364014,0.294369046009354,1.18755172583962,-0.027489025074164,1.33171388899321,-0.952415132648867,-0.377049391592786,-0.352824858878741,0.93816745729283,-0.354135883509546,0.191912152295691,-0.616691993112506,-0.635749162859885,-1.02692189638313,1.63272798463474,0.730885228061586,-0.92618539449819,-0.336222584694913,-1.35443934278587,-1.04620479651387,-0.334737258523842,-1.17422894891211,-0.684519275237421,-1.03406621667459,-0.472436816850757,-1.08125393210157,-0.388010989132957,0.751387517856518,-0.110001671771719,-1.60927407780359,-0.633844020743951,0.151561460902736,-0.585724178635344,-0.945099017964325,-0.755106077372302,-0.964403119761808,-0.109480844482526,0.821931770261532,-1.19267644362611,-0.688480795006042,-0.892324334157819,-1.27409513020374,0.0943440444529011,0.521206984226379,-1.10123314706607,0.0205359699110971,-1.16375546503615,-0.168803249444119,-0.958040958052235,-0.740431076967629,-0.936855825898432,0.115154220101213,-0.810152505272269,-1.21510586509341,0.0554192974716756,-0.68383899737495,-1.195677807915,-0.496113952900181
"NMEN_Ctrl_1 (GE) - TPM",0.992241972983015,-0.398005897027327,-0.439324045223623,0.695591844352992,0.513360516361216,-0.149058886607922,-0.202916834466676,-0.00538832769017669,-0.644445854263392,1.00899388841819,0.390578386949318,0.304584364557038,-0.420445165079635,-0.348965837940042,0.371755207256183,-0.158356043355071,-0.206850435698616,0.14653336497215,-0.0863316682088684,0.125308977877659,0.216335705859592,-0.956582785748708,-0.261195611591215,0.228198632321089,1.24358878947888,0.736695711921362,-0.0569876744285675,-0.401876653668344,-0.468592855347579,0.00368869932267949,0.238676408290106,0.719213220587791,-0.0587257147493305,0.456624769815257,-0.0971193080229153,0.738810548300761,-0.193826851458738,-0.678656003878781,-0.531695857333934,-0.0141164564065845,-0.346132872836761,1.54576312186692,1.13185746812982,0.405706829940511,0.691447599789175,0.728152259592089,0.25925685944769,0.636166301636622,-0.190020769614376,0.296924810250207,0.137378156702722,1.32439481166931,-0.0598931084531032,0.0062798827555663,0.555401214510511,-0.0706937261556428,1.31791741384824,-0.751494862831427,0.00541478530508626,-0.377049391592786,-0.531275252748527,-0.051441644823437,0.316869744818083,-0.106809698991197,1.72357262308062,-0.264155670282406,0.48866155257814,-1.03048081557663,0.868890845752549,-0.131148436953296,-0.0503441919217476,1.20233798171243,0.792581716449285,0.535347877102319,0.613393485759108,-0.0272277473828485,0.0526581129692912,-0.824402995545216,0.00338578682654001,0.339098666524833,0.500011871328597,-0.180643155210411,-0.446506407658768,0.29155627744429,-0.0539006785227621,1.00464843841668,-0.621887636471179,-0.156104335325493,0.376924601010033,0.536804627173258,-0.0127851590487718,0.207552922974057,-0.475668171641804,-0.290348456444072,-0.206752373623509,0.0589592156901027,-0.454892945195513,0.364665731123796,-0.132899612778681,-0.555687604086351,0.204094255074485,0.0913466341897627,0.0681496942818545,0.0645010102286307,0.102922266464931,-0.0348449890397109,0.41717196353847,0.246340304661084,-0.430071996246864,0.471923853661749,1.18598701268834
"NMEN_Ctrl_2 (GE) - TPM",-0.319661419294266,-1.11720463306305,-0.235189754370938,-1.13378497290801,-0.136523367460566,-0.430388018947422,-0.583340990167471,-1.1240587636625,-0.247968709680245,-0.250429651489689,0.741665946641929,0.677273604683928,-1.22917153095007,-0.597126912406307,-0.478573262537785,-0.798492802780595,-0.689565826111501,-0.635825344096494,-0.402971563387489,-1.11247735616677,-0.0566458472615111,1.12778779779725,-0.237417609221049,-0.751680974024726,3.06806813870367,0.561277055081325,-1.2643179291592,-0.125908806279064,-0.80565358788538,-0.450371387115794,-0.621689920551259,-1.53048047160285,-0.381950884739833,-0.635498798900749,-0.216960386707187,-0.392753884045137,-0.81684358052381,-0.0019195464468817,-0.70646674133919,-0.237310318334278,-0.346132872836761,0.187935175616994,-0.0166807515608268,-0.289698682380927,-0.0407881760358187,-0.394488507501723,0.355013002155677,0.0427007320066955,-0.630863898646201,0.494956898625956,-1.15096027665555,0.319923929741283,-0.304149683628501,-0.212138103045038,-0.185378875448571,1.78652034457671,-0.131587146424337,-0.210945755302254,-0.192492860228409,-0.377049391592786,-1.13266539072405,-0.211568763833911,0.306070323235736,-1.06887251947704,1.7356752173234,-0.15977371619532,-0.913775123934882,-0.0997142229293954,0.202165897635449,-0.49515167140384,-0.219938598920641,0.448431347035036,-0.474781416501014,1.36086725598104,-0.601184436721921,0.0225173826059207,0.101841972585281,-1.11183223691608,0.264628571897287,-0.137494970882049,-1.43291955544907,-0.846471894986114,-0.00422559418935499,0.201123749161355,0.40257544191012,-1.09105264826611,-0.348663825160997,-0.587154184510219,0.154829090775349,0.468522659915054,-0.323659061106986,0.123001056786275,-0.539438979833499,-0.0871741875694376,0.0192690478607511,0.34232867279773,-0.813290362384423,-0.526480871134986,-0.20847113135073,-0.214491749892109,-0.10476635748424,-0.575340349506366,-0.587955489261116,-1.63588767655336,-0.370753051458628,-0.382067969832918,-0.772558302599017,-0.472803839295357,-0.88609419802458,-0.267499206455252,-0.583596217262681
"NMEN_Ctrl_3 (GE) - TPM",-0.118876195916769,0.0461328644174743,-0.138369070497706,0.994446477786639,-0.149626206933619,0.425433713622105,-0.620987725711674,1.2960645565694,-0.275842370336011,0.241710844269442,0.411677198681263,0.403039069560428,-0.694579509335491,0.0744306373579315,0.101089077915085,-0.649879886543447,-0.839872412227554,-0.445947873171577,-0.383875277976248,-0.170187966184036,-0.162948973872484,-0.120808568888963,-0.471660396953392,-0.208451804885917,-0.267549465530613,1.56932084436766,0.0780216023534582,0.394896711768768,1.03368337899285,-0.472840488596495,-0.842667836906739,0.403206794894865,1.40814659002068,-0.786479439035178,-0.493699363565916,-1.29942136363759,-1.17698011384889,-0.117993717931311,-0.326660492529411,-0.566942111416796,-0.346132872836761,-0.620084740046789,0.029217895498934,0.0703678257765091,0.365990362461911,-0.325327924467555,0.100756653653519,-0.310341494395257,-0.61349229557094,-0.639636376930574,-0.00676510148817636,1.52637893308588,-0.349625417922231,-0.999062856673559,-0.0231955655009192,1.59460030486801,0.215338844915723,-0.10521378174233,0.136731879355568,-0.377049391592786,-0.680290780416496,-0.445784043186999,0.123036272171231,-0.785687503260257,1.62508467014775,-0.22907973418174,0.105255436471336,-1.03048081557663,-0.312711339865047,-0.350021345801528,0.474675281140971,0.608650229335843,0.665194316065478,0.216531284211385,-0.107041802325417,-0.145312246463347,-0.201705155443903,-0.985755772809034,0.512771847051284,-0.061177611755325,-0.905580035557033,-0.850148714390434,0.110970923467634,0.566710007603334,-0.131305761565816,-0.649374361399984,-0.571994735329473,-0.0513329285849208,0.82005445671284,1.55117461997683,-0.896770130650876,0.0444410945199945,-0.45655504495903,-0.287456382249016,0.033372317069146,0.296224119532663,-0.397615279757814,-0.625774830137317,0.52580362492601,-0.182961389622858,-0.162953668701854,-0.179915033011316,-0.355903132605201,-0.582634282350397,-0.270250549342617,-0.200260750251378,-0.17852815800773,0.478490678660236,-0.757610957463596,-0.0522802713783491,-0.559608571978081
"NMEN_Li_1 (GE) - TPM",-0.198489770519271,-0.670640932593442,-0.301905670390569,-0.956588844716006,-1.15611074640292,-0.912507074120687,-0.586737512041298,0.414547996857996,-0.47126683624816,-0.981069873796316,-1.30560980922158,-0.588650242178655,-0.312198194705731,-0.175195118069595,0.685183237488622,-0.359800514568121,-0.520977228462511,-0.443976298613072,-0.542518434311827,-0.178221552500524,-0.27258399852536,-0.514634761905358,-1.00333577437212,-0.88723951743775,-0.244403554474389,-0.394353715139213,-1.85955189551793,-1.03791051124696,-0.694400906047371,-0.634294939285068,-0.896912810614471,1.26106745418333,0.0175153678211613,0.0848534111527227,-1.19536157037349,0.617146789801838,-0.84976452766264,-1.15287525877562,-1.08704597588473,-0.202999952605356,-0.346132872836761,1.56947052831937,-1.44411198674313,-1.39057911925877,-0.565421864412373,-0.69687527641327,-0.358143862232637,-1.4781605647518,0.791289034316687,1.34317892436126,1.02962531674536,-0.82514040947946,-1.08933012512222,-0.447847357793587,1.46917831273287,-1.06903205130619,0.861581561795241,-1.47457063910459,-0.171174686740827,-0.377049391592786,-0.887399663643146,-1.33322178451085,-0.618765803896841,-0.0231344640754302,-1.48744620377817,-0.668832754702964,-0.478674688283247,1.9207846425524,-0.0648908669287017,0.353525316252784,-2.15640753390035,1.37990666321867,-0.115718888558115,0.499044017686771,-0.145181416031177,-0.960000198976859,0.274645535809982,-0.232450460281346,-0.0508056829805621,-0.365772720459017,-1.52015530983451,-1.58717620876674,0.0352850638534401,-0.640544701001184,-0.475138149346889,-0.760520870344456,-0.135664589664034,-0.571836792741331,-1.02786661673534,-0.623724650557007,0.723918189261869,-0.189988005672328,-0.719390250756513,0.478119536387693,0.767859929378638,-0.158360500853982,-0.916024674819587,0.513945209336312,-1.16790337923668,1.36633151739888,-0.338999564696304,-0.976499145004138,-0.683496696962362,0.184046677229347,-0.419557262556139,-0.509680993029778,0.910386460222613,-0.758393799554269,-0.828941528001185,-0.280369314227452,0.335375305370213
