"","NMC_RS11510","NMC_RS00525","NMC_RS11780","NMC_RS04665","NMC_RS05270","NMC_RS05320","NMC_RS12345","NMC_RS12475","NMC_RS06560","NMC_RS07075","NMC_RS12665","NMC_RS08130","NMC_RS12860","NMC_RS13025","NMC_RS09515","NMC_RS13340"
"NMEN_As_1 (GE) - TPM",0.150997526295641,-0.281107438860168,-0.401728033448586,-0.776961262475164,-0.196550634912803,-0.42455346317728,-0.478986228096704,-0.651554579632681,-0.242977998018616,0.250913779952712,0.397838595992915,-0.317160257951503,-0.380342729538477,0.646888521920569,-0.0734872428102921,-0.108607972078428
"NMEN_As_2 (GE) - TPM",-0.572514613520548,-0.253447927583948,-0.151561764966452,0.0168201741004426,-0.488253365562764,-0.42455346317728,0.304641554602456,0.166539752989775,-0.77006707263564,-0.123033172298307,0.283977075895758,-0.0221617787443763,-0.380342729538477,-0.312388468653743,-0.0346075100850799,0.044954752959064
"NMEN_As_3 (GE) - TPM",0.423852835020604,-0.254659156549947,0.00624589927583674,-0.0912645597269021,-0.0865419229388389,-0.42455346317728,1.10942641037242,1.39294342251121,0.68166916688727,0.608985741864304,-0.856574393495141,-0.889544508691352,-0.380342729538477,-0.312388468653743,-0.102341516009956,-0.201402816598853
"NMEN_Bs_1 (GE) - TPM",-0.181758916797659,-0.10587290538279,0.220563238004185,-0.0841633359637435,-0.194172503970095,-0.159072148089643,-0.380884587962389,-0.141310665996275,-0.371527412841096,0.210793653345141,0.471297289004077,0.480950812921498,-0.380342729538477,0.896483502985511,-0.235515834183757,-0.143727126741112
"NMEN_Bs_2 (GE) - TPM",-0.424197763912038,-0.147629908639895,0.942015518912993,-0.326493412820122,-0.488253365562764,-0.42455346317728,-0.47622939349078,-0.554719433738267,-0.391888665406054,-0.289821127653387,0.943470149610452,0.547825019812584,-0.380342729538477,-0.082966243902835,-0.204228145198597,0.020994308405334
"NMEN_Bs_3 (GE) - TPM",-0.183542301890148,-0.125705922607497,0.0996984791317122,-0.187175437040814,0.121618915127236,-0.204328734263799,-0.245153712236478,-0.200074409273758,0.0013343841918299,-0.53975374384808,0.192482239496458,0.187487437070936,-0.380342729538477,0.222435866462534,-0.220572876209243,-0.281975361618357
"NMEN_Ctrl_1 (GE) - TPM",-0.572514613520548,-0.214726274598555,0.237935369822367,-0.504370157985111,-0.488253365562764,-0.42455346317728,-0.258681052628622,-0.651554579632681,-0.77006707263564,-0.69856164920465,0.846801500412092,0.0820110542350444,-0.380342729538477,-0.312388468653743,-0.196110471066535,-0.40656505130071
"NMEN_Ctrl_2 (GE) - TPM",-0.572514613520548,-0.145885088929014,-0.564615633761525,0.602946234469083,-0.488253365562764,-0.42455346317728,-0.815667818313391,1.18273209611746,-0.77006707263564,0.161717477422672,-0.856574393495141,0.406987787360445,0.907999571092789,1.13621136918366,-0.19665589070286,-0.40656505130071
"NMEN_Ctrl_3 (GE) - TPM",-0.572514613520548,-0.0777502239451528,1.06457191732272,-1.16783818808033,-0.488253365562764,-0.42455346317728,-0.166616147067028,-0.651554579632681,2.20958392598699,-0.69856164920465,-0.856574393495141,-0.889544508691352,-0.112403847519475,-0.312388468653743,-0.153743346489157,1.83924917934837
"NMEN_Li_1 (GE) - TPM",-0.572514613520548,-0.24807668669801,-0.188561068813135,0.703757025387319,0.908476395148587,2.09724038427993,-0.799792524324636,2.57963317499583,0.491835748546446,-0.69856164920465,-0.856574393495141,0.480799395955792,1.32176683648511,-0.312388468653743,-0.127841763628862,-0.40656505130071
