"","NMC_RS00120","NMC_RS00260","NMC_RS00280","NMC_RS00390","NMC_RS00435","NMC_RS11570","NMC_RS00850","NMC_RS01165","NMC_RS01485","NMC_RS02100","NMC_RS02585","NMC_RS03765","NMC_RS03825","NMC_RS03950","NMC_RS03955","NMC_RS03960","NMC_RS12160","NMC_RS04380","NMC_RS04385","NMC_RS04390","NMC_RS05200","NMC_RS05210","NMC_RS05350","NMC_RS05710","NMC_RS05765","NMC_RS05770","NMC_RS05775","NMC_RS05780","NMC_RS05785","NMC_RS05965","NMC_RS06500","NMC_RS06505","NMC_RS06935","NMC_RS12625","NMC_RS07605","NMC_RS07970","NMC_RS08185","NMC_RS08615","NMC_RS08690","NMC_RS08785","NMC_RS08920","NMC_RS09220","NMC_RS09250","NMC_RS09390","NMC_RS09590","NMC_RS09710","NMC_RS10300","NMC_RS10720","NMC_RS10820","NMC_RS10830","NMC_RS10835","NMC_RS13390","NMC_RS11175"
"NMEN_As_1 (GE) - TPM",0.141077214369387,-0.417748757031222,-0.623357540586786,-0.162963656802783,-0.227388879182006,-0.427683461018313,-0.0923116194725521,-0.649528164498204,-1.08715806031624,-0.761834719093136,-0.381333111550012,-0.191831133359124,-0.797168443464291,-0.783433177944196,-0.898320469377285,-1.1152281637785,2.48742170214196,-0.756880690819965,-0.7361509158207,-0.663162585721089,-0.388292557387206,-0.770820293879206,-0.555575170747433,-0.691683369529988,-0.551605902368087,-0.517864936582511,-0.652129904879337,-0.671401570348545,-0.579605419285967,-0.0646603733635552,-0.746134650615635,-0.62790770745114,-0.801010432734889,1.01255607747328,-0.0268037262375019,0.0274647383334882,-0.729133438032308,-0.776352919803566,-0.703920228845987,0.046722135826844,0.727930412149387,-0.0436509288523835,-1.49015472262245,0.563519744679543,0.541383452603244,-0.640385470933229,-0.403996284615046,-0.673803088527256,-0.443098659645258,0.306935758649823,-0.8348717982512,-0.509731861591584,-1.20641993294722
"NMEN_As_2 (GE) - TPM",0.0891119864457798,-0.617136160591908,-0.436432163064818,-0.226290810090214,-0.227388879182006,-0.427683461018313,-0.10303852806588,-0.779882498741826,-0.221392211142796,-0.495699271770325,-0.998104209247368,0.203301056236344,-0.846241363573686,-0.846600786051213,-1.14071118974277,-1.04727811071206,-0.288438404781369,-0.716575476463322,-0.68539221314088,-0.849867251597154,-0.593594649319834,-0.913612769292056,-1.17342296988943,-0.791990795328357,-0.596380779377376,-0.581955655137129,-0.633717326101978,-0.591383085582176,-0.86171766426035,-0.609645551271968,-0.624374531936157,-0.676170116056355,-1.08034102021935,0.171212826023917,-0.507629595719575,0.454146535282102,-0.809477366730028,-0.624763780455293,-0.798668604302541,-0.201057784093652,0.335888552059681,0.00592210300356074,-0.95096578372396,-0.594293847416849,-0.00500221586429472,-0.195174604284838,-0.593284664104054,-0.546637315092336,-0.377637190926267,0.355298654327732,-1.04176432395042,0.0682111697691574,-1.14866336470804
"NMEN_As_3 (GE) - TPM",-0.237993575487427,-0.75936157245916,-0.358685069332963,-0.480243513455116,-0.227388879182006,0.282809949005637,-0.33847828494969,-0.715386398527511,-0.638774534115954,0.0709701678568315,-0.278930515804841,-0.3597905463549,-0.969142876209628,-0.940629613293786,-0.854299985139448,-1.16554486199273,-0.288438404781369,-0.716518918692995,-0.857279153769235,-0.592885151941032,-0.45329754483325,-0.83708574803316,-0.702300047270117,-0.816137759572474,-0.590758478213354,-0.571618482684733,-0.671856816011173,-0.677489854230627,-0.683444836728006,0.143119465397781,-0.677804945419381,-0.453044908033162,-1.12660947481814,-0.277959449067878,0.19003414718447,0.25486806304195,-0.649749037807102,-0.917407471370563,-1.01547007184849,-0.335640242360685,0.123984546275492,-0.1532041563836,-1.64911991600018,-0.733575076062953,0.0435493334391482,-0.623332367272246,-0.475417384148593,0.0655342249240621,0.0595171304327117,-1.08423294033983,-0.943027976996875,0.340029350393877,-0.945185082419749
"NMEN_Bs_1 (GE) - TPM",-0.50848195300414,-0.262028704086858,-0.8231107006625,-0.220935811308443,2.57021329554371,-0.29765074848999,0.547819399253097,-0.827257276085101,-0.197755964553026,-0.110963276839176,0.447373068116451,-0.243378612288518,-0.715996728199164,-0.331368975629784,0.694639886673502,0.496761375807484,-0.288438404781369,-0.324360547166987,-0.590171454963687,-0.808812908897865,-0.573029721471798,-0.599821750975027,0.324207764318988,0.329410451165292,-0.416506357114467,-0.478620252653772,-0.334639259935774,-0.460293879193524,-0.537973497863276,0.200395444909313,-0.480418069496956,-0.421784894024142,0.12744789399355,-0.991686237727885,0.052454901118077,0.0373319075245271,-0.50496847537111,-0.551417598891138,-0.662956857119269,-0.336839800141956,1.53934798756272,-0.152657180720141,-0.580519948024713,0.276696170724237,1.57706774613976,0.189330333796764,-0.195625088433702,-0.284090538347301,-0.302997327357489,-0.294801486200871,-1.01575418390991,-0.0768414112283679,-0.293151284537951
"NMEN_Bs_2 (GE) - TPM",-0.324560999542649,-0.520254426256149,-0.870801946090679,-0.587395323822925,-0.227388879182006,-0.427683461018313,0.609999097978018,-0.968016990479848,-0.227076877273738,-0.133333515370664,-0.104585946188658,0.292690556570445,-0.790328681006898,-0.572434733620827,-0.0376650389981027,0.0533081621903673,-0.288438404781369,-0.437045591730002,-0.587345070731577,-0.834401759353193,-0.540954046908787,-0.775883559595008,0.295535311795811,0.141048383442032,-0.425031984458805,-0.508318051757283,-0.472922054459914,-0.558846466352783,-0.603702230758924,-0.0766257612331057,-0.490710862562608,-0.390236048986959,0.670878127796653,-0.761215447936962,0.0529155266304635,-0.23114086658762,-0.513536002574434,-0.73773101335636,-0.822822010108704,-0.139755616544106,0.270843801563766,-0.356336121719527,-0.994222769482629,0.203369898157771,1.13056270380894,0.157532163479107,-0.657316414416186,-0.378907740325303,-0.59268273755899,-1.52859372560141,-1.14253938572977,0.912021097258083,-0.412422702224521
"NMEN_Bs_3 (GE) - TPM",-0.372573053772175,-0.654710150272276,-1.16574599884738,-0.76736174604417,-0.227388879182006,0.219512795379017,0.256137974653155,-0.936083794264875,-0.143266943210667,-0.0358860863400566,0.0577094343815657,-0.128775749085565,-0.799074231124984,-0.572156654039518,0.0836536163290786,0.34826927427253,-0.288438404781369,-0.475025896663374,-0.627911296356871,-0.863373405700365,-0.70729290386106,-0.872963897838079,-0.704074321837267,0.323302751837825,-0.467121397988197,-0.556047663926864,-0.518411104808094,-0.605702127738618,-0.728558486973181,0.197099668363431,-0.439585717173501,-0.383424253309099,0.167192430915138,-0.258771539665133,-0.0523499714495023,-0.318915279787567,-0.506118370748947,-0.752964916161934,-1.01273244063233,-0.803694869069576,0.392405938881547,-0.138177118045174,-1.08573442367804,0.363331179165813,1.84256693325569,0.455231167056863,-0.365830716607402,-0.405481341228186,-0.693580212545356,-0.77009901901379,-1.07906862637722,0.0242562153718772,-0.597171200532326
"NMEN_Ctrl_1 (GE) - TPM",-0.636704433346681,-0.812269132587722,-0.920813067506433,-0.461073322935295,-0.227388879182006,-0.427683461018313,-0.510946125386619,-0.0953082916109943,-0.339332875705987,0.263127460982731,0.110327450040639,-0.575016432512573,0.0653158079859319,0.3586985499003,-0.214251977345576,-0.302925864474966,-0.288438404781369,-0.145999934195233,-0.142800409666915,0.148683163560417,-0.111043954607847,0.516686559251718,0.661413823342481,-0.442947539564697,-0.48443805956101,-0.377065220932609,-0.444634304242192,-0.510315847191478,-0.270211307817243,-0.560849644798811,-0.0789996782753028,-0.183800635067352,0.254667730155526,-0.722720971511099,0.186482097245893,0.328546989025479,0.233764977875241,0.000287937954555424,0.412823402375928,-0.401722357698686,-0.422718635933536,-0.177995351380158,0.466882518170962,0.57080981004277,-0.655518797123023,-0.491254592107637,-0.633872324105306,-0.423929400415408,-1.0272639609182,-0.192127662001899,0.039701080718636,-0.257002221182188,-0.282917568836937
"NMEN_Ctrl_2 (GE) - TPM",0.550089905687474,-0.747949082056181,1.54603675229778,-0.145614016913221,-0.227388879182006,-0.427683461018313,-0.584715462048673,-0.183961468909437,-0.930609671406717,-0.045707396605007,0.780298947991528,1.38964057288038,0.0100466222696817,0.0909758280061492,0.0658604756642645,0.0849155960883489,-0.288438404781369,0.125518108828962,-0.391945288025949,0.384824677068448,0.528972120785458,-0.0187556868604969,-0.671964212993134,0.633576875978535,-0.558552648151938,-0.4995745278703,-0.617816983720571,-0.469394329066917,-0.0762391913161043,-0.331961402565731,-0.34043645816725,-0.770520289720297,0.78218320858392,1.6104099258094,-0.513603252209027,-0.176363216069976,-0.234531652308218,-0.0642360891121689,-0.0210168024092898,-0.647339206625019,-0.320873074284262,-0.0322586616236525,-0.391374570435924,1.31422067068904,0.38070690919547,0.216306644049108,0.119189235934886,0.668230547101392,-0.364771757194903,1.12275297167995,-0.0230467218142073,1.34332188075849,0.214872578377948
"NMEN_Ctrl_3 (GE) - TPM",-0.0288965096783271,-1.03006488057277,-0.270929967111594,-0.214124771045005,-0.227388879182006,-0.427683461018313,-0.290037982452993,-0.61106883540153,-0.255866844356652,-0.385304168649095,0.754172440962751,0.18971718653451,-0.126681490192643,0.490103890369208,-0.263696260827909,-0.478409275682991,-0.288438404781369,-0.517008307128151,-0.16429181886751,-0.0131338422229343,0.526806838118521,0.0880403403787631,0.364113287502723,-0.21564423690616,-0.511138948250847,-0.494719290479684,-0.545111383061771,-0.427552592549475,-0.345123609010224,-0.460476706427851,-0.378688185078819,-0.319722795395312,0.77786210997851,0.304984232458703,0.284529662452645,-0.282816160745087,-0.560865565627985,0.111211475271773,-0.074443894010609,-0.181456586953634,0.100023232071771,-0.013370456865636,0.14819418535453,0.298565431145122,0.277462816799048,0.0191407035102406,-0.150896614067527,0.202305723042578,0.878453738038183,1.14488704345314,-0.00431262102922958,-0.151387224043419,0.111140731058568
"NMEN_Li_1 (GE) - TPM",-1.08858854856931,1.18325994324967,0.817121449138969,-0.683747318357291,-0.227388879182006,-0.427683461018313,-0.432007702271179,1.28739562377241,0.231052520910779,-0.518508288481266,-1.8050703348202,0.35758828312991,1.53594318295753,1.5402431011439,0.491434853355352,0.0355744563491421,-0.288438404781369,0.632572508968636,0.821588532906215,2.55318838805528,-0.586928126057982,0.841031162223673,0.602745967871078,-1.52719958191257,-0.330883167186084,-0.194541337992043,-0.367179303646019,-0.032857906696503,0.630770573957833,-0.988636709601116,1.34912089082777,0.702715585055602,1.08146204346465,1.808019497394,-1.15867048935467,-1.19531725013708,-0.425646702776344,-0.799512322318252,1.93227382283123,-1.4152834809227,-1.25317310626973,-0.0963476844114188,0.801322044641036,1.38081901372407,0.0719091160834501,-0.973480794261671,-0.835973494878626,-1.23889465211577,-2.20521712974811,-0.57817623127179,-0.812051294201369,-1.2158644637004,-0.910225911536673
