"","NMC_RS00165","NMC_RS11515","NMC_RS00285","NMC_RS00310","NMC_RS00340","NMC_RS00350","NMC_RS00355","NMC_RS00420","NMC_RS00470","NMC_RS00595","NMC_RS01020","NMC_RS01025","NMC_RS11585","NMC_RS01205","NMC_RS01245","NMC_RS01260","NMC_RS01265","NMC_RS01270","NMC_RS01280","NMC_RS01500","NMC_RS01510","NMC_RS11700","NMC_RS01660","NMC_RS01665","NMC_RS01670","NMC_RS01785","NMC_RS01795","NMC_RS01820","NMC_RS01935","NMC_RS11755","NMC_RS02035","NMC_RS02145","NMC_RS02370","NMC_RS02375","NMC_RS02405","NMC_RS02420","NMC_RS02435","NMC_RS02440","NMC_RS02455","NMC_RS11895","NMC_RS02485","NMC_RS02670","NMC_RS02695","NMC_RS02820","NMC_RS02915","NMC_RS02925","NMC_RS03320","NMC_RS03325","NMC_RS03750","NMC_RS04070","NMC_RS04075","NMC_RS12165","NMC_RS04415","NMC_RS04420","NMC_RS04500","NMC_RS04540","NMC_RS12190","NMC_RS04575","NMC_RS04650","NMC_RS04700","NMC_RS04720","NMC_RS04740","NMC_RS12215","NMC_RS04785","NMC_RS05005","NMC_RS12275","NMC_RS05100","NMC_RS05160","NMC_RS12300","NMC_RS05290","NMC_RS05450","NMC_RS05490","NMC_RS05595","NMC_RS05695","NMC_RS05720","NMC_RS05855","NMC_RS06080","NMC_RS12405","NMC_RS06145","NMC_RS06150","NMC_RS06245","NMC_RS06400","NMC_RS06475","NMC_RS06565","NMC_RS06675","NMC_RS06700","NMC_RS06740","NMC_RS07005","NMC_RS07105","NMC_RS12590","NMC_RS07245","NMC_RS07340","NMC_RS12675","NMC_RS07470","NMC_RS07620","NMC_RS07705","NMC_RS07990","NMC_RS08010","NMC_RS12850","NMC_RS08150","NMC_RS08300","NMC_RS12885","NMC_RS08310","NMC_RS08365","NMC_RS08380","NMC_RS08415","NMC_RS08510","NMC_RS08685","NMC_RS08760","NMC_RS08790","NMC_RS08865","NMC_RS08890","NMC_RS09030","NMC_RS09050","NMC_RS09130","NMC_RS09210","NMC_RS09285","NMC_RS09410","NMC_RS09540","NMC_RS13085","NMC_RS09635","NMC_RS13110","NMC_RS09800","NMC_RS09820","NMC_RS09850","NMC_RS13140","NMC_RS09885","NMC_RS09890","NMC_RS10070","NMC_RS10085","NMC_RS10295","NMC_RS10340","NMC_RS10435","NMC_RS10455","NMC_RS10465","NMC_RS10490","NMC_RS13350","NMC_RS11020","NMC_RS11045","NMC_RS11230"
"NMEN_As_1 (GE) - TPM",-0.100358554200373,0.376866353213545,0.796240679409687,-0.209279440119275,-0.00335217154817602,0.650986475768382,0.482689434987639,1.16901463622444,-0.784764196418178,-0.0197209551489269,0.67680510681461,0.169425560448159,0.84104882877423,0.883209648053618,-0.599511921774542,-0.261226423012493,0.388990825057749,0.893823453348176,0.953212098944013,-0.115150226371167,-0.375983483839112,0.297299817855973,0.914636564814151,0.496803659073988,0.641287626809573,-0.0654094695823141,2.13119688184992,0.0501402518612229,-0.0298676538062623,1.27061978256054,0.0348024114133942,-0.101764455349062,-0.0153207318787561,0.636266230426682,-0.258805108757843,-0.0557172687920744,-0.162711252277249,0.607715101848733,-0.45646319357599,-0.540722757782786,0.203266653688592,-0.701143157620853,1.12496367169255,-0.201413331637784,0.652157657796978,0.857616636768277,0.62671336007313,-0.822312009213994,-1.48042110951042,0.490149083623243,-0.418891009861248,0.267830749761955,-0.280358965759471,1.25834632781798,1.27057430582296,-0.0187755678607682,-0.418452727000072,0.435203422896992,-0.133394119379222,0.240972434748288,-0.630816170357531,-0.154936464852609,-0.330812735790356,0.428211212387233,0.0582382548398662,0.0260685004833306,-0.535583254145362,0.0671156551789365,1.89002179557055,0.652575316534608,0.182284435219637,0.225977809570325,0.326414765699089,-0.976947769579049,0.817827314713893,0.0661906050413832,-0.965751067747594,-0.877518106413461,-0.536996669273154,-0.356948394948729,0.447122790856882,-0.207139199602877,-0.706248350807506,-0.70398451269574,-0.39872592539773,-0.817622285146354,-0.357363551770493,-0.201972193228428,0.153184007046434,-0.50011388064459,-0.219160421862539,0.463934795735978,1.39894603245169,-0.0406843580617483,0.218695336195555,-0.477281307507725,0.0810654379225101,0.698755921895747,-0.578953820325091,0.0876928470561149,-1.15334940804984,-0.162657673641225,-0.257022243323825,-1.67358141191022,1.14741898344072,-0.209757051111477,1.49497148023955,0.801005474270299,0.130819451741512,-0.627079051076008,0.2610894583067,-0.0194659344089044,0.00809046090540703,-0.207171583860054,2.03814136269153,-0.709266006454656,0.797781001674343,-0.637463356952692,-0.353968230590971,-0.703250551848406,-0.469807249041744,0.805134224157086,-0.225769703569494,0.39741924652867,0.762500825006662,-0.51077455153277,-0.125768223085876,0.796247953466964,0.748741380121137,1.4396973954121,-0.628747242653518,-0.490419416251689,-1.16243672233204,-0.637541158931088,-0.802220247343826,-0.233695818281793,0.288298447749416,-0.00222816474972188,1.08449192963468,0.120438740206589
"NMEN_As_2 (GE) - TPM",-0.214332659635053,-0.408031796783556,0.567638873688236,-0.161438639224935,-0.295005458597965,0.428217231754668,0.661249773173265,-0.138785512708656,-0.57748361296866,1.29298049325963,-0.230020663931013,-0.639584349766426,-0.648589016959733,0.229641701824672,-0.569943898508538,0.052022164201571,0.426374133794309,-0.149644454656138,0.687186338609674,0.183044980591639,-0.360007178473737,-0.404174859051079,1.03169478860124,0.313614844099691,0.251171223558507,0.250795409594411,1.76002272737193,0.335778648974387,0.395475087292827,-1.20392284854922,0.0452808866309937,-0.59264244738208,-0.423558629405656,0.908696779443651,-0.284507232729743,-0.222103587878427,-0.0542973077075858,0.00648366136224476,-0.311873462229789,-0.755490904478116,-0.33492734862777,-0.310337443856617,1.03426849105837,-0.612746932514323,0.199769053678831,0.411595591538051,0.722940221572032,1.31496378523309,-1.33587034987563,0.109454787455662,-0.293996074056063,0.652400181456134,-0.215124755790574,1.37960806508936,0.917040919619199,-1.50163599127614,1.4155873197896,0.2831900042778,-0.14231866556089,0.196531382732566,-0.459626102410214,-0.174436246911224,-0.615334344514829,1.64848957209251,0.383982473353217,0.0426238939302771,-0.94388474336169,0.645138205704594,-0.818151874628928,0.158048957248627,0.768375602222633,-0.37273849815564,-0.14859226281635,-0.804604833828537,0.986866910096952,0.79188870345587,-0.900213421132014,-0.768204890697783,-0.575980404344607,-0.294174051291795,1.02534354849861,-0.0435413737355175,-0.540476846703861,-0.284889233008298,-0.877177199515575,-1.31080593447871,0.252741567143379,-0.108528099374263,0.162463722081206,-1.0853077152029,-0.506325155238521,-0.385356626349171,2.34199038980655,0.530820501630855,1.632508261303,-0.272229985572336,0.131086605976338,2.1160871049745,-0.12869045817786,0.366254610210206,-0.10264087228037,1.25857182948234,1.23439118940366,-1.39874771643335,0.867156585746815,-0.629717609188393,0.994811407245349,0.897923793888209,-0.124039784435863,-0.577267570981673,0.680683347008043,-0.225158989109989,-0.39490422608238,-0.801425739813728,0.631115992446657,0.381358165259751,0.463887855248218,-0.0137351833238896,0.0412318636412176,-0.282372877858296,2.04719001065008,0.904632156591363,-0.0525149784470125,0.763937593452233,-0.0890787533250962,0.817634061233984,-0.313696430611948,0.226012114722233,1.69781247942895,1.40231813396972,-0.431183155849795,-0.385616927552455,-0.912151450674365,0.314573295540425,-0.744602531328733,0.751234507712213,-0.436606850687458,0.464313393905326,0.755948120408889,0.279573517202491
"NMEN_As_3 (GE) - TPM",-0.0851419408455652,0.61097752273675,0.581887558181882,-0.0940518488361103,-0.357575120393575,0.431072249184268,0.390549223212587,0.244675839568624,-0.486868409424895,0.441212283057091,-0.197185326448592,-0.0508944714760221,0.701386952662399,0.276792242115253,-0.694141550637717,-0.23878194827097,0.90838313163159,0.557152518808689,0.173351428067755,-0.0633234940610839,0.06843061927579,0.300785347018349,2.31846794349129,-0.217189915321746,1.51592852333481,0.0421723641436501,1.40865069360809,0.462184555662219,0.650394722499484,0.256544536991564,-0.167808542448539,-0.161356804719336,-0.296670877742264,1.28291395202725,-0.520204898016628,-0.10268487102894,0.0499292251512578,0.619334492510829,-0.634038176081008,-0.347726642660345,-0.156561078464788,-0.0487345032600549,0.554425354870239,-1.46739864183293,0.876378877843277,0.494432834416174,0.647487133438651,0.564014774232489,-0.215353582050655,-0.0246880007844228,0.00622235165738648,-0.47024429045362,0.444735727488466,0.837036439131694,1.62606214007107,-0.644845933905897,-0.418452727000072,0.438193145622462,0.132079497731986,0.440709199392868,-0.131459033733915,-0.598248063152205,-0.61845663852483,2.05025523804733,0.239366542993165,-0.229637173737159,-0.855598117753018,-0.199674139821001,-0.199661849642414,-0.178132373616437,0.998910223078178,-0.602361308644584,0.894232994793718,-0.678594532896573,0.210724453679476,0.350402686146885,-0.730721276533496,-0.709636513447709,-0.384120080687388,-0.195273570022939,0.504629331396008,0.167735719081533,-0.387227362707455,0.0577320125863992,-0.449588464954224,-0.952444038354786,2.02727881081877,-0.176615767354835,0.909687662468424,-0.816679148177174,-0.0668885294377217,-0.405625791809261,1.62727492128191,-0.391985164532962,1.16338066964459,0.26214322708281,0.218120879523654,1.1411017700394,0.00833113284010125,0.550376969513657,-0.352647792326127,-0.179468234501035,0.687655917425804,-1.09659454243825,2.01893066732175,-0.540353236260984,0.73035266852882,0.787325158914091,-0.177898693227214,-0.101903049114129,0.960971196183509,0.120343599073254,-0.0355598141125533,0.303622070038543,0.763755475162749,-1.39603181796866,0.344204572794576,0.416410925142896,0.00319819201670638,0.373842775102964,-0.469807249041744,1.12905159643852,0.369017215985972,0.684892760494354,0.346108977179818,-0.211542256044783,-0.242673573468535,-0.488918152834352,0.612571293253344,0.0351024132834701,-0.54432776086263,-0.372978521385066,-0.822735712602395,-0.3505194416688,-0.710952579831063,-0.0293367658491484,-0.878732117201414,0.869938523874193,0.892077347674552,0.266043013389392
"NMEN_Bs_1 (GE) - TPM",-0.707856335745897,-0.295486680569481,-1.25640187227581,-1.13278855315714,-0.922596896991831,-0.973739329328964,-1.09586353153972,-0.846340213352115,-0.837587930170438,-0.864201217098452,-0.760784719777639,-0.251372434637635,0.282001461440951,-0.0878453636559914,-0.57949686323028,-0.764739946951029,-0.757176770673076,-0.799739785760575,-0.91554241940958,-1.10651915778094,-0.952151181641615,-0.166380335179117,1.14200936755921,0.107469624535471,0.699856077080351,-0.948894409441904,-0.562988220201788,1.42854511324501,1.17763203544822,-0.00111308384538596,-1.78677515401783,-0.665568809635366,-0.812310727090445,-0.154879762799014,-0.890487338015643,-1.38021773005694,-0.838241077988063,-1.39347680107589,-1.34539692311248,-1.02769233483092,-0.903063841552727,-0.98439951296386,-0.606413884731525,-0.0964773007309728,0.26387536407012,-0.00119328417670805,0.340545721197065,-0.253174303208851,1.12659413488379,-0.0386202433052503,-0.539069736316479,-0.163992540034718,-1.0194852121143,-0.456006861384201,-0.495139225668711,0.237062176836582,0.1916205343994,-0.913475369961525,-0.779671825986472,-1.26684001371311,-0.734099883931459,-1.12301401666065,-1.2837741112725,-0.359357010725575,-0.318884242664277,-0.683985357628032,-0.215274326297361,-0.693278954139158,0.235383187615912,-0.979908775789361,-0.987810498617624,-0.156561908777967,0.493939373717359,-0.478811033396472,0.55982423367942,-0.0116186368498628,-0.431164399464637,0.593803968464465,-1.30613091522747,-1.29801166209112,-0.546848838508281,-0.568596764938432,-0.00263195829087758,0.271867553647551,1.11630873495663,0.0333906464544614,0.13479295872979,-1.41566166789597,0.00854277023285692,-0.151196976703202,-0.835895184463247,-0.732293760220882,0.843677847007176,-1.05087836308472,0.553727222026006,-0.252645221014098,-0.781382895128296,-0.243323412850037,-0.430279608500929,-0.0939634375573068,-1.04867335891711,-0.728478391910603,0.990103597084813,-0.688464779288955,0.090095550629009,-0.60859117512875,-0.0482511259613247,-0.394265378755349,-1.27403742200071,-0.567749825146963,-0.750909651109869,0.244887534738074,-0.962927726221117,-0.80300918321633,-0.349201130800637,-0.727516121375279,0.967039338379701,-0.382014589032704,-1.18663828978877,-0.6754434472926,-0.469807249041744,-0.379052454476963,-1.08981065315288,-0.713955580785575,-0.871287004545159,-0.445487986003803,-0.796714727181542,0.106860058925985,-0.186047715084445,0.646409279807207,-1.05852149617926,-0.892521983996692,-0.478842578015386,-0.652215018506498,-0.808729680142162,-0.596398353782506,-0.584595897007723,0.87664462525314,-1.17185790449297,0.25987145470297
"NMEN_Bs_2 (GE) - TPM",-0.774502371436475,-0.206694407770974,-1.3662058086882,-1.1037467640005,-0.944564806488117,-1.18352291228774,-1.34392581527503,-1.43223657705514,-0.735575601286028,-0.754103277999807,-1.08144045040158,-0.593355138025236,-0.558075229672606,0.0185102264302308,-0.87925438313577,-0.760637204681938,-1.0598617913228,-0.854760748055059,-1.07723707664179,-0.942308583860508,-0.40625943111116,-0.290529856429616,0.043958241660829,0.141409983276822,0.583490734828594,-0.724967069512043,-0.559140323437463,0.555828166169789,1.31774004032745,-0.316199467837876,-1.71936359190362,-0.381836144420593,-0.915280292679683,-0.833530632656512,-0.807681235440574,-1.43092533871129,-1.10118849184405,-1.38856430717967,-1.30495863931345,-1.12932457578936,-1.001464266652,-0.157809536176054,-0.234606189691051,-0.330501673037495,0.402560386390436,0.627852162855628,0.0394803244214726,-0.518661041142812,1.24249957855237,-0.37547098411066,-0.487353788871129,-0.584666836647469,-1.08806165660229,-0.00558685496240457,-0.300897584911281,0.591406452737505,-0.418452727000072,-0.71823996731519,-0.776367100286742,-1.23504036626613,-0.641644589202501,-1.36083400669524,-1.36488105569605,-0.350067452474904,-0.38278917410558,-1.0733032203949,-0.223034130457946,-1.09137559143293,-0.83060738742168,-0.944181379384197,-0.33147981563222,-0.665969440858044,0.266362703017908,-0.800048930715422,-0.26907103521224,0.420563756924724,-0.506500791099201,0.0507322772680771,-1.45855841224175,-1.15171938431896,-0.708190482502314,0.0307946950621528,-0.414468580853268,-0.108701290290455,-0.996467548256764,-0.206708530546986,0.3420222202534,-1.18617715182571,-0.426978876512854,0.874074838767987,-1.04798700773314,-1.0735955628583,-0.0961649222838772,-0.929082882664309,0.00134613902608337,-0.478888890904872,-0.476620375341909,0.459161319599591,-0.0646252800299197,0.189168640847091,-0.949358436102612,-0.875172336998553,0.166283300077736,-0.422498530728407,-0.24229207537169,-0.886894699472517,-0.0493286337300059,-1.15691875615352,-1.19372291091978,-0.441628115402629,-0.318048081427,0.270845505757015,-0.574296702671728,-0.409859911675489,-0.948281594282073,-0.303814604454517,0.504483849417803,-0.146829908176734,-0.616150899390413,-0.092656923985343,-0.469807249041744,-0.436697096052719,-0.746896772617383,-0.756630017195177,-0.388687194987338,-0.433547875722952,-0.789278220229586,-0.66514956975091,-0.610560738483922,0.156476022414029,-0.83790067537846,-0.918208047723156,0.260054442722074,-0.12646786492762,-0.726295247768154,-0.480565426300641,-0.460068762858312,0.141062470920135,-0.493379418586735,0.778183984358023
"NMEN_Bs_3 (GE) - TPM",-0.785053211047388,-0.861803849721165,-1.29865216577767,-1.13899750357145,-0.969268047260394,-1.04034053061397,-1.29638303965784,-1.00517137114395,-0.975768956257545,-0.885987898766874,-0.961854353544275,-0.961146175630588,-0.329206239737056,-0.152463684539608,-0.649108164752141,-0.814303504110928,-1.03214536417642,-0.828307147084269,-0.87777829227113,-1.03492307670973,-1.02176139841394,-0.842924958315387,0.14112955855095,0.463398832695078,0.48812832686046,-1.0022169053389,-0.551432054700436,0.872167035123734,0.570487951192349,-0.908288227632499,-1.8974200697671,-0.52282639248979,-0.943361521023417,-1.09580385767466,-0.908193189167494,-1.53011274926595,-1.01550026049356,-1.51911636099419,-1.304315431731,-1.18281188422889,-0.946076428169102,0.475931071980335,-0.00392523497561351,-0.858379025192308,0.540003480901057,0.629997179104132,0.210199670678048,-0.643244514670121,0.735608812146057,-0.312927480229912,-0.559893385249321,-0.863863795728472,-0.918063222597518,-0.461624651624978,-0.324918146811989,0.232129401717462,0.0876213771713232,-0.636381055751562,-1.01651650947921,-1.47108137973194,-0.869011562387571,-1.28217567864162,-1.33454491743943,-0.748253865803659,0.177917727764185,-0.613120396831953,0.182252188275856,-0.68987252500685,-0.405205696476594,-0.801871598986472,-0.841493273130768,-0.454064856826911,-0.337135681225291,-0.998449627236127,0.601116488868596,0.165847520895473,-0.599644361621805,0.459672463687297,-1.35152517669344,-1.31036403948714,-0.621748086488788,-0.351274085593077,-0.416934075343594,-0.70398451269574,-0.0157371904914793,0.176864903862333,-0.279047833130804,-1.4638019236106,-0.121028964706811,-0.514348715092982,-1.0346913930179,-0.820833995445763,0.976214090156898,-1.34988395191867,-0.909204181677876,-0.108976804928588,-0.941383826554877,0.135123560555096,-0.382758101918793,-0.372082727750453,-0.740468909219159,-0.484747437122674,0.161612635636394,-0.470755502205072,-0.424952522605232,-0.828167948632958,-0.18160790008837,-0.983980696993896,-1.40169289061507,-0.689917111418462,-0.893989299468827,0.14383660928995,-0.903073694931086,-0.365974509185532,-1.06010735397478,-0.79329861142357,0.587380250608451,-0.414169154623608,-1.09834646637158,-0.607187485083837,0.919243262399025,-0.765136590007456,-1.04260469611978,-0.984626477593993,-1.03798046624491,-0.445503932040003,-0.860347484822738,-0.700717374642727,-0.51999446270471,0.762031855193485,-1.05029541240409,-0.914526254403701,-0.291639601615164,-0.549121531112101,-0.819873613506011,-0.405877597373097,-0.512739866745457,-0.0250067573110376,-1.01304621941179,0.299227483867047
"NMEN_Ctrl_1 (GE) - TPM",-0.157063366804652,-0.247712532885892,0.265041963197586,0.0870830555474434,-0.158644839718372,-0.175064048908827,0.230020112499694,0.858881649937932,-0.536425341447893,-1.08050526798748,0.329644931390212,-0.157803654253025,1.06540033117938,0.255692184634826,0.944436180694863,-0.306435283206594,0.1233972419362,-0.625702171280327,-0.169213864503859,-0.0772374028524421,-0.611662974726541,-0.797423059527296,-0.379605020628282,0.443875639605303,0.360438759557822,-0.110493522270181,0.581830518402686,-1.11451909468024,-0.535733829553864,-0.00385206389082422,0.243812020525223,-0.175865338914562,-0.0869223425292036,0.0127972509835325,0.0237996047238546,-0.0775295731506832,-0.259391680442418,0.240094716833673,0.21390022690475,-0.0724119258622622,0.179756184771923,-0.607906284815153,-0.696332197337739,0.609000299918566,0.580373435331769,-0.12289901474446,0.960792832734434,1.3661042967282,0.918402186935501,0.138835113519482,-0.661224103900057,0.512410989807607,0.470968090970629,0.206619021595308,-0.487659181986986,-0.0905525867282527,-0.418452727000072,-0.0641115738381026,-0.145064310408494,0.278965025643827,-0.334346710843823,0.381627599435858,0.182426242149872,0.411119488294967,0.318784038108723,-0.826974765516008,0.479245731307593,0.688750647112352,0.787473314940184,0.0124710340311771,-0.257042664795998,1.2149951792522,0.417744136642918,0.951426910492445,-0.447022978314597,-0.499570442060436,-0.117962266971169,-0.265889936827724,0.54582423935834,0.4873082585009,0.62728812964572,1.00182668337519,-0.757414794347208,-0.70398451269574,-0.456409708865136,0.557788541551496,0.298020366943001,0.172407941408065,0.016291373552116,-0.423108822576454,0.542619643990394,0.137652786533493,-0.159052806071301,0.448829216402055,0.717503925606843,0.57907210830941,0.768040050501436,-0.77026960375349,0.665843464263218,0.600910988420454,-0.317548662666618,0.430130217948352,-0.0182544755565846,-0.12367731843218,0.255334891968508,-0.228980524598908,0.479318729023305,-0.297190975050363,0.0363567991237914,0.234055051357856,0.333636186822072,-0.0349323300624317,-0.0723615128577249,-0.0289425644363827,0.581327225007763,-0.723268445055,-0.42324690164231,-0.0710195028460305,-0.307909815543083,-0.558717680781524,-0.469807249041744,-0.485245902275707,0.298166007789114,-0.274285342826012,0.717349869317707,-0.195102590038493,-0.246277306975972,-1.15345935153608,0.481275058396615,0.722234803492826,0.355912847621975,0.139675282809576,0.569929853503122,0.209912885149845,-0.142915972223174,-0.205782520938603,0.606941671420613,1.12703605337591,-0.645335117868452,-0.253840341971475
"NMEN_Ctrl_2 (GE) - TPM",-1.18881746379454,-1.20919809185064,-0.533185527762453,-0.723278636445225,-0.655274197339303,-0.431321516214025,0.167045452165895,-1.04181888078623,-0.419616240375031,-1.717604540801,-1.09310470134597,-1.46076765840124,-0.863892631670374,-0.597845724207171,0.223407018100568,-0.875515036880673,-0.984907044081586,-1.18094931778216,-0.830669971707343,0.105790982935394,-0.992738139874478,-1.02850894418867,-1.05351577481247,-1.08136764365184,-0.491077938629484,1.19204748874465,0.0540118882660491,1.94890186279342,-1.29162007706612,-1.20392284854922,0.122460002296294,0.966599035849143,-0.507017507492727,-1.32609165111682,-0.436287833998015,-1.18748379526832,-1.32824069874869,-0.621623645674601,-0.812988602128722,-0.805206691755291,-0.970266797440347,-0.42974905007756,-0.5129266789861,-1.03988149428619,-0.891164358119528,-1.07914932212292,-0.0171967779405207,0.843193948637461,0.855261703397079,2.14052374392559,0.436614218758857,-0.341442031324468,-0.0581837761193473,0.243733563452329,-0.419128930834145,-2.4060438658327,-0.418452727000072,0.0999323245333881,-0.785785353077103,-0.545137607265011,-0.666707379276824,0.0904627518493006,-0.471331189185049,-0.633842122957015,1.49242314638059,1.2556313905057,0.889036846444267,0.21726503730214,-1.05286833249725,0.344108921654322,-1.27092777582269,1.61174600267243,-1.28956865276915,1.13738049758625,-0.0951238024630989,-0.478400129442913,-0.815167357953476,-0.278031587414812,-0.716726324951287,-0.732875650064003,-0.522071874991678,1.59684867288064,-0.929729630846815,-0.70398451269574,-0.238117046177934,-0.21147896315025,-0.0360998073024641,-0.304192904548017,-0.751542721043233,0.682089402426191,-0.510549338814008,0.586994031034338,2.17198888888599,-0.930059994212542,0.0531974868976274,-1.35506668811565,1.18171347838785,-1.00301944094157,-1.45259783926666,2.46070919099747,-0.152454564825831,-0.192726375196181,-0.474790609001403,-0.0810666546017204,0.449197307667891,-0.813185271411569,0.290216185060574,-0.667273737491814,-0.901421296487593,-0.644741518895423,0.224367473573661,-0.0191567950014688,-0.847464392777479,-0.65257349333336,-0.50501434923827,-1.59329211817139,0.414072557500298,-0.322252534171192,-1.05834494805424,-0.910500763719235,-0.469807249041744,-1.43645504148303,-1.350855012251,-1.0438602409732,-0.582949903778034,-0.881337613646801,-0.594915879126526,-0.726910778801463,0.156908660801001,-0.987737460186725,-0.501573421836053,-0.466728803640411,0.27412525721343,0.423826421288304,-0.309991192070932,0.185127582125281,-0.878732117201414,-0.483286276827278,-1.34388179497459,-0.842891478960706
"NMEN_Ctrl_3 (GE) - TPM",-0.691217437920281,-0.639923689564937,-0.288193124004603,-0.42896131226914,-0.466825942696556,-0.313452063046413,0.416093243156988,-0.828631136738168,-0.595443193877962,0.645224058494572,-0.467317337345398,-0.575777364071372,-0.863892631670374,1.18075068831651,-0.410874778980639,-0.299111597590066,-0.620726149015223,-1.14359016066868,-0.690546855379327,0.0673817258682696,-1.15090816821927,-0.412280064381015,-1.12333238892676,0.499797071971868,-1.1168047376512,-0.00658037801384888,0.70105068099539,0.702258623819069,-1.29162007706612,-0.53779585999033,-0.072042350451373,0.143402825010575,-0.359427145069136,-1.05749534456373,-0.545389211121908,-0.0360706435123553,0.29326732513508,-0.354570080531834,-0.592280532567536,-0.335521880160803,-0.731896396752822,-1.04644102699547,-0.772716023143351,0.244317974844256,-0.142206088557484,0.428929708785871,0.50832466692572,0.713734951731706,1.02563383837347,1.20239707315198,-0.661224103900057,1.97363554399443,-0.299696970884063,-0.0474976544721203,0.322034228048198,-1.44209370610975,-0.418452727000072,0.439125418446554,0.206102639334615,-0.548523381298801,-0.585680988210322,0.360474968683997,-0.2953383585007,-0.245831103423788,0.497344477625563,0.101699989437546,-0.090180330594272,-1.25549754549986,1.28204391887248,0.393920069902901,-0.0894565698738184,2.83853453786375,-0.606046119481906,0.516503192518953,0.103059581496103,1.32642474550453,-0.662158559433118,-1.08430932957836,-0.0537550781904687,-0.597149910331165,0.295828724132573,1.57148602182962,-0.870185002152323,-0.70398451269574,-0.20904053513986,-0.136964463494414,-0.124366535999367,-0.440059490767765,-0.751542721043233,-1.0853077152029,-0.964056020681056,0.203786902773664,0.944083839031614,-0.869492295448732,-0.271300889848773,-0.872304167149152,0.825703726095782,-1.10757866938758,-0.747063993709043,0.994323600808813,-0.496445571037315,-0.914580488035431,-1.81837226708399,0.867654865340474,1.14877589939821,-0.632420333337271,0.506744415843922,-0.139570442958962,-0.31093792771781,-0.17395006817643,0.749799272622449,0.354613125906181,0.184573423143184,-1.18350141329284,-0.600434476247943,-0.568383742866534,0.461631007315118,-0.0395222288149274,1.21433522170534,0.651621795687662,-0.469807249041744,-0.466093960459785,0.0117395067596138,-1.60100205021147,-0.803481488303928,-0.776532128991176,-0.41181607233397,0.59645676196467,0.152184128718379,-0.636326269410911,-0.628914708431631,-0.460533520077529,-0.0693067702093929,1.06039841546953,-0.0802821375258981,0.0428140230664881,-0.878732117201414,0.99733527608967,-0.66633623759177,-0.665136532441275
"NMEN_Li_1 (GE) - TPM",-0.864614508085649,-0.84756061751089,-0.0750172868637602,-0.759272056323366,-0.0963604351915803,-0.637066380540061,-0.377792906100501,1.12996042414238,-0.471882211204212,0.907971144044417,-0.50890717208067,0.370462031136048,0.496706264304415,0.0486156091226704,0.0389443415981897,-1.53218868179314,-0.0698316210250801,-0.438169847451461,-0.207289810265406,-0.530620696590459,0.552454555675507,-0.321508103954229,-1.46881212982381,-1.0630197316865,-0.636116388689406,0.743806568629875,-1.24150134029226,-0.356159716206802,1.19606361308907,-1.20392284854922,0.732892685525057,-1.19939009766911,-0.487325387473188,-0.0199949217301423,-0.196763056952565,0.957247924839447,-0.0512595974186176,-0.281387496155252,0.963473232500928,-0.609639119058556,0.214191816414403,-0.93659706857962,0.0644115564665746,0.503626002429406,-1.62020126475299,-1.17414496259607,-0.897849895956518,-0.493759835495246,-0.505606677238895,-0.273401654675855,0.499114175818521,-0.0457336132211062,-0.269545043318978,-0.829989214731575,-1.29860829843802,0.85987265117417,-0.418452727000072,0.0317944575261967,1.22663534507677,-0.13618914393702,-0.763024126927294,-0.812906617351712,-0.4488409168798,-0.317848920645456,0.791051568978564,-1.58800123025995,-1.15833188436147,-1.40549209693644,-1.05286833249725,-0.961933512307981,-0.437278400979506,1.04432947794818,0.029965241975829,-0.416517190897467,-0.793202182445425,-1.37843028457358,-0.112052578226855,-1.10461538801962,1.50910607562373,-0.492908157501902,-0.490689446968032,-0.843770947461158,-1.20904527705342,-0.70398451269574,-0.343144450686953,0.637703585684599,-0.639517318483714,-0.194419809453614,-0.751542721043233,-0.151300180318525,-0.760527857050622,1.74929326159648,-1.35112554475114,0.214983767091047,-0.511004413995882,-0.252944915020327,0.408394795389096,-1.38067936874909,0.041394495804337,-0.569079960738489,0.282113767344043,-0.135863324238416,-1.53231467691985,0.172529906808644,-1.17965296239928,-0.168606754288249,-0.641520523100764,0.0659220801716219,0.26968561741969,-0.50798755916383,-0.0600899363089829,0.323216232767901,-0.883623521575129,0.600161405801397,-0.728997095395614,-0.14608487367566,0.270829440020084,-0.144742630062329,-0.15274388573241,1.57038567140365,-0.469807249041744,-0.63871957517097,-0.0953696977074874,-0.728371951628151,0.207856511424482,-0.633779227883389,0.251133857826101,-0.694542248799183,-1.75173779717094,-0.16607445571743,-0.503878605339526,-0.293899199769001,-0.0611937230399973,0.36110190796761,-0.368388329373628,-1.63461027804916,0.518260566779996,-1.13377279913821,-0.479372263068138,-0.874396020667181
