"","PA0114","PA0276","PA0305","PA0506","PA1830","PA1831","PA2077","PA2078","PA2953","PA3013","PA3014","PA3092","PA3136","PA3628","PA3629","PA3676","PA3677","PA3678","PA4033","PA4435","PA5026","PA5158","PA5160","PA5180","PA5188","PA5454"
"PSEUDO_As_1 (GE) - TPM",-0.356879162951224,-0.548358956135581,-0.309732790004528,-0.774703667963382,-0.48327426377708,-0.20883054098311,0.218891466053822,-0.453973471384938,-0.356345340318903,-1.15149296814299,-0.71346982389408,-0.41353018067556,-0.387037478539043,-0.251998727030599,-0.205007793140735,0.493459361756434,0.0946998614279531,-0.308682001430492,-0.53525256375883,-0.423690448679314,-0.441666073035245,-0.478560067285731,-0.648675348379353,-0.566756901563997,-0.778224247103776,-0.393205880039074
"PSEUDO_As_2 (GE) - TPM",-0.902068609344061,-0.545166151844281,0.436104956505369,-0.805944586052533,0.333921022548936,-0.590302267392487,-0.734055162457547,-1.35651074987559,-0.41137425331588,-0.940940937939987,-0.71398212361127,-0.328755404380311,-0.385008584014524,-0.281198734487978,-0.274321215916817,1.21689050766312,0.219326473696219,-0.617884838154227,-0.371083666229334,-0.840198243678024,-0.401105573272061,-0.551735296819217,-0.172203496710684,-0.513146479213993,0.0268195362613747,-1.07419713892731
"PSEUDO_As_3 (GE) - TPM",-0.915955280845509,-0.538708876818028,-0.444913806914777,-0.798623172588233,0.356846425234191,-0.538340523539118,-0.491748285089062,-1.03006844805235,-0.459241477242804,-0.973472017571092,-0.635387743738055,-0.272313945468803,0.261392322538053,0.0714364813527439,-0.292699131742133,0.998814156538293,0.148174851714417,-0.51863936942878,0.598428633569981,-1.0181557670207,0.0763124092214546,-0.596843584957826,-0.297344224200005,-0.552962593264423,-0.754771627565339,-1.05300585634609
"PSEUDO_Bs_1 (GE) - TPM",2.2545087014389,2.82063226125767,2.59103348572879,2.59797875162273,1.74084939296595,2.2858448631751,2.14802945512347,2.19297436282321,2.48353410961301,1.97941995117026,2.56422419766765,2.73575746855103,2.0512078281527,2.81390799152491,3.07426021420761,2.64794121354764,2.72482214131394,2.46543086644086,2.23472053620931,1.87847583569078,3.13741497575604,1.90832609273247,2.37842789715441,3.37879353106712,1.86386137100354,3.03129202397676
"PSEUDO_Bs_2 (GE) - TPM",2.07075525980756,2.57983503537385,2.30486826218667,2.79493276804904,2.51363146881629,2.48107844457597,1.90719452196355,2.01941144721595,2.78337977819283,2.52214419349368,2.83137120097232,3.04156457346395,2.32214154454282,3.00685470825145,3.36271216359181,2.32542629722897,2.65439158266252,2.25893710976625,2.66376645572044,2.5194034739522,2.72563402238312,2.08294838502016,2.4270642389983,3.12906039663167,1.58807382493065,2.71193878964365
"PSEUDO_Bs_3 (GE) - TPM",1.96748550685791,2.85146282065875,2.76845712085394,3.06755350762646,2.71203657480725,3.32502737700959,2.68739051715467,2.38826024123044,2.55186669599814,2.89969768997742,3.11227229978257,3.75496676014586,2.28661332151601,3.39371041496063,3.04206408475345,2.69982714366408,3.02812226322503,2.23304845300671,1.69344820097298,2.59318584409862,2.65286617344234,2.47418553906989,2.45811220683816,2.41873955417618,2.02804182027971,2.8193131667628
"PSEUDO_Ctrl_1 (GE) - TPM",0.563662603038662,-0.315947957431143,-0.332035672186955,0.341941159933701,0.5722181374237,-0.15705025331914,-0.168685288277721,-0.374158951870469,0.126879637132605,1.11517739139425,0.40364119875462,0.24226471942771,-0.530633407185617,-0.135394331608549,-0.039032790482848,-0.185088182856467,-0.419530144495474,-0.22530645445454,-0.90624591026003,0.43060458275688,0.102507971780453,-0.443603486398775,-0.129788423579113,-0.141862929283463,-0.176550090253826,0.623151798010448
"PSEUDO_Ctrl_2 (GE) - TPM",1.24303688534336,-0.253821333233907,-0.342381082099976,0.0916788923380376,0.434252697442443,-0.379023775457378,-0.0759300393938507,0.0320631670482905,0.144445074465941,0.284259726343346,-0.0160646674376901,0.0255811314700224,-0.13700000027313,-0.37107797143029,0.0122572918551947,-0.0737932685323265,-0.25197341064125,0.0523491121494682,-0.205391854936959,0.409294533689278,-0.0252892709013477,-0.407703309340899,-0.262170910996882,-0.324728075678769,0.651999843626853,0.644491943754818
"PSEUDO_Ctrl_3 (GE) - TPM",1.10760288766337,-0.471380746460513,-0.280053552162419,-0.0934364496283506,0.758896727170682,-0.352410187277607,0.20723711350439,-1.01159885104834,-0.113980060196177,0.0679104532788537,-0.172402687098603,-0.0173237608331607,-0.557861133176545,-0.25606050520277,0.0451295425342154,-0.307959019607436,-0.394209405072819,0.00725971422164595,0.113111013318089,-0.43551341863262,-0.17239395963707,-0.561668130599147,-0.810579605982812,-0.327889676706096,0.25043515600543,0.453254144703039
"PSEUDO_Li_1 (GE) - TPM",-0.83248780564518,1.36135637565136,-0.00105673593993213,0.130920743516438,0.605603550420692,-0.151817974485445,0.338241986905545,0.011471141956426,-0.00505508499845238,1.0339056718884,0.726163744772252,-0.0071071193968998,-0.203387443725767,-0.113392420544009,-0.259804892130313,0.79977243023726,0.370606184648669,1.18296586410486,1.1064689874793,0.606689356170307,-0.491048051674248,-0.754645318151946,-0.917584769006549,-0.173957898944473,-0.347181989772101,-0.117144835917845
"PSEUDO_Li_2 (GE) - TPM",-0.795478224291982,1.65930308575575,0.559221358435718,0.22014745930748,0.0453973668595131,-0.00244487406931135,0.574759164000341,0.0404998575817895,0.0308172445318588,1.13079530992271,0.920706463523645,-0.0200760481290471,-0.617672180173444,-0.0466876893985323,-0.254166466835456,0.91742444672707,0.50492277747992,1.37308459374926,-0.0988953267180255,0.992105926184831,-0.519255178850598,-0.761920301762138,-0.86888353698375,0.0211057319280205,-0.180829960845905,-0.133641623980683
"PSEUDO_Li_3 (GE) - TPM",-0.956214465904072,1.19141934890321,0.0554569583898174,0.0527376836216619,0.282548119920027,-0.0381234184629974,-0.518583289888141,-0.0346824903694807,0.131394056583484,1.19551104165373,0.650223861836438,0.0880883154800972,-0.419854760198914,-0.0694909833464184,-0.241164887285776,0.670188601224852,0.468433668404046,1.04689231341927,1.09771187941374,0.527594954021052,-0.543451298120756,-0.866772315852701,-0.886410029630131,0.024539871877173,-0.708013849914021,-0.0237184829146596
"PSEUDO_Mig_1 (GE) - TPM",-0.962357586850276,-0.111684404691941,0.702855639928286,0.602665115301282,-0.873750294328587,1.89721448689525,1.0641661189705,-0.80811734612015,1.93161795436922,-0.28371915694984,0.0116023540379838,-0.251635652874843,2.18316939641353,-0.810166959630625,-0.533787133350422,0.740943546578903,1.39981527829748,0.857518141388642,0.802575475794142,0.728617546116045,-0.147881142658578,1.44276130723997,0.774939976361233,-0.217968657716471,-0.664138669500769,0.444929054035942
"PSEUDO_Mig_2 (GE) - TPM",-1.09617560891177,-0.422424888004136,-0.49708238613425,-0.0304850321749078,-1.44040435083237,1.01538909593247,-0.343262861775073,-0.901249855261491,0.812493706607685,-0.530218066426516,-0.406488717215149,-0.398328984088557,1.94193436548826,-0.832221941574491,-0.630475461187633,0.0866644533086677,0.501450737520763,0.0750179804798669,-0.056191910179078,0.0575815717619503,-0.560576487337993,0.930036259571299,0.101199096682575,-0.24450062310865,-0.655303300898445,0.0129189077439237
"PSEUDO_Mig_3 (GE) - TPM",-1.08759453332703,-0.399677872069328,-0.828993500298146,-0.000660470420855239,-1.40548504666526,1.2393843565797,0.496455932074653,-0.530913252185921,0.931081416828839,-0.541346433234166,-0.413943002069021,-0.492399071584618,1.48979207092668,-0.976629299421201,-0.634893683657352,0.0931937137975245,0.375539898140937,-0.0253532088782439,-0.564893552550187,0.349670197815207,-0.37542621661213,1.00355971496297,0.867042310953884,-0.251365759439867,-1.31147138851934,-0.10698802317013
"PSEUDO_Nd_1 (GE) - TPM",0.979366379294407,-0.430855793114166,0.395205684016226,-0.750638085877925,0.875080821960935,-0.764498907327655,1.07729288316444,0.808580898504984,-1.03905045127997,-0.810215556836997,-0.829959611659878,-0.474939233208247,-0.816979350185497,-0.508651688774266,-0.734425720032445,-1.19310086532825,-1.03853825575275,-1.67428137145124,-0.390097302186346,-1.14293145692384,-0.748149039975497,-0.873671341210059,-0.781825297714339,0.109407400625907,-0.650040644386743,-0.395975658546802
"PSEUDO_Nd_2 (GE) - TPM",1.14766468183598,-0.388285778169415,-1.10969769875362,-0.775507953145534,0.836568922325241,-0.687105395201262,-0.109251251069768,1.59646399082783,-1.03130273343653,-0.77981485891,-0.769075271437704,-0.508143744682088,-0.49282092579227,-0.686211976757911,-0.81858563066164,-1.03861797916211,-1.01717399156739,-1.48854483015372,-1.25224772099258,-1.7905450010106,-0.563299812757653,-0.516576959256526,-1.13486527275667,0.0355888072885013,0.539055271372643,-0.494834532939047
"PSEUDO_Nd_3 (GE) - TPM",0.636147599295938,-0.376275185493021,0.915700566730757,-0.760747190741142,0.472530618532538,-0.621267705898454,1.30049987574484,1.54277982242204,-0.874779799948043,-0.457372155083061,-0.738508841500154,-0.152019103133835,-0.882379289514649,-0.109431349295699,-0.59290539157543,-0.893718776842686,-0.946217854181308,-1.24526649278317,-1.30226023594812,-0.810880901226109,-0.904804594304738,-0.924166327463418,-0.431143674893598,0.196572998735807,0.590322855948349,0.408078030888179
"PSEUDO_Ns_1 (GE) - TPM",-0.0809881344186567,-0.327640350843833,-0.226481291805248,-0.510529652968364,-0.47322662138557,-0.642286829349746,-0.900721787015021,0.152829238654528,-0.978228453151273,-0.544590997448245,-0.429216856794129,-0.556491733130494,-0.744299259245208,-0.459588139683333,-0.642945058138466,-0.543782598776228,-0.834970177896369,-0.642348503716838,-0.929760279578813,-1.13847195443281,-0.355685886563379,-0.822475869240677,-0.687410317848167,-0.636833551554527,-0.669435176116106,-0.921027352068708
