"","PA0057","PA0217","PA0297","PA0393","PA0394","PA0422","PA0455","PA0485","PA0486","PA0491","PA0779","PA0846","PA0850","PA0905","PA0908","PA1034","PA1036","PA1075","PA1109","PA1115","PA1231","PA1268","PA1315","PA1379","PA1558","PA1566","PA1577","PA1598","PA1677","PA1802","PA1803","PA1814","PA1882","PA1890","PA2185","PA2461","PA2488","PA2522","PA2549","PA2812","PA2830","PA2834","PA2857","PA2929","PA3067","PA3126","PA3220","PA3389","PA3672","PA3739","PA3901","PA3951","PA3952","PA4029","PA4061","PA4062","PA4063","PA4157","PA4186","PA4281","PA4282","PA4387","PA4474","PA4475","PA4507","PA4542","PA4715","PA4750","PA4751","PA4752","PA4762","PA4822","PA4825","PA4842","PA4870","PA4943","PA4971","PA4989","PA5011","PA5053","PA5054","PA5055","PA5084","PA5200","PA5313","PA5514","PA5528","PA5530","PA5533","PA5566"
"PSEUDO_As_1 (GE) - TPM",-0.681417307088608,-0.170397835821047,-0.899317325022332,-0.24464152138639,-0.540845508659747,-0.742649870786538,-0.458839019336366,-0.825087608281734,-1.67725266360281,-0.614751674662493,-0.445628066120766,-0.14261947754283,0.463476548508377,-0.931541770880592,-0.359211709787468,-0.574512541000432,-0.499024709736955,0.0640579981912134,-0.557838980550005,-0.627694334609665,-1.10857895179479,-0.752560114891336,-0.188100011831836,-0.354578405092968,-0.636162892548486,0.247801156113146,0.334765230584186,-0.807231015215747,-0.283289947086531,-0.0682802301038324,-1.50047960188591,0.111760035843376,-0.363318018618397,-0.0196865916717657,-0.00262175922756844,-0.0437842619050718,-0.366358225379288,-1.23617213691471,0.324973935892296,0.619987329381468,0.169561238708888,-0.322199879552956,-0.311304467034445,-0.311001906701036,-1.09474088639246,-0.74883446359011,-0.606433565789247,-0.647401957559175,0.690502858866796,-1.53265463249467,-0.555775776598328,-0.861494031257796,-0.828728338473059,-0.0420980365946077,-0.327877016544805,-0.288443510902374,-0.397747493126297,-0.101522586407971,-0.737857192892624,-0.17522521955337,-0.441407798277645,-0.6750486399387,-1.54435876356548,-1.09048039654805,-0.197435268900629,-1.07968551185266,-0.00813616751321241,-0.704529817458276,-0.524070315893163,-0.729565854554644,-0.252101000287097,-0.808809034746264,-0.312908005151714,-1.24276045228881,-0.531420395391784,-0.713731094058611,-0.386973795309323,-0.466698116932015,0.141044617492675,-0.517445642296358,-0.383134467321962,-0.675942361856996,-0.981210609624167,-0.0619401045614723,0.717932077674276,0.244632117602204,0.502106948958637,-0.548228153279051,-0.576209037548566,-0.720229987980028
"PSEUDO_As_2 (GE) - TPM",-2.2782622725058,-0.304019878554,-1.55757160505312,-0.00137492415026543,-0.668147868482834,-1.17611948852877,-0.523376870088375,-1.00261239720929,-1.30843811837671,-0.767139596495303,-0.548980431730216,0.212985266080789,0.551978180644808,-1.03602792166765,-1.79272232921034,-1.1501693841317,-1.06426430358895,-0.846281611445564,-0.482912375867862,-0.626554686274901,-0.526469545318173,-1.16381692331517,0.0583752550234742,-0.604434831591723,1.64289559625501,-1.81637177479933,-0.897058452143255,-0.33918880959715,-1.16984514974852,-0.917115972979514,-1.43170575993832,-0.827954797536454,-1.35957038957707,-0.477520113955999,-0.85277687484992,-0.550757034324161,-0.598110935976939,-1.75088380305915,-0.401222637788378,0.796164791209106,-0.0983315153675777,-0.748020210632543,-0.514131954277702,-0.261043724726753,-1.06353702336226,-0.765146417764926,-1.22460462694858,-0.460979344000736,1.43664580723621,-1.97402444064701,-0.977187883963876,-1.00736393940527,-0.871021369196962,0.0842945291773637,-0.384366019511119,-0.315362513400827,-0.570696102612123,1.18527725872256,-0.861802635407098,-0.871823114117816,-0.247763252269343,-0.798052354917754,-1.28420589070415,-1.25686467515949,0.0476119672584587,-1.07866503779227,-0.111019924915791,-0.680260948175745,-0.451003082162617,-1.14531786410951,-0.488695901398556,-2.18462514282744,-0.689633548091948,-0.918002627746816,-0.709395409872053,-0.786332422456357,-0.677226367448622,-0.0681073036540974,0.0589284244193648,-0.635981462698762,-0.136788667422672,-0.844919862518712,-0.972624799773717,-0.00565126230060415,0.0901991288874468,-0.0949552321396873,0.339892546692705,-0.720326331760016,-0.978736339267197,-0.0702702014079428
"PSEUDO_As_3 (GE) - TPM",-0.348179298851252,-0.133339844138489,-1.56804664259511,-0.125607615813869,-0.790311336412515,-1.01166205871029,-0.0517879408762743,-0.953718282100485,-1.64008585340451,-0.681622165779202,-0.481984872816252,0.0770954836241731,0.466193516755647,-1.13538193427561,-0.882338096102468,-0.555530072641436,-0.711791347916164,-0.573500779540975,-0.462113669948181,-0.470074600648171,-0.143912331998706,-0.163465736060898,-0.530566463833499,-0.308839050448914,-0.0457458780177961,0.353724242554183,-0.713553736731826,-0.494850743087427,-0.943717520899814,-1.001565705945,-1.51088339475259,-1.05310260872295,-0.845288876772875,-0.606526398506647,-0.773121824712093,-0.708906318973928,-0.977605801447572,-0.813286522996766,-0.774714792098274,0.266079420209059,-0.377467255004926,-0.542658140560999,-1.03564794280674,0.0244561147354093,-1.60541226436025,-0.746498141720028,-0.65249881548744,-0.460054130924514,0.872614117695479,-1.90489100470775,-0.226561434581427,-1.0345134921918,-0.940174046497116,-0.225036157673503,-0.538123656299336,-0.612564970541401,-1.06946633854296,0.843094027168533,-0.724245402793007,-1.44114670914545,0.679626487360885,-0.781147301709112,-1.15552268895116,-1.20894999789532,-0.0375776853988474,-1.11144525408494,-0.445805601820992,-0.764144668319441,-0.658061080265035,-1.00141993691425,-0.576404792447425,-1.06359240595888,-0.676748486726874,-1.25369971259818,-0.760480088210379,-0.706913624685791,-0.910680589841122,-0.413462419423703,0.165213979417712,-0.607166093999873,-0.19969249678352,-0.771419387294654,-1.04731426627563,-0.55789604848004,-0.116974414862977,-0.764205360905703,0.340826700171191,-0.579217435615851,-0.917086395161107,-1.32938878216278
"PSEUDO_Bs_1 (GE) - TPM",-0.314319171753016,0.713911414045609,0.432689034928893,0.499284248837846,0.486745653566769,0.364428606223042,0.562272526537408,0.684732808773403,1.17078947353138,0.017325872285539,0.05222834266977,-0.437700245471916,-0.189971311286303,-0.0919325994695491,0.452931234514238,0.211093624137525,-0.845072182305708,0.461430722709446,0.310427239066701,1.23943044114045,0.14847847644895,0.478628429929468,-0.0184110669654878,0.167838858786497,0.193316998545457,0.706363984193623,0.375039829572153,-0.164904053905743,0.362264702319435,0.818526244935771,-0.134371968477706,0.798133925084773,0.134319998793173,0.640791477154518,0.842173843041346,0.39763157026557,0.288610596597729,0.478007992778811,0.711104906788589,0.220692713145896,0.163038554831094,-0.227932561468396,0.730028858977115,0.148495048222449,-0.319010683749354,-0.352409336205354,0.587566199109401,-1.11555055238883,-0.0942934325915478,1.1550554486931,-0.270845854761629,0.466337624826709,-0.0786713895198513,0.673025544922158,0.0507450949663418,0.790484984069098,0.0997375036665227,-0.469699156411368,0.576153586448778,1.320903322494,0.643812592430329,-0.0257722385473949,-0.221774894847921,-0.0993570336829484,-0.755817822174103,-0.0624376188444455,0.919319059180247,0.247394584250723,0.319560526673798,0.0878643585779523,-0.0913018593583188,1.40243510126393,-0.112112044196514,0.978901023707981,0.0702430114114687,0.506216240564462,-0.00845825701477853,-0.421831069787919,0.049658247198099,0.231083876572683,0.0164588153323501,0.196478141813384,0.242350057136634,0.201994182245789,0.0174951710874003,0.112183954640131,0.857690226858243,-0.454908454077649,-0.0182220462791008,1.43963853971564
"PSEUDO_Bs_2 (GE) - TPM",-0.0867816308022852,-0.321377107126036,-0.111165743542056,0.387644928007186,0.445748621706952,1.02668728625036,-0.383934753648006,1.04355327757984,0.115280089033826,-0.435712231706955,0.0465704817687294,0.368899491191223,-0.4616050301179,0.171666824861323,0.297816418821916,-0.0101240637057122,-0.243336775181537,-0.0859261406907672,0.53317063732684,1.10257478047167,-0.950588702516731,-0.48679957078566,0.260422236097173,0.635593794750913,-0.00138057518471524,1.17344974418349,0.315202181263832,-0.182310897128308,0.438964335934316,0.185129937137091,-0.131125554207674,0.546466293524788,0.279061519132932,0.0987907271777876,-0.694893617941076,0.59963070548271,0.505336403349101,1.6439617449093,0.674918903858777,0.539647591448456,-0.016704859240189,0.064392151351442,0.67219576729919,0.352227676073789,-0.476257004248856,-0.32001808731271,0.512316313904899,0.44958014115962,-0.108814364240713,0.426063657820138,-0.0890626737865614,0.327166926926207,0.0380397380830478,1.08852435137472,-0.0164483115039479,0.728575673645934,0.680349704513462,-0.344208047727652,-0.0380768590189335,0.339663126704628,0.344343715310868,-0.0138281340891951,0.310019176365103,-0.185034070048858,-0.564627647132016,-0.152031415263776,0.634582272437804,0.57544967550688,0.256032578612924,0.032753066835626,-0.0326670117485049,-0.0912210584971378,-0.245566128983503,0.317073044812962,0.05560423242337,0.523237925056202,0.465242528735214,-0.435083893516351,-0.0275349108421085,0.156863566977031,-0.121315138401161,0.318936205977774,0.950674990364052,0.0385938322837723,0.0896350477073453,0.598270518504804,0.291820738888525,-0.520391969265648,0.289910332123162,-0.396289179002946
"PSEUDO_Bs_3 (GE) - TPM",-0.1008130968965,0.696801857471234,-0.257086168023413,0.874318086162542,0.4815125609739,0.789677378790297,0.0365239257630486,0.911005858218485,0.71958521697456,0.683702699590181,0.229311061586663,0.853906439616194,-0.632983128826614,0.171525851231233,-0.299435301093099,0.0343378432680406,0.917875350471343,0.455259273199936,0.0114074150934637,0.623346906532297,-0.326476415042132,1.14558580044659,0.125876110079846,1.3857993807913,1.28356543390599,0.0810788269990951,1.27746249833731,-0.112211948478287,0.125936745287482,0.0340739373187462,0.132853960010808,1.03243649869758,0.822103144160947,0.92539853533283,0.073839953333853,0.678329358845183,0.390028505062537,0.746717998853771,1.10180995560653,0.441862032891678,-0.290129771420418,-0.00644860673744312,0.559694100748088,0.161461506702034,-0.711534797268757,-0.147921178801759,0.984960297993109,-1.17451783100662,0.237538134521759,1.19647813635925,-0.652732400510021,0.614976235104411,0.140211862210155,0.878091345180831,0.194585394103587,0.258492241580913,0.660947975863478,-0.432051299365797,0.230566060975354,0.40912707749131,0.305930442169205,0.0746621266106094,0.176048721824614,-0.0576054599743588,-0.48473912731249,0.0831723263844099,0.96651333134171,0.17314097368086,0.479353703239318,0.231444975546187,-0.0180243656551983,0.431906897219411,0.0979497579111358,0.759859792537334,0.261953497330845,0.437861964180507,0.61086336676044,-0.33843830742823,0.283679326615153,0.323331541173964,0.056377440160118,0.295499099840406,0.204765133957599,0.623207520148708,0.110209052379384,0.794486406121324,0.768769099943565,-0.438350188966469,0.730485674156626,0.138629761538966
"PSEUDO_Ctrl_1 (GE) - TPM",-0.130741993095431,-0.621085682913192,0.174797268427543,-0.235622446954581,-0.146073363230125,0.278154004638682,-0.00790100338875437,0.147503011583624,0.14129521261384,-0.551182140290484,-0.288471117955569,0.111990290622868,0.165803313545053,-0.212056154984258,-0.580854092488313,0.815433325293943,-0.507996303432611,0.0253263562018597,-0.060735951425792,0.230559248853274,0.0361323055997833,0.262492737019202,-0.102170891448467,-0.0730294802465978,-0.576397320325147,0.564048859437589,-0.0285637108538265,-0.462236491810089,0.175980411125089,0.312476011273779,-0.473969444644631,0.218077834724346,0.786013736866204,0.126402271909328,0.267041979673763,0.712300166090825,-0.270792495070144,0.0487315894621797,0.40363169206149,-0.145810273072582,0.0488730710924485,-0.86728556876308,0.295073479787076,-0.500096596755557,-0.443733252623097,-0.420563456825042,0.26436010098301,0.0755419228089658,-0.321146844564364,0.188227837435439,-0.418696393898096,0.0959978756043593,-0.302839559842071,-0.105755750891854,-0.167777526039647,0.39852918170319,0.232875025941738,-0.819868781631834,-0.201733522849672,0.645263957560498,0.941555703978368,-0.344571125019253,-0.489412642580862,-0.387722818410895,-0.73372406893524,-0.159212883919177,0.0305170070467289,0.325224002077461,-0.0558419729809448,-0.325687358656048,-0.409937705750463,0.118455622592746,-0.322671203829536,0.0166983094917421,-0.339193549494456,0.036581699987722,0.122554093115856,-0.451901019305043,-0.456711898017461,-0.348867874050369,-0.178279549369122,-0.203927753621147,-0.495374275250309,0.22645693793648,-0.480988478468228,-0.326007742097227,0.108108306193681,-0.48278046735652,0.205040503930612,-0.505540277548687
"PSEUDO_Ctrl_2 (GE) - TPM",0.300677455733264,-0.0777000595057394,0.289082383141037,-0.199637018076776,0.013293557328715,0.213155866783144,-0.0423089405772445,0.437259900149994,0.527424970886769,-0.559776008811338,-0.224560805587338,-0.316322310554978,0.338469173088771,0.126381793485088,0.377104742280149,0.41064879151375,0.693854373356475,0.327148778329635,0.0437928661836387,0.425770842694414,-0.0133226592157586,0.280162144353242,0.287434622031665,-0.0842651297975421,-0.358693343562883,1.09716823164141,0.576570005484265,-0.395304770932195,0.617512013573564,0.316194039669949,-0.148892527891886,0.967639134828095,1.08467064466649,-0.14458313290278,0.996525355429486,-0.242459757105031,-0.529372614861387,-0.0544372121267412,0.393239393706618,-0.0827786827554726,-0.472311623978116,-0.341620109026365,-0.113461373748268,-0.0617497769842791,-0.688902476093105,-0.420090839993097,0.659386334971544,0.621476000448136,0.10694473738929,0.804270205734744,0.250511878325929,-0.0737258538550244,0.086986848638876,0.194218293057824,-0.0937076624703387,0.235381928169972,-0.0270421316812711,-0.539413529965292,0.420367162957682,0.265208654303156,1.06999425719829,-0.37441166621666,-0.25683875755883,-0.0636346349812449,-0.648735626327911,0.0861367052737171,0.412774882585725,0.413988737020437,0.0179040845740599,-0.177296890139998,-0.439578826952709,0.696093179180352,-0.280394554344993,0.194470584843644,-0.146345786007544,0.178976134744157,0.333611325317988,-0.221006469515115,-0.268445333193375,-0.287463913949834,-0.0954349964763605,-0.0184319682215781,-0.184234921163058,0.0451339730705464,-0.192958230799717,0.0128166224920205,-0.00381728570258983,-0.333711275942569,-0.193251213911492,-0.5808916624135
"PSEUDO_Ctrl_3 (GE) - TPM",0.180487032496292,-0.442262177676417,0.207305123935178,-0.203115551133225,0.0936139078840279,0.149560348685249,-0.0964412711204276,0.251433143180336,0.398357696151443,-0.432658934993655,-0.147757265717259,-0.476144735624455,0.638477889680278,0.0511524496717093,-0.443074075081755,1.11207277010463,-0.12306756353308,0.413659018078411,-0.201294203115411,0.359541729332807,-0.283611015390863,1.01001636259128,-0.339392759769151,-1.43522314518975,-0.0779041977027571,-0.442787904817077,-0.49536311738666,-0.464184278668944,0.356821290522169,0.674508476266297,-0.111396516317615,0.356657049232705,0.974611977565053,-0.233996786624095,-0.769411500432757,0.19044520804735,0.0723326319632922,-0.597268473440194,0.683946189250649,0.0496676851961606,0.0127242102152245,-0.545033869574542,0.223429652390767,-0.751600270270767,0.102793405521003,-0.302427101866634,-0.339618205541395,-0.0176074582497117,-0.0330372329666475,0.496101759196498,-0.718825820289576,0.034204775530771,-0.0920356504121994,0.29357478237474,-0.0868494986329128,-0.0659894463902197,0.196344622683182,-0.726271033376602,-0.0622011288815536,0.140292885902376,1.00339245521309,-0.35589967437186,-0.272366980384978,-0.410411205167445,-0.738370173556745,0.0979450976874447,0.346138027875829,0.578480146820658,-0.0840040260426402,-0.336216747494979,-0.167936040851229,0.685083859441075,-0.00889126674064953,-0.140968375308129,-0.320076039703185,-0.227814820463117,0.33969436063463,-0.0812285406397799,-0.451761439515551,-0.297752634689467,-0.0210684393550495,-0.136031260829369,-0.346941159502093,0.149436333308324,-0.267680715297957,-0.410613117851321,-0.0962835981074078,-0.437209343802989,-0.194369859526933,-0.809745295003733
"PSEUDO_Li_1 (GE) - TPM",0.212458802794886,1.02338821941105,1.82361962345688,2.36180679356104,2.64667647799793,2.22987312291769,0.652167465202828,1.8373853553101,1.64514737482486,2.33540453405109,2.71995221221235,0.77288865091879,1.63254389419398,2.45292702455603,2.47867353384433,1.02985462076608,2.31645807978562,0.481684441360541,1.44788327756591,1.41400862432156,0.282301513103422,2.05993185502387,2.32619813466181,1.18463540385359,1.23252529637104,1.57730216676596,1.83979565964319,2.04141258344231,2.03956375186001,1.52737766886613,2.55558000286459,1.23341223775142,2.03333937919005,0.517769288901101,1.30814701817762,1.58552933200513,1.18646409849623,1.76352714689121,1.0738963884542,0.997162950404507,2.24700422070285,1.78178067428598,2.0231501290321,1.51886557360546,2.05495872232945,2.43534274199631,1.34616836794336,-0.745040287465161,1.88620996860559,0.982138298744611,2.45240845206479,1.45570228350473,1.88166701949662,1.43045105829217,2.58806381375359,1.66539179030176,2.23054117864381,0.757639059219405,1.43702049568552,1.86772704769047,1.76765142667644,2.29913206000752,2.28956554766379,2.63357851314243,1.70190847648829,1.83515178252801,1.17380272815372,2.36147972133205,2.16496697140159,1.73782479604293,1.25130216039087,2.07874777909369,1.94646111567532,2.09166663661026,2.5130219698277,1.61711584849227,2.28481508242183,1.8151129922209,1.73349927429312,2.45546775926159,2.93447204526189,2.44465733044347,1.6850033419016,2.00340688266493,1.79468269400525,1.06812765546486,1.60633081382087,3.06221759551879,0.57338479629846,1.66462286276574
