"","PA0036","PA0063","PA0064","PA0223","PA0248","PA0254","PA0260","PA0279","PA0337","PA0351","PA0368","PA0418","PA0457.1","PA0487","PA0500","PA0501","PA0502","PA0503","PA0657","PA0684","PA0716","PA0739","PA0817","PA0818","PA0820","PA0825","PA0841","PA0965","PA1016","PA1017","PA1020","PA1039","PA1153","PA1222","PA1235","PA1336","PA1401","PA1405","PA1428a","PA1493","PA1613","PA1637","PA1650","PA1651","PA1810","PA1811","PA1816","PA1817","PA1818","PA2196","PA2205","PA2220","PA2454","PA2725","PA2755","PA3127","PA3212","PA3213","PA3295","PA3400","PA3594","PA3838","PA3953","PA3981","PA3983","PA4035","PA4500","PA4576","PA4592","PA4689","PA4711","PA4732","PA4795","PA4838","PA4914","PA4973","PA5083","PA5088","PA5126","PA5185","PA5190","PA5198","PA5281","PA5307","PA5308","PA5360","PA5389","PA5431","PA5456","PA5457","PA5458","PA5459","PA5465","PA5506","PA5507","PA5509","PA5516"
"PSEUDO_As_1 (GE) - TPM",1.37864608832985,0.012016213540478,1.2130457552035,-0.000447859594043324,0.168416706496594,0.6144657396835,0.690007552427845,-0.386504621686178,0.0398615474678417,2.07618589240035,-1.11604414716735,1.0018272818343,-0.0712845101906411,1.66889932476369,-0.207037686406004,-0.364330676037668,-0.27280782640363,-0.0143904868224573,0.0237916471300952,0.122019554558973,-0.0823238054983977,2.11240315052931,0.429628804978923,-0.32925145995326,0.0871369577220736,0.371661149517602,0.600236219972102,0.154905842303512,1.14957510967108,-0.230154950879348,-0.709909216418177,-0.144398678779709,-0.777059304657962,1.29909738144552,0.552469832085238,0.486301695011768,-0.591586026477451,0.42354938429006,0.0606624367337464,0.29762910399064,1.23079491989742,-0.356164709741778,-0.980885963456127,-0.477105125700921,0.195446034825774,0.348120426881703,1.45658653645044,-0.370837578702746,-0.220028570341509,-0.157390797181717,-0.941110039194683,0.56274627796609,0.89785777570736,0.187784675676745,0.269999638997356,-0.104148493717464,0.599657527365625,0.687077244166175,0.972591489215098,1.32188143704963,0.365709240513622,0.448683460241714,0.0179113890627714,0.0862553499484456,-0.140317140958897,0.622027451007629,-0.372086231087697,-0.00621255155962203,1.56754449882687,0.783852181012244,0.288311048459751,0.788555136244066,-1.00310099616939,1.060906770196,0.00851068271086444,0.634730609285276,-0.830008393794516,1.11032897305781,-0.899566521226383,-0.305463523801589,0.283950921807972,0.0481619497842209,1.04939037080811,-0.104637005826966,0.602397351835712,0.639529489980829,0.00516103699748357,-0.0949048166188374,0.226166825312645,-0.407647896979329,0.0257678405496694,0.825658545941579,0.723769743821948,0.620483716262808,0.29887336112603,0.296803600245188,0.149907928130845
"PSEUDO_As_2 (GE) - TPM",0.258465848524345,0.203272703843217,1.90995574451017,0.590170333019804,-0.11416691211067,1.3421462661613,0.204974622905268,0.181340721583187,0.663929035424956,0.233669478486957,-0.646983481208666,2.08020698250134,1.69035960168652,-0.519155713749164,0.139206541700478,0.405036164955016,0.603046035513347,0.295782907339123,-0.0124823879524684,-1.47167431519312,-0.12818081210953,-0.00972773817859289,1.19710297181835,0.151382572414195,-0.112373537515908,-0.31449695870714,-1.28010409317782,0.661185342150518,2.06943854919693,-0.404683404183031,-1.23349757314738,-1.38562255154578,-0.287076312385324,2.16907946922626,1.33331524158479,-0.38414626180424,-1.43714351476213,0.850671627181134,2.7908674846393,0.642611415939339,1.45173904299231,-0.0342093018393597,-0.994129544029004,0.330213326821886,1.00477386088385,-0.364659599936232,1.68416085962756,-0.693879207399896,-0.0265535647007144,-0.1875595376377,0.5655469065986,-0.596893613388137,-0.226840067259558,0.0403130646392283,0.983769280877202,-0.723127549382539,0.52916497665526,0.846582943029686,1.49075216105946,1.45780836093033,-0.974748419258399,1.26260397119581,-0.490271339387052,-1.03532160349423,-0.2534657311365,0.578446838565194,-0.843741405616531,0.534592769633756,2.16376409637792,0.401238059819415,-0.0477384936866888,0.97255474892658,-0.885792658967852,1.62250974920917,0.119016550514213,-0.381707578895745,0.807266861823859,-0.789048939339935,-1.35357640499034,-0.503665886462137,0.812883170201396,0.125645595813213,1.17224717479288,0.494525533108597,-0.711881767119908,1.23434619010431,-0.119594446649503,0.538399473891431,1.07176537389593,-0.601832540630156,0.0902476882288294,1.74818921133282,1.98394167860065,0.300465812010439,0.186767179413426,1.09547118887287,0.530127815599297
"PSEUDO_As_3 (GE) - TPM",0.323464882165903,-0.364745831147609,1.89100374508869,1.12560683628806,-0.373953551883145,0.0753777250710791,0.367828943696265,-0.401784690787452,0.496751067729469,0.77011489522222,-0.951233094072098,1.14583663181584,2.1393340581317,-0.924625688259927,-0.00359065640406066,0.225548746399044,0.456414414945582,0.578775399038026,-0.450373889645756,0.886556442385559,-0.630955091125836,0.0511242277684745,-0.14365614391063,0.23373138522461,-0.606059118313899,0.191883237770168,0.0185990029262644,0.105401767704761,1.36640145118574,-0.492684744841713,0.212757527030981,-0.956171882425649,-0.449343469786071,0.743629108530067,0.969790976033651,0.428096994930494,-1.59174178946269,0.579260662834369,0.589244532657575,0.0126732423855607,1.5805846616471,-0.481810930132501,-0.51421992766216,-0.425239171412584,1.27898903196873,-0.297755663745466,1.8496499854345,-0.898810575606947,0.123461677778717,-0.308058865851132,0.950134723324655,-0.572137732328711,0.642206353950959,0.450574709901106,0.101243196680064,-0.168629270350401,1.26432341730953,1.24377966529208,0.999866010860112,1.85952583989195,-1.213803564961,1.68682812188099,-0.497778208646885,-0.858528240814277,-0.513898090343226,0.53520781672914,-0.744057315966937,0.79081338951922,2.01745191162151,0.754733128626554,-0.272421340436429,0.878850672966123,-0.552230757359317,0.380258473717177,0.589488601352917,-0.0391186419442876,-0.372043830590234,-0.613215913480072,-0.967344493882966,-1.26321602953035,-0.135792710303521,-0.563137273660338,1.5756973163322,0.974976870780039,-0.624042890049661,0.636507928330088,0.624245039399556,0.280831141822552,0.734109126680936,-0.0560218501725633,0.0519541065153004,1.7087791552407,0.666247164340883,0.304240281464745,0.390767083175278,0.754478372069168,0.110024131901044
"PSEUDO_Bs_1 (GE) - TPM",0.49334063106997,0.814607318225138,0.259490904593169,1.19120766627887,1.06460924429795,0.788423481798107,0.994995399130649,1.32495376797528,0.800681442998557,0.880212173782501,0.479853386786382,1.05353404010266,0.305532131736208,1.33590871801403,0.685453411449434,1.48802234842823,0.34650506541662,0.815854854725731,1.385459576828,0.283064362495429,0.994009293058383,0.26617725128517,0.758146880642834,0.378422201739909,1.24858087648751,1.27701155275899,1.84559444476504,0.667591064807172,0.58807536832,1.05978339393728,1.29400904680719,1.40597282170277,0.365228201305745,0.229520577668486,0.548141828767507,-0.0496361997356944,0.770569453952287,0.674449294552345,0.835782413452999,0.441545083503369,0.481829129501394,1.47861788792288,1.01917536916211,0.939636014345191,0.24897980488411,1.63771731573297,0.647034018061768,1.13094015917295,-0.26990800040437,0.35807295031126,0.90578289366554,0.822347579434289,1.68469124131585,0.596960034370886,0.481341306322881,0.820926454490885,1.06766851623659,0.764667132550881,0.241348508475749,0.18571319276387,0.286746827251666,0.587732423684537,1.34337036743946,1.50705376016777,1.08635840018944,0.651349181861835,1.27345669836061,0.765805980474057,0.384976515331746,0.803676419093655,0.61410030958771,0.640227442627929,0.865038373946273,0.676572521077359,1.13832999460504,0.616468565767873,0.0748725615348124,0.639980521495113,1.24289353340331,0.733938056669345,0.0169298623739314,0.977348297902976,0.811382970804498,0.184431854200378,1.43405222117545,0.445410733213835,-0.191127077304031,0.760750886293696,0.342659098979832,0.482542191596666,0.90607554401687,0.507966862244604,0.366724147970988,1.27696111444654,1.05242200566524,1.24859673061558,0.327000245238794
"PSEUDO_Bs_2 (GE) - TPM",0.120542310464261,0.764502052088551,-0.00981998050353321,0.61364912198396,1.1965986211693,0.248732573001678,0.763923782074195,1.62593516708516,0.539522167676232,0.405485177759365,0.159931347699413,0.791727530651899,0.947279549077714,1.05378174796899,0.589064366573169,0.709924892811262,0.523511932395228,0.376351276765357,0.773563157439473,-0.365297420000728,1.50922645227294,0.634731532496567,0.0851459892923037,-0.273344286270559,0.848068758643749,-0.0277541646035129,1.81151915878985,0.938707131567606,0.37920971901804,0.128658375995342,0.590472753717729,1.32136777922389,1.20606061385464,0.190183134265612,0.0894692439586031,0.241611797290798,0.363818611247928,0.201778379665103,0.157760657254376,1.13559642291888,0.783883078657261,0.955717884733086,1.59976391212541,1.2152632300048,0.595005610261803,1.36472465817667,0.891598397417558,0.60576511326805,-0.859946736241835,0.239354637263171,-0.482449344336703,0.360569226158102,0.522385469907622,0.0736065608107089,0.111530499536349,0.548993316005282,0.577023846790091,0.733595489063478,1.12615997971225,0.307694361351779,0.371649678067044,-0.500066133263783,1.32995441044178,1.18549823144832,1.09082334366407,0.289874194738531,0.698419190839975,0.0152046803009264,0.396106321275965,0.283593805682408,0.62963352144475,0.629585880904272,0.464877276619624,-0.710434911645161,-0.0335995804545544,0.502479435116766,0.857474203283449,1.27707072658137,0.733977322574627,0.859447657261087,0.113785857660313,0.810500197090538,0.983669373857601,0.121799751162028,1.37701439099878,-0.0602698990306751,-0.292436612874626,0.422809718047356,0.675441848855133,0.599041919839022,0.985238726418216,0.417785561065404,0.304247043396958,0.815835448734871,0.50584690780682,1.19463274764957,0.781031831269661
"PSEUDO_Bs_3 (GE) - TPM",0.276746619716179,1.10412684701042,0.101561410992307,0.244061606846858,0.745075484724986,-0.0314658903404756,0.579757543477035,1.7922106227412,0.636350537761298,0.167298144368769,0.781834725147994,0.939136990651421,1.03758069265667,0.925628840194266,0.509244296166734,1.08604979161453,1.25214936253919,1.0215445410924,2.12329554601246,0.410418813411853,0.558653260155607,0.0434579228807275,0.798383033633493,-0.0130297055538623,0.478674534281992,-0.0689288063867526,1.82960200092095,0.233072690662603,0.526164270284475,0.791662973172151,-0.183758832631087,1.79748330681359,0.876543448133724,-0.253815343474934,1.08485338246278,0.420147389643559,0.716961959755398,0.265428073985051,0.160741115354512,1.96290804072436,0.321754063713541,1.78413150990166,1.51007238545839,1.76166044627622,0.836857939872664,1.39154562126285,0.673906386929903,0.297138881721534,-0.341056427746792,-0.237873228636318,0.984242950356644,0.583985334879601,1.28741831697514,0.254063217047118,0.534859703296119,0.755776209990384,0.375855577904962,0.653629575825163,1.77181725918935,0.461217940917695,0.793227065989538,0.368269171662884,2.47567870343319,0.698958906193758,0.617704169285226,0.628711274275251,0.770877074068919,0.461322367362814,-0.184788982290875,0.263454027414158,0.297193641484361,0.235896271655953,0.297072338633254,0.649937766156177,0.744299273675676,0.343153093032224,0.0504911398247756,0.762101720609208,0.545094226542709,1.19568462654715,0.556427091305428,0.427378198006432,0.357560013172117,0.662431408990718,1.17320320268684,-0.485181517196202,0.901730546389956,0.995349251661225,0.463588112823614,0.24320522274762,0.704967509259583,0.198928584205781,0.462993229747449,1.19026963519303,0.927906947181807,0.731289795327112,0.693346608780075
"PSEUDO_Ctrl_1 (GE) - TPM",-0.376077101101443,0.309876761272144,-0.0732607532176311,0.859691341857665,0.100151170725762,-0.455024148935898,0.100824801656587,0.604895166016103,0.539803802778239,0.461009131640293,0.344029245297381,0.518464402704796,-0.00509781157395614,0.229297896334827,0.26398429402504,0.861339200822032,0.654785943796747,0.735546149386944,0.987701835799943,-0.0343374325330446,1.2024647678106,-0.542720019095788,1.04427942046502,0.969924623437325,0.673916082001197,0.263241159305209,0.780274303434848,0.403594995607651,-0.932660392419467,-0.177224981377884,0.753963152325501,0.773466325708509,-0.847405573373118,0.295597868956702,0.490810831848925,-0.101540460315086,-0.153131547855083,0.123409223705422,-0.299979773545283,0.227412806290038,0.134138145546913,0.460352977900367,0.738350110305121,0.742943229254142,0.503224765675006,0.921094780831013,0.670342082382624,1.69142367418769,0.489063834230825,-1.07807650342898,0.0556602387731675,0.441405491170924,0.317205387732705,-0.00233880682366791,1.64729808300948,1.3702640528431,0.268646849310389,0.279914029540167,0.4735348293379,-0.282205970545204,0.0354501178883223,1.02957111470219,0.562003030005976,0.329078897462154,0.787334321650659,0.645344800013794,0.470198986045368,0.655498676957766,0.803865224272953,0.552935247299927,0.134262299153805,0.650852335698025,0.800332676370599,-0.463281872688372,0.0799419031670648,1.01024821505777,-0.059063914643641,0.452525621585879,0.475930904374649,0.414050981557167,0.216164078326185,0.46351070454533,0.573660821974824,0.665970410085847,0.511882535052171,-0.0749413126618236,0.885368198391098,0.277074114135695,0.524242611968964,1.10498894417418,0.582283341593123,0.514797672916931,0.606250602514855,0.513818151459483,0.538742197288143,1.65261148960993,0.26960945386428
"PSEUDO_Ctrl_2 (GE) - TPM",0.0379104983166842,0.862264274317587,0.474017781337746,-0.403193708036687,0.030248263769233,0.328229431942612,0.942742697032931,0.784505205957345,0.47968969962547,0.651159939574721,1.58315968808069,0.34327721844222,0.377674737212743,0.798343507457963,0.402092627120426,0.717905229551845,0.542902716808548,0.373739786970255,1.15893867875985,-0.29414924802294,-0.217632933781408,0.194915665841984,0.727101864375929,0.571646186342735,0.509457615466421,0.206069882458162,0.797645581339021,0.701232730882462,-0.0714838636989572,0.488777670120715,0.861433335031018,-0.0139803357169778,0.578030590041124,0.278843858796833,0.50972792535843,0.0274679766227358,0.185560949541022,0.336180056725142,-0.156664457208895,0.842217698832271,0.529539139266571,0.440859917042144,1.21605936468394,0.687197369469991,0.137935815742614,0.715433414738428,0.676860256948822,1.79650992172206,0.744092939241203,-0.833477635830034,0.153760590517857,-0.296740215518167,0.634605196388107,0.834311498833753,1.30384603592515,0.630212720525405,0.469643112966381,0.769283880359621,0.410287399557619,0.342878196659633,0.442513701324443,0.290378374503382,0.258695497701369,0.432832728299404,0.484792785570786,1.12591923943785,0.528368990349706,0.910565216209534,0.423803245431415,0.999051290903919,-0.256097703953203,0.452472237282386,1.08870280726565,0.599840237900608,0.336804586720983,0.34451819798923,0.638739095437892,0.571979209201416,1.04833255007717,1.06610683673582,0.262886825563591,0.682862121234499,0.783745536103415,0.122494534989885,0.207627477318152,-0.487009066718065,-0.135720288811281,1.45149294818313,0.476253357856975,0.963459816938098,1.2513351666223,0.312954607118459,0.377780619899018,0.681131666468041,0.389722980935649,1.16941498999286,0.555220162614057
"PSEUDO_Ctrl_3 (GE) - TPM",-0.479896698396722,0.0428965093967044,0.640793329717251,-0.218906551324729,0.180078691149548,0.287055707189307,0.672412714922612,1.17543361634639,0.523868491847078,0.163924562140851,-0.315894808115635,0.154750062578542,0.175136370875587,0.479561126963481,0.483491934286729,0.54052178722093,0.040259021058039,0.255329504626074,0.744862285821868,-0.13986833145142,0.414805163398477,-0.508983220643659,0.875444046400512,1.94303031244317,0.654118866729482,-0.194079207342136,-0.011215635062281,0.143627029060956,-1.26220961199904,0.0808602506675267,0.810120050502149,-0.392178768611366,0.0628366372807841,0.816440640058459,-0.263108622975877,-0.061770047387887,-0.354001311736504,0.076768399037506,-0.741438216744952,0.378051946999553,0.246635837258412,-0.368164866087048,0.348760908220108,0.531911625087062,0.117115783138609,0.89777730974288,0.721576142452801,2.01173026545502,0.66269706158743,-0.948532425008761,0.460711090901701,0.265417953413717,0.406639749367736,0.672655994798649,1.48731402827244,0.19958715707206,0.451093308988676,0.511173516906751,0.110515031598037,-0.0670674277946756,0.93376863718932,0.423202270027523,-0.922831167204639,0.574519443910947,0.67757589819149,0.430138584573888,0.738707172688076,0.414544188907164,0.242914004443459,0.766257473698157,-0.00216107473378246,0.70188780652175,0.371437582922835,-0.0273859266025383,0.842697784938062,0.627300706032231,0.11968095562122,-0.111592155071111,0.803362298954271,0.771184545191935,0.260159017931485,0.873743752736843,0.559499846684771,0.00547124669858612,0.151065850404732,-0.482615949491696,0.347139004261378,0.125317482917225,0.434798872266643,0.835819437194446,0.143268338257379,0.22352944191011,0.0299279077294254,0.201323599490168,0.373926645120419,1.08285408895987,0.588214681163524
"PSEUDO_Li_1 (GE) - TPM",1.40930104786076,1.40062313088773,1.06301269192284,0.723335531288717,0.513372202494177,1.12541427074395,1.0751875754868,0.257007140803415,0.869878374079648,-0.823117739688218,1.55068314789625,0.925798386458512,1.50614984347454,0.702493413494485,1.8866086753828,1.10002630661467,1.2955052006462,0.653727187159326,0.860115316528888,-0.0198291915851729,1.20454466197786,0.768113021256454,0.573906054913243,0.808462501692251,1.87499713578677,0.904738619744406,0.278696799293768,1.30435812943295,-0.178226889729295,1.94667377290884,1.63658656464,0.106264391497698,1.51452303475737,-0.0326339623423218,1.12289352094908,0.209045254524353,0.808422883241041,1.05607196752534,0.76258245860262,0.0698212588907069,-0.220553159536292,0.0668335104282806,1.74460351431171,1.50711740495019,1.28435130101634,0.566252776692422,0.73457872111615,0.897482366291425,0.910891592167689,0.145473731713846,-0.0691004932963469,1.56712008851616,0.948328394328425,0.624433798050969,0.661013836093884,1.66985511361116,0.626546619927688,0.685094996904766,1.3713293917443,0.800710159155949,2.08880283129542,-0.408691664823095,0.745069761719649,0.228448933833308,0.853711434922224,0.990479093569278,0.0324006264913877,0.409269201560998,-0.393071816532407,0.530480961716727,0.239839719438426,1.24891450089859,2.01344548700597,0.835783654252839,0.682327521195763,1.56740098212773,2.03020328870684,0.910545804617082,1.62416471924609,1.36967345871313,0.773337495501239,1.40594481872343,1.41431157697959,1.241954231747,1.16189017570717,1.6671496262145,1.55280956682169,1.20375639097624,1.26720084228351,0.94874538395714,1.5007727939694,1.53052386076836,1.29990974062424,0.963551899289873,1.04588872304326,0.850210061512548,1.53472772245104
