"","PA0198","PA0403","PA0459","PA0527","PA0927","PA1076","PA1326","PA1381","PA1429","PA1455","PA1456","PA1546","PA1647","PA1673","PA1789","PA1920","PA2136","PA2500","PA2501","PA2753","PA2867","PA2967","PA3278","PA3309","PA3336","PA3337","PA3457","PA3458","PA3465","PA3572","PA3573","PA3613","PA3614","PA3839","PA3840","PA3879","PA4328","PA4348","PA4351","PA4530","PA4531","PA4572","PA4577","PA5027","PA5183a","PA5207","PA5208","PA5231","PA5232","PA5427","PA5474","PA5475"
"PSEUDO_As_1 (GE) - TPM",-0.637797576452893,0.290478668610883,-0.649099636035828,-1.104725418798,0.469713716256682,0.425086654682868,-0.106810074918956,-1.20462563803307,0.582959987606465,1.46076000191214,0.901324001541745,1.44044219586,0.84176866323205,0.254749580700057,0.195323260075539,-0.223505193939328,0.335546153753861,-0.50644522549212,0.760635446586418,-0.459069102258341,0.264903697364067,0.845149807076938,-0.371804046169699,0.488210560338567,0.0464646833645294,0.546745501231663,-0.07517892298891,0.0437043925612016,-0.124850366419416,0.657832247903816,0.207963466687623,0.736249301468599,0.33218055317802,-0.14174402464785,0.0305607870635163,0.612774880742019,0.390483038589055,0.560243235182356,0.743048326930223,2.42182152453834,0.636534780352685,1.51804274701971,-0.644070941738336,0.100157231153489,0.846563199809856,0.414738052230606,-0.437655768338525,0.613660016998946,0.516848900528617,0.301640622362318,0.165535634633648,0.270573281347719
"PSEUDO_As_2 (GE) - TPM",-0.776042195060639,0.296081557468793,-0.665528394354839,-1.32933460615379,0.997422179585974,-0.383580753555338,0.582889039836376,-1.91922227849296,0.19835386170593,0.131974506622309,1.23475540112199,0.512816826203582,1.24926205508855,-0.472952406824232,-0.448837500351346,-0.689212942122497,0.590055180485424,-0.769361585192565,-1.2784789688761,-0.681573283335765,-0.177817105416292,1.13306598760496,-0.651841784221097,0.366882360269625,0.224513176640214,-0.313895299435495,-0.15943323932889,-0.60395185655423,-0.669043122778242,-0.0621502610772183,-0.0276593893007939,0.488023659912798,-0.254159854328804,-0.699738737246276,0.145663072793248,0.279316399534196,-0.0136287458295357,0.0627764444605796,0.805130028568561,0.81212593601828,1.35859684047106,1.62712101216457,-0.927961319832044,-0.418336611023081,-0.739960306591486,0.357063120768427,-0.794697433102981,0.590765724442807,-0.0592538671927601,0.120283006671918,-0.336743420836609,-0.201874499808408
"PSEUDO_As_3 (GE) - TPM",0.0834281694845625,-0.258408326087108,-0.573331293951122,-1.24008657032192,1.63118553741542,-0.238340734914958,-0.303708925842995,-1.27508466956274,0.306123235217057,0.410898901491326,1.02787107838997,0.732337063000133,0.408103189271517,-0.279491941865901,-0.366385861346293,-0.387740838399122,0.130565331841497,-0.831441669735161,-0.604146906403821,-0.790859524151198,-0.152863389166986,0.909460298137345,-0.863545161047115,0.179943595229959,0.0263941576286475,-0.323551790160478,-0.085317557864992,-0.616252721840669,-0.42020780464292,0.318247473560939,0.045849651892887,0.612701169958668,-0.0196014524131972,-0.366044131116568,-0.383719655582729,0.474070149968584,0.241806028784396,-0.207955891362349,0.634152598714926,0.444400583160639,1.15717851647779,1.15604957557405,-1.07237396619189,-0.33107554314126,-0.316618363669173,0.499856500049527,-0.811701263711985,0.887348059591432,0.00226305524681641,-0.0521682320484475,-0.145468936825305,-0.0973516042535486
"PSEUDO_Bs_1 (GE) - TPM",-0.283359127936809,0.439879587174842,-0.455549290196704,0.378347982592195,0.352104904401602,-0.431835349550129,0.512294199077733,0.424002767530705,-0.494595288876628,0.217087070370972,0.969822762422915,-0.0986627531609971,-0.239862271250552,-0.293250317527866,-0.389174866272819,-0.518683497866459,-0.747904964023186,-0.395644859233544,-0.0541623683540325,-0.474163499008318,-0.234295322546334,-1.24475433195281,-0.190508644402281,-0.953806947006881,-0.647998942775465,-0.513994952618489,-0.166286935000486,0.0913554663872378,-0.547199145816299,-0.53681707661178,-0.647420506356308,-0.504137503104461,-0.572849805183996,-0.312318452876808,-0.113900085393094,-0.704830155560711,-0.511406470305363,0.0404995896318413,-0.673696890857801,-0.340035074255021,-0.0740409149897796,-0.842377998679627,-0.0210338993375382,-0.356740593209434,-0.402148664002871,-0.361933433381555,0.0395195371979599,-0.534926226300084,-0.635736360108155,-0.548844581547625,-0.361401703935113,-0.336010523474112
"PSEUDO_Bs_2 (GE) - TPM",-0.104833287141983,-0.163582021832567,-0.430098712421631,0.180506688515514,0.544939377467365,-0.619748094538842,0.84659082903668,0.285626544627179,-0.459226504090507,0.298476525763666,0.102536904161771,0.0380421865998564,-0.123713230417392,-0.41476913258062,-0.299950186580099,-0.701037008149006,-0.510738629548919,-0.35716805039592,-0.647236124883322,-0.432216491897899,-0.240639710923218,-0.891079270926624,-0.037711665744283,-1.02542777432779,-0.355431423012328,-0.275158133568839,0.0669222556885842,0.397198379985503,-0.593359633132626,-0.118811344394578,-0.647094021614481,-0.493237736201165,-0.506415426618186,-0.520765213414314,0.194217938809582,-0.494966791665184,-0.796104491240421,0.0580831083410927,-0.728330781476347,-0.541969081957713,0.121201069103747,-0.292829061350146,-0.0375449779481107,-0.286919292037173,-0.330146837745016,-0.306399416705537,0.026880928295868,-0.495438067850899,-0.571919741065201,-0.808567758762003,-0.238470098493492,-0.186179940575236
"PSEUDO_Bs_3 (GE) - TPM",-0.117852327021975,0.00878921378811973,-0.463436115239508,0.557806756409448,0.594886551265205,-0.329690754233358,0.311510097935425,0.555872787161445,-0.383037244791643,0.109262817151446,0.00423521411537589,-0.179961951323806,0.0702228998801525,-0.400259956654757,-0.394872034156458,-0.472201180983999,-0.609922007485484,-0.464867928979157,-0.683086832291424,-0.469922090215819,-0.193292233554341,-1.07697730220027,-0.3355517966109,-1.01602833551832,-0.521613869451251,-0.371399882850337,-0.136523235088031,0.313386440322603,-0.610873656579022,-0.449218195417858,-0.659456443431542,-0.577873308581593,-0.494598624282192,-0.255938421871462,-0.542266835392475,-0.591386757044471,-0.792958878307927,-0.0255876268513669,-0.633933598680965,-0.19708719402861,0.324194921452096,-0.508203681582961,-0.0954535797674102,-0.268124323611225,-0.678939870115017,-0.172181284736104,-0.104556253265652,-0.48750851439309,-0.519058617129389,-0.759073839181179,-0.266754807901443,-0.379639314215373
"PSEUDO_Ctrl_1 (GE) - TPM",-0.0992669942201611,0.102846905253696,-0.153820566492225,0.298199987199202,0.103269390589568,0.0253109664209974,0.0224093735390915,-0.759198836512302,-0.338179326150863,-0.00807911974807663,0.728287270952164,-0.322058070327814,-0.168111559780294,-0.281406008670245,-0.210865086233639,-0.611844032046594,-0.0939979294899301,-0.461302368434631,-0.373720788742519,0.0582518945201215,-0.276633461842491,-0.663342383469142,-0.0351984507942563,-0.460371177094272,-0.441804127006324,-0.118554891832243,-0.505314071162723,-0.454972344255206,-0.47463646702456,-0.385742635226319,-0.654598577461792,-0.450036894807661,-0.261863488806144,-0.340879512371394,-0.367308350117011,-0.481727061257252,-0.852679781497014,0.0790393329335945,-0.29952225456102,-0.209903008969107,0.444387577141186,-0.661782580016926,-0.260018510957015,-0.151734703180102,-0.0305243931422041,-0.341114351113408,0.0915113306593584,-0.3753327528831,-0.360896344858368,-0.362294312904615,-0.333490274297837,-0.0422611490506223
"PSEUDO_Ctrl_2 (GE) - TPM",0.0298920796017603,-0.125788456495258,-0.451755234623531,0.312480951359199,0.137368873118886,-0.554565690154672,0.0674084635440427,-1.0700402211464,-0.564838778144523,0.469680260251093,-1.32121775478129,-0.53919273104285,-0.264008697008396,-0.574492473317291,-0.48954842392703,-0.548366636429982,-0.782874098735384,-0.542285019431456,-0.616298731947492,-0.611731133900931,-0.254533005888492,-0.956055585626078,-0.433612170553047,-0.607766179884314,-0.544717543862907,-0.457137320443672,-0.523621446417689,-0.87578300973712,-0.316482032976238,-0.519002303014247,-0.719953481761587,-0.607346550118614,-0.622449017984832,-0.272148345124153,-0.639665815043436,-0.43765299039815,-0.661364360616978,-0.306059796441103,-0.196196757729409,0.66708173096122,0.303150886118982,-0.689753915537401,-0.35723595248274,-0.390776807127294,0.285641760773502,-0.262216750589462,-0.0905384996187552,-0.499966061476029,-0.456826812906605,-0.660809189607512,-0.564514755004854,-0.368210331544097
"PSEUDO_Ctrl_3 (GE) - TPM",-0.662048940083432,-0.345853817145436,-0.306978773504745,-0.118898316936612,-0.71785341296555,-0.565781356919042,0.104047267458165,0.31887789335911,-0.640511147874185,0.315732605517591,-0.728477586573869,-0.411609175936416,-0.410376044780514,-0.472793916052268,-0.446575885337924,-0.537335814664256,-0.707086873961472,-0.483693180050179,-0.394512952715569,-0.636663390768093,-0.475070241093591,-0.77859087432113,-0.584378365333316,-0.478579014532112,-0.692029502943213,-0.485908533954059,-0.678417132828966,-0.994403010616704,-0.399149932214148,-0.655016321015677,-0.729298609309504,-0.651458542320749,-0.629739479117813,-0.378386548717517,-1.03952759978839,-0.642513230089329,-0.910913137035726,-0.359745034996439,-0.40335518530438,-0.363104945013439,-0.333270275723209,-0.592921801491789,-0.449839758619696,-0.442468500777693,0.128075500352436,-0.454177662945457,-0.141995939140437,-0.644535840422158,-0.603071986223205,-0.721756323084177,-0.818230241054265,-0.459514046765147
"PSEUDO_Li_1 (GE) - TPM",-1.39912637244922,-0.578188350919739,-0.707181833916774,-0.137997314260618,-0.245775939206387,-1.2135942501265,0.900963044592371,0.344717747212728,-0.945495730967408,-1.07730317363475,-1.0154452747074,-1.23167916720303,-0.661772763638153,-1.04913549479644,-1.11784508650043,-0.21435105729443,-1.00853631234222,-0.63161723164055,-0.690816175859165,-1.28690802981435,-1.05966681503714,-1.13104934602339,-0.573744280278721,-1.27705144471153,-0.994266258477643,-1.0599196168237,-0.668780641765116,-0.343144191249931,-1.17278944473591,-1.08602757162719,-0.844566683495589,-1.03321562694194,-1.08462812438043,-1.00899127277926,-1.39326417875917,-0.976438773479698,-0.988515383443092,-1.00556302259106,-1.27160941075835,-1.5749298969526,-1.06900221718476,-0.534422207641789,-0.523095678500714,-1.06784896214629,-1.0911425687817,-0.895861941339462,-0.562102910056358,-0.889578005384749,-1.04238055195924,-0.906007062168321,-1.08012802267299,-1.13749910986604
