"","PA0033","PA0034","PA0136","PA0220","PA0227","PA0240","PA0241","PA0251","PA0263","PA0327","PA0349","PA0400","PA0426","PA0475","PA0496","PA0497","PA0571","PA0690","PA0701","PA0715","PA0727","PA0728","PA0821","PA0869","PA0911","PA0990","PA1038","PA1307","PA1308","PA1332","PA1334","PA1380","PA1382","PA1383","PA1438","PA1500","PA1518","PA1585","PA1586","PA1939","PA1948","PA2050","PA2101","PA2103","PA2105","PA2290","PA2640","PA2641","PA2642","PA2643","PA2644","PA2645","PA2646","PA2647","PA2648","PA2649","PA2672","PA3056","PA3068","PA3083","PA3229","PA3238","PA3740","PA3752","PA3916","PA3946","PA4067","PA4091","PA4106","PA4510","PA4538","PA4554","PA4597","PA4678","PA4690","PA4787","PA4827","PA4981","PA5017","PA5082","PA5167","PA5284","PA5326","PA5327","PA5355","PA5390","PA5534"
"PSEUDO_As_1 (GE) - TPM",-1.01296317220251,0.0323674405681097,-1.17886688980531,-0.95978637298432,-0.765224210002257,-1.49463641856683,-0.747926406301121,-1.04927099919192,-0.397414132996257,-0.131195623196856,-0.000231424586825192,0.00401061843556029,0.236342797510798,-0.188177241985148,-1.33952184741405,-0.0609606079440897,-0.697235056283849,-0.612185589229635,-0.670957405145468,-0.326857729420481,-0.890971013749876,-0.279538761401929,-0.45680634853439,-0.796025536969146,-0.374233708885948,-0.56426641655835,-0.29755226300217,-0.52252919278014,-1.12331488641029,-1.42952241662777,-0.888275012461562,-1.07595854145146,-1.02921661137124,-0.461970108801652,-0.60855718351158,-0.642282097941502,-0.396476867915623,1.20361427126731,0.734526685197742,0.239807996218499,-1.20061249005664,-0.659370638191398,-0.607453054189321,-1.15068520830155,-0.653577248126127,0.365071538716532,0.805786803854375,0.983295815177628,0.722059518843228,0.337784046613827,0.634024120909302,0.946850673904321,0.158684719788711,0.560217720173581,0.364780061526935,0.317095295178173,-0.783537457569883,-0.634097680322553,1.05568363874785,0.316543860328007,-0.155302792100081,-0.568139154562316,-0.5706629645114,-0.664353106690809,-0.585427851420841,-0.0689516774953532,2.48801215769641,-1.2404831813726,-0.616577134553284,-0.931116145948311,-0.497456238034868,-0.851111047519001,-0.424652513457153,-0.575528584915684,-0.185151627155708,-0.384230390658562,-1.77826517986789,-1.19551177997096,-0.925607889030872,-0.51229553722238,-0.86989702781408,-0.477137580875358,-0.451273256965666,-1.43474977851798,-0.770582595734387,-0.257301418512299,-1.12743897027645
"PSEUDO_As_2 (GE) - TPM",-0.216738139499696,-0.626668965252498,-0.47109992819542,-1.34346090148491,0.357348953003951,-1.23052615027521,-1.25533059494257,-1.9367504261408,-1.22911382574177,-0.535374697173765,-1.18434455047479,1.40723413488749,0.66683067547952,-0.0137967217881351,-1.34695492085598,-0.777513609358007,-0.783762794817745,-1.23912450201986,-0.87929877835905,-0.751211189421131,-1.37645206193559,-1.19696032114401,-0.759141799858535,-0.755530950085502,-0.497689845285589,-1.70016463052455,-0.821029696746451,-0.340219366861923,-0.156302747042342,-1.44435864147609,-1.36921048414455,-1.99101786267707,-1.26785823125802,-1.02838096882678,-0.182448935308816,-1.507316606348,-0.287056451870258,1.72474338065073,1.03902419958481,-0.17033686683858,-1.6397120269071,-1.30032702153278,-0.961248393922049,-1.95910823518035,-0.961826778095861,1.39256928819288,1.18511647843198,1.29662271033015,0.965431563019023,0.053128006743339,0.933479369462166,1.30280106842963,0.617129953769774,1.24933493446997,0.626459061965718,0.46773141589946,-1.42126742726582,-1.31415396132442,1.75234931836364,1.2011044668503,-0.854917922306811,-1.45107715558552,-1.67731271008099,-0.817188876772481,-0.776984665691605,-0.783186755224498,1.3688283915242,-1.1855579022868,-0.945882581513512,-0.446724798038872,-0.966030752490528,-1.80346539704919,0.848649432290399,-0.666690359286496,-0.706072799397639,-0.982218039885207,-1.42488095292874,-1.42276815877988,-0.84831178788972,-1.21418529543498,-1.41185913769406,-1.69082801972015,-1.67495702403054,-0.956658365745109,-1.10973701147117,0.163698713218384,-1.48739622560593
"PSEUDO_As_3 (GE) - TPM",-1.24833723925525,-1.28881839120203,-1.45773995583421,-0.92830054320167,-0.188439871541335,-1.37976525779234,-1.25682114504092,-1.00077808533773,-0.784219098739831,-2.42782449418811,-0.85133747127597,2.25749955786684,0.99721411766422,-0.332141857319244,-0.618750268323947,-0.682348566850984,-0.151116396433473,-1.18614391815765,-0.972254825001761,-1.13432911197627,-1.0983607343869,-0.980542250096112,-0.605101086282592,-0.78534415411305,-0.729651821559569,-1.16399198968738,-0.473749319696938,-0.561322992117814,-0.0962169204728087,-1.06423355384618,-1.34889180064,-1.77451539576074,-1.26275792508851,-0.559702368687503,0.00825071758267296,-0.208920596405561,-0.61964590793944,2.13545619244015,1.21128693117594,-0.3833575154244,-1.61684684383208,-0.79570556006568,-0.921675843680781,-2.25246692736965,-1.13578012034476,1.02497554407196,1.15240252881566,1.62995500936092,1.37008056996881,0.842004461826098,0.774835985817971,0.950472755669813,0.377768777016554,1.46491245250308,1.01705875180802,1.04810830391397,-0.512646587370282,-1.47894792656097,1.86873573421368,1.76051062590809,0.224105950024376,-0.708331010378248,-1.43347969033176,0.506942656095756,-0.402896036185727,-0.387923402753728,1.89058622098826,-1.21870020847188,-1.4324765804702,-0.804476250477371,-0.705613257948912,-1.19715116375964,-0.575268953790669,-1.80328900229157,-1.16646386667429,-0.77110108486477,-0.958209554824622,-1.87334330292641,-0.810458250011592,0.0931938018534952,-0.96132160948678,-0.0581691144923646,-1.18853428591273,-2.1998536517439,-0.942994506917668,-0.321503075632646,-0.570613610863397
"PSEUDO_Bs_1 (GE) - TPM",0.0531355050013316,-0.548720657732015,0.692539764046175,0.558990001937797,-3.03259708603089e-06,1.16939936071815,0.0518216826754084,0.175406351840506,1.40889034620072,0.502207314551987,0.46232730093098,-0.242559011235184,-0.0786617118376507,-0.0416007593716172,1.2011017812666,0.815758623505811,0.628705289870842,0.374890557869627,0.571604047287129,0.465498043610906,0.92916739524845,0.875893658253424,0.452232573973826,0.261050093798497,1.02914139669241,1.13845497388352,0.319695684568846,0.326812401278413,0.65842432455594,0.806027980695178,0.356941120019904,0.859391148801923,-0.00171354443021894,0.850741308970971,0.483774083871384,1.08191928341623,0.220290781866968,-0.484738034004554,-0.733608284225959,0.988595635726159,0.344489362387984,0.999866156949783,-0.415746138942957,0.898987285692863,0.622890936587214,-0.239417987238046,-0.443463623434535,-0.424804631964518,-0.570426972184354,-1.01050019237536,-0.851791564192513,-1.16578233287481,-0.975976661934984,-0.75110028582446,-0.856534051109793,-0.69737058780946,0.280430633361249,0.862243552781634,-0.56233986226142,-0.0853393281480013,0.602603598616966,1.83797305284196,1.59102550692822,0.80604665235011,0.737776856671474,0.58408993975645,-0.265858040129577,0.767634269663544,0.682292436593031,0.344923354549963,1.64107404926416,0.988782191944038,-0.337449766688668,2.08567949994626,1.00364108596172,0.483812756613813,1.18376989158354,0.554815193887809,1.21915253427787,0.510578720511264,0.554535754089907,0.248263268574114,-0.435530717320235,0.878520417576421,0.722650475223995,0.674777069518908,-0.829213298921649
"PSEUDO_Bs_2 (GE) - TPM",0.302270986462067,0.542277983041243,1.2493079992896,-0.235379562194241,0.373974882229232,0.914425285007344,-0.900600014045066,-0.688188232019738,-0.298135439135451,-0.775528324190059,0.28055826878813,-0.220815895906962,-0.0260428345825917,-0.0738474297473258,0.503025720807786,0.504802880132847,0.231304167801349,-0.173022764907125,-0.239917065806849,0.6411063012921,0.222860286640467,-0.905301110101789,0.498494755792761,0.155101157276466,0.0343740722102891,0.13300368910506,0.688162496268897,0.181612704221806,0.45619290212389,-0.113800768263083,-0.784771498041129,0.270632405627113,-0.0803623474603004,-0.139527206627257,-0.0789077748228512,0.250143474913346,-0.618918373550206,-0.378762816240918,-0.734334611851727,0.942116362115392,-0.0638214526672854,0.824166925981719,-0.156596400066907,1.46120150583834,1.10872921456615,-0.248204451244767,-0.55968706270212,-0.698302916943447,-0.709042961708193,-0.955247181005855,-0.893738619483632,-1.05653101512192,-0.957680282756228,-0.846551878640166,-0.820847475842898,-0.923694776302066,1.66611525138913,0.639721841362031,-0.695927457137775,0.0399053764577058,0.54481129687735,1.36031387030128,0.808187237130274,1.16923868606349,0.913599606049698,0.455200412722344,-0.346658107510255,0.271899665943902,0.810196750309268,0.851593416192366,1.43523632650197,0.752709670765227,-0.0153958813086648,1.20328253054014,0.66876656823419,0.275803225990926,0.155433711922555,1.38879106358189,1.23239674484549,-0.040810684416111,0.500846610870812,0.695746023725573,0.827437131573683,1.14561328691682,0.535187523979629,-0.961273165621771,-0.0126415810912403
"PSEUDO_Bs_3 (GE) - TPM",0.548896600351391,0.96341790581054,0.000220399729650295,0.368564066788537,0.315268705513648,0.672105629352693,-0.974651194198135,1.31261601500567,-0.39053309857356,0.970472489715564,0.240110046510237,-0.598325017262982,-0.0333681474671364,0.131768283218237,0.0501493572170162,0.837223674364479,-0.00411702947815103,0.779601372423305,0.915832723738541,0.597687929893704,-0.410040523679264,0.937399508596405,0.389965659602538,0.0271947588859184,0.504604702663027,0.577877321346071,0.254426965394113,0.773214323603548,0.390727914855435,0.466267975167194,0.416352453057404,0.40108902480282,0.0234524723399543,0.196347372484517,0.47410922462662,-0.461467623273027,-0.0995096809989163,-0.401024162000563,-0.723751764861935,0.928079873110979,-0.0543453991903891,1.06681424869107,0.21664118643874,1.18379940533572,1.1013551350564,-0.0712575192084127,-0.58711777626984,-0.519943801934709,-0.674128189881225,-0.951747514345795,-0.907953186755907,-0.985674298283095,-0.81942430783639,-0.8457681066698,-0.80989149941403,-0.709996083700327,0.936635405011588,-0.0694653072783601,-0.589809298101667,-0.200820290088803,0.563104686652707,1.42238214262914,0.551448191095924,0.144727039111971,0.231989789054443,0.815379740507568,-0.307790545185012,0.298134970715832,0.202246269705184,-0.0719204218910534,1.15381826560369,0.439268777961174,0.157469637318104,0.945509424563827,0.519138051546895,0.878706607765081,-0.371583140226332,1.17336563759643,0.879773495031342,0.494476450883967,0.201114809089227,-0.508425145820438,1.30087328480169,0.0478582922728358,0.4301076365094,0.956276505328376,-0.342732585117027
"PSEUDO_Ctrl_1 (GE) - TPM",0.463808660029481,-0.429879896997841,-0.475051889972385,0.0519776197383821,0.34663688944725,-0.101839194464939,-0.0763163929596191,0.37587162177148,-0.0173122344748715,0.798545923770561,0.0860907767926781,0.0824505230811668,-0.334810611995669,0.38363822498756,0.670063082132555,0.351168088998587,0.20495749572361,-0.287964470396375,-0.219016999906368,0.540403770868746,0.43587978742098,0.597096544342156,0.0443191407634898,-0.290025812291193,-0.283928951258806,0.528497032224524,0.421071249587972,0.369842185867808,-0.148355167707134,-0.255632288450859,-0.174243351753104,0.204598454869036,-0.302294745546374,0.174420122883665,0.485127813312859,-0.193202075946058,0.00527101117212366,-0.235842938692847,-0.515757660681152,0.751139292693737,-0.0244289914211007,-0.633161232711485,-0.253253439788929,0.126226491426518,0.418528981620711,-0.294890473165806,-0.155352475488413,-0.470865596873777,-0.623219688813626,-0.73803504585468,-0.575498508508067,-0.937736470829557,-0.723197690209427,-0.633395239802636,-0.695262636040671,-0.538409000772526,0.389987967590584,-0.284785730733725,0.0210167132289355,-0.268676433554795,-0.0769236234817074,0.237971681048963,0.918920597251199,0.377126270675779,0.395695971628545,-0.118548548820257,0.00883605845482768,-0.139240623355815,0.00595560382333854,0.485754263607623,0.135426283149509,-0.134591145224187,-0.208661290274149,0.274094989214692,0.371796534422118,1.24470186761777,0.193590267659784,0.355419027731103,0.319131842900107,-0.144783255921525,0.80688498996027,0.357580533730702,-0.325575533963126,-0.431449748151603,0.0812187776559715,-0.255489711661193,-0.830196338055214
"PSEUDO_Ctrl_2 (GE) - TPM",0.223968091496228,0.869080645620066,0.0960826048537049,0.666117768779216,0.177724908763393,0.300499970574698,-0.215490680210397,0.74325777315288,0.108812299408497,1.72400658874544,0.125841088731754,-0.405196831592309,-0.420719653083228,0.224818917582913,1.41054195236496,0.347047635428479,0.190980438158286,0.571862854064136,-0.0728722875109822,-0.591470387180689,0.380387714241509,0.110477002439267,-0.00550159793367508,-0.583732969712521,0.288801856738293,-0.291767247975104,0.176383463299663,1.14814724172144,0.396788593092251,0.523093202243668,-0.103955075845449,0.786726206466916,-0.0545452964374405,-0.192557189798916,1.01331079216979,-0.0520354392534717,-0.056678553930511,-0.416508496268041,-0.718944608869046,0.879090813424345,0.575387796935519,0.126827210083512,-0.5271694345642,-0.00303152513716977,0.35945098539556,-0.349839222879331,-0.204521767059036,-0.506548646419021,-0.742470821025243,-1.01937306091005,-1.03041443787494,-1.15146112720296,-0.964890730281421,-0.737851145170144,-0.728665089162207,-0.496486006688385,2.9116517024092,0.440998682525921,0.0102533452114669,-0.479198110608283,-0.718271020255524,0.619920208332054,1.18932984553946,1.21193231299299,1.26061384221723,0.150889863295708,-0.860459281622068,-0.0896104774799829,0.059283454603635,1.02372280904046,-0.0711377043222782,0.162216667376675,-0.122668740741745,1.23562146020472,-0.388655421566639,0.950402604336943,1.12418038664434,0.316154668002609,0.594398564155449,-0.368213745396772,0.855876015406783,-0.597278974951089,0.361007232538647,0.784776487809925,-0.302003001054486,0.848051862991939,0.584637445515027
"PSEUDO_Ctrl_3 (GE) - TPM",-0.407194585747746,0.870231031585127,-0.168650223942212,-0.440244808399622,-0.0717692354298476,1.1163971584517,0.908899570187388,0.345962179303101,0.572979879603792,-0.390628680629698,-1.10269511722001,-0.573330829812095,-0.551321877223529,-0.580856714079402,0.728631955839774,0.27209611927994,-0.0868681894554693,-0.10951219302096,0.8155454457958,-0.130738642514095,-0.0905812674230775,-0.119719433935573,0.0333191569966616,-0.209827878785651,0.886931370885418,0.240346610517141,0.0839881843882863,0.474357750280055,0.00185190833263344,0.533609761342528,-0.495490596954311,0.447960751814181,-0.250995501918609,-0.218364844626039,0.0556583215671779,0.16263792880029,-0.500662231965653,-0.339340495823497,-0.650169368350644,0.588015762651264,0.442357955316988,-0.581148377287823,-0.548196827218433,-0.416488572300821,-0.0683094816152994,-0.508904611714884,-0.0977358768125277,-0.665323118216104,-0.804626904314221,-1.13336469276916,-0.853258009606237,-1.1073391874487,-1.1487375812608,-0.939986113837089,-0.954170625238147,-0.552331104958815,0.670009297163256,0.521868082032247,-0.165903479026098,-0.633162464329691,-0.960019625695522,0.6057308033809,1.02016686071856,0.0203277594890976,0.714821089361312,0.747301570822185,-0.357134144052168,0.146288477950932,-0.114740379662627,0.417930224573817,0.219326511324926,-0.0330183730387236,-0.87566447391464,0.321160408187052,-0.221230787593937,0.584231421398406,0.876482511613246,0.484111718199393,0.545370983491194,-0.528416813394415,0.876453634231208,-0.298890187824188,-0.634041113227202,-0.137504466752546,-0.243956401997589,0.0349027573998365,-0.421508404520312
"PSEUDO_Li_1 (GE) - TPM",0.91771113539149,1.08213308866585,0.878306664988729,0.878430286851958,0.339787374025855,0.58666317448701,0.0297023374523013,1.76198781918075,-0.215982350530003,1.78400705151876,0.837239943836919,-0.219104006148818,0.198315542200777,1.12273363199777,1.02322272147409,0.651590274616068,0.368028245893121,1.08816181943864,1.23629128821121,1.01119361743264,0.592142663322729,1.05566477003557,1.03322373234678,1.05165232066963,1.0260075097346,0.683429881699829,0.802220400250499,0.991395532119799,0.823181951324661,1.94119191331705,0.854838340395117,2.01001991236308,0.0770875582435394,1.19706076213879,1.00139228190708,0.228889465322105,0.925724591373489,-0.375650254980787,-0.337273358633899,-0.0762225073256987,0.46055258250124,1.28035493111374,1.53389061102435,1.39764650398822,0.898041962880612,-0.439867272704253,-0.581838451760928,-0.309244772388232,-0.357745142636224,-0.249244137439106,-0.307120150801259,-0.202678353391968,-0.112245339569594,-0.352974241100145,-0.36401389969366,-0.203886295152987,0.206080496200498,0.972237207277997,0.133643293079913,0.335336501901693,0.894482980201054,0.989706696031426,-1.52515556386585,-1.23912412597785,-0.136937231926218,0.153989568358168,-0.90303631523388,1.30394713743205,2.56084482190164,1.33732163077987,-0.0149191430183945,1.19150869145789,0.997539852289261,0.162240081826322,0.573306936395992,0.00660908608855613,0.47377869196609,1.71360758683429,0.462099718702548,1.08355138206703,0.333207292361759,1.12965715836102,1.5381669617663,0.863900469855214,1.05219274833429,0.664672980082418,1.64482768052325
