"","PA0059","PA0060","PA0320","PA0358","PA0384","PA0424","PA0454","PA0532","PA0534","PA0535","PA0568","PA0629","PA0708","PA0711","PA0877","PA0895","PA0917","PA1030","PA1053","PA1054","PA1055","PA1112b","PA1178","PA1179","PA1180","PA1224","PA1225","PA1226","PA1232","PA1312","PA1343","PA1344","PA1345","PA1413","PA1448","PA1449","PA1498","PA1526","PA1539","PA1540","PA1541","PA1571","PA1606","PA1692","PA1832","PA1854","PA2005","PA2027","PA2028","PA2057","PA2137","PA2221","PA2223","PA2225","PA2251","PA2434","PA2497","PA2510","PA2548","PA2595","PA2713","PA2748","PA2810","PA2869","PA2926","PA2990","PA3000","PA3006","PA3039","PA3045","PA3076","PA3078","PA3086","PA3087","PA3105","PA3143","PA3176","PA3215","PA3369","PA3370","PA3403","PA3459","PA3488","PA3543","PA3552","PA3553","PA3554","PA3555","PA3706","PA3729","PA3730","PA3731","PA3732","PA3765","PA3837","PA3882","PA3888","PA3889","PA3890","PA3891","PA3895","PA3933","PA3954","PA3963a","PA4010","PA4085","PA4094","PA4120","PA4121","PA4149","PA4180","PA4280","PA4396","PA4581","PA4603","PA4737","PA4880","PA4931","PA5047","PA5081","PA5171","PA5172","PA5233","PA5291","PA5292","PA5297","PA5372","PA5373","PA5374","PA5383","PA5401","PA5423","PA5473","PA5477","PA5481","PA5536"
"PSEUDO_As_1 (GE) - TPM",-0.734328016345326,-0.443089657650842,0.492210957977337,1.03002324548016,0.0507958025245702,-0.912281237278114,-0.770714285420285,-0.308658680318831,-0.528098704915951,-0.291295322005109,-0.454186822642611,1.06199104641462,-0.373788987974227,-1.14595667923567,-0.984312773528365,0.688704445551238,-0.0290602989593349,-1.01730309552437,-0.153037241791846,-0.390691979362452,-0.199957866914252,-0.800935391524537,-0.342725758571131,-0.394577171742065,-0.373409851053335,-0.156146621755339,-0.123079700111509,0.0874629095270529,0.10680127406908,-0.780228670851256,-0.254839953630213,-0.351815268930955,-0.386595827016536,-0.542465504137424,1.05558914208134,0.870316206943185,-0.00712289409817569,-0.940053532464295,-1.16064108232068,-0.729603032382753,-0.599828531947474,0.692561935133223,-0.418349899261974,0.748407468055865,-0.142102244016153,0.533595320270504,-0.18663425448306,1.13012130914686,0.20496383510603,-0.255424890921155,-0.513596266090291,-1.01997483228282,-0.0287395681470195,-1.08543669028668,0.0717443166979181,-0.378618020276031,-0.405840500720037,-0.241709342250646,0.674812227467056,-0.683394054454192,-1.02553883078801,-0.236282851312073,0.882473691022932,-0.491427396774951,0.321158457601855,1.02842060829637,0.743471715220049,-0.696401136915912,-0.90705729581523,-0.556052589717982,-0.131325685073974,-0.096114061702098,-0.0730383377422485,1.24398510778949,0.535903917580512,0.529853958754085,-0.150310124038082,0.923262164821712,-0.42598958494857,-0.351486847746134,0.572652993334577,-0.629036183614615,-0.0438878617636162,-0.17986050703158,-0.0262264278192241,0.292483151056591,0.460167320218512,0.697000721459916,-0.330201695776362,0.257645678827807,0.0173814515488813,-0.0916045819993515,-0.153489762646252,-0.27793993660563,-0.401461526855324,-0.287608075359292,-0.290250874469397,-0.600806931843799,-0.536561908384363,-0.433970456503781,-0.765439440961905,-0.604092448200479,-1.2810034906068,1.56283141497297,-0.151795393366527,-0.288902415852592,-0.516258346212695,-0.100270867218936,0.329316102722974,1.0926265452304,-0.497114942928254,0.858701007730888,0.782724265706347,-0.739877476947459,-0.453495087080498,0.143280389282877,-0.4956046777508,0.407510879614809,1.21673994482708,1.07400628222903,-0.294605100052859,-0.183940990629988,0.144928151463327,-0.201260709646169,-0.462076084028884,-1.16118120007227,-0.472604061036761,-0.602176500408189,-0.534590702093222,-0.762869532397381,-0.596999725873359,-0.677533161952602,-0.949745803070769,-0.212653738747858,-0.361161205069524,-1.11748847420911
"PSEUDO_As_2 (GE) - TPM",-0.618976244300501,-1.02842336856921,0.191014256817514,-0.298131233780836,1.81480229552503,-1.19896023463926,-0.333532522482711,-0.364375971880506,-0.521040308595678,-0.147884331282201,-0.446735796822549,0.979486000438315,-0.641398160737805,-0.617142656461419,-0.923331779795741,0.894521511331772,-0.455158796295145,-0.810591743619964,-0.408501014616801,-0.167881228110096,0.0790818461451558,-0.935722510744997,-0.350000793734019,-0.321027072235092,-0.383652301586236,-0.550392572197223,-0.129287431161114,0.861081830926388,-0.117256932266757,-0.80598165148028,-0.315087217801469,-0.353028041412862,-0.352016134095329,-0.322215101248284,0.175455789071232,0.552093042762583,2.32732364942815,-1.68701394861047,-1.10531261314113,-0.795463684267041,-0.61129235875693,0.849477361506245,0.119305136520471,0.992130323539648,-0.925983757623387,-0.171829026430567,0.0202696761216338,-0.220278958683968,0.313053365777469,-0.918652493780023,-0.529550754272453,-0.67096004622622,0.300182518473104,-1.0939723829427,-0.472168404301965,-0.191077507287356,-0.329479297485154,-0.312684424847586,1.64839947510155,-1.05244611734543,-2.15803052159199,-0.338691158487762,0.546353762494191,-1.11950363166597,3.05666833305973,1.00541681942179,-0.427994062159335,-0.905706440718827,-0.576096645534447,-1.21557795185553,0.320379782184013,0.736966155638932,2.01993960753588,1.79276738052753,0.300309653504722,0.924612156127746,2.62173839710291,0.646529205731248,-0.446739626237967,-0.299247085795642,-0.133600413515824,-0.821523379477484,-0.667050989246374,2.13549750271085,0.143205360726631,0.602696188818317,0.745032529903586,0.509210086014938,0.779099984426413,0.453456585589706,-0.0886204827226781,-0.0424867261335949,-0.20494877780832,-0.272843644404195,-1.26687545095304,-0.193318462828762,-0.396910978103993,-0.581737324104445,-0.0088563966762143,-0.445394523987371,-1.06201584075892,-0.4632720222395,-0.119031873045689,1.59786120033081,-0.382235281909268,-1.50612978154446,-0.284055214151489,-0.632099936112121,0.27504075186019,2.13000346516105,0.980345578271268,0.530262474579798,0.59182845325005,-0.608191438637087,1.30220627298971,-0.214078036778743,-0.536275776289593,-1.27082799916264,1.18737193641183,0.922930412139926,-0.253014564721846,-0.0608675814034609,-0.719638174397,-0.147304190422431,0.135068584857615,-0.998900992642699,-0.433706106833984,-0.624767694736367,-0.632124241941415,-1.09180489284588,-1.07002866869267,-1.5907033123956,-1.09108594192647,0.050600472265256,-0.363581257945461,-1.91196239984013
"PSEUDO_As_3 (GE) - TPM",-0.666926281414131,-0.669989006669579,0.134818657672539,1.04479694360352,-0.908669998587452,-1.17372973724803,-0.5429373857876,-0.38540140757893,-0.527099735454454,-0.226909230446901,-0.501652010420511,2.2172883705427,-0.891433255423275,0.190328068946622,-0.753546370710427,0.762608648362826,0.0267015610280863,-0.958124712148628,-0.378105901174058,-0.274637314992869,0.613779291224241,-0.910421854277627,-0.320175273859048,-0.391858381598232,-0.329072354600346,-0.173930847915033,-0.340235413675562,-0.495950567606374,0.318972144686539,-0.91425537829767,-0.291370192020499,-0.353704127395792,-0.388740734580506,-0.418906990789439,1.19888459867174,0.804289892169307,0.480511918579325,-1.39363913823811,-1.15956211971925,-0.766279753126162,-0.597567333563616,0.652092038887118,-0.110707661979329,0.468268829971419,-0.763540217646359,0.892747849632669,-0.457924857241168,-1.88471317482491,-0.42185386923463,-0.909409160837906,-0.423299683734394,-0.922766710314181,0.0493924176220366,-1.52801903987573,-0.300393379840122,-0.480636315518368,-0.594335553303175,-0.528738482361711,-0.592500129949599,-0.905618724363805,-1.98904148193449,-0.0995287440787,1.26007635666476,-1.06343790730203,0.0354005473313317,0.876043764037394,0.903996033682559,-0.771121400136069,-0.933653396312783,-1.16255675954005,0.142227009400421,0.959963917779024,0.632421140758744,1.38976995597567,0.342600680566926,0.69948707367058,-0.834883430624488,0.786929932912103,-0.447641797154231,-0.507066741029326,0.331224688029293,-0.815264306866758,-0.0328887917114186,0.302559636540186,0.166095427029126,0.726709908012856,1.08639580032616,1.23231541074395,0.344643357028316,0.388354123911146,0.110688421367524,-0.034751678406797,-0.2227241057411,-0.130242580731729,-0.384987776892514,-0.2122726746431,-0.38250353831859,-0.354046340122389,-0.380005950214125,-0.177816075843651,-1.42752220977031,-0.100212210331333,-1.34067031016354,0.531313598780493,-0.402683507677435,-1.13484829486466,-0.558955664050388,-0.711133515065344,-0.579833483375826,0.818821379391431,0.760163004704197,0.487946243577974,0.701622558530475,-0.440260148484893,1.66523277464882,0.510937091849813,-0.517118403076421,-0.421566051898118,1.0527272935738,-0.966865074390296,-0.261419393593166,-0.185536902502887,-0.942030797601106,0.0461029964430646,0.42820310540118,-1.08374349187221,-0.433932038910611,-0.609697664795613,-0.626042489717665,-1.45382314159961,-1.18967369822395,-1.32060445108068,-1.05417507741118,0.0738275282954007,-0.363977993488879,-0.523546565154631
"PSEUDO_Bs_1 (GE) - TPM",-0.461152030866968,-0.143978635342822,-0.0641372906322158,0.505955658224115,1.11713804051371,-0.00986175173110152,0.576296990232294,-0.372563627257995,-0.514595195059603,-0.528280516096162,-0.287222605830058,-0.606102989323751,0.701438393747818,0.206097378426727,0.309785863546566,-0.732722847944132,0.086004847144382,-0.269986150301456,0.923145873744057,-0.213375289834267,0.14574632874955,-0.279808967511254,-0.200572040902599,-0.0471814916647169,0.022988131573488,-0.320695498380067,-0.375100998901387,-0.178901250649214,0.287106950193285,1.04358897757901,-0.192972351970634,-0.225218192318313,-0.252268511003942,-0.0873178134246625,0.467290274909407,1.16378662273974,0.047490369009476,0.128770975060376,0.0636178624850188,-0.440648995752251,-0.347678034361437,-0.550841164935112,-0.181738674349509,-0.326499819298511,0.366040421660712,0.159485229396371,0.870236578943651,0.939699587306598,0.261111916335549,0.0638729041287388,-0.470892866805946,0.190356877386429,0.418268312071879,-0.0928811160431266,-0.524381852672426,-0.0201198214503852,-0.569827902595521,-0.575798506993646,0.641137988391047,-0.587661700310622,-0.336436971101847,-0.0615138595908218,-0.139200923112487,-0.2564599112296,-0.635843475336907,-0.13827460416444,-0.145056756486068,1.94109093502688,0.596136588980581,0.325769395123113,0.279917171829387,0.0548590818072373,-0.0185486249507985,0.41107670062953,0.764419762840935,-0.421457880146105,0.318072217653347,-0.000443470657600534,-0.414486613450621,-0.402417994438716,0.0988366926474187,0.275423732583351,0.0768898606149713,-0.438989264503737,-0.148520882198205,-0.144300351240874,-0.384664108430675,-0.261095536103316,1.22694805628813,-0.441069384897597,-0.443430106028486,-0.486322068777276,-0.377272234368068,-0.346039774655797,1.2354603879089,0.901607224784501,-0.249620541622147,-0.0942606192197289,0.210266316371874,-0.0854153041655797,0.965419602305747,0.0452548157835763,1.15648847924484,-0.133413614536356,0.121831605018388,0.375329621406194,2.63017038477959,0.184006972597036,-0.338550531387188,0.321580935526579,1.39107729502575,0.0892964983741276,0.164352062302956,-0.206505450314256,0.589033334309573,-0.679041810966089,0.152765990695382,1.23708832859192,-0.018374071254834,0.759708078435804,0.0898177226609379,-0.237408573250801,1.19242012912727,-0.301038953701705,-0.209365381239248,0.9104587794869,-0.0289199593538969,0.19104075307636,0.0797583884148171,0.918795185354464,0.238648864042166,-0.119383750234675,-0.0657366083726382,0.902138992011728,-0.361970860040084,0.0668911084356835
"PSEUDO_Bs_2 (GE) - TPM",-0.47146073461295,-0.190442764116677,-0.362287719152967,-0.564765822276427,0.539810232990313,-0.0706219727221725,0.804539468346992,-0.396271982027869,-0.504872072807511,-0.440537117972697,-0.296523264608027,0.46238438781121,0.257759876714874,-0.836391258161565,0.308866504738824,-0.87509630918718,0.0928661034802823,-0.421790795834536,0.457335273984495,-0.0572301605207051,-0.54109598209399,-0.206120657987537,-0.225009388663825,-0.145561502250064,-0.0450433629666218,-0.396528314211774,-0.57760815823583,-0.238318586473534,-0.365873310141123,0.292082538304475,-0.259119524926161,-0.253200169125682,-0.36062738310859,-0.0787404562088759,-0.107802343595079,1.83706154002451,-0.498734753655113,-0.116284835282693,-0.333347068936526,-0.492818568318126,-0.414858309949021,-0.317504794015155,0.105825892570466,-0.289092421135546,0.003854514169086,0.303651281378778,-0.092521144388091,0.165842706682045,0.0435903613269391,0.154175764098821,-0.520201423756581,0.537829039456486,-0.00355377248194924,0.578526995231218,-0.567918710173172,-0.569148116568225,-0.825749553129735,-0.378223512233737,0.655643056451317,-0.418697149006878,-0.312795202694406,-0.467223275418787,-0.236205707056501,-0.528114072690423,0.168816660767912,0.541725923616852,-0.166844656522212,1.69716032671583,1.91717149533732,-0.163816240787559,0.539676594918278,-0.224996738344634,0.652704066579917,0.403539295174128,0.831111002779923,0.0663842521802468,-1.28626500414384,0.565404008492321,-0.413447754268993,-0.507066741029326,-0.291437068239408,0.113241972964482,0.057634308827872,-0.458075357361514,-0.00905311900704542,-0.207526902306943,-0.268967902029989,-0.282496289943978,0.656629440982362,-0.565473038550442,-0.425457507898204,-0.457319962882996,-0.394581136447523,-0.435548345436822,0.559107941368737,1.45118778048826,-0.232180332194059,-0.234369142441369,-0.0898768466070567,-0.213834472330978,0.343312865457269,-0.304912349807586,-0.462228172872017,0.952957895895875,0.0151444820270891,-0.688533956198967,0.916748298625328,0.269832443221941,-0.0380441485763528,-1.16262276741687,1.04311597733178,0.779716206327758,1.0185744107182,-0.177356567302485,0.954759583356117,-0.898663009036101,-0.0539226237224782,-0.31053015987774,0.154134890531376,-0.283841788761144,-0.391845899092909,-0.623158872069385,0.622088718644565,-0.374317999891999,-0.44527301127779,-0.0812982923984274,-0.0880832249981245,0.112161132509305,-0.0476152299597223,0.632130655228709,-0.547713398339996,0.160558821957792,-0.193877909199565,0.318318756435079,-0.359334441873105,-0.374201455093318
"PSEUDO_Bs_3 (GE) - TPM",-0.477501545499457,-0.0361447694701617,-0.167192109850104,-1.32643412103678,1.15403814243444,0.0149199521413513,0.626460055539753,-0.392838486275625,-0.520658275449182,-0.351168052339986,-0.301639619594093,-0.458166762844193,-0.018771790611969,0.910538232613608,0.28092906032841,-0.881499484110953,0.0380624930800524,-0.409211862898518,0.615562666896612,-0.0420783339821153,-0.813955753271211,-0.365301671794599,-0.207616809738254,-0.0883650297089685,-0.103609011686029,-0.394573900740536,-0.211161438027021,-0.136482945325219,-0.022279551427293,1.67703811536517,-0.249329763121808,-0.25549390648209,-0.383172748343423,-0.217529847429694,0.82221407142597,1.33862348403476,0.113244292620134,-0.244321615271996,-0.110093115871242,-0.473005803718418,-0.441343487729414,-0.317139659060784,0.45854852499179,0.627729198973064,-0.263321698754547,0.457689244003537,0.211502621716187,0.724260840840561,-0.165509471666419,0.277007298142251,-0.37581694453772,-0.0483827930337547,-0.0706261394115532,0.491824979457849,-0.542200449487359,-0.851555672568317,-0.936628105650994,0.130593219403689,-0.734076163410253,-0.179908979816571,-0.520305445627612,-0.463980807784905,0.406662419675119,-0.503087557683384,0.753173076346828,0.472434372642288,0.0736089719473109,1.67920346044749,2.04728706996,0.079314362629662,-0.321702718464143,0.181190195829384,-0.114320013405449,0.237469080577989,0.524489423800901,0.132182875995804,0.421652181674595,0.207280850869183,-0.424104100426683,-0.484044560431774,0.00245518068662689,0.0996423815262924,-0.116848620793787,-0.665147874209013,-0.10410819818461,-0.352682195556123,-0.254438797977988,-0.249509397732155,0.971392938817473,-0.552428691152871,-0.426513363673855,-0.518404638058835,-0.376831295085277,-0.283872335673501,0.0777685383962953,0.567590272461139,-0.213954558163359,-0.173735051213341,0.0530024858983369,-0.243705737433685,0.15676020469581,-0.198355013593849,0.925296428244702,0.626387028400031,0.297885953005722,-0.845001861782105,0.761243432747877,-0.103421269201816,-0.589909748944294,0.610427753061463,1.23962454633586,0.6105071397628,0.386523194780543,-0.995591884454636,0.0650227842791397,-0.658601367436598,-0.00172471645736883,0.755417788079667,-0.437166163797331,1.59681218940296,-0.425927127009288,-0.568812942437827,0.973148907767866,-0.30949979770769,-0.208460348407559,-0.00213822658774215,-0.0336545951894736,0.0159466072613906,-0.240486483526357,-0.421679696537241,-0.378542032340344,0.159894691776779,-0.110699006968185,0.300389920219856,-0.363307429014128,0.123623246501437
"PSEUDO_Ctrl_1 (GE) - TPM",-0.511950521300228,-0.524241880632244,-0.0038911383280048,0.880442047849464,-0.516287477278774,-0.385935187021211,0.249777491469609,-0.3932489250626,-0.511502436508552,-0.578755788402727,-0.357692903965295,-1.04745508492006,-0.135811922315852,0.842072130081147,0.0271236742169601,0.585256594985894,0.132767683095911,-0.539709985703649,0.173643359936374,-0.387775564545148,-0.20597104600958,-0.166832812473021,-0.234626644586612,-0.138506093695823,-0.140660089168404,-0.563499433161377,-0.416544983642444,-0.18737475715123,-0.592053832186586,-0.302762081767113,-0.295750280884531,-0.267961501500745,-0.455700588865486,-0.325461719941057,0.0957321536803895,0.30232967652509,-0.314429417111842,0.416911978630326,-0.658998639818558,-0.572955657400012,-0.395274829570966,-0.572024957540609,0.0358340294445966,0.0230740817702458,0.0652165886034766,-0.322472772728695,0.228769272800444,-0.367237964867279,0.177348378264031,-0.00395508970439929,-0.460045564359553,-0.313383474533023,0.435982909713292,0.266525898025964,-0.686825010603329,-0.854646273784984,-0.824559679094717,-0.454582405279183,-0.444138467949339,-0.413222439448356,-0.476683783495248,-0.86967989928982,-0.233029160611671,-0.435051358363396,0.18842243242356,0.401003582981471,-0.486516590819638,-0.4606774833243,0.779695651796767,-0.0293329302687639,-0.0328018954619501,-0.0533550625105032,0.136704568032291,0.0745545082547069,1.05982820146705,-0.954940503402791,-1.12099402830378,-0.311909123418753,-0.415589529284043,-0.393774494394339,0.556749197134838,-0.455670539112852,-0.288616842932357,-0.719585035617131,-0.103903209919746,-0.315469002045824,-0.278000204239181,-0.244314275757081,0.356734576550533,-0.467367617287411,-0.371974033932657,-0.411097936243368,-0.314237477341106,-0.215736041140687,0.00600053633573241,0.469874122024184,-0.331447077987196,-0.269511484687944,-0.147586933075758,-0.151959770665398,-0.515498778744016,-0.710682615876829,-0.110968150687805,-0.255841565009844,-0.157872830645261,0.525524133941445,0.50632072746116,-0.499207447340988,-0.44060580541383,-0.18135697378765,0.568609052420343,0.316185948070458,0.466169508890884,-0.150389287024283,0.0429269793369223,-0.42288385575984,-0.192338903464768,-0.773228422046302,-0.344749527645321,-0.136707057350974,0.272739504620836,0.179394217558115,0.330287610389572,-0.345905356459784,-0.686795790128963,-0.475237176226184,-0.323476261666731,-0.357446006756604,-0.359614787259087,-0.401304081907935,-0.716824496915422,-0.347645454066426,-0.471965838758873,0.225145741038981,-0.357296262506566,-0.49769533945418
"PSEUDO_Ctrl_2 (GE) - TPM",-0.535953927093477,-0.45345122709668,-0.152059971019939,0.707544779838802,0.579634572830302,-0.0743372245635609,0.604144156825309,-0.392605224066049,-0.505405330128989,-0.6639630581649,-0.419157300289593,-0.780746880414263,-0.261310400558702,-0.777643000795902,-0.216114568225833,0.755650225874753,1.10885467836207,-0.192486986830126,0.486511923067709,-0.326909829710086,0.0457743173892834,-0.208302792392428,-0.252191021053025,-0.227696379902179,-0.0301108904663223,-0.623875906400712,-0.377749281835662,-0.0344284475255483,0.382113135790776,-0.240908549087514,-0.299283428400608,-0.217406546245211,-0.369763350930479,-0.41474151635628,-0.0360480817631732,0.440521598103098,-0.105403675325036,-0.10214291321568,-0.365794224841863,-0.514802616784749,-0.384997937856844,-0.577415507784467,-0.274471237580402,0.274898553440952,0.214657818702588,0.387063825283209,0.874082581751781,-0.633859286233248,-0.515190147563398,0.174136161261226,-0.437699513477144,-0.0263725241689346,-0.623405901319365,-0.146477219263604,-0.666072293717534,-0.525371757448795,-0.549948255721241,-0.305000657478612,-0.061771857857956,-0.503176621043152,-0.204092603408597,-1.00731417645878,-1.03763498597619,-0.466839478078191,0.233927202430055,-0.103970843845203,-0.0632290377687273,-0.484911518771271,0.74102401774184,0.215520729558572,0.991834604145698,-0.0625922473469578,0.278036562300204,0.609955080373208,0.916169396372574,0.158506663644921,0.17360520663054,0.8282630078148,-0.399623277178822,-0.458830450287598,0.742981283109796,-0.48466057973856,-0.997537358312414,0.635245083711642,-0.0754950306392876,-0.252586226253927,-0.287320497593524,-0.326341648642701,0.928352809159277,-0.452479797446652,-0.424029368270074,-0.451342936329478,-0.329261352908948,-0.24296060021085,0.505164782737471,0.639792988244247,-0.346945744323187,-0.184036427712824,-0.13140497111129,-0.312279450335938,-0.544189459155283,-0.229710925574913,-0.0762384441346058,-0.137203370275945,-0.119246652270515,-0.454531699417757,0.900770239683972,-0.683313762067998,-0.365025899367255,-0.450063584407402,0.807479149728366,0.712055597334546,0.236574370219381,-0.300571741485641,0.708685572254413,-0.260192970201058,-0.229879366446304,-0.315812093254623,0.357739947128708,0.0321274174507456,-0.448687310388378,-0.449105782340483,0.165882061718363,-0.403912920058652,-1.12202991319997,0.100401476982111,-0.321196583421717,-0.227172675306425,-0.270694085189013,0.228192071218205,-0.594593561569782,-0.170066650584904,-0.517858195371274,0.319907785640155,-0.360437387423259,0.699127941027725
"PSEUDO_Ctrl_3 (GE) - TPM",-0.507874744412865,-0.707982744972764,-0.472265784353344,0.662134736894987,0.405483436043566,-0.412392654395216,0.269411866138286,-0.392952769483008,-0.519165990583575,-0.627940727321156,-0.450230005643428,-0.642046702572282,-0.0946615066970322,0.0722891910145214,-0.321915583092057,0.643162300533745,0.676224863707626,-0.442216013860948,0.676710696934272,-0.431085260235903,-0.352314272609081,-0.220948005983577,-0.223937360267595,-0.244552997614632,-0.191775172731848,-0.597899818110831,-0.490562546110674,-0.0607905675068319,-0.0532248614232885,-0.439018794399213,-0.310853985236173,-0.275273029657512,-0.290733034048247,-0.26624664350191,0.321245593882044,0.876894365631328,-0.340104288908139,0.103805786746366,-0.623615150246973,-0.605540843713824,-0.416551637371633,-0.297003644369083,-0.369051455253849,-0.518545236790666,-0.0668670154522854,-0.0348441797759738,0.647371351309816,0.445059376551279,-0.916600891650577,0.572989629507004,-0.332323181512284,-0.750682115179128,0.0155702746599843,-0.176710793224758,-0.574376447659205,-1.12161451283505,-0.202897958631535,-0.333747376784899,-0.428385267695405,-0.266808163547017,-0.669821699236857,-0.780572009558236,-0.926718922977888,-0.496909969593288,1.12130450290648,-0.183266290883085,-0.35321013218541,-0.590415286341548,0.212864826038747,-0.151191006134373,0.121493852356722,-0.711057567945375,-0.635242934676884,-0.158532883201742,0.831566568706644,-0.685005194850912,-1.43823010145064,-0.362998614996128,-0.401367887385617,-0.404042803911889,0.0488620265473175,-0.646998899225007,-0.919997443159436,-0.270417485444644,-0.17325964408,-0.434110218804438,-0.202436521597384,-0.311959129337268,0.300363782678283,-0.485955131028331,-0.4183697667512,-0.410651905797032,-0.306848009930566,-0.431999931140579,0.537933309974083,-0.0316859730831801,-0.467974103957926,-0.385662400096835,-0.394657183031189,-0.756565225931553,-1.14190295379842,-0.302117071420187,-0.231374092079987,-0.63624738661746,-0.256875134352836,0.011012644846398,-0.0277508496544662,0.0503563568005582,-0.355766613450941,-0.409378429397046,0.818123039647318,1.48555232659589,0.0992178484908081,-0.527165829322213,0.401837937607672,-0.65628532993201,-0.224262127798742,-0.745568076616202,-0.554511830300846,0.223992551906372,-0.278324531750059,-0.218884557386404,0.285084775282852,-0.449179321243856,-1.04777788519376,-0.722226691082059,-0.321245464655124,-0.339441462812982,-0.33149297530904,0.212534732994838,-0.42814104357812,-0.0801710569416788,-0.563801083008083,-0.138313345265656,-0.367385957918173,-0.761479491286244
"PSEUDO_Li_1 (GE) - TPM",-0.350479280393649,0.0209099269363777,-0.0439767794933256,-0.0782666946205762,0.628020348383499,-0.20374357649378,0.465901599287794,-0.217979755289458,-0.502026801527483,-0.479388757640626,-0.196841560312916,-0.431295765544398,-0.0104417501003428,0.382587279978478,-0.599539150857908,0.192268462583789,-0.726862561073781,0.266737791600396,0.46943076996179,0.639183396329602,1.08357214466383,-0.336506148179901,-0.148467978604841,-0.191840516415726,-0.0865847741520277,1.21107031385322,0.283213084101193,0.838940574157854,1.10813604508901,0.358797735834624,-0.143147708076453,-0.124246599173776,-0.287566242168247,0.91974343907763,0.894213849044673,-0.147961822892579,0.892725521706019,-0.105364726806245,0.0873143975146527,1.01079390522184,0.627547335457024,-0.31404690233248,-0.0333123871093978,0.295806990514413,0.0850753601849198,-0.511429248984604,1.62067829083904,1.03104385978165,-0.245266793634516,0.106157824665873,-0.285490479084521,-0.463333961532957,-0.234037941222823,0.627184145655832,-0.215173106050748,-0.35301471794049,0.757085909892727,-0.25157019224211,2.24852723381173,-0.249073914127563,0.254570069488913,0.487831422994406,-0.227846533063653,0.251264275988905,0.0699628563127036,0.704613060310244,0.70047806316601,0.0318214015054774,0.651334786552814,-0.1258003997849,0.424030772800631,-0.522225193167865,0.419961501618999,-0.583947671860536,0.528526169995899,0.697503165357494,0.491820592316056,0.722475859218761,-0.332407591201909,-0.0405807651945595,0.282670378694958,-0.615361155773351,-0.650285249070817,1.08981588623836,0.238139150483192,0.468689834514192,0.309971648928653,0.114408478260016,0.293857788660432,-0.514861610241164,-0.398634961386183,-0.370616049057724,-0.361896961034542,-0.271184951984243,0.723782195441983,0.925850604563308,-0.262237815793755,0.157151636135795,0.20239210072066,0.0201886504171573,-0.0325536907826985,-0.152530034914325,1.35214994507028,0.652566981429944,0.10000944377076,-0.0981219417614908,-0.19661339981121,0.172683074585784,-0.677370613676877,1.10388599518094,-0.149443141111128,0.294961275458242,0.658829907848803,-0.205598836299388,-0.952078827798148,-0.54257183606929,-0.390181271765138,1.39335825934634,-0.645507376471697,1.18899150704352,-0.0577568316942935,-0.0322701729434372,-0.657775895914162,-0.153245578421545,0.501390987811773,0.757813213855934,-0.255166569780564,0.03829771109824,-0.122420081906527,0.125185095366364,0.150919799213557,1.10288120773387,-0.250980447766814,-0.424212765700856,-0.344548263680077,0.511255629522492
