"","PA0040","PA0041","PA0041a","PA0069","PA0070","PA0072","PA0073","PA0074","PA0075","PA0076","PA0077","PA0078","PA0079","PA0080","PA0081","PA0082","PA0083","PA0084","PA0085","PA0086","PA0087","PA0088","PA0089","PA0090","PA0091","PA0092","PA0093","PA0094","PA0095","PA0096","PA0097","PA0098","PA0099","PA0100","PA0101","PA0139","PA0199","PA0200","PA0261","PA0262","PA0563","PA0610","PA0612","PA0613","PA0614","PA0615","PA0616","PA0617","PA0634","PA0635","PA0669","PA0670","PA0671","PA0692","PA0720","PA0848","PA0922","PA0923","PA0924","PA0962","PA0985","PA0999","PA1000","PA1001","PA1060","PA1466","PA1499","PA1511","PA1573","PA1646","PA1719","PA1721","PA1845","PA1865","PA1866","PA2119","PA2147","PA2286","PA2287","PA2288","PA2539","PA2547","PA2683","PA2684","PA2724","PA2916","PA3007","PA3008","PA3021","PA3096","PA3205","PA3269","PA3291","PA3413","PA3486","PA3487","PA3616","PA3617","PA3727","PA3728","PA3850","PA3877","PA3885","PA3914","PA3915","PA3918","PA4140","PA4191","PA4236","PA4284","PA4323","PA4487","PA4488","PA4489","PA4490","PA4491","PA4518","PA4571","PA4582","PA4583","PA4584","PA4585","PA4586","PA4613","PA4763","PA5113","PA5170","PA5266","PA5467"
"PSEUDO_As_1 (GE) - TPM",0.370398786037011,0.157397130385844,0.224089330460155,-0.233946003386562,0.504071271737049,0.652773845875401,0.125134674250025,0.512083611155963,0.481776568808336,0.355887649687043,0.669648088966874,1.04819436969735,1.20841557796623,1.60902885528684,1.09258197174709,0.551466584799908,0.760011020614645,0.640542800387084,0.233706867686086,0.305254474219306,0.359812385232383,0.442464487502329,0.660739178456238,0.234770370567752,0.216643841421739,0.979256363262393,1.0510724069415,1.53914397972166,-0.291606699114298,-0.26081835070488,-0.0973301919046457,0.00128330050469484,0.206514416524264,-0.0977972755897382,-0.315748936469686,-0.247269587395081,-0.147410380593933,0.892363131219559,1.42978067555377,-0.241471692975583,0.151216667397614,-0.436437978530322,-0.00465730157152141,0.165471571147478,-0.409055844499347,-0.41855787598434,0.218842372872189,-0.0477481692514698,0.0285270908109274,0.203391458128197,-0.867207958249191,-0.47713949962402,-0.493161918185872,-1.12047699868364,0.382524689570837,-0.383076514119048,-0.380691120834519,-0.558223039388402,-0.136136911912219,0.362946319811713,-0.737073411139249,0.307214529917281,-0.08918933628685,0.201494874589786,-0.841692175829001,-0.306687411886573,-0.535413935500732,-0.0523228966212348,-0.0847115894515595,1.28562250251716,1.93921241620768,1.35520592075322,0.69166028074847,-0.524281798467873,-0.653904595329598,0.196288302305799,-0.181498855139133,-0.451995592588059,-0.456842692495667,-0.434389197995725,1.43250546050742,-1.1529975703141,-0.291099151493654,0.789442925644085,-0.588416235424561,-0.198954889259814,-0.418430941107175,-0.401619016378872,1.08342033008475,0.902409943097226,-0.742224923629624,-0.717727848654593,1.25031356010737,-0.626012854271986,0.253263436750331,0.0612998009975413,-0.376125255563028,-0.354136278587828,-0.0845085673693965,-0.0176111379212603,-0.126450293526586,1.66302853816224,-0.678504472438332,1.56269159097866,2.6638760654128,1.72812244771372,-1.41534845962793,0.0632297619819779,-0.387989115719499,0.417194016810383,0.717381864914846,1.15249625616356,0.234580581737486,0.932745310813909,0.942766896749971,1.32238432365675,-0.138824585868215,1.58819484564982,-0.770263226322313,-0.253326797841394,-0.565514994205054,0.297283480459163,0.871908362465048,-0.459653021334747,-0.343187722215696,0.902075662228045,0.648818101510755,-0.918161501043597,-0.00784528343283908
"PSEUDO_As_2 (GE) - TPM",1.0306762442279,0.241158606759171,-0.599539550006063,-0.158686095187989,0.740289229752331,1.15688508542867,0.433775867405114,0.889347822297,0.632220598282934,0.844590921078088,1.00637736879758,1.09598903149037,0.873598940378855,1.55931014493437,0.196020438798164,0.40126539737653,0.905500918019594,0.778469495978836,0.465384672286929,0.430973167595143,0.228082445351483,0.723693118910854,0.775305827662483,0.421289749686532,0.475285921548243,0.693162765870631,0.955896280257515,0.576813202346363,-0.39299924411037,0.131247181074377,0.420116262969185,0.391751503366522,0.876809798122987,-0.380249053608091,-0.0459131533604099,-0.23301529488856,-0.307956079967774,0.0818508936994209,0.529825781406758,-0.184110193692825,-0.196504649170685,-0.546027205566048,-0.384694448122606,-0.43936307646673,-0.203937882943823,-0.205769407618093,0.117457635591025,-0.785508512836559,1.13464270976358,0.69128890976075,-0.827325017215146,-0.188277230777435,-0.224620143907073,-1.09178281561129,0.716166651717885,-0.787285559284365,-0.399613271925845,-0.510138172548775,-0.575850578069087,0.0954503177322091,-0.959359772622828,1.21466624756142,0.403733898295083,0.754040519764712,-1.44357876848174,0.00697539597814329,0.865873006039076,-0.431532087261647,-0.283715763312168,1.63482296050639,1.05903763106447,1.0531791542684,0.190394644926468,-0.643695788434447,-0.536736279407855,-0.466228974339457,-0.750152627330606,-0.440527704593136,-0.318073408034098,-0.484910450395234,1.47409130838238,0.044186753893315,-0.386305725917159,1.08370674374749,-1.39935008990596,-1.52044008150729,-0.577510249547588,-0.453358538407275,0.772252365500764,2.00131372216602,-0.514290858355142,1.00292708086669,1.10268717187795,-0.574148379375799,-0.653678921129929,0.149836142647056,-0.316311738667463,-0.29420380888946,0.0803881504823031,0.297180072067959,0.445958514183172,0.903482635211823,-0.526951877407985,1.71411763046587,1.03605549344013,-0.700798747911866,-0.636220961285217,0.924209334224889,-0.524377087432575,1.49884220452787,0.64707981382841,1.7478018414423,0.523740882116156,1.24090295396044,0.839369330187735,1.77752584503589,-0.384164646919707,0.894881949800124,-0.857882142374089,-0.630361176451797,-0.149500033602673,0.461580780221854,0.394557038882897,-0.534635089554314,-0.3516822871071,1.35139760026008,-0.0801041488638947,-1.00088383860374,-0.95898536737268
"PSEUDO_As_3 (GE) - TPM",0.474745081365894,0.467259111080735,-0.254972590486369,-0.169485293281174,0.57003017801737,0.925283321344302,0.426753092267851,1.08277737380377,0.671326635961577,0.621394204511128,1.18938700168981,1.45263833825726,1.18842993768124,1.74104600911765,0.304542138171469,0.218911855420319,0.862976779339299,0.694876414346145,0.435568589198488,0.440653115333828,0.413913701863645,0.696987060473351,0.876478570882155,0.441622516814148,0.386539374836113,0.864676349304085,1.19130668862011,0.476862625699732,-0.171340759739858,-0.0360445199547535,0.471477921116177,0.562999569708916,0.552125568373874,-0.120668878946716,0.00555643001355703,-0.19006207545973,-0.315365645287289,0.0521845917717758,1.17115041176194,-0.206428463690434,-0.124721784237474,-0.273964104468193,-0.249259936830726,-0.371978955768196,-0.243884533652116,-0.526996844463695,0.0401717906588077,-0.657886311376998,1.19062264162285,0.382804207384932,-0.601301082377397,-0.23325455369752,-0.314380907470437,-0.641114334065191,0.558174756902947,-0.710862051145766,-0.372665776490694,-0.49104423667722,-0.833704287866449,0.169275581966673,-1.08231957731776,1.66621901180221,0.636556884312345,0.781517044921696,-1.22713326908516,-0.177416092715161,-0.209413739818377,-0.338629912307539,-0.608415423280197,1.23258488065926,1.17385238683984,0.826726715406226,0.663699753879452,-0.500444642416164,-1.11599430173165,-0.70268425425481,-2.23446957990633,-0.347894237146956,-0.453819558431265,-0.431127917064794,1.49588713042196,-1.10020109925936,-0.0858233749962912,1.0967111885603,-0.343789972435004,0.640623293125088,-0.565447338978242,-0.411137013716653,0.822185032373424,1.33864750412167,-0.632524214274359,-0.7246309945696,1.70116340402483,-0.681881225343011,0.301278223076408,0.971944016128474,-0.259442520220634,-0.381741689471429,0.0839484015476059,0.444498360399093,-0.655980877200001,0.928771042497976,-1.12047953819844,1.75950446133519,1.00985626927155,-0.872676619964828,-1.82044686551146,0.18763065115797,-0.36188888598507,1.43006308365631,0.545085914091955,1.59436267000217,0.628567156147297,1.41784584992335,1.31634133583966,1.66321572451346,-0.361970908737272,1.16906265885821,-0.430770293706655,-0.0349077590943858,-0.964803569929242,0.455028524381981,0.921078022629698,-0.460577637048569,-0.363027814136404,1.37275911788735,-0.00936252051560532,-1.3666376007637,-0.742291248097446
"PSEUDO_Bs_1 (GE) - TPM",-0.208115617862998,-0.305009558590976,0.0152725083980166,-0.278251586166246,-0.384665215082596,-0.0336475974039338,-0.236457229694681,-0.317157636226667,-0.288204230588015,-0.355728210530484,-0.450536346412582,-0.401251810483315,-0.330400513182717,-0.423382219728382,0.189835637944511,-0.30222222669083,-0.597586895281424,-0.48103587734884,-0.391900265135378,-0.464325615600077,-0.317080422406123,-0.392595286224539,-0.370331650852175,-0.254417633539028,-0.288394605708896,-0.472514874493747,-0.498848449568095,0.0342685874395129,0.294281422796782,-0.265154753420224,-0.406397246396738,-0.2590860059114,-0.220740329864835,-0.374447041893353,-0.290449624491669,-0.302785152479034,0.472071248320514,0.567325998167248,-0.386008599435448,0.183788261456907,-0.153488194350381,-0.544981251153322,-0.277271274600756,0.275818727429387,-0.0438590700544421,0.257052001044627,-0.497459186030586,0.366674612489061,-0.387567734698057,-0.185217123183761,-0.24580817772642,-0.399401706736716,-0.378378982902614,0.369471992497931,-0.466115502513352,-0.393671831156202,-0.061859566209195,0.0875762411507781,0.513761949053519,-0.379993634212023,0.040834299150062,-0.637577201456994,-0.431340345389576,-0.403517003526936,0.587081570515589,0.26062255499592,-0.915000949982859,-0.174652212264497,0.0128405185048089,0.128523553942955,-0.557550473994588,-0.709095397408582,-0.0880824526333822,-0.275279049051131,-0.277019014088685,0.201576407955656,-0.615064025417893,-0.316324463961827,-0.361886933872609,-0.386629849637296,-0.748821514808512,-0.658589575612046,-0.459038975480707,-0.466482679990058,-0.203422662306841,0.590491336275812,-0.315012282351864,-0.275426159166893,-0.535148794058921,-0.193523522882303,-0.688696378041484,-0.832242559353461,-0.127735181763808,-0.24789206235795,0.477710988418243,-0.845930874800488,-0.767744697791747,-0.355344848165147,-0.310430745968306,-0.463704383233595,0.784115537189399,-0.575040753537221,1.03522659699057,-0.515878013698682,-0.391947645044262,0.514370755222803,0.0581240239236049,1.38854651122739,-0.0767242140059487,-0.530202035628004,-0.0810934077935023,-0.245972735785469,-0.344082649199201,-0.372302714049006,-0.219080347600621,-0.274707281365934,0.0181924685226688,-0.544879087977273,-0.198968702628897,-0.518672911379402,-0.00171113574824761,-0.386936838761266,-0.137462396339614,-0.229864084236922,-0.243517285309655,-0.313596383782421,0.472245637961464,1.12939387044356,0.752340993158113
"PSEUDO_Bs_2 (GE) - TPM",-0.316368138176603,-0.415575690723004,0.283768535663833,-0.418212799540196,-0.550410137138638,-0.203373329942041,-0.296102762462021,-0.438210350529362,-0.329211078132183,-0.366254881610972,-0.574533348475897,-0.428670108955495,-0.578751741183224,-0.402425317578187,-0.333804187301771,-0.27656778707337,-0.635478836550529,-0.513097083247185,-0.605591860874438,-0.407016778056553,-0.427569677790796,-0.450865865096155,-0.365854959530285,-0.406357325867877,-0.417395898108002,-0.45126689846405,-0.526098176105763,-0.415146367899616,-0.164404602196246,-0.104334952213379,-0.341459618336273,-0.463637280562401,-0.400938586468836,-0.222236900346234,-0.438004465570284,-0.323719222460187,0.245453680395104,0.661351010704392,0.176145649947703,0.309257927333445,-0.19477746738657,-0.671347515352238,-0.230345876616106,-0.214361106155154,0.0445458383835715,0.421357599908823,-0.242219687553275,-0.325298380940415,-0.488415544785979,-0.0827829506003071,-0.154227669970907,-0.314946355073088,-0.500299696429854,-0.280030907045387,-0.377316999872461,-0.055304926326684,-0.108244705954537,-0.494816365611986,0.113425734390554,-0.459400630549265,0.593165952290676,-0.826211172800195,-0.552940021950998,-0.364115242276099,0.53263900337675,-0.147788667695051,-0.743836774339311,0.282794021290575,0.562478465788574,-0.534793923554007,-0.217665293734064,0.55272001289373,-1.07902076313865,-0.370358164597321,-0.261925679129192,0.344362080957032,1.04618002439367,-0.264727288264247,-0.359086603139689,-0.375030141099821,-0.79242187901278,0.082471902451999,-0.730021197325517,-0.442987517583561,0.821867803358513,0.157388680433921,-0.295792468867581,-0.153163133882276,-0.674821299073973,0.194009823466828,-0.648103723424656,-0.2886706535131,-0.264181010637645,-0.3582460910634,0.532701744059249,-0.234232714511598,-0.576073441519662,-0.321234105060647,-0.419249087396232,-0.541963554903213,-0.370652643455773,-0.605114782331307,0.790284565758256,-0.560589780144052,-0.448113962442305,0.268680199154072,0.64245645840277,1.62160866789907,-0.0208879124786569,-0.587305659720198,-0.0763254057576411,-0.283433631501468,-0.459589845861415,-0.520169579271364,-0.254161990717131,-0.202768449980235,0.105767735234608,-0.405985426637034,-0.427451230010241,-0.487432991070459,0.260196649302794,-0.386295010405134,-1.09156895020084,-0.252400123133183,-0.299113014137968,-0.602799229730692,0.355632545752446,0.318559522832298,0.219932541383652
"PSEUDO_Bs_3 (GE) - TPM",-0.361369029912252,-0.389998151778779,-0.00438689434893545,-0.333845806831326,-0.55567927704143,-0.282952229598674,-0.293781115378323,-0.47254090319891,-0.543079566501818,-0.482252890608472,-0.463989279473143,-0.513982929113424,-0.559820314963225,-0.450842858951546,-0.167637141677166,-0.207383074917339,-0.612995726795974,-0.541854147037711,-0.492398940228355,-0.362327275659336,-0.377440220254317,-0.429652924421252,-0.405246980700884,-0.398674362877875,-0.425170246493655,-0.446216003523563,-0.56145170920376,0.466257446613935,-0.22005011115361,-0.547067872688955,-0.420076467642782,-0.376368207909855,-0.461138887180551,-0.0477763388002822,-0.384987677720992,-0.258669876373588,0.46027299864552,0.501698505961629,-0.610009735903627,0.10002958681651,-0.250551369014605,-0.591238730189541,-0.0931120010733954,-0.0621452696916097,0.188048364611698,0.348250043322334,-0.149069038561684,0.246757074987511,0.121644927956396,-0.448695572475552,0.0743827522599372,-0.577933124049089,-0.355561862323116,-0.318739411653401,-1.11391588591,-0.889192583910003,-0.132946162286209,-0.00882667722559321,0.271991996273418,-0.326682843925428,0.50660712041551,-0.643857212951182,-0.417184945231303,-0.512712226657608,1.00093919710481,-0.395104480900924,-0.91611571243427,0.0491499644845629,0.697185147454311,0.316607433271995,-0.468074561103537,0.0388076349997292,-0.106162071081162,-0.297776098858355,-0.456871878204208,0.160687697203633,1.27761732940973,-0.298143662119935,-0.43136148159155,-0.344021194283733,-0.746550415127558,0.964056720658219,-0.543874864531932,-0.496642740652056,1.39049914863086,0.807302656012787,-0.330331391521371,-0.257328220550873,-0.60721411393545,-0.599687983383333,-1.00779631764791,-0.547969264915749,-0.0341512222047425,-0.229005473904682,0.488466219304391,-0.848813878872011,-0.490848664659124,-0.42919342887135,-0.622507194602488,-0.58427538492657,0.087381368427285,-0.542299218148276,0.546031221584925,-0.597745901231848,-0.404671637965937,0.551432256211356,-0.255456369142618,1.26879882798963,-0.0235502765339002,-0.423023501247376,-0.000489703777963874,-0.203570872606592,-0.290034683483068,-0.432137768504306,-0.252371132515159,-0.195657859208414,0.570958997356012,-0.437473002814047,-0.910480194278832,-0.67394969154734,-0.307392562071729,-0.251777042117436,0.733312622783748,-0.257447724018855,-0.311739483899587,-0.565310328068511,0.205553642938558,0.792561412359142,0.690585252247111
"PSEUDO_Ctrl_1 (GE) - TPM",-0.0799789801228698,-0.295499377904123,0.335410527325343,-0.537110120808923,-0.0980932743717374,-0.252365250168966,-0.382420500752779,-0.235343579753488,-0.254067059763369,-0.556353756180907,-0.417712006167561,-0.265263390537009,-0.213244960068417,-0.360056507751362,0.309104970094534,0.142731685273358,-0.363035965702152,-0.328369694246656,-0.353878573476768,-0.412840557103035,-0.318481889944837,-0.309113306501307,-0.345535163598466,-0.310025880572483,-0.341261476187338,-0.225701577083313,-0.196934290448535,-0.0506420390805989,-0.0348439436557569,-0.160101683388467,-0.332555922477614,-0.390073781817005,-0.182721913356415,-0.16889182760123,-0.370663507014114,-0.176866164432578,0.595894489680533,0.733451744585177,-0.419793922540982,0.0784712872597947,0.018550499867203,-0.610675086208525,-0.142716703391677,-0.188355718819653,0.0926228392113877,0.262577239354983,-0.303868772209093,-0.00852414902287725,-0.156325945501409,-0.966205356374535,-0.308783896111323,-0.530199526533135,-0.496725877908307,-0.173439518346139,0.826864937238783,-0.0408005546368805,-0.259864407483979,-0.346161305156101,-0.0586570095914656,-0.303799724072024,0.121851941740291,0.0141104925880922,-0.0666416545757479,0.118122800702809,-0.0317021692711919,-0.283774616611888,-1.46654358577984,-0.220395016067519,0.0460612126054358,-0.300158334586729,-0.123519454477433,-0.289809978348031,-0.0601752623039195,-0.311613121228514,-0.39082999777118,0.330758369104037,-0.61784488907454,-0.406866276420275,-0.460756484729575,-0.391233538959861,-0.413441145694449,-0.959979262246816,-0.516126678163586,-0.305203436156751,-0.650737931424552,-0.185203158693417,-0.36702418070425,-0.345548943719406,-0.306041519509871,0.218500500987071,-0.5702578272327,-0.685038961199186,0.117166790230102,-0.278106517017972,1.10371335053053,-0.594114797466131,-0.713378298518734,-0.405678497985281,-0.458942771871746,-0.534813303444651,0.472222231689737,-0.533228088407143,2.00209208284181,-0.447013617952768,-0.370437348671352,0.345236368593167,-1.40962461430505,0.267981049060723,0.301377573584344,-0.272856867773588,-0.256625819323336,-0.0779668661927653,-0.43995514960401,-0.233832413331975,-0.0335328611850087,0.0173501054392356,0.515721722151574,-0.161369060097214,-0.285211604409962,-0.268589727315813,-0.212441610849588,-0.314834597079575,-0.310094422161955,-0.390480258837804,-0.312750444707867,-0.157954499217651,0.149633640658416,0.836993195358724,0.305561775366738
"PSEUDO_Ctrl_2 (GE) - TPM",0.0273121983839466,-0.311100751650731,-0.13200682761955,-0.403375266995994,0.160461671966159,-0.025151263747449,-0.218860530586435,-0.264348872425898,-0.316180442374952,-0.457142639262607,-0.447210725325751,-0.281049847898921,-0.297129480357553,-0.484392298180273,-0.0421484950679217,0.00430442494948102,-0.459524240468536,-0.412069169393379,-0.353336105349575,-0.381954159694588,-0.324871915590513,-0.380126010081358,-0.362891766797484,-0.307048608123148,-0.279109232060477,-0.43488679039569,-0.191273139953389,0.025961098859517,0.0448432633946418,-0.317584700407337,-0.281996912951916,-0.369879813042926,-0.205297570356702,-0.129604862200327,-0.24084099201715,-0.366771473298166,-0.0640411254613812,0.461592461860814,-0.261231015185658,0.0210284357088329,-0.308205050219215,-0.614320165691335,-0.0273905335292998,0.340505111798158,-0.110795613178216,0.448163550084797,-0.558209977699764,0.208828333791885,-0.857565930382907,-1.05292156677364,-0.151161320969289,-0.485832068888559,-0.477184160344304,0.0113916859284292,0.147162184368811,-0.197956513959539,-0.296449618897261,-0.023276457175647,1.44527860324211,-0.599283077065388,-0.26860199783902,0.217612419766645,0.119952197121656,0.232693469926308,0.395749949981741,-0.159628119964774,0.786922304700092,0.335619630041248,0.515090246347233,0.165096467622083,-0.615039876316685,-0.692149420493279,-0.119029914088345,-0.370494212446331,0.186612373217647,0.283325822849203,0.522250735172775,-0.314049099193912,-0.334479377019456,-0.320322948298495,-0.458763185380598,-0.283287889730713,-0.435587267078959,-0.322957991892806,0.393193169436958,0.121178654469796,-0.350952324195342,-0.22590940578209,-0.501590210320356,0.602429294290594,-0.677965463781289,-0.333835901538967,-0.701860876758336,-0.261316101325522,1.18640421964837,-0.182750169624691,-0.714373501320685,-0.335916973647441,-0.424182163250934,-0.551961197094506,0.455126720782857,-0.566909632564379,1.56625440074803,-0.543030581143516,-0.466498534925672,0.470831307362794,0.42523195952757,0.641532959255973,-0.378959987255879,-0.266289501217672,0.151816691240655,-0.179557581804351,-0.368898388011729,-0.205727946195532,-0.121040541585386,0.262828398817086,0.488240773884141,-0.448321289347709,-0.0610959594511468,-0.463070754282527,0.42341437235602,-0.339870040473337,0.136475457160149,-0.253851206424621,-0.318533395889907,-0.17166803613218,-0.162680753526189,1.11439535787644,0.457532371207562
"PSEUDO_Ctrl_3 (GE) - TPM",0.067168915157248,-0.417703680520463,0.324114043719083,-0.3617972658696,0.132534650283822,-0.0839608990849547,-0.395303526819402,-0.379118830778644,-0.375363855755391,-0.552627733298797,-0.518835018835309,-0.308084214951684,-0.306092943509046,-0.265764592502467,-0.0148379238249937,0.0218184700699895,-0.52056005026329,-0.378769378603595,-0.357572654549854,-0.434552958313528,-0.316728066714434,-0.365434352883278,-0.423162215679547,-0.349598898511884,-0.35654900096781,-0.40016114073915,-0.433583677011938,-0.239480481804547,-0.150780297312765,-0.523903607683472,-0.434783797131617,-0.476937978913014,-0.276823694043021,-0.183395084535294,-0.469292780748449,-0.241430026392407,0.025010734283803,0.418917320129751,-0.235115919265044,0.0993400928572324,-0.20761496355021,-0.531193436455158,0.0159729145034878,0.0861071592738755,0.0941057868388417,0.280737045826448,-0.00961309483468816,-0.768282751399889,-0.512382139318952,-1.34664128888322,-0.177726009191095,-0.553227098933928,-0.421172112762671,0.585072294983338,-0.584465922240407,-0.0720352791984267,-0.277827120238961,-0.157804586209524,0.829972167019613,-0.3699752521244,-0.0689559321940381,-0.116079430068107,-0.110301651912442,0.0571688214448369,-0.16499573290785,-0.265859226030225,0.258605406504327,0.199001854723639,-0.256987097723599,-0.361790401965921,-0.49878404257927,-0.774446784046909,-0.427140967510121,-0.471799827733514,0.31216104659267,0.304058249537537,0.123255464981709,-0.404756220562452,-0.432781790675172,-0.35678302000823,-0.547912430740232,-0.451914493773431,-0.365071278571346,-0.382907311965656,-0.0528066811059377,0.806584351306809,-0.348559985563816,-0.284133959192446,-0.475814109117371,0.507282309121349,-0.730760499172109,-0.487181568973268,-0.224932420610446,-0.409225599559664,0.655429102810614,-0.441582291829221,-0.579834140774045,-0.394716851490669,-0.458673837854183,-0.51830210850076,0.265053966753404,-0.613895195873279,1.12794109452715,-0.55360046008262,-0.467220542801787,-0.193561441509175,-0.448697273602576,0.73473581448227,-0.230277440708423,-0.575927947106475,-0.117582397240873,-0.404403415779006,-0.57620858063596,-0.349002854891748,-0.316262251406263,-0.0163168597815332,0.714480647395979,-0.537685974329892,-0.386003940955009,-0.439577023847771,-0.157387054190559,-0.38220358029663,-0.394951396587673,-0.159853002895054,-0.28971306071984,-0.117302936147203,-0.076010859155949,0.772712347269168,0.23675674429846
"PSEUDO_Li_1 (GE) - TPM",-0.624514932305805,-0.170582982677374,-0.196172695928678,-0.25117430318357,-0.127263075943786,0.0175530815063755,0.0376071153254454,-0.135730016133001,-0.154544970636697,-0.220609754662955,-0.343963282857496,-0.448087873339356,-0.357712008100372,-0.53394172856605,-0.193739259869637,-0.584495344878878,-0.465270544447803,-0.464751193745032,-0.0471160530473152,-0.287318313357163,-0.332492590870427,-0.344661244168074,-0.43101567394222,-0.335343556311186,-0.25353094640896,-0.538365363668887,-0.590496972435833,-0.712088645514651,-0.0119075770853088,-0.383253995226833,-0.230912585507453,-0.376214115307698,-0.368351242059858,0.612812769535757,-0.198477270778894,-0.114271145518654,-0.78929894538539,-0.883079589853982,-0.386447538516796,0.102963759089887,-0.600415099137046,-0.415089974554206,-0.423004219689232,-0.328136374671232,-0.197776401878878,0.480732244122066,-0.300063680200657,-0.950726141725486,-0.767572551923563,-0.357608095240386,0.37186037699331,-0.177972955281475,-0.429320321189572,0.848230057554641,-1.71754550352157,-0.52660655427573,-0.315957575998653,0.245753056330075,0.16818218024656,-0.499885118692371,-0.156307561965622,-0.243324052378158,-0.0286649160601916,-0.154926517975462,0.327190092190445,-0.34932155249602,1.09099311538411,0.122762754428292,1.15662502622097,-0.281968216393208,-0.565613965322323,0.086038329331123,-0.328368696358976,-0.293669220818691,0.703205107779737,-1.03149209527659,2.36393505094458,-0.343721611671298,-0.426991647686613,-0.35557553560926,-0.631536451713184,0.186379933796303,-0.371536775134361,-0.351341244053262,0.589436204067121,0.304125122175365,-0.377903716364644,-0.303236557883499,-0.53440031260035,0.550338149562206,1.08717254219976,-0.529084807336857,-0.456299709793228,-0.362884237290127,-0.364055830970298,-0.353609236860237,-0.625018189298551,-0.479542535357788,-0.372423275484263,-0.412713340708157,-0.321252353660757,-0.529347942760268,-1.12834069917361,-0.380827965534125,-0.444950635830185,0.207975243805206,0.600427466459096,-0.516812357073204,-0.07806102888487,-0.0346641965932774,-0.572207109483099,0.157695642226473,-0.0836368258230866,-0.27362407326134,-0.27467219513549,-0.344644413884216,1.22212642658938,-1.03456132600115,1.01124583501046,0.615768828461531,1.27504922047408,-0.305018746866148,0.407560035236551,-0.102748352540461,-0.486230070979051,-0.0742945350561149,-0.922578882753218,0.295581369406751,0.663855770742368
