"","SL1344_RS23745","SL1344_RS23930","SL1344_RS24180","SL1344_RS00815","SL1344_RS01200","SL1344_RS01205","SL1344_RS01825","SL1344_RS02410","SL1344_RS02595","SL1344_RS03490","SL1344_RS03690","SL1344_RS25070","SL1344_RS03700","SL1344_RS03705","SL1344_RS04590","SL1344_RS05720","SL1344_RS05770","SL1344_RS05775","SL1344_RS06340","SL1344_RS06415","SL1344_RS06460","SL1344_RS06465","SL1344_RS06510","SL1344_RS07295","SL1344_RS07925","SL1344_RS09000","SL1344_RS09600","SL1344_RS09755","SL1344_RS09985","SL1344_RS10605","SL1344_RS11875","SL1344_RS12475","SL1344_RS12955","SL1344_RS13300","SL1344_RS14415","SL1344_RS14835","SL1344_RS15250","SL1344_RS15695","SL1344_RS27175","SL1344_RS16830","SL1344_RS16855","SL1344_RS17575","SL1344_RS17580","SL1344_RS17590","SL1344_RS17840","SL1344_RS17850","SL1344_RS18030","SL1344_RS18145","SL1344_RS18155","SL1344_RS18180","SL1344_RS19025","SL1344_RS19390","SL1344_RS20340","SL1344_RS21190","SL1344_RS26160","SL1344_RS21375","SL1344_RS21380","SL1344_RS21730","SL1344_RS21735","SL1344_RS22240","SL1344_RS22420","SL1344_RS22565","SL1344_RS22585","SL1344_RS22630","SL1344_RS26245","SL1344_RS23120","SL1344_RS23170","SL1344_RS23185"
"SALMT_As_1 (GE) - TPM",-0.509310015173531,-0.913878176012313,-0.378430796603366,-0.983011136262807,-1.00045430109221,-1.40618832599842,-0.446380151283467,-0.715993325945243,-0.561136495140939,-0.134669556811284,-0.611861984437168,-0.305649939458458,-0.46581986194912,-0.588811893037755,-0.984464872565396,-0.918002921002966,-0.304862664322221,-0.81700011167611,-0.310731574407583,-0.133744081854966,-1.03660147592409,-0.827808979878333,-1.2552512649624,-1.05284728940197,-0.763776887920569,-0.571834054622608,-0.963607254184936,0.326218824124147,-0.636018492556092,-0.843736062695225,-0.968996582053717,-0.634355610700174,-0.410681033598741,-1.24343682901309,-0.440064894848238,-0.469960533219752,-0.883219365574411,-0.927024313242934,-0.412626697162995,-0.429928569434241,0.073401842063041,-0.97367209601985,-1.08839036340244,0.301306851426982,-0.931497700226642,-0.137679745355758,1.00586820027486,-0.744909102284864,-1.03073780247009,-0.348635936228265,-0.288056193478105,-0.603404526757497,-0.313417163452111,-0.546336668269325,-0.0992051800399756,0.0181238537125088,-0.489424834078592,-0.667236713740486,-0.688092492646028,-0.848355466001685,-0.820730864499044,-1.03969758277765,-0.477646232343042,-0.00950031379693726,0.205576879602299,-0.981097858039834,-0.246354122167705,-0.630472423701158
"SALMT_As_2 (GE) - TPM",-0.256969097071642,-0.983783301625488,-0.331949021531833,-0.734469974763508,-0.7474059812056,-1.24623051354387,-0.503916861356999,-1.06859293467897,-0.816023262812667,-0.156683912398645,-0.623920851112199,-0.487443023240566,-0.477107350067676,-0.556143865649444,-0.96981545323664,-1.01160800072812,-0.375241520562137,-0.878925428762774,-0.472087222176169,-0.170565922362744,-1.19707276957463,-0.750293634391309,-1.50297408762199,-0.968535661814577,-0.688935248587173,-0.568570360991381,-1.00858956617023,0.0219242779406134,-0.874899963500605,-0.828037355333389,-1.01585795019186,-0.686330330617733,-0.600985358367993,-1.54696207102071,-0.370356332398545,-0.532266444456545,-0.739885982882231,-0.915535759630788,-0.558888136676165,-0.646148394947328,-0.440115554516356,-0.85596096099009,-1.01447654075848,0.362946286001829,-0.814488609195617,0.0253384413901201,0.564318936621894,-0.884616307510973,-1.06887330489513,-0.323914081726219,-0.259959482413003,-1.01715486562826,-0.225009413669634,-0.572649611060417,-0.0348016481347001,0.102449116040053,-0.463345343890129,-0.824048099054104,-0.885023250166764,-0.835683689458829,-0.666767469215493,-0.9224432666979,-0.447555236935463,-0.383417914884499,0.453944308401559,-1.07715885590732,-0.517842580593186,0.0798647600430989
"SALMT_As_3 (GE) - TPM",-0.10139272984046,-0.982653520061611,0.0177729308448086,-0.874011854551562,-1.09747257054825,-1.24583453131547,-0.381844887140599,-1.01846565665399,-0.679811559963855,0.249731686551586,-0.597774635708517,-0.41011506089229,-0.433270123715609,-0.592228065514885,-0.978502980629077,-0.834287050142065,-0.325053307360185,-0.76320956647998,-0.767821990341293,-0.0314118272694253,-1.09550030428404,-0.81934824648053,-1.38961190736073,-1.04262912950356,-0.793070486510475,-0.535568243733024,-0.971088377749683,0.529093104344065,-0.606232850720534,-0.82020443655534,-0.973228923968548,-0.652905299886612,-0.251377425672853,-0.837361582517469,-0.429916145660148,-0.528621138132162,-0.804315631019376,-0.888820341641749,-0.223041155070717,0.0648900386196179,-0.528586790266269,-0.90981279993155,-1.00264077332574,0.245759458028583,-1.01497873981408,-0.0847856744913096,1.02248541051641,-0.733035264122115,-1.1054217096601,-0.250402619163748,-0.319475575452377,-0.565557257397992,-0.160940428364062,-0.5955173587904,-0.364559583304286,0.396241167006272,-0.5092731926011,-1.0012771747337,-0.874015715419922,-0.674560468094199,-0.73209316987872,-0.889783578661499,-0.532952828380117,-0.232543742539882,0.639630224639706,-0.938757643007269,-0.405421517835805,-0.424659131321681
"SALMT_Bs_1 (GE) - TPM",-0.292516652225822,-0.499553316947316,0.314073947020779,0.523232700682559,0.282076302459131,-0.103525383916704,-0.392871199502159,-0.540353095377452,0.61562980324326,-0.343688714105176,-0.544829245971962,-0.530478292518736,-0.518542165082562,-0.589973275678593,-0.032037960779777,-0.447234513268879,0.656773767834163,-0.313783406011366,-0.299175214500779,-0.26192457400981,0.0463849986732076,0.229860328563224,0.258586993047194,-0.669074333903174,0.73770216032355,-0.595129952923136,0.0491912567972686,-0.371191827091437,-0.589863240188888,-0.743620411280867,0.934185786207551,-0.529595295408808,-0.434813403392772,0.53084888059548,-0.462214198280588,-1.00470665330728,-0.731360747778792,-0.881804849149592,-0.703135496617189,0.24745053043058,0.301407699173742,-0.16580401412125,-0.0759258272064309,-0.391192605956475,-0.0867591631177539,-0.547270885166663,-0.458216245173559,-0.696714624529138,0.298677815928095,-0.374306263033343,-0.433854649225295,0.718068761321654,-0.457779796678831,-0.500577151666436,-0.248605510514226,-0.35949335003383,-0.45885851288388,-0.548362735487595,0.030097771649637,0.492833791413286,-0.758413543370711,-0.220511047571677,-0.416909313029999,0.25388510109668,-0.164859652419034,0.202515141242976,-0.400574156232954,0.662638638414773
"SALMT_Bs_2 (GE) - TPM",-0.0689166983483778,-0.687001402391546,0.403099192178963,-0.0488677988903289,0.475673107264424,-0.165019049323094,-0.141225161986615,-0.447588613585817,0.484105760586327,-0.726145088908854,-0.548554305967767,-0.412694804900175,-0.506603257516836,-0.566816411915662,0.00379090588739372,-0.294489786612994,0.552289228328758,-0.288031072944988,0.445782555383204,-0.490569133132328,-0.0236139552744467,0.2758949784774,0.293623888050524,-0.568038921364694,1.21219413340182,-0.601658316505538,-0.0284091799984993,-0.701371755074017,-0.841467274686121,-0.718350900146308,0.370784804096349,-0.460837094552266,-0.500945511787957,0.870545189258625,-0.457386114195492,-1.11361729667221,-0.688089395066911,-0.874105557340529,-0.725709952652166,0.372396054647329,0.555297418721258,0.0146578349488777,-0.262397337660067,-0.383569519881377,-0.47824308954451,-0.583599377082075,-0.228118555761031,-0.680916963409522,-0.167684910820764,-0.384093136658916,0.0886086917650169,0.0616143736839386,-0.50044713772253,-0.45901784585484,0.119969834040102,-0.754378577255018,-0.419984475166094,-0.836205039468696,-0.277013794824045,0.90165033186556,-0.385797035834752,-0.705354199973722,-0.508494809379794,-0.374860393139931,-0.800989438833221,0.719706515100005,-0.63965827820644,-0.249383474594418
"SALMT_Bs_3 (GE) - TPM",-0.0844038576483339,-0.753599864373801,0.0192685694231455,0.0411403995323962,1.10938025120969,0.57719504716265,-0.388635800089397,-0.245161881169765,0.633584317825982,-0.25126592257663,-0.527042592149333,-0.68967845388876,-0.522079622678541,-0.582167909095922,-0.0590539309943655,-0.362094943260419,0.621520105156833,-0.126785475185632,-0.720686055597343,-0.437149643050894,-0.235652526981592,0.0926283580831189,-0.142012365773568,-0.726829516588271,0.435527369058323,-0.598489445109051,-0.0987637357478812,-0.0893433451569961,-0.399755729112039,-0.713076055320273,0.71064732628938,-0.451862160147575,-0.338802183312005,1.54325115876453,-0.502856113435199,-0.995362656131116,-0.782179458750956,-0.815857650669325,-0.707487440867371,0.404498195334055,0.0921687072858118,0.37887914405744,-0.1838543211657,-0.469326275485401,-0.418787222696536,-0.688080435840573,-0.273385063606559,-0.767752531660566,0.218375336092725,-0.200179292666215,-0.529082511470674,1.02172687470887,-0.430764786963335,-0.54486416342219,-0.707493130751973,-0.240668820082165,-0.385623818699093,-0.702944163839101,-0.482223122373765,0.500424922892939,-0.250389520995003,-0.595197991984076,-0.615275867360937,-0.161072635755413,-0.748496461366334,-0.00735955819721031,-0.333556505984334,0.216401152007348
"SALMT_Ctrl_1 (GE) - TPM",-1.45508246053546,-0.67269968605743,-0.132925338367008,-0.158010596593782,0.0285222336727946,0.1294345763332,-0.901479185268062,-0.749716100993358,0.437364451984397,-0.251591248683842,-0.465136404876476,-0.436356622319058,-0.473129371953867,-0.547013763224144,-0.213082418079683,-0.731221812672993,0.0152725747770367,0.0978566238543661,-0.0945424829176107,-0.248698872516286,0.634349999402648,0.274287983179388,0.0833239957363995,-0.631508990358357,0.297982658026554,-0.619438546119851,-0.0503324085177175,-0.431758552822422,-0.918808845547127,-0.552973441458319,0.845648974550658,-0.540666703815462,-0.242092000988721,-0.312128957128918,-0.572058549789818,-0.904282342556841,-0.798734010465229,-0.934862788951501,-0.959421778224481,-0.805051086995334,1.24262010928116,-0.0706238910152798,-0.0371988127155733,-0.33875209852024,0.157323768668887,-0.485041606192327,-0.202677931087163,-0.812012556124298,0.386639826197039,-0.567196341236553,-0.405957827061422,0.797706649223218,-0.145436506352171,-0.548051016351677,-0.707493130751973,-0.556336151527844,-0.453385285348763,-1.07381868139939,-0.465573359601308,1.19135162254737,-0.608700773314368,-0.928105879060136,-0.560429603878999,-0.221299892401404,0.0191302535022013,-0.953784184005357,-0.711337764959596,-0.161927725413467
"SALMT_Ctrl_2 (GE) - TPM",-0.837555355612819,-0.751176271342038,-0.403932087922186,-0.0807976367089084,-0.198653401440233,0.0640740285357778,-0.772127421415212,-0.713142396269547,0.12405490682557,-0.118271941905585,-0.506438876562967,-0.391354938859924,-0.467260790227378,-0.522504920291237,-0.168876747870303,-0.795354547214359,-0.0989743787730777,-0.0530896042322961,0.525878643243835,-0.240225641475097,0.791181156221879,0.473719408283134,0.151044119809769,-0.618651901156442,0.0600514790097776,-0.616976911372701,-0.0398696066760817,-0.293698197805367,-0.824678050428963,-0.608207242156276,0.813126253975557,-0.507025902251048,0.226901334523858,0.0757068691270336,-0.525271752847989,-0.904631475558857,-0.804412332498347,-1.03174735749912,-0.882707099964427,-1.00998556423355,0.576105224527165,0.0561876817655635,-0.143406124191374,-0.566313586764129,-0.124581307024551,-0.572559930908546,-0.439856006926673,-0.808543598859835,0.0952008657362668,-0.598896827244986,-0.516946845997103,-0.00282941396863373,-0.270200501923289,-0.561832443227983,-0.707493130751973,-0.557182827032168,-0.439589497063203,-0.916026626657571,-0.497248466332225,1.32823571952855,-0.840681920710931,-0.925917766956047,-0.381177671778843,-0.204332350232953,-0.233281237150947,-0.777980508459199,-0.567826436121942,0.182798813489449
"SALMT_Ctrl_3 (GE) - TPM",-0.429211099478553,-0.694676622720237,-0.0287306137315461,0.525707957394978,0.0173196528751653,0.376649127733791,-1.21956014901238,-1.12449005569181,-0.083478995511076,-0.915403994816311,-0.584331292351711,-0.660883281803346,-0.487485445353635,-0.530165645261915,-0.255685788802471,-0.673626257759056,0.488079021531597,0.0599868237934603,-0.921895452346691,-0.351141014744362,0.735316289605791,0.20773086922024,-0.0209634908658965,-0.718536098658323,1.47231456828487,-0.524387637962683,-0.0301200830811424,-0.628841531800492,-1.2340761997885,-0.566089172233749,0.580936723683434,-0.637100905168108,0.065647555418133,0.668929134161985,-0.492730865657612,-0.700554029069631,-0.583080354366986,-0.942993588442351,-1.45588261068182,-1.13596013861446,1.04570849335493,-0.195523915334387,-0.262378380330556,-0.339460557408735,-1.00782047732382,-0.501099856242912,-0.514225608086812,-0.908778564724676,-1.0648650530163,-0.42972274425893,-0.936961353578908,0.936480948287281,-0.572230076041135,-0.553486078255566,2.89057133730838,0.0479019029765823,-0.511441862701702,-0.73397874174744,-0.772441714973455,1.48453599022013,-0.904204623943024,-0.0978531698034333,-0.537895205999778,0.101951067372487,-0.892018685444653,-0.462873985818046,-0.278025706923094,-0.511108390326798
"SALMT_Li_1 (GE) - TPM",-0.424989856281078,-0.676453108405886,-0.573118996814922,0.0800386008552758,-0.563649695043139,0.281132270179511,-0.637233203346672,0.21893309072734,0.754444333949703,-0.926188608207772,-0.472335359914922,-0.129065839524084,-0.58394278525913,-0.59952576798934,-0.127659872424036,-0.603855186876648,-1.13543773829128,-0.852697138789278,-0.287069557611374,-1.05276881052657,-0.550574596891434,-0.812056476373369,-0.276976475984117,-0.847408062164106,-0.935793799075848,-0.553786819667603,-0.830231556480762,-0.672372686599005,-0.43437686584542,-0.6944634534236,-0.887462638085935,-0.433476991706887,-0.788193919880708,-0.660759896014613,-0.572058549789818,0.782775690877594,-0.725454329757843,-0.38194129238055,-0.847902331850162,-1.26049564051937,0.478765606935066,-0.406633641680895,-0.0745161042725121,-0.795578778573791,0.181658759779795,-0.436873682315456,-0.818666609960188,-0.438746856955091,-0.634642431750259,-0.393737391352388,-0.799770860393828,0.373329120552588,-0.47639748296337,-0.700748440650587,-0.707493130751973,-0.63524670305925,-0.520265247962239,0.242318249497042,-0.563729042962492,-0.510338470285944,-0.212232871448832,-1.07432328073688,-0.679194869417156,-1.34398505817384,-0.940703641025222,-0.581624577424124,-0.662018460862684,0.151574882305822
