"","B4U56_RS02225","B4U56_RS03605","B4U56_RS03835","B4U56_RS04425","B4U56_RS04665","B4U56_RS04870","B4U56_RS04950","B4U56_RS05295","B4U56_RS06010","B4U56_RS06560","B4U56_RS06990","B4U56_RS07515","B4U56_RS08455","B4U56_RS09065","B4U56_RS09190","B4U56_RS09260","B4U56_RS09445","B4U56_RS09965","B4U56_RS10125","B4U56_RS10250","B4U56_RS10305","B4U56_RS10410","B4U56_RS10440","B4U56_RS10445","B4U56_RS10450","B4U56_RS10830","B4U56_RS10835","B4U56_RS11455","B4U56_RS11985","B4U56_RS12060"
"SEPI_As_1 (GE) - TPM",0.338246702451082,0.504633925643213,1.525315117456,1.13449312481636,1.22174493173045,1.66582988807589,1.5250561044634,1.04583283561938,0.90976701357075,1.29532547997521,1.518836989312,1.14833405093,1.34657676556212,1.52665571197112,1.626241459137,1.42300773621006,2.40502135249215,1.76816599349599,0.857369282115283,1.83540776018268,1.96683943547382,0.929046316918044,1.52672085938565,1.2024676025909,1.31765186397774,0.826638849934286,1.05053355109788,1.35696816202704,1.06693188161927,0.946969702005396
"SEPI_As_2 (GE) - TPM",0.0874634225076565,0.556362475128312,1.55438681816462,1.60632670621545,1.69632366679137,1.55398392231754,0.936213105794815,0.524405522244405,1.11339509995089,1.10472189050373,1.47733488775995,1.33354231123964,1.39691236038126,1.64164167086575,1.52857979760176,1.41002618874266,0.987568003425448,1.94667896773615,0.533291916980262,1.896312604257,2.0301609131596,0.867021677322124,1.35625301380151,1.07593290980693,1.43852575157245,1.16818045080324,1.49956468642858,1.23180672486766,1.34620782289513,0.944031467973002
"SEPI_As_3 (GE) - TPM",0.917310444953409,0.540735149775401,1.60817041232376,1.40223150062138,1.6345672136328,0.915658454583421,1.27713537388687,0.655786999665986,0.911585685665068,1.77114683231105,1.49124882117781,1.0804408323854,1.67600209710924,1.29882297999926,1.69840425137185,1.18833120775498,0.970050244310792,1.8881413553085,1.16889733166327,1.90742753537268,1.60241263814055,1.07985890457786,1.33528753476558,1.04114640593726,1.25360802161299,0.904261152213884,1.42496991210293,0.753917323609671,1.99752747097199,0.865341634101584
"SEPI_Bs_1 (GE) - TPM",0.435644032047564,0.134361376310415,-0.292033476323681,-0.166138953432162,0.0358483786795499,0.34762779947484,0.434214721702207,-0.268495817487294,-0.277911905026573,-0.258738963546319,-0.1861043687071,-0.779085303033744,0.793466506256674,-0.0617470249639495,-0.712228390582379,1.01863522692584,-0.159984244262423,-0.253031730852599,-0.310428105465965,-0.126798132137377,0.120058293225931,0.888316548559786,-0.508164084576471,-0.536107023523593,-0.336308229496359,-0.160685004561166,-0.465928317328062,0.802882549268745,-0.32169142825797,-0.685245456333103
"SEPI_Bs_2 (GE) - TPM",0.791583552082561,-0.498387313867503,-0.584486274237459,-0.173829610022305,0.209710317932986,0.35227143660775,0.732306798017917,0.0321599467959408,-0.840096371957688,-0.575871560736653,-0.34294717505791,-0.955336897868047,0.659605831025359,-0.29161509892896,-0.463518652121872,0.551686921074577,0.305631799815574,-0.222954945244277,0.12452941395726,-0.144825907410669,-0.0154094162485387,-0.0129384008689985,-0.645118053220076,-0.641641837707116,-0.413632226976172,0.0246788084695167,-0.0440187244411275,1.345739812333,-0.529628953435084,-0.356181566712158
"SEPI_Bs_3 (GE) - TPM",-0.824019514580036,0.243637050259917,0.0549040838500748,-0.241259597696758,-0.280787607487122,-0.554840931059146,0.309201116043994,0.427186849036108,-0.834455320571571,-0.548392451614701,-0.377683681783676,-1.0866633632785,0.698855533645436,-0.251086418405348,-0.630438889791958,1.34832801355488,-0.995948477922358,0.405738632330889,0.0518037116830312,0.16075060329272,0.0825704879654967,0.0613258030190747,-1.04622072392985,-0.336760166345212,-0.331159003178486,-0.433739707479338,-1.06541980004329,0.123482953643135,1.17601399637851,-0.499161530920987
"SEPI_Ctrl_1 (GE) - TPM",0.0512646399901278,-0.140844128387782,-0.374155625691249,0.239245583360996,0.130295033380209,-0.324081014098014,-0.0319509170458026,-0.119135515301029,0.185742158099105,-0.468234466156031,-0.0006425317160422,0.18401192925299,-0.423571962916496,0.145690674467381,0.174568565023171,-0.404914161369235,0.464996454498396,-0.497756419427433,-0.570837545740763,0.0595736413458007,-0.511485147967854,0.137316081694167,-0.129524700127277,-0.171651873606038,-0.488092286258971,0.410353427245114,0.228210428432526,0.217041207196129,-0.643546459412745,-0.176881922401984
"SEPI_Ctrl_2 (GE) - TPM",0.451300454906263,-0.387241219269326,-0.294842293004447,-0.0945349478921365,-0.500837809863715,-0.230525239667101,-0.724586459797652,-0.209063435170379,-0.244952780996607,-0.0307770679596183,0.0314182346503746,0.0923380772916767,-0.331193864407808,-0.180561066138958,0.446400480868783,-0.203392120727609,-0.0392699277023338,0.168564938849286,-0.260897737247932,-0.141029957822661,-0.361283437157015,0.271661821350572,-0.344485408398699,-0.360969907287996,-0.330348223112739,0.35683857661042,-0.28096555479151,0.17409145353034,-0.257154582482477,-0.345563312071981
"SEPI_Ctrl_3 (GE) - TPM",2.12834342520329,-0.302539529014245,-0.414708599301212,-0.324194687478674,-0.01832654580368,0.341619838234764,-0.273236368988943,-0.514405445748842,-0.361118621749024,-0.270245158606733,-0.130475368941802,-0.0623281814380928,-0.418973887501535,-0.329199772895028,0.418509029717315,-0.574442594531766,-0.239089250360563,-0.00950348532233902,-0.274710799716681,-0.226287867526744,-0.432177712622495,-0.354421865769262,-0.314672913627343,-0.19944183726289,-0.621132746046619,-0.340348245821382,-0.0127599904854012,0.219852714538245,-0.594576506764879,-0.0201620659039641
"SEPI_Li_1 (GE) - TPM",2.94371953347582,1.87395372376773,0.927294183455414,2.54834859686341,3.43365043810926,1.00888349979022,2.54710009324023,2.80371371798498,1.81516546661265,2.29467578411919,1.60790817489424,3.04063647051125,1.20415406145767,1.67427591411861,2.68175713836294,1.95638216939381,0.327521824564954,1.36082901113117,1.48858549368747,1.32166105552548,1.83629205647355,2.27798991301329,1.43179488084285,2.93842499702315,2.66995857719813,2.49896657239315,1.84172611346102,2.89447232705122,2.76351303423651,2.21860271825799
"SEPI_Li_2 (GE) - TPM",-0.0359080811810856,1.90169477885726,-0.190880408251474,1.38468944791554,1.35406062039734,0.17390207042291,0.184926938206549,0.430770182031645,1.61762954020799,1.36267227529061,1.11979077513214,-0.0180737731361963,-0.0783811602296463,0.843612985015611,1.0076118817077,2.58936189518361,1.29127797789376,1.74642383298719,2.84281941356694,1.63910102436487,0.564603346190392,2.17400749226138,0.866153577354867,1.81688563125308,1.91827225237055,0.633790316774959,1.10902817772534,0.602536921645758,1.40539660570761,0.191926361352918
"SEPI_Li_3 (GE) - TPM",2.23291513286857,1.44023750439691,1.21155538151046,2.02713867134123,1.21023049622834,0.360546757566505,1.79523956233488,2.35835843153708,1.56289350885856,1.61943746205954,0.882121610559937,1.2271502766978,1.29117794652448,1.00778276936138,0.947443546857466,1.8887391851481,2.10157792513759,1.07665806534942,1.32867660297723,1.9038214276337,1.37887369293465,1.02249328630518,1.09806499385666,2.26688528098283,2.57381409387365,1.5431376923849,1.46887731808832,1.25337464699154,1.59938467019289,2.23190954259254
