"","B4U56_RS00985","B4U56_RS00990","B4U56_RS01090","B4U56_RS01095","B4U56_RS01100","B4U56_RS01105","B4U56_RS01110","B4U56_RS01295","B4U56_RS01500","B4U56_RS01545","B4U56_RS01550","B4U56_RS01705","B4U56_RS01935","B4U56_RS02300","B4U56_RS02750","B4U56_RS02755","B4U56_RS03795","B4U56_RS03800","B4U56_RS04200","B4U56_RS04400","B4U56_RS04940","B4U56_RS05160","B4U56_RS05235","B4U56_RS05340","B4U56_RS05365","B4U56_RS05380","B4U56_RS05615","B4U56_RS06980","B4U56_RS06985","B4U56_RS07300","B4U56_RS07305","B4U56_RS07310","B4U56_RS07315","B4U56_RS07890","B4U56_RS09620","B4U56_RS10100","B4U56_RS10995","B4U56_RS11290","B4U56_RS11295","B4U56_RS11570","B4U56_RS11575","B4U56_RS11580","B4U56_RS11585","B4U56_RS11590","B4U56_RS11630","B4U56_RS11635","B4U56_RS11775"
"SEPI_As_1 (GE) - TPM",0.38061924439255,0.704002335279637,-0.531083151475599,-0.389151041261657,-0.407126397306983,-0.377361621623748,0.0423016179254354,-0.382267878646906,0.760361272573668,-0.447133457851068,-0.822063247404697,-0.599354429664833,0.947246562919458,1.20697552472324,0.0983484544681331,0.0601188357833021,-0.427847605426452,-0.78689788975132,-0.620344707152489,0.504824479359742,-0.261548632769451,0.371633449415475,0.137601901135887,-0.425193462405163,-0.305066203039622,-0.622975379209762,-0.209577865929844,-0.993452721794249,-0.752504313903664,-1.26392338893613,-1.09971488055638,-1.11949314919803,-0.681653833125693,-0.505656979111329,0.122593296168975,0.107681375293917,-0.802433650118925,-0.814705656054386,-0.974393480964877,-0.987048383462216,-0.788695418243042,-0.714040766092111,-0.47588590264308,0.165166967734908,-0.781985461115498,-0.270093426514578,-0.166666666666667
"SEPI_As_2 (GE) - TPM",0.22300474044014,-0.268450870561144,-0.494329043807619,-0.373922593072479,-0.467592811739509,-0.570552171724958,-0.055443875121582,-0.362981187708857,0.597619638945214,-0.491257124885425,-0.887410131187519,-0.567081720673623,1.20013556472834,0.918540051746073,0.184605503386286,0.0858834756361275,-0.537963639621649,-0.751530387156595,-0.829997410676231,0.105157572293776,0.891859933389689,-0.290802469743151,0.0951094867209302,-0.00623285852493953,-0.167521515493869,-0.690211732245532,-0.209577865929844,-0.950104209015826,-0.752419148494755,-1.29468020311748,-1.06762604711198,-1.13067016629346,-0.861048825659535,-0.828792826248422,-0.14355225841726,-0.10200847717167,-0.805847761881587,-0.286437987992743,-1.07860095892379,-1.00881098947223,-0.867280522703221,-0.71093335698495,-0.551893994272773,0.140792803250527,-0.7909310674783,-0.468216379027137,-0.166666666666667
"SEPI_As_3 (GE) - TPM",0.776788680861834,0.631305009834123,-0.304824853804802,-0.369395009778794,-0.509292373179487,-0.031565395040708,0.57903757523892,-0.426762647634028,1.01708808749701,-0.5148244730043,-0.831342055475881,-0.650900751334811,-0.475750191143923,0.951799617816299,0.316464991966026,0.150138862564451,-0.51450945061089,-0.706333026796405,-0.242443585813763,0.154997158006258,-0.261548632769451,1.21261285901535,0.272245613680194,-0.314286094585944,-0.255108608923666,-0.42133412087854,-0.209577865929844,-0.938292177629941,-0.745767418574521,-1.34847249036187,-1.09929665857547,-1.12143777899381,-0.629884831250548,-0.554718437951556,0.116692286703979,-0.0509180606967055,-0.989489476809109,-0.873640875207704,-1.03534269524213,-0.960838350945372,-0.862392642877295,-0.799048382964981,-0.640505320331213,0.243037391830748,-0.825831609017509,-0.125715708396307,-0.166666666666667
"SEPI_Bs_1 (GE) - TPM",1.63824332006356,0.959503259184624,3.36153607707314,4.11894683792455,3.3534513896061,3.08546020959397,0.918735506750308,2.17002817363164,2.45836167408705,2.33831432737616,3.27808149685686,3.32554825424491,1.65431184552947,1.92290935583181,3.60136649892267,3.6505054040576,1.44915337216378,1.29827428588848,2.32124033461374,0.84539496047288,4.86941645168039,-0.624529262612612,1.97909127779114,1.4424790818105,2.56075570582704,1.23534589151933,5.57766816700201,2.28255670392818,2.79859644883659,0.895983812080051,0.975047391126715,1.8800983813066,1.38276471221141,2.49271290814972,2.05515107872503,1.04508710914583,0.354686050402154,1.66206666871147,0.985070897578459,1.34606112001808,1.90914929639392,2.68775279217257,1.68689243757388,1.32961438882858,1.85733001534911,2.7263544618826,5.83333333333333
"SEPI_Bs_2 (GE) - TPM",1.99421202195264,0.475752468644064,3.13826820103304,2.89210335194612,2.99486601371982,2.84543218188706,2.78218227461679,2.50590303080971,2.9647749282145,1.67056441069539,2.02024955822117,3.20031407968371,4.23497842794729,1.39060168854674,3.33653595877117,3.08239323217212,0.750615235372143,0.839064049366415,2.43667655009793,2.22904072142957,-0.261548632769451,1.00828637996101,2.14952903311052,1.96542439033702,2.82976403779246,0.574982405595293,-0.209577865929844,2.33285834575006,2.83383281585578,1.04855262816993,2.03539080514671,1.76190390592301,3.10881169227176,2.70218280152165,2.47629896222954,1.21784584702033,0.789938963704141,1.40217119401059,0.927711206193086,2.00418962481126,2.65993752891562,1.99987427447473,1.37738644817209,1.17823488923364,1.89952694118415,2.74161868636076,-0.166666666666667
"SEPI_Bs_3 (GE) - TPM",-1.00003092352999,0.760779301245208,1.15930049717603,0.923288846610402,1.42798358317017,1.61954863512086,1.95253052829433,3.43262606017463,2.51041704676542,0.521941877348832,0.560077214615113,2.59859453240044,0.136028185048425,0.943719699675336,2.54501488956284,2.86288684769262,0.634532865877645,0.43847362845478,0.796262095905121,1.52861019285986,-0.261548632769451,0.312354159992802,1.02627509165384,1.49328827746135,3.06436926456685,0.83366503055503,-0.209577865929844,1.80406285395749,2.19008543185294,0.916115401036956,0.395277900978273,1.06109079102212,1.27080377456919,2.7426309719197,1.61383212852103,0.284580380318268,0.372151384980652,0.558569265495798,1.185258047092,1.28345781461188,0.835538889980975,1.43979752438174,0.553065078513363,0.335083251940584,0.814286695502001,1.16686198912406,-0.166666666666667
"SEPI_Ctrl_1 (GE) - TPM",0.111717762760801,0.462845764296909,0.776614545181536,0.453957039826068,1.0361199258259,0.747615391543327,0.599384096509414,-0.380684837596736,0.345992005005597,1.58399081283243,1.50326378618035,0.166363214558318,-0.475750191143923,1.15922654885161,-0.29168132224353,-0.210568477078084,1.84311541378987,1.97118372612373,0.846215274474414,-0.618501618846906,-0.261548632769451,0.421958428251045,2.04418011517313,0.644742333335354,-0.448080386982722,1.08745794857698,-0.209577865929844,1.01448810125288,0.68849956921256,1.78656271534857,1.61098704884572,1.51467747061555,1.03938545699073,-0.932758122083662,-0.116691079760221,1.11757979346092,0.729138389180879,1.08892199953952,0.35174025365162,1.2213743603388,1.48181433221091,1.53585078923719,1.50990137974289,2.24271197740351,1.34910622257555,1.16688315548346,-0.166666666666667
"SEPI_Ctrl_2 (GE) - TPM",1.15294653631352,0.426958139733217,0.790948628939795,0.382840370388567,0.743915210046087,0.750482483231373,0.629782284036094,-0.409295070067735,0.330193645950984,1.62019472414922,1.38256105775893,0.289125720392104,2.12416130038272,1.52431611982907,-0.23249095534673,-0.316123308337326,2.22174367382816,1.72565266718819,1.0346625946072,2.9396781429331,2.86982849632181,0.726055437863765,0.822590871322146,0.871077757484291,-0.281667788639316,0.374345317013228,-0.209577865929844,1.3823709119818,0.676100421047455,1.06333648110621,0.983281785876127,1.21677152862651,0.582689771450724,-0.475675746688387,0.460242757461683,0.940543124933131,0.696342869658113,0.761541970203295,0.259638647807054,1.22218907148671,1.16784829359918,1.13716456421381,1.58081659583522,0.862217140621805,1.64536176841283,1.00631679464734,-0.166666666666667
"SEPI_Ctrl_3 (GE) - TPM",0.399914885655586,1.05279052687123,0.596922306341429,-0.141630283570101,0.36315376379586,0.569433824596528,0.531436265283709,-0.0301335712624576,0.615462041616357,1.30322699056721,1.2073104315774,0.233448477167537,-0.475750191143923,0.925522375534965,-0.255844743621409,-0.335705370213018,1.65045377836264,1.31289826053429,1.55400137143812,1.82413927121023,-0.261548632769451,0.108680130497925,1.81922218920708,0.870035594229981,-0.355558399300453,0.751168595914447,-0.209577865929844,0.924095034102707,0.603048273117667,1.20676280811027,1.35791180141749,1.21687733569172,1.55013808016539,0.0761817704642818,-0.247530900195471,1.816554601038,0.478062997113606,0.656948095424966,0.225338161606553,1.20629065871699,1.23908984439577,1.03116045162071,0.858387171601743,1.48581792337697,1.0579538270275,1.04880518484228,-0.166666666666667
"SEPI_Li_1 (GE) - TPM",1.91596583656692,1.2364433151541,-0.00808996915876444,0.384908549298856,0.219668030542439,0.0444079416930297,-0.178829060683022,0.323056220936796,-0.742003066813376,0.854735252531657,0.831578652866136,-0.26601172680028,-0.475750191143923,-0.831630105871054,-0.292419166354208,-0.274113471664692,2.49141082929571,2.54899396581027,0.188329929356915,-0.599646507940618,-0.261548632769451,1.45634708705663,-0.247351385742346,1.25509266022335,0.885217210182142,1.6687363260279,1.54797927461267,-0.0661328743788612,-0.0971351272921758,0.605498158337906,1.0279220074008,1.34261489814882,0.654847513414322,-0.232446214123648,0.720969048340638,-0.661447431904969,3.1283454278455,2.2312092435683,1.22805977322844,0.395122924145384,0.803808861093959,0.634449106802211,2.20780315318448,2.00261791300268,0.374318699196939,0.534324441742754,-0.166666666666667
