"","B4U56_RS00025","B4U56_RS01270","B4U56_RS01675","B4U56_RS01790","B4U56_RS01855","B4U56_RS01900","B4U56_RS01910","B4U56_RS02305","B4U56_RS02335","B4U56_RS02340","B4U56_RS02345","B4U56_RS02350","B4U56_RS02880","B4U56_RS02885","B4U56_RS02890","B4U56_RS03020","B4U56_RS03045","B4U56_RS03065","B4U56_RS03110","B4U56_RS03725","B4U56_RS03755","B4U56_RS03850","B4U56_RS03965","B4U56_RS04100","B4U56_RS04105","B4U56_RS04110","B4U56_RS04600","B4U56_RS04615","B4U56_RS04630","B4U56_RS04875","B4U56_RS04880","B4U56_RS04955","B4U56_RS05185","B4U56_RS05330","B4U56_RS05335","B4U56_RS05495","B4U56_RS05860","B4U56_RS05905","B4U56_RS06005","B4U56_RS06155","B4U56_RS06830","B4U56_RS06835","B4U56_RS06840","B4U56_RS06955","B4U56_RS06960","B4U56_RS06965","B4U56_RS06970","B4U56_RS06975","B4U56_RS07080","B4U56_RS07105","B4U56_RS08445","B4U56_RS08535","B4U56_RS09175","B4U56_RS09565","B4U56_RS09570","B4U56_RS09635","B4U56_RS09655","B4U56_RS09690","B4U56_RS09775","B4U56_RS09780","B4U56_RS09785","B4U56_RS09865","B4U56_RS09870","B4U56_RS10075","B4U56_RS10105","B4U56_RS10210","B4U56_RS10335","B4U56_RS10350","B4U56_RS10580","B4U56_RS10885","B4U56_RS10890","B4U56_RS11660","B4U56_RS11875","B4U56_RS11945"
"SEPI_As_1 (GE) - TPM",0.540302020310165,-0.172567685159023,-0.958319923434116,-0.98923535715569,-0.818093923221599,-0.135694689124094,0.0935708203250047,0.299893411333611,-0.82922575926636,-0.814231099347713,-0.671423129663744,-0.726976599761476,-1.0293089557334,-1.03267750446266,-0.780173900845601,-0.624957221845611,1.09165649168465,-0.432875082204268,0.859959032506281,-0.798659407886368,-1.05840884206423,-0.682415013933692,0.0160307695745349,0.798338080260925,-0.0945776274425082,-0.264568477403163,-0.893275584332981,-0.694204519483345,-0.678245899956918,0.295289996234668,0.00630291750628419,-0.903197720631524,-0.0568975327129143,-0.652004181927248,-0.619095821731642,-1.00907745205379,-0.81990456748874,-0.996878510538187,0.916745009609485,0.769756514861385,-0.868223068164709,-1.06690157608281,-1.08343593167143,-0.802704393488216,-0.947848220255911,-1.19653276135239,-1.15964099756464,-1.15218868520939,-0.481740965770511,-0.173242149208726,-0.844205958422781,0.33625024560131,1.15281069604926,0.0850733040040986,-0.6120170125449,-0.911921594383209,0.234684351115302,-0.379123419448628,-0.114724720958437,-0.0651197835824517,0.508736631080136,-0.76892508547282,-0.61866381419924,-1.01517837129612,-0.573026444279864,-0.579235638234874,-0.653616691857663,0.206868031651917,0.132050202699195,-0.724929314327389,-0.633835149835564,0.621912492263416,-0.829217299811004,-0.533016806475048
"SEPI_As_2 (GE) - TPM",-0.0537989072534132,-0.249938190950088,-0.969725821474765,-1.14308593438091,-0.880774228489555,-0.293847347991273,0.161102029295251,0.0376502110887504,-0.804074488190075,-0.7765122965959,-0.657665918268386,-0.781959681049998,-0.995168882308894,-0.935311602025981,-0.774464919314598,-0.430487835025432,0.555212678977517,-0.202814295055416,0.934460521671178,-0.752431915878283,-0.992471865870509,-0.672308572486159,0.629314388576665,0.139308048591445,-0.391706278238432,-0.431336486345994,-0.776592489317565,-0.626587616427875,-0.669399018692109,0.683675648750769,-0.169556653676972,-0.934175499441645,0.164220019925424,-0.90503715488045,-0.66122361463247,-0.770023509815626,-0.710879726143852,-1.07093138413034,0.332503543045501,0.802816013577246,-0.739686738085266,-1.01760458730407,-1.01673527998374,-0.782851701600532,-0.928871201048471,-1.19449940691747,-1.16407405992335,-1.13126084302491,-0.52329261296876,-0.169849474872774,-0.778662151116469,-0.226093698052817,1.03639333074106,-0.364993609811213,-0.690961937458208,-0.953469257430968,0.133219814968595,-0.410368777926363,-0.5247398068235,-0.158956760541506,0.795355230799834,-0.55373159814844,-0.0542287611577228,-1.10983117019889,-0.573460088532155,-0.545167923052953,-0.570996892931471,0.466319574437841,0.584505898738964,-0.704141005840932,-0.609580611260683,0.342746403943069,-0.863165122738997,-0.616347768036086
"SEPI_As_3 (GE) - TPM",0.65336656125585,0.279097997798416,-0.894329583258587,-0.999586537314337,-0.865963604748498,-0.149276360223194,0.3409032284961,0.204438873784916,-0.856863185077546,-0.669648925679962,-0.783084788955811,-0.792251837281719,-0.934845017393162,-0.9291545820457,-0.71733116169928,-0.574669453841799,0.921103805484698,-0.928689638905596,0.65135994560378,-0.656741760525334,-0.992420180547194,-0.578235828281873,0.518691418264526,0.545362182560126,0.0222938117732618,-0.385614638694247,-0.709077593388164,-0.456351020616875,-0.555322469204392,0.280838630138296,0.494609465721703,-1.10959121249733,-0.0576967618734507,-0.830024174279262,-0.552843819048636,-0.923034050162968,-0.681038828733014,-1.14163889732598,0.168202858401019,0.933934569876243,-0.659714902394142,-0.866715945260607,-0.753559611383308,-0.613931441413221,-0.932944631856446,-1.1525075594649,-1.1484655389777,-1.18005648144189,-0.445144442716225,0.0329785674434228,-0.61527167677304,0.58350492365333,0.802422168223387,1.13697538693842,-0.447025168208397,-0.979168534873466,0.432213997835986,-0.0563568475209411,-0.60530413283231,-0.292604467913853,0.454516415282074,0.32874949244739,-0.356814734991295,-1.00396413500121,-0.631539687724196,-0.544098133525735,-0.508180939364677,0.409032562569794,0.257218353115838,-0.664697520841069,-0.532387000726408,0.47911577639912,-0.996350090467256,-0.656423023387806
"SEPI_Bs_1 (GE) - TPM",-0.67560005616233,0.871607099307181,1.26149222557966,1.24341914067818,0.871856551101937,1.39588139337151,1.31508940023932,1.28329610755539,0.49249143795759,1.0029982041964,0.597459600208374,0.478011754852144,1.66212286138917,1.76290953678026,1.00627058947899,1.74812955967848,1.22816288051085,0.793022951476719,-0.817328528940687,1.70180492458334,0.815080076425234,1.91207657479876,2.0606974843798,1.44211178434566,1.70787731191647,1.23496717509972,1.4775687961175,1.19600107854815,0.638930933509761,2.18654471513647,1.95258153922188,0.672779572158252,1.73289565093062,0.77409006938081,1.29724110772063,-0.735278186461141,0.0455504652559415,-0.900092561680281,-0.511126835986714,2.20909579281531,1.0608033727988,1.79557492496674,0.448777563588616,0.682659256587162,0.69907416565275,0.72776048886224,1.16249322685358,1.34614646875531,1.49192210657548,0.782830651996188,2.98527437366332,-1.60274922880432,1.16779903813487,0.782968492962086,1.06365603242836,0.824352372936643,-1.05770814050854,0.657895408520131,0.780493393131732,1.73409568196327,2.24276077430332,1.78871537152254,2.2110612090184,0.544684650639702,0.707788890839573,1.47533723562884,1.18357809539435,2.12341774775422,2.11271893177272,1.30831817349002,0.549535170233537,1.20712835671518,1.9141154618611,0.767259041470202
"SEPI_Bs_2 (GE) - TPM",-0.484851228811451,1.0734686577701,1.38539108181616,1.37621565420754,1.2120453171889,1.57503568271372,1.40141056660275,0.533757850097578,0.12593929987956,0.74919917773637,0.268042701962943,0.034812007134281,1.5544416921833,2.36705607261812,0.99687987091699,1.07513123317256,0.94871267637833,0.141192506962845,-0.998488483955693,1.50118260695021,0.873353816660136,1.78228907105245,1.45834665032141,1.08787758786766,0.747297492998811,0.959278227993953,1.33169308417335,1.44131675222604,0.859084204794928,1.98801575397659,2.83991554809843,1.98742819385873,1.40159699248502,0.956177107736744,1.57136566949385,-0.825026973959366,0.315814800277097,-1.33520291107323,-1.98269979919212,1.16261607485841,-0.0163424041999795,0.930129037154994,0.654785606016603,0.967534779036405,0.550390259943007,0.735134467623047,1.23744085713403,1.33924737667689,1.58972879115704,0.973706894010746,2.00375434550158,-1.36732854688105,1.23580877994797,1.08146017630063,0.41982984808379,1.09323852166374,-0.995009299710422,0.891238262133217,0.589324993512665,1.56777811923245,1.55799216575626,1.40131321153705,0.499891508371048,0.406350007302154,0.707021017303639,1.73126816098303,1.34062072555127,1.81832725438936,2.28353166073655,1.65015209439257,0.8928783308496,0.498582642609151,1.80585249606411,0.937252152161306
"SEPI_Bs_3 (GE) - TPM",-0.955506939445856,1.22383381517246,0.454430175821716,0.791056783759949,0.735353623195373,0.965924975419804,1.66702576247193,1.26332393662839,0.20686544334092,0.484032133081658,0.0921317118142979,0.46962058280119,0.828931832038215,0.921745986735936,1.28360765416509,1.9193752156031,0.123042173706686,1.49270730529017,-0.965301151456959,1.10833540225356,1.83286962649344,1.5568446094725,0.55759078106565,-0.0811163076165356,-0.0967186287442958,0.351215190723386,1.31965440063782,1.71554681425371,1.4855159535902,1.21147870886387,0.860272630047993,1.4233994614247,1.08255181868546,0.813055434497228,0.856333975888634,-0.0157727133081037,-0.0802201968779202,-1.09304564524501,-1.22784186470798,0.673023528527091,0.342345023947444,0.803562561430737,0.933037959842977,0.650997178754699,0.641615019459208,1.07629814894767,1.05443988627013,1.19042956827621,0.974891635822224,0.321301252548502,1.23971394082972,-0.116004669558488,1.5664127847716,0.161430240360625,0.882666012701702,1.05278603754145,-0.955031704262631,0.548644773116969,1.16951105074993,0.842181976758011,0.536761728524552,1.04062528636971,1.91874098416497,-0.146640379585733,0.70536662769883,1.31271065738214,0.695066050091038,2.26883831212525,2.09637900451005,1.1861970437758,0.27899951006946,3.11160117432884,2.32184574338104,0.758673519096244
"SEPI_Ctrl_1 (GE) - TPM",-1.22582061329546,0.561814488912505,1.41432868990012,1.6708792701958,0.599682529838277,0.505880755817975,1.28662029206214,0.855214818936072,1.54899745323687,1.45405479751999,1.39252571904732,1.182548234397,0.850878774453559,1.50993316365405,1.49881192468139,2.74476095189569,1.76061193793255,0.174506966595525,-0.414743426580827,0.926636723473326,0.320328401887419,1.1735235535363,0.93599989977065,1.71513223925273,1.42778088090689,1.69162580977356,0.419044486554784,1.21956775751449,0.504544603583811,0.968269281288649,0.635964961301033,0.869335078045923,1.74942733184211,0.287006013863354,0.626466896756074,0.054506375181972,0.371068354883328,-0.426898999758787,0.270634018109185,0.798983464893043,0.657056130255154,1.29669340314505,0.673294250060657,1.8595813564064,1.91618199259705,1.71011704893637,1.58219131479205,1.41617779726805,0.84120319908342,2.18868002576937,1.24383347603613,-0.597589198063589,-0.664134821898857,0.12269545707695,1.0416306701088,0.736962561835568,-0.724532273068603,0.47124824934725,1.38271990478897,1.52994775473867,1.16285234247969,0.791692136170884,1.06826210183729,1.56917826248524,1.04218719987816,0.7990893537802,1.34062485143759,1.07320041426765,-0.538537673401582,0.799340065419086,1.03531763172218,0.504962149935139,0.533679108887536,1.20042599505538
"SEPI_Ctrl_2 (GE) - TPM",-1.03562268863676,-0.0862726779394965,1.29655301182172,0.976940234808222,0.670607645223812,0.637217966661006,0.668270604456572,1.56475288199144,1.31659778344967,1.05790749913919,1.34277004001173,1.42250195183132,0.639038186260325,0.718170775226112,1.37974161534435,0.199272530615267,1.46129310245423,-0.602807882322872,-0.672039501525734,0.93235802812347,0.0194246402149404,1.5011098632084,0.376408875064763,1.51282621795546,1.04985095297829,1.35891985421448,0.328369117953676,0.97815247653444,0.0958062940763493,0.550765696819529,0.576192334569971,1.20252989338747,1.20257435951785,0.888357974550282,0.958365581167056,-0.582127968458428,0.460957176833265,-0.197981409414263,0.184399833797223,1.73967161762906,0.947920030971691,0.876263150209374,0.602552534880405,1.66141832226978,1.68432052047236,0.846708946240526,1.67960405006618,1.22888708748958,0.618920077616254,1.46769677292612,0.581452515693622,-0.171591678038394,-0.282978350078163,0.408812032619942,0.712322012266423,0.671987824330696,-0.743875682954545,0.913103193850728,1.44326637137653,1.65922357620386,1.1162601366378,0.118390527485539,0.568298522324202,1.02035404015694,1.2780557562992,0.794490611383054,0.75494847277229,1.00508272329822,0.496399904567343,0.775675622814952,0.793270621976581,0.349851313293139,0.813891854243352,0.851185315794322
"SEPI_Ctrl_3 (GE) - TPM",-0.993631448678246,0.577610006269372,1.10022127605422,1.19444797052973,0.743607815405318,1.08030582780028,0.733520494111715,2.21550080848158,1.17488393965416,1.05348363010527,1.16680501299936,1.19389985581187,0.653110300477946,1.10334668981011,1.01419626001087,0.590843124022099,0.740663481363511,-0.153704096114371,-0.557560570874527,0.834032349666281,0.0489162060857765,1.30674670992926,0.544565369172777,0.714663019402267,0.811234447360371,1.02752726564847,0.135065823212933,0.159740347848452,0.12866373223953,0.940335985057442,0.898230294364002,1.02371925694348,1.69158422343679,0.726042863113954,0.824812305872025,-0.346465157921494,0.149180498031529,0.070877412927649,-0.678437425147497,1.81510192048792,0.54788123546008,0.68543460955371,1.60746851413561,1.58804869583012,1.47679001408907,1.29920937843282,1.36621394801059,1.02731301534611,0.882737140080921,1.37965137176623,0.688737677975686,0.350819414149275,-0.276730694749043,0.637652543969825,1.27660997038858,1.70442221446605,-0.784551547923864,1.55755932936659,2.05760990660615,1.49516823784649,0.840804814836249,1.39396124090176,1.10757836064197,1.09951797820641,1.37621424499609,0.78696571723408,1.10706652185215,1.41797121878826,-0.366810518211068,0.772452605877936,0.52537777741492,-0.288793727266009,0.467236527729344,1.84635756331782
"SEPI_Li_1 (GE) - TPM",0.731719197378723,-0.269961421794594,-1.10207241334727,-1.34814329826083,-1.25265550916214,-1.3368029171502,-1.22802914476751,-1.02676732391047,-1.18365208941677,-1.38508286316038,-1.38624153053382,-1.30889093554382,-1.19107453870577,-1.06150019808846,-1.04076885439022,-1.04082529916003,-1.95088530293328,-0.589041110085167,0.0981528881419539,-1.23592058335895,-0.96677209793334,-0.932135299550611,1.10336449580577,-0.957415805979128,-1.11263587942944,-1.11805425948687,-0.676934559406862,-0.513934115264803,-1.26384016781932,-0.629436135464901,-0.971879680607077,0.791533528322406,-1.08440117192463,-1.05992547512514,-1.24330540552803,2.5910369181158,-1.16856179219913,1.20772071485148,1.94286165411533,-0.757902158743945,-0.71528210529612,-0.690675500083798,-0.519834277568921,-0.926293806124102,-0.810143775326102,-0.867420512236978,-0.722746609264656,-0.519973400537395,-1.20406785089744,-0.506038364999507,-1.10622688873555,0.754595781892987,0.347939667556688,-0.113274099898496,-1.10026342000683,-1.22892972859185,2.54099036477151,0.149884167945587,-1.59073950859655,-1.30401811497249,-1.26439072571505,0.638974736610249,0.0129175869698765,0.646918885141418,-0.468037314975086,-0.972454121123032,-1.1568442710142,-0.299633023283154,-1.36467414725456,-1.10213672473358,-1.12368822959925,-0.625209762725867,-0.553332917766067,-1.13570894897119
