"","B4U56_RS00055","B4U56_RS00075","B4U56_RS00100","B4U56_RS00105","B4U56_RS00220","B4U56_RS00285","B4U56_RS00295","B4U56_RS00980","B4U56_RS01050","B4U56_RS01055","B4U56_RS01300","B4U56_RS01305","B4U56_RS01345","B4U56_RS01390","B4U56_RS02050","B4U56_RS02165","B4U56_RS02580","B4U56_RS02855","B4U56_RS03475","B4U56_RS03520","B4U56_RS03715","B4U56_RS03720","B4U56_RS03840","B4U56_RS04025","B4U56_RS04030","B4U56_RS04420","B4U56_RS04690","B4U56_RS04895","B4U56_RS04960","B4U56_RS05090","B4U56_RS05095","B4U56_RS05155","B4U56_RS05400","B4U56_RS05420","B4U56_RS05540","B4U56_RS05545","B4U56_RS05850","B4U56_RS05855","B4U56_RS06105","B4U56_RS06115","B4U56_RS06120","B4U56_RS06125","B4U56_RS06330","B4U56_RS07145","B4U56_RS07245","B4U56_RS07385","B4U56_RS07430","B4U56_RS07520","B4U56_RS07845","B4U56_RS07850","B4U56_RS07920","B4U56_RS08175","B4U56_RS08615","B4U56_RS09185","B4U56_RS09265","B4U56_RS09360","B4U56_RS09365","B4U56_RS09425","B4U56_RS09615","B4U56_RS10015","B4U56_RS10290","B4U56_RS10295","B4U56_RS10470","B4U56_RS10625","B4U56_RS10975","B4U56_RS11360"
"SEPI_As_1 (GE) - TPM",1.87153477271941,-0.281976573771362,1.05318036424407,1.06336999663879,0.705752143043168,-0.361184311194351,-0.0759887636759339,0.38310391839207,-0.039256675762705,-0.0288890558185572,-0.563611524057096,-0.701936309986563,1.34611822095866,-0.244246817042933,-0.103973452196724,-0.776783247063121,0.257359175616352,1.00546736907113,-0.330833243677852,-0.605383810256696,0.453594111736144,0.301318035625487,-0.408581019574309,0.583589784446378,0.245685905496269,-0.305249572553745,-0.00467088439288914,0.618181616597469,-0.391866343151522,-0.059768707424455,0.0261141820496489,-0.193879200340821,-0.343595122621605,-0.122609522846436,-0.687826114712686,-0.438999317187594,-0.864775258161027,0.627331584785133,0.666857727002418,-0.567568788926465,-1.10664016359253,-0.619148485846579,0.595577211217881,0.28080476320709,-0.246619595423211,-0.222816878222769,-0.742748622332351,1.04681644404069,-0.342039555667399,-0.38511217046188,0.56248924218096,0.144546933867901,-0.652155109790539,-0.599618133046959,0.478542828048713,0.269022244538882,0.184896346091346,0.878267345524204,0.464463677644766,1.06155765738393,0.518274998615763,-0.0124813014473332,0.606872338170223,-0.181016659349082,0.818541275932872,-0.167021776225691
"SEPI_As_2 (GE) - TPM",2.26444747776943,-0.156123558250602,0.954629792070791,1.13879700611806,0.86286203644564,-0.294827562571753,-0.10714683695649,0.618506314850754,0.494014376109058,-0.130310125099356,-0.33455110694292,-0.739296238684466,0.743980149882893,-0.615779678546682,0.0597191234735468,-0.701922113061602,0.789197223766415,1.09119247178255,0.0291817412437226,-0.503810315268811,0.255457407038044,0.0268006243879193,-0.48382999474526,0.637719025661826,0.902441173288162,-0.26898349033103,0.151244134069972,0.608259466208323,-0.0529464120547472,0.123670648536018,-0.0727563774708096,-0.00304066785350484,-0.273258800615828,0.0630029792244539,-0.630576433447521,-0.401180605760572,-0.711378151165966,1.14384571800526,0.918484249081054,-0.771532010864954,-0.76206780006869,-0.441136899750367,0.504512105564803,0.175440324334864,-0.0513722416978423,-0.0881352343878954,-0.752839860539035,0.888262530062607,-0.525388760559058,-0.0232680174097114,0.791279200558964,0.224134772290129,-0.345607436416666,-0.547982583304043,0.43523925516239,0.205879366149491,-0.241225529661873,0.850487455400757,1.06604811767295,0.449671242497212,0.312279203707392,0.0629782066871268,0.440098669150398,-0.181016659349082,0.410174738272327,-0.3109211015045
"SEPI_As_3 (GE) - TPM",1.56953727158212,-0.252869785401577,1.76357440049552,1.34380396810951,0.233090276796061,-0.319368731448547,-0.107111056715925,-0.0819948493833138,0.00741706619398237,-0.251634302805122,-0.492435396290302,-0.727151342693226,1.5939894034219,-0.518826893533145,-0.785527778613342,-1.08325951551018,0.263235563555537,0.869930539488742,-0.442586039707448,-0.395675729404583,0.699008552882601,0.513415439225624,-0.446575164081571,0.615309651684713,1.21553936625931,-0.456600962139269,0.600233561882115,1.04061056198712,-0.379498139809084,-0.470515337902791,-0.638710485991642,0.163198286402141,-0.532686421507857,-0.292045574323032,-0.686315549847433,-0.412209126182597,-0.635038669828572,0.560473208013394,0.668281581278018,-1.30042386881434,-0.823859410330471,-0.923878471986934,0.257623875352646,0.183267621725761,-0.519366692300093,0.346330227497116,-0.976954126775808,0.936982272438763,0.0248378569361815,-0.783328613890798,0.981153072619862,0.407517655366528,-0.331666276464677,-0.566012024769829,0.842920909833818,-0.329542976201611,0.13998362553357,0.666292162037347,-0.155008742813795,0.680487287578375,0.00949081136188441,-0.20608129575951,0.456454727229545,-0.181016659349082,0.615557576120045,0.104982938316098
"SEPI_Bs_1 (GE) - TPM",-0.599619519590746,-1.20494236815852,-0.63444936567119,-0.222391980170448,-0.583587210451161,0.11423320422758,-0.238967878773719,1.54069661086244,-0.312265321351138,2.07569924005173,1.50957120746448,0.82707913985585,-0.795827662466642,-0.322193493863064,1.59813310783585,0.295441624167941,0.0325935464753907,-1.35357436827106,-0.356997351720083,0.858664318068006,-0.146376185983858,1.34151448232495,-0.948137600216308,-0.833111785543243,-0.500959910862568,-0.287883554351156,0.908690246792237,-0.885887831471008,-0.836064803215886,0.265756471491645,0.0861432799720211,0.0216353254663586,1.06234892982075,-1.52393494167495,-0.616080593111094,-1.2331600764141,-0.536865516313597,-0.363570855849028,0.19053600818081,-0.0685312514171869,-0.737238396825522,-0.527184160485054,-0.185071186295997,-0.501096452918166,-0.673397687349795,-0.401776912850575,-0.476398207542703,-0.462073318042868,-0.704648593132294,-0.609139780123421,-0.452797054169512,-1.06172459995469,-0.174837357377456,-0.165785306681246,1.37052029432716,-0.0482923063259554,-0.684916827278528,0.17133606593183,-1.00443569510575,-0.219837724069868,-0.306056824981243,-0.306554524944383,-0.225998720923189,-0.181016659349082,0.81644124892575,-1.15480655525912
"SEPI_Bs_2 (GE) - TPM",-0.714464158521156,-1.16712799365474,-0.46438388022383,0.0554791912049996,-0.585197052787404,0.407833353735704,-0.246709074889269,0.890150530180278,-0.561936875076229,1.74071405262902,1.45279374742199,0.813720535012986,-1.02145330562919,-0.668620633785751,1.52233009676177,-0.351354244817499,-0.281951033140291,-0.927388498712672,1.69251403718341,1.17167404364181,-0.28487599016265,2.36981310284472,-1.05863816141831,-1.08144497927672,0.176605659117669,0.162789234857858,0.827065912478644,-0.871812856120319,-0.858294214249907,-0.0202802419953349,0.965435770895734,0.671593107879264,1.12322148292453,-1.54025228699609,-0.890772126847293,-0.992320782356008,-0.437971278829645,-0.741928989278003,0.135222832961574,-0.531578477884515,-0.701341465079648,-1.21421287651114,-0.598876488279171,-0.903793589731631,-0.34170917271599,-0.0367015638800656,-0.437937122427493,-0.473621113396112,-1.24301176508102,-0.27935921012204,-0.688296155972956,-0.857477230939211,-0.00469577478130473,-0.143275427234537,1.15356658074409,-0.417535831502056,0.180727925782529,0.517023275228637,-1.05418453826645,-0.0715826519436951,-0.834366619789384,0.0423643789356151,0.711666881029456,-0.181016659349082,1.35311710251597,-0.971550146435121
"SEPI_Bs_3 (GE) - TPM",0.904006464813715,-0.563576065762724,0.480948748648625,1.19091946690643,0.39592540943961,0.285578947493423,-0.3170973663504,0.389016195864906,-0.336348294184552,1.65129821950215,1.18041056306679,0.769992367200867,-0.182128232889788,-1.43376270577525,1.21260468947393,-0.0710402732761664,-0.606167798127504,-0.4170847055879,-0.00608985938625118,2.2243517764782,0.040308577039751,0.838756567361396,-1.18193725618645,-0.106244783000807,-0.411822252323223,0.0766203222324729,0.639265366003638,-0.250542145017352,-0.942117634668639,-0.00980396739487423,0.846024231362667,-0.10207242782308,0.913811362807843,-1.28047766431523,-0.102137919866788,-0.455811138627834,0.18888973108554,0.613552580684716,1.02112820549287,0.110522914330333,-0.147523399680844,-0.446855950040278,-0.183846209848669,0.153274482694065,1.84601768041847,0.791227695085817,-0.0138618261962902,-0.0956115685772771,-0.566966209303383,-0.142421301800893,0.551196499032162,1.9603947720417,0.347870344680691,0.905614970788662,0.578133082865224,0.380755978760439,1.12187951191384,0.0585088057124539,-0.407925435319357,0.219860752336464,0.585267786894268,1.32026279670004,1.10930304848309,-0.181016659349082,1.26001774267514,-1.29997046333559
"SEPI_Ctrl_1 (GE) - TPM",-0.7070636468331,-0.415763411807073,-0.773427122954003,-0.841758915116634,-0.618203430884416,-0.514452954219885,-0.355588602517567,0.74372671737762,-0.185514182693363,-0.876647059085623,-0.104501644912328,-0.296695614320159,-0.196038390274292,-0.50595953896848,-1.04486639906424,-0.673893531058265,-0.115252030735069,-0.225830767748106,-0.693515398930696,-1.01540548093505,-0.332453351676546,-0.452235428135248,0.211286934770705,-0.908764039109998,-1.06159784662945,-0.0844365010765741,-0.0283336978654627,-0.505606933310538,-0.181011997667071,-0.212544724814906,-0.524844183787641,-0.134678865928054,-0.573508575552374,-0.165292867195729,-0.597684545010256,-0.203072428411634,-0.952639053680117,-0.570381662876969,-0.589044718457188,0.354205991493827,-0.127355865539098,0.922234177195847,0.280663528632065,-0.36463340724954,-0.840767644631303,-0.593171635979307,-0.584456024925968,0.351726514671058,0.172528760343811,0.0358001419950981,-0.481269924152249,-1.01545936846807,-0.231082131103004,-0.814956981773646,-0.430343657454101,0.464886423875357,-0.914381598918794,-0.457556244945891,-0.321680408974883,-0.434190035207974,0.290396661309723,-0.462520278332785,-0.742807823926962,-0.181016659349082,-0.813149142970245,0.30964677385151
"SEPI_Ctrl_2 (GE) - TPM",-0.855730430472096,-0.247535088761148,-0.682611253086214,-0.805166885209063,-0.520440295175553,-0.522769630977146,-0.36208647732047,0.508132017214297,-0.377215657375538,-0.654919997224131,-0.0607718663456816,-0.211942774957125,-0.403715523581311,-0.718111351046305,-0.946432475448621,-0.217376563637062,0.229743170698831,-0.474816501592811,-1.31392836846777,-1.03048293463378,-0.508145742942319,-0.583678988570215,0.264025069539482,-0.712627998129514,-0.934169191467429,-0.682543916633623,-0.989887634727635,-0.697655611319286,-0.739313992529243,-0.71389826615389,0.094775227899042,-0.0537035218132045,-0.211249996293947,-0.308756546231657,-0.622161198420873,-0.217229610637982,-0.858793640379026,-0.670553297515342,-1.14875611833936,-0.72260606221293,0.0069094547043288,-0.440936729568725,0.50868146607867,-0.684920779556355,-0.580053779347891,-0.0205141857427375,-0.431672094896051,0.573966065608194,0.48160072185188,-0.488851390789483,-0.0907036905111216,-0.33123008987484,-0.102061907529079,-1.15882122643652,-0.0960755576301518,-0.350246360415156,-0.345174630218442,-0.557966541128363,-0.252330038571638,-0.761468783344305,0.676197485988448,-0.897105340021917,-1.19562841884899,-0.181016659349082,-0.26648519450114,-0.0614228997883414
"SEPI_Ctrl_3 (GE) - TPM",-0.549974560094707,-0.23342000348136,-0.445912316499105,-0.946642700202346,-0.31998043326544,-0.451123470557759,-0.389281198282203,-0.180335411528495,-0.202598040404666,-0.761988765771073,-0.0393249783533349,-0.14159701720956,-0.170240989732154,-0.351311186493735,-0.961585738809143,-0.364891015880153,0.12402832692229,-0.0977943384855125,-1.13576025694399,-1.01834989638833,-0.264192982100748,-0.624877938198425,-0.189203432057746,-0.758128776950787,-0.582065350989015,-0.633342802324872,-0.310215810084332,-0.630025450020641,-0.361393062077994,-0.235404097980167,0.0985816347007997,-0.140962773762749,0.0955382765461992,-0.221502560385897,-0.475097142974333,-0.0381913271963253,-0.842454650338952,-0.452384397092898,-0.856673842146021,0.199658850145965,-0.64705935851983,-0.331841571599057,0.336170278873223,-0.501261272220995,-0.863400241330509,-0.0815291631242085,-0.502165828842267,0.343676869441716,0.759853186010552,-0.53751394392128,0.0502690784608678,-0.538604909004171,0.0574882061349173,-0.924259121115779,-0.0185282209701179,-0.014814104249207,-0.628938660101679,-0.583962424573979,-0.60004636836336,-0.952562046825663,-0.431158325808916,-0.867857895722211,-0.916209048492176,-0.181016659349082,0.206026038678647,0.312592983108585
"SEPI_Li_1 (GE) - TPM",1.2739825175841,2.56526598310096,-0.190345250802437,0.0600291720835762,1.42903029965484,1.99152981760832,3.28549698473947,2.40495255100644,3.06281225133826,1.50875336611135,3.38009247626366,4.17387581402873,1.69635166777376,2.36063758605617,2.20275207069628,2.7754457297831,2.81244888294055,2.86955546675455,1.56959772408871,2.31360770025289,3.32390232732062,2.44165640571864,2.35606160974808,1.89532361479705,0.708643954049905,2.53404194667822,2.45492332478726,1.71129047860492,2.61734281131089,1.69830430926526,2.49048110589162,2.71243214185528,2.57878605711661,2.48082068408751,1.88162305673727,2.25303716396834,2.12888289390048,1.38293987164871,1.71085240246377,3.08516901701324,2.03056480419357,2.45143560787425,2.50503914391056,2.70170581303652,0.650553649756918,2.39390665170882,1.57133074478834,-0.0325062874871549,3.20812208973311,1.98658389017728,1.78928047541318,2.57802311447686,1.15624443721815,0.492975247138408,3.22228982592801,1.7774274131279,1.29528583415455,2.26022139906698,2.83134838262579,1.99986785195506,0.717756039750039,0.396865855628754,1.37581195786622,-0.181016659349082,1.9700432186599,2.83716013083433
