"","B4U56_RS00095","B4U56_RS01865","B4U56_RS01870","B4U56_RS01875","B4U56_RS02585","B4U56_RS03550","B4U56_RS03555","B4U56_RS03560","B4U56_RS03565","B4U56_RS03570","B4U56_RS03575","B4U56_RS03580","B4U56_RS03600","B4U56_RS04700","B4U56_RS05395","B4U56_RS06435","B4U56_RS06485","B4U56_RS06490","B4U56_RS07055","B4U56_RS07210","B4U56_RS07530","B4U56_RS09540","B4U56_RS09545","B4U56_RS09550","B4U56_RS09555","B4U56_RS09560","B4U56_RS09625","B4U56_RS10025","B4U56_RS10030","B4U56_RS10035","B4U56_RS10040","B4U56_RS10055","B4U56_RS10490","B4U56_RS11075","B4U56_RS11765","B4U56_RS11770","B4U56_RS11850"
"SEPI_As_1 (GE) - TPM",-0.121486650744315,-0.746726149235422,-0.595342723857793,-0.618984291064089,0.399512438333838,-0.181232740226063,-0.183230715194196,-0.472934114159924,-0.57665706280172,-0.511935568522006,-0.242333558364927,-0.291925485737265,0.271088063336407,0.5215390388084,-0.140549289370889,-0.56707496136184,0.759018294962596,-0.0213837421133241,-0.346156518883811,-0.144622031653791,-0.000874220040589696,-0.106749755473356,-0.113889790758992,-0.0337807728681387,0.180162073720413,0.437066338796619,-0.318687697876019,0.0595497755733828,0.264231635746799,0.375473755761281,0.396440472975911,0.864260581924486,-0.0409987750231798,-0.418336069394504,-0.666895788985941,-0.683142230294477,0.319982254070421
"SEPI_As_2 (GE) - TPM",0.256354056181223,-0.16114833146384,-0.574649522741121,-0.552205055322313,0.602470515270169,-0.198249203997459,-0.262152620869127,-0.474415035693765,-0.562401544032618,-0.50319815045338,-0.214847898049211,-0.219036637919521,0.405474526424019,0.797178731797713,-0.949574504341899,-0.800010356815452,1.28347573167512,-0.278569423056085,-0.332113314433361,0.09178935759275,0.134384309765155,-0.115138566241625,-0.0720893154663385,-0.0272112224756623,0.238740861464687,0.968733066169787,-0.424238590005776,0.487421761417119,0.376745668620305,0.301979303197125,0.287588975659556,0.706213543535015,0.027106612455643,-0.418336069394504,-0.687046542322317,-0.770433794361268,0.674351857492008
"SEPI_As_3 (GE) - TPM",0.229950868276576,-1.10849107447138,-0.47512774805996,-0.711100119267614,0.316033946011985,-0.214000109190416,-0.216893277117519,-0.462270958915826,-0.528352136706689,-0.504221710155612,-0.175328082498108,-0.0628367166419475,0.673683012252857,1.00139691888996,-0.0377074962639926,-0.49893898119875,0.461597060288209,0.335400754065554,-0.3100053242853,0.0137366377056991,0.242763619977323,-0.491584116939583,0.0293213392821913,-0.182381483251942,0.115247926837997,0.832117718106596,-0.217057095024913,0.00873101719607345,0.333654205720464,0.318807436119339,0.268498615940832,0.702442061566027,-0.263579884321712,0.681826074607615,-0.598040705374213,-0.59977141561012,0.682874119540825
"SEPI_Bs_1 (GE) - TPM",0.12296624132592,0.0634523506569845,-0.195123508023435,-0.169313980431064,0.578840649705742,-0.502485948011453,-0.477315038520395,-0.299022124226287,-0.497898744836912,-0.604608170867192,-0.574643020293445,-0.746287223686041,-0.227013111963598,-0.426176661163397,0.462235755285244,0.0983725216174055,0.696831102539525,0.495118144939714,-0.605129551358099,-0.497098694473275,-0.209156392800612,-0.5736142491907,-0.149584971638565,-0.171003909052771,-0.0361655557732538,0.513269265951153,-0.761888283267419,-0.252548776017077,-0.133405853248801,-0.124403865190374,-0.360781658607168,-0.409923508070668,-0.455053117976069,0.296635011351662,-0.453087626950685,-0.478262292764771,0.181437387383729
"SEPI_Bs_2 (GE) - TPM",0.379554202439032,-0.47901553472378,-0.0544833675837144,-0.0849691573079799,0.645533768238244,-0.577058090241805,-0.481202465324059,-0.341593018156113,-0.332240418008885,-0.587475057093255,-0.568391406271606,-0.492866423148255,-0.456553724263899,-0.286421904175248,0.402537303680122,-0.420114687662593,0.0291208385909057,0.19439617639124,-0.595737617241301,-0.441820690250011,-0.500036728861962,-0.574243117609396,-0.535876495002604,-0.32988388582046,-0.128836103571428,0.0997752503265889,-0.289045575359959,-0.225501008104497,-0.414957685606109,-0.162531228084232,-0.429906544581336,-0.428609302126913,-0.415084782366001,3.19581458859822,-0.394108995389742,-0.452682318741292,-0.106966825806671
"SEPI_Bs_3 (GE) - TPM",0.59911128214444,-1.01664005806242,-0.271701783143916,-0.0124504689647961,0.797035727130846,-0.485427001016146,-0.433348616833252,-0.517799179455709,-0.301933727025427,-0.589549142520236,-0.649064395039057,-0.543726792656657,0.849404651109169,0.242352877261579,1.31768616296974,-0.353136424358697,-0.411875772139127,-0.412443725825782,-0.577285076732457,-0.393199476848795,0.0394872698800345,-0.407607155486317,-0.713422806550127,-0.521181204393268,-0.545641579350539,-0.55538252668095,-0.576150773067794,-0.00137498861869258,-0.138178462884913,-0.332064739174769,-0.312769855361123,-1.03548669334876,-0.48670514970815,-0.418336069394504,-0.0787788393732048,-0.205988292411395,-0.0849685486901956
"SEPI_Ctrl_1 (GE) - TPM",0.312132297668359,0.402169117974426,-0.378950606218099,-0.12307699109769,-0.348669219099699,-0.531162125965656,-0.505498725952443,-0.379103453718888,-0.390718578791246,-0.502729067572201,-0.622438930078826,-0.423296770342178,-0.581813362084537,-1.0323065320765,-0.36507386979994,0.361909545213358,-0.347872833226972,-0.504973062183153,-0.551069354316552,-0.286791369912345,-0.151619310727729,-0.034115202608422,0.0537369035114355,0.163771089210908,0.193169213886654,-0.0541634292599199,-0.747175655042686,-0.246839443067973,-0.345275331537166,-0.362112139541892,-0.488650966633421,-0.084423658477156,-0.679746580290449,-0.418336069394504,-0.754901419898674,-0.629613953783868,0.208099377074597
"SEPI_Ctrl_2 (GE) - TPM",-0.419796778001177,-0.654594768455771,-0.430292675263626,-0.165776826392102,-0.291522336861585,-0.527208959923036,-0.564738863019757,-0.485772657548168,-0.328807175486124,-0.479228763190038,-0.433058397285903,-0.560029677662926,-0.779460044824434,-1.26626727970788,-0.555727877209691,0.515576270513275,-1.07022483367272,-1.01102083275724,-0.532473505373755,-0.207979559184577,-0.00360296982184154,-0.037045148480004,0.180803540164925,-0.206452995192126,-0.0618083650671915,-0.157057891837796,-0.766345819513498,-0.466094296536672,-0.377951263681499,-0.435386921268397,-0.615136419229915,-0.287846505048151,-0.784580780906821,-0.418336069394504,-0.657230907009384,-0.521952838587873,0.684061075026481
"SEPI_Ctrl_3 (GE) - TPM",-0.472361127112876,-1.0621944404267,-0.420525456613197,-0.615631753578882,-0.272448452572261,-0.372854238834731,-0.588855513039777,-0.408154166034816,-0.481516575688301,-0.45799132841549,-0.449426835209724,-0.479636660009979,-0.901953751692643,-1.10050191685301,-0.219093274014384,0.62042346744052,-1.2512870650088,-0.723963863323977,-0.549938017073741,-0.125185289608886,0.0276501897578078,0.0223425130462779,0.24880362954267,-0.0611515011659362,-0.0837673202455906,-0.262406258477595,-0.806247445933437,-0.298756348600618,-0.415976076459154,-0.378328189765027,-0.347287873816271,-0.257369234153145,-0.781202789790679,-0.418336069394504,-0.712475405957159,-0.575721309330607,0.146767252790477
"SEPI_Li_1 (GE) - TPM",1.22046564784785,2.39708845315071,4.25552357289572,3.68161268515841,0.162628718981873,3.33763481156731,4.26864771829523,3.75228986365078,2.94346799485988,3.03526231316448,1.97511735886344,2.02747137964987,0.0568502944905747,1.2220275890239,2.42267476348703,3.64914879422148,1.69777041801523,1.18458635410341,2.88274983876258,0.0575819205180248,0.585149211677676,1.03154997467296,1.17052288015457,1.2169308594126,2.00797062076461,1.70346230315786,2.96704584525666,1.18863161091382,1.10169253458322,0.758987745043792,0.984984488560201,0.734361912056185,3.50782999296989,-0.418336069394504,0.574047031442393,0.787455032625006,0.49278099617828
