"","B4U56_RS00365","B4U56_RS00810","B4U56_RS01630","B4U56_RS01665","B4U56_RS01700","B4U56_RS01905","B4U56_RS02800","B4U56_RS03290","B4U56_RS04350","B4U56_RS04355","B4U56_RS04360","B4U56_RS04365","B4U56_RS04370","B4U56_RS04480","B4U56_RS05300","B4U56_RS05710","B4U56_RS06270","B4U56_RS06640","B4U56_RS08400","B4U56_RS08900","B4U56_RS08940","B4U56_RS08945","B4U56_RS12245","B4U56_RS09245","B4U56_RS09850","B4U56_RS11150","B4U56_RS11155","B4U56_RS11160","B4U56_RS11165","B4U56_RS11390","B4U56_RS11920","B4U56_RS11925","B4U56_RS11930","B4U56_RS11935"
"SEPI_As_1 (GE) - TPM",-0.545390179455933,-0.432234951464823,-0.762243844119073,0.249781740690725,-0.547376284961006,-0.978059394434025,-0.537191309386972,-1.2871044422631,-0.676462471344874,-0.930719853486618,-0.792987163648591,-0.712011731724595,-0.773241335172779,0.454515147850274,-1.01770698918172,-0.414899073544036,1.926409375231,-0.57005182615029,-0.431662033306017,-1.12220756693359,-0.549568795011196,-0.453957975231912,-0.244169663361903,-0.71942507457828,-0.811821515376925,-0.724298387503323,-0.821998864150218,-0.923446756293024,-0.83641514087834,-0.858323644574539,-0.583346956209032,-0.415890876743263,-0.335154155053522,-0.749033401250713
"SEPI_As_2 (GE) - TPM",-0.600170933952945,-0.274519099400136,-0.670917580188169,0.44238323380412,-0.434185274961304,-0.844248207865727,-0.52626497749135,-1.36756896248986,-0.643841252508492,-0.553161781460351,-0.49586288173318,-0.707510831312854,-0.640843108790856,0.743842320764948,-0.864177931949775,-0.478892486087522,0.036524963153288,-0.694684451354738,-0.49761579155559,-0.879444011006241,-0.188683420441341,-0.261836607116855,-0.244169663361903,-0.718452953639515,-0.838813582460504,-0.720740811134926,-0.816613469143836,-0.886285468466033,-0.827244167366716,-0.914229312514246,-0.475312737442188,-0.52256619943441,-0.4458698846915,-0.822835182855614
"SEPI_As_3 (GE) - TPM",-0.665428289295558,-0.614984819555752,-0.980854357723363,-0.117299392109083,-0.658463158818834,-0.419615674619892,-1.34428056087739,-1.1825335179447,-0.445856689394589,-0.184630389120179,-0.420476609022475,-0.532001621552637,-0.955940795842732,1.2871854173042,-0.586224205963643,-0.475534544181759,1.22027824591251,-0.542994510818539,-0.551848741672034,-0.507860444971648,-0.223164234274009,0.072634508168201,-0.244169663361903,-0.72251643266091,-0.867518898572705,-0.733198577290109,-0.847955173353219,-0.95134866533093,-0.825744807218847,-0.906625748120924,-0.400839620272982,-0.501578487245552,-0.299877225544984,-0.690245319703895
"SEPI_Bs_1 (GE) - TPM",-0.541418658220244,-0.580265308360822,0.553415494617359,-0.920416956331732,-0.658463158818834,-1.06514466109296,0.355176691686832,-0.778905022473983,-0.939352924604638,-0.70033459097516,-0.568710881478117,-0.318314597102684,-0.262449252742241,1.09824510107797,-0.609315181184182,1.67601991849903,1.01017777652087,-0.278470108834389,0.511448110263648,-1.29124822798639,-0.0273312464872424,-1.12157779809874,-0.244169663361903,-0.227335225857037,-0.0828418406211113,0.211370723549396,-0.00820323630438083,0.107719535014701,0.417248937648123,-0.844281328354373,1.61428146849206,0.361212181165832,0.0990121471632754,-0.338546714729428
"SEPI_Bs_2 (GE) - TPM",-0.506936859242452,-0.620555693070043,-0.270156235043308,-1.68791817713535,-0.658463158818834,-0.658220749039718,-0.409903526395952,-0.551001995924185,-1.06839919708931,-0.513202206025174,-0.456052055270108,-0.513111575467222,-0.422581146050644,0.112978463354931,-0.90009464843194,2.91636829012858,-0.747983690531267,0.0799689782267322,0.0717386414166284,-0.0308779676455042,0.214733023296737,-1.00596730128898,-0.244169663361903,-0.227901033580578,0.133732747408139,0.186331667835596,-0.0762034386366773,0.100606542574078,0.302053089977062,-0.768063586620024,2.52725038184667,0.795452264174718,-0.0959642599825473,0.0318954590925178
"SEPI_Bs_3 (GE) - TPM",1.27788871801513,0.635306406674451,0.135839176335151,-0.274014805029637,1.34740436087189,-0.188108990436303,1.15572815648442,0.188332750333105,0.282312447178016,0.971375074260235,0.179205056679998,-0.065787995601154,-0.0946750028883585,-1.48177227667539,-0.0502136150390724,2.82768539316344,-0.169745239006704,0.513702483350437,1.68871171150801,0.309704442372569,1.06263686029622,0.804711315670981,0.41491215282999,0.484110901855327,1.59335820392494,0.701276260004873,1.35699925694678,1.63588166984192,1.98710826377878,-0.46782909116628,3.7171141628075,4.29941493089258,2.73291329097043,2.02647429884855
"SEPI_Ctrl_1 (GE) - TPM",-0.449091632028697,-0.688955221051599,-0.363982279367412,-0.900796372840862,-0.658463158818834,-0.270639768411881,-0.708739879943332,-0.88134903646929,-1.0188323839615,-1.06179178642481,-0.639611018799279,-0.765582360085696,-0.779931067889097,0.543886202490509,-0.400128841572704,-0.780852871156751,0.924295198167032,-0.450299758841761,-0.67422517494933,0.0995748387618066,-0.586080664887956,-0.341791306561637,-0.244169663361903,-0.538172689448447,-0.577979954226761,-0.610472846805985,-0.711869122434735,-0.684785824507892,-0.65490332637179,-0.552868390756341,-0.600083582449356,-0.543566307296413,-0.711032667209706,-0.817575060507617
"SEPI_Ctrl_2 (GE) - TPM",-0.507096762077516,-0.712019337219502,-0.829280495378421,0.857785484956883,-0.658463158818834,-0.20025100179428,-1.03790466438936,-0.993996848994333,-0.246137762550627,-1.19984372236674,-0.741037519054185,-0.655066869193015,-1.06120021566632,1.03037683278744,-0.716117576507344,-0.311646990645132,-0.193557560664311,-0.589778429610723,-0.666581233606803,-1.00753316294228,-0.740513515060342,-0.607028814639108,-0.244169663361903,-0.516045976396632,-0.557488609281245,-0.599104852044828,-0.681094987902154,-0.692998797387773,-0.785619767373941,-0.631119670633889,-0.657218366649449,-0.573019072770799,-0.5759352927443,-0.816992564800575
"SEPI_Ctrl_3 (GE) - TPM",-0.480298286849085,-0.624617563745987,-1.0280468313006,1.61621428362497,-0.658463158818834,-0.468127655359577,-0.554844033409393,-0.946982499590924,-0.844613315832099,-0.679748042677323,-1.0061266087488,-0.789074088754653,-0.736428347449068,0.222068723617078,-1.10704936399502,-0.814986542308727,0.170137140170853,-0.657638826922849,-0.465137984928342,-0.681187408962665,-0.714341884422719,-0.302566149318874,-0.244169663361903,-0.531511186061639,-0.478690253781476,-0.627269343605438,-0.706191434607472,-0.745072742849431,-0.777628466126541,-0.506070005716175,-0.769238799018414,-0.586660206860933,-0.627286651035262,-0.781034471816805
"SEPI_Li_1 (GE) - TPM",-0.378909711049037,-0.106216384724622,0.299565288422811,0.943465036170959,-0.254465747099264,0.191124427277543,-0.322714532495299,0.317225835267132,0.0750610247854428,-0.12186699624981,-0.104702150921058,0.192630849384522,0.369581715099014,0.288835154483175,0.75909835079075,-0.430905438977738,-0.604071429841114,0.834177637776252,0.767634623372399,-0.223187453819047,-0.100826146042502,0.00283097913628761,-0.244169663361903,-0.42752768808923,-0.277544730501977,-0.410075843389082,-0.283121719806826,-0.247118600874364,-0.191424440964281,-0.214804147859762,0.101039627834321,0.180629468650031,0.178682357207814,0.916966907889153
"SEPI_Li_2 (GE) - TPM",0.297215771958859,1.06235291575005,4.70710810460426,1.9996866437412,4.05222426358927,3.42796564469999,1.60610555347696,4.03052707423384,2.1154835573597,3.28565447446064,0.115469748337447,1.28895826684105,0.393522760512459,-1.20587593901104,2.57840659309263,2.22184217650608,-0.883238495806886,4.47753144832737,3.43516375212665,2.7540004601307,3.68917266291529,3.35599329956873,5.17321178134079,2.53144631013037,1.46225959149137,1.38491679534932,3.1765459256069,3.5189033003191,3.90863191457437,0.00219273844088496,1.86707995122753,1.5178720376438,3.09168004104797,1.85488373052621
"SEPI_Li_3 (GE) - TPM",1.19829895902795,-0.118908515658293,0.985109541488974,0.73929647895791,-0.658463158818834,0.478474904289993,-0.16953011085788,1.53131871878905,1.077230042184,1.08785493066193,2.38739007272057,0.761815353809184,0.593744871273346,-0.489713791946403,1.43047439929337,-0.309367568362755,-1.31617359788593,1.46357084249285,1.14464413306657,1.03544693070426,1.11342816845841,1.00077218801853,-0.244169663361903,0.471937700337514,1.04892014164689,-0.0877321525014697,0.678388417923826,0.996656840285765,0.954528745505589,0.509064772327151,1.23210595852042,1.42818173471826,1.19564394046403,1.7588586322466
