"","B4U56_RS00200","B4U56_RS00205","B4U56_RS00645","B4U56_RS01515","B4U56_RS01710","B4U56_RS01745","B4U56_RS01835","B4U56_RS01895","B4U56_RS03185","B4U56_RS03195","B4U56_RS03200","B4U56_RS04190","B4U56_RS04195","B4U56_RS05110","B4U56_RS07010","B4U56_RS07015","B4U56_RS07380","B4U56_RS07805","B4U56_RS07810","B4U56_RS07815","B4U56_RS08155","B4U56_RS08270","B4U56_RS09120","B4U56_RS09125","B4U56_RS09130","B4U56_RS09225"
"SEPI_As_1 (GE) - TPM",1.0021782299248,0.928719673711601,0.295878934719808,-0.0499141660932181,-1.05795187180019,0.748600244150092,-0.954053490861696,0.773665879148795,-0.0336353178179314,-0.105765010252984,-0.142530685106774,-0.753714225749148,-1.12438867247516,1.1119473211943,-0.06743598363022,1.64159095180792,-1.10229863450942,0.463552513482541,0.793559227937243,0.809015781132363,0.799858669312521,0.580592093424358,0.824448769125976,0.915445390521826,1.18914768223512,0.821005079223727
"SEPI_As_2 (GE) - TPM",1.10853821118685,0.634533915003397,0.310503824127644,-0.0177939023679316,-1.0483405888025,0.842471175906303,-1.18803479390566,0.273581731163134,0.210993674687636,0.0940945151433833,0.0726527025306778,-0.927406104439806,-1.16443662329866,0.514415018777903,0.50876343161949,0.733651708978994,-1.11885382694276,0.888692853573382,1.00456359089359,1.34996108324489,1.00281379132682,0.44185340688333,0.740942966799723,0.845413524876269,0.876224002860535,0.974459483212037
"SEPI_As_3 (GE) - TPM",0.806707629191409,0.331012686838532,-1.24834918616292,0.529929254495766,-1.01650100504097,1.01534233381772,-1.12811041089463,0.50553230710815,-0.183654660994657,0.355129101423727,-0.387827751479419,-0.820962014052691,-1.15020008952708,1.54016051816769,0.395488804424986,0.937071381378532,-1.10639552299355,0.629295628802822,1.57303216002631,1.61660540869237,1.39182974893309,0.711693404680223,0.846395625700471,0.552665657072155,1.87716503313682,1.01630033826636
"SEPI_Bs_1 (GE) - TPM",-0.935908119549634,-1.19453096402433,0.333224932870426,-1.62377253419779,1.40308261935772,1.02140844732563,1.34763262594025,0.129470786796603,-0.752923363932243,-0.0167252152012496,-0.281478532187837,0.901817036294081,1.23277962423363,0.0582742195660367,-0.143839753607389,0.0989817579624847,0.169825600726317,-0.683002797737516,-0.367282081369979,-0.202436485180153,-0.0197127116952958,-1.3006841160886,-0.62775923485381,-0.531341674805781,0.27024886771048,0.124623019983354
"SEPI_Bs_2 (GE) - TPM",-0.929625421138652,-0.877413474187677,-1.24834918616292,-1.65980845705317,1.54258223642017,0.500798727404639,2.55777394813529,-0.861719322722057,-1.29956088072236,-0.311706834940212,-0.641852995931792,1.12824960212385,1.04058899478277,-0.1964413859205,-0.685315421650649,-0.715106545354874,0.362089059630365,-0.813058087244618,-0.219262268941532,-0.429313179754554,-0.453101991206901,-0.949738312739517,-0.418392727161079,-0.346683078776761,-1.32252935559237,-0.340912509666496
"SEPI_Bs_3 (GE) - TPM",-0.98510682063597,-0.901049039008971,-0.20008844503332,-0.715707531527427,1.0449159867464,-0.00184535210039328,1.27874112091725,-0.813234038274538,-0.628481524124171,-0.375173512897871,-1.31970335492525,0.628601673472497,0.513758315720557,-0.406352647956292,-0.258623202126685,-0.241984029820446,0.1072398528077,-0.898423208787253,-0.784902167883574,-0.503480628295183,-0.745079738384544,-1.00494668059626,-0.292675402766399,-0.92065323621882,-0.727686520310522,-0.57725911671548
"SEPI_Ctrl_1 (GE) - TPM",0.0542673078238147,-0.154754963964718,0.998291585409621,0.864509959555626,0.832590110568268,0.272093134721107,0.993142083308728,-0.712376552267029,0.644369521504175,0.755630449640116,1.34591912516735,1.33471975884239,1.07003647242999,-0.111948357302419,0.631031150939565,-1.01765419267491,0.490995395474548,-0.0896319356379786,0.0506022421781705,-0.109978187903436,-0.0204563646433661,-0.352357133905299,-0.345773434254296,-0.107769294573188,0.649320474991879,-0.250242028927163
"SEPI_Ctrl_2 (GE) - TPM",0.276201323464939,-0.15306090775823,-0.357377794925715,-0.0123202312611787,0.865652965717444,-0.293766251085198,1.01715556643623,0.0461289437733999,0.0838651989879003,-1.05283855783373,-0.215357302019392,0.191708724978292,0.989270404264495,-0.17805827032832,0.87700264842681,-0.478166104437816,0.904755785258572,-0.292217465045482,-0.301417367473069,-0.0447859467151804,0.00722326153479659,-0.620881374734976,-0.606026443451469,-0.130174189044966,-0.863695034409728,-0.222239772503871
"SEPI_Ctrl_3 (GE) - TPM",0.242827916364668,-0.129354666666559,1.55656702904395,0.350490028135943,0.697629004289916,-0.111381819599687,0.559321112072403,-0.61724713766745,-0.227584100839597,-0.586515611644562,0.286630578354599,0.155262290378327,1.25368802310441,0.054619272300586,-0.278575881465756,-0.802340198291322,0.873765588026909,-0.494508410746601,-0.122823390478311,-0.231899894889407,-0.635752930346921,-0.475151281875064,-0.634021695395114,-0.480715030554648,-0.180576047780647,-0.542138022188867
"SEPI_Li_1 (GE) - TPM",0.0684225532143714,-0.279892249462971,-0.213822405421408,1.37008912361711,0.432825613718266,1.03553021776745,0.440568691859107,0.300474766677075,-0.302184314709968,-0.535399446113434,-0.419178476898298,0.0575675742950639,-0.0777956757266169,0.918017692090186,-1.09967068923577,-1.00126714651752,0.331219714277941,0.48365549952807,0.303753866752117,0.701826528698106,-0.656691737922188,-0.152952990235153,-0.763921971086109,-0.213102945399384,0.294593055575589,0.441601127757059
