"","B4U56_RS00040","B4U56_RS00050","B4U56_RS00135","B4U56_RS00190","B4U56_RS00490","B4U56_RS00795","B4U56_RS02035","B4U56_RS02040","B4U56_RS02480","B4U56_RS02620","B4U56_RS02670","B4U56_RS02915","B4U56_RS02935","B4U56_RS02980","B4U56_RS03515","B4U56_RS03620","B4U56_RS03735","B4U56_RS03805","B4U56_RS03975","B4U56_RS04005","B4U56_RS04020","B4U56_RS04085","B4U56_RS04240","B4U56_RS04260","B4U56_RS04475","B4U56_RS04530","B4U56_RS04645","B4U56_RS05250","B4U56_RS05355","B4U56_RS05485","B4U56_RS05725","B4U56_RS06025","B4U56_RS06320","B4U56_RS06390","B4U56_RS06650","B4U56_RS06740","B4U56_RS06785","B4U56_RS06930","B4U56_RS07035","B4U56_RS07390","B4U56_RS07395","B4U56_RS07540","B4U56_RS07545","B4U56_RS07550","B4U56_RS07580","B4U56_RS07710","B4U56_RS07735","B4U56_RS07855","B4U56_RS07900","B4U56_RS08015","B4U56_RS08020","B4U56_RS08065","B4U56_RS08070","B4U56_RS08165","B4U56_RS08170","B4U56_RS08315","B4U56_RS09630","B4U56_RS09670","B4U56_RS09675","B4U56_RS09680","B4U56_RS09725","B4U56_RS09835","B4U56_RS09920","B4U56_RS09950","B4U56_RS09990","B4U56_RS09995","B4U56_RS10000","B4U56_RS10140","B4U56_RS10145","B4U56_RS10160","B4U56_RS10230","B4U56_RS10235","B4U56_RS10240","B4U56_RS10380","B4U56_RS10550","B4U56_RS10950","B4U56_RS11010","B4U56_RS11015","B4U56_RS11385","B4U56_RS11460","B4U56_RS11550","B4U56_RS11620","B4U56_RS11955","B4U56_RS12070","B4U56_RS12075","B4U56_RS12080"
"SEPI_As_1 (GE) - TPM",0.912753254037871,1.22575336160681,2.58855010580122,1.29200935999261,0.570899134603504,1.18182883630338,1.37934366165477,0.604178085581221,0.138677038139338,0.821440578281533,1.72490415196932,0.703070508361677,0.498127751687899,1.12132538153366,1.24360849373339,0.561768571097861,1.29692788986998,0.0961415395518456,1.61111750425168,0.680305770517365,1.46812101838273,1.67004229076205,0.708303658409631,1.35820099995403,1.34367639994754,0.799909945854997,0.259092706136442,1.41785791132802,1.50348806174007,0.970209436007961,1.61621805501878,1.14963740758073,1.90391028008236,0.442324900371678,1.92757433503788,1.7515384458557,0.907819767422206,-0.0632548787960076,1.47752822936742,0.824046852238234,0.914404292138339,0.226748626969981,0.505786185674756,0.511759446563638,0.977023973614418,1.78770011902683,1.16124027594264,0.831920770573733,0.835367198834663,1.93427023659303,1.94501412909206,0.547782515520349,0.393350669880939,1.33920450264313,0.841465522556197,0.420783328945824,0.744276640035515,1.92743324196463,0.618067490132093,1.38443804053416,1.49467615758299,0.639692946302204,-0.131929386603271,1.44327479924816,1.07896783848433,1.40480660221352,2.10015004442114,1.35713032971239,2.5676389467184,2.40741159886775,-0.86733061298869,-0.65223974253205,-0.421413642860735,1.10552233285085,1.22642283799902,1.87066971347592,0.271493063837585,0.935762014362175,2.47865111669923,0.614543454288218,1.09397116160944,1.8833307216247,1.75604790670304,1.49455259162407,1.05000236416757,1.07571354259887
"SEPI_As_2 (GE) - TPM",1.33033893065237,0.946727135678062,1.98502264071708,1.39685174536416,0.665719156391945,1.03209111276602,1.94075550266991,0.909686054760737,-0.0199022938148982,0.489935950457536,1.31414160764873,0.600173643613665,0.781696112978642,0.877206029452784,0.864517867478222,0.634797006077486,2.26579731227429,0.252959273226277,1.59438852820542,0.588201941803416,1.29630051828461,0.802553643390543,0.706471438124791,1.64479570915392,1.65942412708472,0.78185820408912,1.29091716596388,1.34709403593657,1.40113469546546,1.55524605657642,1.72315689674299,1.77337158418266,1.9129733044593,0.985078965481946,1.71182622343829,1.66048382666094,1.3195359135288,0.507040556904759,1.12977115096378,0.823767326123698,1.02041889324515,0.699072214237667,0.731550974051409,0.483056334242429,1.18870381938723,1.88103952441248,1.23828408770062,0.728718098978975,1.01796491351241,1.64897007081299,1.99040638393904,0.683452958730992,0.631122431932193,0.780145847940126,1.24373299633165,0.493936433706209,0.677498444895911,1.37022149023807,0.0694288807385959,0.892577634340843,0.982308199554044,0.253229780920934,-0.0377617875720629,1.00310853207786,0.924190935309753,1.76138901256862,2.04577182854578,1.11849929293134,0.115983843172598,1.70642068576542,-0.865148378674206,-0.646436732409998,-0.437060596112294,0.772421986136371,0.962737484800723,1.67202109620303,0.153240851206469,1.42049774519315,2.34420562955265,1.12440288525502,0.745666221829038,0.944644340866892,1.18757907351928,1.25244177974392,1.82236112507136,1.14617733469734
"SEPI_As_3 (GE) - TPM",1.2896499763524,1.72819614654364,-0.167461850089502,0.738976380315048,0.950904032871252,2.02356068964113,1.87259302858297,1.09201891822868,0.0615616957418628,0.211680594604567,1.5261501413887,1.07543361874177,0.392560904578723,1.64861574476752,1.42144094366937,0.901355216210723,1.83974102497525,0.026874099248487,0.937196166334784,1.34540797222903,1.36146452271043,1.53826743645443,0.511412597214076,1.66326484619645,1.12923997465614,0.803309486300759,1.02325070904179,1.5560918755144,1.91243303016359,1.36360079559638,1.35233756088985,1.67693326432945,1.6105679037791,0.646889040297073,1.57824989045264,1.58365268678033,0.795417011492268,-0.0934880912015875,1.18630969893079,0.510192428505352,1.06571668907244,0.344302793251702,0.241959878565109,0.635764189960286,0.922373588247559,1.48466106148809,1.39845096795169,0.820844905762774,1.5603211261201,1.65199558946651,1.85928080055595,0.834664800671777,0.501157403345762,0.831816572165968,1.3793571408955,1.11618044974196,1.01158213231716,1.86713550231058,2.0114616147302,0.991582783120881,0.463388401184801,0.888612139585902,-0.0521353522554317,1.12401087913104,0.788161904326431,1.86321917171259,1.52878577405676,1.34847101396593,-0.388056241359117,0.706089885356641,-0.854164711253389,-0.708013503017193,-0.407783932780361,0.693010975042184,1.11326165207787,0.778815617919476,0.323025162366693,2.82980879277033,2.49638129783014,2.47769706345808,1.98853821960356,-0.169546955746107,0.80994337107372,1.0363223251369,0.972272255722502,1.30303479089758
"SEPI_Bs_1 (GE) - TPM",-0.954933613985359,0.0252879857818053,-0.622245060007825,-0.336380237336331,-0.797099501920857,-0.559791220026466,-0.213412834673442,0.57044951676928,-0.37681436968155,-0.19642382518463,-0.624674990057593,0.770595630375379,-0.640745560257072,0.112463098340772,-1.04340086928487,-0.580996677277181,-0.806997300455824,-0.0703971335278228,0.920692807926931,1.77124722219367,-0.587356623628036,-0.575892150542337,-0.680979014272101,-0.326803822831297,0.436189018060578,0.0522881878550609,0.247536606900024,-0.763316789778673,-0.930554748326759,-0.138797677610616,-0.27700626076684,0.459747160645818,-0.167840160413844,-0.131566835407718,0.807081057925099,-0.237966811450074,0.0619131326545662,-0.357338217192549,0.143317395134028,-0.848188544557657,-0.801859700911516,-0.645308852912481,-0.729553405282722,-0.296240822062019,0.108447447338885,-0.649918559247221,0.52452667906927,-0.604041065572753,-0.674645474389661,-0.110167915011308,0.106422667023406,-0.573929250818431,-0.468644666645752,-0.710305097923827,-0.680324908762191,-0.30604780342145,0.67885490764158,0.000765554285319521,-0.767339177976943,-0.234441816888209,-0.523892615517039,-0.131897552004157,-0.610565041564129,-0.678166952722411,-0.113565130666752,-0.0372067803105366,-0.513975888210158,-0.406793480169429,-0.247191112575309,-0.470487234142065,0.456835664884604,1.23495745135898,1.08365065642343,0.110373384900531,0.00772339632968533,-0.531902987932256,-0.0478211399139187,-0.58771642008367,-0.0536741654304457,0.174646718830597,-0.767361214029704,-0.524960312774653,0.0384865079410162,-1.1100530783039,-0.653765069285134,-0.0530101433842119
"SEPI_Bs_2 (GE) - TPM",0.607882710966611,0.466458863591151,-0.0916033559189393,-0.554310871622128,-0.246397813880666,-0.513623855150589,-0.379140787940311,0.619120246776715,-0.631283250390014,-0.221406079939345,-1.25709671478313,0.8491153778417,0.226522603689274,0.519111723429112,0.55346861482515,-0.56049077213695,-0.577960851888158,0.0345880128437781,1.15889628091523,0.268074590015485,-0.367904349754695,-0.947011700513342,-0.596328572496269,-0.346412188644964,0.228881585784713,0.110946131868188,0.70566594338988,-0.377314028007948,-1.17242765431965,-0.293138322090358,-0.928398919623689,0.507415118567197,-0.311577204483809,-0.641727119228317,0.491276690824297,0.0362873547468074,-0.00128090743792527,0.5589466294234,0.253146988156334,-0.177550844285275,-0.691323515178457,-0.74456327512323,-0.730913909427678,-0.865215660122581,-0.180413401845486,-0.3685436525377,0.303679809656938,-0.479340249715767,0.413826977148513,-0.362755834188017,0.100978360751958,-0.620107460505961,-0.632961696324083,-0.65318153532365,-0.625800278571161,-0.146030083121006,-0.370188482714574,0.915250934157173,-0.457922996599845,-1.0342845431838,0.234490473866586,-0.165163808957718,-0.664120477226073,-0.0355960387467461,-0.369351738677279,-0.202381478649281,-0.791280819596005,0.134530747384416,0.0830884987900337,-0.327386714870864,0.404769339157195,0.79288897176733,0.766817844589256,-0.136000859950806,0.611491344850232,-1.33587087031079,1.05392928567897,-0.558963723646091,-0.330376640356821,-0.577869170162147,-0.749096945265225,0.419589623373409,0.0336879537801886,-0.82628133803442,-0.694602905347101,0.393536081009178
"SEPI_Bs_3 (GE) - TPM",-0.984464238447186,-0.437469015090407,0.602299703162856,-0.509442940794201,-0.429383151567216,-0.352898712004836,-0.697784733738572,-0.0809247393980348,-0.395822004656243,-0.237044215769942,-1.14751814151666,1.78576598247133,-0.451265474390164,0.0859677424147844,-0.433304088301291,0.78233665023576,-0.979753377129924,0.105561365970129,0.123589877607576,-0.234542922242705,-0.938218284721074,-0.81489626030006,-0.322988152079084,-0.397261740138162,-0.740558623980374,0.343787771873517,0.256777114784622,-0.335528313646719,-0.766156171473797,-0.145951128440205,-0.578490081823065,0.489118636941853,-0.223235877083319,-0.0830849767129338,-0.635630462619886,0.14912652568279,-0.689721757104967,0.447522639100667,-0.157719159978665,0.790268400030351,-0.499948684259083,-0.999978019454127,-1.07359956121968,-0.779458465753959,-0.561942655850245,-0.925340736736442,-0.66376709092924,0.235927913850748,-0.837838180054216,-1.01694698108789,-0.275290357121521,-0.552225801960082,-0.149765318087082,-0.18678042033458,-0.641992963813181,-0.442008865707259,0.219374768683806,0.658145676189083,-0.479015960325289,-0.430153125845181,0.647945617554321,-0.578712037131952,-0.66662493744781,-0.913584683808082,-0.620490680821277,0.432831900438584,-0.233393574522037,-1.19427345217355,-1.10713524342883,-0.173314693388382,0.204179311877395,0.131677435511398,0.510147841986378,0.398787212708467,1.28354389172109,-0.915205577499571,0.198569666541495,-0.827976522889631,-0.0123350774083823,-0.226143164470429,-0.00695028511437672,0.800406163391867,-0.404228902817307,-0.245747327092032,-0.194819253090914,0.368715803144715
"SEPI_Ctrl_1 (GE) - TPM",-0.259133005212337,-0.938177114524752,-1.2339593619141,-0.306165137018719,-0.470525678589047,-0.654804806962447,-0.29724877779879,-0.473223882203028,-0.789254882416788,1.60959211667976,-0.441852772799106,-0.808649243654195,-0.274609332498505,-0.390010654934231,-0.369958694284808,-0.770555034101474,-0.339938755672662,1.29728233529984,0.331265293232295,-0.657378891519685,-0.356159117491022,0.260396812314597,-0.260021907135781,-0.667655986927269,-0.533727659658131,-0.929995915695254,-0.0225488452246123,-0.761509636169793,-0.346010568236759,-0.470085639342332,-0.416447992504548,-0.292937568750753,-0.274567261689631,-0.820119875838159,-0.708738941791312,-0.68104355074144,0.344472343206092,-0.217717252772012,-0.299211024468141,-0.997862119007435,-0.772034443109433,-0.264502063375836,-0.446984357667519,-0.164387445065743,0.0710640247505412,-0.475376753550949,-0.540768252108975,-1.33862720976351,-0.670140887226776,-0.307011624583241,-0.523030700475223,-0.811053748188231,-0.768323718918132,-0.666919003823248,-0.827571153094044,-0.722141526395446,-0.727768714395962,0.522838960233256,-0.321624027066961,-0.374600669491363,-0.339748609136391,-0.411562258123892,-0.564165746069269,-0.0957629291000492,-0.231686678196584,-0.871244521913898,-0.238766769461861,0.152468539531614,0.691532246391133,-0.575843638312197,1.40460614577401,1.35259509023933,0.914244101393266,-0.687276443650155,-0.509176135276946,-0.618233579991527,-0.258911881078812,-0.806452314761172,-0.978422433501658,-0.0739781694998813,-1.00636022148968,-0.909053345497236,-0.865631781412725,-0.538162602970144,-0.410085070828568,-0.615302203491674
"SEPI_Ctrl_2 (GE) - TPM",-0.269340388179145,-0.756952286803327,-0.302508775683563,-0.62016564422995,-0.677415120067149,-0.488489886207813,-0.199197211168404,-0.710356902586021,-0.664135892566097,1.48287666786919,-0.682177292706644,-0.675464563599842,-0.797260384325361,-0.658792028202921,-1.20700221907534,-1.14416495949735,-0.4163279797669,0.959345288901349,-0.0875752249554362,-0.872900667237624,-0.587613059705054,0.84961023791946,-0.594982760271764,-0.193442460053883,-0.465766996415186,-0.964919079834531,-0.837045027182453,-0.609628110059848,-0.541329962240254,-0.826536612332126,-0.383659133609716,-0.796450294933433,-0.184311066545411,-0.581786970011826,-0.331864922429857,-0.581687639380483,-0.520340303165268,-1.28976243456221,-0.399542198295626,-0.871700184491126,-0.775304412051005,-0.669219712678864,-0.949750177217052,-0.533775984981133,-0.0484600502974368,-0.505085090821876,-0.296341592436488,-1.0505765619371,-0.327136633608754,-1.11590300170511,-0.574023809723812,-0.789853033487001,-0.800059707624827,-0.825309124117241,-1.13498150982008,-0.00380282994574634,-0.774476588526781,-0.703670287845837,-0.0027088472611019,-0.314786031145501,-0.14503196641852,0.0874349066491991,-0.60474410781319,-0.770874446394411,-0.14421258428167,-0.435454097353021,0.123348214646764,-1.01144542839665,-1.1652843894631,-0.568215370562227,1.14524677946168,1.38764567945733,0.917347904140507,-0.701542505087328,-0.722523774338677,-0.733638886909603,-1.01585381906423,-0.81558236689622,-0.310324479582829,-0.436012315457832,-1.84818900753162,-0.512613623643,-0.993306491444586,-0.555661963730314,-0.813476177069811,-1.28684953390791
"SEPI_Ctrl_3 (GE) - TPM",0.809086645930236,-0.471160642656942,-0.416650875388875,-0.989934738278634,-0.249725426530854,-0.686588762701123,-0.263476437598338,-0.910024970728357,-0.901454671642148,1.47760838883066,0.46398292795218,-0.419593683575978,-0.813244218406117,-0.840393718072945,-0.643556482711835,-0.945799794857438,-0.607330939418237,0.875111547854943,-0.0459450452521116,-0.169134068717784,-0.629041537823587,0.0501438012261205,-0.887990060082389,-0.669541076341141,-0.275715623345857,-0.99310326031451,-0.933410552835688,-0.635744685738005,-0.623086981966339,-0.77086931379594,-0.752279841298528,-0.80312545255345,-0.500438264367909,-0.350233064621691,-0.492773887262635,-0.565892330123982,-0.571391433834186,-0.886993398289428,-0.191495158067726,-0.204763603626969,-0.697656093668229,-0.616915089542924,-0.971396961137779,-0.436811461724284,0.0161476913478743,-1.06557697231557,-0.552464343978234,-0.864729444917281,-0.557428934341729,-0.663673037392272,-0.111693898379459,-0.785924835341339,-0.750326722886513,-0.666045630362875,-0.224994833888175,-0.96397220066278,-0.651934424242754,-0.910505043313196,-1.05285942616013,-0.295268580423962,-1.31608383861489,0.354220146599214,-0.753543350465314,0.790839740277528,0.0207687450245729,-0.63287306143372,0.57191306115341,-0.363059607935929,0.263533007606729,-0.285176360126717,1.2095211825917,1.3576727244295,0.710478460174831,-0.524207425644664,-0.734350691391644,-0.895880199921889,0.0887570679625689,-0.95769600875857,-0.835414516413031,-1.02770396841304,0.112903520289539,-1.09254013392702,-1.1255333952919,-0.703661224607217,-0.754012390568251,-1.6405798111635
"SEPI_Li_1 (GE) - TPM",-0.0154119639116915,-0.790509454895748,-0.98142514555075,0.44890773063003,1.44651251554034,-0.423852167926664,-0.109012397801091,0.185415833038496,-0.434370195985906,1.82017980537763,-0.0487716786255981,-0.0122450647718659,1.89865049034218,-0.873506047822696,-0.450535293699817,-0.802202267439438,0.405763787323364,2.83712734518258,0.548423415298127,-0.458965147826445,-0.338487061678301,-0.0237519899242118,-0.646957299022612,-0.0429666819495341,0.250360519731351,-0.777029346581589,0.603609535757196,-1.03496855936216,-0.00360394783236989,0.642900242403162,-0.0467932099598163,-0.80511168505687,0.683214732281893,0.603967951144633,0.775408485020075,-0.870519408612799,0.297326807001313,-0.191685060049031,0.155863186902229,-0.518276247567097,-0.701053510157111,-0.293065526281733,-0.348975513594899,-0.694834770417958,0.639416029779261,-0.708584699691824,0.278280029656857,0.332124372752904,0.573750306972688,0.784341554381079,0.651346661953984,-0.682656482427959,-0.654276405722924,0.471656401089703,0.592446845963904,-0.580163496693408,0.355290750188276,-0.286920821874277,-0.133299401356408,-0.515420067273004,0.0396080746513636,-0.988969155109158,-0.202580918115938,-0.792769458853229,-0.0732678606669947,0.763430115957666,-0.338381133651356,0.916951147617774,0.241176048569037,-0.835329058426516,1.25596209630966,1.51782152401807,1.12431784392403,-0.0323048232356931,-0.628632736522976,-0.591374488223808,1.1493987626425,-0.100730287304835,-0.715317506492024,1.66763188538253,0.115091796469279,-0.303798416805276,-0.122964746854951,0.0368153258892033,-0.60799804627004,-0.836569554485479
