"","B4U56_RS00085","B4U56_RS00335","B4U56_RS00340","B4U56_RS00370","B4U56_RS00375","B4U56_RS00575","B4U56_RS00655","B4U56_RS01250","B4U56_RS01420","B4U56_RS01525","B4U56_RS01620","B4U56_RS01770","B4U56_RS01915","B4U56_RS02140","B4U56_RS02805","B4U56_RS02810","B4U56_RS03220","B4U56_RS03480","B4U56_RS03485","B4U56_RS03490","B4U56_RS03495","B4U56_RS03500","B4U56_RS03505","B4U56_RS03510","B4U56_RS04320","B4U56_RS04325","B4U56_RS04330","B4U56_RS04375","B4U56_RS04395","B4U56_RS06050","B4U56_RS06055","B4U56_RS06060","B4U56_RS06065","B4U56_RS06070","B4U56_RS08245","B4U56_RS08470","B4U56_RS08475","B4U56_RS08480","B4U56_RS08835","B4U56_RS09240","B4U56_RS11175","B4U56_RS11825"
"SEPI_As_1 (GE) - TPM",0.407558400874201,-0.734351696715315,-0.779211932325134,0.708165790202741,0.806216001010395,-0.210015143277117,-0.158855491664813,0.890747699948727,-0.282577905874832,-0.706564203488311,-0.192189304484371,-0.677479180477835,0.807606445723537,0.590270912105779,-0.587283600718417,-0.459154582333431,-0.371497091721011,-0.688421453911884,-0.670040277808622,-0.677746094570282,-0.628522812724311,-0.383388111681874,-0.594880911703636,-0.491552777271162,-0.289161473863258,-0.38839899138609,0.504163629999039,0.611175796595643,-0.697993504040184,-0.409584518613742,-0.412919860489717,-0.541464650684533,0.241878419060673,0.00502289270281036,-0.166666666666667,0.115683219304131,0.819483856783687,1.11665393990266,-0.275034147024403,0.842445050092102,0.810749076919751,-0.240230455506878
"SEPI_As_2 (GE) - TPM",0.54638168478803,-0.844585558647159,-0.814411676123563,0.555168651840415,1.12135310594468,-0.210015143277117,-0.24667294599902,0.858200657893494,-0.534586237463387,-0.348449097677612,-0.249977656481625,-1.04593228377213,0.390684961913828,0.92049636373179,-0.708644797037569,-0.272724570797161,-0.371497091721011,-0.698260039461117,-0.66860507095351,-0.66798511554057,-0.615516025265986,-0.600191934279553,-0.639716959754052,-0.517014790593884,-0.326024705321043,-0.371585671817134,0.458988149356175,0.541944525791919,-0.573973074923896,-0.466082295745715,-0.426698235477033,-0.514873807348016,0.402285620834506,0.440556138773852,-0.166666666666667,-0.0443222440475188,0.319892085884373,0.428952381872608,0.130943721788111,0.590623679590551,0.371804884292309,0.457481310732932
"SEPI_As_3 (GE) - TPM",0.744616344131263,0.233587871270026,-0.61465076826948,0.72863156139783,0.274102773072924,-0.210015143277117,0.500406904032486,0.785659380891658,-0.618134854632765,0.453163212379561,-0.357201408876578,2.43361416212151,0.0735391988353165,0.582227774432864,1.33490276497397,0.212768871429172,-0.371497091721011,-0.760987705104503,-0.61493653860394,-0.675523314980496,-0.65873682801585,-0.600159704544114,-0.568044972987367,-0.490703326225887,-0.381269825174415,-0.37630793621041,0.690869284949932,1.68462947526977,-0.100447671910208,-0.433992823257723,-0.418813230587828,-0.533818638956564,-0.0161564274392126,-0.071765441108943,-0.166666666666667,0.200607829853671,0.785628952697812,0.939529173974538,-0.122581577285256,-0.543976103935251,0.224572594751159,-0.240230455506878
"SEPI_Bs_1 (GE) - TPM",0.0116714927347735,-1.07952699529931,-0.560316754871792,-0.37730753637894,0.10256894580778,-0.210015143277117,-0.293403780963649,0.350178010721982,-0.232883074166153,0.862229401480994,0.457913989121684,-0.126712612245575,-0.351748068433471,-0.511660646202335,0.642934269569072,0.907273679044672,1.27865957552501,-0.535322874640025,-0.511932608998408,-0.555477551930579,-0.515191186829317,-0.576278728397838,-0.585484672657995,-0.499171218433515,0.51903488189669,0.427844577493486,0.637668337844545,-0.298480736313456,-0.510202742330561,0.483582590125842,0.646618822470066,0.623315438628516,2.25432353545758,2.18701865793493,-0.166666666666667,-0.95756053104226,-0.632161130446206,-0.979919654835959,-0.360687383706996,0.281953986139248,-0.220403188356666,-0.240230455506878
"SEPI_Bs_2 (GE) - TPM",0.127859888115409,-0.050549397726969,-0.76927475865051,-0.326038442505732,-0.225115509177072,-0.210015143277117,-0.427394345977556,-0.564018831287139,0.0386244037261946,0.829038359075703,0.230909654612239,0.0692563337029965,0.0248064142920698,-0.0110328699072324,1.39577576632243,0.282452662408128,-0.371497091721011,-0.620823629742029,-0.564731033584188,-0.537581082811634,-0.514407683759232,-0.170487662560935,-0.541374652893403,-0.530108217638095,0.451020799740533,0.422694864229276,0.845703750710337,-0.0330853664996706,-0.376577920378031,0.639454134378418,0.510839876254865,0.700166724041453,1.38041579957324,2.06065503646149,-0.166666666666667,-0.541490277882175,-0.704649412342191,-0.83667621173556,-0.603206207304164,0.319922030494478,-0.391978942602062,-0.240230455506878
"SEPI_Bs_3 (GE) - TPM",0.321817298673668,-0.882518607198778,-0.716053226403734,-0.142096431837806,-0.0166641973738,-0.210015143277117,0.265311085309672,0.0991752104475999,-0.098892076719989,0.260257429512078,0.0152159393195664,-1.04593228377213,-0.0259130435444466,0.834644336624816,0.58179948669576,0.424573609767133,-0.371497091721011,-0.63819684684424,-0.601357975077109,-0.634488813063322,-0.567138984120325,-0.561064401876583,-0.629055038795896,-0.578920914766719,0.598214013837325,0.459839652152022,0.220778133122158,0.897942936486539,-0.816097617376546,2.14351130731546,1.30936481918048,0.911966946584946,1.13383087784449,2.22528916007888,-0.166666666666667,-0.536432763071904,-0.794730497010071,-0.737957580637158,-0.651988031700382,0.780634874351698,-0.071119085973429,-0.240230455506878
"SEPI_Ctrl_1 (GE) - TPM",-0.705100917696754,-0.644520105323866,-0.771156703493023,-0.549110658436126,-0.143167871920642,-0.210015143277117,-0.427394345977556,0.0236512724606348,-0.354888570314404,-1.06569903598851,-0.798092249351383,-0.536685841852444,-0.435807569212169,0.724981568864979,-0.620501646780528,-0.346754599869978,1.1521438068555,-0.349620592694681,-0.369618799280017,-0.200089040300189,-0.264977203937865,-0.159638358533517,-0.251307291977151,-0.269502381853645,-0.354790496071488,-0.335150568092264,-0.273095042525807,-1.18345751535598,-0.985034840207763,-0.873724070841764,-0.922985907639189,-0.550072153137682,-0.285736591634586,-0.513312692412596,-0.166666666666667,-0.590920851965801,-0.526517726659459,-0.333172110661806,-0.0880529757474482,-0.867493808332836,-0.722507387996526,-0.240230455506878
"SEPI_Ctrl_2 (GE) - TPM",-0.383463286400816,0.0797308351040658,-0.760110759096057,-0.522991867826838,-0.756916411103944,-0.210015143277117,-0.182075005144786,-0.17455118685554,-0.516393067300251,-0.145276119693184,-0.737623947999985,-0.642019013083119,-0.254866021442754,-0.545034187370425,-1.04574580480063,-1.3817805828943,-0.371497091721011,-0.427099038648821,-0.115891834212132,-0.246293335507786,-0.22454488242639,-0.0988242573664446,-0.34584246306221,-0.268076186844274,-0.14938260623843,-0.367392133969129,0.0808140760500762,-1.32962122317333,-1.00749782900008,-0.976885348963863,-0.938271868918168,-0.580429301514414,-0.0767282613718792,-0.551219894168067,-0.166666666666667,-0.484256989524151,-0.613273317501078,-0.55135606115762,0.400922947864447,-0.455357298907431,-1.01304227541761,-0.240230455506878
"SEPI_Ctrl_3 (GE) - TPM",-0.527866052048817,-0.243196526474784,-0.728796328316922,-0.479692817390628,-0.572897390582552,-0.210015143277117,-0.427394345977556,-0.705402247662572,-0.623877183573711,-0.785582036385231,-0.669737650235938,-1.04593228377213,-0.16340584601588,-1.25349276352265,-1.11495688939382,-1.31594480965297,-0.371497091721011,-0.412572682272853,-0.434360354602621,-0.359326020583592,-0.279660794473563,-0.422822920946295,-0.208456121202951,-0.209459670795811,-0.527984717101506,-0.462787262693112,0.0411187126958005,-0.244085812506121,-0.471811402894024,-0.916027270756336,-0.910692636557127,-0.588077595751823,-0.394248727164968,-0.400311482580569,-0.166666666666667,-1.02633288773804,-0.772027627202186,0.018375688539435,-0.204012713466954,-1.09905205607641,-0.799303705143331,-0.240230455506878
"SEPI_Li_1 (GE) - TPM",-0.336431780895126,-0.548409023921065,-0.194219470813951,-0.562771477896183,-0.868721951374105,-0.210015143277117,1.03752673400017,-0.966038507315823,-0.839712766195176,0.247192807082205,-0.648587249248352,-0.286610738369419,-0.91450128362191,-0.70387206329815,-0.0923116896527459,-0.559074403937485,-0.371497091721011,-0.484161469334234,-0.362677283469508,-0.439871281451349,-0.407611275111392,-0.491391060664173,-0.579212260788108,-0.548826396876113,0.483260270235384,0.235327456476881,-0.385095505122476,-0.74250756980629,-0.468928837874062,-0.331050851341351,-0.220320833708378,-0.189444356253976,-0.123424537576222,-0.447072496640584,-0.166666666666667,-0.884042793585976,-0.994118363467765,-0.966588459702289,-0.815631472725331,-0.332340166402499,0.210246513710621,-0.240230455506878
"SEPI_Li_2 (GE) - TPM",0.0113054536471832,-0.905004527271815,1.08912065717167,0.0726641119399283,-0.478579651057853,-0.210015143277117,-0.427394345977556,-1.31414842143265,-0.356031006975888,0.713875028641624,-0.7756393603647,-0.316792924232672,-0.64336915874448,-1.62291053598421,0.165541370834433,-0.3072414714925,0.56345288528726,-0.339806776521993,-0.489978021920912,-0.445122105390644,-0.556363486782408,-0.613998338144895,-0.611344946943107,-0.525463750421239,0.204052512396884,0.754743538583106,-0.510929618953979,0.153219700800626,-1.49315984176321,1.69373046381857,2.84502314130686,0.310185542157121,-0.2165781511268,0.115817606248606,-0.166666666666667,-0.966065834578928,-1.19968306581452,-1.54237183847815,-0.951033225872154,-0.253935823858174,-1.05377632576134,-0.240230455506878
"SEPI_Li_3 (GE) - TPM",-0.36616237801517,0.597535349789745,0.361856978381902,-0.431651062758645,-0.254492509596136,-0.210015143277117,-0.427394345977556,-0.918659544768564,-0.44565202351187,0.344780404742834,-0.758695696336116,-0.648597232413456,-0.424072408606701,0.550275012780867,-0.174274683104565,-0.206051649418015,-0.371497091721011,-0.162986506593128,-0.339600083488943,-0.224598043292498,-0.430984078978719,-0.460934958726955,-0.448894813618232,-0.534083591931091,0.663539253206444,0.253017800635168,-0.504134838558499,-1.23482731171946,-0.711901507264211,0.604666233844595,0.7433352593789,-0.135007806937094,-0.851734311197651,-0.405733304647441,-0.166666666666667,-0.454564737117655,-0.835780674482211,-0.641339802907575,-0.78944371635047,-0.796101876292798,0.197210355211466,-0.240230455506878
"SEPI_Mig_1 (GE) - TPM",-0.371011473276163,0.600497283091949,0.361511941595156,-0.887649275670853,-0.904555798445177,-0.210015143277117,-0.244203484613602,-0.292084157212101,0.0222582038876347,-0.597722854744813,0.895398309381921,0.160547722574552,0.199438471555877,0.375229968633413,-0.830112210211177,-0.470076336513801,-0.371497091721011,0.354539241055736,0.177642628283054,0.224488298574701,0.059258195890798,-0.114365526361234,-0.0251458905480628,0.0166347866427587,-0.781162219858843,-0.569049181321549,-0.43529375085528,-1.07681454009614,0.924300885121384,-0.847767041355356,-0.659881945102302,-0.524962084664759,-0.261335872164656,-0.541843140975475,-0.166666666666667,0.0655887580491928,0.132962363395224,0.00720702044572705,-0.0689783069896893,-0.172161570157745,1.32703930942892,-0.240230455506878
"SEPI_Mig_2 (GE) - TPM",-0.283855188751599,0.721756572030538,0.364092342237735,-0.832152928385288,-1.10386059632788,1.56939419304461,0.731341511995586,-0.349360876002284,0.125447867330813,-0.741252663017453,1.05024987528775,0.600042888734904,-0.104951244776424,-0.714147809839194,-0.98566139977357,-0.594982310093635,-0.0357235459078406,0.486137842221188,0.118106155996693,0.0270006148972108,-0.114681101409453,-0.233037653672262,-0.120155810227081,-0.0534492753199088,-0.739230285099144,-0.574680122503763,-0.489781267175308,-0.916079599775381,0.35517965135324,-0.821339635008507,-0.747595839930732,-0.546022324001435,-0.280521857488084,-0.794856764924056,-0.166666666666667,-0.368173375878638,-0.296840380174252,-0.425292787171879,0.0591189818336528,0.541227063290943,0.0222256562252999,-0.240230455506878
"SEPI_Mig_3 (GE) - TPM",-0.493740115530848,-0.187820020559368,0.12505867408083,-0.901561640005523,-0.844038104906633,-0.210015143277117,-0.193878235789244,-0.443056596826604,-0.697235831605373,-0.566502199473847,0.924327456363079,0.299745941234526,-0.0630143424890098,-0.177537368992709,-0.202991410674515,-0.312125477121966,-0.371497091721011,0.44348891276243,0.106372571079763,0.0257461782752648,-0.121275069545374,-0.0711023347888354,-0.0116590857547648,-0.0507732362294288,-0.863287806251563,-0.625372009843602,-0.423292725082738,-0.518365465719215,0.357664735001166,-0.835337625069881,-0.772062246166258,-0.558604704447836,-0.354309510098074,-0.247927324270496,-0.166666666666667,0.191955002964401,-0.121801735967555,0.00804782202810504,-0.202412181394615,-0.424459676187235,0.0953210390875244,-0.240230455506878
"SEPI_Nd_1 (GE) - TPM",2.81034155658419,2.14199675710441,3.21864965664863,2.45694776490716,2.8477038881468,-0.210015143277117,5.41654826831274,2.11300869775549,0.446506068641088,1.09143404718485,3.11833630092701,3.47345993838896,1.79651867736673,0.894354055901638,1.81233695651002,1.46113754730815,-0.371497091721011,3.33307126850631,3.53368679351363,3.11857964671221,3.59974323244154,2.84312650680967,2.42938965129357,3.51098108638626,3.72193105439097,3.77057365058836,1.81415951671047,1.26040404129556,1.40633346728682,1.07279367248997,2.51117626243323,3.28289548334128,2.03512909817107,2.19394923864323,-0.166666666666667,1.86686882410013,1.67345869458989,-0.192214875633827,4.25464899628919,3.3189501773662,0.163090069892138,-0.240230455506878
"SEPI_Nd_2 (GE) - TPM",2.75000295779371,2.22200815574277,1.76101510760231,2.67720950037662,3.22230756916415,-0.210015143277117,-0.427394345977556,2.49106847237702,4.63802975248864,1.51834940168311,1.66498012205235,0.620420315396654,4.03350413411869,3.01044814487968,2.16815009047766,3.11819811719603,5.23735572612744,2.2144900041023,2.44675131907423,2.70671132980423,2.24114356102894,3.50221659130353,2.63725817387269,2.61647885480853,1.98756397869104,2.2904360311266,4.14598443184652,3.30535786111,3.27570781048862,3.04172339327813,2.02604801961117,2.98244823837878,1.78830858175656,1.07184890244029,5.83333333333333,2.28129414866867,2.59551726707316,3.63866770050682,1.47749615999403,1.87307893778992,4.61446300346857,5.62072329456058
