"","B4U56_RS01290","B4U56_RS08840","B4U56_RS08850","B4U56_RS08855","B4U56_RS08860","B4U56_RS08865","B4U56_RS08870","B4U56_RS08875","B4U56_RS08880","B4U56_RS08885","B4U56_RS08890","B4U56_RS08895","B4U56_RS08905","B4U56_RS08915","B4U56_RS08925","B4U56_RS08935","B4U56_RS08965"
"SEPI_As_1 (GE) - TPM",0.491047890903671,-0.567492754082338,0.291687642800409,0.411536196145568,0.458144983669994,0.645956726407335,0.351187492079359,0.806949593999407,-0.0876058466361627,0.438946787306562,-0.196648021425517,-0.186401471683809,0.404257607481294,0.162533481386201,0.327103239772285,0.701904962774866,1.5572076399879
"SEPI_As_2 (GE) - TPM",0.884718844724474,0.3228632648689,0.183051443430701,0.525121192309225,0.0171664052872706,0.433858076689541,0.0492090300168974,0.5018262897746,0.190428808553232,0.306874731064262,-0.368448570321633,-0.445267564515685,-0.333047676817398,0.0375382355597967,0.332585301282855,0.552399774203389,1.11082070342388
"SEPI_As_3 (GE) - TPM",1.1152677096801,0.189639596865519,0.332553949672676,0.24604310233119,0.326236711818642,0.606088896219161,0.673835501910724,0.368118308417313,0.0942086958336889,0.356511544379108,0.788721899801853,0.208545930450762,0.832534622022475,1.23092808902147,0.70346339246921,0.299564425612705,2.13405739957137
"SEPI_Bs_1 (GE) - TPM",-0.590190679341089,-0.12854197829983,0.227440974570754,-0.181104455067559,-0.251876281729612,-0.328040131051195,-0.351936977486137,-0.409161020943414,-0.692377307887642,-0.594811480864598,-0.820820766206635,-0.613798309674255,-0.394024821336188,0.186574761629975,-0.445290615098123,-0.382185325266427,0.0225112142009519
"SEPI_Bs_2 (GE) - TPM",-0.751989217970579,-0.698006167733214,-0.359144504909499,-0.639210039939993,-0.225653517787017,-0.0212056699557911,-0.430454069073767,0.133174263298282,-0.524011813026907,-0.560753295210618,-0.281850451632936,-0.597620653596628,0.053720601520002,-0.501846523973859,-0.622593314493298,-0.499364420575205,0.545944637902451
"SEPI_Bs_3 (GE) - TPM",-0.751989217970579,-0.271719541948396,-0.690028943450191,-0.979075024396951,-0.916182512642043,-0.997129701486123,-0.556898941918652,-0.749083537316929,-0.606061880356056,-0.58772061211302,-0.378616916769144,-0.848321760386547,-0.619654550050235,0.157379925852503,-0.58697950073909,-1.21083429365666,-0.15668965019457
"SEPI_Ctrl_1 (GE) - TPM",0.492957579387117,-0.423629665652633,0.138860814552309,0.21600518127512,-0.124142818229881,-0.113933719343528,-0.143988143930368,0.405414363860666,0.0593181203295807,-0.117955339240513,-0.503125056050896,0.776227509987218,0.667504970940951,0.0868445614258194,0.0670614108871537,-0.139520342644058,-0.0392940065303338
"SEPI_Ctrl_2 (GE) - TPM",-0.751989217970579,0.438247890660801,1.49242056827706,0.413680759977159,0.562055497917317,0.203496894386513,0.702966614527661,0.179062103906157,-0.195423860093547,0.268900651012339,0.9864662511733,0.253634150971848,0.780958572220404,0.807303482117527,0.289856364907385,1.55656543152676,0.281809299984124
"SEPI_Ctrl_3 (GE) - TPM",2.04576496872635,0.328039950618816,0.384166279773798,0.0805597563966639,0.00171598768831193,0.604418829562414,0.294057942645214,-0.11334423316852,-0.209018029451411,0.154751628671881,0.560523618190352,1.15335825381432,0.105389659107292,-0.446869550781386,0.212173470435975,0.0238392091854071,0.468734253517181
"SEPI_Li_1 (GE) - TPM",0.0342090571893921,-0.805077513193831,-0.382802545021521,-0.811968829067022,-0.894339651889031,-1.19677060161486,-0.843042116810618,-0.755293520444651,-0.360858268678448,-0.504553091178923,-0.700387755790021,-0.798862272091097,-1.00527414283404,-0.431182267156273,-0.00639348892530514,0.240615971220727,-0.72384697956746
"SEPI_Li_2 (GE) - TPM",-0.751989217970579,-0.270280940799549,-1.70663988985104,-1.15157017531814,-0.869725745166572,-0.883086652560584,-0.850895317792959,-1.47627575728804,-1.10903832436108,-0.650100848352596,-1.12803725184156,-1.08503724198632,-0.340711796886952,-0.459612177370841,-0.149120721632149,-0.887482023219465,-0.857174816577804
"SEPI_Li_3 (GE) - TPM",0.559345127139623,-0.221766701559783,-0.719288193055605,-0.853272148927801,-0.893481772713087,-1.29619302888259,-0.762665473352391,-0.706152441631474,-0.394028012738851,-0.598682222437968,0.0741772961959185,-0.484192862030887,-0.754969293601983,0.104831481103878,-0.0606073669473837,0.1298010721394,-0.239633577854952
"SEPI_Mig_1 (GE) - TPM",-0.751989217970579,-0.229039672076782,-0.535868552122254,-0.0483126921070974,0.195039727631155,-0.0808138235915689,0.020926926296258,-0.0369036229664177,-0.380891388256016,-0.568222074057795,-0.511015308315786,-0.758677463155838,-1.19274713560464,-1.19320082767722,-1.37641599600762,-1.20599825658095,-1.41609297060178
"SEPI_Mig_2 (GE) - TPM",-0.751989217970579,0.0375222491701252,-0.354533475606135,0.169003679468167,0.311131236552659,0.601970002198973,-0.240252239280082,-0.37113032004901,-0.324991422958478,-0.282379611370102,-0.767275897546798,0.422931059594823,-1.133437949839,-0.412363332337212,-1.6742902430489,-0.458588075903309,-1.26663711550003
"SEPI_Mig_3 (GE) - TPM",-0.610999569351509,-0.286573557022312,-0.593566729280191,-0.20527407206357,-0.166674247778557,-0.392022327474063,-0.587400709914324,-0.626969418126914,-0.614743838213368,-0.821783639060094,-1.04701223081392,-0.591358906691196,-1.51278277659942,-1.45207153647062,-1.87056036415007,-1.45649401757749,-1.09635454001074
"SEPI_Nd_1 (GE) - TPM",3.73868628499957,3.92403705800874,2.54704162460932,3.62038624106413,4.08082782887223,3.53634198823595,1.78877326831424,1.48779713126905,2.93206124578777,2.66645025803601,0.631677999709167,1.14137273620013,1.80774203229699,1.70652090656878,1.66546804295717,2.22491989251627,0.97472989871565
"SEPI_Nd_2 (GE) - TPM",1.08117852100806,1.9009621885953,2.83950228489928,2.68180846689594,2.20944375466048,2.53035665234959,2.75477011994394,3.1649201384573,2.8131464655939,2.65407239536428,3.0007073452221,3.55720005426087,2.10966936279086,0.343246429802859,1.89930979995359,2.38932285257903,2.51584263935456
"SEPI_Nd_3 (GE) - TPM",-0.484581948254179,2.93992508496165,2.2192497774464,2.06220645867017,2.12307443675187,2.17761036165859,3.84226425484164,3.01541418251062,2.43363958018011,2.71592114074178,2.75571657317179,2.19042144214888,2.61852554022651,3.89054952998141,1.74148474120007,1.39591653151738,1.68562215708706
"SEPI_Ns_1 (GE) - TPM",-0.499010043890383,-0.362385957028142,0.151908041504217,-0.0584526973789797,0.0184734333876068,0.0324098511041565,-0.458779641334065,0.12749587236815,-0.0121932238649972,0.0925357496010871,-0.136075825261227,-0.386952565921474,0.130191418853414,-0.137702611905777,0.562018059442481,0.483905554202284,-0.412219505983335
"SEPI_Ns_2 (GE) - TPM",-0.751989217970579,-0.000187734027834333,0.350116781753967,0.613433419225744,0.205613155000554,0.23566902450484,0.452456357635453,0.726768009561427,0.535522784244923,0.571526959394518,0.359026907343896,0.143376921456821,0.705313384548495,0.651090090086352,0.649758712314964,0.805211607799006,-0.0507368061333083
"SEPI_Ns_3 (GE) - TPM",0.802653118809782,-0.23120920632865,-0.00734568171389369,0.0937431259861232,-0.594387206600286,0.258417372114718,-0.172227123204853,0.254737724988486,0.1378428888201,0.344461248051492,0.29151396278141,-0.359392321332593,0.270252548469917,-0.234977490574951,0.488764677353948,-0.0869811424219133,0.0355549230262492
"SEPI_Oss_1 (GE) - TPM",-0.751989217970579,-0.337578326005297,0.059307160604782,-0.0561307452104603,-0.0417889418027861,-0.0594386020418268,0.142543327024821,0.734615306298083,0.441278787496013,0.383256288406144,1.41344834046135,1.13585908212008,0.511988592483168,0.93674425180955,0.962673604905894,0.0504862588642077,0.21336394564502
