"","B4U56_RS00545","B4U56_RS01030","B4U56_RS01085","B4U56_RS01360","B4U56_RS01470","B4U56_RS01475","B4U56_RS01845","B4U56_RS02260","B4U56_RS02975","B4U56_RS03275","B4U56_RS03315","B4U56_RS03330","B4U56_RS03335","B4U56_RS03340","B4U56_RS03345","B4U56_RS03350","B4U56_RS03355","B4U56_RS03360","B4U56_RS03365","B4U56_RS03370","B4U56_RS03375","B4U56_RS03380","B4U56_RS03385","B4U56_RS03390","B4U56_RS03395","B4U56_RS03400","B4U56_RS03405","B4U56_RS03410","B4U56_RS03420","B4U56_RS03425","B4U56_RS03430","B4U56_RS03435","B4U56_RS03920","B4U56_RS03930","B4U56_RS03935","B4U56_RS03940","B4U56_RS03945","B4U56_RS03950","B4U56_RS03955","B4U56_RS04250","B4U56_RS04345","B4U56_RS04605","B4U56_RS04660","B4U56_RS04860","B4U56_RS05220","B4U56_RS05775","B4U56_RS06000","B4U56_RS06160","B4U56_RS06165","B4U56_RS06170","B4U56_RS06175","B4U56_RS06395","B4U56_RS06905","B4U56_RS06910","B4U56_RS06925","B4U56_RS07120","B4U56_RS07675","B4U56_RS07755","B4U56_RS08180","B4U56_RS08335","B4U56_RS08420","B4U56_RS08425","B4U56_RS08650","B4U56_RS09020","B4U56_RS09145","B4U56_RS09290","B4U56_RS09485","B4U56_RS09490","B4U56_RS09495","B4U56_RS09895","B4U56_RS09900","B4U56_RS10415","B4U56_RS10845","B4U56_RS11030","B4U56_RS11050","B4U56_RS11055","B4U56_RS11085","B4U56_RS11355","B4U56_RS11595","B4U56_RS11600","B4U56_RS12090"
"SEPI_As_1 (GE) - TPM",0.149881087486561,-1.10902810730772,0.350113347241912,1.42124219761452,-0.412177732725214,-0.770499286156782,-0.680316142997899,-0.411180462455369,-1.01488658652235,0.309997348401938,2.06767597596649,1.60578942634712,1.53049169685692,1.50867567242992,1.47874946407565,1.22611670175053,1.24141922834473,1.16049682622511,0.701207543517968,1.17554361328074,1.40664831804665,1.09849983062692,0.781630746453746,0.529845527334673,1.05741001780883,1.16446967060701,1.53390261569941,0.920623523781677,1.37462767935032,0.949169219510073,0.917161239095639,0.877576344509325,0.641907709639338,0.883664286250149,1.06922154274341,0.355661074454904,-0.20035172403378,0.00633553088034714,-0.0251183174823487,0.666656363009014,0.956660112435804,0.607963416165317,-0.388706365061942,0.639796077445401,0.219011033220289,1.81731076611465,0.139993655059799,0.778790625983542,0.794074003102893,0.522390407954005,0.392561779361546,-0.412086408703619,-1.50451749531752,-1.01009661163307,0.236456087041065,0.65315520471452,2.00983242419299,1.93341156163237,0.315712544252915,-0.83687440262228,0.459088907012842,0.732302893643346,-0.288551628522517,1.4927227221221,-0.638927033575338,-0.421856111259296,-1.48348191181709,-1.06188124093253,-0.457461552320978,0.449871680221349,0.0868115677450718,2.08557848038318,-0.636887586433992,1.51489297938843,1.0467920933308,1.58937372829669,2.05017784753347,1.52510454768409,0.0391217878149193,1.30801623612607,1.40573977834311
"SEPI_As_2 (GE) - TPM",0.181553575863642,-1.23141112271264,1.36152765078233,1.54162845033857,-0.375564538527968,-0.62227736405972,-0.715937708737102,-0.544642714470884,-0.985060573557825,0.523015808977246,1.8575097351123,1.56931532693521,1.44240537171224,1.29860020911059,1.25392713831448,1.40034256850553,1.34117039641618,1.1083363767368,0.801554515220558,1.1356375272504,1.30510941516968,1.01327469436161,1.17256110852013,0.741350218238816,1.42767245139404,1.2947711293759,1.54138659448481,1.8510161922958,1.24620676185845,0.866669230772407,1.11165336607439,1.00293535912384,1.30748040946868,0.925639623203847,0.772876339156771,0.479026368844644,0.594810380915195,-0.0892115513570702,-0.0458561059972296,1.23378338639779,0.709247921574021,1.10870787360313,-0.61067672655208,0.831697368813417,0.106893570577213,1.30867463148547,0.591012652885681,0.597049813515016,0.864681467969675,0.547279187798261,-0.104649893421247,-0.352714219894101,-1.50111299140327,-1.06801099905543,0.51022884236165,1.0406938845492,1.84018233542946,1.64410619349333,0.138401747396395,-0.602424909960881,0.402402751117242,0.490417704766364,-0.228587650565352,1.3889225856208,-0.173114167578915,-0.111484024556638,-1.40686845055816,-0.789425875058594,-0.661630061112075,0.589626951975112,0.112694254530968,1.12839407730234,-1.02446011090566,1.43218642459851,1.12915373803075,1.8501968880922,1.85682695939467,1.27374481204628,-0.118465751713455,1.06791468004523,1.03531228586277
"SEPI_As_3 (GE) - TPM",-0.904460987824455,-1.05819169009278,1.30449941307554,1.25638484205119,-0.411091426859843,-0.848325934763289,-0.521155370875669,-0.338277651644609,-0.952693395235763,1.15725589947311,1.72891061783838,1.18524891301433,0.733468285299318,1.16540349654714,1.27615396501602,0.922330024434619,1.02511711357574,0.902399305464628,0.611304291233974,0.632852589033702,0.824331661314593,1.20302269923507,0.912222133105783,0.989782303019865,1.15044215390544,1.38615993979031,1.20372295466915,1.24526247468529,0.958188702650821,1.11417645113395,0.401327298075722,0.553740773986338,1.3271921223681,1.0500373413916,1.37728217056723,0.446824593452709,0.0894840225618211,0.000466897439353072,-0.359621757061432,-0.903894205350407,0.687861809916778,2.19111787376428,-0.775880662035898,1.01194613653755,-0.304379663953624,1.49242156345237,0.802781886572917,1.18940463066023,0.7566361751786,0.723508953370862,-0.263058039678662,-0.0566221888445012,-1.44386797293896,-0.984588360902051,0.855024809285969,0.943117658669582,1.45434249305957,1.38144799319637,0.213519216140082,-0.552078043210716,0.500882108600027,0.958706588545171,-0.881832268521496,1.79583379411581,-0.357833072170427,-0.148597442460608,-1.30319169572042,-0.978297909685092,-0.720542508940461,0.443337280789576,-0.243217099692325,1.42941516145614,-0.564621187588202,1.47821704296367,1.2507690963002,1.68665709005631,1.81501573396611,1.37847563489204,-0.340965579305919,1.74908947534023,1.27982554655273
"SEPI_Bs_1 (GE) - TPM",0.826675871992758,-0.544663101191906,-0.243248156007745,-0.231702909725738,-0.202715773965032,-0.131038545709775,2.01255891317102,-1.01960075942651,-0.910192330567756,0.858906252014764,0.322377427535874,0.327605843180192,0.31575625496038,0.691125515054812,0.554693280631006,0.460833224095595,0.40392997169252,0.462772206369602,0.165535609153807,0.489356803561162,0.519874807155143,0.468719393106125,0.433281120086073,-0.0050871034499842,0.533868692754596,0.458905000921394,0.389905421892298,0.384352972374578,1.18504873185952,0.398895341148785,0.308530462305482,0.052947101944401,0.0551341013532912,0.641077053956289,0.773737188120162,0.446720098686806,0.341766290809674,0.144124260807146,-0.330854478614458,1.16568829027058,-0.780582113261629,0.766754192592073,-0.516962107923383,0.121221310832186,0.0997368866288794,1.2297552127213,-0.440099515666538,0.816456837889503,0.285494423082374,0.620006506652533,-0.0195467647317894,1.05403040517847,-0.0742552640635002,-0.21566519584105,-0.329595974793127,0.840920239709381,-0.261393179357321,-0.0408866238158541,-0.134714266473241,-0.840158644405567,1.63965467080512,1.71669239521678,-0.209179723872191,0.501851418718751,-0.599138961648278,0.223816104888137,-0.799917235709698,-0.330932111710331,-0.421409339326036,-0.208377233543436,0.332218490237863,0.448115528939493,0.170986134362018,0.141010946112731,0.602930125848435,0.797811996036234,0.222892517874709,0.00409861463953848,-0.22977620363864,0.846293390372811,0.25960866536051
"SEPI_Bs_2 (GE) - TPM",1.9932465923243,-0.270457691522897,0.529594360429981,-0.605887982483389,-0.579866604000597,-0.300450102774275,2.46681001262905,-1.26981897496521,-0.67579717434465,0.878213988262711,0.186561880412647,-0.080525846643071,0.168210420486853,0.551921474689734,0.429530869588694,0.523286034275642,0.177733521796574,0.3798513517262,0.422415249710062,0.13920028286654,0.49284203479,-0.0448362386321231,0.228946170265371,0.378703546653211,0.125057063750976,0.0952768258323597,0.0174955511656383,0.491561435390637,0.140002945460556,0.267176334334506,0.198361106384997,-0.0170810310343083,-0.458287130459539,-0.0536399880478223,0.148835043469275,-0.121290012254249,0.0188339331314955,-0.0239942588097457,-0.521590234667727,1.85264676614803,-0.485646469911574,-0.357731285328053,-0.577852069057923,-0.433561427713581,-0.030527992564255,0.415600368315406,-0.966708871451415,0.56970737172246,0.0529856110713635,0.190708766896652,-0.320120826470526,0.55262821913735,-0.179739986144053,-0.274662398014323,-0.20203957176166,1.46532977244099,-0.204450518450742,0.1157066101988,-0.445018898067826,-0.496485996940333,1.4775304706893,1.63534140866102,-0.2077031908263,0.294157595622701,-1.55918154473212,0.0947524271506563,-1.12627506239936,-0.500906595197274,-0.790800460543212,-0.60698613909107,0.284257977938947,0.737172623703297,-0.329883013257473,0.272833388264333,0.290345599583739,0.368304788127518,0.0604980514694473,0.0592863086389157,-0.42679051413891,1.3803498063949,-0.549175752762471
"SEPI_Bs_3 (GE) - TPM",0.21995744948484,-1.08872137495494,-0.0893067498095452,-0.320496847047212,0.709819294693963,-0.201331236435624,1.15763460151687,-1.15468140301591,0.931283418507971,0.0947532091216851,0.00716852628287158,-0.280706582554719,0.000928688717679079,-0.198446335017952,-0.264586353143865,0.0530758603060313,-0.103125146698355,-0.169477751476034,-0.0737178618718992,0.0724331969757199,-0.140465061367376,-0.193423006189882,-0.176312068882608,0.320222955172121,-0.195447093568711,-0.255472746957634,-0.0874236529704806,-0.163679919011849,-0.14709385170179,-0.0120138814644047,-0.130887438319837,0.106760630507121,-0.85721918209859,-0.755165997045309,-0.786918095351641,-0.532973077702981,-0.3840253931192,-0.722911128389975,-0.353017311916179,1.1876462435388,-0.646797513912159,-0.730553648106059,0.590882683116057,0.0713974912188937,0.304257286261775,0.0137860409933934,-0.750669455907258,0.394804414604007,-0.158631356086323,0.238868449824472,0.11660383945297,0.321976528613341,0.470203395485865,-0.108940549195115,-0.448827586276681,0.449406283999286,-0.0900036663498638,0.740162757483699,-0.481993435803835,-0.103397163293237,1.00910818952023,0.861050768951649,-0.617210438421577,0.867287332350228,-0.889560625467944,0.63566157287479,-1.3703834803327,-0.274791840291062,-0.797479480753627,-0.197247733120185,-0.12708924872896,1.70266222494633,0.405310328339639,-0.169117967265174,0.286523865684671,-0.054899768073402,0.0603689661796172,0.0934589990039726,0.0341927325585148,0.506370119480491,0.170774319858047
"SEPI_Ctrl_1 (GE) - TPM",-0.434238084317972,0.609204383349682,-0.525850015811474,0.48754931715779,-0.0890907461841093,-0.593216859290537,-0.948552746715015,-0.194637296015476,-0.759531483356442,-0.00255619540359135,0.0761061210599991,0.251907950421559,0.753436824987398,0.365688032958889,0.509057446957226,0.188414707937202,0.632011905509033,0.683989656686684,0.511250195046189,0.704546054142206,0.745179716558669,0.726041274068007,0.762408488968541,0.652503765407238,0.60378344888118,0.67255458259114,0.640112743035013,0.48856154528714,0.480541746215241,0.343178810112252,0.490691471482825,0.54422595565265,0.666084699194962,1.73504507449695,1.1415976234512,1.41902157814831,1.03795933962341,1.42966677755571,1.07035063912769,0.0521294728710124,-0.840650642563935,0.390667531959293,-0.889154702472881,0.448529209248118,-0.667134219637543,0.261974584247075,0.475141289910675,2.277481535415,1.71516180070294,1.22458316995306,0.982623349045039,-0.187946048902464,-0.59475873366291,-0.830521449073754,1.26675234070947,0.252620446647652,0.0405444477237386,0.0476056292833626,1.02906331543859,-0.756548686726708,-0.421944532042983,-0.385990324019242,-0.223235720726101,0.256241662372585,-0.598515417355354,-0.221750943321547,-0.130363399811611,-0.797606436375086,-0.494990638683572,0.127137125243541,0.606938509601985,0.947962263927051,-0.787793915414389,0.793324707957367,0.301457197063992,0.315103175290277,-0.0140724663118562,0.37356362683967,-0.534261383338156,0.416799507607834,0.836977911408829
"SEPI_Ctrl_2 (GE) - TPM",-0.879362770615121,0.637540787642761,0.0338393875834403,0.753277351060221,-0.952394553502791,-0.707853351638085,-1.1104548082306,-0.477463288496969,-0.793581682245782,-0.241432319595435,0.362923835223961,0.318379903808758,0.470356300515311,0.695568205731356,0.551716634753558,0.304508121307829,0.532264880977159,0.414158728024513,1.09754728063324,0.326532221058635,0.760763216606534,0.884978986314448,0.278998904705028,0.971653323753323,0.524440301584525,0.349814404573238,0.620743878501067,0.137372886639824,0.610359453787763,0.223426854322256,0.320134780475044,0.415042507528593,0.152565204038261,0.848088483619019,0.774914686393451,1.28163936561032,0.697923987892321,0.755015080550617,1.62830777291052,-0.28634600747317,-0.146574197634001,-0.696726689517524,-0.632376681661809,-0.0530791992015931,-1.23831556682037,0.0658340404528169,0.593427303439434,1.97552121439627,0.908299081998604,1.57436522737742,2.08919119483153,-0.208273768165722,-0.36436489439542,-0.452572425247072,1.90386279204599,-0.149050509523831,0.237392142963311,0.156416900256401,1.59769221351475,-0.866080772999812,-0.372005654858712,-0.185580859058841,-1.25957929859349,0.155001788533432,-0.851648641924203,-0.327167703755269,-0.261234647813242,-0.973241506477385,-1.29080308855345,-0.0804074982004971,0.98954397701667,0.0965979768440481,-0.961428744412809,0.716030409690966,0.147905070739412,0.366508805844558,-0.125915377112968,0.190591494269863,-0.892936751651817,0.119317159925528,0.428661429069142
"SEPI_Ctrl_3 (GE) - TPM",-0.820731570599465,0.862414862770359,-0.0323636656014514,0.690516021385455,-0.55969225146271,-0.98387757059873,-0.981790489816004,-0.539883890677565,-0.85014773264505,-0.40010631591994,0.483211067238742,0.0964142716123267,0.228203863272314,0.136443922787366,0.256543067984712,0.237625807766345,0.0942514953270542,0.440640564685071,1.52643209703835,0.335443322193556,0.293872590392827,0.8127683194786,0.234582566879155,0.506201245871238,0.371912933243628,0.218707300283289,0.266111678108789,0.162193838187239,0.634950274909273,0.344336142452908,0.186022793515537,0.534362915701978,0.02480870725907,0.652299460113487,0.742877880638465,1.0635091171377,0.693875159076414,0.972794745835465,2.75311368700247,0.515881331193399,0.0689097951031543,0.0781195841460175,-0.761360716804928,0.457578361192281,-0.809716010846436,-0.158219903407682,-0.0804118147274166,1.48255798354343,1.1141470243515,1.72576920739857,2.37509425567175,-0.0256393434021488,0.00712607816177663,-0.675663252775981,1.05996619579909,-0.299821931014199,0.183350340694901,0.27084560942432,0.872479833281941,-0.80382912872272,-0.388734949496611,-0.405917347361786,-1.4165646449951,-0.0762098644316847,-0.278724644658242,-0.594292656856802,0.357069858207052,-0.965070301366899,-0.886734555640343,-0.285334751735003,0.788182168460112,0.000527192919725271,-1.03409691103228,0.461917244785837,0.0194579154808657,0.0449667971999114,-0.118752340036185,-0.0968408446943655,-0.420886071815151,0.336646002975024,1.035403196735
"SEPI_Li_1 (GE) - TPM",0.763311323424951,1.58827157352444,1.52801031247908,0.599275100670685,0.757781273105758,1.02614246247372,0.421233855804268,1.76666180512736,-0.762238119154941,0.534958261014987,-0.608612539568366,-0.501732231100987,-0.56628123263366,-0.620004003024301,-0.386022031738387,-0.487294770187633,-0.583006187499016,-0.537939772872587,-0.596215476664391,-0.287306030146065,-0.353403282148952,-0.515952801060822,-0.369741056356789,-0.806745386945499,-0.264861399081944,-0.502116505458633,-0.42135645974616,-0.318856569952378,-0.538484065635898,-0.493209892979666,-0.521082739540593,-0.441127328473898,0.0794309655564381,-0.684986702330864,-0.330604505139513,-0.165812166234207,-0.252348945863786,-0.260341039899069,-0.385823458162732,0.67612884120796,-0.57763114320016,-0.487180410805963,1.24797164998048,-0.64275537616368,1.01872552426287,-0.56667252093479,1.04892788201282,0.151234025403941,-0.340430323962227,-0.503024650958508,-0.565772738156252,1.32558763572626,1.19134436782143,0.0801661707491569,1.25813410698094,-0.733837507511574,-0.248777586581152,-0.261491314941682,0.0428704707080107,-0.220923700760369,-0.14003443580681,-0.346999228569038,0.0964260513332829,-0.0134719316176901,0.413298674715073,-0.240852876037937,1.37534835612816,1.28383904432762,0.838265823071411,0.92912117190004,-0.704596464403266,0.682081971573676,2.12708123264814,-0.225911394943739,-0.268290186523417,-0.23522967483844,-0.133762276182516,0.49246898789465,1.96023518257649,1.0033769117682,-0.470366888889269
