"","B4U56_RS01115","B4U56_RS01120","B4U56_RS01125","B4U56_RS01555","B4U56_RS01560","B4U56_RS01565","B4U56_RS01570","B4U56_RS01575","B4U56_RS01580","B4U56_RS01795","B4U56_RS04855","B4U56_RS05390","B4U56_RS06825","B4U56_RS07215","B4U56_RS09320","B4U56_RS09325","B4U56_RS11430","B4U56_RS11435","B4U56_RS11965"
"SEPI_As_1 (GE) - TPM",0.262132300136242,0.598655667676288,-0.134301987391868,-0.939556190443646,-0.785779950399815,-0.368959150490956,-0.611435864970058,-0.678784249298347,-0.639382765271437,1.13142744088386,-0.169022167861948,-1.27765301913136,-0.166666666666667,0.968187484958175,-0.567971076189497,-0.36020501844074,0.150286323204928,0.514501601484336,-0.238477879642894
"SEPI_As_2 (GE) - TPM",0.417314601682547,0.278296045606904,-0.110266029148765,-0.901474723803004,-0.633824674327255,-0.564259105942959,-0.607526741443586,-0.67285898851767,-0.619188913065844,0.831287196635645,-0.118155558417196,-1.26564074659264,-0.166666666666667,1.3733323272107,-0.569518227970864,-0.385323645562059,0.314624766604959,0.4910377110121,-0.238477879642894
"SEPI_As_3 (GE) - TPM",0.00902488971529855,0.708530996997717,-0.426182454543904,-0.938158458168379,-0.566129711241954,-0.178601889159989,-0.512994993424908,-0.689167034412046,-0.690104674060032,0.60239432966353,-0.151723133825266,-1.23037782138728,-0.166666666666667,1.84205054646962,-0.465052984298656,-0.208567808256283,0.0563157656729726,0.572664522757352,-0.238477879642894
"SEPI_Bs_1 (GE) - TPM",1.06848427577791,1.26404462402461,1.60787820600691,1.4251105882585,1.03735755601318,0.91140739689333,0.458679991674791,0.481135201548441,0.694773258264072,1.13152595587783,0.555266473523171,1.4989236078681,-0.166666666666667,-0.575947525593652,0.238676728069425,0.229347167048215,-0.719916961487681,-0.201305667076838,-0.238477879642894
"SEPI_Bs_2 (GE) - TPM",0.517515650831353,1.13909103793754,1.50681484025985,1.18297799442872,0.707908600755312,0.509741718651147,0.201918505402509,0.644142958061576,0.617502129283111,1.48589124187951,0.326864195587152,0.72877067494149,-0.166666666666667,-1.08372220369006,0.393939085614495,0.432780624745702,-0.0978316198842165,-0.704965729386232,-0.238477879642894
"SEPI_Bs_3 (GE) - TPM",1.58957308673017,1.50187856999745,1.55685666152691,0.392946893619176,0.111403327878306,0.744844392130462,0.159078715240819,0.217590590264001,0.46568503847075,0.284816996348174,0.203653075692579,0.9131314490312,-0.166666666666667,-0.144560765685484,0.797233098630288,0.53965974276625,0.356682333298521,-0.142604923284523,-0.238477879642894
"SEPI_Ctrl_1 (GE) - TPM",1.36635895986073,0.543664947577394,0.921122723165737,1.52871024820038,1.34043396625544,1.27690467092221,1.15116574973603,0.523086666131494,0.495755897350406,0.949244324452032,0.0766373003888355,0.947149802811798,-0.166666666666667,-0.482073574497309,-0.0900333128173398,0.0323870998367477,0.560765028541738,0.304490051826946,-0.238477879642894
"SEPI_Ctrl_2 (GE) - TPM",0.747384865925176,1.23306304276482,1.09801799850616,1.72184701373646,1.08401891978034,1.16789292584019,0.994297605958682,0.773231470405024,0.724633691532941,0.792080499331551,0.0331756366731336,0.374358932589957,-0.166666666666667,-0.594322456319616,-0.107223897860145,-0.237668181409319,0.629258333322292,0.223242549051808,3.74225846716446
"SEPI_Ctrl_3 (GE) - TPM",0.570403888418295,0.690200429306927,1.05291926350897,1.75910558569254,1.48897946158087,1.07755862631682,1.14219163547214,0.699837274583805,0.832641626416054,0.192286798351781,1.14402810271055,0.935466961140169,-0.166666666666667,-0.795980214066552,-0.157912712899008,-0.22573952238176,1.12181777042405,0.418750940465339,-0.238477879642894
"SEPI_Li_1 (GE) - TPM",-0.92916091796138,-0.158152115153874,-0.541378394855663,0.187878744942045,-0.252162510259394,-0.380418543773279,-0.258520538628611,-0.114426690455049,-0.36859716968657,-0.998812742057371,0.431209334972596,0.709064246169851,-0.166666666666667,0.148160870620389,-0.0424614131595411,-0.13674390063293,-0.102237267549219,-0.397860186493598,-0.238477879642894
