"","B4U56_RS00735","B4U56_RS01540","B4U56_RS02525","B4U56_RS02530","B4U56_RS02535","B4U56_RS02540","B4U56_RS02545","B4U56_RS02550","B4U56_RS02555","B4U56_RS02560","B4U56_RS02565","B4U56_RS02570","B4U56_RS02575","B4U56_RS07075","B4U56_RS09645"
"SEPI_As_1 (GE) - TPM",-0.960603596074109,1.12340966549381,-0.807389918163792,-0.817014493031807,-0.796021654120471,-0.786705606102658,-0.759836846025698,-0.720471229719701,-0.714071116717342,-0.690545928687567,-0.634733009180996,-0.149237394880771,-0.559657361565582,-0.216819861428528,-0.236603251121477
"SEPI_As_2 (GE) - TPM",-0.954741347555039,-0.26829994449142,-0.816881657713313,-0.835423890099152,-0.792462676881073,-0.789185017109555,-0.760488316088593,-0.732451176086249,-0.686250924396953,-0.661026869791873,-0.609797100630883,-0.29465149841949,-0.562581450593633,-0.216819861428528,3.41415669401611
"SEPI_As_3 (GE) - TPM",-0.979877282477679,-0.26829994449142,-0.821927821481948,-0.83881994369201,-0.829755687307756,-0.775430375089621,-0.735202556571582,-0.731897666845224,-0.654916618998226,-0.662978366390439,-0.624145083222044,-0.132506822559501,-0.537152494572566,-0.216819861428528,-0.236603251121477
"SEPI_Bs_1 (GE) - TPM",-0.485446230188123,-0.26829994449142,-0.490724328024918,-0.60920523236504,-0.670718767859375,-0.573951657555069,-0.641396572244842,-0.637144890513867,-0.635813047157297,-0.675567583837978,-0.587738023891308,-0.613386039493382,-0.525318143960529,-0.216819861428528,-0.236603251121477
"SEPI_Bs_2 (GE) - TPM",-0.437470399775199,-0.26829994449142,-0.56531493220244,-0.642699981085495,-0.675190469445918,-0.553175425847306,-0.679433982395573,-0.629213929435889,-0.556287143235199,-0.663484730003156,-0.736134313023954,-0.673853365518081,-0.484955677644359,-0.216819861428528,-0.236603251121477
"SEPI_Bs_3 (GE) - TPM",-0.545719962722158,-0.26829994449142,-0.683184081132378,-0.693294966636168,-0.670062439167228,-0.668137341848614,-0.688679726001202,-0.692735774475564,-0.617317920825513,-0.710648536719959,-0.665585409691242,-0.595044380420466,-0.546470195307228,-0.216819861428528,-0.236603251121477
"SEPI_Ctrl_1 (GE) - TPM",-0.14985915718389,-0.26829994449142,1.23590356201419,1.27733959132491,1.28005627799772,1.65236768792985,1.19705921622848,1.16058019879831,1.04817921721477,0.936830271266163,0.670158361011148,0.591240053479286,0.665350420743661,-0.216819861428528,-0.236603251121477
"SEPI_Ctrl_2 (GE) - TPM",-0.130299679372328,-0.26829994449142,1.32771020647531,1.37349899655502,0.936770013570077,1.70739980262414,1.20373402264364,1.1747450538146,0.410358929285014,0.547515575344362,0.578101896123873,0.32854093726255,0.39515595980779,-0.216819861428528,-0.236603251121477
"SEPI_Ctrl_3 (GE) - TPM",-0.0576115269979659,-0.26829994449142,1.155655092509,1.18344164294075,1.12608109234153,1.35380320290474,1.02036031088192,1.03623447033953,0.726143226978552,0.362745207822642,0.640791060224455,0.470813614146942,0.567373251985688,-0.216819861428528,-0.236603251121477
"SEPI_Li_1 (GE) - TPM",-0.84639950623965,-0.26829994449142,-0.367362133507265,-0.371316787295656,-0.477220054607511,-0.488607179755693,-0.552220350376436,-0.529785859960299,-0.696560475891926,-0.656334317941954,-0.65223373467431,-0.528829792219687,-0.539189978022139,-0.216819861428528,-0.236603251121477
"SEPI_Li_2 (GE) - TPM",-0.784757364165419,-0.26829994449142,-0.539090865619229,-0.57624708360613,-0.663872222428622,-0.654745352772079,-0.556966994598393,-0.492638467733873,-0.61548192972082,-0.55808679468853,-0.635886682383015,-0.684923265229446,-0.474836329289261,-0.216819861428528,-0.236603251121477
"SEPI_Li_3 (GE) - TPM",-0.843337484129074,-0.26829994449142,-0.553677053205651,-0.609995257300223,-0.620790944156146,-0.567891738375582,-0.626009717074684,-0.623746935085626,-0.574010769930229,-0.442302525128009,-0.622403933365989,-0.596714728691019,-0.581591206923465,-0.216819861428528,-0.236603251121477
"SEPI_Mig_1 (GE) - TPM",0.735001258042151,-0.26829994449142,-0.237059830401174,-0.217589799705806,-0.263905483785114,-0.513328853407911,-0.557321694333807,-0.480873330824319,-0.259614362276144,-0.308986922023384,-0.337971780804488,-0.1252177270344,-0.350396695367024,-0.216819861428528,-0.236603251121477
"SEPI_Mig_2 (GE) - TPM",0.680886236869004,-0.26829994449142,-0.303271873696424,-0.418505055276235,-0.217046027013566,-0.494202502157399,-0.512405166283997,-0.53882935885964,-0.458014762007506,-0.34433690392097,-0.333102027427609,-0.0199890425913779,-0.489875310139265,1.92109227055534,-0.236603251121477
"SEPI_Mig_3 (GE) - TPM",0.618205697794302,-0.26829994449142,-0.272550314835552,-0.322895589749339,-0.30408455838693,-0.519592914421721,-0.561030061085348,-0.491001586822099,-0.23894123307406,-0.301751794755647,-0.181983770145905,-0.170221507194499,-0.405048191101538,-0.216819861428528,-0.236603251121477
"SEPI_Nd_1 (GE) - TPM",1.52411815148516,-0.26829994449142,0.98227316883939,0.729595334579219,1.05059486138498,0.75454704324191,1.3734458847654,1.26824844783328,0.952383935587551,1.76728557898548,1.77316197080761,1.26738732436273,0.976093076399147,-0.216819861428528,-0.236603251121477
"SEPI_Nd_2 (GE) - TPM",0.752176223029596,-0.26829994449142,0.337525841504601,0.194782929153579,0.630997156263783,0.335461156261388,0.493625699487503,0.5769750561577,0.563579008438346,0.710239720037095,0.794437536921323,0.960985431753205,0.560171532162264,-0.216819861428528,-0.236603251121477
"SEPI_Nd_3 (GE) - TPM",1.06314254216168,-0.26829994449142,0.337159015286446,0.409932962701635,0.445006758211798,0.186183036573041,0.415667859640812,0.546619523731499,0.562558692081174,0.798697427532429,0.707893056583916,0.80138243240124,0.479899203638579,-0.216819861428528,-0.236603251121477
"SEPI_Ns_1 (GE) - TPM",-0.925243133851067,-0.26829994449142,-0.810867654250843,-0.799267098274677,-0.77888006336036,-0.782367405342322,-0.741144633996194,-0.702651612808461,-0.747735835414157,-0.717334525983142,-0.690384015842409,-0.744798026106256,-0.608259240545139,-0.216819861428528,-0.236603251121477
"SEPI_Ns_2 (GE) - TPM",-0.939739575722188,-0.26829994449142,-0.83564328564789,-0.811173965295321,-0.807469912449228,-0.810128110354045,-0.764592258048044,-0.727308400942937,-0.824317999152121,-0.771808151285337,-0.750095509685008,-0.805255326886447,-0.623291229155956,-0.216819861428528,-0.236603251121477
"SEPI_Ns_3 (GE) - TPM",-0.934964148815041,-0.26829994449142,-0.837775753468313,-0.871355888857212,-0.81153207499102,-0.805809462855352,-0.766065004890929,-0.716883618276623,-0.78290192270889,-0.813447974650155,-0.76075113881846,-0.707398889410915,-0.627919096611358,-0.216819861428528,-0.236603251121477
"SEPI_Oss_1 (GE) - TPM",0.263146315912104,-0.26829994449142,0.0184896247931247,0.00961971611150544,0.0739469166189412,0.0745932430881226,-0.0231131641877415,-0.118223409509314,-0.150794821211058,-0.323585081955414,-0.162143464328097,-0.25585575868786,0.0204373329973051,-0.216819861428528,-0.236603251121477
"SEPI_Oss_2 (GE) - TPM",0.907865672072571,-0.26829994449142,-0.213255059484794,-0.204293004167446,-0.236840987780241,-0.0958857120575965,-0.265917259520225,-0.170746272914195,-0.171655578634253,-0.314636844726596,-0.323063692256499,-0.258736892028885,-0.18455175482894,-0.216819861428528,-0.236603251121477
"SEPI_Oss_3 (GE) - TPM",0.455193530047605,-0.26829994449142,0.0194299685782978,0.335777272052531,-0.102418932043984,0.0190729671760154,-0.109250839372325,-0.289211092058194,-0.43503510579259,-0.351825744421126,-0.239372346788225,-0.226585728149803,-0.189661285971658,-0.216819861428528,-0.236603251121477
"SEPI_Oxs_1 (GE) - TPM",-0.262072383636834,-0.26829994449142,1.81910418944279,1.68123676672882,1.35604310901406,0.810754710815359,0.500605441675669,0.318791458196391,0.235633994687934,0.0285761346976253,0.100651088758683,-0.192996169976366,0.496547082281582,-0.216819861428528,-0.236603251121477
"SEPI_Oxs_2 (GE) - TPM",-0.171796835419885,-0.26829994449142,0.836021146441785,1.0864747276906,0.811573348137505,0.59061586635162,0.530341991894282,0.473174487612616,0.265799777621314,0.396310120593729,0.0791491239285707,-0.105653303750814,0.372193982408941,-0.216819861428528,-0.236603251121477
"SEPI_Oxs_3 (GE) - TPM",-0.136821888523974,-0.26829994449142,1.08758366924029,1.12179307633319,1.1006754297948,0.816883605903903,0.609673619936829,0.174875734347183,0.205615681358974,0.0259367104914387,-0.0620702901921033,-0.244370804957675,0.431908536384411,-0.216819861428528,-0.236603251121477
"SEPI_Sp_1 (GE) - TPM",0.490690124149465,-0.26829994449142,-0.63427828738112,-0.692998542822848,-0.671251157895591,-0.716249664326475,-0.679640324099542,-0.665674867216749,-0.560204151820457,-0.553191454896856,-0.563158240956681,-0.716986526370075,-0.671753555163429,-0.216819861428528,-0.236603251121477
"SEPI_Sp_2 (GE) - TPM",0.436654426449148,-0.26829994449142,-0.668361400323959,-0.670527509982538,-0.707076938137171,-0.719982413827951,-0.708408527965623,-0.682712507140909,-0.650822682998229,-0.642601974486395,-0.527967980126409,-0.636161778324265,-0.614154891134731,-0.216819861428528,-0.236603251121477
"SEPI_Sp_3 (GE) - TPM",0.228537905659227,-0.26829994449142,-0.664328590901278,-0.699795940149293,-0.700994379435934,-0.746168017580498,-0.689337996892691,-0.642746294822378,-0.574176920270046,-0.610145579540074,-0.583342679460025,-0.705211467208723,-0.653095823672702,-0.216819861428528,-0.236603251121477
"SEPI_Tm_1 (GE) - TPM",-0.582201202547405,-0.26829994449142,-0.827146672737116,-0.858597367055492,-0.829449687436038,-0.720050149462868,-0.744313705421794,-0.702225803245064,-0.284698169310485,-0.292263286472114,-0.443543379248991,-0.670866375773368,-0.681739048564322,-0.216819861428528,-0.236603251121477
"SEPI_Tm_2 (GE) - TPM",-0.568958096249453,3.00436560397754,-0.808401797831151,-0.848570220771979,-0.816185982815279,-0.720517884237351,-0.727957628064814,-0.73997292470623,-0.487005736707523,-0.38781600517155,-0.500361863050642,-0.777046332681464,-0.685731322203016,-0.216819861428528,-0.236603251121477
"SEPI_Tm_3 (GE) - TPM",-0.603011508509123,-0.26829994449142,-0.822009546491885,-0.832579301360682,-0.820967601412458,-0.728183879707605,-0.725722582559171,-0.728418458687584,-0.36772053823651,-0.434289398446413,-0.477220892703877,-0.74604860961818,-0.67419382019772,-0.216819861428528,-0.236603251121477
"SEPI_Vic_1 (GE) - TPM",-0.153794856721566,-0.26829994449142,0.231487607827806,0.535845930353863,0.806515840174987,1.16874454947696,2.17310977250641,2.16443834385183,1.54384416298924,1.42157505224725,1.54576314352817,2.09547094716128,1.05694510824383,-0.216819861428528,-0.236603251121477
"SEPI_Vic_2 (GE) - TPM",-0.0165233440413233,-0.26829994449142,0.398129936727899,0.693677677805028,0.850421525308827,1.22750745785335,2.00011842107876,2.01168974975371,2.10055025925623,1.88187450276805,1.71896515963507,1.9093248737206,1.64321198438885,-0.216819861428528,-0.236603251121477
"SEPI_Vic_3 (GE) - TPM",4.31563242724648,4.72612289874549,3.7940298288215,3.6091502942499,3.79551637409801,3.53236233399487,3.05871366735954,3.28119294425435,4.12970288098843,4.01141099413837,4.09611796437635,3.95340193989538,4.60613663109351,5.45078301801461,4.63035384411412
