"","B4U56_RS00010","B4U56_RS12125","B4U56_RS00255","B4U56_RS12140","B4U56_RS00515","B4U56_RS00780","B4U56_RS00845","B4U56_RS01330","B4U56_RS01680","B4U56_RS02055","B4U56_RS03210","B4U56_RS12190","B4U56_RS03415","B4U56_RS03880","B4U56_RS03970","B4U56_RS04035","B4U56_RS04125","B4U56_RS05055","B4U56_RS05070","B4U56_RS05085","B4U56_RS05410","B4U56_RS05455","B4U56_RS05830","B4U56_RS06255","B4U56_RS06275","B4U56_RS06340","B4U56_RS06705","B4U56_RS06875","B4U56_RS06935","B4U56_RS07085","B4U56_RS07960","B4U56_RS08195","B4U56_RS08555","B4U56_RS08660","B4U56_RS08670","B4U56_RS08685","B4U56_RS08690","B4U56_RS08695","B4U56_RS12225","B4U56_RS09115","B4U56_RS09640","B4U56_RS10510","B4U56_RS10710","B4U56_RS10860","B4U56_RS11100"
"SEPI_As_1 (GE) - TPM",-0.166666666666667,1.56607953982896,0.706539739018674,0.913231938288106,-0.0112666455885574,0.875466183047832,-0.0616215047876321,-0.334048267471162,-0.805732345121213,-0.33590039678788,-1.52198341978892,0.133236384903446,-0.413476208648275,0.0292408243869874,-0.502656002350512,-0.313561761087446,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.457275388510533,1.35818280663441,-0.682060210582149,0.417048182031716,-0.298404195259339,0.84230267153935,0.188468498981075,0.838158344997631,1.83813042771457,1.98619613658318,0.563737946049966,0.577227124802132,-0.519586919595213,0.37796983160292,0.719440502694639,0.179126794600418,1.25163385570506,0.412463435856707,-0.166666666666667,-0.430361055864848,0.544144130649305,-0.277418255693204,-0.166666666666667,-0.033749958619849,-0.0116706560336006
"SEPI_As_2 (GE) - TPM",-0.166666666666667,-0.502481485970319,0.378210857276873,-0.391314909740399,1.28807930807744,0.97140724122376,-0.0280730589646234,-0.334048267471162,-0.106964323319398,-0.33590039678788,2.49536696480994,0.742717293765897,-0.680090961176598,0.0316509389303049,0.178984544001992,-0.686903186621841,-0.166666666666667,1.8995409547547,-0.166666666666667,-0.324906440408923,0.918282779332234,1.9677302414041,-0.199820341857762,1.63957251786833,0.0649377284882201,0.39383185369946,0.387111435298412,-0.667373737174638,2.03863977859932,1.42907728383966,0.639406449314789,0.214234802061546,-0.708205865902219,0.292469288678437,1.73419533263607,0.815523545242257,1.08845704109037,0.159570262423044,-0.166666666666667,0.171865696296366,-0.312323273583017,-0.277418255693204,-0.166666666666667,-0.116607228314495,0.480700752385651
"SEPI_As_3 (GE) - TPM",-0.166666666666667,-0.502481485970319,0.253900339938652,-0.391314909740399,0.763017027667941,1.33301026378867,0.197855512382887,-0.334048267471162,-0.229296669790836,2.81019499851892,-1.52198341978892,-0.287156457522567,0.97209667537196,-0.22524082967589,0.14148590023632,-0.686903186621841,-0.166666666666667,2.03841990785057,-0.166666666666667,-0.324906440408923,-0.457275388510533,-1.26882417186508,2.7219724657675,2.37669937056999,-1.00501187736471,0.73816357030551,0.231215104412706,-0.946780862344961,-0.543740812673183,-0.384997709892194,0.449772364907661,1.73879593033153,-0.517024958936499,1.21791503914437,-0.604313291519585,0.419200315902371,-0.53217961991977,0.440405278258272,-0.166666666666667,2.65423199368429,-0.886429854152142,-0.277418255693204,-0.166666666666667,0.143687662122511,1.07499580147596
"SEPI_Bs_1 (GE) - TPM",-0.166666666666667,-0.11543182459526,0.364486018518143,-0.391314909740399,0.358257328916934,-0.3086785753474,0.363706087951936,-0.334048267471162,0.505861727936068,0.345625576425589,-0.230585744725188,-0.152372541054875,-0.0794966929557604,-0.22524082967589,1.61872633602742,2.94561568934051,-0.166666666666667,-0.715745912042899,-0.166666666666667,2.99995422237957,1.87384948884887,-0.37089135342783,0.292728372312722,-0.439869950943347,0.845980988406207,0.0348695468080203,2.32630290412652,0.789970635498453,0.95496218732528,-0.837795470543777,-0.569600570884103,-0.641851659898139,-0.941013979163474,0.488491755434649,0.881816782622583,0.307474374386129,-0.53217961991977,0.320151713067549,-0.166666666666667,0.217196170533886,0.497409522414532,-0.277418255693204,-0.166666666666667,1.93788273769416,-0.522686366316071
"SEPI_Bs_2 (GE) - TPM",-0.166666666666667,-0.502481485970319,1.74794344755419,-0.391314909740399,2.54840865180709,-0.855508901400505,0.910166238781115,-0.334048267471162,1.4907613989695,-0.33590039678788,0.215297426038489,-0.726875215719548,3.68821432357188,-0.22524082967589,2.78887578386224,-0.686903186621841,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.457275388510533,-0.32971761297379,-0.479950704463207,-1.37432452877337,-1.00501187736471,0.877868219654398,1.90144926506671,-0.921721029716695,-0.557674209329938,0.9197978939531,-0.542066908385035,3.87008067241459,-1.01184480573683,2.82187897348859,-0.604313291519585,-1.40378191833084,2.50477341939841,-1.17074820219146,-0.166666666666667,-1.02139286240472,-0.694474287858974,-0.277418255693204,-0.166666666666667,3.34231469657015,-0.451561097175554
"SEPI_Bs_3 (GE) - TPM",-0.166666666666667,-0.502481485970319,0.200373588062682,-0.391314909740399,-1.07557544027911,-1.26741294759154,0.0015747657345713,-0.334048267471162,1.3775419181099,-0.33590039678788,0.70344238588058,0.19197175754148,1.19459655909251,-0.22524082967589,-0.165920362730279,2.20223887734697,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.457275388510533,2.3061570841948,-0.715400965698509,0.586061103007308,-1.00501187736471,0.110815406021634,2.03392613574294,-0.306178478503928,0.506484509149028,-0.919700325014341,-0.504037223028722,-0.641851659898139,-1.32065281521014,0.335437478435213,-0.604313291519585,-1.40378191833084,-0.53217961991977,0.0283893003884647,-0.166666666666667,-1.02139286240472,1.26828403061932,-0.277418255693204,-0.166666666666667,2.76329440961337,-0.48254564491777
"SEPI_Ctrl_1 (GE) - TPM",-0.166666666666667,-0.502481485970319,1.3295826068631,-0.391314909740399,1.94815209186792,1.74416997757219,-0.969346158857644,-0.334048267471162,0.641282388794469,-0.33590039678788,-0.752701110493935,-0.0118507020843254,-0.883389826639643,5.63682935156062,0.185655156199198,0.173101298133425,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.457275388510533,-1.07822894037555,1.52087178714886,-0.0613513709524735,-1.00501187736471,0.723581757318801,0.535878161703991,0.309731204640413,-0.99312451967423,1.33252945989189,-0.367698178424489,0.33490967266391,1.5477156837275,-0.16677554643917,-0.604313291519585,-1.40378191833084,1.93326484945089,-0.612721304874281,-0.166666666666667,-0.204515919634485,-0.786815496761098,-0.277418255693204,-0.166666666666667,-0.748865417905319,-0.100689855928366
"SEPI_Ctrl_2 (GE) - TPM",-0.166666666666667,0.914793944830071,-0.821593850349588,-0.391314909740399,-0.492206156439996,0.501623753474763,-1.21181427144801,-0.334048267471162,0.0411099731823919,-0.33590039678788,0.155964811813743,-0.998657208378526,2.06025823640678,-0.22524082967589,-0.261583192703574,0.336276933786892,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.457275388510533,-1.09875536207661,-0.0585335802634665,0.336540568446176,-1.00501187736471,-1.33786076569636,-0.159092659948462,-0.300772054412415,-0.284518450306081,0.474352584764524,-0.499853330590849,-0.641851659898139,0.646852379253127,-1.42486183791146,-0.604313291519585,-0.439754762334134,-0.53217961991977,-0.549107908643112,-0.166666666666667,-1.02139286240472,0.236638615311387,-0.277418255693204,5.83333333333333,-0.690587138736567,4.96802613674217
"SEPI_Ctrl_3 (GE) - TPM",-0.166666666666667,-0.502481485970319,-0.821593850349588,3.36049193295728,0.760961602701177,-0.107031611715287,-1.92556375018837,-0.334048267471162,-1.19863270391477,-0.33590039678788,-0.201373058314882,-0.213791490465234,-0.304198517111497,-0.22524082967589,-0.236075178547745,-0.686903186621841,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.457275388510533,-0.822654999186922,0.0456967259784086,0.499090722593971,-0.242949688634554,1.05769356130704,0.0368274096846967,-1.74196034271517,0.0564229761047487,1.82725758510346,-0.334030764491048,1.18736848139705,1.04062224159786,-0.835578610616907,-0.604313291519585,1.63112518254668,-0.53217961991977,2.739716099472,-0.166666666666667,2.54813633918395,-1.1851684429453,-0.277418255693204,-0.166666666666667,0.130362841759754,-0.0151682355696687
"SEPI_Li_1 (GE) - TPM",-0.166666666666667,-0.502481485970319,-0.615761612933669,-0.391314909740399,-0.301446178273731,0.24256493201943,1.01798403752701,-0.334048267471162,1.0074802622152,-0.33590039678788,0.299806553959378,-0.330628973183204,-0.150975074550446,-0.22524082967589,1.44551857123583,0.670853715659246,-0.166666666666667,-0.715745912042899,-0.166666666666667,-0.324906440408923,-0.457275388510533,-0.554168329769858,0.202686977843781,-0.584650521725242,-0.0413482660757696,1.27644187862617,-0.776245753873569,1.05542206098378,-0.645132312711556,-0.448699367562397,-0.758797220278605,1.47852229017697,0.824549075689083,-1.10338279939703,3.00632778738713,1.63446318947973,-0.53217961991977,-0.668226119226215,-0.166666666666667,0.483219863287034,-0.8707128373334,3.4178483191939,-0.166666666666667,-0.631708299135759,-0.355564419004226
