"","pWR501_0044","SF5M90T_8","SF5M90T_81","SF5M90T_135","SF5M90T_136","SF5M90T_137","SF5M90T_150","SF5M90T_292","SF5M90T_305","SF5M90T_417","SF5M90T_438","SF5M90T_443","SF5M90T_445","SF5M90T_462","SF5M90T_511","SF5M90T_525","SF5M90T_526","SF5M90T_527","SF5M90T_528","SF5M90T_529","SF5M90T_533","SF5M90T_534","SF5M90T_535","SF5M90T_536","SF5M90T_537","SF5M90T_539","SF5M90T_540","SF5M90T_542","SF5M90T_582","SF5M90T_668","SF5M90T_779","SF5M90T_952","SF5M90T_979","SF5M90T_1105","SF5M90T_1114","SF5M90T_1138","SF5M90T_1241","SF5M90T_1345","SF5M90T_1346","SF5M90T_1347","SF5M90T_1348","SF5M90T_1419","SF5M90T_1482","SF5M90T_1641","SF5M90T_1701","SF5M90T_1835","SF5M90T_2105","SF5M90T_2172","SF5M90T_2227","SF5M90T_2453","SF5M90T_2652","SF5M90T_2713","SF5M90T_2869","SF5M90T_2872","SF5M90T_2982","SF5M90T_2983","SF5M90T_3267","SF5M90T_3331","SF5M90T_3338","SF5M90T_3339","SF5M90T_3340","SF5M90T_3547","SF5M90T_3609","SF5M90T_3650","SF5M90T_3712","SF5M90T_3765","SF5M90T_3766","SF5M90T_3767","SF5M90T_3768","SF5M90T_3769","SF5M90T_3907","SF5M90T_4235","SF5M90T_4305","SF5M90T_4306","SF5M90T_4341"
"SHIF_As_1 (GE) - TPM",-0.627341077521678,0.477696935136398,0.122641822109654,-0.598562506426322,-0.327997467371986,-0.400276360953598,-0.564380298157779,-0.438885817339309,0.097005367690427,-0.676399027515923,0.196427081828217,-0.651310447782322,-0.196811840779849,0.0218250733381811,0.903963263859481,-0.0567120222670898,-0.490882248500973,-0.516613742850835,-0.469382670537043,-0.536249094419111,-0.584065497120415,-0.577213419076627,-0.591445537044124,-0.550647210726718,-0.576204922943825,-0.130627047288323,0.179406860652203,-0.841797036684532,-0.637899197751022,-0.105729846057392,-0.826208644898236,-0.502559252660737,0.108296754057391,0.0234410605625388,-0.127583714699594,-0.181532706677983,-0.280837114284661,-0.539654624178473,-0.545150232722707,-0.54885205987951,-0.576780032390077,-0.638754819830812,-0.167751399488534,-0.80056838338809,-0.162229432864837,0.207851331447242,-0.642334279165583,-0.397055906478643,-0.820930807340217,-0.138303796965933,0.336926493633722,-0.630320702350097,0.402126010463553,-0.0171313843612309,-0.577782656499881,-0.652637467617843,-0.743913191566781,-0.358798758878244,-0.67806557594197,-0.639698187326397,-0.657198304771713,1.45347357024216,0.211276368788022,-0.400960502286024,0.233144169120527,-0.523355441952133,-0.476066319991345,-0.581709286499148,-0.583126970634497,-0.741209356627759,-0.455265598904099,-0.607190946439351,-0.537028948647452,-0.708491675705323,1.18164183531875
"SHIF_As_2 (GE) - TPM",0.831073367652914,0.454343481963179,-0.0786276739098255,-0.596450198206041,-0.49828427374641,-0.301344500778648,-0.305853138006373,-0.479421306892495,0.210454481584971,-0.0202612455649737,-0.563695914608394,-0.614864469822043,-0.0695802722897538,-0.423153385806749,-0.886323616540756,0.102600030099963,-0.61721436889512,-0.542134093749886,-0.456578068935728,-0.52601847733138,-0.541974222437542,-0.611541277605328,-0.580945952862632,-0.489188641520772,-0.544360111952439,-0.292061115305155,0.973959370774293,-1.09920380281867,-0.661035551645153,0.0755937797372862,-0.759378829505839,-0.618601986223099,-0.261177109272424,-0.150169524466318,-0.0132488701874286,0.384614266415774,-0.132461958731777,-0.582237546024299,-0.54718099889878,-0.535377799447191,-0.576253609046441,-0.653469979109025,0.051578108490203,-0.775914288831842,-0.289835345989416,-0.254633436282139,-0.66393057465065,-0.497462557087055,-0.685202941913133,-0.3170538842227,0.226222882152062,-0.453203108807767,0.79163642114315,0.0422308149774738,-0.566648439164585,-0.661003677206008,-0.682584956521734,-0.113798893720435,-0.647386977480727,-0.639485397940527,-0.673550422180954,0.581053509723322,0.43264506483996,-0.312150366454965,0.0254555615052576,-0.493002064144093,-0.422321818923318,-0.580692050847446,-0.576326924260626,-0.654429068185869,-0.394408777066419,-0.487195820809803,-0.279479795878638,-0.687954732974971,1.51987454116564
"SHIF_As_3 (GE) - TPM",-0.627341077521678,0.357551716151269,0.148342222875906,-0.560261543312912,-0.462231889932296,-0.280420790255666,-0.51760355862476,-0.416448107262129,0.218030619528004,-0.280151665887792,0.142659748771356,-0.677983690554552,-0.24662957223996,-0.530702877294498,-0.568917178871095,-0.0942121078786244,-0.523850531841718,-0.530994807743244,-0.470383568114162,-0.519357411912015,-0.589632286553702,-0.44966166893291,-0.572903803906912,-0.506232045839824,-0.552666610366716,1.01590943113233,1.35654373214566,-0.730359245736428,-0.671306270838193,0.00523822255047589,-0.926852606095997,-0.675228680300866,0.334154485273533,-0.124989027418814,-0.0756960970391329,-0.364984516394987,-0.11509292154113,-0.547677190239006,-0.527587142154379,-0.537111427013319,-0.580169404093925,-0.880515624188413,-0.221184834436266,-0.925393812598238,-0.391426769109395,-0.668843080647291,-0.529820604850084,-0.345401750392642,-0.668233400407853,-0.379029936463644,-0.151054802839914,0.237062651603452,0.644743098589024,-0.177667044807486,-0.536660231306616,-0.699433243025081,-0.755670465981667,-0.412754364699457,-0.683854950662155,-0.629026580005128,-0.643324725430261,1.9754849032428,0.251788508553835,-0.507140908080389,0.0260425655561061,-0.491172178762942,-0.43939772014193,-0.58393729017563,-0.571251657818033,-0.635855965822919,-0.34193842920132,-0.619456064825093,-0.0649928599643218,-0.674616670150682,2.37217755710455
"SHIF_Bs_1 (GE) - TPM",-0.627341077521678,0.625915629608601,-0.535316657746571,-0.653519306316525,-0.620501668562933,-0.605191111871222,-0.625816804626105,-0.434033859009544,0.513000121798714,-0.575627214054938,-1.23596651079272,0.408175943625013,-0.750538784958363,-0.158885692194251,-0.359711919720852,-0.934494772024763,-0.721918714167779,-0.528843888680613,-0.509603423933665,-0.596954224573274,-0.581732264278596,-0.647601714838551,-0.59517424280424,-0.562661155186001,-0.5955421986853,-1.05168724237869,-1.11263643978401,-0.939079782137874,-0.70138953017282,-0.390839366668393,-0.696245751102942,-0.0194092266693309,-0.581184724235029,-0.359634864908457,-0.0076436883722025,-0.911513160605893,-0.586580553054715,-0.590561588696753,-0.551191134686957,-0.546541024945445,-0.592960033276672,-0.677976329371994,-0.986624034137623,-1.00403655753808,0.148200787616203,-0.493547784821877,-0.0882624963220289,-0.638866375633865,-0.971698897671117,-0.620385431668535,-0.720502847663836,-0.526881574787667,-0.0347308534891909,-0.157035608089015,-0.667082104787237,-0.735273353864753,-0.798192519855647,-0.171239336305581,-0.674092513893869,-0.638532721071977,-0.692907563050495,0.310456285123882,-0.256840745331591,-0.490800564457182,-0.385384504524299,-0.596435036141993,-0.572975804282375,-0.579976187391847,-0.600062136057013,-1.07272977335162,-0.591235229338724,-0.102350325348101,-0.855777874029035,-0.740790724723886,0.727052392028579
"SHIF_Bs_2 (GE) - TPM",-0.627341077521678,0.549778321932744,0.524487660598787,-0.606493846473455,-0.515834653557009,-0.408610314201642,-0.0750117972585152,-0.426912340515421,0.229661667763738,0.502050472255758,-0.715730476624754,0.0297621708451288,0.0631116760874359,0.0933564460969935,0.0164913436995562,-0.574925578385681,-0.605257601157875,-0.538455483983501,-0.509603423933665,-0.543846929917469,-0.590884643493309,-0.616695365699444,-0.562851464936994,-0.54086115826197,-0.556354145613775,0.187107383784043,-0.627499717189994,-0.821388423068984,-0.696822531619346,0.23775807820438,-0.559927751014604,-0.40200980685054,0.329486542460901,0.575352602143244,0.8981058072146,0.176848088652596,-0.366603827485585,-0.5693826385996,-0.540824871329926,-0.54293205657603,-0.586321625479947,-0.235024763464992,-0.550448566388769,-0.263546427778541,0.446274352293405,0.0875295919250612,0.0378052356898615,-0.394220412401523,-0.389816412133397,-0.268936240932361,0.820454232092265,0.577924316526629,0.736403962276007,0.730212011121883,-0.572903539244579,-0.697166865729433,-0.738981412243725,-0.0366426698451042,-0.640545668469188,-0.62140971911912,-0.618273661877255,0.852826030067706,1.58109624473921,-0.61346585291209,-0.198367858128381,-0.526568381971006,-0.522278101875082,-0.576301394661438,-0.580201578097904,-0.382101711385309,-0.40414117035906,0.308618175195278,-0.849842218432921,-0.694776376706987,0.55384235803219
"SHIF_Bs_3 (GE) - TPM",0.152865012155957,0.242355569987825,-0.417819567145521,-0.63054641624169,-0.551101069391763,-0.393581777501834,-0.59413156913135,-0.591147442745083,0.260064475292558,-0.0536572504281048,-1.07960413157599,-0.128113160621949,-0.714222713427895,-0.644870605424034,-0.491457245682848,-0.531689387303351,-0.619369325854976,-0.542863843875608,-0.509603423933665,-0.575269707020583,-0.592750226820488,-0.601655756863883,-0.565589506704148,-0.537250559760019,-0.564153876863847,-0.676978633320822,-1.0692569595025,-0.771916273116656,-0.701445055654862,-0.557204102301603,-1.14277051242734,-0.720305802008414,-0.729265352742714,-0.991038776832278,-0.126796791099957,-0.233895436692864,-0.367759803892605,-0.572471727011905,-0.54025622724279,-0.544193636236875,-0.583673799914216,-0.675286240161625,-0.445194541051232,-0.866303494885788,-0.509633322474859,0.0268891022729904,-0.290735614271874,-0.869842468834208,-0.803423032331022,-0.701065433258138,-0.0536023890064304,-0.339145400041501,0.212450344795203,-0.163200492075147,-0.6312798840893,-0.694376725687174,-0.736887095795828,-0.446998114141812,-0.624681295793602,-0.631811388715972,-0.667506542352851,0.426650510072481,-0.00425904979263077,-0.970557250967442,-0.833226271194558,-0.553354097962748,-0.525858653329684,-0.585055690991152,-0.584877222911366,-0.673995302098261,-0.567181690993776,-0.449535730672729,-1.00033250250461,-0.706309155639095,1.23895855165422
"SHIF_Ctrl_1 (GE) - TPM",0.122164907541883,0.292427441499177,-0.169092467877249,-0.664281308984257,-0.470725568703571,-0.436129210429839,-0.50130183450165,-0.466164380992061,0.342419466061498,-0.490950959439112,-1.13700804857144,-0.578275033749271,-0.28635984065287,-0.407665828930318,-0.156844986436303,-0.964476093034831,-0.650665446877346,-0.551272668666631,-0.464534951282051,-0.565927694006025,-0.558295282330789,-0.638426658548695,-0.570873073885918,-0.551875591558208,-0.563373666720068,-1.00706603484495,-0.516043889378703,-0.352594976998573,-0.669129702180899,-0.574289459268032,-0.257055607462237,0.0570724946082942,0.151258561512476,0.482922805339173,-0.00342278617859403,-0.225720538118954,-0.553986122708149,-0.607907063554994,-0.550641991072899,-0.543856739974299,-0.584056209182929,-0.361661763879108,-0.951595265966772,-1.30255617318249,-0.404235472783275,0.125177316551357,-0.18605402182487,-0.308378524169729,-1.11463195729978,-0.654773940562926,0.261851268396402,-0.341807028485153,0.0154656486184226,-0.180303663175724,-0.642792306143167,-0.721677700503736,-0.736351578162713,-0.217015067059694,-0.656957550327757,-0.61648268526331,-0.649826004432939,0.58562940028262,0.132829531145749,-0.349411240464346,-0.261174265163631,-0.591876026840874,-0.551184497116306,-0.581943464371061,-0.58910572231672,-1.0811926185838,-0.60725623399555,-0.984251383342659,-1.09998514425997,-0.752045812264152,0.457768327791439
"SHIF_Ctrl_2 (GE) - TPM",0.970265437483865,-0.0175092142846977,-0.0566563903549649,-0.636709171426639,-0.520592598885051,-0.54175272340983,-0.564084642337877,-0.456044911568349,-0.0537320882163154,-0.405811024920066,-0.822781780200569,-0.781347993829325,-0.240730478034355,-0.0868112647351267,0.377046678802852,-1.12341212496231,-0.647443174612419,-0.551272668666631,-0.509603423933665,-0.572203549203194,-0.575339817084341,-0.595723718477551,-0.594128594658458,-0.562681185294961,-0.5540417664594,-0.813745807973594,-0.700933505989516,-0.609921404183578,-0.66844280540884,-0.258124238872259,-0.000593234443015061,0.220252118046582,0.692496465342877,0.184430653439182,0.0239942141611116,0.353187530134226,-0.425394393917188,-0.604052269018137,-0.554768205931866,-0.545411140838453,-0.592058843080259,-0.25077547230306,-0.510312640563049,-0.865271005260483,-0.552427587101186,0.517479131725639,-0.761678104055673,-0.319966405844242,-1.15083719753527,-0.436802677606924,0.543706849169704,-0.924288668150163,0.198439513404678,-0.0208533972745451,-0.592619551566172,-0.677467892661161,-0.779595200830914,-0.115471492406155,-0.681518913544695,-0.610804519564618,-0.727133700903412,-0.0601494683789901,0.581426793112821,0.0106236069860576,-0.219108421405168,-0.57497856702633,-0.548316906974263,-0.574665639615583,-0.58132868447525,-0.672664493972393,-0.555646789301729,-0.724346296512544,-1.35927773474523,-0.731619985869564,0.251121708028343
"SHIF_Ctrl_3 (GE) - TPM",-0.627341077521678,0.0157888390860836,0.134569897097058,-0.672995123590269,-0.407413426084791,-0.527620533875086,-0.497293430995414,-0.413970314065484,0.185167876563538,-0.870384591993657,-1.56037438922212,-0.729099040940546,0.029767053064361,-0.0586184027921149,-0.886323616540756,-1.45461686207516,-0.720208625283929,-0.535726010489369,-0.509603423933665,-0.582320278364879,-0.602666552081536,-0.660876648403464,-0.581782657395881,-0.54301446340563,-0.588202699374883,-0.35128210250053,-0.997895893722934,-0.77999097342593,-0.684643820108973,-0.916472339545821,-0.317251793955567,0.442972944461181,0.188585083507422,1.17980258567851,0.0570516674146669,-0.224881745334135,-0.248215208268179,-0.594646657288659,-0.56578116341893,-0.557359804845327,-0.591526570871694,-0.609314794546141,-0.869360332951508,-1.28510146127805,-0.231936470742245,0.26387243344734,-0.734874677232401,-0.556411511672216,-1.0864452345874,-0.819935285584961,1.07425468754205,-0.150596474032499,-0.43649059619691,-0.0729738614992692,-0.666563316381499,-0.674480932179955,-0.689393923376394,0.111370604781592,-0.659770491704255,-0.597301938576689,-0.630504991956445,0.0210799263557646,0.346443938148527,-0.071597284096778,0.042217217154633,-0.603966692638797,-0.561430725340985,-0.570668760881695,-0.589527626865594,-1.04474805874965,-0.628939713116749,-1.23751732805021,-1.21403762684716,-0.742034870204136,-0.0547259189421766
"SHIF_Li_1 (GE) - TPM",-0.627341077521678,1.33786750967194,0.406370106967934,1.63308723234122,1.3538125264966,0.991811754258672,1.75120024638818,1.73038618931166,1.0392616288448,1.62762281998487,0.515099333425293,2.04211080401481,1.44542794368822,0.983660659183498,2.39332888739535,1.70154359200239,1.80638304126105,2.35878598888588,0.571050972404013,1.65293374653901,1.99670991734015,2.45253624655879,2.20701422476198,0.864548097592883,1.64325486586117,0.385544551447096,0.808288885948337,0.572635464614181,2.51970928993518,1.56363034414213,1.0766317699575,0.344904183528068,0.220410427960525,1.06226835847786,2.02759153419482,0.309380275005753,0.791179496899154,0.663271222592445,0.796075028793029,1.19102733021082,0.954610397201353,0.62898245521864,1.58309390453425,2.51467964002355,1.57839867929572,1.49660227952885,1.53883190103116,1.79385457563324,1.08394559941217,1.69190482610897,-0.498819529389834,2.30816098317142,1.32822030282446,1.10057181548358,1.37606623711304,1.52266982059915,1.58133385061722,0.86285737548993,2.28183086480354,2.3361356036337,2.47217828566765,0.34075657156557,0.875773971617915,0.365102633516791,1.40031803348345,1.12996566825768,1.04782636994883,1.15665922726113,1.66439813811694,1.66618489727826,-0.13860290204406,2.3602776326088,1.69788938373929,1.32125429927275,-0.654076273538455
