"","SF5M90T_85","SF5M90T_132","SF5M90T_238","SF5M90T_290","SF5M90T_336","SF5M90T_460","SF5M90T_601","SF5M90T_602","SF5M90T_1127","SF5M90T_1144","SF5M90T_1190","SF5M90T_1191","SF5M90T_1192","SF5M90T_1245","SF5M90T_1377","SF5M90T_1378","SF5M90T_1379","SF5M90T_1567","SF5M90T_1677","SF5M90T_1789","SF5M90T_1826","SF5M90T_1884","SF5M90T_1898","SF5M90T_1951","SF5M90T_2014","SF5M90T_2082","SF5M90T_2096","SF5M90T_2102","SF5M90T_2173","SF5M90T_2196","SF5M90T_2249","SF5M90T_2250","SF5M90T_2384","SF5M90T_2532","SF5M90T_2662","SF5M90T_2714","SF5M90T_2743","SF5M90T_2808","SF5M90T_2817","SF5M90T_2834","SF5M90T_2835","SF5M90T_2875","SF5M90T_3074","SF5M90T_3165","SF5M90T_3189","SF5M90T_3324","SF5M90T_3333","SF5M90T_3367","SF5M90T_3457","SF5M90T_3667","SF5M90T_3734","SF5M90T_3976","SF5M90T_4146","SF5M90T_4247","SF5M90T_4277","SF5M90T_4278","SF5M90T_4279","SF5M90T_4291","SF5M90T_4324"
"SHIF_As_1 (GE) - TPM",0.262945045122423,1.00015195448243,-0.157331293919033,-0.106589583781665,-0.372380895540916,0.0738050690494293,0.194285853866829,-0.0312903702806728,-0.210195756938623,0.106696044529562,0.582123782632545,0.211591220643117,0.173159433483404,1.67358743453068,0.812040778522657,0.382934299776808,0.466266420508263,0.0667438772689364,0.366133745582937,-0.509570472437887,0.414227817118706,0.995191063104673,0.18720344097164,-0.507820411162258,0.257460343953227,-0.473577461332571,-0.453447126026161,-0.314955691232454,-0.124414865062725,0.407530137565134,0.0534243545943688,0.118002302788346,-0.336056876878252,0.0123079123990038,0.541393504490944,0.324569491778645,1.14107076964564,1.21983001747379,-0.206691128686291,0.758340366739971,0.246640490056063,0.00461775100383514,-0.0919328571523416,0.711845509891818,0.09396886332,-0.179241713273496,0.943999389529906,0.322361616872401,-0.0591016113138409,1.13259692692136,0.923325836817332,-0.216939044170535,-0.193971341523429,0.31589230822294,-0.197815747277742,-0.355526727351873,-0.377629547625037,0.0375421895660245,0.596269055367593
"SHIF_As_2 (GE) - TPM",0.762913679995463,0.987618956731662,0.792662620164452,-0.313391471962459,0.0139906262103281,0.243425241957568,0.127790849327069,0.0118142029330597,-0.456746060776677,0.746714752282989,0.592779001597464,0.0450923887873349,0.0956022391964236,1.61843279230778,0.762168896089805,0.341371223939843,0.291038652920465,0.357093131024993,0.568815159127472,0.27372704197984,0.664089945863351,0.389790168317252,-0.196259071625532,0.999466805448146,0.332354967020713,0.198163083803823,-0.403406716760968,0.0464040882359435,-0.233997424997779,0.623335972334029,0.0669201272221263,0.166524308186516,-0.106274081853456,-0.393984950730753,0.215267665635335,-0.0912306029523103,1.07698440589824,1.62036250579646,-0.18378400950441,0.99539262404784,0.334378379855622,0.0975492075936336,-0.417985015078061,0.724558776028311,-0.0022423236250074,-0.907786358119591,0.972432965354059,0.103645991821518,0.221116829619965,1.37740032780784,0.333114099836027,-0.976184279266561,-0.217129546781837,0.273286140387514,-0.214103453064986,-0.285965940514608,-0.390718432174141,0.237953014251196,0.466804016804322
"SHIF_As_3 (GE) - TPM",1.02644830938822,1.16000565357701,0.561500805598476,-0.148891881351357,-0.158664022044853,0.258982239053366,-0.214230829342262,-0.508672111366856,-0.389326986553193,0.94450873882287,0.646999260156113,0.154594814082279,0.428650570285611,0.807839071159844,0.577638941003973,0.30572785372273,0.297007554960574,1.10970943676825,0.843321763245301,-0.389440826697418,-0.518727785443686,1.16500108522985,-0.398732219925474,-0.0318463339170778,0.333276666307969,0.135375446077901,-0.589929371685809,-0.292891792542708,-0.00819023636371178,0.628411772221491,0.0754578565631623,0.135507978589666,0.513647777493002,0.149940945328935,-0.334368529737717,0.395057920480383,0.97892936114308,1.29935697505234,-0.256265232361372,0.600818957128232,0.329434098699359,-0.039143329432344,0.21076146136117,0.929724308985889,0.201511881130782,-0.471202531030911,0.710353797448524,0.671222522757434,0.432050009557656,1.38841197644785,0.844591598685938,0.208377863153546,-0.544442810976398,0.328695997668667,-0.174952136636501,-0.360964087001437,-0.354736588911157,-0.41934846843712,0.695620356526381
"SHIF_Bs_1 (GE) - TPM",-0.318477369666196,-0.196040708940969,-0.429153838897459,-0.281887206906273,-0.416115056298436,-0.245743167919721,-0.31400894011852,0.086890447903443,-0.574337334756202,-0.777075721401638,0.711424810385409,0.527442782750131,0.628138551485645,0.287208279695246,0.359203150031143,0.59770562084039,0.352218450889456,-0.0907596896585224,0.208310039345115,0.15511585752612,0.350090043129692,-0.205638899986057,-0.230548935559044,-0.683798694653974,-0.12950997056434,0.603883092972931,-0.233319400177278,-0.990942593175044,-0.735869643923152,-0.297244507406873,0.369138598863149,0.133805658975461,-0.60792008237149,-1.08434002026611,-0.451082902070452,-0.202227610712397,-0.236670947098457,-0.418513301241858,-0.670714638318656,-0.00860965036942659,-0.0633077864062114,0.0554080849957611,-0.390820422281453,0.148264838460646,-0.283272214754655,0.0526261778480902,0.175756159222765,1.19026702934323,-0.365250904398899,-0.801273347749274,-0.55252188057551,0.74346812889988,-0.489453334442062,-0.971799603134214,0.173789201993804,0.0740427470341304,0.203471410493946,-0.733160144410472,0.0099505898161348
"SHIF_Bs_2 (GE) - TPM",0.792162339489282,0.642580784880128,1.64896615810715,0.207801459771433,0.187030829964195,0.736511116077964,-0.144098794951771,0.168762774731463,-0.51083633284613,1.9633023987077,0.845872243540491,0.600192655841148,0.972614133341117,0.230002731512269,0.0958549260451907,0.503927741138033,0.427933817059933,1.45830691865805,0.673045626338098,0.0899169071421151,0.197401078601699,0.687133932622904,0.0326314696945684,-0.0570212829198624,0.273691269179034,1.39284114717322,-0.0205822861487618,-0.257527885868413,-0.438627892379896,0.829289840009022,0.786556735988352,3.20645316667246,0.00394846873477776,0.120144438600023,-0.297759289846907,0.22550727738936,1.63436110780188,0.250332629208419,0.64321502049274,1.00498073710765,0.607895403131912,0.56716162939381,-0.164139550492494,1.24862723320377,0.0861218499748599,0.241081946831999,0.0156459031005816,0.921699940137985,0.97756469896336,0.818463602597159,0.684522240011416,-0.274244867131483,-0.636351984120468,0.401278392465226,0.458111385793865,0.907358509488859,0.460501098450916,0.78124609473203,0.154501972877277
"SHIF_Bs_3 (GE) - TPM",-0.24527701303705,-0.0217292826965817,-0.122064877030205,-0.439711304758618,-0.240526044510691,-0.200532184131037,-0.684596856434218,-0.324631686685727,-0.707418988245609,0.16088597560875,0.122852966209301,0.00650242078409803,-0.186575385181395,-0.37165828897963,-0.144488209588202,-0.0719561869780709,-0.165270144426112,-0.275386997478596,-0.238394833429136,0.326099910159558,-0.102604804875539,0.428331001985457,-0.450642442442462,-0.683972976082489,-0.419263474765542,0.490000503626869,-0.993972329399635,-0.417326138668935,-0.799478067076074,-0.356412096875272,-0.0671259111140109,1.21236102163808,-0.415470851355855,-0.0733768773150117,-0.119933654507363,-0.434494588422285,0.557256501029373,-0.221721649217486,-0.469688406027501,0.149694403438535,0.358381880930482,-0.277907990252364,-0.729458032439459,0.302315050692038,-0.0699732733048233,-0.277250729238941,-0.4068487896649,0.425640179009595,-0.580576298258651,-0.607477312493556,-0.158220299085645,-0.884081595625839,-0.294834260566053,0.00668687409861607,0.0392997973314357,0.0886165034156501,0.0362100426233484,-0.306088088349528,-0.341006327673544
"SHIF_Ctrl_1 (GE) - TPM",-0.251197070111874,-0.499623453980328,-0.47617940295443,-0.150356822942269,-0.503607312349419,-0.434386794456211,0.767064451075224,0.202238369414031,-0.254042113256765,-0.0541060320665133,0.32902762192848,0.34619115512098,0.171293890571816,0.549624531744825,0.706558163401876,0.633932330886014,0.418844168446131,-0.360384457827958,-0.552924111034631,-0.582703857790452,-0.415215003003344,-0.337385512482903,-0.612992245469566,-0.568810124487141,-0.401208357449375,-0.752152190864185,-0.390687712404101,-0.409398929207435,-1.07128147195639,-0.772494213332462,0.282802143369849,-0.407248335305925,-0.531900766350073,-0.66206586918339,-0.232254538590796,0.0107917892147242,-0.260151545023948,0.632408821205101,-0.659344949525501,-0.128631637946209,-0.129490475441427,0.249743631093843,-0.244620870055522,0.0304414960090507,-0.698963208013381,0.256160970013115,0.35052295483417,0.424303200782222,-0.198629949576799,-0.546333261834821,-0.882829444964696,1.57608191599375,-0.435396124140128,-0.998899036278215,-0.0217166898311625,-0.492414061777233,0.386562351104706,-0.259052991675397,0.497118641128991
"SHIF_Ctrl_2 (GE) - TPM",0.409314525516402,0.0617242889313422,1.08604325562567,-0.118610248199157,-0.89879838071571,-0.0809746179514262,0.524409467281181,-0.0948570837804706,0.122359264754809,1.96047646603871,0.0584164490575294,0.0441819631516932,-0.0995613786960105,-0.0794287926092965,0.387955748266333,0.151889894033052,0.107815014204292,0.16874034526515,-0.164662996051397,-0.11946777411611,0.102788916744715,0.224830635208547,-0.510166333934152,-0.766830969459372,-0.596583654450407,-0.0396547422593459,-0.468705567915142,-0.382030412540882,-0.705779038378819,-0.580432999994077,-0.263128562892883,0.552113477068187,-0.39696068334037,0.114552062275939,-0.312505837386921,0.145270329128991,0.803830464836776,-0.133273008960996,-0.488017162265688,0.490523657587109,0.304590430441877,0.252066432882228,-0.244104356119032,0.309774015455334,-0.223554153463589,2.24887826135872,-0.0157184997221644,-0.121635280000841,0.979664413037728,0.533313290407257,-0.411663031929821,0.00608721772485188,-0.675694777038934,-0.819568852896922,-0.0348585474937924,-0.197116034868324,0.504479903445857,-0.0271879038915485,0.131843282939793
"SHIF_Ctrl_3 (GE) - TPM",0.576112121584687,-0.710944474945655,-0.475735767775256,-0.137377448355261,-0.772773949355312,-0.507432378749851,1.00438248237466,0.389500364960411,0.34074501751019,0.336913931987492,0.137611596809296,0.13288010861722,0.00547101674242403,0.444307892839966,0.410522910228941,0.391729911616414,0.197315498861003,-0.407381658043711,-0.00627946160589178,-0.26549231087625,0.61176308767176,-1.05524760487602,-0.312094096043535,-0.625511583982124,-0.157150306769581,-1.60804338108369,-0.319075453668822,-0.640017447185809,-0.895025408604592,-0.611341162647,0.406431005315673,-0.0449063449464746,-0.338716344322091,-0.799026342646846,0.555849040389762,-0.052493207075241,-0.304810752849355,0.634116088063419,-0.350007841629116,0.187609600851392,-0.448179683251775,0.172515216175782,-0.5121949175905,0.050384018565628,-1.01777786430224,-0.047310648093634,0.204993121773122,0.183750814621277,0.660634174011294,0.162222854296467,-0.579808985133392,0.386088307563659,-0.77876642979001,-0.786919776100874,0.147756758973412,-0.247325171724337,0.863650356111192,-1.12692023538954,0.480190486744747
"SHIF_Li_1 (GE) - TPM",0.658104740018218,0.970018288704868,2.35862557930312,2.2650301850991,1.84276279257177,2.97341537726486,1.987205119896,2.18166479623237,2.24553887994552,1.55389695537328,3.03764511763419,3.08530170669375,2.79372887611447,1.44173492231094,3.08326964730179,3.47071757910901,3.41377035457313,3.51372529302471,0.638508578648147,1.62997829323098,3.2271325788243,3.32464328333148,1.80863202838535,0.11772014105187,2.62212321201245,0.957504069285381,2.52079836848663,2.01556660658699,0.929461779490818,1.995184952827,0.952790203755695,0.848069396896173,2.27246743376942,3.28086361261481,1.07728279959846,3.5743903830703,0.4059668835136,0.391726316550409,1.37717480351341,1.84725120421339,1.76211419606001,1.68243701160784,2.64632201166409,0.884815375341387,1.85724978829029,2.38378470683256,2.09198917212529,3.24880298615187,0.999902550426392,1.15641974828746,2.5072136464865,3.10370797266965,3.03378558337478,0.478398908341605,3.24886029388036,3.09512292661657,2.64231051810249,3.09153876202874,1.67884998492998
