"","pWR501_0146","pWR501_0147","SF5M90T_69","SF5M90T_75","SF5M90T_88","SF5M90T_146","SF5M90T_455","SF5M90T_456","SF5M90T_875","SF5M90T_1258","SF5M90T_1265","SF5M90T_1313","SF5M90T_1383","SF5M90T_1588","SF5M90T_1597","SF5M90T_1599","SF5M90T_1689","SF5M90T_1690","SF5M90T_1744","SF5M90T_2474","SF5M90T_2538","SF5M90T_2658","SF5M90T_2894","SF5M90T_3064","SF5M90T_3076","SF5M90T_3105","SF5M90T_3185","SF5M90T_3231","SF5M90T_3232","SF5M90T_3359","SF5M90T_3425","SF5M90T_3444","SF5M90T_3445","SF5M90T_3446","SF5M90T_3447","SF5M90T_3468","SF5M90T_3525","SF5M90T_3584","SF5M90T_3586","SF5M90T_3900","SF5M90T_3901","SF5M90T_3947","SF5M90T_4064","SF5M90T_4141","SF5M90T_4167","SF5M90T_4175","SF5M90T_4206","SF5M90T_4327"
"SHIF_As_1 (GE) - TPM",-0.708189782095387,-0.436547395475136,1.66950050264133,0.489617978954372,0.172590585310125,0.0846495475800393,-0.390274612764769,-0.591973323040665,0.377326632865498,0.190231731480405,0.391261761814241,0.531815213722678,0.231352956295135,0.787872533702658,0.8047383849468,1.18632814164045,-0.647136426688289,-0.614651578458564,-0.750606572875265,0.662728902666965,1.26397985239683,1.01920763263063,0.93799436189495,0.874845801279894,0.489034900365741,0.733301941106471,0.800862577361331,0.830113556640817,1.4473414044559,-0.575833254895378,0.122623915301888,-0.553150422680919,-0.510452840154863,-0.576605347190938,-0.525153462016868,0.13134635683247,0.149528222357557,0.401866075594999,0.877256575097227,-0.516912425647974,-0.535247165188765,0.284730863301716,0.907441157862806,0.404293268611524,0.372542524202276,0.626525717724802,0.818243850560664,0.466990309079368
"SHIF_As_2 (GE) - TPM",-0.645410038923963,-0.620743753077249,1.9150235003509,0.759235529604004,-0.161397104561514,0.036909116970827,-0.528152702705897,-0.558332349476448,0.41512641729242,1.3596936936197,0.474944941526598,0.665316216557182,0.991864034375298,0.524173933612641,1.56233842493446,1.347844939822,-0.655161288277545,-0.632499294617002,-0.791361024316004,0.602535264102763,0.654547145331836,-0.10316697109206,0.567068040632942,0.999083381173927,0.524611828168764,0.945263701973086,0.613285591764338,0.804480503054328,1.37162689692176,-0.443104806600863,0.377065087928652,-0.56464201051448,-0.479134516345179,-0.576877810584191,-0.512848594847262,0.256249273992888,0.0460949887287868,0.342430839280597,0.861437483827742,-0.432610070231206,-0.521777072692445,0.0631509962598578,0.492497320841203,0.694144379882182,0.118967006009709,1.06379150479214,0.974880728687407,1.24358863070393
"SHIF_As_3 (GE) - TPM",-0.603168913353891,-0.549641750466305,0.610172368918404,1.01613061135125,-0.112954667600806,-0.127922327294243,-0.46897773156056,-0.647055996950218,0.331124602422828,0.297533792528632,0.585329268212118,0.738589172757169,0.551786874167908,0.389706570148634,1.41364201100466,1.18435415139701,-0.683063255370285,-0.638674929410133,-0.682036357626907,0.539465838355489,1.57989136649066,-0.0610998022067418,0.400252019639039,0.591248270181772,1.37120043268367,0.425892408027091,1.06371246074024,0.810810227254456,1.20470618562804,-0.750438519563379,0.121642414498385,-0.503894498608705,-0.468057284932342,-0.614498664558281,-0.497652386340297,0.620995524987305,0.208948512047035,0.720808638270725,1.78307212626694,-0.523421957474096,-0.528962570256507,1.89062116686372,0.402419050899918,0.268472341309488,0.026722934921286,0.698210651496939,0.667226176541858,1.76710325865516
"SHIF_Bs_1 (GE) - TPM",-1.06606731518446,-0.945595194797391,-0.329460392957906,-0.234560210341772,-0.105550171888888,0.906412070119529,-0.862455198086246,-0.851389030904635,-0.401532137528195,0.372705511026907,1.29942777342928,0.612654816654201,-0.891915004462022,1.51698641027812,-0.232003022535584,0.19869260547697,-0.709480224749906,-0.656462173354653,-0.492690309435795,0.519442825897642,-0.93934381645437,-1.56466097907259,0.386322523788713,-0.669378757966956,-0.854574941488378,0.573395130814817,0.209352854058201,-0.294150642033759,0.0946588294767202,0.0547888939267746,-0.354503470245103,-0.644091867091504,-0.681631743241606,-0.713003328574384,-0.596425219542373,-0.418274292496425,0.0235714338138066,-0.240707842496683,0.169205924620825,-0.986780376436698,-0.541335999954132,-0.0861073236441777,0.216603477779756,-0.150932058093574,0.151765078431394,-0.736332136960526,-0.0256000330594979,-0.5557625866042
"SHIF_Bs_2 (GE) - TPM",-0.552423210774987,-0.806505737647844,0.553934261460227,1.30167883229246,0.616816637045197,0.968185914695357,-0.576478118183784,-0.528884704945745,0.486938025173772,1.36923997767335,0.356758459125236,1.47819426253842,0.749913274734325,0.691697636696063,1.32922210268389,0.775658941822567,-0.689719428979414,-0.638539021462328,-0.6042236076778,1.40180360496508,0.561959520343124,0.675565384140176,0.347135641279491,1.26717996208037,0.836384763442505,0.960162118065062,0.269346984931315,0.0191364405285458,0.736612399402607,1.0901197901239,0.57009083406933,-0.648940283296838,-0.649874889545905,-0.759188959273172,-0.575445312488801,0.375144879273056,0.664261548244028,0.897838366169398,1.05721359276547,-0.851104575501309,-0.531320312112614,0.779633168174215,0.485034621662876,0.510269742331304,0.84988590695021,0.997907143983303,0.181851748565259,0.744268561509543
"SHIF_Bs_3 (GE) - TPM",-0.885404422666247,-0.775468392867911,0.225330199653343,-0.165365511924337,-0.375357560044944,0.483209124181143,-0.911600484008452,-0.79884437441306,-0.233295793737282,-0.0905190710087498,1.15961854485922,0.29272902507866,-0.442012861456711,0.618322110848228,0.115327340597644,-0.0734416136381894,-0.759508760772715,-0.691356778462197,-0.731682306888179,-0.20749965601938,-0.269687118276365,-0.727337172032841,-0.111526723378287,-0.638319266813192,-0.355286763587345,0.0261655631807226,0.101432442368047,0.485500091584197,0.620994189402927,-0.598995810197887,-0.251311833443569,-0.671674207331549,-0.646566813482705,-0.778424988799252,-0.585287426730877,-0.710804916359361,-0.0444089994058033,-0.188946815268263,0.50915543787049,-0.918982424199903,-0.545134438894867,0.466983535885178,0.24282965697713,-0.207715203145482,-0.380633823455727,-0.29234084315351,-0.658304680987005,-0.435961311946281
"SHIF_Ctrl_1 (GE) - TPM",-0.925076003431773,-0.877103240695937,0.7278529075533,0.063551324444617,0.712082844911069,0.755298427193803,-0.631618486254026,-0.750733773258836,-0.056118712371421,0.110453399564488,-0.0689215583603783,0.345927845785757,-0.510102435221572,0.888850721349598,-0.419711624809449,-0.067113588595867,-0.683526365722759,-0.656269334677202,-0.963456825865285,1.11148379947421,-0.223046405782354,-0.386695411308029,0.0545458387861992,-0.0828748002549829,-0.0216362945878473,0.812993781487218,0.218364099245411,-0.0642460570878091,0.168500678564673,0.635815318330675,0.020706009112505,-0.686361119948815,-0.703969759208346,-0.918473847435578,-0.601522429787312,0.679171808623817,-0.015465114023782,0.316546508332025,0.323581225543864,-1.03970572053359,-0.539732745611586,-0.787169592498183,1.12886293104534,0.4181424752073,0.651328309716254,0.0287490310597063,0.590066301601718,0.103780859579173
"SHIF_Ctrl_2 (GE) - TPM",-1.01125428467316,-0.990844340670686,0.528693977092877,0.669579759877201,0.734036260289582,0.399294393079213,-0.76257538207434,-0.666071367549563,0.257850111363245,0.106565298883202,0.18142422343841,0.414598231611707,1.09153060763975,0.460033633968921,0.453215506993016,1.02043669692219,-0.694762477382471,-0.684815123415043,-0.952985282841378,0.697499260561974,-0.308993935713541,0.457404645831945,-0.0722975114565588,-0.451983636262263,0.0381557395293168,0.540236410926784,0.455331541322711,-0.0841032269021982,0.636308932941315,0.765680448856956,0.780796319033891,-0.701882130322867,-0.711243275262268,-0.949440581859872,-0.605337627004317,0.491984461441944,0.120635218272944,1.01188537021851,0.620963937047167,-0.992560001219447,-0.534170483679705,-0.0817005988735402,0.400062297494125,0.840227300145952,1.41192230556576,0.405889101536051,0.703065698826079,0.747303894080976
"SHIF_Ctrl_3 (GE) - TPM",-1.2458752211937,-1.05725005359778,1.10794168885141,0.324340412209933,1.37781551866622,0.898731947672448,-0.902738989961186,-0.767093845636845,0.264338189293241,1.84307603716623,-0.10022275481431,1.01916149099035,0.577978193843419,0.388371468715908,-0.462084019007574,0.0440527255173746,-0.705467345873036,-0.685936876319644,-1.1556062947814,1.50760884639581,-0.460820138335514,0.75449590448456,-0.125027031308267,-0.573555615096963,0.142925062791879,0.53938935997459,0.191635931166968,-0.186967020357237,0.314218844040371,0.14217771147961,0.561728797501428,-0.696189083001123,-0.718017703136873,-0.964094948161031,-0.618086719140809,0.0138043088550422,0.0930920312309019,1.03872388136473,-0.140159893854396,-1.13174545184581,-0.540427724080613,-1.01006864796527,0.573192249556393,0.51876117976744,0.897731560034524,0.0315382100824588,0.610866818057173,0.0256299059334531
"SHIF_Li_1 (GE) - TPM",-0.71995201462438,-0.712754668453972,-0.928223956916302,0.705396806448892,1.06230066206825,-0.538069247429862,1.54559478602761,0.809218812952219,-0.457180754686574,-0.0135352411646487,-0.019024459555383,1.92806506234354,-0.373190802039377,-0.190324887297647,-0.005613748514013,0.333475686002279,-0.235175118567739,-0.109782593703988,0.0348747834961237,-0.181110413251924,-0.55454970508318,1.62388919429593,1.33167884354569,-0.156611151031355,1.06129481735512,0.858737694314501,1.13037746713483,-0.366549819207509,-0.280267983095746,0.041513117484415,0.370087307611871,-0.556727767566008,-0.433165411956439,0.168561672235951,-0.492669146551063,-0.489003286790646,-0.0542976067336705,-0.297199544910239,-0.215890441184845,-0.194897294971884,-0.452265525081283,0.24270628401959,0.787058874936485,0.277334764179153,0.64778788445596,0.449114930438123,0.428173003239116,-0.0315026536289561
