"","pWR501_0219","pWR501_0221","pWR501_0242","SF5M90T_38","SF5M90T_62","SF5M90T_92","SF5M90T_488","SF5M90T_531","SF5M90T_630","SF5M90T_984","SF5M90T_1202","SF5M90T_1278","SF5M90T_1359","SF5M90T_1506","SF5M90T_1674","SF5M90T_1828","SF5M90T_1870","SF5M90T_1963","SF5M90T_1967","SF5M90T_1980","SF5M90T_2067","SF5M90T_2092","SF5M90T_2240","SF5M90T_2644","SF5M90T_2647","SF5M90T_3015","SF5M90T_3043","SF5M90T_3081","SF5M90T_3478","SF5M90T_3512","SF5M90T_3702","SF5M90T_3708","SF5M90T_3773","SF5M90T_3776","SF5M90T_4032","SF5M90T_4103","SF5M90T_4183","SF5M90T_4191"
"SHIF_As_1 (GE) - TPM",0.300964951975721,0.628976990954021,-0.386192416807335,1.76338725303557,-0.310460147109816,0.254673317674047,-0.179468205086688,-0.284633518967861,-0.417279043627191,0.671269744858392,0.785383993302718,-0.226183841376506,0.0395560187884577,-0.364199455911368,-0.237777175933093,0.199197582209004,0.428435846363434,-0.0411837772212609,-0.269971962166184,-0.199143422718678,0.278124971670501,-0.171459294048791,-0.292067923696108,0.175928968637324,1.13711470126153,0.194058102408014,-0.581218816587366,0.699283082744517,0.37399783631374,-0.0120412664563949,-0.0102714150911225,0.336988620360783,0.953492028126708,0.0329760169639164,0.184207618167648,-0.0700852820869355,-0.588114413694056,0.759118924011693
"SHIF_As_2 (GE) - TPM",0.308079021189408,0.379074253905265,-0.386192416807335,-0.209703296980473,-0.135335081805801,0.140469363214893,1.42616994441854,0.52988434223973,-0.204879290212948,-0.0019544867052162,0.959690155028209,-0.300993669853857,-0.713234829666451,-0.629228686911144,-0.237777175933093,0.455444095702449,0.643582473064985,0.0164831326628874,-0.269971962166184,-0.129143966867253,0.185153791051128,0.177927147318834,0.308489344175404,0.697342580723205,0.256730291174112,0.43813990481592,-0.405971491799345,1.93881174163147,1.49908220452783,1.28501486318121,0.555312763986158,-0.129919706084049,0.59949868029203,-0.471464087338686,0.19989209407776,-0.534013583840749,0.00698967636084531,0.057208467325759
"SHIF_As_3 (GE) - TPM",-0.108756930631296,0.303660618748822,0.227604106437642,0.54370901135717,-0.0645459171796708,1.15199118613273,0.271073407912941,-0.0428259129066796,-0.0408809111474969,1.55926293145872,0.587183038382434,0.0596458638413197,-0.292181161482853,-0.383550612235023,-0.237777175933093,-0.213267587396296,1.30927359120956,0.10994439372026,-0.269971962166184,-0.419019913756168,0.296556488972187,0.031384312578383,0.772192416419327,-0.127832963093081,0.394215086807261,-0.198826237717863,-0.192357215446365,0.749530230240036,0.979491183691712,0.998576426430547,-0.106463263466302,-0.293775253937332,0.458444764304875,-0.678301693621312,0.0231394882316722,-0.634892860386147,-0.493716529411922,1.01682567089411
"SHIF_Bs_1 (GE) - TPM",-0.187802971660572,-0.336333948672182,-0.386192416807335,-0.144260566316268,-0.396622892894526,-0.318128073410432,-0.679532587543924,-0.671301166797719,-0.337103197648152,-0.609483728594392,-0.100151719085656,-0.594099402614719,-0.761217857154647,-1.03698202170863,-0.119714411845478,-0.605702729701121,-0.939445177398737,-0.735659700953888,-0.269971962166184,-0.419019913756168,-0.172451695299105,-0.384927244318097,-0.658996097457905,-0.346266105503129,-0.688428501223968,-0.572631429983872,-0.473691556526877,-0.357804386305971,-0.903410574124855,-0.163474721201287,-0.57084745846845,0.0193574476092775,-0.612290303648471,-0.579713189805834,0.288064932979306,0.440569462715428,-0.53424166846234,-0.33923904840103
"SHIF_Bs_2 (GE) - TPM",-0.521053927922463,-0.55656562699392,-0.386192416807335,0.147466491497087,0.222918493570473,0.491647168324045,0.106434755770721,-0.16346703791486,-0.427073883134317,0.37393342049105,0.488417108493415,-0.177620311967137,-0.185876932468318,-0.183249701610393,0.0320961299098446,0.138445835294598,0.631359890951091,-0.815994434046744,-0.269971962166184,0.190822470401196,0.370285912965071,-0.187571290574579,-0.150145989411887,0.266039548685779,-0.664145093450317,0.313395861906797,-0.212532667984124,-0.442035658985295,0.850927312418384,-0.193965293778792,0.397843653035226,0.141676737342602,-0.393248339193254,-0.610232295870233,0.163343006865453,1.21148893992941,0.628307428236613,1.48245700941494
"SHIF_Bs_3 (GE) - TPM",0.0421216083591763,-0.505001287186129,-0.386192416807335,-0.178501954986548,-0.328139475714318,-0.0540663745285167,0.237132862023747,-0.67141630704154,-0.310914987770686,-0.312138492056656,0.540738562405136,-0.46925488548177,-0.462488891333147,-0.27711225548187,-0.237777175933093,-0.117497633170402,-0.222622270450279,-1.01703895829077,-0.269971962166184,0.247800696671003,0.135533885587806,-0.384927244318097,-0.658996097457905,-0.241259742944013,-0.886537816808306,-0.456374257581665,-0.500592238694193,-0.319840174727103,0.205124915218434,0.0767095296576018,-0.202004823834909,0.187076293339623,-0.344455582227494,-0.77570214136628,0.495426023262556,-0.192850467735886,-0.199301100890202,0.14097954852321
"SHIF_Ctrl_1 (GE) - TPM",-0.697602068204335,-0.688330454677449,-0.386192416807335,-0.154311581042856,-0.221582976588696,-0.0383043207685303,-0.776048644370338,-0.708957208645879,-0.110811891262768,0.0118474693940575,0.0258890543056042,-0.497843991612193,-1.02948058188227,-0.851371239820633,-0.237777175933093,0.296210452084499,-0.431636002392769,-0.514955733339711,-0.269971962166184,-0.419019913756168,-0.1150646988157,-0.384927244318097,0.163310347063938,-0.848397133439488,-0.918903544793666,-0.572631429983872,-0.581218816587366,-0.244608638713882,-0.224584926761355,-0.508519316411982,-0.621051168105691,-0.647931361073811,-1.12055332479254,-0.738579135539106,0.288421206690993,-0.516130509787223,-0.505449038836877,-0.32401910904241
"SHIF_Ctrl_2 (GE) - TPM",-0.507374456516308,1.23934645846563,0.0209891453832309,0.426783456166483,-0.177399824958461,0.376351323105599,-0.621683774115535,-0.113941753933802,-0.547050937165356,-0.422631876196446,0.449183169417686,-0.177921155277138,-0.844441824978256,-0.890308572699362,-0.237777175933093,0.956303717595832,-0.614619983477569,-0.623450067082168,-0.269971962166184,0.149909333196119,0.360317190120523,-0.384927244318097,-0.658996097457905,0.875034855104333,0.317952311390567,-0.07668016179483,-0.065291247010602,-0.117963541257669,-0.373729109347912,-0.46276195397495,0.0847823396030071,-0.249982581831425,0.0262603642700343,-0.594098910943181,0.435654110203253,1.21029576672779,0.0570212513153594,0.134344138505493
"SHIF_Ctrl_3 (GE) - TPM",0.239126385850498,-0.115242870716427,-0.386192416807335,-0.342260052871957,-0.103503620416448,0.108823081068945,-0.240842665459059,-0.556984702431158,-0.547050937165356,-0.458843535622685,0.356702993640732,-0.843963806511183,-0.99530372417509,-0.705806551599942,-0.237777175933093,-0.605702729701121,-0.696099362373275,-0.904218957338349,-0.269971962166184,-0.419019913756168,0.028425624329122,-0.384927244318097,-0.658996097457905,0.515817610948314,-0.369589340278552,-0.142747215484059,-0.581218816587366,-0.364799655912525,-0.598547823576181,-0.212059958055889,-0.468973411861716,-0.139035130093284,-0.877061718805282,-0.540861130945101,0.47081631448378,-1.12600074462176,-0.633036259336092,-0.0567755827124928
"SHIF_Li_1 (GE) - TPM",1.00126549746372,-0.298668879769926,-0.386192416807335,-1.09700124266497,0.171137000141622,-0.532696354800009,-0.776048644370338,-0.0282512618292439,-0.547050937165356,-0.341631692531912,-0.554989237245569,-0.152357091567759,-0.557018279342477,-1.1418195546961,-0.237777175933093,-0.605702729701121,-0.432362534599414,-1.08201208260263,-0.269971962166184,-0.419019913756168,-0.332017013871625,-0.384927244318097,0.573335816484829,-0.363164151249071,0.568377352815906,-0.572631429983872,0.3116643718591,0.117167219330948,0.298302819639276,0.0826620816986947,-0.31891072080905,0.95854971918887,-0.0607583284583475,-0.0484584267274187,-0.410204451527012,-1.43129351762842,-0.698107739009382,0.2958221626623
"SHIF_Li_2 (GE) - TPM",0.634807982487605,-0.752813839998507,-0.386192416807335,0.123997349800507,0.227293047262002,-0.0365669781060473,-0.343128223750558,0.0629564802144838,0.394664529699713,-0.694465072534019,-0.352942156913543,1.39755757614817,-0.374278338723916,-0.906696455562858,-0.237777175933093,-0.605702729701121,-0.797422266595988,-0.941719553026915,1.07206430211228,-0.419019913756168,-0.151826795458071,-0.384927244318097,-0.658996097457905,0.384224554695515,1.22688061631976,0.818277209248005,0.383402991490785,-0.339759548404526,-1.4984484045307,-0.804515960701972,-0.245950842480326,0.319618088108303,-0.889477283521554,-0.296762780074192,-0.173764253591737,-0.443505781018354,1.00719014143216,0.998872317146193
"SHIF_Li_3 (GE) - TPM",0.124363559442492,-0.250578089158142,-0.386192416807335,-0.573347005796528,0.156762775788702,-0.196989995477694,-0.0333758385062241,1.9923971297642,-0.143173899499363,0.286407982539144,-0.297951098922681,-0.203077361913326,0.690659262662539,-0.738467059877145,-0.237777175933093,1.89931391843873,-0.122743501537867,0.567173844815244,-0.269971962166184,-0.419019913756168,-0.263488056726999,-0.384927244318097,-0.0880178218330866,1.42186610454142,-0.440088724717652,0.620416960203083,-0.581218816587366,0.333713374512626,0.166534712573686,0.0175992232124779,1.08709622765523,0.320778362708092,0.136196908555832,-0.661841396140374,-0.259756077202541,-0.584021068887187,-0.0288257771008536,-0.067755270791468
