"","SF5M90T_39","SF5M90T_219","SF5M90T_249","SF5M90T_270","SF5M90T_287","SF5M90T_296","SF5M90T_301","SF5M90T_721","SF5M90T_736","SF5M90T_884","SF5M90T_992","SF5M90T_997","SF5M90T_1306","SF5M90T_1328","SF5M90T_1329","SF5M90T_1354","SF5M90T_1487","SF5M90T_1655","SF5M90T_1846","SF5M90T_1880","SF5M90T_1912","SF5M90T_1933","SF5M90T_1985","SF5M90T_1987","SF5M90T_2021","SF5M90T_2052","SF5M90T_2070","SF5M90T_2094","SF5M90T_2120","SF5M90T_2629","SF5M90T_2672","SF5M90T_2860","SF5M90T_2921","SF5M90T_3085","SF5M90T_3099","SF5M90T_3341","SF5M90T_3423","SF5M90T_3451","SF5M90T_3612","SF5M90T_4037","SF5M90T_4153","SF5M90T_4269"
"SHIF_As_1 (GE) - TPM",-0.457466615130485,1.12776820235668,-0.859030084549221,-0.226205798661019,-0.203919704529355,-0.49016115709949,1.012477892885,0.205398425037768,1.43902611219127,0.324801055000408,1.61043672839114,-0.178504070716103,0.431460679822886,0.511806951398492,-0.475044608333702,0.18564102601184,0.0677276479857571,0.176182752314996,-0.182820325582014,-0.128082176700653,1.36642310617219,0.295786730060364,0.823125059472556,-0.619671529016931,-0.166666666666667,-0.180633395860898,-0.209732328812175,-0.225286560119312,0.202444622355467,0.714240999854069,0.0131682821028565,-0.623590582100102,-0.214092420510911,-0.312211042972287,-0.195078505036858,0.175180783618765,0.175813679359509,-0.344092553380864,0.442938386400935,1.1818144797677,0.450396223122393,0.234798641552349
"SHIF_As_2 (GE) - TPM",0.677362802703278,0.81709712001826,-0.493606261858911,-0.226205798661019,-0.203919704529355,-0.18138635297364,0.986793458340679,0.767294707650269,2.94238279096493,1.26449971007615,-0.0219647995217504,-0.178504070716103,0.50195417955197,0.0366057966281542,-0.307863472251095,0.290103041947926,0.777881563866172,-0.867253668748671,-0.0449595126803777,-0.109488687112786,0.894354319157725,-0.128723511532217,0.904704735259334,-0.734964045009191,-0.166666666666667,0.18984832538071,-0.209732328812175,-0.439307481387267,0.301785422529538,-0.800074821194013,-0.262272630091672,-0.37868298950706,-0.160664248983027,-0.074247736658495,-0.195078505036858,-0.117646643864214,-0.421471499322672,-0.344092553380864,0.204460725309354,0.630203356007759,0.862226147746007,0.448373022476767
"SHIF_As_3 (GE) - TPM",-0.0377820498867241,0.667438683484055,-0.701245680630656,-0.226205798661019,-0.203919704529355,-0.339156087022143,1.43341081703553,1.24083548130828,0.717395907748147,0.428294156240258,1.06287730544103,-0.178504070716103,0.839023386486777,-0.276276833863937,-0.198336372486763,-0.271029904422137,0.427466848494818,0.277400529161701,1.49544667094718,-0.146306200401199,-0.151459230681884,-0.0388480450618332,1.6967373849404,-0.628089632545211,-0.166666666666667,-0.510611516841226,-0.209732328812175,0.481543828547546,0.331378260852468,0.0934035615230627,0.421874801016179,-0.623590582100102,-0.0546209181658522,2.37785100363244,-0.195078505036858,0.340261009440625,1.32782253777891,-0.344092553380864,0.637086543034116,-0.303700098648133,1.33950018870723,0.218104168081885
"SHIF_Bs_1 (GE) - TPM",-0.457466615130485,-0.551021354572579,-0.592072191020715,-0.226205798661019,-0.203919704529355,-0.82078729878276,-0.547630613783771,-0.311054350850224,-0.847160562496421,-0.13505605135277,-0.90424776774482,-0.178504070716103,-0.928837849893161,-0.580636124575722,-0.8549446287589,-0.3023194960684,-0.543856296321262,-0.76174781146899,-0.61585728650786,-0.399663494962263,-1.09409670636981,-0.445995133121878,0.270908919554344,-0.821131679702364,-0.166666666666667,-0.537696390565462,-0.209732328812175,-0.862795049945676,-0.973577890579566,-0.581576195734117,-0.768267441607515,-0.623590582100102,-0.381916564791669,-0.457601742719661,-0.195078505036858,-1.01451686911719,-0.766606380821212,-0.344092553380864,-0.421264253989419,-0.0993212677274101,-1.06855286921309,-0.436063505194616
"SHIF_Bs_2 (GE) - TPM",-0.457466615130485,0.79785188452206,-0.332368469479032,-0.226205798661019,-0.203919704529355,-0.364101479844497,-0.0662241645094911,0.139944912243819,-0.205981751745684,0.35858828746791,0.614248439116234,-0.178504070716103,0.412899761975684,-0.580636124575722,-0.622469154272248,-0.220688836623284,-0.0166518219132819,-0.867253668748671,-0.215504810500321,-0.10812819326022,-0.08180144704512,0.0578331245548458,-0.592300765973845,-0.176084265775031,-0.166666666666667,0.0837899341819507,-0.209732328812175,-0.744422734964446,0.281105651041206,-0.877713329854313,0.384372708830048,-0.451844666009584,0.0835551002799789,-0.188767754159639,-0.195078505036858,-0.162662407334433,0.940189565450361,-0.344092553380864,-0.0651879540349231,-0.138040657343018,0.618310231402854,0.0291069292475637
"SHIF_Bs_3 (GE) - TPM",-0.196414377958345,-0.433732129102516,-0.400040997491636,-0.226205798661019,-0.203919704529355,-0.784623100886423,-0.283599119263279,0.521679183091024,-0.251980177507723,0.0876122657957976,-0.00274453426292608,-0.178504070716103,-0.313761145485199,-0.296659727818416,-0.260755931103582,-0.0169443466226894,-0.466805561932503,-0.709031907905517,-0.61585728650786,-0.317514588254986,-0.733984968353171,-0.572026068070021,0.0365768137873291,-0.0346403465418217,-0.166666666666667,-0.372989255527484,-0.209732328812175,-0.296942945138681,-0.176337566568146,-0.701258222678148,0.0344997776298522,-0.285564404852771,-0.381916564791669,0.336067133494658,-0.195078505036858,-0.417285246000726,-0.82152296888822,-0.344092553380864,-0.14447397798715,-0.329978747244413,-0.20496434567264,-0.334337144120253
"SHIF_Ctrl_1 (GE) - TPM",-0.457466615130485,-1.0488505224761,-0.0322703088444184,-0.226205798661019,0.374402212003475,-1.01728963753056,-0.725256305239757,-0.418866847893589,-0.811876931793908,1.24618773971159,-0.581535364841373,-0.178504070716103,-0.590515355686541,-0.580636124575722,-0.657223107378537,0.412190443707534,-0.494549568204693,0.0096459753257203,-0.61585728650786,0.23371432874865,-0.622591500219769,-0.0774679961228485,-0.940145753959723,-0.105085981516304,-0.166666666666667,0.426099104538355,-0.209732328812175,-0.484363934710833,-0.713557924741567,-0.618179401115201,-0.701944701758896,-0.207276117262724,-0.381916564791669,-0.13177309845389,-0.195078505036858,-0.340003444934527,-0.859144590245473,-0.344092553380864,0.0690115860262632,-0.696095352750034,-0.659864272706276,-0.436063505194616
"SHIF_Ctrl_2 (GE) - TPM",0.656178122196509,-0.153688566550699,-0.0612760964912329,-0.226205798661019,-0.203919704529355,-0.879131795974417,-0.534708872640939,-0.661795603470059,-0.352800368349462,0.332548591424386,0.444852660881099,-0.178504070716103,-0.989642150651209,-0.580636124575722,-0.980294252946795,0.268381771532931,-0.627744769852459,-0.361025011613226,-0.61585728650786,-0.228778390424967,-1.26230319894403,0.0573782100020572,0.185264099074234,-0.739126691504248,-0.166666666666667,0.384636803575138,-0.209732328812175,-0.101117254090977,-0.323944876251773,0.980368222921188,-0.675361642349526,-0.623590582100102,-0.381916564791669,-0.457601742719661,-0.195078505036858,-0.643055425589154,-0.438144517134157,-0.344092553380864,-0.25528684980242,-0.00194082847058377,-0.56708848654,-0.219081977001376
"SHIF_Ctrl_3 (GE) - TPM",0.507826396237181,-0.396507811141088,-0.515839951618874,-0.226205798661019,-0.203919704529355,-1.29892610201833,-0.175299441615319,-0.175558335013902,-0.938751500056119,0.629850384393141,-0.311858903328166,-0.178504070716103,-0.799767517911234,-0.230616228102802,-0.439703806728356,0.116272419424304,-0.619894243088066,-0.574725319688255,-0.61585728650786,0.234569518680724,-0.122479961389518,-0.600573654556968,-0.939961455834707,-0.957950357049017,-0.166666666666667,-0.669517610456465,-0.209732328812175,0.128727511246,-0.628318798099177,-0.175699638571476,-0.565432474268709,-0.623590582100102,-0.381916564791669,-0.457601742719661,-0.195078505036858,-0.908100004814751,-0.0990722492505731,-0.344092553380864,-0.186320539180666,-0.696095352750034,-0.316866893836211,-0.436063505194616
"SHIF_Li_1 (GE) - TPM",-0.457466615130485,-1.29966492043759,0.160071706719866,-0.226205798661019,-0.203919704529355,-0.0123205492136865,-0.451460121884617,-0.661795603470059,-0.558475799548313,-0.915216503529724,0.169115119520099,-0.178504070716103,0.666427348292795,0.467644136472404,0.208056507296343,-0.873470661848125,-0.570777645501256,-0.867253668748671,-0.61585728650786,-0.313847415552284,0.540083025949275,0.618934270485452,-0.822574233733313,0.178162444485499,-0.166666666666667,-0.122210114609236,-0.209732328812175,0.126392169234296,-0.336220528479781,1.58834272558144,-0.566815074563491,-0.623590582100102,-0.381916564791669,-0.457601742719661,-0.195078505036858,-0.875485547267007,-1.31461838194809,-0.0149023936895468,-0.698184102329649,-0.696095352750034,-0.489994288578544,-0.436063505194616
