"","pWR501_0130","pWR501_0134","pWR501_0139","pWR501_0140","pWR501_0142","pWR501_0155","SF5M90T_140","SF5M90T_579","SF5M90T_903","SF5M90T_1036","SF5M90T_1143","SF5M90T_1248","SF5M90T_1640","SF5M90T_1713","SF5M90T_1718","SF5M90T_1735","SF5M90T_1771","SF5M90T_1955","SF5M90T_2166","SF5M90T_2167","SF5M90T_2169","SF5M90T_2252","SF5M90T_2253","SF5M90T_2313","SF5M90T_2692","SF5M90T_2737","SF5M90T_2868","SF5M90T_3067","SF5M90T_3376","SF5M90T_3377","SF5M90T_3453","SF5M90T_3481","SF5M90T_3670","SF5M90T_3750","SF5M90T_3838","SF5M90T_3839","SF5M90T_3840","SF5M90T_3909","SF5M90T_3910","SF5M90T_4170","SF5M90T_4249"
"SHIF_As_1 (GE) - TPM",0.388317256727305,-0.50286997331443,-0.690042248525096,-0.297238816785307,-0.232780262185228,-0.497501709101828,0.49076435903417,-0.144367436115392,-0.208265964287233,-0.197205573800827,0.231267482177606,-0.593214284639739,-0.0844265199180077,-0.229380379758837,0.318240081192135,-0.379141536245717,0.86736407319713,-0.60712391575729,-0.325309995249501,-0.385128187978155,0.0632990292200792,-0.119124530479664,0.186174436333009,-0.0954141696909746,-0.18329707877978,-0.636260483384717,0.0431681962795478,-0.862947921135977,-0.435362251936389,-0.485786433123764,-0.628520178987587,-0.320222080535093,0.0717540424345652,-0.0269469783630727,-0.411149244018222,-0.419466169765263,-0.411169323447196,-0.528295756970648,-0.155090565431166,-0.0986646928515183,-0.763856032003737
"SHIF_As_2 (GE) - TPM",0.432836093732934,-0.604853846987556,-0.464147403061596,-0.26804909203669,-0.218213289837126,-0.315115952671005,0.827259347459884,-0.113584065766747,0.141431942733215,-0.295171687414078,-0.0941201338578964,-0.580629138370482,-0.0699462060646951,-0.0344385479442139,0.287196492926714,-0.304938817636268,1.30719460241492,-0.732201236367881,-0.368762684336088,-0.40051050115158,0.252521947340567,-0.172247270208279,0.253745930060203,-0.215370155221229,-0.18329707877978,-0.732966672960388,0.490774676221884,-0.924286796283242,-0.449975076379639,-0.312026001581284,-0.741004386194467,-0.356336689528991,0.149691490681239,0.408211478326277,-0.408243666687528,-0.408768098113515,-0.412048888396892,-0.645120095726507,-0.24095879697022,0.721873614153692,-0.761724058519425
"SHIF_As_3 (GE) - TPM",0.0171033287813221,-0.609433180116248,-0.313160747157327,-0.240412393415167,-0.479087878581128,-0.408805991197029,0.29563897928846,-0.207697851509854,-0.0139620204438396,-0.264829074806863,1.20917039242957,-0.643822341058969,-0.129082532624089,-0.0695401251459234,0.141028443706399,-0.396405819676051,1.16422760745578,-0.092518210588849,-0.365741569488978,-0.382027638204333,0.271401016131231,-0.193833733279208,-0.00312468569893014,-0.0807917963143414,0.429218122927067,-0.604208397515405,0.577872635192559,-1.10041230355191,-0.389238198664109,-0.380273114907449,-0.749766126043842,-0.339340143923862,0.153444972232202,1.26418873696779,-0.410168789296784,-0.412497949527249,-0.40838833168232,-0.461559752090265,-0.22718721133641,-0.119553087157541,-0.81177861108609
"SHIF_Bs_1 (GE) - TPM",-0.452158228915867,-0.348913888196921,-0.605425181600092,-0.3791381954941,-0.645907592487908,-0.949383322102569,-1.80480909798174,0.373493777736243,-0.674333602453396,-0.783103920888972,-0.478160388367516,-0.736473856704615,-0.423890812279784,-0.395928698327827,-0.189448087692851,-0.433535449196476,-0.152478467496276,-0.783622274372095,-0.420013451317505,-0.402244022111732,-0.398437634955435,-0.263142450645392,0.039958431225278,-1.08317201702189,-0.18329707877978,-0.738661139340153,-1.07473879121123,-0.870203171715661,-0.584594712127184,-0.341836922412158,-0.812900812374895,-0.384813762294246,-0.217398989369091,-0.703557493331139,-0.412706381080214,-0.419282267882843,-0.420941191786208,-0.885258661302126,-0.220750914182211,-0.428812425903029,-0.769868949968758
"SHIF_Bs_2 (GE) - TPM",-0.292641717564019,-0.507716166332587,-0.524377905722196,-0.342471593452412,-0.690399223384408,-0.805988699083038,-0.0996472179192265,0.871026768155333,-0.268936463981205,-0.713929478435872,0.567283710881051,-0.724057675259028,-0.293494346040654,-0.30050501493027,-0.383119346021309,-0.426148934213947,-0.188888483431868,-0.731446667280609,-0.377628035296525,-0.389840243884567,-0.0397594369298556,-0.289696935585481,-0.0140117770563646,-0.723308175569287,-0.18329707877978,-0.912657776670419,0.43892325012173,-0.650992694740436,-0.388084551134732,-0.308633257712121,-0.818423172789117,-0.348277862190208,-0.194696872366032,1.60180591721047,-0.398785694995538,-0.414988158839175,-0.409416097833556,-0.223503547070076,-0.202934081775696,-0.453034260748304,-0.69567499759448
"SHIF_Bs_3 (GE) - TPM",-0.179963429860759,-0.510690166604283,-0.421591184692185,-0.444194695367881,-0.616963214482682,-0.726878769692859,-1.43670488078618,-0.324016126370907,-0.347314063006834,-0.623969875275089,0.28375202737514,-0.758207399573896,-0.34359230964298,-0.37848484196571,-0.215264777479823,-0.393044154717631,-0.0123561485053559,-0.874951544722713,-0.412403131606236,-0.397241417959226,-0.398649054570855,-0.288310073016111,-0.146037076747603,-0.798828629177064,-0.18329707877978,-0.682076677787437,-0.144190157659687,-1.04606250305856,-0.555668336163775,-0.386557455048327,-0.773069615795322,-0.379240673469024,-0.35092760636502,-0.208533993598781,-0.409853871208068,-0.419286173631878,-0.413683667217045,-0.85556562639677,-0.308254015017089,-0.619854054423905,-0.832048037797249
"SHIF_Ctrl_1 (GE) - TPM",-0.512859409575033,-0.549169927928101,-0.695618566248799,-0.47773379042776,-0.785182997673872,-0.933774713847544,-0.845262218548601,1.14134417526723,-0.537488421435101,-0.763372307669907,-0.771186403573093,-0.737390332479306,-0.504074566840076,-0.308598960247028,-0.422338271535739,-0.445434251095148,-0.15584167050881,-0.642989664498,-0.407401483652232,-0.401464245691624,-0.954397451312227,-0.283184106721774,0.019453911642489,-0.867698890654057,-0.18329707877978,-0.79538005500671,-0.337325503949216,-0.520631814337933,-0.545551971605773,-0.499890489031574,-0.839637334541961,-0.38157678620403,-0.218233398065665,0.300355400728397,-0.415329483636125,-0.42441393476238,-0.416752160835725,-0.953308645389535,-0.299550250679507,-0.350205846728927,-0.73177818317029
"SHIF_Ctrl_2 (GE) - TPM",-0.490878353712183,-0.94560313928338,-1.04684049762593,-0.826404428569969,-0.699706667180429,-0.995241087231582,-0.158004754283743,0.568279373950935,-0.679755583063237,-0.574377815120708,-0.112672619957501,-0.724102502802576,-0.434937748867987,-0.468136895664854,-0.4087384793271,-0.417597471554515,-0.592046020906,-0.915136203430235,-0.366268511651823,-0.403586976543093,0.303796238678569,-0.387007931012925,-0.1338566718047,-0.428290373691553,-0.18329707877978,-0.710633923440108,1.29500741754019,-0.672438822069422,-0.547005535006064,-0.545573632060654,-0.855652586861055,-0.369318548983571,-0.468508342427113,0.357572291294224,-0.4184549291583,-0.421736421092058,-0.415884020878023,-0.827330734235217,-0.330080617320687,0.0121595215143137,-0.694784060933458
"SHIF_Ctrl_3 (GE) - TPM",-0.57033878195449,-0.725975395073263,-1.05565178091923,-0.608290861323096,-0.675731287293049,-1.18505939272351,-0.779573535086603,1.52013361983012,-0.550137555370067,-0.745477655314037,-0.242591659084643,-0.75452792863464,0.296335719801637,-0.592607756433923,-0.785119077693383,-0.445388474670217,-0.597376087923604,-0.845029896258278,-0.441942673301335,-0.399133544406339,-0.606128036422178,-0.413999915339011,0.0199216731938978,-1.22551461691819,-0.18329707877978,-0.916886845944011,0.460017666624781,-0.410347409800854,-0.364797467310585,-0.475058117312488,-0.936892327370831,-0.38924414034842,-0.117773820404298,0.443301647673671,-0.429855694943096,-0.431348083717375,-0.416739835552671,-0.983932785451805,-0.405691515865376,-0.232084002342414,-0.707915244093569
"SHIF_Li_1 (GE) - TPM",-0.710027920628628,0.273770905045376,-0.367349088089102,-0.201130258486541,-1.17409253869949,-1.15466311327879,-0.649356300697961,-0.478316660850333,-0.582373944847178,-0.8517978280264,-0.455004924810126,-0.565712657060227,-0.894696719639943,-1.05570369115688,-0.903843062018465,0.285917819890295,-0.925703040435414,-0.542405797222021,-0.426646512457965,-0.415346340907886,-0.46834430451087,-0.294046341009435,-0.389277222515296,0.384617681311694,-0.18329707877978,0.0205091894596202,0.630526898458457,0.434456510020153,-0.625830843428251,-0.425761363007126,-0.441310792105033,-0.430169560250982,-0.17887726179749,0.016630846217046,-0.432557630155219,-0.408251191348662,-0.418667977702082,0.770073666470304,-0.0410726457762585,-0.585669273401856,-0.182711472066859
