"","pWR501_0046","pWR501_0104","pWR501_0151","pWR501_0152","pWR501_0153","pWR501_0154","pWR501_0156","pWR501_0158","pWR501_0160","pWR501_0161","pWR501_0162","pWR501_0163","SF5M90T_16","SF5M90T_1060","SF5M90T_1238","SF5M90T_1540","SF5M90T_1854","SF5M90T_1925","SF5M90T_2365","SF5M90T_3694","SF5M90T_4274"
"SHIF_As_1 (GE) - TPM",0.144903767449486,-0.506752679854387,-0.451543845092306,0.11745783587438,0.432570304297853,0.482839125578305,-0.0590750462380519,0.342635864888743,-0.234945415807237,0.172099337990498,0.578385514343119,0.292998000648907,0.465957317208249,0.762829972093274,0.331244213080238,0.175944433561489,-0.374503676877389,0.0364557601402729,0.820942642071177,0.479223953701561,0.330628226622614
"SHIF_As_2 (GE) - TPM",0.283771285039,-0.105765701109481,0.321008281202954,0.0781714713139566,0.739987454132369,0.660276068846764,0.141726983684943,0.343174289559186,0.136372381324186,0.62101946933701,0.845525244509893,0.150628174876465,0.56803665190503,1.36484306669195,0.402190437767308,0.563029270453924,-0.532205520762114,0.83886726028028,0.945506172886435,0.622154917618939,0.599511973869744
"SHIF_As_3 (GE) - TPM",0.114231640234567,-0.487790504645556,0.375855362893225,-0.0866108941984271,0.545914727301696,0.68084014373181,-0.242786653041247,0.237859411404832,-0.0201841958734136,0.294503076777442,0.384000920238573,0.125684510392288,0.257498464620165,1.32436284826095,0.484717187045195,0.629271080545636,-0.220742390986783,0.783043418451882,0.730970818027145,0.581178093933189,-0.555799417743126
"SHIF_Bs_1 (GE) - TPM",-0.596258552035134,-0.138873273865413,-0.831483549772394,-0.9681159114633,-0.877144899289505,-0.868507247555725,-1.16060111362208,-0.548442137727591,-0.920930792275923,-0.408471325151888,-0.167565390417295,-0.761532553079602,-0.0658880444053618,-1.13838835885705,-0.701755232668563,-0.847570287928594,-0.721043448079375,-0.710499157368027,-0.0931192849635743,-0.78313027529176,-0.811970121221142
"SHIF_Bs_2 (GE) - TPM",0.193825797244559,-0.0952466272091789,-0.234494504398729,-0.46261850577984,-0.34757631723479,-0.220889537644862,-0.710857228126166,-0.475840304120424,-0.645649554449281,-0.240617072828836,0.0803105535679644,0.153679152753361,0.093089263075502,-0.000353099454061098,-0.20597564687248,-0.298992620816991,-0.440032128134328,0.625342554321674,0.376431639480018,-0.0794168052057075,-0.269565903503945
"SHIF_Bs_3 (GE) - TPM",-0.002918468042542,-0.136148187254602,-0.446130946661746,-0.403132591388168,-0.313516428438652,-0.192584716154725,-0.616276655012967,-0.283686308720876,-0.354775148447043,-0.068503663955607,0.167651256469453,-0.323741595215522,-0.138516641394065,-0.0252760300438877,-0.34921491871575,-0.395295261048362,-0.35618965581735,-0.245955575697881,0.271447651805852,-0.00809632894314507,-0.0740447713071382
"SHIF_Ctrl_1 (GE) - TPM",-0.81994401697836,-0.452592461478875,-0.692136368913412,-0.867947102118325,-0.76096006353126,-0.511999567831381,-1.17179514216763,-0.845809625687787,-0.732994380705528,-0.486276260830022,-0.0904385550822362,-0.737291300519749,-0.18721216915212,-0.617467590374091,-0.685958058719502,-1.22318134657712,-0.861465909004321,-0.300914199486421,-0.148632396672392,-0.418108707443337,-0.454693817139177
"SHIF_Ctrl_2 (GE) - TPM",-0.339937559898756,-0.600111469237012,-1.0954352899827,-0.744115183623254,-0.594909270375857,-0.746888276400287,-1.18370856434741,-0.729763724692213,-0.877719503171659,-0.657947114504359,-0.41601001184921,-0.786250652142011,-0.0799306627203195,0.488185668378378,-0.686093523137143,-0.785414632250869,-0.701163245125908,-0.590452568659301,-0.216500978458425,-0.174687004771515,-0.559139915765735
"SHIF_Ctrl_3 (GE) - TPM",-0.540223607059978,-0.637689899535561,-1.16665417909407,-0.907516332880029,-0.909995478480257,-1.05081443417333,-1.43114713368418,-1.09358248258165,-1.00422437163069,-0.697179183104474,-0.350858976565268,-1.02361804330838,-0.515699766292106,-0.854206071965257,-0.870271500137225,-0.728546321478072,-0.895003106577529,-0.808149437165653,-0.497266254157997,-0.860068747861681,-0.454084853638041
"SHIF_Li_1 (GE) - TPM",-1.14573414542786,-0.757297367120719,-1.12145832911294,-1.07353231712614,-1.38259136933247,-1.57832143919204,-1.45280970169246,-1.14533798563869,-0.982710555134381,-0.999922032872522,-0.977646612721096,-0.967816147893109,-0.577700358341743,0.567054309196398,-0.15576323116149,-0.83993156142719,-0.127785555178017,0.712728155766446,-0.939877235287959,-1.25191276282387,-1.23379683017927
