"","pWR501_0238","SF5M90T_29","SF5M90T_96","SF5M90T_117","SF5M90T_125","SF5M90T_141","SF5M90T_197","SF5M90T_339","SF5M90T_344","SF5M90T_345","SF5M90T_359","SF5M90T_363","SF5M90T_373","SF5M90T_519","SF5M90T_700","SF5M90T_887","SF5M90T_987","SF5M90T_988","SF5M90T_993","SF5M90T_1041","SF5M90T_1048","SF5M90T_1056","SF5M90T_1073","SF5M90T_1162","SF5M90T_1168","SF5M90T_1330","SF5M90T_1365","SF5M90T_1481","SF5M90T_1492","SF5M90T_1511","SF5M90T_1521","SF5M90T_1535","SF5M90T_1537","SF5M90T_1619","SF5M90T_1634","SF5M90T_1734","SF5M90T_1742","SF5M90T_1761","SF5M90T_1773","SF5M90T_1775","SF5M90T_1793","SF5M90T_1845","SF5M90T_1856","SF5M90T_1902","SF5M90T_1915","SF5M90T_1924","SF5M90T_2003","SF5M90T_2013","SF5M90T_2015","SF5M90T_2072","SF5M90T_2133","SF5M90T_2270","SF5M90T_2340","SF5M90T_2377","SF5M90T_2409","SF5M90T_2492","SF5M90T_2616","SF5M90T_2625","SF5M90T_2627","SF5M90T_2676","SF5M90T_2677","SF5M90T_2745","SF5M90T_2761","SF5M90T_2848","SF5M90T_2874","SF5M90T_2943","SF5M90T_3056","SF5M90T_3171","SF5M90T_3193","SF5M90T_3194","SF5M90T_3218","SF5M90T_3227","SF5M90T_3276","SF5M90T_3280","SF5M90T_3416","SF5M90T_3434","SF5M90T_3475","SF5M90T_3530","SF5M90T_3615","SF5M90T_3695","SF5M90T_3939","SF5M90T_4107","SF5M90T_4108","SF5M90T_4114","SF5M90T_4116","SF5M90T_4129","SF5M90T_4284"
"SHIF_As_1 (GE) - TPM",0.197456430958833,-0.249519083693168,0.058016753283097,0.397769849562037,0.276309553694081,-0.403835810460907,0.396300377467103,0.428220233975946,-0.454768697570194,0.226674177962686,-0.527810484720026,0.141361834344591,0.0891061727372445,-0.223604941468054,0.676854060559127,-0.69889175868265,0.698123805802548,0.502120419239763,0.155700395981661,0.413553710995269,0.452923006193912,-0.275935221592352,0.136120520659987,0.122003790789832,-0.0125137891337871,0.305567611609429,-0.11720219220943,0.0384031826640516,-0.24022787113932,-0.421483076253064,0.561175401987326,-0.148060883152772,0.481197964418501,0.346492455272153,0.523238822096004,-0.0857633590610417,0.00161499645337685,0.0493128206815922,0.47467994510777,0.664851883338478,-0.139903859652031,-0.394717340310552,-0.139074536469341,-0.151222468203816,-0.370865684513479,-0.357983650351911,-0.274584984252964,0.632665855641512,-0.158459720125718,0.412485028333752,0.690086197473458,1.07194916225546,-0.0761142220462411,0.310464188716787,0.442973980693804,-0.275860992070866,0.259814445701142,0.455970093605373,-0.46004836313518,-0.359358539389065,-0.0897694090761907,0.200283763724141,-0.730686802534447,0.302391278113051,0.0657572353587223,0.0241793821045122,-0.146452091664072,1.23713829219948,0.195872914881315,0.567505296274353,-0.290414253833444,0.304848877736406,0.402980593476923,0.116687476230709,0.233033388359862,0.0462324456381109,-0.0390901829519323,-0.46461573836409,-0.0560304067462538,0.189891004436797,-0.135708148928243,0.089509512366461,-0.224759337477888,0.063055615536909,-0.120505578289944,0.119599582946531,1.27275259331993
"SHIF_As_2 (GE) - TPM",0.738985145508726,0.208686936747612,0.0996426033869715,0.308967092183544,0.00434924520305257,-0.331667813660075,0.599664527586898,0.410191643891561,-0.555069878082457,0.375525116905359,0.435444345695106,-0.065793766400951,0.29178608240353,0.392881363930446,1.00037586128908,-0.605848776231355,-0.605335655556997,0.279413837459885,-0.180698501174636,0.0542857845342178,0.831940349136601,-0.0631699915049969,0.000501981118154088,-0.282592898736618,0.361480345413279,0.564479428444666,-0.0461424008309011,-0.0817774981636114,0.336517981237833,-0.448338947087363,0.696926678975781,0.00637464915804782,0.656207270026883,0.540478701179222,0.316393235476065,0.264067088907752,0.153923226112626,0.594582759007607,-0.0656898114570053,0.910248588474523,-0.0562855134683073,-0.280682031925185,0.367696148631936,-0.406352634302048,0.942423150860175,-0.431271346700177,-0.152885987090438,0.65885853888247,-0.185458057580921,1.09161650450462,1.15822808769089,1.36248993836762,0.22733327181969,-0.0411932651112333,0.387126463340815,0.0409306411502155,1.05157724883507,0.551211601674081,-0.193314344787921,-0.15709980590407,0.168066630912841,-0.0150680448875733,-0.681648192886108,0.679893714510812,-0.282103001823615,-0.189337554233587,0.947969899992323,1.07435264052748,0.266184206684266,-0.306541072012693,0.413071184290184,0.689285488082954,0.243707169771307,-0.174709095534241,0.253557112584335,0.135791824105747,0.0382514314291876,-0.46461573836409,-0.0855282555492584,0.12385179673734,0.685577505350525,0.246367855973494,-0.281720305065983,0.193860816196256,0.171422443026848,0.0457549389390367,1.57244386132127
"SHIF_As_3 (GE) - TPM",1.29615593409602,0.0933083456919547,-0.0168896120852584,0.378979028371157,0.583805484918435,-0.416309455679044,0.311521341432071,-0.197098022650387,-0.47774820126795,0.405130377244919,0.687717471807846,0.109452966979147,0.260861831277328,-0.122761462355993,0.745787749299232,-0.381635714751977,0.210746640040109,0.285532910274296,-0.211294460384338,0.649113625244971,0.587794525858826,-0.40561465658182,-0.123091642656209,0.191906779701375,0.149173098170593,0.510866729986614,-0.0986257344570192,-0.0185526192844686,0.0903965834576425,-0.401076746371549,0.397908007106684,-0.49730523177861,0.302979723426765,0.1207821670922,0.0415963032709031,0.166720102259914,0.263191632664276,0.366915805860281,0.119699392384725,1.11818755503218,0.134331697465298,0.56085838794655,-0.225072715605369,0.0503971506109165,-0.234348320845656,-0.250466107194541,-0.29179049183376,0.792669923334125,-0.266875744011138,0.511673725624786,1.17437840672459,1.84753849416649,0.0463317353384471,0.284624824210862,0.393336944570823,0.44910273886085,0.672112126857495,0.622148928806075,0.34167052013119,-0.405150935394032,-0.221106279253064,-0.0473338557884575,-0.637692998496934,1.40692816476646,-0.261778780802477,-0.264306054799029,0.528932686869543,1.18319812731703,0.0659893249819604,0.565218934025462,0.174957500060931,0.108741716332072,0.383629445325395,-0.429480567698403,-0.364304767044817,-0.138477133625116,0.124176808173023,0.631941454346669,-0.366483229684624,0.137229252640801,0.383958677578715,0.45003641619247,0.0282657132060702,0.0550734075249518,-0.143324722938319,0.791783442784456,1.85451534843678
"SHIF_Bs_1 (GE) - TPM",-0.838385127096665,0.0657003414170975,-0.247779908756217,-0.402504769326711,-0.823930525654865,-0.411858804966941,-0.71294463991601,0.284459388471599,-0.643366485415647,-0.562536172253173,-1.2974762111583,-1.3853488350564,-0.372505812788211,-1.05295138782453,-0.265459462866476,-0.569614724058265,-0.53663399472925,-1.2078115061048,-0.18092248516816,-0.882187603101173,-0.473712680284748,-0.236747514033189,-0.186480860750521,-0.231268991370259,0.238139933688131,-0.532678562285796,-0.453564033271184,-0.579406916806904,-0.695571240895508,-0.294862517301927,-0.569977703780702,-0.916327824891869,-0.244808119995142,-0.608367619851033,0.711850337039305,-0.416200325398136,0.211666845834505,-0.495304901963368,-0.630513117053205,-0.747812091209253,-0.448225577113477,-0.663663457719769,-0.297746904364855,0.543329730483109,0.384495116168707,-0.876776440458322,-0.285945079604542,-0.24890805279323,-0.372947886127966,-0.381733958141471,0.00425566219998218,-0.879279298878406,-1.00554778637554,-0.980983631866662,-0.664179300255795,0.0781400996052067,-0.642509580576663,-1.24364266007681,-0.66082318647376,-0.366160646001432,-0.604217197415768,0.123646069244879,-0.680661499171681,-1.08881862007028,-0.773176972597956,0.0353378771781809,-1.10790259635819,-0.788798108560049,-0.371094768549704,-0.975358485652609,-0.351897244113701,-0.191700405119149,0.233402324966366,-0.584943657175734,-0.13319045835439,-0.130621764860525,-0.930276439207421,-0.46461573836409,-0.887328527515897,-0.577603373137818,-0.0902424940622296,-0.439882187125911,-0.283619906320298,-0.921720516906182,-0.759327564131643,-0.903452319249741,-1.04022511264581
"SHIF_Bs_2 (GE) - TPM",0.933722710937923,0.0128832228297454,-0.164012851701759,-0.0684509498960471,-0.688625020389513,-0.271366581989111,0.217489229896199,1.3127893318921,-0.619008664667084,-0.157995497312672,0.222198195747092,-0.309550093550005,-0.422816567183094,-0.221976757099439,0.657676876254966,0.13063024992424,0.364813553301972,-0.579516988541816,-0.209568736744214,-0.229428601998228,-0.222578614933094,0.202781938885825,0.178811113847657,-0.677521429755241,-0.282196797027882,-0.861387535491175,0.210595366941158,-0.0670893569649662,-0.232680888923975,-0.253737455391908,-0.232171659654636,-0.193460120166481,-0.0553343250100927,-0.52403471817554,0.169036207095573,0.109532719510574,-0.0841925942892628,-0.32835092480821,-0.126154774735415,1.04346110496176,-0.193462403668979,0.349939197969707,0.161484847825724,0.782594998391306,0.162035909460926,-0.419280752103065,-0.215444977768884,0.472870162109025,0.374408572585091,0.831466885599352,0.200600980471861,0.334339721489272,-0.694760826417624,1.09182312613332,-0.420990089048744,0.338574386203962,-0.0948879323267764,0.0593811151973336,-0.175894258331023,0.0366990552781689,-0.0877061080613586,-0.276204689424585,-0.666132857315517,0.0699109540680647,-0.623471904855315,-0.0257337526329021,0.206600508093968,-0.475668761178154,1.23894691109798,-0.0570363241936137,-0.450869207205268,0.28731528245515,0.55874127817994,-0.239968216613795,-0.180002117227417,0.205757132003273,-0.176791442795403,-0.46461573836409,-0.0790885701969303,0.282135884641636,0.12076640987984,0.315468812940421,-0.267665966105322,-0.274402374691023,-0.401659031533311,0.0823860089517988,0.198005242603959
"SHIF_Bs_3 (GE) - TPM",-0.101856555177915,0.298455686969114,-0.181598905994435,-0.182172004679614,-0.0595240571438994,-0.406650347362143,-0.172112801169542,0.546224848898027,-0.557495376898642,-0.541081791820888,-1.03748775493597,-0.393960113729356,-0.159356914511381,0.050456087622619,1.13257738380222,-0.615724114730871,0.344563868840722,-0.561239698149225,-0.50864950418186,0.126476383767337,0.0937879465318933,0.368894928414061,0.106663864851729,-0.166444357053956,0.119049818825848,-0.413405675613197,-0.263733821844132,-0.291889864703916,0.275831696061195,-0.0280502988780715,-0.160976689289972,-0.542063937188707,0.0561549253573845,-0.360675736376004,0.627021008395276,-0.544457142715366,-0.697596017047023,-0.522737859655302,0.127473866295119,-0.520943314148854,-0.178537841087868,-0.283828709200317,0.329385911445113,-0.167490381813688,-0.39456377709516,-0.535030658513232,-0.166911561586205,-0.096276348694276,-0.21748107967929,-0.382078135322854,0.250820753599744,0.249260604341726,-0.64678558227961,-0.445977950838606,-0.27895520858149,0.353533168917005,-0.213090048657724,-0.296340234457984,0.121868206558241,-0.174313274031864,-0.250930637076686,0.0581313466788816,-0.658263907484359,-0.610898023471497,-0.657065663506364,0.15872592660813,-0.692635833059697,0.280762182489278,-0.193622291246357,-0.187561381056223,-0.365176862245502,0.0517321289171904,0.198125736947803,-0.772465691741449,-0.0719862898969043,0.290534146734487,-0.724316517073068,-0.46461573836409,-0.538256549981366,-0.0884807374865871,-0.53930281816822,-0.100319598460604,-0.274124464897066,-1.15988683655177,0.839642389657201,-0.227576009487147,-0.297306835434673
"SHIF_Ctrl_1 (GE) - TPM",-0.841384440960362,0.597598169186762,-0.139437892522352,-0.416812051590237,-0.773194545037076,-0.50386919668895,-0.652405054105423,0.397984920204103,-0.562028749362919,-0.549604633738991,-1.42861901689707,-0.317282720040069,-0.200437230959845,-0.486598865774938,0.191486950017121,-0.795594839012954,-0.650721080369096,-0.410874663960534,-0.792175389955457,-0.237430172655814,-0.434685075225715,-0.641333435166167,-0.191030165247407,-0.551359673233783,-0.967881414036559,-0.667912313636507,-0.0944598861362752,-0.509221181975299,-0.703401823330388,-0.241230661866462,-0.744216852671469,-0.580433479233392,-0.315702305243178,-1.03476402440019,0.385611812504505,-0.477328355990342,0.0986695863869053,-0.64740133318683,-0.45707679888098,-0.985131592705243,-0.439296000442801,-0.569797009347281,-0.320800030964009,-0.50330313255636,-0.274155070122503,-0.898685627889502,-0.306047128996177,-0.38045913493223,-0.54525065992238,-1.2093372125811,-0.603411759340096,-0.527086638407896,-1.10658037062876,-0.622817138545771,-0.277435826896234,0.281750882020943,-0.841602178183384,-0.708974774520473,-0.278524467036819,-0.118102097375822,-0.424792375790088,-0.163646668093809,-0.749149281200067,-0.723449904895996,-0.871233754539478,0.163451811600298,-0.363004559164683,-0.505828626554795,0.314347468784279,-0.430055409610701,-0.485362181148989,-0.686046194335622,-0.440406493986741,-0.590869495644548,-0.23866508369242,-0.46309039341864,-0.698227830938793,-0.46461573836409,-1.07675767561634,-0.471215756352408,-0.257741534311195,-0.455312705406568,-0.412682777631821,-1.15265553186534,-0.652172546553127,-1.08734550642433,-0.901374218828063
"SHIF_Ctrl_2 (GE) - TPM",-0.155579776894689,-0.0474764882405935,-0.116489123753043,-0.653220519736452,-0.25632080425518,-0.639573657903677,-0.592810803989465,0.475979543239618,-0.581409937149873,-0.24319894316843,-0.932721372072508,-0.297325003281746,-0.313364604539685,-0.702786513060948,-1.00738469849656,-0.275951961129813,-0.610981753248138,-0.855849204482213,-0.141529652690134,0.396488035152914,0.0797318097617995,-0.510111121904238,-1.02968406680553,-0.717444409188709,-0.174045294367965,-0.240319236732307,-0.0738845326562062,-0.397656872941362,-0.278611291328519,-0.210048298052441,-0.467911218565861,-0.465452341005646,-0.0669681245591333,-0.730499057922983,0.329944239572643,-0.284490194822983,-1.16688673651461,-0.490333911285192,0.0676594371106353,-0.300134427925303,-0.320179012339026,-0.461280964533072,-0.294936368507643,-0.495648938185721,-0.550402301144495,-0.971343854029763,-0.287764884906114,-0.208677380878927,-0.00186358673603894,-0.614507303910135,0.299806732431787,-0.260596681723671,-0.861054897929731,-1.26293216943737,-0.362096123069765,-0.028805619347674,-0.807158145548143,-0.636139475957082,-0.0872314846343242,-0.229229137762432,-0.245241931598996,-0.0895064304997606,-0.722717190524786,-0.381383690902853,-0.745151396304494,0.255856241351201,-0.526665447981825,0.117367474010176,-0.537798496389816,-0.983752993924576,-0.349627831582061,-0.0275124175272485,-0.341590375143174,-0.468865707003833,-0.776789389149231,0.110627400426004,-0.989538049569879,-0.46461573836409,-0.523004213854548,-0.163312934186083,-0.300977869249554,-0.0147350648460364,-0.339910064312562,-1.12768961074053,-0.889193117147222,-0.591707996024736,-0.635146900280587
"SHIF_Ctrl_3 (GE) - TPM",-0.699063232189561,-0.503717448888452,-0.0358409552576607,-1.06058015210287,-1.07554754051108,-0.751671571355159,-0.590844043160301,0.129940229826985,-0.571550871259585,-0.438975972475326,-0.888993172598081,-0.456060844059512,-0.448854820338092,-0.000247545369509855,-0.39166554991084,-0.540402742502248,0.121283597262304,-0.662688315254231,-0.721118434185186,-0.131122074771242,-0.460299113191697,-1.19025716213831,-1.05166315818914,-1.03200180121292,0.130106271011063,-0.252881367485675,-0.252019391319382,-0.8056575145498,-0.677613259826462,-0.223829336419988,-0.823171536865441,-0.255662620904884,-0.172813158717019,-0.91357110213916,0.293452315757585,-1.27128168470309,-0.0170909903552775,-0.985552756654722,-0.172844905060897,0.358879085980325,-0.438635704846667,-1.27176895206301,-1.26102307703824,-0.640646483964596,-1.17325822949904,-0.794319277210999,-0.20144552953358,-0.452446910843998,-0.797720314460114,-0.851033799132179,-0.487721748440891,-1.09630360780183,-1.26183857242583,-1.39821307426532,-0.918651115056,0.254595358681691,-0.388677623231746,-0.916125678386352,-0.0359314353635492,0.15556117308666,-0.547276400717198,-0.172290044257722,-0.709152765333134,-1.31601237765532,-0.888418811612873,0.502556053522872,-0.115039232654185,-0.857755600010848,-1.16372953703525,-0.599482566403258,-0.684209130170366,-0.324905332918718,-0.637772721677412,-0.590028217122402,-0.419675828047088,0.199013887429404,-1.317529848862,0.796449215482066,-0.940082762306521,-0.272319284356927,-0.584194818989851,-0.0738507105240329,-0.391091896042789,-1.04635594654761,-0.00918085887997224,-0.846732879551349,-1.63534357770176
"SHIF_Li_1 (GE) - TPM",-0.604782678346304,0.69038213705384,-0.447517541929054,-1.06273515541347,-0.723441632211765,-0.375693756113088,0.106610597491498,-0.755313230364748,-0.131044641341923,-0.430671187143623,0.037987631379592,0.462243089745701,-0.483333969971611,-0.535801015196208,-0.455728251197868,-0.414516897485068,1.40369948953687,0.0270453437812708,1.36658600307171,-0.238298166109228,-0.763451549062851,1.73828088520211,-0.90970408011794,0.528859334042986,0.127873844127635,0.654829190263017,-0.839516652858413,-0.731838706491707,0.0179602595378532,-0.523714898205399,-0.158881606707864,0.576355941419614,-0.55023853541464,-0.894691753133948,-0.67548491733911,1.97580218121767,1.03317042331877,-0.986701508968321,-0.200029079810943,0.103987328220722,-0.256373252062666,-0.0093747191358392,-0.53879564072027,0.985096018817499,-0.0953208988087817,-0.0621382617974938,-0.315051634910477,0.225519860075911,-0.010889082507231,0.183131324678118,-0.871207844847963,0.722937754031263,0.55640329010252,0.512943728932123,-1.06062379449449,-0.70013964843038,0.665901905685769,0.536525417384372,-0.159634886207715,0.271838679967761,-0.218191188340304,-0.0353057951790931,-0.568744400937706,0.144542209727655,0.917572757434513,-0.537898914247447,-0.282131154885605,-0.419189068235155,-0.426653796582081,-0.997643395235532,0.346514995099675,0.616012385860677,-0.0374470381777422,0.176247140981235,-0.285253369322742,-0.815987452679712,-0.428652654658024,-0.46461573836409,-0.427088976881903,-0.203331569387651,0.394904542349209,-0.346889515433513,-0.564624560492995,2.32397473075964,-1.03748568855684,-0.559779355930476,0.0544836480903413
