"","SP5448_RS09140","SP5448_RS00765","SP5448_RS00770","SP5448_RS00845","SP5448_RS00850","SP5448_RS00855","SP5448_RS00860","SP5448_RS01405","SP5448_RS01410","SP5448_RS01480","SP5448_RS02370","SP5448_RS03010","SP5448_RS03015","SP5448_RS03020","SP5448_RS03025","SP5448_RS03030","SP5448_RS03035","SP5448_RS03040","SP5448_RS03370","SP5448_RS03600","SP5448_RS03605","SP5448_RS08255","SP5448_RS08330","SP5448_RS08335","SP5448_RS08340","SP5448_RS08345","SP5448_RS08350","SP5448_RS08385","SP5448_RS08390","SP5448_RS08400","SP5448_RS08970","SP5448_RS08975","SP5448_RS09030"
"SPYO_As_1 (GE) - TPM",-0.789103947416467,1.67107915537625,0.976070478479006,1.64125701655512,1.57385863798889,1.14119877614627,1.47246250489554,-0.0233833458897851,0.937315189621574,0.525446145043706,0.993723879613187,1.23907164492069,1.19382766651867,0.645003589081551,0.476261398922243,0.92020465454469,0.481453959180482,0.730489427889333,0.285994456127536,1.79479949006195,0.803110066620864,1.27458903056217,1.4654498306317,1.17861782141205,0.839717620385459,1.23012104587763,1.82325237013098,0.629166211052746,1.03935742787445,1.12196144300109,1.80071032198201,1.66318991653523,1.96596999845016
"SPYO_As_2 (GE) - TPM",-0.624397928227971,1.64352551150297,1.25854135506017,1.76735814767389,1.08599906609002,1.29048032771891,2.10180883277831,0.215974914718425,1.19143184694654,0.963580682047347,0.948182592294513,1.03369130979224,0.0294708486203233,0.918002684228807,-0.0676121379607357,0.619009895242842,1.43482578532896,0.23535901028533,-0.0554881931638457,1.45652473070085,1.02783699406285,1.17796781425796,1.4067472352508,1.92881045150138,1.33862918380889,1.41595260668902,1.71322594475151,0.816058330315845,1.34825400355767,1.17654815363728,1.91781655130785,1.66023533937931,1.75244977728548
"SPYO_As_3 (GE) - TPM",-1.0207965456253,1.69498222549398,0.859833691548791,1.42602348317766,1.09998231954439,1.02773181920178,1.11096281274161,-0.179276221613584,1.31418859621477,0.411508361731455,0.972315964583509,0.60431818637354,0.786460438879109,0.185145273305947,0.249363918944443,0.19170557440805,0.622158688067072,-0.172835295852633,0.299280070685413,1.47029907450875,1.29931089868112,0.669961884887739,1.49895903758682,1.40087615133014,0.833252183590128,1.13445886322542,1.04768645908812,0.635499356738087,0.901093123496416,0.748007310197613,2.04487456733701,1.28425734172469,0.4133625793103
"SPYO_Bs_1 (GE) - TPM",-1.87758762830364,0.90296907420844,2.08037428496238,2.0106505671613,2.00253577990468,1.94111296371001,0.180168117885915,-1.40029951920298,-0.876177501305374,1.87164044081234,1.14697564428191,0.572017490186482,0.50630655587833,1.66562865588958,2.03180205506604,1.20388300678608,1.20470530885991,0.943513939330907,0.450069469061692,0.965613487411552,1.25297314725707,1.68774052127365,1.88572625478718,1.82528277913577,1.50322656224165,1.95064553750546,1.36254679205525,1.92294073802341,2.37636860013776,2.11362020086716,1.2152012961377,1.33058990965864,0.768437081051681
"SPYO_Bs_2 (GE) - TPM",-1.90870332554878,0.838228451772405,1.51344074045665,1.79654062405125,1.4491680487034,1.81018524026427,1.12969935909458,-1.43083502023062,-1.5720860146509,1.21444211924104,1.19224940630352,-0.0186159772411336,0.39796551588022,0.182323242620385,0.559035936939077,0.342362260650294,0.184112597856002,0.291330047130215,0.265206214083551,0.957263767442801,1.90923416094788,1.20272126790114,1.87536589773996,1.08214308357472,0.598903727435058,0.393147456579639,0.773951223952694,1.78897139602264,1.54511237194052,0.80094878437263,1.7254226067803,1.13145778633131,0.527373084233581
"SPYO_Bs_3 (GE) - TPM",-1.87628134567032,1.24856149800794,1.865244431966,1.83622644601082,1.86869224127343,1.65147392238351,0.880143130363655,-0.989133994495117,-1.06864686857439,2.04837604619693,1.12634808551619,0.21091054734675,0.442182884518745,0.958169619655926,1.58577374869709,1.22058220898308,1.31085532279702,0.457911805943729,0.404986592475118,0.812804934116277,1.50705284877158,1.68386166814425,1.8130137496194,2.15885249722604,1.32530384530471,1.70997135896378,1.73559081681217,1.68534858819809,2.02678251464142,1.6464083603115,1.53514112734222,1.62121006456632,0.761104305162465
"SPYO_Ctrl_1 (GE) - TPM",-0.264367983503919,-0.322604126918133,-0.473737781157365,0.147880200109257,0.42704312367312,0.259615700953433,-0.490582964447173,-0.316445113826552,-0.214244049475514,0.182206898032375,-0.0725945579588658,-0.610065126284934,-0.148148660328576,-0.441809505530144,-0.598195506216368,-0.730331888800302,-0.223060025230199,-0.26579947945594,0.478247853035233,0.360572132557731,0.844110084429065,0.133831772549734,0.446467710703786,0.176980144001419,-0.0535155738773822,-0.344588081930156,0.0152340856185266,0.424777699555088,0.315191089880001,-0.147237225295747,-0.134150525109597,-0.289520819082963,-0.00451155962281977
"SPYO_Ctrl_2 (GE) - TPM",-0.11826849371712,-0.372403867566941,-0.474985445158437,0.349885634922929,0.274982178216675,0.204488176130021,-0.483317813619628,0.264850674957893,-0.69611184577585,-0.0796164834155771,0.145407274023448,-0.498000004468008,-0.162789572695434,-0.71585785642387,-0.41821567008214,-0.190162173984914,-0.463282041773411,-0.0731417386881599,-1.06092354873365,1.22909277069981,0.755151278292398,0.102585652975427,0.591817070115364,0.0244310851602789,0.139470486146253,-0.0932774200965776,0.308589931897156,0.0270771190529469,0.0616202577165471,-0.0530174443223492,-0.162583387768484,-0.201037085959308,0.410307276506011
"SPYO_Ctrl_3 (GE) - TPM",-0.103567107453688,-0.437659623076725,-0.530683952188134,0.413639059221865,0.358197404974947,0.269579780187024,0.213322245762836,0.145590228071567,-0.683125211473852,-0.0741642628636119,0.319598546615464,-0.713399151247942,-0.212378113864217,-0.291855749439715,-0.507229112385253,-0.0552270494579108,-0.674557881968827,-0.409142631189871,-0.484018161573382,1.06427772976331,0.808591629828267,0.00706507578777478,0.564581371402956,0.0950752550620051,-0.0395710701139621,-0.0999680394751353,0.181392748974406,0.130428325684392,0.178253623320428,-0.0792066814039857,-0.240662886274145,-0.135729572258717,0.583904790147104
"SPYO_Li_1 (GE) - TPM",0.116154315641645,-0.890382958049454,-0.83688903597995,-0.913287812265491,-0.937265005078791,-0.921543160738307,-1.15598343134153,2.0345973671355,2.10853757666646,0.383455999603945,-1.68456286600428,-0.733723361616607,-0.541411213982626,-0.567880314409515,-1.17410256981802,-1.32923573171918,-0.942128525956618,-0.893857572226085,-0.835945469203731,-1.4079528191008,-1.60656575663156,-0.68783367775904,-0.566096065281444,-0.570639850377632,-0.639893797004941,-0.650095658910755,-0.796520302288117,-0.917720036944187,-0.892596879502081,-0.964827768525356,-0.824307712930443,-0.864628775046419,-0.328234987140969
