"","SP5448_RS00025","SP5448_RS00030","SP5448_RS00035","SP5448_RS00040","SP5448_RS00045","SP5448_RS00050","SP5448_RS00200","SP5448_RS00410","SP5448_RS00970","SP5448_RS01085","SP5448_RS01325","SP5448_RS09205","SP5448_RS01575","SP5448_RS01590","SP5448_RS01640","SP5448_RS01695","SP5448_RS01820","SP5448_RS09220","SP5448_RS01910","SP5448_RS09225","SP5448_RS01915","SP5448_RS01945","SP5448_RS01950","SP5448_RS01955","SP5448_RS02130","SP5448_RS02135","SP5448_RS02140","SP5448_RS02145","SP5448_RS02410","SP5448_RS02480","SP5448_RS02575","SP5448_RS02580","SP5448_RS02880","SP5448_RS03085","SP5448_RS03155","SP5448_RS03165","SP5448_RS03170","SP5448_RS03175","SP5448_RS03345","SP5448_RS03350","SP5448_RS03355","SP5448_RS03360","SP5448_RS03445","SP5448_RS03450","SP5448_RS03455","SP5448_RS03615","SP5448_RS03640","SP5448_RS03745","SP5448_RS03790","SP5448_RS03795","SP5448_RS03800","SP5448_RS03810","SP5448_RS03815","SP5448_RS03935","SP5448_RS03940","SP5448_RS04165","SP5448_RS04170","SP5448_RS04435","SP5448_RS04440","SP5448_RS04565","SP5448_RS04570","SP5448_RS04575","SP5448_RS04580","SP5448_RS04585","SP5448_RS04800","SP5448_RS04835","SP5448_RS04935","SP5448_RS05125","SP5448_RS05220","SP5448_RS05325","SP5448_RS05605","SP5448_RS05610","SP5448_RS05620","SP5448_RS05820","SP5448_RS06055","SP5448_RS06300","SP5448_RS06305","SP5448_RS06355","SP5448_RS09415","SP5448_RS06560","SP5448_RS06985","SP5448_RS06995","SP5448_RS07105","SP5448_RS07115","SP5448_RS07240","SP5448_RS07245","SP5448_RS07420","SP5448_RS09125","SP5448_RS07655","SP5448_RS07660","SP5448_RS07665","SP5448_RS07670","SP5448_RS07675","SP5448_RS07685","SP5448_RS07690","SP5448_RS07780","SP5448_RS07785","SP5448_RS08055","SP5448_RS08060","SP5448_RS08310","SP5448_RS08315","SP5448_RS08320","SP5448_RS08325","SP5448_RS08460","SP5448_RS08525","SP5448_RS08530","SP5448_RS08535","SP5448_RS08540","SP5448_RS08595","SP5448_RS08600","SP5448_RS08700","SP5448_RS08740","SP5448_RS08795","SP5448_RS09110"
"SPYO_As_1 (GE) - TPM",0.00858170141510375,0.197802327098758,1.1720675896165,0.543775132469706,0.414416427392399,1.45684283369543,-0.162831627402164,0.478141860512926,1.56995914772239,-0.868034985690926,1.58055296048204,0.307016663129356,-0.101405900155073,0.00555952380232612,-1.18310143911934,-0.0289988204438821,-0.0927267583994807,1.02106254975037,-0.401019951982778,-0.386773474549054,0.790025549492267,0.533832846489182,0.445527813849739,1.01363361894174,0.549926761055633,0.132471853599008,-0.0443944840090342,-0.259210578305674,0.932266946936947,0.464362540824379,0.478106136823706,0.068939910406782,0.791873283695798,0.212768833718857,-0.357048683655528,1.44092162633444,1.59754865332899,0.58056165625881,0.209371457342215,0.176656885927554,0.0420157509667724,0.217551206453796,0.249264310640468,0.488172021923473,0.154823443658177,-0.463442074249985,-0.357008849534544,0.132957139851661,-0.280761258527483,-0.233060651126133,0.956059465522973,0.572708269389472,0.625244679816483,0.922600806858251,0.991145061229588,-0.0703791016260699,-0.18542939077121,-0.236815855489548,-0.584339927896358,0.305373454638811,0.901041879574633,0.0331765706304667,0.284298462143707,0.0085982274321754,0.668248305990952,-0.28375297908972,1.1982634046568,0.230278819836692,1.56491184871955,-0.121323022032787,0.494922408286624,0.971816158413302,1.18220985482655,0.0127678958188491,-0.661302121029575,0.643347648660214,0.929905036701243,1.54196401098007,0.0130503119129747,1.08732370163451,0.268014958035568,0.577147206534,0.465182237190942,-0.0920131116933306,1.81214216979748,1.71284187359694,0.0173999155475643,0.756021225061612,0.828995195157272,0.699577375628029,0.900637868582479,0.634156404238649,0.735854980011723,0.855332914903939,1.23690382657112,0.977782654065269,1.04155788508301,0.391505713699388,0.173898209042257,-0.0883088976180276,-0.406053551471342,0.32398304533549,0.627864855728697,1.28212299639678,0.245000362044605,-0.722275007174164,0.516464957376993,1.17627666817362,0.271004969474994,-0.0198691266061465,0.392022633308617,1.16925683901951,1.04353554515735,-0.280567258728095
"SPYO_As_2 (GE) - TPM",-0.0559245340646758,0.353216421770787,1.05588014348058,0.566957244956518,0.550730264832706,1.21713530591957,-0.169078098456139,0.450685631837083,-0.326181708786071,-0.824039125546534,2.0938849339425,0.60972137406664,-0.282822674584521,0.633199162156354,-0.519955940052585,0.289120011117946,0.0697702088634288,0.0647223640340752,-0.269523094778739,-0.219405423223406,0.300897760898663,-0.114851566853883,0.837773112088299,1.09288871907812,0.425136487665357,0.271245046791691,-0.157827224277301,-0.399024003991232,1.33885699012637,0.89927013696099,0.243788659536025,0.13307165805887,1.21333059590846,0.111162438694708,-0.308243607213228,1.69324089409312,1.19374917413569,0.414105363607447,0.148582271390657,-0.21996116764393,-0.00432631574080079,-0.194772726822546,1.20243605432756,-0.771222669018876,-0.348252427604493,-0.239374685739509,-0.218456453901152,0.360138816301446,0.319322493335013,0.584300602298324,0.101808279824972,0.408847044593854,0.190996451250387,0.552823439533735,0.993137029635639,0.270544905155412,-0.0872714019245719,-0.433830214632612,-0.434421370284746,0.947403217129603,0.475600418744442,0.743166542303216,-0.0562697459909753,0.0342966631238855,0.496856831681158,-0.800546125030524,1.24889654605045,0.690321107349999,0.783406357980412,-0.535971587329674,0.382536997345405,0.723429757290112,1.35646673446908,0.0613972429195589,-0.248466300988001,0.643371199974499,0.701514237699201,0.826103632310861,1.67302609391702,1.4618406287999,0.680769070785011,0.756128654498381,1.28975837877959,0.761622679901823,1.20757460001897,0.780613489286283,0.320986362552345,0.178732141922355,0.0167074083491508,1.00840306920143,0.683852546531125,0.367999790861855,0.519057068489203,1.0034142740617,1.01299504045247,0.82505362663648,1.47196273845621,0.0393003297011791,0.0637153969496754,0.119016115745343,-0.139260314541472,0.243545133893294,1.24254062527555,1.13196447431965,1.03667864691072,-0.133135169765336,0.29693701967669,0.919901115510403,0.186014748277798,-0.04947373806232,0.953987625726031,1.14878898989304,0.529508259706829,-0.162567773563676
"SPYO_As_3 (GE) - TPM",0.0469913264671089,0.421429410273387,0.995801506923718,1.00179120790988,0.840287406213044,1.86835583792001,-0.267802817200982,0.340794403238099,0.292005091699163,-0.860042365035013,0.745620350462031,0.0697958215905937,-0.370094667003054,-0.302091851555828,0.127562189863485,0.44573301145123,-0.168414436161409,-0.131120029595674,-0.815863904413861,-0.486796442084382,-0.830410196086586,-0.318670122483298,0.35901422482882,0.561012683231048,0.445313949837619,0.0203802040513714,-0.0394534775025251,-0.123788057837285,0.847665975254669,0.55911369710469,0.240454162922169,0.0424564552575328,1.52009075424016,0.141410742389177,0.266921564211762,1.01827887013427,0.324142303110768,0.171727818648189,0.154594785054259,0.118877972686908,0.065662773193283,0.129943221852146,0.33524313436552,0.039127662619177,0.0278487096566946,-0.386242096572259,-0.233991247546981,0.116402960813709,0.111291140539206,0.671103384115569,1.71701063350288,0.51674175976045,0.493604038857895,-0.554928038918753,-0.331092061308392,0.251132086566963,-0.0785984825254374,-0.482412041471882,-0.633085022683464,0.778355594861844,0.235984197645093,0.3185239941799,0.194479989850433,0.0575692375523021,0.517485222995001,-0.874935636867147,0.91673681402875,0.946493889511192,0.634435716667321,-0.364139290270418,0.447742618544661,0.874814255637992,1.49583498910658,-0.374831798824239,-0.347920993335573,0.489970131904026,0.854560141427724,0.313972377858299,0.444332797011162,0.356837380473395,0.905620662131633,0.963027794437857,1.20800735610102,0.356018051812535,-0.323931452844441,1.08242185864952,0.443110713976912,0.729098702972416,-0.279306179250309,0.139876740749736,0.733014970258823,1.24569701155182,0.836887693949126,0.827459867676931,0.794703063872828,0.748811390289596,1.11484142761078,0.290902709586708,-0.205106826183639,0.00794166769047303,-0.141892738209006,0.341623642634354,0.268906628986771,0.962918234979464,0.0396966309308278,-0.408371645911012,0.513370302740761,1.22065548991081,0.31041251737778,0.206858960144203,0.573669221477468,1.44605359847589,0.581169575865001,-0.0753453958104139
"SPYO_Bs_1 (GE) - TPM",-0.021570337127723,0.151242704280518,-0.158799821793765,0.274832366599547,0.0699205791457806,-0.171046951515109,-0.173010163308203,0.885508243564848,-1.18692103202888,-0.83078182853061,0.214713024660631,0.782058774252606,-0.675601233593257,-0.938773645118392,-1.37208135222733,-0.923799336735449,-0.161508546471325,-1.47619854352491,-0.597357799694807,-0.64035330201353,-1.05588944662385,0.414587676759942,0.632010712776235,0.203816368047717,-0.642817950516115,0.0585297721591534,-0.349542364968556,-0.839393616397476,0.689855175794581,-0.718168920028118,0.719548935496127,0.125120286592685,-0.359413129514303,-0.806443250242972,-0.00158515571012625,-0.852349924351197,0.486962312666872,0.264775790309389,-0.25061083114258,-0.438167724360975,-0.145905357764881,-0.418345341021058,-0.89531147675944,-0.523996625782777,-0.755594890768742,-0.216912214603755,-0.675100906536621,-0.309700357373627,0.188945332116644,0.644271732652857,-1.19461834930778,-0.124272399385228,-0.761062035844201,0.632033543663864,0.893380353937455,0.0666142305697003,-0.399897817197271,-0.626097414209507,-0.740910249910174,-0.192789015168331,0.370510647857765,0.560949742333054,-0.329136153885855,-0.3793289448438,-0.0772424827138077,-0.968001583020698,0.0430194990879782,0.220608675429724,-0.258933465265583,0.138087970096503,0.416182391750485,1.08325034424209,1.00055303021744,-1.61850244914839,-0.603499597203312,0.32884717204377,0.770711500299515,0.437782800548224,-0.962979334102484,0.106019169657936,0.2357040247824,0.0115410549289944,0.399994459724619,-0.209026564597896,-0.754657058498851,-0.110810914822887,-0.706529695562846,0.205387637056735,0.0704596796669969,-0.355438831824631,-0.0514518809166416,0.234244436693278,0.869713090059583,1.25155227297139,0.614895784495901,-0.114999551310302,-0.733706964001557,-0.69831019594651,-0.467178749213546,-0.997977018860999,-0.805980133956358,-0.225920045761982,0.103078728506561,-0.877633391249317,-0.744677992291508,-1.19644627965802,-0.509115410335452,0.582934766032545,0.623225834246033,-0.560029010246578,0.359566957600766,0.269534019262659,-0.463535636036019,-0.426547435817504
"SPYO_Bs_2 (GE) - TPM",-0.059168404445182,-0.0790691863161346,0.134458495285542,0.110667192817429,0.267259268889971,-0.0407772737680158,-0.403454904057993,0.643286187203871,0.270331301239829,-0.926535525265802,0.280546277578472,0.350368138912237,-0.498118397682164,-0.71831859771456,-0.283786210532492,-0.770395665373779,-0.274014539366291,-1.31904301551448,-0.758943894463004,-0.517461602533042,-1.13603007104617,-0.376296679928749,0.228863499464739,-0.187070388031839,-0.650437029060603,-0.0873616275130664,-0.315881754155781,-0.63209159678741,0.713365546960152,-0.677284973463451,0.246632532842071,-0.374907192822061,0.222073028024282,-0.829380212239949,-0.173394693234859,-0.983929812801161,-0.284856991699911,-0.520211078179387,-0.199643833215977,-0.366848420977871,-0.0257324123017956,-0.462188547288094,-1.05820262918945,-1.25763498479585,-0.61149026113493,-0.358324377128234,-0.762690836926165,-0.151165482802745,0.0217335256462342,0.368641473576481,-0.617378764301793,-0.806316649026705,-1.00980376755022,-0.563475829983052,-0.979707336037973,0.582822823513228,-0.179513180992446,-0.428243589784422,-0.705436683101369,0.397004712792661,0.503603286597122,0.174443958369069,-0.319192780822157,-0.357237216174526,-0.00846230568510996,-0.690362052654412,-0.127038431661333,0.0676209322202616,-0.891073396068577,-0.821966870206676,0.539425070877039,0.655303381914017,0.800765551737226,-1.69247048105605,-0.744942501644631,-0.524783384694833,0.686911254567241,-0.558401599953265,-0.821066308461176,-0.214668357724081,0.471276591420286,0.352302272415519,0.0200957521591238,-1.10310790471337,-1.05788855414169,-0.544349315973957,-0.638740438920715,-0.237715023727039,-0.481193185186689,-1.11690693848326,-0.42037319816056,0.243051184087038,0.465437285927414,-0.0673913895497369,-0.602751522251266,-0.15537701187083,-0.519765534221846,-1.00762938106252,-0.509339089434478,-0.666269139537781,-0.469686322801846,0.594896526657811,-0.108355926701983,-0.753377841788948,-0.644380403065309,-0.848927562500345,-0.561966332037759,0.402668422200681,0.446845661639453,-0.573766324604546,0.415660284168726,0.172562947591152,-0.546289574519919,0.158598001750608
"SPYO_Bs_3 (GE) - TPM",-0.0442963312579595,0.105189909111959,-0.134586181467273,0.386617583159687,0.0148854991438122,-0.212330450262376,-0.385092468405719,1.06416613662861,-0.327748510292754,-0.794999462217133,0.338235457336364,0.12986878487535,-0.543662923675933,-0.724772256616699,-1.00807977739296,-0.974693374055512,-0.0347754290296146,-1.22626626225716,-0.516146673448707,-0.656127856306425,-1.5761984194214,0.220989251695311,0.649482353985523,0.0602329207814204,-0.602207075547696,0.0862499470269207,-0.306183654372295,-0.707417006006941,0.388466286939231,-0.782818573731764,0.645174427626905,-0.0353240510751476,-0.199777617017118,-1.05483318830294,-0.0838016469945121,-0.74695456478188,0.877312789480393,0.639929212016598,-0.174013402327141,-0.545532562709497,-0.151440657999971,-0.587722224239857,-0.997642981375794,-0.568671120740783,-0.374315240718887,-0.26658729664578,-0.921520575779592,-0.0338538505895872,0.210459518075887,-0.0393276617814299,-0.959503922337268,-0.370551417779811,-0.920672516565323,0.729033295876206,1.19670194503153,-0.233031989363092,-0.211436762711096,-0.797180260586114,-0.782456491410598,-0.305562914089183,0.922339244097792,0.703762604178577,-0.203857975441018,-0.468818919887459,0.147327221609995,-1.09098673718533,-0.148411374465587,0.403352895856348,-0.00840571367359172,-0.0786558446453516,0.510369819270189,0.78565546888954,0.672741210892543,-1.5474009819045,-0.318596225866996,-0.0225176292381102,0.943787742263543,0.55623444918967,-0.898857622196875,-0.024107889920599,0.0707814880391732,0.108432377783696,0.100018939825744,-1.20299614503974,-0.821884212582866,-0.820715944979984,-0.43632909080234,-0.00104497183001344,0.661493584000084,-0.320240152911221,0.0704892164640007,0.534536960490548,0.458118872326553,1.13525236187843,0.768327371682002,-0.0593902638560685,-0.431201909651137,-0.538778746435758,-0.322605042074736,-0.877800788671693,-0.777571401173115,0.214104591709066,-0.14082983666864,-0.888262936645869,-0.182370275006487,-0.595746357455348,-0.493610009056428,0.254901892319997,0.605689142168279,-0.556771890190667,0.278859100986339,0.25631239514059,-0.189155942942684,-0.461124693359589
"SPYO_Ctrl_1 (GE) - TPM",0.238984865503006,-0.17395668841351,-0.178051675751766,-0.0096734612513937,0.783818478807279,0.563797763114095,0.0653802674976184,-0.407527869153909,0.19417723656672,-0.470674113038537,-0.146952274733518,0.16748335385266,-0.362273363991731,0.716374251509437,0.15307143249794,0.313256272497382,-0.262683456887677,-1.15440544798596,-0.578110572882992,-0.902086108442013,-0.775646820047444,0.661926739935167,-0.0422252660134895,-0.146739855986161,-0.605738721054534,-0.143169060547827,0.29329931135634,1.03316675986547,-0.252850360038113,0.796801874139874,-0.924314168845824,-1.04641725353003,0.356101525807489,-0.45791412822255,-0.126752790007627,-0.157516968917587,-0.242257401589091,-0.303672550423211,-0.465354602241082,-0.185856383993341,-0.118984612467742,0.219317612781937,0.732347800084278,-1.08564574772778,0.572550976376638,-0.261670512648283,-1.05239499861757,-0.422729491490159,-0.674903508339061,-0.730764147289131,-0.916438333082382,-0.676895827633347,-0.0431693657621951,-0.934807345444851,-0.167814774858114,-0.493418642726529,-0.348936040307504,-0.0270539606034238,-0.0706150706312394,-0.292601047403117,-0.658813893098785,-0.400465966111905,-0.485763625618658,-0.573234476102517,-0.368482401392887,0.202728665837823,-1.02296975713089,-0.184249901138394,-0.471220864137214,-0.199150445666022,-0.253868026569314,-0.270715198175737,-0.319183612622677,0.540209903290986,-0.97073795644365,-0.579605467341854,-0.402268690320764,-1.06616679301785,-0.195169351751689,0.417643567049797,0.100616890832357,-0.526545523675001,-0.528967228648603,-0.697428314997726,-0.472843696907758,-0.699394870331905,0.175550033698705,0.661799304264706,0.470855620451593,-0.0854932371436678,-0.00547691931812509,-0.0512013131083893,-0.171940976664296,-0.65816648713073,-0.636742613139781,-0.285756994278787,-0.0970329862309194,-0.582418966834465,-0.262356003206497,-0.384087931690076,-0.266603453899019,0.00251638032546013,-0.0888853539053824,0.032965375700908,-0.192345236843869,0.370339713002388,-0.499838762207072,-0.129991584555867,-0.160472394832629,0.343724990571081,-0.642843351280372,0.537480275457295,-0.572652331750449,-0.181970750052187
"SPYO_Ctrl_2 (GE) - TPM",0.418522853587705,-0.0161809100161957,0.210725718215569,0.426793956218618,0.124826533861443,0.413837014375143,0.408636710383994,-0.591432610581808,-0.442715437262852,-0.454541823631817,-0.122637520200444,-0.837983750398809,-0.107594378744707,-0.327416135947548,-0.317429571010986,-0.0571474296052571,-0.560666787310044,-0.634438039373304,-0.3500538157055,-0.30557320865484,-0.254522172124222,1.48124190007721,-0.540384003414582,0.0277764245594669,-0.585924936160717,-0.128301504031712,0.406214258318288,0.934199543805619,-0.258007034636408,0.681901062328491,-0.85749073910531,-1.07581648135896,0.120564037595526,-0.158401472503333,-0.232467800423251,0.0136054779574692,0.0408687792308483,-0.603460451663581,-0.665387821399882,-0.0418919800513673,0.185906489155755,-0.118526997789886,-0.745144731441785,-1.43009551104444,-0.638245836044734,-0.0896659321998793,-1.05757052004484,-0.0839582406100611,-0.466753579909716,-0.719777029926371,-1.54308094942592,-1.0824664345473,-1.17213825814963,-1.05120045414842,-1.44707216199468,-0.746701370767131,-0.31494858360458,-0.464134501927367,-0.490861489156801,-0.405312424936934,-0.717361268909766,-0.883735084009882,-0.36484970365067,-0.60227407514289,-0.251677546829605,0.233752354326352,-0.871792718075912,-0.0297925050055593,-0.159891995028603,-0.2160718282756,0.216914582076483,-0.212165150350895,-0.408620274927376,0.924468924622665,-0.231749568030274,0.358795067073027,0.0600680265961597,0.422618554685253,-0.238284096223329,0.554256671765303,0.508890498428226,0.645201204851137,-0.751619275787005,-1.56327079290768,0.207248054978233,-0.433307120750362,0.0511683653203186,-0.0264884642547185,0.6549692503802,-0.266392365968603,0.532269898497702,-0.477428736911758,-0.25040197322075,-0.326385858172441,-0.315828206414067,-0.29343093552591,-0.0992383682297983,0.367074349911785,-0.174857086583704,-0.83603412834379,-0.762060794566479,-0.293787478498835,-0.436463033827204,-0.182884044869788,0.0427926073743965,0.462825886536037,-0.574620421590865,-0.755700485838605,0.0329578808357992,0.478915725613398,-0.567645195216657,-0.0579803809948778,-0.419758238725376,-0.501970851153287
"SPYO_Ctrl_3 (GE) - TPM",0.251555178646812,-0.132477651273869,0.225252891206883,0.233727832665559,0.235797196594725,0.393495200506737,0.112301842788987,-0.279934453854465,0.11272536762049,-0.460900250908364,-0.0292808778731833,-0.374269230396857,-0.491298827749325,-0.330233278846322,-0.72363077729367,-0.321317913171431,-0.477908756550465,-0.65568506994221,-0.148274651271068,-0.768889467222804,-0.972031524505678,1.09874749017696,-0.307714077603594,-0.406215917574967,-0.590664134851875,-0.0999237231896397,0.372543027344815,0.822575417836163,-0.339879917832369,0.635669577599133,-0.855216408213544,-1.1475056955792,0.128586339571591,-0.305797115945058,-0.415040835008938,0.201930552104717,0.0578730280046202,-0.525213916238378,-0.616546721807392,0.171059278112066,0.0326211757273037,0.125841042264199,-0.657352032890831,0.0203731528402303,-0.215074600714416,-0.217152944608922,-1.0252528360745,-0.225858075171547,-0.613160271010035,-0.638855895245512,-1.63518690541608,-0.947269087521111,-0.586037104069802,-0.746719102526018,-1.31522002185963,-0.642936331106445,-0.141006455909346,-0.69896835000206,-0.492545251052455,-0.427983396540817,-0.4578609391134,-0.632607438961749,-0.399898585876609,-0.531577838251271,-0.0806017946488161,-0.226510984135881,-0.801533823562768,-0.0426595243887157,-0.380605898124244,-0.122054403799088,0.106910570990141,-0.139021943085784,-0.316089045865563,0.434528805700068,-0.623650138666499,0.0232264618673985,-0.217227030941372,-0.198084616386279,-0.010246557728021,0.504324599996203,-0.218594653122832,0.111695221215564,-0.789615621129044,-1.71868035674731,-0.138017910477794,-0.819659644175025,-0.0235722542674965,0.407991183317101,0.42215813997399,-0.236509137253163,0.358671734558412,-0.356612566142488,-0.55251695492661,-0.278567128847719,-0.30093148932403,-0.285723826230291,-0.0614626146436397,-0.254776399157215,-0.083720437447983,-0.747803968807899,-0.572350575169759,-0.190369930902145,-0.658235785872768,-0.272242630792759,-0.549672935958035,0.507061549437364,-0.253211459281049,-1.08970233025481,-0.172074369715623,0.391816171158146,-0.411562364133093,0.247211649412773,-0.518256833000311,-0.477448301471507
"SPYO_Li_1 (GE) - TPM",0.43581392157665,-0.2792583403507,-0.257942422578827,-0.0156885630030438,0.105740337062295,-0.295957597166204,0.3844663385946,-0.448098649420821,0.349681936045245,0.181463733012977,-1.04841038244386,-0.309574534707487,-0.517584574179051,-0.342875992973468,0.763133825357958,-0.377110413140652,-0.985430232078695,-0.449174746545638,-0.479145591784425,-0.31873110915289,0.139446520865209,0.744071588908036,0.0734998327878395,0.367563496312995,-0.567053381403037,-0.583481359237006,-0.3186519782122,-0.121248191817259,-1.06350502631065,0.0398289574605279,-0.923676179350661,-0.905021504342204,0.133571275102962,-0.0773110973114186,0.0270439318839827,0.134789566721734,0.650166058175561,0.713355602519003,-0.847507413043581,-0.47292214941853,-0.53377556584205,-0.256157691422131,-0.436002892254068,-0.710992183619669,-0.338871177578369,-0.394503606254292,-0.842700429394947,0.0098762102479206,-1.12936988929582,-0.785405435158003,-1.20165062907348,-1.18498839798836,-1.06121558344913,0.925185524358621,1.15711676586617,-0.432574044713865,-0.0843584300183458,-0.093324000869948,0.0679695629758239,-0.122757000894637,0.500389786157264,0.463678333572202,-0.275014807567004,-0.582023450578594,-0.705551699083286,-0.631014108276638,0.647254707159881,0.432810933290478,-0.144130997346921,-0.608316457295093,-0.755601368173577,-1.03529040210428,-0.592315377285245,0.110588150738946,-1.59805050273592,0.329932223842907,-0.668681565837558,0.277650737199039,-0.244728908405594,1.21372566118925,-0.283325040141116,0.584360974816041,-0.35001045017555,-1.12722282584677,-0.855229907112531,-0.741502198585738,0.741852778379199,1.4233543199326,0.53175884029132,0.481959592221415,0.289555065055955,0.302452641145875,0.37426997959892,0.712633644914347,0.899968691745424,0.131186017887007,-0.21622906260049,0.0335117474057051,0.154578181890306,-0.858744601988276,-0.540821716813908,-0.715507728670423,-0.580676690299569,-0.700060016644963,-0.0798809127679084,0.408522430559918,-0.156038429165828,-0.564286837524241,-0.188424571437755,0.388587465937728,-0.213185571093799,-0.0988699349972301,1.39061534306107,-0.181093871594021
